[00:00.000 --> 00:07.680]  this is episode CLVI of the talk show. Oh, we're already up to CLVI.
[01:26:01.360 --> 01:26:04.360]  More cute stewardesses in Velcro shoes.
[01:26:04.360 --> 01:26:09.360]  No, and we don't have AI at the level of HAL.
[01:26:09.360 --> 01:26:27.360]  So it was optimistic year wise, but, you know, it attempted to be, you know, as rigorous as they could and including talking to top artificial intelligence experts of the era as to, you know, what do you think would be possible?
[01:26:27.360 --> 01:26:29.360]  How could this work?
[01:26:29.360 --> 01:26:43.360]  And it's, you know, conceptually, that's where we're heading. Right. We would have wide angle. I mean, even even down to using a wide angle lens to get a big field of view into the into the eye dingus.
[01:26:43.360 --> 01:26:47.360]  Right. When they show you how's point of view, it's like a superficial eye.
[01:26:47.360 --> 01:26:54.360]  But the idea that the thing you're talking to and again, it's like this mixture of yes, I've always wanted to have like how nine thousand.
[01:26:54.360 --> 01:27:02.360]  And then conversely, the I don't know if I want you know, I don't want people, you know, AI systems watching me.
[01:27:02.360 --> 01:27:08.360]  You know, I mean, like it's a mixture of like dread and desire.
[01:27:08.360 --> 01:27:10.360]  But I think it's clearly where we're heading.
[01:27:10.360 --> 01:27:27.360]  And the idea that it would help, you know, like help create a shared device because it isn't one of the limits of like the echo right now that it it's like two people in the same house can't really set it up with what's on my calendar.
[01:27:27.360 --> 01:27:33.360]  Oh, true. Yeah, true. You can have multiple echoes. And that's actually it's kind of cool. But yeah, you're right.
[01:27:33.360 --> 01:27:44.360]  And I mean, also, you know, there's a there's a something that's got to get dealt with at some point soon is I mean, it's understandable to say, well, you know, right now we just want to get the technology down.
[01:27:44.360 --> 01:27:48.360]  So anybody who talks to it correctly can make this work.
[01:27:48.360 --> 01:27:52.360]  But I mean, you know, for example, my echo has access to my calendar. It is my calendar.
[01:27:52.360 --> 01:27:55.360]  Anybody who came in and asked it could get my calendar info.
[01:27:55.360 --> 01:28:01.360]  It doesn't I mean, currently, there's not a way I know for echo to be disabled when I personally am not there.
[01:28:01.360 --> 01:28:10.360]  There's probably all kinds of creepy stuff you can do. But, you know, and you can buy stuff like so like if I came over to your house and you, you know, head to the restroom, I could quick order up.
[01:28:10.360 --> 01:28:16.360]  Just say reorder reorder dildos and they be on your door the next day.
[01:28:16.360 --> 01:28:24.360]  It's totally true. I basically just say to your dingus, you just say like reorder contractor bags and say, OK, on this date, you ordered that.
[01:28:24.360 --> 01:28:33.360]  But it's like Syracuse is concerned about the Amazon buttons that is kids, which my daughter has totally done.
[01:28:33.360 --> 01:28:39.360]  Oh, look at some more seventh generation detergent.
[01:28:39.360 --> 01:28:45.360]  See, I don't know. This is I guess this is the part people always want to talk about. This is the part that you always jump directly to.
[01:28:45.360 --> 01:28:51.360]  I think it's unavoidable, but I think it's also complicated, which is when you get into like, you know, what should this do just because we can do it?
[01:28:51.360 --> 01:28:55.360]  Should we do it? Well, I think this is where stuff is going.
[01:28:55.360 --> 01:29:00.360]  So it's it does not benefit us to keep talking about how this how we're never going to use this.
[01:29:00.360 --> 01:29:07.360]  It benefits us to talk about what we actually are talking about when we talk about this stuff, what we're willing to tolerate.
[01:29:07.360 --> 01:29:16.360]  I think in order to have a sane conversation about this, we have to stop acting like it's a Frankenstein monster and try to have like a more reasoned discussion about, you know, what this stuff is, what this stuff does.
[01:29:16.360 --> 01:29:29.360]  And once you get used to a creature comfort, it's it's like psychologically impossible to go back and just think about like cars and the way that cars have improved since we were kids.
[01:29:29.360 --> 01:29:41.360]  Just creep creature comfort wise, right? Like when we were kids, if you wanted to move the seat back or front, you had to sit there and hold a physical lever and then slide it using your muscles.
[01:29:41.360 --> 01:29:52.360]  And now, I mean, our car's 10 years old, but we have a thing where when I, you know, because we have the electronic key fobs, if I unlock the door, the seat automatically starts moving to my preferred location.
[01:29:52.360 --> 01:29:58.360]  And if Amy's the one who unlocks the door, the seat moves to her preferred location. That's amazing.
[01:29:58.360 --> 01:30:06.360]  But you really shouldn't be driving, right? You lost your license. Well, and well, and I wear flip flops everywhere.
[01:30:06.360 --> 01:30:15.360]  You know, a topic. Yes, that is so crazy to me. But a topic for some reason seems to come up every time we talk ATMs.
[01:30:15.360 --> 01:30:25.360]  Yeah, ATMs. But, you know, what a what a terrific example. 1977, 1978. Guess what? There's this new scary robot at the mall that will give you money.
[01:30:25.360 --> 01:30:30.360]  Wait a minute. You're saying anybody can walk up to this machine and have access to my bank account? No, no, no, no, no.
[01:30:30.360 --> 01:30:39.360]  You got to have your little card and you got a four digit code. OK, just let me understand this. You know, I'm a Rockefeller and I have access to all this money.
[01:30:39.360 --> 01:30:48.360]  So basically anybody who has this four digit code can just clean me out because and that's really what everybody said into the 80s.
[01:30:48.360 --> 01:30:56.360]  OK, so I'm not trying to say this is a perfect system, but what I'm saying is that in the amount of time that ATMs have been around, there's some things most all of us kind of know at this point.
[01:30:56.360 --> 01:31:01.360]  I mean, there's always going to be stuff like skimmers, like, you know, go read Krebs on security have just ruined your month.
[01:31:01.360 --> 01:31:07.360]  But there are things we know. We know, first of all, that there are limitations on the account.
[01:31:07.360 --> 01:31:12.360]  If they do, quote unquote, clean you out, they're not going to get more than probably 400 or 500 dollars out of your account.
[01:31:12.360 --> 01:31:19.360]  And you know what? If it was if it was fraudulent, there's a pretty good chance you can go to your bank and they're going to cover most of the cost of that.
[01:31:19.360 --> 01:31:26.360]  You know, my dad, my dad, I don't think has an ATM card. I still I still think that maybe they've sent him one.
[01:31:26.360 --> 01:31:33.360]  And then they without even asking. And then he just cuts it up.
[01:31:33.360 --> 01:31:48.360]  My dad, my dad, my dad, at least, you know, at least through the high school when I lived at home, anytime my dad wanted to get cash, he would go to the bank and go to the wait in line and go to the teller and bring the passport.
[01:31:48.360 --> 01:31:56.360]  Bring the past book. Right. And and get cash. And he would just get enough cash at the time where he wouldn't have to go back frequently.
[01:31:56.360 --> 01:32:01.360]  I hate accidentally falling into the role of armchair futurist because it's such a douchey thing to be.
[01:32:01.360 --> 01:32:04.360]  But like, here's what I'm trying to say. Like, you know, I have a pretty good feeling.
[01:32:04.360 --> 01:32:16.360]  And this is an overarching thing for me as I try to grow as a person is to stop making these instant decisions based on emotions about whether something will be terrible and ruin everything.
[01:32:16.360 --> 01:32:25.360]  Which feels like something a lot of folks do as soon as it does. There's this weird black and white thinking thing where as soon as somebody gets the slightest whiff of something they don't like.
[01:32:25.360 --> 01:32:29.360]  It's the worst thing ever. And it's a literal Holocaust. I'm trying to avoid doing that.
[01:32:29.360 --> 01:32:37.360]  So when I say this example, something like an ATM, what I'm really trying to say is that, like, well, there's a certain amount of risk associated with that.
[01:32:37.360 --> 01:32:43.360]  There will always be a certain amount of risk. We're still driving cars that can go 100 miles an hour.
[01:32:43.360 --> 01:32:49.360]  There's an acceptable amount of risk with that. You don't find that risky at all when a bus goes by your kid while you're walking down the street.
[01:32:49.360 --> 01:32:55.360]  But like all these things find their level in some way. Not for all time. Pendulum swing, Hakuna Matata.
[01:32:55.360 --> 01:33:03.360]  But the thing is, we figured out a way for ATMs to be part of our life in a way that didn't ruin everybody in America.
[01:33:03.360 --> 01:33:09.360]  And so I think instead of thinking about this as like some kind of new dioxin that's going to kill the environment.
[01:33:09.360 --> 01:33:13.360]  Let's think about things like AI and yes, things like VR, the silly things like that.
[01:33:13.360 --> 01:33:20.360]  Let's instead ask ourselves, like, how that could find a place if we stop looking at it as this thing we think we understand today,
[01:33:20.360 --> 01:33:25.360]  start looking at the components of this as something we might see in our lives and stop being so wowed by it.
[01:33:25.360 --> 01:33:31.360]  Because in all the times you're either cowed or wowed by it, somebody else is running away with the legislation on what actually happens with that stuff.
[01:33:31.360 --> 01:33:35.360]  You've got to keep your eyes open and be smart, but admit that this is something that is a thing.
[01:33:35.360 --> 01:33:42.360]  The self-driving cars thing is a perfect example where I think most people are looking forward to it,
[01:33:42.360 --> 01:33:53.360]  but because it is scary red letters new and it seemingly involves robots doing things that we used to do, everybody is worried.
[01:33:53.360 --> 01:33:56.360]  I know I'm worried. Everybody knows that eventually it's going to come.
[01:33:56.360 --> 01:34:04.360]  We're going to have self-driving cars and eventually it's just inevitable there's going to be an accident where somebody gets killed and you can blame the AI.
[01:34:04.360 --> 01:34:09.360]  And there's so many millions of people in so many cars and so many things, it's inevitable.
[01:34:09.360 --> 01:34:21.360]  And just to put up the hypothetical, what if the AI locks itself into a situation where it can make a move that harms you, the passenger, or it kills a pedestrian,
[01:34:21.360 --> 01:34:28.360]  and there's no other option that the AI sees and the decision has to be made in the next hundredth of a second.
[01:34:28.360 --> 01:34:31.360]  What happens? Either way, it's a scandal.
[01:34:31.360 --> 01:34:35.360]  It's like the ethical problem with the train track and that kind of thing.
[01:34:35.360 --> 01:34:49.360]  Ask yourself, I'm not a statistician, but think about if we took the net number of miles driven by mature automated vehicles versus the net number of, allow me a straw man here,
[01:34:49.360 --> 01:34:58.360]  the net number of miles driven by drunks, let's see who has a better kill ratio because I got a feeling the automated car might do a little bit better.
[01:34:58.360 --> 01:35:03.360]  I bet, you know what turns out, I bet it might even do a little bit better than all those people who are really good drivers,
[01:35:03.360 --> 01:35:10.360]  especially when more and more automated cars can talk to each other and don't need the meat bag behind the pedal to keep it from flying off the road.
[01:35:10.360 --> 01:35:21.360]  Right. I completely agree. I think it's inevitable that self-driving cars are going to happen relatively soon and that they will have wonderful safety records
[01:35:21.360 --> 01:35:32.360]  and that the sooner we can get all or nearly all cars self-driven, that the difference in the number of people getting maimed, seriously injured and killed,
[01:35:32.360 --> 01:35:39.360]  we'll look back at it as when we used to let people smoke on airplanes, you know, like, oh my God, what the hell were we thinking?
[01:35:39.360 --> 01:35:45.360]  We let people drive a hundred miles an hour while they were text messaging. There was not, you know, when people did it.
[01:35:45.360 --> 01:35:56.360]  We got totally cut off by a truck the other day, like just completely cut off by a semi. Ten minutes later, we see a woman, you know, cruising down 80 with her kid in the car seat, like texting.
[01:35:56.360 --> 01:36:04.360]  And then you just, you don't have to see too many of those to go like, really? Do you think it's going to be that much worse to have an automated car that understands the heuristics of the world?
[01:36:04.360 --> 01:36:18.360]  I totally don't. But the problem is that as a society, we collectively are very bad at accepting statistical proof versus anecdotal proof.
[01:36:18.360 --> 01:36:20.360]  I see you too.
[01:36:20.360 --> 01:36:40.360]  You know, it's like the Republican senator whose argument against climate change was, I mean, this is a true story. I forget the guy's name, but he made his little speech on the Senate floor with a snowball he had just made outside the Capitol at an unseasonable time of year, right?
[01:36:40.360 --> 01:36:42.360]  The one example.
[01:36:42.360 --> 01:36:48.360]  The climate scientist is just cursing. He's figured us out. He figured out what's happening with big climate.
[01:36:48.360 --> 01:36:54.360]  But for some people, that one example is way more compelling than the statistical evidence of what is actually going on.
[01:36:54.360 --> 01:37:00.360]  I think people will get used to it with the self-driving cars.
[01:37:00.360 --> 01:37:12.360]  I forget how much I told about this, but I never wrote about it, but I got this amazing demo at the Mercedes self-driving car thing in Silicon Valley a couple months ago.
[01:37:12.360 --> 01:37:27.360]  It went on a ride in an actual self-driving Mercedes S-Class. It was amazing. I mean, it's real. It actually was like an entire thing, like starting somewhere in Mountain View and getting onto a highway and getting off, and the entire thing had no human intervention whatsoever.
[01:37:27.360 --> 01:37:28.360]  Wow, really?
[01:37:28.360 --> 01:37:29.360]  Yeah.
[01:37:29.360 --> 01:37:45.360]  People who do that all seem to say a similar thing, which is they're always amazed at how quickly it stops seeming weird. Sometimes it is more than a few minutes of that before you go like, oh, this totally makes sense.
[01:37:45.360 --> 01:38:04.360]  One of my questions for them was, do you think right now, Mercedes Benz makes cars that go well in excess of any speeding limit posted in the United States? If not, I would guess every single car they make goes at least 100 miles an hour.
[01:38:04.360 --> 01:38:20.360]  In self-driving mode, is it going to be an option to exceed the posted speed limit? And the answer was almost certainly not, that the car will be programmed so that there is no way that you can exceed the speed limit.
[01:38:20.360 --> 01:38:38.360]  And their take is that, no, you couldn't sell a car like that today when people drive, but they think that people will accept that because why do they want to go fast? It's because they're bored and they want to get to where they're going. And if they can sit there and dick around on their phone while they're getting there, who cares if it takes an extra five?
[01:38:38.360 --> 01:38:48.360]  Who cares if it takes an extra five minutes to get to work because you're driving 55 instead of driving 80? Or maybe you're taking a nap.
[01:38:48.360 --> 01:39:01.360]  Yeah, but this is also, this is also getting to, I mean, you know, it's whenever we try to think about change, we try to think about the future, we tend, I feel like at least I tend to focus on maybe two axes, but usually one axis.
[01:39:01.360 --> 01:39:11.360]  Like the thing that I'm familiar with, the thing that I'm obsessed with, the thing that I think about, but that's the difficulty of thinking about anything more than a year out into the future is like, how will ideas germinate?
[01:39:11.360 --> 01:39:31.360]  You know, how will things suddenly get cheaper and more possible? How does, how does things suddenly become less impossible? And it's, it's difficult to imagine how those kinds of things are going to work, you know, and we all have our own like biases about, you know, you know, how we would, how we would want it to work and what we would accept in terms of risk.
[01:39:31.360 --> 01:39:36.360]  Yeah, I, I don't know. I don't know.
[01:39:36.360 --> 01:39:41.360]  Let me take a break and thank our third sponsor. Do you have a guess? Who's your, who's your third sponsor this week, John?
[01:39:41.360 --> 01:39:46.360]  Third sponsor this week is the good folks at Meh.com.
[01:39:46.360 --> 01:39:53.360]  Honestly, fuck these guys for making me think of a third thing to say about them.
[01:39:53.360 --> 01:40:14.360]  I mean, God bless them for buying out the entire show. They really did. They bought all three. They paid rack rate for all three spots. God bless them for that. I do love the sponsors, but I got to tell you, there's not that much to say about them. They're a daily deal site and they've got some really cool videos and they write really clever copy and they've got some forums where there's really cool stuff going on.
[01:40:14.360 --> 01:40:18.360]  But other than that, fuck them.
[01:40:18.360 --> 01:40:20.360]  Go to Meh.com and check them out.
[01:40:20.360 --> 01:40:22.360]  Fuck them.
[01:40:22.360 --> 01:40:28.360]  Anything else you want to say about this AI stuff? I think we covered a lot of it. Anything else? I know you had good notes. You did a lot more research. You did good work.
[01:40:28.360 --> 01:40:31.360]  Yeah. Fuck those guys.
[01:40:31.360 --> 01:40:34.360]  No, but let me ask you this.
[01:40:34.360 --> 01:40:37.360]  I think the camera thing, I want to stay on the camera thing for a second.
[01:40:37.360 --> 01:40:38.360]  Yeah, go.
[01:40:38.360 --> 01:40:46.360]  Because I think, I think that I don't think that it's going to, I mean, the rumor is that Apple's working on a product now. I think it's imminent. I mean, you've got this canary thing in your house.
[01:40:46.360 --> 01:40:49.360]  I think, I think the cameras are the next step. I really do.
[01:40:49.360 --> 01:40:59.360]  The people who say, the people who say, why would I need a device if I've got, you know, the Apple faithful God love them who say, why would I ever want a device for these things?
[01:40:59.360 --> 01:41:09.360]  If I have my watch and my phone, I can almost promise you as much as I love you all that you haven't actually tried using a device for this stuff because you will use it differently.
[01:41:09.360 --> 01:41:20.360]  It's funny. It's ironic to me that the same people who are so in love with their iPhone that they learned to love don't understand that there's a similar pattern with trying a device for a while and seeing how you would use it in a different context.
[01:41:20.360 --> 01:41:24.360]  And it's, you do use it, you might use it pretty differently.
[01:41:24.360 --> 01:41:27.360]  I could see that becoming a hub for the home in a lot of ways.
[01:41:27.360 --> 01:41:33.360]  There's already an Amazon device that's made by a third party that you can put on your refrigerator and treat that way.
[01:41:33.360 --> 01:41:39.360]  But, you know, but, you know, and the question I was gonna ask you that we'll come back to though is like, you know, how are our kids going to use this?
[01:41:39.360 --> 01:41:43.360]  That's the thing. Nobody cares how we use it. We've aged out of the demo. Nobody cares.
[01:41:43.360 --> 01:41:54.360]  I don't want to keep banging the HAL 9000 hammer, but I still think that conceptually it's correct that HAL was everywhere on the ship and was built into the ship.
[01:41:54.360 --> 01:41:58.360]  And he wasn't, he wasn't like a thing that they talk to on their wrist.
[01:41:58.360 --> 01:42:08.360]  I'm not saying that talking to the thing on your wrist isn't a thing, but I'm saying that the better way to go is to have a ubiquitous presence built in to the ship.
[01:42:08.360 --> 01:42:20.360]  The Star Trek is the same way, right? The next generation Enterprise computer, best name for one of these things ever, was the same way though.
[01:42:20.360 --> 01:42:26.360]  The computer was just an ever-present presence built into the ship.
[01:42:26.360 --> 01:42:32.360]  Well, yeah, totally. And I mean, like think, I'm just, think about stuff like water.
[01:42:32.360 --> 01:42:40.360]  Water used to be a thing that you went down to the creek and you filled a jug or a bucket and you brought it back and that was the water.
[01:42:40.360 --> 01:42:48.360]  But now water comes out of little dinguses all throughout your house. Time was, air conditioning was a thing you bought down at the Montgomery Ward and you stuck in your window.
[01:42:48.360 --> 01:42:52.360]  And now, magically, air conditioning comes out of all these vents throughout your house.
[01:42:52.360 --> 01:42:58.360]  You can even have smart vents, as I've seen on Shark Tank, that you can adjust how much air conditioning is going into a room at each time.
[01:42:58.360 --> 01:43:08.360]  So our first example of how we would use this HAL 9000-like device is I talk into my watch to see what the weather is, even though I could probably just as easily go see.
[01:43:08.360 --> 01:43:16.360]  But like, think about it more like what happens when the devices that you use, I think of it almost like a client-server relationship.
[01:43:16.360 --> 01:43:28.360]  What if it gets to where you pick up 6 or 8 or 12 packs of these dinguses that you could magnet or stick to the wall in the shower, they're waterproof, they could go in the car, they can go in the garage, they can go anywhere.
[01:43:28.360 --> 01:43:36.360]  What if it becomes just another, in the same way that you would want to extend your Wi-Fi network, you just want to extend the ability to say stuff into the air and have it do things.
[01:43:36.360 --> 01:43:40.360]  That gets us away from this idea of having this weird $200 thing you put in your house.
[01:43:40.360 --> 01:43:46.360]  Like, I would think more in that direction than thinking of talking to your watch and asking for the weather.
[01:43:46.360 --> 01:43:57.360]  And eventually, if it gets smart enough and contextual enough, it will learn to, as I said, the thing I'm always looking for is learn to tell me about things I didn't know I needed to know before I realized I need to know it.
[01:43:57.360 --> 01:44:08.360]  That's the real brilliance, is when the real machine learning starts to see patterns that I didn't and starts telling me about important things, not just things I know I need to know, tell me the things that are important that I don't know that I need to know.
[01:44:08.360 --> 01:44:11.360]  And that's where ubiquity comes into it, in context.
[01:44:11.360 --> 01:44:15.360]  Tell me when this is useful. Don't be yelling at me in blinking lights all the time.
[01:44:15.360 --> 01:44:19.360]  Learn what's important to me, and then help me have the life I want to have.
[01:44:19.360 --> 01:44:31.360]  Humans are naturally really, really good at certain pattern recognitions, like identifying a familiar face, or even a face that you've only met once, but you know you know them.
[01:44:31.360 --> 01:44:36.360]  It's like pareidolia, is that what it's called? Where you look at a street curb and you see a face because you're wired to see faces.
[01:44:36.360 --> 01:44:45.360]  Yes, you are. Yeah, yeah, or like the rock up in New Hampshire, the old man on the mountain, whatever it is, you know what I mean?
[01:44:45.360 --> 01:44:56.360]  Yeah, we're actually so wired to recognize faces that we see faces where there aren't faces, or a shroud of Turin, right?
[01:44:56.360 --> 01:45:12.360]  And voices, too. But even as humans, here's just an obvious example. Once I hit puberty, every time I answered the phone, anybody who was calling for my dad would think that I was my dad, and just start talking to him like I was him.
[01:45:12.360 --> 01:45:22.360]  I don't think I sound that much like him, to be honest, but I sound enough like him, and with the distortion of a landline phone, it sounded enough.
[01:45:22.360 --> 01:45:32.360]  So if a human being could confuse me with my dad, I think that it's reasonable that even a very good echo-like device might confuse me and my dad.
[01:45:32.360 --> 01:45:43.360]  And so I think that adding additional sensors, obviously a camera, to know who the heck is talking to at the time, is almost necessary.
[01:45:43.360 --> 01:45:49.360]  Maybe I'm just talking myself in a corner and everybody's going to have these camera-like devices in their house within the next 18 months.
[01:45:49.360 --> 01:46:03.360]  I don't think you are. I mean, think about the way triangulation works, where you could, I guess, if you wanted to, you could put your entire R&D budget into creating the world's greatest single antenna for discovering where something is located.
[01:46:03.360 --> 01:46:16.360]  But isn't it fair to say that it's better to have hundreds or thousands of much less costly antennas that talk to each other, that can triangulate and say, well, there's a pretty good chance that you're here based on the signal strength of these different things.
[01:46:16.360 --> 01:46:25.360]  That's, I think that's kind of what we're talking about, right? I mean, so in this case, like there are, there are existing technologies that make this easy and useful already.
[01:46:25.360 --> 01:46:36.360]  So if this iPhone app detects that I'm in the house, cause a certain set of things to happen. If it's a certain time of day, then that's a factor, right?
[01:46:36.360 --> 01:46:43.360]  You think about I'm here, but my kid's not here. That can cause things to happen. Knowing what the weather is or what the weather is becoming.
[01:46:43.360 --> 01:46:51.360]  These are all like very knowable things right now. It's just that you cannot accomplish that easily with just something like, if this, then that.
[01:46:51.360 --> 01:47:02.360]  It's a very, it's a great app, but a very service, but a very dull weapon. But what about these multivariate things where if certain kinds of conditions aren't met over a certain period of time, let me know to do these things.
[01:47:02.360 --> 01:47:10.360]  But just even something as simple as what we're describing. When my iPhone is in the house, lots of things should be different, right? That's pretty easy.
[01:47:10.360 --> 01:47:21.360]  Yeah. And it's, I know Syracuse had covered this recently on ATP about like how he almost feels bad for his kids that they're not going to, they can't get away with like putting their bike up against the car.
[01:47:21.360 --> 01:47:23.360]  We had the camera looking out.
[01:47:23.360 --> 01:47:32.360]  Right. But like, imagine like I'm not even at home, but, uh, we've got a rule that there's no video games before dinner.
[01:47:32.360 --> 01:47:44.360]  Like, you know, right now, Jonas is on a, let's just say, uh, no video games. And I could say, where's Jonas? And, uh, I could be told Jonas is playing PlayStation 4 in your living room, right?
[01:47:44.360 --> 01:47:57.360]  Right. I mean, that is, that is, it was science fiction when we were, you know, even, there's nothing about that that is unknowable. You're talking about connecting two preexisting streams. It's just the connection is not there. The connection could be there.
[01:47:57.360 --> 01:48:07.360]  Right. The, the face recognition is there. The, the, the wifi is there. The voice driven stuff is there. I mean, that's a problem that could be solved today.
[01:48:07.360 --> 01:48:16.360]  I mean, here's, here's, here's another one. Um, that's such a brilliant little thing that it, I don't get that many phone calls, so I'm grateful I don't need this that much, but have you gotten the thing yet?
[01:48:16.360 --> 01:48:24.360]  I don't know if it's just a nine, but where your phone says you're getting a call from this number, which appears to be this person.
[01:48:24.360 --> 01:48:32.360]  So what's that doing? It's going and looking through your old emails and recognizing that this phone number has been mentioned by this person before.
[01:48:32.360 --> 01:48:40.360]  That's what we're talking about. We're not talking about rocket science. We're talking about like the most basic kinds of inference, like one little step at a time.
[01:48:40.360 --> 01:48:45.360]  You know what I mean? Just build up this little case with, with these little bits of information.
[01:48:45.360 --> 01:48:47.360]  I completely agree.
[01:48:47.360 --> 01:48:48.360]  I could talk about this all day.
[01:48:48.360 --> 01:48:51.360]  Anything else you want to talk about on this front?
[01:48:51.360 --> 01:48:59.360]  No, I don't think so. You know, it's just, it's this ongoing obsession of mine where like I really have noticed myself, I don't even mind being across the old man.
[01:48:59.360 --> 01:49:12.360]  There's a lot about that's very comforting. There's a lot of things I can dismiss and not feel bad about it, but I am trying to really just keep my mind open about continuing to understand new stuff on its own terms rather than like what I need or expect it to be.
[01:49:12.360 --> 01:49:15.360]  So that's why these topics end up really hitting me.
[01:49:15.360 --> 01:49:29.360]  I feel like that's, that is my perspective. Exactly. I am absolutely rocketing towards crotchety old man, but I'm like an open-minded crotchety old man.
[01:49:29.360 --> 01:49:31.360]  That's the best kind.
[01:49:31.360 --> 01:49:33.360]  It's the best. I think it's the best that we can hope for.
[01:49:33.360 --> 01:49:39.360]  Get off my lawn whenever it suits you.
[01:49:39.360 --> 01:49:50.360]  I don't know why, but it's been on my mind this week. I'm obsessed with this. I ended my XOXO talk two years ago by referencing the song, but for some reason I've had it.
[01:49:50.360 --> 01:50:00.360]  It's like the song that's been popped in my head is Kenny Rogers, the Gambler, which is sort of like this jokey upbeat, you know, like, you know, it was just a funny little folksy story about a guy.
[01:50:00.360 --> 01:50:02.360]  A lot of wisdom in that song.
[01:50:02.360 --> 01:50:17.360]  A lot of wisdom and except that the song ends and it goes back to the refrain afterwards, but the last actual lyrics before it goes back to the refrain in his final words.
[01:50:17.360 --> 01:50:23.360]  Every hands a winner, every hands a winner and every every hands a winner and every hands a loser.
[01:50:23.360 --> 01:50:29.360]  And the best that you can hope for is to die in your sleep.
[01:50:29.360 --> 01:50:34.360]  The best really? Yeah, the best that you can hope for is to die in your sleep.
[01:50:34.360 --> 01:50:40.360]  And it's such a macabre. I mean, the whole thing is so folksy and ridiculous.
[01:50:40.360 --> 01:50:51.360]  And then there's, that's just tossed out there. And if you think about it, there is an actual, I don't know what got me something that you just said about the best, best that we can hope for or something that reminded me.
[01:50:51.360 --> 01:51:02.360]  Every hands a winner, every hands a loser, but the best that you can hope for. But in his final words, I found an ace that I could keep.
[01:51:02.360 --> 01:51:08.360]  You know what John, there aren't enough advice songs. There aren't enough songs that are just filled with folksy advice.
[01:51:08.360 --> 01:51:13.360]  Well, I think that if you read between the lines, at first you want to say, well, that's not the best that you can hope for.
[01:51:13.360 --> 01:51:21.360]  There's all sorts. No, it's literally, it's literally not the best that you can hope for. Not in any conceivable way. Or is it?
[01:51:21.360 --> 01:51:36.360]  Well, but if you're, if you accept the premise that we're all going to die, then, and I know like our friend Peter Thiel, friend of the good friend of the show, Peter Thiel does not accept this premise.
[01:51:36.360 --> 01:51:37.360]  He's working on it.
[01:51:37.360 --> 01:51:43.360]  And then there's a certain logic to it where you've got to die somehow and like that at the end, we're all going to be in the dirt.
[01:51:43.360 --> 01:51:48.360]  And so the best that you can hope for is to die in your sleep because any other way of dying.
[01:51:48.360 --> 01:52:02.360]  It's not a song called Coward of the County. It's a little bit of a cowardly way to Jack up your aspirations is to hope, Jesus, I hope I'm not awake when this happens.
[01:52:02.360 --> 01:52:13.360]  What did you do? You have any thoughts on the whole Peter Thiel, Gawker thing? Nope. No, I got enough problems. I got enough problems, John.
[01:52:13.360 --> 01:52:22.360]  I tossed it out in a, in a reply. So I think that it's, I think that it's a, it got lost, but I had a little gag I tweeted.
[01:52:22.360 --> 01:52:36.360]  This one went out to everybody. I tweeted that, uh, uh, Batman versus Superman to Bruce Wayne spends a decade and $10 million financing lawsuits to bankrupt the daily planet.
[01:52:36.360 --> 01:52:43.360]  Pretty good joke. It's pretty good. And then, and then, uh, somebody tweeted like, well, oh, I'm in as long as it's subtitled electric boogaloo.
[01:52:43.360 --> 01:52:48.360]  And I tweeted back, no, obviously the subtitle is man of teal.
[01:52:48.360 --> 01:52:59.360]  Oh, right. I had to get that out there. You don't even give them all your good ones. You just be just picking shoes. You should write an advice song.
[01:52:59.360 --> 01:53:19.360]  Uh, meta, meta stuff here at the end of the show, meta stuff, stuff that's coming out is, uh, I got the live talk show coming up and as we speak, I think 13 days, so I got to get the tickets out. I think fingers crossed that by the time anybody is listening to me tell you this, that the show will probably already be sold out.
[01:53:19.360 --> 01:53:33.360]  Congratulations, man. That was great. Hoping to launch soon. Hopefully it'll be a good show this year too. Um, but if you want to, you could go and look at daring fireball and see if there's still tickets available. Um, so that's coming up.
[01:53:33.360 --> 01:53:44.360]  It is going to be the same venue. It'd be Tuesday, the day after the keynote at a mezzanine. Um, and here's the more important part. So we're limited. I think, I think we're limited to around 500 tickets.
[01:53:44.360 --> 01:53:58.360]  Um, just with the way we set up the, the, the venue and the seats and everything like that. And it's sold out, you know, every year so far. And I think because last year's show blew up and was so big that it's probably going to be even more in demand this year.
[01:53:58.360 --> 01:54:00.360]  High expectations, buddy. High expectations.
[01:54:00.360 --> 01:54:16.360]  I wish we could find a bigger venue. Um, but it's, it's really kind of tight combined with all of the, you know, it mezzanine is perfect in so many ways other than the fact that if we could fit more, we would love to fit more, but we can't. It's, it's the, to my knowledge, the best venue we can find.
[01:54:16.360 --> 01:54:27.360]  And I'm sorry, but we do plan on having a live video stream again. Uh, last year I didn't really promote the live video stream because I was so worried that it wasn't going to hold up, but it did hold up.
[01:54:27.360 --> 01:54:41.360]  So fingers crossed it'll hold up again, but anybody who wants to follow along live and doesn't get in with a ticket or, you know, if you're not even in San Francisco, then a ticket isn't even an option. Uh, you should be able to watch live.
[01:54:41.360 --> 01:54:54.360]  It'll be Tuesday. Uh, I think doors open at six Pacific. So, and, but the show should start sometime around seven o'clock Pacific, which is 10 Eastern time. And it should be a lot of fun live.
[01:54:54.360 --> 01:55:01.360]  That's a great event. I'm looking forward. Yeah, I've got your, I've got your ticket reserved already. Boom.
