[00:00.000 --> 00:08.000]  Oh boy. Once you start locking everything down. Wow. Do you unlock, can I ask you a question?
[01:12:04.000 --> 01:12:06.000]  And it's like, wow, that's really interesting.
[01:12:06.000 --> 01:12:08.000]  You suddenly get really smart sometimes,
[01:12:08.000 --> 01:12:10.000]  and now you want to learn how something is pronounced.
[01:12:10.000 --> 01:12:11.000]  That's really cool.
[01:12:11.000 --> 01:12:13.000]  But then in other times, if you have exactly two people
[01:12:13.000 --> 01:12:15.000]  with the name Amy in there, it is amazing how much of the time
[01:12:15.000 --> 01:12:18.000]  it'll say which Amy do you want to send it to.
[01:12:18.000 --> 01:12:22.000]  It seems to me like by the fifth or 40th time that has happened,
[01:12:22.000 --> 01:12:24.000]  it kind of seems like it should figure out that,
[01:12:24.000 --> 01:12:26.000]  like, well, it's always this one Amy.
[01:12:26.000 --> 01:12:28.000]  Yeah.
[01:12:28.000 --> 01:12:32.000]  You know?
[01:12:32.000 --> 01:12:34.000]  What about... Okay, let me ask you... Okay, I don't want to drag on.
[01:12:34.000 --> 01:12:36.000]  I know we've got to do a shorty today.
[01:12:36.000 --> 01:12:38.000]  But do you notice differences in how your kid uses it?
[01:12:38.000 --> 01:12:41.000]  Because something I've learned from people with kids...
[01:12:41.000 --> 01:12:44.000]  Our kids are... Your kid's older than mine. Mine's nine.
[01:12:44.000 --> 01:12:45.000]  Yours is 13?
[01:12:45.000 --> 01:12:46.000]  Yep.
[01:12:46.000 --> 01:12:48.000]  Whew. God.
[01:12:48.000 --> 01:12:52.000]  Sir Q says he's got kids that are actually, I think, nine and 13.
[01:12:52.000 --> 01:12:54.000]  Dictation. This is just what my kid does.
[01:12:54.000 --> 01:12:56.000]  She's real good at the iPad.
[01:12:56.000 --> 01:12:58.000]  She's real good at finding stuff on Google.
[01:12:58.000 --> 01:13:01.000]  She's, you know, really... Yeah, she's just great on the iPad.
[01:13:01.000 --> 01:13:04.000]  But she would prefer to do everything with dictation.
[01:13:04.000 --> 01:13:07.000]  She tries to do corrections to what she mistyped with dictation.
[01:13:07.000 --> 01:13:10.000]  And, like, Sir Q sent me... We talk about this.
[01:13:10.000 --> 01:13:12.000]  It drives you bananas. You want to tear it out of your hand
[01:13:12.000 --> 01:13:14.000]  and just go type like a person with your thumbs.
[01:13:14.000 --> 01:13:18.000]  But, like, I think that's very telling that kids really get the voice thing
[01:13:18.000 --> 01:13:21.000]  in a way that it feels exotic and slow to us.
[01:13:21.000 --> 01:13:23.000]  Well, it makes sense to them.
[01:13:23.000 --> 01:13:25.000]  Does your kid do that?
[01:13:25.000 --> 01:13:29.000]  Not so much with the iPhone, as far as I can tell.
[01:13:29.000 --> 01:13:32.000]  He's mostly a tapper with the iPhone.
[01:13:32.000 --> 01:13:35.000]  But doesn't really... His text messages are incredibly short.
[01:13:35.000 --> 01:13:38.000]  Often a single emoji, usually just a word or two.
[01:13:38.000 --> 01:13:43.000]  But where he really takes to voice is with the Apple TV.
[01:13:43.000 --> 01:13:47.000]  He had a sleepover... He had a friend sleepover Saturday night.
[01:13:47.000 --> 01:13:52.000]  And they must have spent 90 minutes just laughing hysterically,
[01:13:52.000 --> 01:13:56.000]  telling Apple TV to play goofy songs that I've never heard of.
[01:13:56.000 --> 01:13:58.000]  But they did everything by voice.
[01:13:58.000 --> 01:14:00.000]  It was all just hitting the mic button
[01:14:00.000 --> 01:14:04.000]  and asking Apple TV and Apple Music, whatever,
[01:14:04.000 --> 01:14:08.000]  to play a bunch of goofy songs that I wasn't familiar with.
[01:14:08.000 --> 01:14:10.000]  But it was, like, 90 minutes of uproarious laughter
[01:14:10.000 --> 01:14:13.000]  all through the mic button on Apple TV.
[01:14:13.000 --> 01:14:17.000]  I might have mentioned this last time, but we had a sleepover
[01:14:17.000 --> 01:14:21.000]  with seven girls. Seven third-grade girls.
[01:14:21.000 --> 01:14:23.000]  I don't know what we were thinking.
[01:14:23.000 --> 01:14:26.000]  I mean, seven. Seven.
[01:14:26.000 --> 01:14:29.000]  Oh, boy, you want to learn a little bit about politics?
[01:14:29.000 --> 01:14:31.000]  How do seven third-grade girls sleep at your house?
[01:14:31.000 --> 01:14:33.000]  Because at first everybody's in a room,
[01:14:33.000 --> 01:14:35.000]  and then everybody's in different rooms, and there's crying,
[01:14:35.000 --> 01:14:38.000]  and there's reconciliation, and it's like one big sad game of diplomacy.
[01:14:38.000 --> 01:14:40.000]  Everybody's writing orders in the hallways.
[01:14:40.000 --> 01:14:46.000]  But, boy, the Amazons Echo were a big, fun feature.
[01:14:46.000 --> 01:14:48.000]  I learned stuff from some of the kids.
[01:14:48.000 --> 01:14:51.000]  I guess I didn't know the thing about how you can tell it, you know...
[01:14:51.000 --> 01:14:54.000]  It's the real fourth graders of San Francisco.
[01:14:54.000 --> 01:14:57.000]  Right?
[01:14:57.000 --> 01:14:59.000]  Stop. Right. Right, right, right.
[01:14:59.000 --> 01:15:01.000]  Oh, God, yes. Yeah, yeah.
[01:15:01.000 --> 01:15:04.000]  They're like just one Cosmo short of a fistfight.
[01:15:04.000 --> 01:15:07.000]  So you learned stuff about the Alexa?
[01:15:07.000 --> 01:15:08.000]  Oh, I did.
[01:15:08.000 --> 01:15:11.000]  I guess I knew but forgot the thing about telling it, you know,
[01:15:11.000 --> 01:15:13.000]  what's the song that goes,
[01:15:13.000 --> 01:15:16.000]  my mind is clear, now it lasts all too well, I can see.
[01:15:16.000 --> 01:15:18.000]  Like, and it'll go, oh, and then it'll play like,
[01:15:18.000 --> 01:15:20.000]  you know, Jesus Christ Superstar or whatever.
[01:15:20.000 --> 01:15:22.000]  That's great.
[01:15:22.000 --> 01:15:24.000]  But, you know, there, I guess all I'm trying to get at,
[01:15:24.000 --> 01:15:27.000]  I don't mean, I'm not trying to be like, you know,
[01:15:27.000 --> 01:15:29.000]  Kevin Kelly or something here.
[01:15:29.000 --> 01:15:31.000]  I'm not as smart as Kevin Kelly, but I'm just saying, like,
[01:15:31.000 --> 01:15:33.000]  look to what these people are doing.
[01:15:33.000 --> 01:15:34.000]  They're not weird and dumb.
[01:15:34.000 --> 01:15:36.000]  Like, they're figuring this out,
[01:15:36.000 --> 01:15:38.000]  and we might be the weird ones at this point.
[01:15:38.000 --> 01:15:40.000]  So, yeah, I don't know.
[01:15:40.000 --> 01:15:42.000]  But then there's still so many holes.
[01:15:42.000 --> 01:15:45.000]  I mean, like, to your point, so I have to admit.
[01:15:45.000 --> 01:15:47.000]  It's such early days. It's not even holes.
[01:15:47.000 --> 01:15:48.000]  It's such early days.
[01:15:48.000 --> 01:15:50.000]  The challenge...
[01:15:50.000 --> 01:15:52.000]  I would just say it's not holes.
[01:15:52.000 --> 01:15:55.000]  I think it's more like we're still in a canyon,
[01:15:55.000 --> 01:15:57.000]  and we've built a few plateaus.
[01:15:57.000 --> 01:15:59.000]  It's mostly hole, I think.
[01:15:59.000 --> 01:16:02.000]  Yeah, somebody I remember first in the early days in the 80s
[01:16:02.000 --> 01:16:04.000]  describing windows as being like this system
[01:16:04.000 --> 01:16:07.000]  where, like, you'd be in this beautiful office building
[01:16:07.000 --> 01:16:09.000]  on the 13th floor of this beautiful office building,
[01:16:09.000 --> 01:16:11.000]  only sometimes you'd open a door
[01:16:11.000 --> 01:16:14.000]  and fall down a mine shaft to the ground floor.
[01:16:14.000 --> 01:16:16.000]  You just get dropped into DOS out of nowhere sometimes.
[01:16:16.000 --> 01:16:17.000]  You're like, whoa, whoa, whoa, what happened?
[01:16:17.000 --> 01:16:19.000]  Where'd the computer go?
[01:16:19.000 --> 01:16:21.000]  And, you know, I think that's still the case here.
[01:16:21.000 --> 01:16:23.000]  So I do this other show called Dude by Friday
[01:16:23.000 --> 01:16:25.000]  where we give each other a challenge every week,
[01:16:25.000 --> 01:16:26.000]  and the challenge I gave my co-host this week
[01:16:26.000 --> 01:16:28.000]  was to try what I'm doing,
[01:16:28.000 --> 01:16:29.000]  which is try doing this voice thing,
[01:16:29.000 --> 01:16:30.000]  and we'll see how that goes.
[01:16:30.000 --> 01:16:31.000]  But I've also...
[01:16:31.000 --> 01:16:34.000]  The side challenge in this was to start keeping track
[01:16:34.000 --> 01:16:36.000]  of the stuff that drives you bananas about using your voice.
[01:16:36.000 --> 01:16:38.000]  So if you're ready to lock your keys inside the car,
[01:16:38.000 --> 01:16:40.000]  inside of another car, inside of another car,
[01:16:40.000 --> 01:16:42.000]  my first thing I did was say...
[01:16:42.000 --> 01:16:43.000]  I said something along the lines of,
[01:16:43.000 --> 01:16:47.000]  hey, dingus, dingus, make a new note called bitch.
[01:16:47.000 --> 01:16:49.000]  Because I thought, what do I want to be able to do?
[01:16:49.000 --> 01:16:51.000]  I want to say, hey, dingus,
[01:16:51.000 --> 01:16:55.000]  add this effing thing doesn't work to my bitch note.
[01:16:55.000 --> 01:16:56.000]  And, of course, what happens?
[01:16:56.000 --> 01:16:59.000]  Siri goes, oh, Merlin, your language is so saucy.
[01:16:59.000 --> 01:17:02.000]  I'm like, no, dingus.
[01:17:02.000 --> 01:17:05.000]  So I had to go in and manually create a note called bitch
[01:17:05.000 --> 01:17:06.000]  because it refused to do anything with it
[01:17:06.000 --> 01:17:08.000]  because it thought I was being a saucy boy.
[01:17:08.000 --> 01:17:11.000]  But, you know, and, of course,
[01:17:11.000 --> 01:17:12.000]  that's the first thing on the list now,
[01:17:12.000 --> 01:17:15.000]  is that Siri chides me sometimes
[01:17:15.000 --> 01:17:16.000]  for how I choose to name things.
[01:17:16.000 --> 01:17:18.000]  But, yeah, you're right, you're right.
[01:17:18.000 --> 01:17:19.000]  I mean, it is early days,
[01:17:19.000 --> 01:17:22.000]  but didn't mean to monopolize your show with voice stuff.
[01:17:22.000 --> 01:17:23.000]  No.
[01:17:23.000 --> 01:17:26.000]  I do feel like it's pretty easy to write,
[01:17:26.000 --> 01:17:29.000]  once you get to the age that people like we are,
[01:17:29.000 --> 01:17:34.000]  it becomes very easy to just write off huge swaths of stuff
[01:17:34.000 --> 01:17:36.000]  by going, like, it's that whole, like, you know,
[01:17:36.000 --> 01:17:37.000]  Douglas Adams thing of, like, you know,
[01:17:37.000 --> 01:17:41.000]  stuff that was created before you were 30 is dependable.
[01:17:41.000 --> 01:17:44.000]  Stuff creating your 30s is, like, you know, cool.
[01:17:44.000 --> 01:17:45.000]  Anything after that is dangerous.
[01:17:45.000 --> 01:17:48.000]  I don't want to be that guy.
[01:17:48.000 --> 01:17:52.000]  I don't want to be the guy, and I always thought this,
[01:17:52.000 --> 01:17:57.000]  like, I don't want to be the guy who is now mid-40s
[01:17:57.000 --> 01:18:01.000]  and has really strong opinions about the way computers are,
[01:18:01.000 --> 01:18:04.000]  which I am, and who dismisses the new things
[01:18:04.000 --> 01:18:09.000]  like the guys who dismissed the Macintosh when it came.
[01:18:09.000 --> 01:18:10.000]  Like, I specifically remember...
[01:18:10.000 --> 01:18:12.000]  It's a toy for rich boys.
[01:18:12.000 --> 01:18:16.000]  I remember very specifically reading a John C. Dvorak column
[01:18:16.000 --> 01:18:19.000]  from, like, 1985 or 86 or something like that
[01:18:19.000 --> 01:18:21.000]  where his argument against the Macintosh
[01:18:21.000 --> 01:18:23.000]  and why it was doomed to failure
[01:18:23.000 --> 01:18:26.000]  was that real people doing real work
[01:18:26.000 --> 01:18:29.000]  want to kick back in their chairs
[01:18:29.000 --> 01:18:31.000]  and put their feet on their desk
[01:18:31.000 --> 01:18:33.000]  and put their keyboard on their lap,
[01:18:33.000 --> 01:18:35.000]  and therefore they can't use the mouse.
[01:18:35.000 --> 01:18:38.000]  You got to get one of those hats with a card that says press in it.
[01:18:38.000 --> 01:18:40.000]  Yeah, and that's exactly how he was banging out the column
[01:18:40.000 --> 01:18:43.000]  that I was reading was with his feet on his desk
[01:18:43.000 --> 01:18:46.000]  in the Ziff Davis offices in San Francisco,
[01:18:46.000 --> 01:18:48.000]  and how in the world am I ever going to use a mouse?
[01:18:48.000 --> 01:18:50.000]  You know, this thing is doomed.
[01:18:50.000 --> 01:18:52.000]  I don't want to be that guy with voice.
[01:18:52.000 --> 01:18:55.000]  I really don't, even though I'm frustrated with it
[01:18:55.000 --> 01:18:57.000]  in a lot of ways, and I see a lot of problems with it,
[01:18:57.000 --> 01:18:59.000]  and I see people using it for things where I'm like,
[01:18:59.000 --> 01:19:03.000]  oh, my God, you could totally do that better the old way,
[01:19:03.000 --> 01:19:06.000]  but I totally see that it's the new thing that's coming.
[01:19:06.000 --> 01:19:07.000]  I know we got to go soon.
[01:19:07.000 --> 01:19:10.000]  I got to squeeze in another message from a friend, though,
[01:19:10.000 --> 01:19:11.000]  and it's...
[01:19:11.000 --> 01:19:12.000]  Yeah, please, by all means.
[01:19:12.000 --> 01:19:13.000]  Tell me about something you like.
[01:19:13.000 --> 01:19:15.000]  Well, it's Fracture.
[01:19:15.000 --> 01:19:17.000]  You guys know Fracture.
[01:19:17.000 --> 01:19:18.000]  You guys know Fracture.
[01:19:18.000 --> 01:19:19.000]  Let me tell you something, though.
[01:19:19.000 --> 01:19:23.000]  I'm recording this on March 21.
[01:19:23.000 --> 01:19:24.000]  21.
[01:19:24.000 --> 01:19:27.000]  It's probably going to come out on Wednesday, March 22.
[01:19:27.000 --> 01:19:28.000]  Fracture, you send them your photos.
[01:19:28.000 --> 01:19:30.000]  You take your photos, you send them to Fracture.
[01:19:30.000 --> 01:19:33.000]  They print them right on glass, no frame,
[01:19:33.000 --> 01:19:35.000]  just a piece of glass where on the back of the glass
[01:19:35.000 --> 01:19:37.000]  they print the photo directly on it.
[01:19:37.000 --> 01:19:40.000]  It comes with everything you need to prop it up on a shelf
[01:19:40.000 --> 01:19:42.000]  or to hang it on a wall.
[01:19:42.000 --> 01:19:43.000]  It comes with everything you need.
[01:19:43.000 --> 01:19:45.000]  The quality is amazing.
[01:19:45.000 --> 01:19:46.000]  We've got a ton of them in the house.
[01:19:46.000 --> 01:19:47.000]  We love them.
[01:19:47.000 --> 01:19:49.000]  People will notice it because there's no frame around it.
[01:19:49.000 --> 01:19:50.000]  It really looks cool.
[01:19:50.000 --> 01:19:51.000]  It's just edge to edge.
[01:19:51.000 --> 01:19:54.000]  But here's what I'm telling you about the date.
[01:19:54.000 --> 01:19:58.000]  This March, number one, if you get this message
[01:19:58.000 --> 01:19:59.000]  now through the end of March,
[01:19:59.000 --> 01:20:00.000]  you could save 20% on Fracture prints
[01:20:00.000 --> 01:20:03.000]  with the promo code CLEAN.
[01:20:03.000 --> 01:20:05.000]  What they're suggesting, it's a promotion
[01:20:05.000 --> 01:20:07.000]  where they want you to clean out your digital camera roll.
[01:20:07.000 --> 01:20:10.000]  Go through their last year of photos and find the keepers.
[01:20:10.000 --> 01:20:12.000]  Find the 10 best photos from your last year.
[01:20:12.000 --> 01:20:13.000]  Clean them out.
[01:20:13.000 --> 01:20:15.000]  Get them printed and do something with them.
[01:20:15.000 --> 01:20:17.000]  Get them off the little phone screen.
[01:20:17.000 --> 01:20:18.000]  Hang them on the walls.
[01:20:18.000 --> 01:20:20.000]  So through the end of March, you could save 20%
[01:20:20.000 --> 01:20:24.000]  with that code CLEAN, C-L-E-A-N.
[01:20:24.000 --> 01:20:27.000]  They have a 60-day happiness guarantee.
[01:20:27.000 --> 01:20:28.000]  They print them.
[01:20:28.000 --> 01:20:30.000]  They're handmade right in Gainesville, Florida
[01:20:30.000 --> 01:20:32.000]  from U.S. source materials in a carbon neutral factory.
[01:20:32.000 --> 01:20:34.000]  But here's the other thing.
[01:20:34.000 --> 01:20:36.000]  Get Mother's Day gifts now.
[01:20:36.000 --> 01:20:37.000]  Do it now.
[01:20:37.000 --> 01:20:38.000]  Order them now.
[01:20:38.000 --> 01:20:40.000]  You'll even save 20% with that code CLEAN.
[01:20:40.000 --> 01:20:44.000]  But do it now in March.
[01:20:44.000 --> 01:20:45.000]  Do it.
[01:20:45.000 --> 01:20:48.000]  Just pick a couple photos of something that'll make
[01:20:48.000 --> 01:20:51.000]  your wife or your mom or grandmother,
[01:20:51.000 --> 01:20:52.000]  whoever you've got for Mother's Day.
[01:20:52.000 --> 01:20:53.000]  They'll love it.
[01:20:53.000 --> 01:20:55.000]  There's nothing you can buy them
[01:20:55.000 --> 01:20:57.000]  that will make them happier than photos of their family.
[01:20:57.000 --> 01:20:59.000]  But do it now.
[01:20:59.000 --> 01:21:01.000]  Because if you wait until close, you will never get it.
[01:21:01.000 --> 01:21:03.000]  The fracture, because they're handmade in fracture,
[01:21:03.000 --> 01:21:05.000]  you'll never ever get it at the last minute.
[01:21:05.000 --> 01:21:07.000]  It's not a last-minute gift.
[01:21:07.000 --> 01:21:08.000]  Do it now.
[01:21:08.000 --> 01:21:10.000]  Put it somewhere.
[01:21:10.000 --> 01:21:13.000]  And then when you think like, oh, crap, it's Mother's Day,
[01:21:13.000 --> 01:21:15.000]  you've got nothing left to do except go buy a card
[01:21:15.000 --> 01:21:17.000]  and some flowers or whatever, the type of stuff you can do
[01:21:17.000 --> 01:21:19.000]  at the last minute, but you've got a killer gift
[01:21:19.000 --> 01:21:21.000]  right there, ready to go.
[01:21:21.000 --> 01:21:22.000]  Trust me.
[01:21:22.000 --> 01:21:23.000]  I got a workflow for you.
[01:21:23.000 --> 01:21:25.000]  If you've been sharing these, like we do,
[01:21:25.000 --> 01:21:27.000]  if you share them with your family via iCloud,
[01:21:27.000 --> 01:21:29.000]  go in and look at the ones that they've, like,
[01:21:29.000 --> 01:21:31.000]  favorited or starved or whatever.
[01:21:31.000 --> 01:21:32.000]  What a cheat.
[01:21:32.000 --> 01:21:34.000]  Yeah, it's a terrific cheat.
[01:21:34.000 --> 01:21:36.000]  You find out, oh, my God, she's grown so much.
[01:21:36.000 --> 01:21:37.000]  Bingo.
[01:21:37.000 --> 01:21:38.000]  Right there.
[01:21:38.000 --> 01:21:39.000]  Boom.
[01:21:39.000 --> 01:21:40.000]  Upload.
[01:21:40.000 --> 01:21:41.000]  Click.
[01:21:41.000 --> 01:21:42.000]  Pop.
[01:21:42.000 --> 01:21:43.000]  It's that easy.
[01:21:43.000 --> 01:21:45.000]  And their site is a joy to use.
[01:21:45.000 --> 01:21:46.000]  It's so easy to use.
[01:21:46.000 --> 01:21:48.000]  Come Mother's Day, you're going to be thinking
[01:21:48.000 --> 01:21:50.000]  about John and Merlin, and you're going to think,
[01:21:50.000 --> 01:21:52.000]  John and Merlin did me right.
[01:21:52.000 --> 01:21:55.000]  Do it.
[01:21:55.000 --> 01:21:57.000]  Anything else you want to talk about?
[01:21:57.000 --> 01:21:59.000]  People probably think that we've got two or three hours
[01:21:59.000 --> 01:22:00.000]  left on the show, but we don't.
[01:22:00.000 --> 01:22:01.000]  We're done.
[01:22:01.000 --> 01:22:02.000]  Normally we do.
[01:22:02.000 --> 01:22:04.000]  We had to jam this one in because you've got, you know.
[01:22:04.000 --> 01:22:06.000]  What I could do.
[01:22:06.000 --> 01:22:07.000]  I'm in a tight spot.
[01:22:07.000 --> 01:22:08.000]  You're a two-parter.
[01:22:08.000 --> 01:22:10.000]  I'm in a tight spot, recording-wise.
[01:22:10.000 --> 01:22:12.000]  We've got to squeeze in these shows on the rare days
[01:22:12.000 --> 01:22:15.000]  when there aren't contractors upstairs banging holes
[01:22:15.000 --> 01:22:18.000]  in the walls of the house we're about to move out of.
[01:22:18.000 --> 01:22:20.000]  So anyway, it's a long, sad story,
[01:22:20.000 --> 01:22:23.000]  and it makes it hard to do a podcast.
[01:22:23.000 --> 01:22:28.000]  Well, we probably can't do our follow-up we'd like to do
[01:22:28.000 --> 01:22:29.000]  from our November episode.
[01:22:29.000 --> 01:22:30.000]  No, it's too much.
[01:22:30.000 --> 01:22:31.000]  Too deep.
[01:22:31.000 --> 01:22:32.000]  Too deep.
[01:22:32.000 --> 01:22:37.000]  But I don't want to bust a gut, but I would just like to say
[01:22:37.000 --> 01:22:42.000]  sincerely thank you to everybody who responded to that episode.
[01:22:42.000 --> 01:22:47.000]  That is maybe the most response I have ever gotten.
[01:22:47.000 --> 01:22:49.000]  It's without question for me.
[01:22:49.000 --> 01:22:52.000]  I mean, honestly, I'm talking about you include the talk
[01:22:52.000 --> 01:22:53.000]  where I cried.
[01:22:53.000 --> 01:22:57.000]  You include the thing I wrote on the thing.
[01:22:57.000 --> 01:23:02.000]  We got so much heartfelt, kind responses from people
[01:23:02.000 --> 01:23:04.000]  on a day that was very difficult for both of us
[01:23:04.000 --> 01:23:05.000]  and for a lot of people.
[01:23:05.000 --> 01:23:07.000]  I just want to say thank you for the opportunity to do it,
[01:23:07.000 --> 01:23:09.000]  honestly, and thank you to everybody who continues
[01:23:09.000 --> 01:23:11.000]  to send nice notes about that.
[01:23:11.000 --> 01:23:12.000]  I still remember that moment.
[01:23:12.000 --> 01:23:13.000]  It was a really nice thing.
[01:23:13.000 --> 01:23:15.000]  How many minutes into that episode?
[01:23:15.000 --> 01:23:17.000]  For anybody who's not familiar, the day after the election,
[01:23:17.000 --> 01:23:18.000]  was it the day after?
[01:23:18.000 --> 01:23:19.000]  The morning.
[01:23:19.000 --> 01:23:23.000]  The morning after the election, which Merlin and I
[01:23:23.000 --> 01:23:24.000]  both took pretty hard.
[01:23:24.000 --> 01:23:27.000]  We recorded an episode of the show about it,
[01:23:27.000 --> 01:23:28.000]  but without trying.
[01:23:28.000 --> 01:23:30.000]  The purpose was to just sort of talk our way through this
[01:23:30.000 --> 01:23:32.000]  and talk to anybody else who was upset through this
[01:23:32.000 --> 01:23:36.000]  in a way that was, you can't quite say apolitical,
[01:23:36.000 --> 01:23:38.000]  but non-partisan.
[01:23:38.000 --> 01:23:39.000]  Not strictly partisan.
[01:23:39.000 --> 01:23:41.000]  Not strictly partisan.
[01:23:41.000 --> 01:23:45.000]  And at some point, a few minutes into the show,
[01:23:45.000 --> 01:23:50.000]  you said, wait, is this a holiday party?
[01:23:50.000 --> 01:23:51.000]  It wasn't.
[01:23:51.000 --> 01:23:53.000]  You weren't aware at first.
[01:23:53.000 --> 01:23:54.000]  I wasn't aware.
[01:23:54.000 --> 01:23:57.000]  It reminded me of the holiday party episode
[01:23:57.000 --> 01:23:59.000]  that you did with Dan a long time ago,
[01:23:59.000 --> 01:24:01.000]  where you told the story of losing your driver's license.
[01:24:01.000 --> 01:24:02.000]  Right.
[01:24:02.000 --> 01:24:04.000]  And I could tell you were having a holiday party.
[01:24:04.000 --> 01:24:06.000]  I was having a holiday party.
[01:24:06.000 --> 01:24:09.000]  Was that a continuation of the previous night's holiday party?
[01:24:09.000 --> 01:24:10.000]  Yeah.
[01:24:10.000 --> 01:24:13.000]  I took the election very hard the night.
[01:24:13.000 --> 01:24:14.000]  Yes.
[01:24:14.000 --> 01:24:17.000]  Obviously, I was sober enough at one point
[01:24:17.000 --> 01:24:20.000]  to make arrangements with you to do a show the next day,
[01:24:20.000 --> 01:24:25.000]  but I really tried to drink away that election.
[01:24:25.000 --> 01:24:29.000]  And then it was maybe enough to drink where I woke up,
[01:24:29.000 --> 01:24:33.000]  and there was still a significant portion of the fuel
[01:24:33.000 --> 01:24:35.000]  coursing through my veins.
[01:24:35.000 --> 01:24:38.000]  I tried to scoop up everybody, but sometimes you're
[01:24:38.000 --> 01:24:39.000]  going to miss some people.
[01:24:39.000 --> 01:24:41.000]  And I might have thought to myself,
[01:24:41.000 --> 01:24:43.000]  if any time there's a Wednesday where you can have an eye
[01:24:43.000 --> 01:24:45.000]  opener, maybe this is the Wednesday.
[01:24:45.000 --> 01:24:46.000]  Yeah.
[01:24:46.000 --> 01:24:47.000]  That's your day.
[01:24:47.000 --> 01:24:48.000]  That is day.
[01:24:48.000 --> 01:24:49.000]  But it did.
[01:24:49.000 --> 01:24:51.000]  And you were right, and all joking aside,
[01:24:51.000 --> 01:24:54.000]  we got a tremendous amount of wonderful, heartfelt feedback
[01:24:54.000 --> 01:24:55.000]  immediately.
[01:24:55.000 --> 01:24:57.000]  And it lasted, though.
[01:24:57.000 --> 01:25:00.000]  Like, into January, and it still pops up every once
[01:25:00.000 --> 01:25:02.000]  in a while now where people will say,
[01:25:02.000 --> 01:25:04.000]  I've listened to that episode six times,
[01:25:04.000 --> 01:25:06.000]  and I've never done that with a podcast before.
[01:25:06.000 --> 01:25:08.000]  And it's like, that's crazy that you listened to it.
[01:25:08.000 --> 01:25:10.000]  So many people who said, I couldn't listen to it
[01:25:10.000 --> 01:25:12.000]  for a month, because they were having
[01:25:12.000 --> 01:25:15.000]  their own dark month of the soul title.
[01:25:15.000 --> 01:25:17.000]  And then they were like, I listened to it,
[01:25:17.000 --> 01:25:19.000]  and it doesn't make you feel better,
[01:25:19.000 --> 01:25:21.000]  but it makes you feel a little different.
[01:25:21.000 --> 01:25:22.000]  Yeah.
[01:25:22.000 --> 01:25:24.000]  Maybe a little different, and a lot of people
[01:25:24.000 --> 01:25:26.000]  said it made me feel like I wasn't alone.
[01:25:26.000 --> 01:25:27.000]  I'm not crazy.
[01:25:27.000 --> 01:25:28.000]  Yeah.
[01:25:28.000 --> 01:25:29.000]  So anyway, this is-
[01:25:29.000 --> 01:25:30.000]  Well, luckily, all that's settled now.
[01:25:30.000 --> 01:25:32.000]  Everything's running like a top.
[01:25:32.000 --> 01:25:35.000]  It's really like a well-oiled machine.
[01:25:35.000 --> 01:25:37.000]  Every day, every day.
[01:25:37.000 --> 01:25:40.000]  OK, so one of the worst things I've done in the last few months
[01:25:40.000 --> 01:25:43.000]  is, one of my friends I do that show with, Max Temkin,
[01:25:43.000 --> 01:25:47.000]  he has this list of people, this political, US political,
[01:25:47.000 --> 01:25:49.000]  people and reporters.
[01:25:49.000 --> 01:25:51.000]  And I started following, much to my peril,
[01:25:51.000 --> 01:25:53.000]  I started following this fucking list,
[01:25:53.000 --> 01:25:55.000]  and it's just unraveled my entire life,
[01:25:55.000 --> 01:25:58.000]  because I spend so much time going, flipper, flipper, flipper.
[01:25:58.000 --> 01:26:00.000]  And Tweetbot, looking at this thing.
[01:26:00.000 --> 01:26:02.000]  Is this a Twitter list, in other words?
[01:26:02.000 --> 01:26:04.000]  Yeah, if you go to Max Temkin, at Max Temkin,
[01:26:04.000 --> 01:26:06.000]  and look at his list, you'll see his US politics list.
[01:26:06.000 --> 01:26:08.000]  And it's actually, it's a good way,
[01:26:08.000 --> 01:26:10.000]  that's how I've learned about Molly Haberman,
[01:26:10.000 --> 01:26:13.000]  and Simon Molloy, and all these people that I really follow.
[01:26:13.000 --> 01:26:14.000]  Simon Molloy is funny.
[01:26:14.000 --> 01:26:16.000]  He's very funny.
[01:26:16.000 --> 01:26:21.000]  So anyway, but it seems like, pretty much every Monday,
[01:26:21.000 --> 01:26:24.000]  and a lot of most other days, someone announces,
[01:26:24.000 --> 01:26:27.000]  this is it.
[01:26:27.000 --> 01:26:29.000]  They're not going to get away from this one.
[01:26:29.000 --> 01:26:30.000]  This is it.
[01:26:30.000 --> 01:26:36.000]  This is the worst day that the Republican candidate has had.
[01:26:36.000 --> 01:26:42.000]  There's no, this is, there's piss.
[01:26:42.000 --> 01:26:45.000]  No way done.
[01:26:45.000 --> 01:26:46.000]  Done-zo.
[01:26:46.000 --> 01:26:47.000]  This is it.
[01:26:47.000 --> 01:26:49.000]  And then you come back the next day and you go,
[01:26:49.000 --> 01:26:58.000]  today he had the worst day.
[01:26:58.000 --> 01:26:59.000]  Release the Kraken.
[01:26:59.000 --> 01:27:01.000]  When do we get to see the piss video?
[01:27:01.000 --> 01:27:02.000]  That's what I want to know.
[01:27:02.000 --> 01:27:04.000]  In a lot of ways, you have to laugh.
[01:27:04.000 --> 01:27:07.000]  It's hard because there are some,
[01:27:07.000 --> 01:27:11.000]  there are some real world consequences, you know,
[01:27:11.000 --> 01:27:14.000]  to the environmental policy.
[01:27:14.000 --> 01:27:16.000]  Angela Merkel, her face.
