[00:00.000 --> 00:02.000]  You a Letterman fan?
[1:43:26.680 --> 1:43:29.920]  that way. In other words, I didn't link to it or I just say anything publicly. I didn't
[1:43:29.920 --> 1:43:35.800]  even tweet that I was doing it. They told me not to. Oh, okay. Just to keep it. Um, so they
[1:43:35.800 --> 1:43:42.000]  wouldn't need 50 security guards and well, it might, that's the thing is it, it bothered
[1:43:42.000 --> 1:43:45.840]  me because there were a few empty seats. And I know if I had tweeted it, there wouldn't
[1:43:45.840 --> 1:43:51.160]  have been, uh, I hate to see empty seats. And there were so many people who said that
[1:43:51.160 --> 1:43:54.600]  afterwards said the same thing. Like just friend, just personal friends in my living
[1:43:54.600 --> 1:43:57.680]  New York, you're like, that's why didn't you tell me, you know, doing this? But the,
[1:43:57.680 --> 1:44:02.720]  the publishers of the book crown publishing, uh, and they did, they like I think it was
[1:44:02.720 --> 1:44:08.160]  like 90% full. So they did fill 90% of the seats. And it would, and therefore because
[1:44:08.160 --> 1:44:13.080]  their promotions filled 90% of the seats, if I had tweeted it, it, I guarantee it would
[1:44:13.080 --> 1:44:16.720]  have been overflow. There would have been people turned away. So what would have been
[1:44:16.720 --> 1:44:22.560]  better having a couple of empty seats or having, you know, dozens and dozens of people
[1:44:22.560 --> 1:44:26.920]  turned away at the door? Because that store, the theater at that store in Soho is really
[1:44:26.920 --> 1:44:27.920]  pretty small.
[1:44:27.920 --> 1:44:32.680]  Small. Yeah. I wanted to go to, uh, read, by the way, real time follow up as they say,
[1:44:32.680 --> 1:44:38.960]  uh, I did not start splat up in 2007. It was 2011. I just realized that I always messed
[1:44:38.960 --> 1:44:43.320]  those two years up because those are the, the years that I switched jobs. Um, and they
[1:44:43.320 --> 1:44:50.240]  run. Yes. And there was an event in 2007 with, uh, I want to say Jason Schwartzman or the,
[1:44:50.240 --> 1:44:55.880]  uh, no, well, yeah, because he was in the short, it was something with, uh, Wes Anderson
[1:44:55.880 --> 1:44:59.640]  maybe at the Apple. He's in everything. He's in everything with Wes Anderson. Yeah. Who knows
[1:44:59.640 --> 1:45:03.200]  what movie well, I think it was Wes Anderson speaking at the Apple store or something
[1:45:03.200 --> 1:45:06.880]  like that. And that was, they had a line around the block or something like that. So
[1:45:06.880 --> 1:45:11.320]  I couldn't get into that. And that was kind of disappointing. Uh, so you don't want that
[1:45:11.320 --> 1:45:16.800]  to happen either. No. So I wasn't trying to be coy and I wasn't trying to be secretive.
[1:45:16.800 --> 1:45:19.400]  But and it wasn't like they banned me. They were just like, don't worry about it. You
[1:45:19.400 --> 1:45:22.560]  don't have to link it. You know, we'll take care of the place. So I was like, okay, whatever
[1:45:22.560 --> 1:45:27.760]  you say. So I don't ever, you know, anybody who is upset that they didn't hear about it
[1:45:27.760 --> 1:45:33.280]  on during fireball. I was, you know, I was just doing what they suggested. Anyway, I think
[1:45:33.280 --> 1:45:37.360]  San Francisco should turn out great. I don't think it's, like I said, I think installing
[1:45:37.360 --> 1:45:41.200]  the versions that they shipped right now as is is not going to give you the look that
[1:45:41.200 --> 1:45:43.760]  they're after. But I, I'm with you. I mean, there's no way that Apple's going to
[1:45:43.760 --> 1:45:47.760]  ship it if it looks ugly. No, I think it's, it's good. And they're kind of setting the
[1:45:47.760 --> 1:45:54.600]  ground long term also for, you know, all these things to look more like each other. Yeah.
[1:45:54.600 --> 1:45:58.000]  And I think, you know, there's an argument to me made that that Helvetica was never
[1:45:58.000 --> 1:46:04.400]  a great system font that there's a certain role that the system font plays that Helvetica
[1:46:04.400 --> 1:46:07.920]  isn't great at. I think it's a great font. And I think it's a humble choice, but, you
[1:46:07.920 --> 1:46:12.560]  know, it doesn't really look like a label. And that's what UI font really is. They're
[1:46:12.560 --> 1:46:18.080]  like labels. I also think it's pretty clear that they're shifting to using it, like for
[1:46:18.080 --> 1:46:23.600]  any kind of user interface, including hardware, because the new keyboard on the, the single
[1:46:23.600 --> 1:46:28.560]  port MacBook uses San Francisco as the key cap font on the keyboard as well.
[1:46:28.560 --> 1:46:33.560]  And it looks good. I mean, I, you know, I have a night. I don't notice that. So it looks
[1:46:33.560 --> 1:46:38.240]  good to me. Oh, you have that, that's the computer. I do. Yeah. Using it right now.
[1:46:38.240 --> 1:46:44.960]  I'm not. No, I, well, as I was complaining earlier, there's not really with something
[1:46:44.960 --> 1:46:50.800]  like this. And I'm sure Apple's busy, but it would have been a lot. I think they could have
[1:46:50.800 --> 1:46:57.000]  done a little more accessories in the USB realm for this thing. Uh, you know, they had
[1:46:57.000 --> 1:47:04.640]  the, the $80 stuff that most people don't need, but I would have loved to have seen some
[1:47:04.640 --> 1:47:12.080]  sort of proper hub or chart some more interesting charging options or even a USB C to lightning
[1:47:12.080 --> 1:47:18.280]  cable. Yeah, just like an elegant hub. Yeah, just some, just, you know, and it's easy add
[1:47:18.280 --> 1:47:22.200]  on sales. Like I probably would have ordered a bunch of that kind of stuff. Instead, I've
[1:47:22.200 --> 1:47:28.840]  been ordering USB cords off Amazon and they're all random manufacturers. They're all too
[1:47:28.840 --> 1:47:36.120]  short. None of them are any good. Um, I have, I'm going to send one back. So I, I only
[1:47:36.120 --> 1:47:41.880]  use it for stuff that, uh, that I don't need to connect anything to it. Hmm. Uh, but
[1:47:41.880 --> 1:47:49.400]  it's great. You know, it is extremely sexy machine is as much as a laptop can be a sexy
[1:47:49.400 --> 1:47:57.560]  machine space black. No, or space gray. I'm, I'm a purest to me the most beautiful Mac ever
[1:47:57.560 --> 1:48:03.800]  is the, you know, the original power book that, well, the original titanium silver power
[1:48:03.800 --> 1:48:09.640]  book. So titanium one. Uh, and I ever had a titanium one. My, my first, actually, and this
[1:48:09.640 --> 1:48:16.280]  should be at, at some point a post, but my first laptop that I ever bought with my own money
[1:48:16.280 --> 1:48:25.640]  was the 12 inch power book. G four, uh, G three, G four. I don't remember what chip was in there.
[1:48:25.640 --> 1:48:30.840]  I think a G four. Yeah, the color wasn't so it was the aluminum 12 inch, you know, the
[1:48:30.840 --> 1:48:36.440]  aluminum's were always two four. Yeah, they were G four. And, uh, it was, it was really great,
[1:48:36.440 --> 1:48:43.800]  but it was also extraordinarily limited and, and very heavy. And as a result, even though it was
[1:48:43.800 --> 1:48:50.200]  compact, I never really took it anywhere. So it was completely kind of dumb as a laptop. Uh,
[1:48:51.160 --> 1:48:56.360]  but to me, those are just super beautiful machines. So I've, you know, even though I had choices
[1:48:56.360 --> 1:49:01.480]  for what colors, I also, and I've seen some other people say this too. That space gray just reminds
[1:49:01.480 --> 1:49:07.720]  me so much of the Sony vioes that my friends had and hated. I don't know. It's just a weird, uh,
[1:49:07.720 --> 1:49:13.240]  a weird thing in my head. So I, I, as a purest, I stuck with the silver aluminum and it's beautiful.
[1:49:13.240 --> 1:49:22.520]  I really like it. Uh, and the screen is, is, it's my first retina mac and it really makes me realize
[1:49:22.520 --> 1:49:28.040]  how bad my vision is cutting. It's like, wow, this is blurry and how, how bad am I seeing?
[1:49:28.040 --> 1:49:35.080]  Um, no, it's cool. Uh, you know, we don't, we don't need to get into review territory, but, uh,
[1:49:36.280 --> 1:49:44.840]  I'm happy with it. I did not return it. Hmm. Um, do you see Marco Arment got one and he really
[1:49:44.840 --> 1:49:50.680]  did not like it. That's what I was winking at. Yeah, it does not like, does not like the keyboard,
[1:49:51.640 --> 1:49:55.320]  uh, doesn't like the trackpad, which really surprised me. I have not spent time with it. I've
[1:49:55.320 --> 1:50:00.600]  only played with it in a store, but I've liked the way it feels in the store. Um, not surprised
[1:50:00.600 --> 1:50:05.240]  he doesn't like the keyboard and he found it to be too slow. So he's, he's actually returning it.
[1:50:05.240 --> 1:50:12.440]  Neither of those two things bothered me. Hmm. Uh, the screen is, is nice. I, I, it was not as,
[1:50:12.440 --> 1:50:17.400]  I was not as blown away as I thought I would be by the screen. I don't know if that's my vision
[1:50:17.400 --> 1:50:22.920]  or the actual screen. Uh, the thing that, that is a little, I would say the most disappointing
[1:50:22.920 --> 1:50:33.720]  is the speed and, um, you know, I'm still using a 2010 MacBook Air 13 inch. Yeah. And it's
[1:50:33.720 --> 1:50:39.800]  still very fast. Hmm. It's probably the most impressive computer I've ever purchased. Yeah, I had
[1:50:39.800 --> 1:50:45.320]  a 2010 MacBook, but the 11 inch and I used it until last year. I mean, I used that a long time.
[1:50:45.320 --> 1:50:49.960]  Well, maybe mine was 2011. So not a 2010, but anyway, but that, that vintage of air, I thought
[1:50:49.960 --> 1:50:56.600]  held up very well. Amazing. And this I know is not going to. I mean, right now, even, even brand new,
[1:50:56.600 --> 1:51:02.440]  it's doesn't feel very fast, which is fine. I use it for, for, you know, writing blog posts,
[1:51:02.440 --> 1:51:07.800]  but I'm not getting, I don't think I'm going to get four years out of it. Uh, let me take a break
[1:51:08.520 --> 1:51:12.520]  and thank our final sponsor and then we'll wrap up the show. And on it, I have information,
[1:51:12.520 --> 1:51:20.520]  I have details to reveal about the live episode of the talk show during WWDC week. Um, but first,
[1:51:20.520 --> 1:51:26.440]  I am going to thank our final sponsor of the show and it's automatic. Now, I've, they've been
[1:51:26.440 --> 1:51:31.480]  on the show once or twice before, uh, just spelled exactly like the dictionary word automatic.
[1:51:31.480 --> 1:51:37.720]  What is it? It is a small connected car adapter. It's just a little dingus that you plug into
[1:51:37.720 --> 1:51:44.120]  your car's diagnostic port. Uh, and I think every car since 1996 has one of these ports.
[1:51:44.920 --> 1:51:48.200]  Uh, somewhere down there underneath the dashboard, there's a little thing that you
[1:51:48.200 --> 1:51:54.200]  open up and there's a little tiny port. It's, uh, industry wide, you plug the automatic in there
[1:51:54.200 --> 1:51:59.320]  and then you get access to this port the way that like mechanics do. That's what the mechanics do,
[1:51:59.320 --> 1:52:03.640]  like when your car has like a light that comes on and says, hey, go get service, uh, A2.
[1:52:03.640 --> 1:52:09.000]  Uh, how does that get reset after they actually do service A2? They use this port. So you
[1:52:09.000 --> 1:52:12.840]  can go in there. You use this check engine light comes on. You put, you know, your automatic will
[1:52:12.840 --> 1:52:18.120]  tell you in plain English exactly what's going on. So instead of just knowing, hey, something has
[1:52:18.120 --> 1:52:22.760]  gone wrong in the engine lights on, you'll know exactly what's on. How do you find out from this
[1:52:22.760 --> 1:52:28.360]  dingus? Well, it communicates to a really well designed app on your iPhone and it communicates
[1:52:28.360 --> 1:52:32.840]  over Bluetooth. So it's not like you have to sit there and fish this, uh, date. Once you install it,
[1:52:32.840 --> 1:52:37.160]  you just leave it there. Just leave it. You put it in there and you never worry about it again and
[1:52:37.160 --> 1:52:43.320]  you do all your interaction, uh, through the iPhone. It's the, uh, the internet of things come to life
[1:52:43.320 --> 1:52:49.880]  and your car suddenly, uh, as long as your car was made in 1996 or later, it becomes like a smart car,
[1:52:51.000 --> 1:52:54.520]  all sorts of stuff. You get information about the diagnostic state of your car.
[1:52:55.160 --> 1:53:00.760]  Uh, it scores your driving and coaches you to drive more efficiently and save gas and save
[1:53:00.760 --> 1:53:03.960]  wear and tear in your car, tells you whether you're, you know, maybe you're a little too heavy
[1:53:03.960 --> 1:53:08.600]  on the gas pedal like, uh, like I am, uh, maybe you're wearing your brakes out too fast. It'll give
[1:53:08.600 --> 1:53:11.960]  you advice on stuff like that. Uh, if you don't want to pay attention to it, you don't have to,
[1:53:11.960 --> 1:53:16.680]  but it'll give you a warning. If you start going too fast, uh, the default is 70, I, I crank that up to
[1:53:16.680 --> 1:53:23.320]  around 90. Um, and joking aside, they even have something serious like crash detection. So it
[1:53:23.320 --> 1:53:30.040]  automatic can detect a crash and call for help for free. Uh, a human will even stay on the line with
[1:53:30.040 --> 1:53:33.800]  you until help arrives. So hopefully nobody out there's ever going to need that, but it's a good
[1:53:33.800 --> 1:53:39.880]  feature to have, if, you know, if worse comes worse, uh, they even have stuff, all sorts of stuff,
[1:53:39.880 --> 1:53:43.640]  this internet of things type stuff. They've got nest integration to heat your home or turn on the
[1:53:43.640 --> 1:53:46.680]  air conditioning, turn to, you know, I guess we're heading towards summer. So heating isn't really
[1:53:46.680 --> 1:53:51.640]  an issue, but you can have the air conditioning turned up as you get close to home. Uh, you can
[1:53:51.640 --> 1:53:55.640]  find out all sorts of more stuff. If you just want to learn about the nest integration stuff,
[1:53:55.640 --> 1:54:00.600]  go to automatic.com slash nest and I'll tell you about that. Uh, and they have all sorts of
[1:54:00.600 --> 1:54:04.360]  other ways that you can, you know, connect this to, you can connect it to Google Docs, you can connect
[1:54:04.360 --> 1:54:12.120]  it to Twitter, ever note, uh, if this, then that, I F T T T dot com slash automatic has, uh,
[1:54:12.120 --> 1:54:17.560]  information, uh, anything with an API that you might want to connect your smart car to, they can do
[1:54:17.560 --> 1:54:22.200]  it. Sounds fantastic, right? You probably, this is very expensive. Guess what? It's a hundred bucks,
[1:54:22.200 --> 1:54:25.960]  a hundred dollar dingus. You just plug it right in your car and you're done. But even better
[1:54:26.760 --> 1:54:31.880]  listeners of the show go to automatic.com slash talk show. No, the just slash talk show,
[1:54:31.880 --> 1:54:38.920]  automatic slash, uh, automatic dot com slash talk show. And you save 20 bucks. So it's only $80
[1:54:38.920 --> 1:54:45.480]  for you. And it ships in two business days. And they have a 45 day return policy. Go there,
[1:54:45.480 --> 1:54:50.760]  cough up to 80 bucks. They'll send you the thing. 44 days go by and you're not impressed to send
[1:54:50.760 --> 1:54:55.720]  it back to them and you get all your money back. So my thanks to automatic. Um, so what else
[1:54:55.720 --> 1:55:03.800]  we've got to happen this week? Um, that's an, yeah, that was funny. Verizon bought AOL. Nah.
[1:55:04.840 --> 1:55:09.480]  Is that interesting? I really, I don't really think so. Because I think, I think the only
[1:55:09.480 --> 1:55:15.240]  thing that was really interesting to me is just how, how far AOL has fallen that they were worth,
[1:55:15.240 --> 1:55:20.680]  like when the time Warner thing went, went down in the first dot com era, they were a 380
[1:55:20.680 --> 1:55:25.480]  billion dollar company. And they sold Verizon. Yeah, that was, that was a good chart. Uh,
[1:55:26.280 --> 1:55:32.360]  and a similar staff that I heard, uh, I read a couple weeks ago was that if you had bought Amazon
[1:55:32.360 --> 1:55:38.680]  stock at the top of the bubble, like the highest point of the bubble, uh, you still would have
[1:55:38.680 --> 1:55:43.640]  made a, a very nice profit holding onto it by now. So yeah, it would have been, you would have
[1:55:43.640 --> 1:55:50.440]  beat the market one several times. The S&P over that period. So, uh, the ups and downs of the dot
[1:55:50.440 --> 1:55:56.680]  com bust, I guess. Uh, oh, well, we could talk a little about the Wall Street Journal report,
[1:55:56.680 --> 1:56:01.720]  about the Apple TV. Oh, yeah, that's the, yeah, that's definitely what I wanted. I knew there was
[1:56:01.720 --> 1:56:11.400]  something. Um, I'm bummed, man. So, how would, what's the, uh, just of it, the timeline seems to be
[1:56:11.400 --> 1:56:17.240]  that I, I think I can sledder prompted it. I think what happened. So Carl, I can, you know,
[1:56:17.240 --> 1:56:23.480]  the, what it would you call him, quote unquote activist investor, activist investor who owns,
[1:56:23.480 --> 1:56:29.000]  I don't know, six billion dollars in Apple stock, which is a lot of money, but is not a lot,
[1:56:29.000 --> 1:56:34.280]  you know, it's not a lot compared to Apple's market cap, um, but enough that he can make some
[1:56:34.280 --> 1:56:41.400]  noise. So more than Tim CoDones. Yeah, he posted an open letter. Uh, I thought rather rambling,
[1:56:41.400 --> 1:56:46.520]  uh, didn't really have much of a point, but, and it, it just was sort of a side note in it that he
[1:56:46.520 --> 1:56:51.400]  expects that the reason he expects Apple stock to go up to around 200, he thinks it's worth around
[1:56:51.400 --> 1:56:57.320]  $240 a share. And right now it's around 120 to 130. So he expects it to double, you know, at some
[1:56:57.320 --> 1:57:01.800]  point. And, you know, still thinks it's a great investment. And one of the, two of the reasons why is
[1:57:01.800 --> 1:57:08.600]  that he thinks that he, his firm, he personally expects Apple to begin making, quote, ultra high
[1:57:08.600 --> 1:57:14.360]  definition television sets in 2016 and that to enter the electronic car market by 2020.
[1:57:14.360 --> 1:57:19.640]  Uh, and that both of those markets are very big. And then the next day, uh,
[1:57:19.640 --> 1:57:27.800]  Daisuki, walk a bioshi of the Wall Street Journal had this report, um, that said, I'm, I'm
[1:57:27.800 --> 1:57:34.600]  see if I can quote it exactly. Uh, but after nearly a decade of research, Apple has quietly
[1:57:34.600 --> 1:57:40.120]  shelved plans to make such a set more than a year ago, according to people familiar with the matter.
[1:57:40.120 --> 1:57:44.840]  Apple had searched for breakthrough features to justify building an Apple branded television set,
[1:57:44.840 --> 1:57:49.720]  those people set. In addition to an ultra high definition display, Apple considered adding
[1:57:49.720 --> 1:57:54.760]  sensor equipped cameras so viewers could make video calls through the set. Ultimately,
[1:57:54.760 --> 1:57:59.320]  though Apple executives didn't consider any of those features compelling enough to enter the highly
[1:57:59.320 --> 1:58:04.760]  competitive television market led by Samsung electronics company. Apple typically likes to enter
[1:58:04.760 --> 1:58:10.760]  a new product area with innovative technology and easier to use software. That's, you know,
[1:58:10.760 --> 1:58:14.920]  and then it goes on from there, but the article could have ended there. If the Wall Street Journal
[1:58:14.920 --> 1:58:19.640]  could have three paragraph story, that, that would have been the story. I'm not surprised. I,
[1:58:19.640 --> 1:58:24.040]  you, you, you're depressed. I mean, no, it's not really. I just, I bought a crappy
[1:58:24.040 --> 1:58:30.040]  Vizio TV and I, and I learned a life lesson, which is don't ever save a hundred dollars when
[1:58:30.040 --> 1:58:40.120]  you're buying a TV. Spend the extra hundred bucks and get a better TV. You know, you could make
[1:58:40.120 --> 1:58:45.560]  the argument that the actual television, and I think that's, I think this is correct, that the
[1:58:45.560 --> 1:58:52.920]  actual television piece of glass doesn't matter that much. You know, the TV companies, of course,
[1:58:52.920 --> 1:58:59.960]  want it to. And they've stuffed all this crappy quote unquote smart software on it. Um, but none
[1:58:59.960 --> 1:59:06.920]  of it's any good. So really what you just want is a dumb piece of glass with an HDMI cable running
[1:59:06.920 --> 1:59:14.920]  into something good. Yeah, which in this case, you know, is either your, your cable box or your
[1:59:14.920 --> 1:59:23.640]  Apple TV or your Amazon fire stick or Roku or whatever. And that's fine. I, but on the other hand,
[1:59:23.640 --> 1:59:28.600]  I still have this big screen sitting in my living room and I wish that it was prettier. And,
[1:59:29.400 --> 1:59:32.920]  you know, I think that Apple could have probably done a much nicer job on that.
[1:59:32.920 --> 1:59:37.080]  Right. And sweat the details. I mean, it dissolves. There's an argument to be made that I wish
[1:59:37.080 --> 1:59:42.840]  somebody would make an Apple style regular TV. Yeah, just a dumb TV, but with Apple quality
[1:59:42.840 --> 1:59:52.120]  attention to the color of the display, the quality of the display, the, the bezel around the
[1:59:52.120 --> 1:59:57.480]  display, make it something that Apple would want to, you know, use to be like the TVs and the stores.
[1:59:58.600 --> 2:00:03.320]  And an Apple attention to Apple type attention to the ports in the back and how they're arranged
[2:00:03.320 --> 2:00:10.200]  in the details and the sound and the remote control and, you know, it just as simple as the remote
[2:00:10.200 --> 2:00:17.240]  works, which is not the, you know, we have to get up and basically stand next to the TV to get
[2:00:17.240 --> 2:00:22.120]  the remote to work. And yeah, and even even things like what, and what does it look like when you
[2:00:22.120 --> 2:00:26.360]  switch HDMI inputs? Does the font that tells you which one you're switching to look nice?
[2:00:26.360 --> 2:00:30.680]  Exactly. I have to say mine, I have a pie still have an old pioneer plasma that I'm going to
[2:00:30.680 --> 2:00:37.400]  hold on to until it breaks because I love plasma so much. And pioneer, I mean, an Apple, I don't
[2:00:37.400 --> 2:00:41.800]  know if they still do because, but I mean, for years, Apple had pioneers in the Apple stores connected
[2:00:41.800 --> 2:00:48.680]  to Apple TVs. So I love my pioneer. And little things like some of the stuff that I just said,
[2:00:48.680 --> 2:00:53.560]  like where the ports are, how do you get to them? How, how distracting or non-distracting is the bezel
[2:00:53.560 --> 2:00:57.480]  around the display? All of those things the pioneer did great. Well, I'm just saying that there's
[2:00:57.480 --> 2:01:03.160]  other brands that do so good. No, I would not recommend a busy out to anyone at this point.
[2:01:03.160 --> 2:01:14.200]  I'm still running Yahoo Widgets. This is not an old TV. My first TV was a brand called Winbook,
[2:01:14.200 --> 2:01:21.640]  which was the store brand for Micro Center, which was like a comp USA knockoff in Chicago.
[2:01:22.520 --> 2:01:31.080]  And this was 2005. And it was like 1200 bucks for a 32 inch or something like that. And it was
[2:01:31.080 --> 2:01:37.320]  amazing. It was, it was great, especially compared to this thing that, you know, that I just bought
[2:01:37.320 --> 2:01:43.080]  a couple of years, like a year ago, there was half that price and much bigger, but just a piece of
[2:01:43.080 --> 2:01:49.160]  crap. Like the coding on the screen is has got to be the most reflective coding they could have
[2:01:49.160 --> 2:01:55.240]  bought. Like they're almost did it as a joke. So you can, you can see your t-shirt reflecting in
[2:01:55.240 --> 2:02:00.680]  the screen more than you can see the show depending on the light. We tried to watch TV during the day
[2:02:00.680 --> 2:02:07.640]  the other day. Just you can't do it because I don't know. And this is, you know, I'm an idiot
[2:02:07.640 --> 2:02:11.880]  for a hundred bucks more. I could have got a Samsung with probably a better coding and all that stuff.
[2:02:11.880 --> 2:02:22.200]  But so don't ever save a hundred bucks on a TV. We've got a Samsung upstairs and it didn't didn't even
[2:02:22.200 --> 2:02:28.200]  pick it out. It's like, it was like a reward that my wife got. She does like this charity thing
[2:02:28.200 --> 2:02:35.800]  for food allergies. And she's raised a ton of bucks over the years. And because she was like the
[2:02:35.800 --> 2:02:40.920]  biggest, I don't know if she, I don't know if it was the city or the state or something, but she
[2:02:40.920 --> 2:02:49.960]  was the biggest fundraiser in the state and she got a Samsung TV. Cool. But it, even that Samsung isn't
[2:02:49.960 --> 2:02:53.800]  that good in my opinion. Like if you turn it on, it plays a sound like the Windows, the old
[2:02:53.800 --> 2:02:59.640]  Windows startup time. And it annoys me. And I can't, maybe there's some way to turn it off. I
[2:02:59.640 --> 2:03:03.720]  can't figure it out. I've tried. It just annoys me to know why in the world what I want my TV to
[2:03:03.720 --> 2:03:09.960]  play a jingle, you know, when I turn it on, just turn on. All I want you to do is turn on.
[2:03:11.080 --> 2:03:14.280]  I hate it. I think it also plays a jingle when you power it off too.
[2:03:14.280 --> 2:03:21.960]  So we're getting somewhere. So there's definitely a market for an Apple quality TV.
[2:03:21.960 --> 2:03:25.400]  Yeah, but I don't think it's a good, I don't think it's a good business. Right. You know what I mean?
[2:03:25.400 --> 2:03:30.840]  Right. Like people like me would buy, I would pay extra for an Apple, just a dumb TV, an Apple
[2:03:30.840 --> 2:03:39.960]  HD, you know, IDF TV with HDMI inputs or maybe, you know, the idea was always that it would have
[2:03:39.960 --> 2:03:45.320]  an Apple TV built into it. But then I've even thought about that. Like I don't even know how much
[2:03:45.320 --> 2:03:51.320]  since that makes because what, you know, Apple doesn't rev the Apple TV hardware every year,
[2:03:51.320 --> 2:03:55.720]  certainly not yet. Maybe they will going forward. But, you know, to date, I guess there've only been
[2:03:55.720 --> 2:04:00.280]  like three generations of it, the old one and then two versions of the new Apple TV.
[2:04:01.960 --> 2:04:09.080]  But I expect a TV to last many years, you know, and so building the Apple TV stuff into the TV
[2:04:09.080 --> 2:04:13.880]  doesn't, I don't know how smart that is. Right, because if you know, if one version of the software
[2:04:13.880 --> 2:04:19.080]  only runs on a certain A chip, then what do you, you're not going to throw out your TV.
[2:04:19.080 --> 2:04:24.680]  This is one of these things where I think a decade ago totally would have made sense given where
[2:04:24.680 --> 2:04:29.880]  Apple was at that point. But now when they're in the, you know, in the reality of shipping
[2:04:30.680 --> 2:04:38.360]  hundreds of millions of devices a year, increasingly smaller devices have, you know, building some
[2:04:38.360 --> 2:04:46.280]  product line that has, you know, tens of millions of customers maximum and is a huge box that they
[2:04:46.280 --> 2:04:53.560]  have to ship. I just, it doesn't make, it doesn't seem to be to reflect today's Apple very well.
[2:04:53.560 --> 2:05:00.600]  Yeah. And the other thing too is if Apple wants to go like with the iPhone six plus,
[2:05:00.600 --> 2:05:07.400]  they switch to this new three X retina resolution, but it's not really three X. It's 1920 by
[2:05:07.400 --> 2:05:12.040]  whatever and that they just upscaled a three X and then downscaled to fit the screen.
[2:05:12.040 --> 2:05:16.760]  They can do that because they control everything, right? They control the iOS, they control,
[2:05:16.760 --> 2:05:20.120]  you know, and they have all, and they know that developers will get on board and do the right
[2:05:20.120 --> 2:05:26.600]  thing and update to three X retina graphics and stuff like that. With the TV, they don't have that.
[2:05:26.600 --> 2:05:32.200]  They can't, they can't force the industry to go to, you know, whatever this ultra high death
[2:05:32.200 --> 2:05:38.440]  format is 4K types, you know, 4K content. And I know Netflix has a little bit of 4K stuff,
[2:05:38.440 --> 2:05:46.200]  like house cards, you can get in 4K. But it's like, to me, the advantage of them pushing ahead
[2:05:46.200 --> 2:05:51.000]  with like, hey, here's a breakthrough in high definition resolution, they can't make the industry
[2:05:51.000 --> 2:05:55.880]  ship content in that resolution. And then therefore, what's the point of it? Like, the advantages
[2:05:55.880 --> 2:06:00.440]  of Apple doing it just don't seem as apparent to me as, as with the devices where they control
[2:06:00.440 --> 2:06:07.320]  everything. And I guess just the difference between those two strategies is big enough that,
[2:06:07.320 --> 2:06:13.560]  I think that they've kind of proven they and Roku and Amazon and everyone has proven that,
[2:06:14.360 --> 2:06:20.600]  you know, enough people will buy and add on a little puck to their TV that that's a viable strategy
[2:06:20.600 --> 2:06:28.280]  to reach, you know, a good percentage of households, at least in the US, which is, you know,
[2:06:28.280 --> 2:06:35.000]  an unlike their phone business, which they now have, you know, an incredible worldwide distribution,
[2:06:35.000 --> 2:06:41.800]  this TV stuff is going to probably be US only for a while. I mean, the rights negotiations is
[2:06:41.800 --> 2:06:46.840]  still very much on a country by country basis. If you look at see how long it took Netflix to,
[2:06:47.480 --> 2:06:54.280]  yeah, to get into different markets, you know, I would be shocked if they had
[2:06:55.160 --> 2:06:59.400]  more than four or five countries of TV service at the beginning.
[2:06:59.400 --> 2:07:05.480]  Yeah. I also think, and I wrote about this, I'm doing Fireball that, and that Apple, it seems
[2:07:05.480 --> 2:07:11.080]  to me that this, that the scoop that the journal got was from Apple that I can't say, hey,
[2:07:11.080 --> 2:07:15.080]  we think they're going to do a high definition TV. People have been saying this forever,
[2:07:15.080 --> 2:07:19.720]  you know, Gene Munster's been on it for a decade that Apple's going to do a whole TV set.
[2:07:21.080 --> 2:07:26.040]  And I feel like the journal report, you never know who these people familiar with the matter are,
[2:07:26.040 --> 2:07:29.880]  because sometimes they clearly aren't that familiar with it at all. I think in this case,
[2:07:29.880 --> 2:07:36.280]  they probably are. And I think that just the common sense Occam's razor is, there's widely
[2:07:36.280 --> 2:07:41.560]  rumored to be new Apple TV hardware coming at WWDC, including a software development kit so that
[2:07:41.560 --> 2:07:47.240]  you can write apps for it. I don't know anything about that. I know in years past, I know things
[2:07:47.240 --> 2:07:51.880]  and I coily, you know, put them forward and, you know, I know a little bit more than a little,
[2:07:51.880 --> 2:07:55.800]  in this case, I don't know anything. I don't know anybody who's told me this other than that,
[2:07:55.800 --> 2:08:00.440]  I know an awful lot of people who tell me that they've been told, you know, third hand or whatever,
[2:08:00.440 --> 2:08:07.640]  yeah, this is all coming at WWDC. And again, Scoop German has been all over it. I don't think
[2:08:07.640 --> 2:08:13.560]  anybody's going to be surprised if there's new Apple TV hardware at WWDC and the SDK.
[2:08:16.600 --> 2:08:20.440]  I think that Apple wanted to get out on top of this and they want to nip this,
[2:08:20.440 --> 2:08:24.520]  but maybe they'll do a whole TV set too, because they're not going to do a TV set,
[2:08:24.520 --> 2:08:29.240]  and they don't want people waiting for it. That if you, if what they announce in June,
[2:08:29.240 --> 2:08:33.960]  as a little box that you connect to your TV by HDMI, if that sounds interesting to you,
[2:08:33.960 --> 2:08:39.080]  go and buy it. Don't hold your breath and wait for a TV set for us, because I think if they
[2:08:39.080 --> 2:08:41.880]  didn't get on top of it, that's what everybody would think. They'd think, wow, that sounds
[2:08:41.880 --> 2:08:45.640]  cool, but maybe I'll just wait for the TV set that Carl I can tell me I should be waiting for.
