[00:00.000 --> 00:02.000]  How is sunny California?
[01:33:01.000 --> 01:33:03.000]  And even multitasking now is just in time multitasking.
[01:33:03.000 --> 01:33:06.000]  It's not the old concept of multitasking anymore.
[01:33:06.000 --> 01:33:08.000]  And this is becoming almost like a real-time world
[01:33:08.000 --> 01:33:10.000]  where you don't have to preload a bunch of apps
[01:33:10.000 --> 01:33:11.000]  and you can have a bunch of features.
[01:33:11.000 --> 01:33:12.000]  And I agree with you.
[01:33:12.000 --> 01:33:14.000]  I don't think Apple would do it in this way,
[01:33:14.000 --> 01:33:17.000]  but I think extensibility and the creative ways they've been using it
[01:33:17.000 --> 01:33:20.000]  and it's underpinning a lot of technologies in iOS 9
[01:33:20.000 --> 01:33:24.000]  like the game recording, for example, is run through an extension
[01:33:24.000 --> 01:33:26.000]  so that the game has no idea what you're recording
[01:33:26.000 --> 01:33:27.000]  and no access to your movie,
[01:33:27.000 --> 01:33:31.000]  but that could easily be split out into a separate screen recording functionality.
[01:33:31.000 --> 01:33:34.000]  I think that's sort of that future that we're going to
[01:33:34.000 --> 01:33:37.000]  where we're not going to be bound by these binary blobs on our screens anymore.
[01:33:37.000 --> 01:33:39.000]  I found it in my notes.
[01:33:39.000 --> 01:33:41.000]  It's called Android Instant Apps.
[01:33:41.000 --> 01:33:45.000]  And one of the things that's interesting about me is just the big picture
[01:33:45.000 --> 01:33:49.000]  that it is a full embrace of the native app as an important thing
[01:33:49.000 --> 01:33:52.000]  by Google, who's known as a web company.
[01:33:52.000 --> 01:33:53.000]  Yes.
[01:33:53.000 --> 01:34:00.000]  To me, it's a tacit acknowledgement that native apps are better than web apps
[01:34:00.000 --> 01:34:04.000]  because this is a way that native apps are getting a lot more webby,
[01:34:04.000 --> 01:34:09.000]  to put it one way, where the same way that you don't have to download,
[01:34:09.000 --> 01:34:10.000]  you don't install a web page.
[01:34:10.000 --> 01:34:12.000]  You just go to the URL and it loads.
[01:34:12.000 --> 01:34:13.000]  This is the same thing.
[01:34:13.000 --> 01:34:15.000]  You don't have to worry about installing an app.
[01:34:15.000 --> 01:34:19.000]  You just tap a URL and a part of the app just instantly loads.
[01:34:19.000 --> 01:34:24.000]  To me, it's just a tacit acknowledgement that native apps are superior,
[01:34:24.000 --> 01:34:29.000]  especially on mobile devices.
[01:34:29.000 --> 01:34:31.000]  I don't know if they announced it,
[01:34:31.000 --> 01:34:34.000]  but I think there was that whole thing about Android apps on Chrome as well.
[01:34:34.000 --> 01:34:35.000]  What does that mean?
[01:34:35.000 --> 01:34:38.000]  Because Chrome, to me, was like the most Google operating system.
[01:34:38.000 --> 01:34:40.000]  It was a cloud-first web-centric operating system,
[01:34:40.000 --> 01:34:42.000]  but you have to start running Android apps.
[01:34:42.000 --> 01:34:45.000]  What does that mean about the future of those cloud-centric web apps?
[01:34:45.000 --> 01:34:49.000]  Yeah, well, I think maybe it's wrong to describe that as the most Googley.
[01:34:49.000 --> 01:34:51.000]  It's the most webby.
[01:34:51.000 --> 01:34:54.000]  And there's a lot of people, and for a lot of years,
[01:34:54.000 --> 01:34:59.000]  it seemed like Google as a company was dominated by people who have that,
[01:34:59.000 --> 01:35:01.000]  hey, the web is the future.
[01:35:01.000 --> 01:35:05.000]  Everything's going to run in a browser tab eventually mindset.
[01:35:05.000 --> 01:35:11.000]  And I think that what we're seeing is that that's no longer true of Google.
[01:35:11.000 --> 01:35:12.000]  Here it is.
[01:35:12.000 --> 01:35:14.000]  So Chromebooks will be able to run Android apps when the feature arrives
[01:35:14.000 --> 01:35:18.000]  later this year, and that, to me, is really, really interesting.
[01:35:18.000 --> 01:35:24.000]  Yeah, but I wonder, though, how well that's going to work.
[01:35:24.000 --> 01:35:26.000]  It's been a while since I've tried an Android tablet,
[01:35:26.000 --> 01:35:34.000]  but it just seems to me like so many Android apps are only meant to be run on phones.
[01:35:34.000 --> 01:35:41.000]  And I guess what they could do is just show a phone-size slice of the Chromebook,
[01:35:41.000 --> 01:35:45.000]  just make a little cell phone dimension window.
[01:35:45.000 --> 01:35:47.000]  I don't know, because they don't really have windows.
[01:35:47.000 --> 01:35:50.000]  They just have tabs.
[01:35:50.000 --> 01:35:52.000]  Yeah, there's been companies that have been trying to do stuff like this for a while.
[01:35:52.000 --> 01:35:55.000]  There was a rumor that WebOS was going to run on HP computers
[01:35:55.000 --> 01:35:57.000]  when they first bought the company, and that didn't really go anywhere.
[01:35:57.000 --> 01:36:03.000]  But I think, again, to your point, there's still things that native apps do
[01:36:03.000 --> 01:36:05.000]  that web-based technologies don't do.
[01:36:05.000 --> 01:36:10.000]  Yeah, well, all right, before we wrap up, let me thank our third and final sponsor of the show,
[01:36:10.000 --> 01:36:13.000]  and this is Wealthfront.
[01:36:13.000 --> 01:36:17.000]  Wealthfront is an automated investment service
[01:36:17.000 --> 01:36:21.000]  with over $3 billion in client assets under management.
[01:36:21.000 --> 01:36:25.000]  It is passive and low-cost.
[01:36:25.000 --> 01:36:30.000]  So what you do, you should use Wealthfront to invest your money for the long term.
[01:36:30.000 --> 01:36:32.000]  This isn't like day trading. It's the opposite.
[01:36:32.000 --> 01:36:37.000]  Clients love Wealthfront because the automation allows them to just set it and forget it,
[01:36:37.000 --> 01:36:39.000]  leading to better long-term results.
[01:36:39.000 --> 01:36:42.000]  It's not for the short term, not for day trading.
[01:36:42.000 --> 01:36:46.000]  Research shows that when individuals attempt to time the market
[01:36:46.000 --> 01:36:49.000]  and just buying and selling and all this stuff, individual stocks,
[01:36:49.000 --> 01:36:51.000]  and predicting what's going to go up and what's going to go down,
[01:36:51.000 --> 01:36:56.000]  they underperform the averages, like the S&P 500 or index funds,
[01:36:56.000 --> 01:37:01.000]  because of the higher costs, because when you're actively trading and selling and buying,
[01:37:01.000 --> 01:37:05.000]  you pay transaction costs on every one, every trade,
[01:37:05.000 --> 01:37:10.000]  and you pay higher taxes and you make mistakes with timing the market.
[01:37:10.000 --> 01:37:12.000]  Wealthfront charges no trading commissions
[01:37:12.000 --> 01:37:17.000]  and performed over 2.5 million free trades for our clients in 2015 alone.
[01:37:17.000 --> 01:37:23.000]  That's over $20 million in saved fees at just $8 a trade, which is a low cost.
[01:37:23.000 --> 01:37:32.000]  They charge an advisory fee of 0.25%, one quarter of 1%, on assets above 10 grand.
[01:37:32.000 --> 01:37:38.000]  And clients can get an additional $5,000 managed free for each friend they invite
[01:37:38.000 --> 01:37:40.000]  who ends up funding their account.
[01:37:40.000 --> 01:37:46.000]  And if you sign up using this URL, wealthfront.com slash the talk show,
[01:37:46.000 --> 01:37:49.000]  wealthfront.com slash the talk show,
[01:37:49.000 --> 01:37:56.000]  you'll just by starting out get up to $15,000 instead of 10,000 managed fee free.
[01:37:56.000 --> 01:38:00.000]  So up to $15,000, you pay no fees.
[01:38:00.000 --> 01:38:06.000]  $15,000 and above, you pay a management fee of just one quarter of 1%.
[01:38:06.000 --> 01:38:12.000]  That is so much below the normal rate that you get from a financial advisor.
[01:38:12.000 --> 01:38:13.000]  It's absurd.
[01:38:13.000 --> 01:38:14.000]  So you pay low fees.
[01:38:14.000 --> 01:38:19.000]  They optimize the investment strategy to minimize your taxes in the long run
[01:38:19.000 --> 01:38:24.000]  and maximize the amount of money that you're going to make in the long run on your investment.
[01:38:24.000 --> 01:38:29.000]  So if you are looking for a better, smarter way to invest your money for the long term,
[01:38:29.000 --> 01:38:32.000]  go to wealthfront.com slash the talk show.
[01:38:32.000 --> 01:38:34.000]  My thanks to them.
[01:38:34.000 --> 01:38:38.000]  Anything else that you noticed at Google I.O.?
[01:38:38.000 --> 01:38:42.000]  Well, I had this sort of general feeling when I was watching this,
[01:38:42.000 --> 01:38:44.000]  and I don't know if I'll have the same feeling at WWDC,
[01:38:44.000 --> 01:38:50.000]  that we're sort of getting to this point where we're getting most of the functionality we need out of these devices.
[01:38:50.000 --> 01:38:54.000]  And the announcements that are being made are, you know, they're not startling technologies anymore.
[01:38:54.000 --> 01:38:57.000]  It's like the first time you saw the App Store, the first time you saw Siri,
[01:38:57.000 --> 01:39:01.000]  or the first time you saw some of the multi-touch technologies.
[01:39:01.000 --> 01:39:04.000]  They were just so different than what we've seen before.
[01:39:04.000 --> 01:39:10.000]  And now we're seeing things that are either filling in the gaps that other vendors make that maybe they don't have already,
[01:39:10.000 --> 01:39:12.000]  or they're things that just build on.
[01:39:12.000 --> 01:39:15.000]  And maybe bots and machine learning are the big things now,
[01:39:15.000 --> 01:39:19.000]  but they're sort of factored into apps that we know and use already.
[01:39:19.000 --> 01:39:24.000]  And it reminded me of the talk you had, I think it was last week, about iPhone 7.
[01:39:24.000 --> 01:39:27.000]  And the Internet is just falling over itself saying, oh, it's going to be boring.
[01:39:27.000 --> 01:39:28.000]  It's going to look the same.
[01:39:28.000 --> 01:39:31.000]  And I went and looked, and the last three Galaxy phones all looked the same,
[01:39:31.000 --> 01:39:34.000]  because we're getting to a point where we know how a phone should look.
[01:39:34.000 --> 01:39:36.000]  And if Apple wanted to, they could make a triangle.
[01:39:36.000 --> 01:39:39.000]  It wouldn't be boring, but it would be stupid to use.
[01:39:39.000 --> 01:39:42.000]  So I just wonder how much of this is really going to be exciting
[01:39:42.000 --> 01:39:46.000]  as the very early days, the frontier days of mobile technology,
[01:39:46.000 --> 01:39:48.000]  and how much we're going to complain about boredom
[01:39:48.000 --> 01:39:50.000]  when really we're getting just exactly what we need now.
[01:39:50.000 --> 01:39:54.000]  I think there's a huge chunk of the technology press,
[01:39:54.000 --> 01:39:57.000]  and not just the people who write about it,
[01:39:57.000 --> 01:40:01.000]  but some of the enthusiasts who follow this stuff,
[01:40:01.000 --> 01:40:08.000]  who have just a childlike attention span and a need for novelty
[01:40:08.000 --> 01:40:12.000]  that bears no relation to the general public,
[01:40:12.000 --> 01:40:16.000]  and they miss the forest for the trees, really,
[01:40:16.000 --> 01:40:20.000]  because there's so much that is interesting on these devices
[01:40:20.000 --> 01:40:23.000]  if you dig into them and get into the details.
[01:40:23.000 --> 01:40:27.000]  And so many people just want to, here, just show me what it looks like
[01:40:27.000 --> 01:40:29.000]  and let me see if it looks new or not.
[01:40:29.000 --> 01:40:30.000]  And if it doesn't, then it's boring.
[01:40:30.000 --> 01:40:32.000]  And it's just absurd.
[01:40:32.000 --> 01:40:33.000]  And other products aren't like that.
[01:40:33.000 --> 01:40:35.000]  This is a sign that it's...
[01:40:35.000 --> 01:40:38.000]  And of course there was, in the early years,
[01:40:38.000 --> 01:40:41.000]  of course the iPhone changed more dramatically in the first five years
[01:40:41.000 --> 01:40:46.000]  when it would go from the 3GS to the iPhone 4.
[01:40:46.000 --> 01:40:49.000]  I mean, it was a huge, really dramatic,
[01:40:49.000 --> 01:40:51.000]  just look at the device physical change.
[01:40:51.000 --> 01:40:53.000]  It went from non-retina to retina,
[01:40:53.000 --> 01:40:58.000]  it went to a flat back with the antenna on the outside of the sides.
[01:40:58.000 --> 01:41:01.000]  Well, we're not going to see changes like that anymore
[01:41:01.000 --> 01:41:03.000]  because it's becoming closer to...
[01:41:03.000 --> 01:41:06.000]  they've gotten it down and they know what form factor it wants to be.
[01:41:06.000 --> 01:41:08.000]  And just look at the car industry.
[01:41:08.000 --> 01:41:12.000]  Nobody... the new Porsche 911 comes out
[01:41:12.000 --> 01:41:14.000]  and nobody who follows cars says,
[01:41:14.000 --> 01:41:16.000]  oh my god, it looks just like last year's 911.
[01:41:16.000 --> 01:41:19.000]  It's ridiculous.
[01:41:19.000 --> 01:41:22.000]  And when somebody like BlackBerry did the BlackBerry Passport,
[01:41:22.000 --> 01:41:23.000]  which was a big square phone,
[01:41:23.000 --> 01:41:24.000]  and a bunch of people said,
[01:41:24.000 --> 01:41:26.000]  oh, BlackBerry is willing to take risks, it looks different,
[01:41:26.000 --> 01:41:28.000]  then nobody bought it and nobody used it
[01:41:28.000 --> 01:41:32.000]  because we say we want these things but we don't.
[01:41:32.000 --> 01:41:34.000]  It's like why McDonald's is so popular.
[01:41:34.000 --> 01:41:36.000]  And the thing that's... Apple, of course,
[01:41:36.000 --> 01:41:40.000]  they're working on phones that have a higher screen-to-casing ratio
[01:41:40.000 --> 01:41:41.000]  and they'll ship them eventually,
[01:41:41.000 --> 01:41:43.000]  but you read some of the articles
[01:41:43.000 --> 01:41:46.000]  and they just delete the bezels and double-size the battery
[01:41:46.000 --> 01:41:49.000]  and that's what Apple has to do to be a successful iPhone 7.
[01:41:49.000 --> 01:41:51.000]  And then you open up iFixit
[01:41:51.000 --> 01:41:54.000]  and you show them all the technology in this phone
[01:41:54.000 --> 01:41:56.000]  and you're like, what do you want them to do again?
[01:41:56.000 --> 01:41:58.000]  Yeah, just cut off the bezels on the top and bottom.
[01:41:58.000 --> 01:42:01.000]  Okay, but what about these parts of the phone?
[01:42:01.000 --> 01:42:02.000]  Where are they going to go?
[01:42:02.000 --> 01:42:05.000]  Are you chopping off all the battery that's in there
[01:42:05.000 --> 01:42:07.000]  and all the sensors that are in there?
[01:42:07.000 --> 01:42:08.000]  Are you going to compact them down,
[01:42:08.000 --> 01:42:11.000]  just push them and hope that they somehow fit in anyway?
[01:42:11.000 --> 01:42:14.000]  These aren't rational, well-thought-out arguments that are being made.
[01:42:14.000 --> 01:42:18.000]  They're sort of very emotional and very superficial.
[01:42:18.000 --> 01:42:20.000]  And I'm wondering how much we're going to have to put up with that, frankly,
[01:42:20.000 --> 01:42:23.000]  because I'm not looking forward to September.
[01:42:26.000 --> 01:42:27.000]  I don't know either.
[01:42:27.000 --> 01:42:32.000]  And if the iPhone, I don't want to get lost in the woods on iPhone 7 speculation,
[01:42:32.000 --> 01:42:35.000]  but if it's true, as widely leaked so far
[01:42:35.000 --> 01:42:38.000]  by the things that have leaked out of the supply chain,
[01:42:38.000 --> 01:42:43.000]  that the next iPhone, we keep calling it the 7.
[01:42:43.000 --> 01:42:44.000]  I don't know that they're going to call it the iPhone 7,
[01:42:44.000 --> 01:42:48.000]  especially if it does look so similar to the iPhone 6 and 6s.
[01:42:48.000 --> 01:42:52.000]  But if it does largely look like the 6 and 6s,
[01:42:52.000 --> 01:42:55.000]  it will be new because this will be the first time
[01:42:55.000 --> 01:43:00.000]  I've stuck with a general form factor for three products three years in a row.
[01:43:00.000 --> 01:43:02.000]  So that is new territory.
[01:43:02.000 --> 01:43:06.000]  But I really do think it's...
[01:43:06.000 --> 01:43:12.000]  Over every single year, every one of the S years so far,
[01:43:12.000 --> 01:43:17.000]  I've seen people not trying to be jerks,
[01:43:17.000 --> 01:43:20.000]  not trying to be clickbait,
[01:43:20.000 --> 01:43:22.000]  just readers or just people on Twitter who say,
[01:43:22.000 --> 01:43:25.000]  man, I don't think that they're going to sell a lot of these
[01:43:25.000 --> 01:43:26.000]  because it looks just like last year's.
[01:43:26.000 --> 01:43:29.000]  But normal people don't buy a new iPhone every year.
[01:43:29.000 --> 01:43:31.000]  I just can't repeat that enough.
[01:43:31.000 --> 01:43:35.000]  And I almost think that every two years is starting to become a stretch,
[01:43:35.000 --> 01:43:40.000]  that people just don't buy new $700 phones every two years.
[01:43:40.000 --> 01:43:43.000]  Yeah, and I went back and looked
[01:43:43.000 --> 01:43:46.000]  because I remember this Board Now narrative,
[01:43:46.000 --> 01:43:47.000]  and it was the iPhone 5.
[01:43:47.000 --> 01:43:51.000]  And the iPhone 5 rebuilt the iPhone from the Atom up.
[01:43:51.000 --> 01:43:52.000]  It went to the bigger screen.
[01:43:52.000 --> 01:43:53.000]  It had the chamfered bay.
[01:43:53.000 --> 01:43:54.000]  Apple didn't have to.
[01:43:54.000 --> 01:43:57.000]  They spent an awful lot of money basically rebuilding that entire phone,
[01:43:57.000 --> 01:43:58.000]  and people said, oh, it's still a round-rect.
[01:43:58.000 --> 01:44:00.000]  Yeah, new aspect ratio.
[01:44:00.000 --> 01:44:02.000]  Yeah, boring, a round-rect.
[01:44:02.000 --> 01:44:03.000]  I don't care about LTE.
[01:44:03.000 --> 01:44:04.000]  I don't care about the camera.
[01:44:04.000 --> 01:44:06.000]  I don't care about the screen being 16 by 9.
[01:44:06.000 --> 01:44:07.000]  I don't care about the chamfered edges.
[01:44:07.000 --> 01:44:09.000]  It's still a round-rect fail.
[01:44:09.000 --> 01:44:11.000]  I've heard this from so many people at Apple.
[01:44:11.000 --> 01:44:14.000]  It's absolutely institutionalized in the company's thinking
[01:44:14.000 --> 01:44:20.000]  is that they don't do new just for the sake of new.
[01:44:20.000 --> 01:44:23.000]  The only reason they change something is if they're convinced that it's better.
[01:44:23.000 --> 01:44:30.000]  And that's why things like the MacBook slash PowerBook form factor
[01:44:30.000 --> 01:44:34.000]  has been so incredibly stable since the titanium PowerBook,
[01:44:34.000 --> 01:44:37.000]  which was like, what, 2001 or something?
[01:44:37.000 --> 01:44:44.000]  I mean, it's very close to like the Porsche 911 of Apple
[01:44:44.000 --> 01:44:49.000]  is what does a pro laptop look like.
[01:44:49.000 --> 01:44:52.000]  I mean, if you took the titanium original,
[01:44:52.000 --> 01:44:54.000]  which is the first one that went in this direction,
[01:44:54.000 --> 01:44:57.000]  and compared it to today's MacBook Pro,
[01:44:57.000 --> 01:45:00.000]  you're going to be blown away by how thin and light the MacBook Pro is
[01:45:00.000 --> 01:45:08.000]  and how much better the unibody casing is than the titanium one in particular,
[01:45:08.000 --> 01:45:12.000]  where the seams really with wear and tear started to fall apart.
[01:45:12.000 --> 01:45:16.000]  It's better in so many ways, but year over year,
[01:45:16.000 --> 01:45:18.000]  there was never like a radical, wow,
[01:45:18.000 --> 01:45:22.000]  they've totally changed the way the MacBook or PowerBook looks.
[01:45:22.000 --> 01:45:25.000]  Can you imagine reporters going, oh, another clamshell, boring.
[01:45:25.000 --> 01:45:27.000]  Right, exactly.
[01:45:27.000 --> 01:45:32.000]  It's very childish, the desire for radical new form factors,
[01:45:32.000 --> 01:45:36.000]  because it's just not, unless you can do better.
[01:45:36.000 --> 01:45:38.000]  Yeah, and there's so many features that are better
[01:45:38.000 --> 01:45:40.000]  that are actually worthy of our time and attention.
[01:45:40.000 --> 01:45:45.000]  It reminds me a bit of the smart battery case debacle from last December
[01:45:45.000 --> 01:45:48.000]  where people reviewed it and they didn't ask any questions.
[01:45:48.000 --> 01:45:51.000]  They just did things like, oh, this is the capacity as listed.
[01:45:51.000 --> 01:45:53.000]  Like, we found out the capacity of this battery
[01:45:53.000 --> 01:45:56.000]  and based on the price that other people charge for their batteries,
[01:45:56.000 --> 01:45:58.000]  this is expensive.
[01:45:58.000 --> 01:46:01.000]  Or, oh, we think it looks ugly because it has a hump.
[01:46:01.000 --> 01:46:04.000]  And nobody asked, like I asked immediately,
[01:46:04.000 --> 01:46:06.000]  because the design was really different, is why did you do this?
[01:46:06.000 --> 01:46:07.000]  And they were happy to answer,
[01:46:07.000 --> 01:46:10.000]  and I'm assuming they'd answer anybody on those questions.
[01:46:10.000 --> 01:46:14.000]  And it turns out it does things like not making your phone think
[01:46:14.000 --> 01:46:17.000]  it's plugged into the wall so it doesn't turn on all the networking features
[01:46:17.000 --> 01:46:20.000]  that it does when it believes it has unlimited power.
[01:46:20.000 --> 01:46:24.000]  And it carefully goes around the antennas so that they don't get blocked,
[01:46:24.000 --> 01:46:26.000]  because when the antennas are blocked, everything fires up
[01:46:26.000 --> 01:46:28.000]  and has to use a lot more power to make a connection,
[01:46:28.000 --> 01:46:30.000]  which defeats the purpose of having a battery case.
[01:46:30.000 --> 01:46:32.000]  And they put the word smart in the name,
[01:46:32.000 --> 01:46:36.000]  but so much of the coverage was so incredibly superficial
[01:46:36.000 --> 01:46:40.000]  that it really embarrassed me as someone who works in the industry.
[01:46:40.000 --> 01:46:43.000]  And I just worry that we're getting more and more in that direction.
[01:46:43.000 --> 01:46:45.000]  I've seen people with those out and about, too.
[01:46:45.000 --> 01:46:48.000]  I've seen a fair, you know, because it's a fairly distinctive design,
[01:46:48.000 --> 01:46:52.000]  and you can, if somebody's walking and using their phone on the sidewalk,
[01:46:52.000 --> 01:46:54.000]  it's, you know, the back of their phone is actually what you see.
[01:46:54.000 --> 01:46:57.000]  And so I've definitely seen enough of them.
[01:46:57.000 --> 01:46:59.000]  Because some of them on campus, I mean, they really like them.
[01:46:59.000 --> 01:47:02.000]  And these are not people who will suffer poor technology lightly.
[01:47:02.000 --> 01:47:06.000]  I'm still, I'm so surprised that they're only available in black and white.
[01:47:06.000 --> 01:47:09.000]  Like, I kind of wondered at the origin, you know,
[01:47:09.000 --> 01:47:11.000]  like, hey, they're getting close to the holidays.
[01:47:11.000 --> 01:47:12.000]  You know, I think it came out in November.
[01:47:12.000 --> 01:47:14.000]  So I thought maybe that's why it's just black and white,
[01:47:14.000 --> 01:47:17.000]  because they, you know, wanted to make just, you know,
[01:47:17.000 --> 01:47:21.000]  two very, you know, you know, to match the front face of your phone.
[01:47:21.000 --> 01:47:24.000]  If you have a, you know, a gold iPhone or a silver one,
[01:47:24.000 --> 01:47:25.000]  you get the white case.
[01:47:25.000 --> 01:47:27.000]  If you want it black, you can get black.
[01:47:27.000 --> 01:47:29.000]  And that I just kind of thought that, like,
[01:47:29.000 --> 01:47:31.000]  sort of like with the watch bands that they, you know,
[01:47:31.000 --> 01:47:33.000]  maybe in a couple months there'd be more colors.
[01:47:33.000 --> 01:47:36.000]  I'm sort of surprised that they're still just black and white.
[01:47:36.000 --> 01:47:39.000]  Yeah, I thought that, too, about the smart keyboards for the iPads,
[01:47:39.000 --> 01:47:40.000]  that, you know, the charcoal is fine,
[01:47:40.000 --> 01:47:43.000]  but I thought that there would be at least one or two other options by now.
[01:47:43.000 --> 01:47:45.000]  Yeah, I thought so, too.
[01:47:45.000 --> 01:47:47.000]  Those are apparently incredibly hard to make.
[01:47:47.000 --> 01:47:48.000]  Hmm, I did.
[01:47:48.000 --> 01:47:50.000]  Which is why they've been shortages, yeah.
[01:47:50.000 --> 01:47:52.000]  Hmm.
[01:47:52.000 --> 01:47:54.000]  All right, back to IO.
[01:47:54.000 --> 01:47:55.000]  Yes, sorry.
[01:47:55.000 --> 01:47:59.000]  Speaking of new phones, they didn't announce any new phones.
[01:47:59.000 --> 01:48:02.000]  There was no word of a Nexus, new Nexus phone.
[01:48:02.000 --> 01:48:05.000]  And one of the reasons I'm curious about that is that
[01:48:05.000 --> 01:48:09.000]  they announced all these other things that were coming later this year,
[01:48:09.000 --> 01:48:10.000]  you know, like Google Home.
[01:48:10.000 --> 01:48:13.000]  So even if the reason that they didn't do the new Nexus phone
[01:48:13.000 --> 01:48:14.000]  is that it's not ready yet,
[01:48:14.000 --> 01:48:16.000]  well, that doesn't seem to have stopped them from announcing
[01:48:16.000 --> 01:48:18.000]  all these other things that aren't ready yet.
[01:48:18.000 --> 01:48:21.000]  You know, why not just announce the phone that's coming in the fall?
[01:48:21.000 --> 01:48:25.000]  So I'm curious of whether they're giving up on the Nexus phone thing now.
[01:48:25.000 --> 01:48:28.000]  Well, there was that rumor that they're going to switch from making Nexus phones
[01:48:28.000 --> 01:48:30.000]  to making, I think, Project Silver or something,
[01:48:30.000 --> 01:48:31.000]  which is going to be different.
[01:48:31.000 --> 01:48:33.000]  And there's all these rumors that, you know, Google will one day,
[01:48:33.000 --> 01:48:35.000]  like there's rumors that Microsoft will make a Surface phone.
[01:48:35.000 --> 01:48:37.000]  There's rumors that Google will make a Pixel phone
[01:48:37.000 --> 01:48:41.000]  because the Nexus phones to date have not been manufactured by Google.
[01:48:41.000 --> 01:48:44.000]  They're manufactured by HTC or Samsung or I think it was LG,
[01:48:44.000 --> 01:48:46.000]  and the most recent one, I think, is Huawei.
[01:48:46.000 --> 01:48:49.000]  And that's a very different thing because you're working with a partner
[01:48:49.000 --> 01:48:50.000]  and they're directing it a lot,
[01:48:50.000 --> 01:48:52.000]  but, you know, they're working at the time schedule
[01:48:52.000 --> 01:48:54.000]  of the original equipment manufacturer.
[01:48:54.000 --> 01:48:57.000]  So maybe whoever is making the next Nexus just doesn't have anything to show yet.
[01:48:57.000 --> 01:49:01.000]  Yeah, I don't know. It's interesting to me.
[01:49:01.000 --> 01:49:05.000]  One of the other things that I thought was pretty interesting, too,
[01:49:05.000 --> 01:49:09.000]  is that the Android Instant Apps feature,
[01:49:09.000 --> 01:49:12.000]  which is, you know, really, you know, a very impressive demo,
[01:49:12.000 --> 01:49:17.000]  but it's going, when it ships, it's going to work back to Android KitKat,
[01:49:17.000 --> 01:49:23.000]  which is, what are they on now, Marshmallow L, three versions ago.
[01:49:23.000 --> 01:49:31.000]  And it, to me, goes to show how what's most important in Android,
[01:49:31.000 --> 01:49:33.000]  at least from Google's perspective,
[01:49:33.000 --> 01:49:37.000]  and if you're a Google customer, a Google user,
[01:49:37.000 --> 01:49:41.000]  is the Android Play runtime.
[01:49:41.000 --> 01:49:42.000]  What's that called?
[01:49:42.000 --> 01:49:43.000]  Google Play.
[01:49:43.000 --> 01:49:46.000]  Google Play. The Google Play runtime.
[01:49:46.000 --> 01:49:49.000]  Because Google can keep that up to date
[01:49:49.000 --> 01:49:53.000]  and ship a change like supporting these Instant Apps
[01:49:53.000 --> 01:49:55.000]  and not have to go through the phone carriers.
[01:49:55.000 --> 01:49:58.000]  That's just the thing that updates through the Google Play app,
[01:49:58.000 --> 01:50:00.000]  you know, just like your apps.
[01:50:00.000 --> 01:50:03.000]  So in the same way that you get app updates on Android
[01:50:03.000 --> 01:50:06.000]  without going through the carrier process,
[01:50:06.000 --> 01:50:11.000]  the Google Play updates the same way.
[01:50:11.000 --> 01:50:17.000]  And so a lot of the, you know, 60% of all Android users
[01:50:17.000 --> 01:50:21.000]  are using a two-year-old version of Android,
[01:50:21.000 --> 01:50:26.000]  sort of schadenfreude that iOS users look upon, you know,
[01:50:26.000 --> 01:50:28.000]  Android as being inferior in that way.
[01:50:28.000 --> 01:50:31.000]  It's really sort of not that important
[01:50:31.000 --> 01:50:33.000]  because the parts that do get updated
[01:50:33.000 --> 01:50:36.000]  is a lot of the user-facing parts.
[01:50:36.000 --> 01:50:38.000]  Yeah, I think there's a lot of truth to that.
[01:50:38.000 --> 01:50:41.000]  I mean, there are situations where things like stage fright happen
[01:50:41.000 --> 01:50:43.000]  where their inability to get carrier manufacturers
[01:50:43.000 --> 01:50:45.000]  to push out updates in a timely fashion
[01:50:45.000 --> 01:50:47.000]  is absolutely a user-facing issue
[01:50:47.000 --> 01:50:49.000]  because your phone is just, no one really has exploited it,
[01:50:49.000 --> 01:50:51.000]  but then, you know, those phones are open for an exploit,
[01:50:51.000 --> 01:50:52.000]  and that's not a good thing,
[01:50:52.000 --> 01:50:54.000]  whereas Apple can push out security updates to every phone
[01:50:54.000 --> 01:50:57.000]  going back to 2011 all on the same day, every day, everywhere.
[01:50:57.000 --> 01:51:00.000]  Super impressive, but to me the interesting thing
[01:51:00.000 --> 01:51:02.000]  is that we sort of went from these models
[01:51:02.000 --> 01:51:03.000]  where Apple was very much a boutique.
[01:51:03.000 --> 01:51:05.000]  Everything was completely locked down,
[01:51:05.000 --> 01:51:09.000]  very curated and very limited, and Google was bizarre.
[01:51:09.000 --> 01:51:10.000]  Like, it was open-air market.
[01:51:10.000 --> 01:51:12.000]  You could sell or do anything you wanted,
[01:51:12.000 --> 01:51:14.000]  and now, you know, slowly as Apple's beginning opener
[01:51:14.000 --> 01:51:16.000]  with the technologies, Google has had to bring things in
[01:51:16.000 --> 01:51:18.000]  and do things like app review
[01:51:18.000 --> 01:51:21.000]  and do things like take away services from
[01:51:21.000 --> 01:51:23.000]  the Android Open Source Project and put them,
[01:51:23.000 --> 01:51:25.000]  or at least make more attractive versions of them
[01:51:25.000 --> 01:51:28.000]  available through Google Play services that they control.
[01:51:28.000 --> 01:51:30.000]  So Apple's had to relax a little bit,
[01:51:30.000 --> 01:51:32.000]  and Google's had to tighten up a little bit,
[01:51:32.000 --> 01:51:34.000]  and we're getting sort of a much better experience
