[00:00.000 --> 00:01.000]  So where to start?
[1:45:56.960 --> 1:46:00.640]  it and it benefits everybody. It's almost like a built in, they don't do beta's away. Google
[1:46:00.640 --> 1:46:04.440]  does, but the way they're releasing it gives a lot of people a lot of time to weigh in
[1:46:04.440 --> 1:46:08.880]  beyond the five and then 100 people at Apple who knew about it. Let me take a break here
[1:46:08.880 --> 1:46:15.360]  and thank our third and final sponsor of the show. And it's our good friends at hover,
[1:46:15.360 --> 1:46:23.560]  H-O-V-E-R. Um, hover is, and I say this without any hesitation, the world's best way
[1:46:23.560 --> 1:46:30.880]  to manage and buy domain names. They're a domain register and they're the best. They really
[1:46:30.880 --> 1:46:35.160]  are. They've been around for a long time. They've been around, I think, 15 years, maybe
[1:46:35.160 --> 1:46:44.320]  even more. Um, they have tremendous customer service. They have a no gimmick, no upsell,
[1:46:44.320 --> 1:46:50.520]  no scammy buying process. They have great search for domain names. They have great tools
[1:46:50.520 --> 1:46:54.760]  to help you. If the one you're looking for your first gasses, the domain name you want,
[1:46:54.760 --> 1:46:59.800]  you type it in ends up, it's already taken, ends up none of the, the, the top level domains
[1:46:59.800 --> 1:47:04.440]  where it's available or what you want. They have great tools to help you find one, a similar
[1:47:04.440 --> 1:47:12.360]  domain name that you do want. Um, in less than five minutes with hover, you can find the
[1:47:12.360 --> 1:47:16.320]  domain name you want, get it up and running. All you have to do is search for keywords
[1:47:16.320 --> 1:47:21.400]  and they'll show you the best options. Uh, if you've ever registered a domain name anywhere
[1:47:21.400 --> 1:47:26.160]  else and I'm guessing that the number of listeners of the show who, who own just one domain
[1:47:26.160 --> 1:47:30.480]  name is probably minimal. I mean, I think most of the people like me probably have a problem
[1:47:30.480 --> 1:47:35.080]  and have too many domain names, most of them unused. But if you've ever registered a domain
[1:47:35.080 --> 1:47:40.320]  name anywhere else, you know that most of the other registrars out there make it a really
[1:47:40.320 --> 1:47:45.800]  unpleasant experience. They make it complicated just to buy what you really need. They
[1:47:45.800 --> 1:47:49.320]  try to upsell you with stuff. You don't need on your way to the shopping cart. You have
[1:47:49.320 --> 1:47:53.400]  to double check that they haven't already inserted something that you don't want in there.
[1:47:53.400 --> 1:47:59.120]  And they make you pay extra to upgrade for things that should be included like who is privacy.
[1:47:59.120 --> 1:48:04.480]  Like you don't have to pay extra to hover to get your, uh, who is, uh, record made private.
[1:48:04.480 --> 1:48:08.120]  It's just part of the service that they offer because who wouldn't want it made private?
[1:48:08.120 --> 1:48:13.920]  Uh, because I remember years ago, it used to be your who is registry had to have your
[1:48:13.920 --> 1:48:19.360]  home phone number in it or an active working phone number and then, uh, telemarkers could
[1:48:19.360 --> 1:48:24.240]  just go through who has records and get a, you know, a list of working phone numbers.
[1:48:24.240 --> 1:48:29.040]  You don't want that. You want, uh, privacy. Hover just gives it to you for free. Here's
[1:48:29.040 --> 1:48:33.560]  the most amazing thing. This, I say this every time that they sponsor the show, they have
[1:48:33.560 --> 1:48:39.440]  what they call part of their technical support is free valetransfer service. So if you've
[1:48:39.440 --> 1:48:46.480]  already got domains at some other registrar, if you're willing to give hover, your login
[1:48:46.480 --> 1:48:51.360]  information to your, to your registry account at the other registrar, they will just move
[1:48:51.360 --> 1:48:58.240]  your domains over from your old registrar to your new one at hover and take care of all
[1:48:58.240 --> 1:49:02.880]  the stuff that needs to be changed, the DNS and all that stuff. This is all their, their
[1:49:02.880 --> 1:49:09.080]  valetransfer people do their experts in moving domains. You, like me, probably are not an expert
[1:49:09.080 --> 1:49:13.840]  in moving domains. And when you do it, you make a mistake with DNS, you can ruin your
[1:49:13.840 --> 1:49:19.280]  day. You could knock your website offline for the day before when you fix it, propagates
[1:49:19.280 --> 1:49:26.560]  to everywhere that got the bad stuff. Um, just amazing. No way. No hold. No transfer technical
[1:49:26.560 --> 1:49:31.440]  support. You just call them up. You call them up on a phone and they answer the phone like
[1:49:31.440 --> 1:49:38.400]  a person answers the phone. Amazing. So where do you go to find out more? Go to hover.com
[1:49:38.400 --> 1:49:44.480]  and use this promo code. Promo code for my show this week is Scotch, like the beverage,
[1:49:44.480 --> 1:49:52.880]  SEO, TCH, use Scotch as your hover as your promo code at hover. And you'll get 10% off your
[1:49:52.880 --> 1:49:57.760]  first purchase by going to hover.com and typing in that promo code. Can't recommend them highly
[1:49:57.760 --> 1:50:02.000]  enough. Great thing. You got time to burn over the holidays and you got your, your domains
[1:50:02.000 --> 1:50:08.080]  tied up at some shitty registry. Go to hover, sign up, use that code, Scotch and move your
[1:50:08.080 --> 1:50:12.240]  domains over. You'll save money and then you'll, you'll email me and you'll say, I can't believe
[1:50:12.240 --> 1:50:17.280]  I didn't move my stuff over to hover before. So my thanks to hover. Drink any good Scotch lately,
[1:50:17.280 --> 1:50:21.760]  Renee? Only one I'm out with you and Guy. That's the, that's the time when I get the
[1:50:21.760 --> 1:50:26.960]  bourbon in the Scotch. I don't think I've had any Scotch lately. Or if I do, I don't remember.
[1:50:27.680 --> 1:50:33.680]  So lack of Christmas apple events. Yeah. Um, so that's it though. I think that what else
[1:50:33.680 --> 1:50:38.000]  it was up for 2014 in review. I think they sort of two things that we could touch on just quickly.
[1:50:38.000 --> 1:50:42.720]  One is the Tim Cook beyond just running an apple, but the, the moves he's made towards
[1:50:42.720 --> 1:50:49.120]  the inclusivity and towards equal opportunity. Oh, I can't believe I didn't think of that.
[1:50:49.120 --> 1:50:54.480]  I think that's, it's absolutely been a big year for that. That his essay, I think was just
[1:50:54.480 --> 1:51:00.480]  absolutely pitch perfect. Um, just his own version of, you know, thoughts on, but it was so much
[1:51:00.480 --> 1:51:08.240]  more personal. Yeah, I think even if he hadn't written that and come out himself as gay this year,
[1:51:08.240 --> 1:51:14.160]  I, I think it would still be worth talking about the, like you said inclusivity and et cetera,
[1:51:14.160 --> 1:51:20.160]  that, that he's led and that apple is pushed this year. It's terrific. And it reminds me of the
[1:51:20.160 --> 1:51:24.000]  story that I heard, uh, you know, what's, what's got forest all where he really wanted to make
[1:51:24.000 --> 1:51:29.840]  apple a more inclusive company. And he believed that you in order to hire more, more diversity,
[1:51:29.840 --> 1:51:33.920]  you had to have more diversity in the hiring process. So when he would get, they had terrific
[1:51:33.920 --> 1:51:37.840]  female engineer, I mean, Vicki Murley famously, but terrific female engineers on the Safari team,
[1:51:37.840 --> 1:51:41.760]  for example, and they would, they would not only send them on the resumes, but they would send
[1:51:41.760 --> 1:51:46.080]  them out to, you know, on the job hunts to the, to the colleges because they knew that they would
[1:51:46.080 --> 1:51:51.280]  come back with a different perspective. And we, we haven't seen tremendous spread of that effect.
[1:51:51.280 --> 1:51:56.640]  We haven't seen a huge swing in the amount of women or minorities in jobs in Silicon Valley,
[1:51:56.640 --> 1:52:01.040]  but we have seen improvements. And I think with Apple's report as disappointing as the results
[1:52:01.040 --> 1:52:05.360]  might be to many people, uh, the exposure that it gets and the willingness for people to want to
[1:52:05.360 --> 1:52:10.240]  make it better. I think we're huge this year. Yeah. And I think it's again, another one of
[1:52:10.240 --> 1:52:17.120]  those things where I think you can really just take Tim Cook at his word. Yeah. And it's no euphemism.
[1:52:17.120 --> 1:52:22.080]  It's not just, you know, trying to say what people want to hear. I think he means it where
[1:52:22.080 --> 1:52:27.760]  A, he thinks it's just right. It's just the right thing to do. But B, that, that fierce competitor
[1:52:27.760 --> 1:52:33.840]  in him, you can tell when he says it that it's, there's, there's obviously so much untapped talent
[1:52:34.640 --> 1:52:42.240]  outside the white male engineer, you know, whites and Asians, you know, that everybody else,
[1:52:42.240 --> 1:52:50.240]  women, people of color, uh, men and women, uh, it's, the talent is out there. And Apple is
[1:52:50.240 --> 1:52:57.120]  starved for talent and they want it. You know, so there's an addition to the, the, the justice
[1:52:57.120 --> 1:53:02.480]  angle, you know, that it's the way it should be that that people don't feel welcome in the industry.
[1:53:02.480 --> 1:53:09.600]  But it, there's also just a purely competitive aspect to it. It's, it was that beautiful moment
[1:53:09.600 --> 1:53:12.480]  to with Tim Cook when they were at the shareholders meeting and the guys stood up and he said,
[1:53:12.480 --> 1:53:16.320]  why are you wasting, basically said, why are you wasting my money on environmentalism and
[1:53:16.320 --> 1:53:20.080]  accessibility? And Tim Cook said, you know, that this stuff matters. And if you don't think it matters,
[1:53:20.080 --> 1:53:25.760]  just get the hell out of the stock. Right. It was the guy brought up ROI. Yes, investment. And, you know,
[1:53:25.760 --> 1:53:31.440]  and it's, it was fascinating, you know, that, that Cook got his angry as he did and said,
[1:53:31.440 --> 1:53:36.560]  everything we do isn't about the bloody ROI. Yeah. And it's funny that he said bloody because
[1:53:36.560 --> 1:53:40.640]  he's, you know, clearly he's not British. But he's the cool one, right? Like we'd expect that
[1:53:40.640 --> 1:53:44.320]  from Steve Jobs, Steve Jobs was bombastic, but Tim Cook always looked like he would just sit there
[1:53:44.320 --> 1:53:49.920]  at with laser beams in his eyes. And that for him is hugely emotional. Right. It wouldn't be
[1:53:49.920 --> 1:53:55.440]  surprising if Tim Cook, I mean, if Steve Jobs had gotten angry at a shareholder. Yeah. Whereas Tim Cook
[1:53:55.440 --> 1:54:00.080]  is the guy you'd think no matter what any crackpot shareholder would say, he's not going to get angry,
[1:54:00.080 --> 1:54:05.280]  but he did that clearly angered him. And again, like when I think it was a financial times that
[1:54:05.280 --> 1:54:10.320]  named him their CEO of the year, there was somebody who was a couple of people. But the one that
[1:54:10.320 --> 1:54:16.320]  I linked to, I remember, they led their, their, here's why with that anecdote. And I think,
[1:54:16.320 --> 1:54:20.720]  and hindsight, it was the most telling anecdote of the year, you know, in terms of Tim Cook
[1:54:21.840 --> 1:54:26.240]  being unscripted. Yes. You know, I think in terms of what was scripted and what it was planned,
[1:54:26.800 --> 1:54:32.080]  his, you know, his coming out essay in business week was probably it. But that moment at the
[1:54:32.080 --> 1:54:37.280]  shareholders meeting, I think was the most telling impromptu moment. Yeah. And you know,
[1:54:37.280 --> 1:54:40.880]  it really made me think, it's strange to say, but it made me think a lot more of Tim Cook because,
[1:54:40.880 --> 1:54:46.080]  you know, it is hard to tell he is so controlled in public and so on message and so on point,
[1:54:46.080 --> 1:54:51.520]  and he's so gifted as a thinker and someone who's, who's controls logistics and all these things
[1:54:51.520 --> 1:54:56.160]  to see his emotional response sort of added a whole new dimension to him as not just a CEO of
[1:54:56.160 --> 1:55:05.440]  a person. Yeah, I think absolutely. And, you know, and I think that's, it's also to me a sign of the
[1:55:05.440 --> 1:55:12.080]  long-term thinking that the Apple, you know, under jobs, you know, constantly, you know, consistently
[1:55:12.080 --> 1:55:18.640]  since the, since the post next reunification era, you know, that they've been a long-term company
[1:55:18.640 --> 1:55:24.240]  that's looking at building a company that's going to be here for 50 or 100 years. You know,
[1:55:24.240 --> 1:55:29.120]  that's going to outlive everybody who's at the company today. You know, and there's, I really do
[1:55:29.120 --> 1:55:32.720]  think that that's what they're looking at, that they're trying to build an institution that's going
[1:55:32.720 --> 1:55:39.440]  to still be here when Tim Cook and Phil Schiller and Angela Arns are all long retired and, you know,
[1:55:40.720 --> 1:55:46.720]  frankly in the grave. Yeah. And how do you do that? Well, you don't do it by sweating the ROI on
[1:55:46.720 --> 1:55:53.840]  every single thing you do. And it's, you know, it's the other thing too that, and I think it's probably
[1:55:53.840 --> 1:56:00.160]  what burned him up is it's not like Apple, you know, has dipped into low profit margins and had
[1:56:00.160 --> 1:56:05.920]  they're still spending money. I think it was in particular with the, the clean energy for the
[1:56:05.920 --> 1:56:11.600]  data centers and spending money on, you know, worrying about things like their environmental
[1:56:11.600 --> 1:56:17.840]  impact on global warming or climate change, whatever you want to call it, carbon footprint.
[1:56:17.840 --> 1:56:21.520]  Yeah, it definitely struck a chord with him. It was a good chord to be struck.
[1:56:21.520 --> 1:56:31.280]  And, you know, the whole, you know, social equality angle is clearly, I don't think Steve Jobs
[1:56:31.280 --> 1:56:37.840]  was against it, but it's, you know, Apple is clearly as a company is clearly more outspoken about
[1:56:37.840 --> 1:56:41.360]  it now than they were under him. Well, jobs seem to believe that all that stuff was deeply
[1:56:41.360 --> 1:56:45.360]  personal. Charitable donations and support for causes was something that he believed that Apple
[1:56:45.360 --> 1:56:49.360]  paying that people could let people spend their own money on, but it wasn't at a corporate level
[1:56:49.360 --> 1:56:54.160]  where Tim Cook, you know, he, he took Apple on the gay pride parade. He's put Apple behind
[1:56:54.160 --> 1:56:59.440]  equal employment legislation. He's really believed that the power and wealth of Apple can be used
[1:56:59.440 --> 1:57:05.440]  for more than just generating more power and wealth. Yeah. Yeah. Absolutely. All right. And what
[1:57:05.440 --> 1:57:08.320]  was your second thing? My second thing was I was going to talk about the app store stuff, but I
[1:57:08.320 --> 1:57:12.320]  feel like it's a bit of a downer at the end now. Yeah. Maybe we did him in the wrong order.
[1:57:12.320 --> 1:57:21.760]  Well, we should still do it. We'll, we'll let Wiscuits fix it. Okay. Right with the,
[1:57:24.080 --> 1:57:31.280]  well, the today view widgets, right? That people, you know, in short, it was like Apple introduced
[1:57:31.280 --> 1:57:37.280]  these today view widgets and WWDC. And then, you know, I think they might have even literally said,
[1:57:37.280 --> 1:57:43.040]  we can't wait to see what you guys do with them. Yeah. And then they saw what people were doing with
[1:57:43.040 --> 1:57:53.680]  them and rejected a whole bunch of the most clever versions of them. Who was it? I think it was James
[1:57:53.680 --> 1:58:01.280]  Thompson's peak calc. Yeah. That was simultaneously being promoted in the app store with a banner
[1:58:01.280 --> 1:58:08.080]  for great new uses of today view widgets because he added a calculator. So you, without even
[1:58:08.080 --> 1:58:12.240]  opening the app, right? And today view, if you, if you put the peak calc widget in, you could just
[1:58:12.240 --> 1:58:17.600]  do your calculation right there. It was being promoted as a great new widget at the same time
[1:58:18.240 --> 1:58:22.480]  that like the review team had contacted him and said, you know what, that's outside the bounds of
[1:58:22.480 --> 1:58:26.240]  what we intended to be enabled. So you're going to have to submit a new build that takes that out.
[1:58:26.240 --> 1:58:31.040]  I mean, it's sound from the outside, it looks absolutely insane. And I think it's worth explaining not
[1:58:31.040 --> 1:58:36.640]  to excuse it, but sort of to explain it. So extensibility is this huge new feature. And everyone is
[1:58:36.640 --> 1:58:40.480]  trying to ship iOS 8 and developers are trying to get their apps approved. And app review is,
[1:58:40.480 --> 1:58:44.320]  it's the worst time of the year to work in app review. And they bring in as many people as they can.
[1:58:44.320 --> 1:58:48.800]  And they try to get as many apps as possible onto the store. And as soon as an app is approved,
[1:58:48.800 --> 1:58:53.040]  and this is all under Phil Schiller's org, that is that moves to Eddie Q's org where they have app
[1:58:53.040 --> 1:58:57.600]  editorial. And they need to program the entire app store promotion for all that stuff. And all they
[1:58:57.600 --> 1:59:01.440]  see is approved. They have no idea what might be going on behind the scenes. It's flies approved,
[1:59:01.440 --> 1:59:05.760]  it's fine for editorial. And then when things sort of slow down again, people who are higher up
[1:59:05.760 --> 1:59:09.600]  in app store review, who have a lot of ideas about what they believe, you know, they,
[1:59:09.600 --> 1:59:14.240]  they sincerely believe certain things about experience and whether a button will confuse an average
[1:59:14.240 --> 1:59:17.920]  user or whether someone is spending time in notification center. And they're not supposed to,
[1:59:17.920 --> 1:59:22.560]  it's supposed to be a quick conduit. And they care a lot about these things and they'll flag it
[1:59:22.560 --> 1:59:26.880]  and then it'll get removed. And it won't make any sense and developers will appeal and it'll go
[1:59:26.880 --> 1:59:31.040]  to a higher level. And it might end up on the executive review committees desk. And they might say,
[1:59:31.040 --> 1:59:36.080]  it's fine, you know, stop worrying about it. And but I think extensibility was so new that it
[1:59:36.080 --> 1:59:41.040]  created a disconnect between what was technically possible and what people who had been in app review,
[1:59:41.040 --> 1:59:45.680]  you know, at a slightly higher level for many years thought should be the experience on the
[1:59:45.680 --> 1:59:51.280]  system. Yeah, I think that's a very good way to put it. And I think maybe the transmit
[1:59:51.280 --> 2:00:02.880]  it was transmit, right? Yeah, that had the sharing to storage services like box.net and Dropbox
[2:00:03.520 --> 2:00:14.400]  and I cloud drive, you know, that completely within the, they didn't, they didn't use any non private
[2:00:14.400 --> 2:00:22.240]  or non public APIs, all public APIs, the sharing sheet itself, the what's it called move to
[2:00:22.240 --> 2:00:29.120]  whatever you want to send to send to. They don't have any control over it's part of that whole
[2:00:32.480 --> 2:00:37.280]  inner application communication that that enables so many of these continuity features.
[2:00:37.280 --> 2:00:42.240]  Yeah, it's one sheet that can't line up veto certain services, right, because the system is drawing
[2:00:42.240 --> 2:00:47.920]  it, which is why Apple is opening up, seemingly opening up and letting you do these things that
[2:00:47.920 --> 2:00:54.800]  you couldn't do before. And then they were told, you can't, you can't do this for iCloud drive,
[2:00:54.800 --> 2:00:59.440]  you can't send anything you, you can't send anything that wasn't created in your, your own app
[2:00:59.440 --> 2:01:05.200]  to iCloud drive, which meant like you said, because you don't have line item veto on the services
[2:01:05.200 --> 2:01:10.240]  that are listed that you had to take out the whole thing. And now the app couldn't send to anybody,
[2:01:10.240 --> 2:01:16.000]  including Dropbox or Box or anybody who Apple doesn't care about, whereas it's almost seemed like
[2:01:16.000 --> 2:01:21.280]  it was exactly why they added the send to in the first place so that you could do things like
[2:01:21.280 --> 2:01:25.440]  that. It's easy. Again, when you look at it from certain perspective, and I'm not supporting
[2:01:25.440 --> 2:01:28.960]  this perspective, but I like some other thing, like, you know, I understand is that they didn't,
[2:01:28.960 --> 2:01:32.160]  they don't want the line item veto because they think that there can be disputes within companies
[2:01:32.160 --> 2:01:36.800]  that would cause one company to sort of remove a competitor or remove a service. And that's not
[2:01:36.800 --> 2:01:41.120]  to the benefit of the user. But the original model on Mac, it's the same, like there was Apple
[2:01:41.120 --> 2:01:45.520]  made a calculator widget for OS 10. They didn't make one for iOS for a variety of reasons,
[2:01:45.520 --> 2:01:48.400]  but they thought it wasn't the right experience. So they deliberately didn't make one.
[2:01:49.200 --> 2:01:53.120]  Then, you know, James Thompson, who's a phenomenal developer, did make one for iCloud drive on the
[2:01:53.120 --> 2:01:56.960]  Mac, you could put any arbitrary file there. But on iOS, it was sort of understood that you could
[2:01:56.960 --> 2:02:01.840]  only put files that you created or edited because that meant the user knew that they were in your app
[2:02:01.840 --> 2:02:05.760]  and was working on them and they would understand it was in that space. But then something like
[2:02:05.760 --> 2:02:10.400]  transit comes along, which is the, you know, quote unquote, Steve Jobs unforeseen thing. And it's
[2:02:10.400 --> 2:02:14.400]  taken to a level where they can say, this isn't what we intended it for it to do, but it's not
[2:02:14.400 --> 2:02:18.400]  taken to the level of thinking, well, is it a good thing anyway, like should we let it in
[2:02:18.400 --> 2:02:22.880]  anyway? So it gets rejected, then it gets appealed, then it gets overturned. And it makes Apple
[2:02:22.880 --> 2:02:27.120]  look horrible in the press. It stresses out the developers and it affects the features that customers
[2:02:27.120 --> 2:02:30.960]  believe that they've paid for. And you wouldn't have paid for it. And it's just not a good outcome
[2:02:30.960 --> 2:02:35.440]  for anybody. Yeah. But I do. Yeah. And if you, like you said, though, I think if you want to try to
[2:02:35.440 --> 2:02:43.360]  understand why it's that it's so new. Yeah. And there's so many moving pieces. And, you know, the
[2:02:43.360 --> 2:02:47.360]  thing that made, if you understood everything that was going on, the thing that made transmits,
[2:02:47.360 --> 2:02:52.240]  and again, transparent wasn't yanked from the app store. They got a, you know, mostly friendly
[2:02:52.240 --> 2:02:58.000]  notification that they were told, you need to submit a new build that takes this out. You know,
[2:02:58.000 --> 2:03:01.840]  and they couldn't wait forever. I'm sure that at some point, Apple would, you know,
[2:03:01.840 --> 2:03:05.600]  it's like two weeks, usually I think. Yeah. And you know, it's more or less, you know, take out
[2:03:05.600 --> 2:03:09.840]  those lines of code that do this, test your new build and submit it, and we'll do this.
[2:03:12.080 --> 2:03:17.280]  I don't think it's any surprise that it was the iOS version that caused the problem. Now, if
[2:03:17.280 --> 2:03:20.720]  you understood what was going on, it didn't make any sense, though, because nothing you could do
[2:03:20.720 --> 2:03:28.320]  from the iOS version, no file that you could put move from transmit to your iCloud drive, you
[2:03:28.320 --> 2:03:33.360]  couldn't do the exact same thing on Yosemite. Yeah. You could do the exact same thing. So, there was
[2:03:33.360 --> 2:03:39.760]  nothing that they were that, that whoever it was who thought they needed to not be able to do this
[2:03:39.760 --> 2:03:45.200]  from their iOS app. It was seemingly unaware that whatever it was that you would do, whether it
[2:03:45.200 --> 2:03:50.320]  was a porno file or a illegally downloaded movie or whatever it is that they were worried about,
[2:03:50.320 --> 2:03:54.480]  was it copyright, whatever? Or just stealing files, you know, you load an app and it starts taking
[2:03:54.480 --> 2:04:00.960]  your files and putting it on someone's server somewhere. Yes. It was all stuff that you could do
[2:04:00.960 --> 2:04:04.880]  right in the finder in Yosemite. You can put whatever file you want in your iCloud drive,
[2:04:04.880 --> 2:04:08.960]  you know, in the same way that the finder doesn't keep you from moving, you know, a file from
[2:04:08.960 --> 2:04:14.640]  any folder anywhere to any other folder. But I think it's understandable because that,
[2:04:14.640 --> 2:04:19.040]  you know, the review teams, and correct me if you're wrong, I think you might know more about
[2:04:19.040 --> 2:04:23.600]  their internal makeup. But the iOS, it's not like a review team. There's iOS reviewers and Mac
[2:04:23.840 --> 2:04:31.680]  users. And the iOS reviewers are coming from a year's long history of, you know, what's restricted
[2:04:31.680 --> 2:04:39.360]  on iOS and moving files that weren't created in app, whatever your app is to anywhere else
[2:04:39.360 --> 2:04:44.080]  has always been forbidden. And so it's, you know, I could see how it even got high up,
[2:04:44.080 --> 2:04:49.520]  not to the highest levels, but pretty high up. And they thought, no, this has to be against
[2:04:49.520 --> 2:04:53.200]  the rules. This isn't something that iOS does. I wrote a piece about this. And one of the things
[2:04:53.200 --> 2:04:57.600]  I just wanted to, and to help people understand is that when you say like Apple rejected it,
[2:04:57.600 --> 2:05:01.280]  Apple has these same discussions. Like if you listen to ATP or you listen to the talk show,
[2:05:01.280 --> 2:05:04.080]  that's the discussion that's happening inside Apple as well. And there's people
[2:05:04.080 --> 2:05:07.680]  advocating very strongly that though these things should be allowed and there's people
[2:05:07.680 --> 2:05:11.040]  advocating saying, this button here is going to confuse somebody. They'll press it. They'll suddenly
[2:05:11.040 --> 2:05:14.960]  be an app they won't know where they are. And they're not modeling it for me or you or, you know,
[2:05:14.960 --> 2:05:19.920]  Marco or John or somebody. They're marketing it for our parents and, you know, our non sophisticated
[2:05:19.920 --> 2:05:24.480]  tech using relatives. And they, there are some people who are deeply, deeply concerned that they
[2:05:24.480 --> 2:05:30.160]  have a very sensible, understandable experience. Now you could argue that widgets and extensibility
[2:05:30.160 --> 2:05:34.720]  in general is a pretty nerdy feature. And anyone using it probably knows what they're doing. And I
[2:05:34.720 --> 2:05:39.840]  think that's the argument that's winning out now. But it really is these sorts of discussions.
[2:05:39.840 --> 2:05:43.680]  And people want more rules sometimes in the app store, but Apple believes that the more
[2:05:43.680 --> 2:05:47.680]  my understanding is that Apple believes that the more rules will actually chill innovation.
[2:05:47.680 --> 2:05:51.840]  And they'd much rather see James Thompson as annoying as it is, make a calculator widget,
[2:05:51.840 --> 2:05:55.600]  have it rejected, then have it approved, then him to see a rule and just never make it or have
[2:05:55.600 --> 2:05:59.600]  to lobby for a change in the rule that might take years. Because right now is ugly and is
[2:05:59.600 --> 2:06:04.080]  frustrating as the process was, we have peak, we have transmit, we have all these things now
[2:06:04.080 --> 2:06:08.000]  officially on the store and we have these things officially clarified. And it's only been like two
[2:06:08.000 --> 2:06:12.560]  months. It's a good point. Yeah, I would like to see, and I wrote a thing about this,
[2:06:12.560 --> 2:06:17.040]  but I would, I think it would be great for everybody if there was a public facing vice president
[2:06:17.040 --> 2:06:20.400]  of app store. There is, you know, there are really good directors of app stores. They're really
[2:06:20.400 --> 2:06:25.600]  good people in both, um, Shiller and Q's org, but they're split over all these different
[2:06:25.600 --> 2:06:30.800]  organizations and much like software development accelerated under Federiggy and stores are
[2:06:30.800 --> 2:06:35.760]  accelerating under Angela Areans. I think if there was somebody whose only job it was to make a
[2:06:35.760 --> 2:06:40.240]  fantastic experience on the app store, whether it's making review better, whether it's adding
[2:06:40.240 --> 2:06:45.600]  sloppy search and finally to the app store, but to someone who all he had to do was wake up every
[2:06:45.600 --> 2:06:49.520]  day and make developers and customers super happy. I think that would improve the situation for
[2:06:49.520 --> 2:06:56.720]  everybody. Uh, what's the word? There's a word like, uh, newspapers sometimes have them
[2:06:56.720 --> 2:07:01.680]  um, bussments on budsmen. That's yeah, I was thinking at the New York Times doesn't call them
[2:07:01.680 --> 2:07:07.840]  an on budsmen. They call the, uh, the public editor. Only, and I, my understanding of why is that
[2:07:07.840 --> 2:07:12.720]  for decades they rejected having an on budsmen and then when they finally added an on budsmen,
[2:07:12.720 --> 2:07:16.640]  they didn't want to say, okay, now we have an on budsmen. They just call their own budsmen,
[2:07:16.640 --> 2:07:22.400]  the public editor. But the idea of the on budsmen is that at a newspaper, for example, the on
[2:07:22.400 --> 2:07:27.840]  budsmen doesn't, is independent and doesn't report to the, you know, editor in chief of the
[2:07:27.840 --> 2:07:33.120]  newspaper. And so a reader who has a problem with let's say the, and some sort of bias in the
[2:07:33.120 --> 2:07:37.600]  coverage of anything can go to the on budsmen and the on budsmen can conduct like an independent
[2:07:37.600 --> 2:07:46.160]  review. I would love to see Apple have, uh, uh, an app store on budsmen. Yeah. You know, and,
[2:07:46.160 --> 2:07:50.720]  and you know, I get, I think the way to do it would be to, to, you know, write a blog
[2:07:50.720 --> 2:07:58.560]  and have a block, not, not, you know, so it's not like anybody could, uh, create an on
[2:07:58.560 --> 2:08:03.200]  budsmen issue. The on budsmen would still get to choose what they wrote about, but that they
[2:08:03.200 --> 2:08:10.640]  could look at something like pcalc or transmit. And, you know, not just like when I write about it
[2:08:10.640 --> 2:08:16.560]  or you write about it and kind of make a stink and hope somebody at Apple reads our sites and
[2:08:16.560 --> 2:08:21.760]  does something about it. But before going public with it, the on budsmen could go inside and
[2:08:21.760 --> 2:08:26.960]  go to somebody and do the research and maybe get it clarified without the stink.
[2:08:26.960 --> 2:08:30.880]  Yeah. It's sort of deescalated before it hits media and the executives.
[2:08:32.080 --> 2:08:38.800]  Yeah. But then the on budsmen as somebody inside Apple could then write a post that maybe explains
[2:08:38.800 --> 2:08:44.560]  what Apple is thinking. And again, without making new rules and creating an ever more complicated
[2:08:44.560 --> 2:08:51.040]  set of guidelines for the app store, at least sort of explain in plain English. Here's the
[2:08:51.040 --> 2:08:55.280]  sort of things that are okay in a today view widget and here's the sort of things that aren't.
[2:08:56.080 --> 2:08:59.920]  It's, and I think that's, that's a really good idea because, uh, I mean, we're friends with a lot
[2:08:59.920 --> 2:09:03.280]  of people who make productivity and creativity apps and that's where this is a problem.
[2:09:03.280 --> 2:09:07.360]  The people making clash of clans and candy crush and all the people who are making the billions
[2:09:07.360 --> 2:09:10.480]  of dollars on the app store. There's no uncertainty for them. There's no problem with
[2:09:10.480 --> 2:09:15.360]  app review for them. They're all fine. Right. That never, I'm sure it never occurred to the
[2:09:15.360 --> 2:09:20.160]  developer to make a version of crossy road that runs as a today view widget.
[2:09:20.160 --> 2:09:23.760]  Yeah. And yeah. I mean, those, those are the easy problems. It's the ones that are, that are more
[2:09:23.760 --> 2:09:28.080]  black ones that are more shades of gray that have these problems. And the other argument that
[2:09:28.080 --> 2:09:32.400]  it's killing innovation, I mean, I've had Android devices for four or five years. They have a much easier
[2:09:33.360 --> 2:09:38.560]  review process than Apple does. And I've not seen the groundbreaking, you know, platform making
[2:09:38.560 --> 2:09:43.840]  sort of future apps arrive on Android any faster because of that than iOS. And it's easy to say,
[2:09:43.840 --> 2:09:47.840]  maybe Android sucks. And that's why it doesn't happen, but it's also possible that Apple does
[2:09:47.840 --> 2:09:52.000]  add background tasks. And they do add, you know, extensibility and they, they do add the features
[2:09:52.000 --> 2:09:56.800]  that they need to add to give developers sort of the tools that they need to make these sorts of apps.
[2:09:56.800 --> 2:10:01.520]  And it's possible that things like workflow and Uber get made regardless of what app review does,
