[00:00.000 --> 00:02.000]  I've got too many iPads
[01:57:23.000 --> 01:57:24.000]  Really, it's a great place.
[01:57:24.000 --> 01:57:25.000]  I like shopping there in person.
[01:57:25.000 --> 01:57:27.000]  It's really great if you have one nearby.
[01:57:27.000 --> 01:57:29.000]  I recommend you check them out in person if you can,
[01:57:29.000 --> 01:57:32.000]  but their online shopping is as good as any other place I've seen, too.
[01:57:32.000 --> 01:57:33.000]  So, what do you do?
[01:57:33.000 --> 01:57:35.000]  Design your perfect suit with Indochino.
[01:57:35.000 --> 01:57:39.000]  You get 50 bucks off any purchase of $399 or more
[01:57:39.000 --> 01:57:44.000]  using promo code TheTalkShow at Indochino.com.
[01:57:44.000 --> 01:57:46.000]  That's Indochino.com.
[01:57:46.000 --> 01:57:50.000]  I-N-D-O-C-H-I-N-O.
[01:57:50.000 --> 01:57:56.000]  Indochino.com with promo code TheTalkShow.
[01:57:56.000 --> 01:57:59.000]  And with four sponsors, we just hit TheTalkShow bingo
[01:57:59.000 --> 01:58:05.000]  where all four sponsors use The in TheTalkShow for their promo codes.
[01:58:05.000 --> 01:58:06.000]  Congratulations.
[01:58:06.000 --> 01:58:08.000]  Jason, you'll share in the prize.
[01:58:08.000 --> 01:58:10.000]  Your prize is in the mail.
[01:58:10.000 --> 01:58:12.000]  Okay, great.
[01:58:12.000 --> 01:58:15.000]  Is it a suit?
[01:58:15.000 --> 01:58:17.000]  It's a pencil one.
[01:58:17.000 --> 01:58:18.000]  Oh, no.
[01:58:18.000 --> 01:58:21.000]  Tucked into the lapel of a suit.
[01:58:21.000 --> 01:58:22.000]  With a dead battery.
[01:58:22.000 --> 01:58:24.000]  Anything else on the iPads,
[01:58:24.000 --> 01:58:26.000]  we could homestretch it and just talk about iPadOS,
[01:58:26.000 --> 01:58:29.000]  but if you have any other things about the hardware.
[01:58:29.000 --> 01:58:30.000]  I don't think so.
[01:58:30.000 --> 01:58:32.000]  I think the overview is that, taken on their own,
[01:58:32.000 --> 01:58:34.000]  they all are kind of reasonable,
[01:58:34.000 --> 01:58:36.000]  and then you look at the big picture and you're like,
[01:58:36.000 --> 01:58:37.000]  why did that happen?
[01:58:37.000 --> 01:58:39.000]  But that's other than the pencil adapter,
[01:58:39.000 --> 01:58:41.000]  which is just a weird thing that happened.
[01:58:41.000 --> 01:58:44.000]  I guess this will be my wrap-up.
[01:58:44.000 --> 01:58:46.000]  I think the 10th generation iPad is great.
[01:58:46.000 --> 01:58:49.000]  I think that A14 processor, you can do anything.
[01:58:49.000 --> 01:58:51.000]  Unless you're a high-end video person or something,
[01:58:51.000 --> 01:58:53.000]  you can do anything with that thing.
[01:58:53.000 --> 01:58:55.000]  If you're looking for a compact writing device
[01:58:55.000 --> 01:58:56.000]  or something like that,
[01:58:56.000 --> 01:58:58.000]  you don't really need an iPad Pro for that,
[01:58:58.000 --> 01:59:00.000]  or even an iPad Air.
[01:59:00.000 --> 01:59:03.000]  You could be out there with this thing that's fairly small.
[01:59:03.000 --> 01:59:06.000]  You get the keyboard thing, and I don't love the kickstand,
[01:59:06.000 --> 01:59:11.000]  but $700, that's your low-cost Apple laptop that's an iPad.
[01:59:11.000 --> 01:59:13.000]  And it includes the trackpad.
[01:59:13.000 --> 01:59:15.000]  It's a really nice device.
[01:59:15.000 --> 01:59:17.000]  The only thing I would say that makes me sad about it
[01:59:17.000 --> 01:59:20.000]  is that keyboard does require the kickstand,
[01:59:20.000 --> 01:59:22.000]  which means if you want something lappable,
[01:59:22.000 --> 01:59:25.000]  you do have to spend a couple hundred dollars more
[01:59:25.000 --> 01:59:27.000]  to get that iPad Air with the keyboard.
[01:59:27.000 --> 01:59:29.000]  Yeah, I really do wish that it somehow
[01:59:29.000 --> 01:59:33.000]  they'd been able to make it work with the Magic Keyboard
[01:59:33.000 --> 01:59:35.000]  and let you choose which one you wanted
[01:59:35.000 --> 01:59:37.000]  if you'd rather have this or not.
[01:59:37.000 --> 01:59:39.000]  And one of the reasons they made it two pieces,
[01:59:39.000 --> 01:59:41.000]  it clearly didn't have to be two pieces,
[01:59:41.000 --> 01:59:42.000]  but they did it on purpose
[01:59:42.000 --> 01:59:45.000]  so that you can just use the back as a kickstand
[01:59:45.000 --> 01:59:47.000]  if you don't need the keyboard.
[01:59:47.000 --> 01:59:49.000]  So there's definitely use,
[01:59:49.000 --> 01:59:53.000]  and there it'll fit better on an airplane tray table
[01:59:53.000 --> 01:59:55.000]  than a Magic Keyboard would, right?
[01:59:55.000 --> 01:59:58.000]  If you just leave the keyboard in your bag
[01:59:58.000 --> 01:59:59.000]  and just put the back on,
[01:59:59.000 --> 02:00:02.000]  and you've got a terrific kickstand
[02:00:02.000 --> 02:00:04.000]  just for watching a movie or something like that.
[02:00:04.000 --> 02:00:06.000]  And it folds all the way around.
[02:00:06.000 --> 02:00:09.000]  You can put the keyboard on the other way backwards
[02:00:09.000 --> 02:00:11.000]  and it'll reject the keys,
[02:00:11.000 --> 02:00:13.000]  but then you can fold the keyboard over
[02:00:13.000 --> 02:00:15.000]  and just use it to draw and stuff like that.
[02:00:15.000 --> 02:00:17.000]  There's flexibility there,
[02:00:17.000 --> 02:00:18.000]  but I do wish it worked with both
[02:00:18.000 --> 02:00:21.000]  because if you really want a laptop
[02:00:21.000 --> 02:00:23.000]  that you can use on your actual lap
[02:00:23.000 --> 02:00:26.000]  or like my son does everywhere he goes,
[02:00:26.000 --> 02:00:28.000]  it's just walk around with it open
[02:00:28.000 --> 02:00:32.000]  as he continues to watch movies with his AirPods in.
[02:00:32.000 --> 02:00:34.000]  You can't do that with this.
[02:00:34.000 --> 02:00:35.000]  Oh, the other thing,
[02:00:35.000 --> 02:00:37.000]  I guess we didn't talk about the colors.
[02:00:37.000 --> 02:00:38.000]  I think the colors are terrific.
[02:00:38.000 --> 02:00:39.000]  They look great.
[02:00:39.000 --> 02:00:40.000]  They did a good job.
[02:00:40.000 --> 02:00:41.000]  Yeah, they sent me yellow,
[02:00:41.000 --> 02:00:43.000]  but I saw all of them in person in New York,
[02:00:43.000 --> 02:00:45.000]  and I thought they were all terrific.
[02:00:45.000 --> 02:00:47.000]  I thought it was a great blue, great pink.
[02:00:47.000 --> 02:00:48.000]  I love the yellow.
[02:00:48.000 --> 02:00:49.000]  Yellow, I think, is the...
[02:00:49.000 --> 02:00:51.000]  And I would not have expected it.
[02:00:51.000 --> 02:00:53.000]  If you just told me yellow would be my favorite,
[02:00:53.000 --> 02:00:54.000]  I would have thought, that's weird,
[02:00:54.000 --> 02:00:56.000]  but I really like it.
[02:00:56.000 --> 02:00:58.000]  Yeah, it's super yellowy gold, basically.
[02:00:58.000 --> 02:00:59.000]  It's really nice there.
[02:00:59.000 --> 02:01:00.000]  The blue is gorgeous,
[02:01:00.000 --> 02:01:03.000]  and the pink, which seemed pretty red to me,
[02:01:03.000 --> 02:01:04.000]  but it's like they're eye-popping colors.
[02:01:04.000 --> 02:01:05.000]  They're really good.
[02:01:05.000 --> 02:01:08.000]  Apple has this tendency to come out with colors
[02:01:08.000 --> 02:01:11.000]  on their products sometimes that are a little too subtle.
[02:01:11.000 --> 02:01:13.000]  Even the iPad Air is like that,
[02:01:13.000 --> 02:01:15.000]  and these are not subtle, and I love it.
[02:01:15.000 --> 02:01:19.000]  I wish that Apple would have a broader color palette
[02:01:19.000 --> 02:01:20.000]  for all of its products,
[02:01:20.000 --> 02:01:22.000]  where it accepts that some people want them to be subtle
[02:01:22.000 --> 02:01:23.000]  and some people don't,
[02:01:23.000 --> 02:01:25.000]  and instead they seem to have just decided
[02:01:25.000 --> 02:01:29.000]  higher-end products can't be colored anything but subtly,
[02:01:29.000 --> 02:01:31.000]  and low-end products can be bright and exciting,
[02:01:31.000 --> 02:01:32.000]  which I think is too bad.
[02:01:32.000 --> 02:01:34.000]  But yeah, they look great.
[02:01:34.000 --> 02:01:38.000]  You will not be sad if you buy a blue iPad 10th generation.
[02:01:38.000 --> 02:01:41.000]  It's going to stand out and be a nice little iPad.
[02:01:41.000 --> 02:01:43.000]  So iPadOS is shipping...
[02:01:43.000 --> 02:01:45.000]  Well, it'll be out by the time this podcast is out.
[02:01:45.000 --> 02:01:48.000]  So along with iOS 16.1,
[02:01:48.000 --> 02:01:50.000]  but that's nowhere near as big a deal.
[02:01:50.000 --> 02:01:52.000]  I mean, this is the first iPads are getting
[02:01:52.000 --> 02:01:55.000]  to the iOS 16 train.
[02:01:57.000 --> 02:02:00.000]  I've been using it for months on my iPad,
[02:02:00.000 --> 02:02:02.000]  and they've relented.
[02:02:02.000 --> 02:02:04.000]  I don't know if I've mentioned this on any recent episode.
[02:02:04.000 --> 02:02:06.000]  I know everybody listening probably does know
[02:02:06.000 --> 02:02:10.000]  that Stage Manager is no longer limited
[02:02:10.000 --> 02:02:14.000]  only to the M1 iPads.
[02:02:14.000 --> 02:02:17.000]  It's like all iPad pros from 2018 onward.
[02:02:17.000 --> 02:02:23.000]  Let's just say I've got popcorn in the house ready to pop
[02:02:23.000 --> 02:02:27.000]  for when this hits everybody who's been reluctant
[02:02:27.000 --> 02:02:29.000]  to try the betas, you know,
[02:02:29.000 --> 02:02:33.000]  and people get their first taste of Stage Manager on iPadOS,
[02:02:33.000 --> 02:02:35.000]  and not because I think it's a disaster.
[02:02:35.000 --> 02:02:36.000]  I actually...
[02:02:36.000 --> 02:02:38.000]  To me, it's what's interesting is
[02:02:38.000 --> 02:02:40.000]  I think there are clearly problems with it.
[02:02:40.000 --> 02:02:42.000]  I don't think it's been...
[02:02:42.000 --> 02:02:44.000]  I don't think it's really ready.
[02:02:44.000 --> 02:02:48.000]  Hopefully, they keep cooking how it works,
[02:02:48.000 --> 02:02:52.000]  but it's not like this terrible...
[02:02:52.000 --> 02:02:56.000]  Like if they had shipped the redesigned Safari tabs
[02:02:56.000 --> 02:02:57.000]  from last year,
[02:02:57.000 --> 02:03:00.000]  the ones that I spent thousands of words disparaging,
[02:03:00.000 --> 02:03:02.000]  and then they relented and said,
[02:03:02.000 --> 02:03:04.000]  you know what? Never mind. We're not going to do it.
[02:03:04.000 --> 02:03:07.000]  I think that was an unmitigated disaster,
[02:03:07.000 --> 02:03:11.000]  which is why I wrote about it as...
[02:03:11.000 --> 02:03:14.000]  Fearsomely? I don't know what word to describe it as I did,
[02:03:14.000 --> 02:03:17.000]  because I really thought it was a disaster if they shipped it.
[02:03:17.000 --> 02:03:21.000]  I did not do that with Stage Manager for iPad
[02:03:21.000 --> 02:03:24.000]  because I have very mixed feelings about it,
[02:03:24.000 --> 02:03:27.000]  and I think the fact that there was so much demand for it
[02:03:27.000 --> 02:03:31.000]  from users whose iPad pros weren't yet M1s
[02:03:31.000 --> 02:03:35.000]  shows that people want to try it or like the idea of it,
[02:03:35.000 --> 02:03:38.000]  and I think some people might be very happy.
[02:03:38.000 --> 02:03:40.000]  I think it's going to be very bifurcating when it comes out.
[02:03:40.000 --> 02:03:43.000]  I think there's going to be some people who get it,
[02:03:43.000 --> 02:03:45.000]  and they're like, I love it. This is great.
[02:03:45.000 --> 02:03:47.000]  I can't believe all of you people who've been complaining about it
[02:03:47.000 --> 02:03:49.000]  for months about the betas.
[02:03:49.000 --> 02:03:53.000]  You're just a bunch of grumpy grippers looking to complain.
[02:03:53.000 --> 02:03:54.000]  This is terrific,
[02:03:54.000 --> 02:03:56.000]  and then I think there's going to be other people who are like,
[02:03:56.000 --> 02:03:58.000]  I can't believe Apple shipped this.
[02:03:58.000 --> 02:04:01.000]  Yeah, I agree. It's definitely going to be split.
[02:04:01.000 --> 02:04:02.000]  The nice thing is it's a mode,
[02:04:02.000 --> 02:04:04.000]  so if you don't like it, you can just turn it off and not use it,
[02:04:04.000 --> 02:04:07.000]  and the old split-screen multitasking thing is still there.
[02:04:07.000 --> 02:04:10.000]  They didn't take it away, which they could have done, right?
[02:04:10.000 --> 02:04:12.000]  They could have been like, everything's got Windows now.
[02:04:12.000 --> 02:04:14.000]  Good luck, everybody, and they didn't do that,
[02:04:14.000 --> 02:04:17.000]  but it feels like a work in progress.
[02:04:17.000 --> 02:04:20.000]  I think that you got that exactly right.
[02:04:20.000 --> 02:04:21.000]  There's more that needs to be done,
[02:04:21.000 --> 02:04:23.000]  and it feels like they just ran out of time,
[02:04:23.000 --> 02:04:25.000]  and they're shipping it, and I think the key,
[02:04:25.000 --> 02:04:28.000]  and I was thinking about this as I wrote my Mac OS review, too,
[02:04:28.000 --> 02:04:31.000]  but I think it's true about iOS as well, or iPad OS,
[02:04:31.000 --> 02:04:36.000]  is Apple in the past has had this tendency to ship features
[02:04:36.000 --> 02:04:39.000]  and then forget them, right?
[02:04:39.000 --> 02:04:42.000]  Like, here it is, and then even the original iPad multitasking,
[02:04:42.000 --> 02:04:44.000]  everybody's like, but what about this and this?
[02:04:44.000 --> 02:04:47.000]  Very obvious things that you need to fix,
[02:04:47.000 --> 02:04:51.000]  and silence for two years, and then they fix them.
[02:04:51.000 --> 02:04:54.000]  And there's a bunch of stuff in Mac OS and iPad OS,
[02:04:54.000 --> 02:04:56.000]  and Stage Manager is one of them,
[02:04:56.000 --> 02:05:00.000]  where it's, you guys are on the path to something here,
[02:05:00.000 --> 02:05:05.000]  but you're not there yet, and if you abandon this now
[02:05:05.000 --> 02:05:08.000]  and say, see you in a year or two,
[02:05:08.000 --> 02:05:14.000]  you are doing every user a huge disservice.
[02:05:14.000 --> 02:05:16.000]  More, I feel like a teacher.
[02:05:16.000 --> 02:05:18.000]  That's sort of where I ended up with my Mac OS review, too,
[02:05:18.000 --> 02:05:19.000]  is like, see me after class.
[02:05:19.000 --> 02:05:21.000]  It's like, this is an incomplete.
[02:05:21.000 --> 02:05:22.000]  You need to keep working on it.
[02:05:22.000 --> 02:05:23.000]  You're not done with your job.
[02:05:23.000 --> 02:05:28.000]  So I hope that Apple is looking at Stage Manager
[02:05:28.000 --> 02:05:30.000]  and the system settings in Mac OS
[02:05:30.000 --> 02:05:32.000]  and a bunch of these kind of features and being like,
[02:05:32.000 --> 02:05:33.000]  okay, we have to ship this,
[02:05:33.000 --> 02:05:37.000]  but we are going to keep iterating on it
[02:05:37.000 --> 02:05:38.000]  throughout the year.
[02:05:38.000 --> 02:05:41.000]  You're not going to have to wait until the next version of the OS.
[02:05:41.000 --> 02:05:43.000]  We're going to keep on plugging here,
[02:05:43.000 --> 02:05:46.000]  because we know that we have more work to do.
[02:05:46.000 --> 02:05:48.000]  And if that's what they do with Stage Manager,
[02:05:48.000 --> 02:05:51.000]  I think Stage Manager has a future.
[02:05:51.000 --> 02:05:53.000]  If they let it sit there for a year or two,
[02:05:53.000 --> 02:05:55.000]  everybody's just going to turn it off and forget that it existed,
[02:05:55.000 --> 02:05:56.000]  or at least a lot of people are.
[02:05:56.000 --> 02:05:59.000]  And there is a way forward here.
[02:05:59.000 --> 02:06:04.000]  Like, I saw a tweet today that I put the link in for you.
[02:06:04.000 --> 02:06:05.000]  Maybe you can put it in the show notes.
[02:06:05.000 --> 02:06:07.000]  It's from Steve Trotton Smith, the developer.
[02:06:07.000 --> 02:06:10.000]  And he has a lot of experience with Windows systems as well.
[02:06:10.000 --> 02:06:12.000]  So he knows how the tiling works on Windows,
[02:06:12.000 --> 02:06:15.000]  and he says the iPad doesn't really match up.
[02:06:15.000 --> 02:06:18.000]  And I don't love tiling, but it's true.
[02:06:18.000 --> 02:06:21.000]  It's way easier and more intuitive to do that sort of thing on Windows.
[02:06:21.000 --> 02:06:24.000]  But he made a bulleted list that I think is really good,
[02:06:24.000 --> 02:06:26.000]  which is, here's what you could do.
[02:06:26.000 --> 02:06:31.000]  Make stage creation manual so it isn't creating stages all the time.
[02:06:31.000 --> 02:06:34.000]  Let you move the windows around per pixel,
[02:06:34.000 --> 02:06:38.000]  even if it's not the default, so they don't all auto-rearrange,
[02:06:38.000 --> 02:06:39.000]  which is one of my great frustrations,
[02:06:39.000 --> 02:06:45.000]  is you gave us arbitrary windows and then said they can't be arbitrary.
[02:06:45.000 --> 02:06:47.000]  Why make that decision?
[02:06:47.000 --> 02:06:50.000]  It's like one or the other, but to be in the middle is so strange.
[02:06:50.000 --> 02:06:54.000]  Steve says, new windows should always be created by default
[02:06:54.000 --> 02:06:56.000]  in the current stage, not spawning a new stage.
[02:06:56.000 --> 02:06:59.000]  Never kick back to the springboard.
[02:06:59.000 --> 02:07:01.000]  Let the stage be empty if it needs to be.
[02:07:01.000 --> 02:07:05.000]  And he says, remove the four-window limit, which, sure,
[02:07:05.000 --> 02:07:08.000]  and then put together an API package supporting Stage Manager.
[02:07:08.000 --> 02:07:13.000]  But his list there, I mean, it really goes to the heart
[02:07:13.000 --> 02:07:15.000]  of what I find frustrating about Stage Manager,
[02:07:15.000 --> 02:07:17.000]  is I can't get the windows where I want to be.
[02:07:17.000 --> 02:07:21.000]  When I click on links, they open, or tap on app icons,
[02:07:21.000 --> 02:07:24.000]  they open in weird places that take me away from my work,
[02:07:24.000 --> 02:07:26.000]  and then I have to spend time dragging everything back around.
[02:07:26.000 --> 02:07:30.000]  Like, all the pieces are there,
[02:07:30.000 --> 02:07:32.000]  but there's just a bunch of detail work that needs to be done.
[02:07:32.000 --> 02:07:37.000]  And I really hope that Apple is going to spend the next six months
[02:07:37.000 --> 02:07:41.000]  doing the detail work, because that's my overall feeling
[02:07:41.000 --> 02:07:45.000]  about Stage Manager, is I don't think it's fundamentally a bad idea.
[02:07:45.000 --> 02:07:49.000]  I just think it's not done, and if Apple thinks it's done,
[02:07:49.000 --> 02:07:50.000]  we have a problem.
[02:07:50.000 --> 02:07:52.000]  If Apple thinks that they can go a year without fixing it,
[02:07:52.000 --> 02:07:53.000]  we have a problem.
[02:07:53.000 --> 02:07:55.000]  But if Apple is going to keep working on it,
[02:07:55.000 --> 02:07:57.000]  all right, then that's fine.
[02:07:57.000 --> 02:07:58.000]  Let's do that.
[02:07:58.000 --> 02:08:00.000]  It's a very ambitious feature,
[02:08:00.000 --> 02:08:05.000]  and I really am understanding of that.
[02:08:05.000 --> 02:08:08.000]  You have to invent windowing on iPadOS, right?
[02:08:08.000 --> 02:08:10.000]  Mac Stage Manager has some issues,
[02:08:10.000 --> 02:08:13.000]  but they have decades of windowing, right?
[02:08:13.000 --> 02:08:15.000]  Whereas the iPad has none, none.
[02:08:15.000 --> 02:08:18.000]  They have to invent all windowing to do this feature.
[02:08:18.000 --> 02:08:22.000]  Which is a lot of just pure programming work, right?
[02:08:22.000 --> 02:08:28.000]  Like, just to do it is a lot of work for the programmers to actually just,
[02:08:28.000 --> 02:08:31.000]  even if they know, if you have a surefire,
[02:08:31.000 --> 02:08:36.000]  this specification for how it should work is set in stone.
[02:08:36.000 --> 02:08:37.000]  It's a lot of work.
[02:08:37.000 --> 02:08:38.000]  Sure.
[02:08:38.000 --> 02:08:40.000]  And then there's the philosophical part of it, right,
[02:08:40.000 --> 02:08:42.000]  which is like, I feel like every time you say,
[02:08:42.000 --> 02:08:44.000]  well, what should happen in this case?
[02:08:44.000 --> 02:08:46.000]  On the Mac, you're like, well, we already know the answer.
[02:08:46.000 --> 02:08:47.000]  And on the iPad, it's like, all right,
[02:08:47.000 --> 02:08:50.000]  I guess we need to have a meeting and talk through all the possibilities
[02:08:50.000 --> 02:08:52.000]  because we don't know.
[02:08:52.000 --> 02:08:56.000]  And that happens for like every single use case of windowing on iPadOS
[02:08:56.000 --> 02:08:58.000]  because there are no answers because it never existed before.
[02:08:58.000 --> 02:08:59.000]  Right.
[02:08:59.000 --> 02:09:01.000]  But then the other aspect is that playtesting aspect,
[02:09:01.000 --> 02:09:03.000]  which is I think what you're getting at,
[02:09:03.000 --> 02:09:07.000]  which is that you kind of have to try it when you have a new idea like this.
[02:09:07.000 --> 02:09:09.000]  And it applies, it's not just for games,
[02:09:09.000 --> 02:09:11.000]  but if you're inventing a new game,
[02:09:11.000 --> 02:09:15.000]  whether it's a video game or a real game,
[02:09:15.000 --> 02:09:18.000]  I don't think there's, I'm quite certain there's never been a game
[02:09:18.000 --> 02:09:23.000]  that's been invented purely just by writing the rules
[02:09:23.000 --> 02:09:29.000]  and then releasing it and it takes off and it's instantly popular.
[02:09:29.000 --> 02:09:31.000]  You've got to play it and then, oh, you know what,
[02:09:31.000 --> 02:09:33.000]  it would be better if we did blank.
[02:09:33.000 --> 02:09:36.000]  Like, we don't have time to get into baseball
[02:09:36.000 --> 02:09:39.000]  and who knows where my Yankees are going to be
[02:09:39.000 --> 02:09:41.000]  by the time this podcast comes out on Monday.
[02:09:41.000 --> 02:09:45.000]  But for example, I was just reading about the history of baseball
[02:09:45.000 --> 02:09:47.000]  and Aaron Judge and the home run record
[02:09:47.000 --> 02:09:49.000]  and strikeout records and stuff like that.
[02:09:49.000 --> 02:09:54.000]  And like in the 1870s, you got five balls instead of four balls
[02:09:54.000 --> 02:09:57.000]  and the pitcher's mound was only 50 feet away instead of 60 feet away.
[02:09:57.000 --> 02:10:00.000]  And it's like they figured things out like, oh, that's way too close,
[02:10:00.000 --> 02:10:04.000]  because once we found people who really can pitch, that's too close.
[02:10:04.000 --> 02:10:05.000]  We've got to move that back.
[02:10:05.000 --> 02:10:08.000]  And five balls is too many, we'll make it four.
[02:10:08.000 --> 02:10:11.000]  You need to adjust rules for a game or a card game
[02:10:11.000 --> 02:10:13.000]  or a board game or a video game.
[02:10:13.000 --> 02:10:16.000]  You've got to start playing it and then you figure out what's wrong.
[02:10:16.000 --> 02:10:18.000]  And when you're designing an interface system like this,
[02:10:18.000 --> 02:10:22.000]  you've got to come up with a good idea, implement it,
[02:10:22.000 --> 02:10:27.000]  and no matter how fast the programmers are to implement the features,
[02:10:27.000 --> 02:10:30.000]  even if you could snap your fingers and make them happen,
[02:10:30.000 --> 02:10:34.000]  you have to kind of live with it and let many people live with it
[02:10:34.000 --> 02:10:39.000]  and then sort of figure out where the leaks are
[02:10:39.000 --> 02:10:42.000]  and pour water all over the roof and see what leaks
[02:10:42.000 --> 02:10:44.000]  and then patch it and adjust it and tweak the rules.
[02:10:44.000 --> 02:10:50.000]  I really still can't help but think that ideally Stage Manager
[02:10:50.000 --> 02:10:54.000]  would have been a 2023 thing and that secretly within Apple,
[02:10:54.000 --> 02:10:58.000]  they'd be doing all this work right now as they've done,
[02:10:58.000 --> 02:11:02.000]  or at least on iPad, because I do think it's more cohesive on Mac.
[02:11:02.000 --> 02:11:05.000]  It's not for me on Mac because I'm very happy with tradition.
[02:11:05.000 --> 02:11:08.000]  You know, the Federighi line, I forget if it was in the keynote
[02:11:08.000 --> 02:11:12.000]  or on my talk show, but that basically they're not saying to anybody
[02:11:12.000 --> 02:11:15.000]  who's perfectly happy with the way Mac windowing works now
[02:11:15.000 --> 02:11:18.000]  that you have to change anything at all or even know that it exists.
[02:11:18.000 --> 02:11:22.000]  But if you find that you get too much windowing clutter,
[02:11:22.000 --> 02:11:25.000]  Stage Manager might be for you and that's what it's designed for.
[02:11:25.000 --> 02:11:28.000]  But on iPad, it's going the other way, right?
[02:11:28.000 --> 02:11:32.000]  On the Mac, it's like a simplified decluttering way of using your Mac.
[02:11:32.000 --> 02:11:36.000]  On the iPad, it's intended to be a complexifying,
[02:11:36.000 --> 02:11:42.000]  complicating, do more, see more at once feature.
[02:11:42.000 --> 02:11:48.000]  And that's more ambitious and I just feel just what it should be.
[02:11:48.000 --> 02:11:51.000]  I don't think anybody really quite knows what it should be.
[02:11:51.000 --> 02:11:55.000]  That list that you just read from Steven is one way that it could be improved,
[02:11:55.000 --> 02:12:01.000]  but it just shows how much, through no fault of their own, I don't think,
[02:12:01.000 --> 02:12:04.000]  except for their decision that it was going to ship this fall,
[02:12:04.000 --> 02:12:07.000]  which they are responsible for and here it is,
[02:12:07.000 --> 02:12:11.000]  but hopefully they don't stop pushing the idea forward
[02:12:11.000 --> 02:12:13.000]  just because it's officially out.
[02:12:13.000 --> 02:12:16.000]  Yeah, if I have, like I like having new features, they're great,
[02:12:16.000 --> 02:12:19.000]  but if I had a trouble point that I wanted to cite
[02:12:19.000 --> 02:12:23.000]  about what Apple's been doing the last few years in software,
[02:12:23.000 --> 02:12:27.000]  thinking about that Safari thing, thinking about Stage Manager,
[02:12:27.000 --> 02:12:33.000]  it's whatever the filter is for stuff that's going to get in the new OS release
[02:12:33.000 --> 02:12:36.000]  and is going to be on stage at WWDC,
[02:12:36.000 --> 02:12:42.000]  it sure feels like they're more confident in their ability to ship a feature
[02:12:42.000 --> 02:12:48.000]  and have people like it and have it be good than they actually are.
[02:12:48.000 --> 02:12:52.000]  Because ideally, and again, it's great that they listen to people, right?
[02:12:52.000 --> 02:12:56.000]  I think the Safari URL bar changed, I think,
[02:12:56.000 --> 02:13:02.000]  but shouldn't they have had that happen inside, right?
[02:13:02.000 --> 02:13:05.000]  Shouldn't there be enough of a filter on the inside for the people who say,
[02:13:05.000 --> 02:13:07.000]  oh, this is a bad idea, we shouldn't do this?
[02:13:07.000 --> 02:13:10.000]  They're like, okay, well, let's not announce it and we'll work on it some more.
[02:13:10.000 --> 02:13:13.000]  For Stage Manager, what was their confidence level that like,
[02:13:13.000 --> 02:13:16.000]  oh, we've got this solved, we've totally got this figured out,
[02:13:16.000 --> 02:13:18.000]  we're going to ship it this fall, it's going to be great?
[02:13:18.000 --> 02:13:21.000]  Because whoever had that confidence, I think it was misplaced
[02:13:21.000 --> 02:13:26.000]  and I don't know whether it's about issues with the work environment,
[02:13:26.000 --> 02:13:31.000]  I don't know whether it's somebody making decisions who's not listening to other people on their staff
[02:13:31.000 --> 02:13:34.000]  or people are telling them what they want to hear,
[02:13:34.000 --> 02:13:39.000]  but that troubles me a little bit that Apple is making these events in June,
[02:13:39.000 --> 02:13:43.000]  I think with some degree of confidence that they're going to be ready
[02:13:43.000 --> 02:13:48.000]  and then discovering that it's way more complicated than they thought
[02:13:48.000 --> 02:13:52.000]  and that troubles me a little bit, like they should have a better filter up front to say,
[02:13:52.000 --> 02:13:55.000]  this isn't going to be ready, so let's not announce it
[02:13:55.000 --> 02:13:58.000]  and they haven't done that two years in a row now with a major feature.
[02:13:58.000 --> 02:14:03.000]  Yeah, the other thing, and I know I saw some other tweets from Stephen Trout and Smith over the weekend
[02:14:03.000 --> 02:14:07.000]  where he had like animated or I don't know if they're movies or GIFs or what,
[02:14:07.000 --> 02:14:13.000]  but just comparing moving three windows around on iPad with Stage Manager versus Windows 11.
[02:14:13.000 --> 02:14:18.000]  Yeah. And I know enough about Windows, modern Windows to know this,
[02:14:18.000 --> 02:14:23.000]  that the one thing that Windows I think is clearly better than iPad at in this regard
[02:14:23.000 --> 02:14:33.000]  is that the difference between arranged windows that are arbitrarily sized versus tiled windows
[02:14:33.000 --> 02:14:41.000]  that expand to the borders of the screen, so like are much, they're completely cohesive within Windows.
[02:14:41.000 --> 02:14:45.000]  It's the same thing, just you just sort of drag it to the edge
[02:14:45.000 --> 02:14:50.000]  and it snaps to become panel that's the full height and sticks to the borders
[02:14:50.000 --> 02:14:54.000]  and drag it towards the middle to untile it and make it a thing,
[02:14:54.000 --> 02:15:01.000]  whereas Split View and Stage Manager and iPadOS are completely different
[02:15:01.000 --> 02:15:07.000]  and that to me is a real problem in the overall design
[02:15:07.000 --> 02:15:13.000]  where you've got two entirely different modes of putting content
[02:15:13.000 --> 02:15:17.000]  from two different windows side by side or on the same screen
[02:15:17.000 --> 02:15:25.000]  and that there's no cohesive way to just, it's very stilted and unnatural to me
[02:15:25.000 --> 02:15:35.000]  and I feel like if you described what they want iPadOS 16 to be with Stage Manager
[02:15:35.000 --> 02:15:42.000]  and that was, what it is was the first version of iPadOS that you were going to make,
[02:15:42.000 --> 02:15:48.000]  there wouldn't be split screen, it's somehow now they've incurred, I'll call it technical debt
[02:15:48.000 --> 02:15:53.000]  but it's like technical user interface debt by having had this split screen mode
