[00:00.000 --> 00:01.360]  Dieter, it's good to have you here.
[01:40:33.200 --> 01:40:47.200]  And that is great if you live there. But by definition, it literally by definition, there's not that many people because you're talking about sparsely populated areas. So it's not going to sell a lot of phones because that's not where the people are.
[01:40:47.200 --> 01:41:01.200]  And it's also hard to know how much of that rural connectivity story is real and how much of it is the carriers telling the FCC wants to hear and the FCC pretending like it's true because they're, you know, in bed with the carriers.
[01:41:01.200 --> 01:41:18.200]  Yeah. And how do you get people to buy it too? Right? Like if you've got if you're just a person with a bomb LTE signal at your house, and you hear 5G is great. Well, how do you prove it until you go out and spend $1,000 on a flagship phone with 5G and then take it home and see if you get a signal?
[01:41:18.200 --> 01:41:30.200]  I mean, you can take your phone back if you do it and you have a bad signal, you know, you can return phones. But that, you know, I don't know, does it? Is it really going to move the phones off the shelves? I don't know.
[01:41:30.200 --> 01:41:59.200]  Yeah, well, there's also just a like a pacing story. We're used to tech stuff happening relatively quickly. And like, build outs of cellular networks take years. And so it's just a matter of like, how, when do they hype it? And how fast do they hype it? And how early do you believe in the hype? And we're just we're still mid cycle at best on the build out of these networks. And until we get closer to late cycle and really start to know what they enable, it's hard to buy into any of the hype.
[01:41:59.200 --> 01:42:28.200]  Bonus content. I told you before we would talk about the the lack of haptic touch on the iPhone SE and I forgot to bring even though I'm staring at a note, I wrote a note to myself right here. It says iPhone SE haptic touch kerfuffle. We didn't talk about it. We could talk about that and then and then call it a show. So here's the So can you explain it? I because I'm not even sure where. Explain it.
[01:42:28.200 --> 01:42:57.200]  So it's actually funny because I think you and I have actually argued about I don't like the way that lock screen notifications on the iPhone work in the first place. But in theory, you should be able to long press on a notification and have it pop up like those extra options, you know, like the view or if there's like a archive option for email or whatever. And apparently, on the iPhone SE, you long press and you expect to have that little haptic tap back and then have a bunch of options appear doesn't work.
[01:42:57.200 --> 01:43:23.200]  You need to slide it over and hit the view button to have those options pop up. And it is it's not a thing I noticed and I feel bad about it. I'm sorry I didn't. But it's also like I that's not how I interact with iPhone notifications, I guess. And I was already sort of discombobulated by the fact that you have to touch the notification and then unlock it with the home button in the first place, which is something I hadn't done for several years.
[01:43:23.200 --> 01:43:39.200]  But yeah, I do not understand why. But according to Matthew Panzerino over TechCrunch, it's not a bug that like Apple designed it that way. They did not want that long press to open up the options.
[01:43:39.200 --> 01:43:54.200]  And I guess the reason people feel aggrieved by it is that the iPhone 8 had 3D touch and 3D touch is like the rare thing Apple has walked away from Apple.
[01:43:54.200 --> 01:44:15.200]  And you talk about like the way that Samsung will maybe throw in the 108 megapixel camera before everything is worked out. And I don't think they're going to walk away from that. I expect like the S21 or whatever the hell they call next year's phone might have the 108 megapixel sensor and not have the autofocus problems.
[01:44:15.200 --> 01:44:27.200]  Right. But, you know, on the Android side of the fence, they might try things and then walk away from them like didn't work. Whereas Apple's not really a measure twice cut once.
[01:44:27.200 --> 01:44:46.200]  They're like a measure 10 times cut once company. And 3D touch is something that they've just sort of walked away from because I guess because it requires like a layer under, you know, there's some kind of sandwich there of glass OLED touch sensors and etc.
[01:44:46.200 --> 01:44:59.200]  And 3D touch is one of those layers of the sandwich. And they took it out and what they now call haptic touch doesn't really require physical sensors in that sandwich.
[01:44:59.200 --> 01:45:06.200]  It's some kind of heuristic to determine, you know, they've never explained how they're doing it.
[01:45:06.200 --> 01:45:32.200]  But something to do with your skin expanding on the screen and faking the sense of 3D. So the iPhone 8 had 3D touch and therefore you were able to hard press on a notification and the SE doesn't fake it with haptic touch the way the other iPhone 11 era phones do and people are aggrieved by it.
[01:45:32.200 --> 01:45:42.200]  And I get it. If you have that habit, I get it that man, you know, and you've been waiting all this time and now you've got your iPhone SE and now it feels like your notifications are busted.
[01:45:42.200 --> 01:45:57.200]  So I'm not making fun of anybody who's aggrieved by it. I would be too. I missed it as a reviewer because it's been so long since I used that style of iPhone on a daily basis that it didn't even register to me. I just thought that was normal.
[01:45:57.200 --> 01:46:08.200]  If I had to guess, I would say that there's probably something very inelegant about the finger gymnastics of long pressing on the thing. Oh, wait, no, I haven't unlocked it yet.
[01:46:08.200 --> 01:46:18.200]  Let me lightly touch on the home button to unlock but not touch on it so hard that I actually get out of the lock screen and then go back up to the thing and then press the thing and then have the options pop up.
[01:46:18.200 --> 01:46:28.200]  I think there's like the bouncing your thumb up and down until you like get the thing you want was probably such a mess that they probably just turned it off if I had to guess, but I don't actually know.
[01:46:28.200 --> 01:46:45.200]  Yeah. And it's one of those things that I've sort of stopped thinking about, but there's like a difference in the defaults on whether they like, let's just say you send me a text message and my phone is locked and I look at it on the ones with the home button.
[01:46:45.200 --> 01:46:55.200]  It'll show me by default with default Apple factory settings. It'll show me the text of your message on my home screen and I can turn that off if I want to for privacy reasons.
[01:46:55.200 --> 01:47:06.200]  But by default, it's there. Whereas on the iPhone 10 face ID class iPhones, that's off by default. And it just says, I think it says Dieter sent you a text message.
[01:47:06.200 --> 01:47:22.200]  I think it has your name, but it doesn't send you the text of the message. But because of face ID, if you're looking at the phone face ID can in most circumstances identify you and you don't realize that it's not showing it to you unless your face unlocks the phone.
[01:47:22.200 --> 01:47:27.200]  Right. Yep. And it just sort of magically opens up and then you're able to interact with it because it's unlocked.
[01:47:27.200 --> 01:47:43.200]  Right. And so that, but it seems like the iPhone SE is sort of kind of caught in the middle where it no longer has 3D Touch hardware sensors, but it doesn't have face ID. So sorry.
[01:47:43.200 --> 01:47:52.200]  And I've gotten in trouble for saying that Apple made the right move by getting rid of 3D Touch, that it really wasn't that valuable from people that deeply love 3D Touch.
[01:47:52.200 --> 01:48:00.200]  But I don't know, it didn't take off. They didn't have the interaction models for what it does really figured out.
[01:48:00.200 --> 01:48:10.200]  You know, there's a couple of examples in the past, I don't know, decade of Apple sort of claiming that they had invented a brand new hardware software interaction model that was going to be revolutionary.
[01:48:10.200 --> 01:48:19.200]  And then it turned out to not be in like 3D Touch is sort of in that camp. And then the digital crown is the other thing where it's like, yeah, you kind of promised a little bit too much there.
[01:48:19.200 --> 01:48:26.200]  And so it's a bummer that they've gotten rid of 3D Touch and it's a bummer that the haptic touch thing isn't working here.
[01:48:26.200 --> 01:48:32.200]  But I don't know, at a certain point, these things are so complex that, you know, even Apple can't magically think of every single use case.
[01:48:32.200 --> 01:48:41.200]  I know that they've renamed the OS for the iPad to iPad OS, but it is still iOS. And the fact that iPads, even if you get the iPad Pro, you never had 3D Touch.
[01:48:41.200 --> 01:48:50.200]  So there was always this mismatch where you can't 3D Touch anything on the iPad and yet you could on certain high end iPhones.
[01:48:50.200 --> 01:48:58.200]  And I always thought it was a mistake that they made 3D Touch on the iPhones do something entirely different than a long press.
[01:48:58.200 --> 01:49:12.200]  And so you would long press an icon if you wanted jiggle mode to rearrange it and 3D Touch it if you wanted shortcuts. And boy, was that easy to get wrong and seemed very hard to explain.
[01:49:12.200 --> 01:49:23.200]  And really sort of seems un-Apple-like, like two very similar features designed by two teams that didn't know what the other was doing.
[01:49:23.200 --> 01:49:27.200]  Yeah, that seems like a reasonable conjecture for what happened there.
[01:49:27.200 --> 01:49:36.200]  And, you know, so I'm okay with getting rid of it, but I feel like it was a lost opportunity where if they had done it right, it might have been awesome.
[01:49:36.200 --> 01:49:40.200]  But they never really did it right, so they might as well have gotten rid of it.
[01:49:40.200 --> 01:49:46.200]  All right, Dieter, thank you so much. I always enjoy talking to you.
[01:49:46.200 --> 01:49:54.200]  Everybody, of course, can read all of your fine work at The Verge and then on Twitter. I never remember anybody's Twitter handles. What's your Twitter handle?
[01:49:54.200 --> 01:49:57.200]  It's baklon. B-A-C-K-L-O-N.
[01:49:57.200 --> 01:50:00.200]  B-A-C-K-L-O-N. You're a joy on Twitter as well. I'll see you there.
[01:50:00.200 --> 01:50:02.200]  I do my best.
[01:50:02.200 --> 01:50:31.200]  Thanks.
