[00:00.000 --> 00:02.000]  fashionably late as always.
[2:36:40.000 --> 2:36:41.000]  I always say it out the door.
[2:36:41.000 --> 2:36:43.000]  Get your somebody out the door.
[2:36:43.000 --> 2:36:46.000]  Get the language in ship shape and then revisit this issue
[2:36:46.000 --> 2:36:47.000]  in the future.
[2:36:47.000 --> 2:36:50.000]  I don't think they'll do anything like that until it settles
[2:36:50.000 --> 2:36:56.000]  down until Swift of this year is nearly identical to Swift of last
[2:36:56.000 --> 2:36:59.000]  year.
[2:36:59.000 --> 2:37:01.000]  I don't think they need to like, that is, I understand that the
[2:37:01.000 --> 2:37:04.000]  desire to do that, like the motivation, like what makes you feel
[2:37:04.000 --> 2:37:07.000]  like, let's just, you know, let's just table this until we get our
[2:37:07.000 --> 2:37:08.000]  stuff together.
[2:37:08.000 --> 2:37:12.000]  But compared to WebKit though, WebKit was like, you know,
[2:37:12.000 --> 2:37:14.000]  open because it came from KHD.
[2:37:14.000 --> 2:37:16.000]  It was always open and did it, did it, like, well, we don't
[2:37:16.000 --> 2:37:18.000]  want to make, we don't want to show WebKit to the world until
[2:37:18.000 --> 2:37:19.000]  it settles down.
[2:37:19.000 --> 2:37:21.000]  Well, they show WebKit to the world as soon as they announce
[2:37:21.000 --> 2:37:23.000]  Safari and it was definitely shaky and weird.
[2:37:23.000 --> 2:37:25.000]  And it doesn't seem to have hurt WebKit development.
[2:37:25.000 --> 2:37:26.000]  I think it can be done.
[2:37:26.000 --> 2:37:29.000]  It's just a question of, it's like, it's a question of priorities.
[2:37:29.000 --> 2:37:31.000]  And like, Apple has never been the greatest open source citizen in
[2:37:31.000 --> 2:37:34.000]  terms of like, you have complete access to our repository.
[2:37:34.000 --> 2:37:35.000]  And you can see our changes in real time.
[2:37:35.000 --> 2:37:36.000]  They just do dumps.
[2:37:36.000 --> 2:37:37.000]  Like they do their work.
[2:37:37.000 --> 2:37:38.000]  It's hidden away.
[2:37:38.000 --> 2:37:40.000]  And then they release the product based on it.
[2:37:40.000 --> 2:37:42.000]  And then there's an open source dump.
[2:37:42.000 --> 2:37:46.000]  And that is not really the way that everyone wants open
[2:37:46.000 --> 2:37:47.000]  source to work.
[2:37:47.000 --> 2:37:49.000]  But it's sure better than never giving the code at all.
[2:37:49.000 --> 2:37:50.000]  Yeah.
[2:37:50.000 --> 2:37:54.000]  The gist of it is that the more I learn about Swift and, you know,
[2:37:54.000 --> 2:37:58.000]  it passed the intro, you know, chapter one of the Swift programming
[2:37:58.000 --> 2:38:02.000]  book, just, you know, Hello World type programs.
[2:38:02.000 --> 2:38:05.000]  It's evident that it is exactly what you would think it is.
[2:38:05.000 --> 2:38:10.000]  It's a language designed by a compiler guy, which is interesting.
[2:38:10.000 --> 2:38:11.000]  Right?
[2:38:11.000 --> 2:38:13.000]  A compiler guy who likes C++ a little bit.
[2:38:13.000 --> 2:38:14.000]  Yeah.
[2:38:14.000 --> 2:38:16.000]  It clearly comes through a little bit.
[2:38:16.000 --> 2:38:18.000]  I mean, LLVM is written in C++.
[2:38:18.000 --> 2:38:22.000]  And LLVM is, you know, like, so it's obviously everyone who
[2:38:22.000 --> 2:38:27.000]  uses any language for a long period of time comes to hate that
[2:38:27.000 --> 2:38:29.000]  language, but also kind of like it.
[2:38:29.000 --> 2:38:30.000]  Yeah.
[2:38:30.000 --> 2:38:33.000]  It's like longer longer to use it the more you're just like the
[2:38:33.000 --> 2:38:35.000]  parts that you hate just great and you're, but you also kind of
[2:38:35.000 --> 2:38:36.000]  like it.
[2:38:36.000 --> 2:38:38.000]  So like Swift has a lot of the things in it.
[2:38:38.000 --> 2:38:40.000]  You're like, this person clearly hates a lot of features
[2:38:40.000 --> 2:38:43.000]  about C++, but also kind of thinks some of them are kind of
[2:38:43.000 --> 2:38:44.000]  okay.
[2:38:44.000 --> 2:38:46.000]  And just like, boy, I wish they had been done differently.
[2:38:46.000 --> 2:38:47.000]  Yeah.
[2:38:47.000 --> 2:38:49.000]  But it's it's it's it's so obvious.
[2:38:49.000 --> 2:38:51.000]  And I think the details you delve into make a lot of these
[2:38:51.000 --> 2:38:56.000]  things clear where it's it's never academically precocious.
[2:38:56.000 --> 2:38:58.000]  It's not this is clever.
[2:38:58.000 --> 2:39:01.000]  This, you know, which is like when when you and I were younger,
[2:39:01.000 --> 2:39:04.000]  a lot of the new languages were were like Dylan or small talk
[2:39:04.000 --> 2:39:05.000]  or Lisp.
[2:39:05.000 --> 2:39:05.000]  Yeah.
[2:39:05.000 --> 2:39:06.000]  Exactly.
[2:39:06.000 --> 2:39:08.000]  That it's like Mathematica or Haskell these days.
[2:39:08.000 --> 2:39:09.000]  Right.
[2:39:09.000 --> 2:39:10.000]  Well, list predates us.
[2:39:10.000 --> 2:39:12.000]  Br list is from the 50s, but they're, you know, that that
[2:39:12.000 --> 2:39:16.000]  that that whole derivative that whole realm of language is
[2:39:16.000 --> 2:39:19.000]  Dylan's a perfect example because it was I think it came up
[2:39:19.000 --> 2:39:20.000]  in the 90s.
[2:39:20.000 --> 2:39:23.000]  But, you know, it was academically interesting, but it
[2:39:23.000 --> 2:39:27.000]  yeah, like it was like a purest viewpoint on something.
[2:39:27.000 --> 2:39:30.000]  Yeah, like how would you make Mac toolbox calls from Dylan?
[2:39:30.000 --> 2:39:33.000]  Whereas Swift is like the whole purpose of this language is
[2:39:33.000 --> 2:39:37.000]  like you have to be able to call into the both, you know, we
[2:39:37.000 --> 2:39:40.000]  have to call into the C C++ and Objective C frameworks that
[2:39:40.000 --> 2:39:41.000]  already exist.
[2:39:41.000 --> 2:39:41.000]  All right.
[2:39:41.000 --> 2:39:44.000]  So, you know, and we have to be able to work with like NS object
[2:39:44.000 --> 2:39:45.000]  in the Objective C runtime.
[2:39:45.000 --> 2:39:48.000]  And by the way, we also even though it's a memory safe thing by
[2:39:48.000 --> 2:39:50.000]  the way we also have to do it on safe point, just because
[2:39:50.000 --> 2:39:54.000]  sometimes we need to do that like totally pragmatic because
[2:39:54.000 --> 2:39:55.000]  it can't afford to do anything else.
[2:39:55.000 --> 2:39:57.000]  Like the mission statement is to be this language that spans
[2:39:57.000 --> 2:40:01.000]  this huge range and it spans this huge range because guess what
[2:40:01.000 --> 2:40:04.000]  Apple has a bunch of existing code in that huge range.
[2:40:04.000 --> 2:40:06.000]  And if you want to interface with it or some day replays it, you
[2:40:06.000 --> 2:40:09.000]  have to span the same range and they get to use three languages
[2:40:09.000 --> 2:40:11.000]  and you get our four languages or depending on how you can't
[2:40:11.000 --> 2:40:16.000]  like, you know, C++, C, Objective C, and then like shell
[2:40:16.000 --> 2:40:19.000]  scripting our Python or even Apple script or whatever.
[2:40:19.000 --> 2:40:21.000]  You want to try to span that whole range.
[2:40:21.000 --> 2:40:24.000]  You're going to have to be pragmatic about what you're willing
[2:40:24.000 --> 2:40:26.000]  to do to your beautiful language.
[2:40:26.000 --> 2:40:29.000]  And it's, you know, a lot of the languages that are popular
[2:40:29.000 --> 2:40:31.000]  were not designed by compiler guys.
[2:40:31.000 --> 2:40:33.000]  Larry Wall was not a compiler guy.
[2:40:33.000 --> 2:40:36.000]  I mean, it was, you know, it was, it was the replacement for
[2:40:36.000 --> 2:40:40.000]  like a bunch of shell scripts and, you know, TR and said
[2:40:40.000 --> 2:40:41.000]  and Hawk.
[2:40:41.000 --> 2:40:44.000]  And, you know, as I would just, more or less, it was,
[2:40:44.000 --> 2:40:47.000]  here's the syntax I'd like to be able to write to do these things
[2:40:47.000 --> 2:40:49.000]  and then he made a thing that did them.
[2:40:49.000 --> 2:40:53.000]  And I think, you know, you know, you said on ATP,
[2:40:53.000 --> 2:40:56.000]  then a lot of, for decades after there's been a lot of work of,
[2:40:56.000 --> 2:40:58.000]  well, how do we make this crazy language fast?
[2:40:58.000 --> 2:41:00.000]  Well, not so much for Pearl, but like JavaScript was very
[2:41:00.000 --> 2:41:01.000]  simple.
[2:41:01.000 --> 2:41:03.000]  Like all this syntax looks kind of like JavaScript is not really
[2:41:03.000 --> 2:41:05.000]  and by the way, we'll make some way to run it.
[2:41:05.000 --> 2:41:06.000]  Right.
[2:41:06.000 --> 2:41:08.000]  And it was no consideration to how to make it fast.
[2:41:08.000 --> 2:41:11.000]  And then the result was an interesting language that was pretty
[2:41:11.000 --> 2:41:14.000]  approachable for most people who can program and it was
[2:41:14.000 --> 2:41:15.000]  dreadfully slow.
[2:41:15.000 --> 2:41:20.000]  And it's been, you said millions of dollars and like three,
[2:41:20.000 --> 2:41:23.000]  four, five major generations of how are we actually going to
[2:41:23.000 --> 2:41:26.000]  run JavaScript, you know, to get to where we are today,
[2:41:26.000 --> 2:41:29.000]  where it runs at a reasonable speed, whereas Swift,
[2:41:29.000 --> 2:41:32.000]  you know, being written by a compiler guy, maybe the
[2:41:32.000 --> 2:41:35.000]  preeminent compiler guy in the world today has,
[2:41:35.000 --> 2:41:39.000]  it just reeks from top to bottom of this is going to be fast.
[2:41:39.000 --> 2:41:42.000]  Or C was written by a compiler guy too, like the language
[2:41:42.000 --> 2:41:44.000]  is that looks like, you know, the portable assembly,
[2:41:44.000 --> 2:41:46.000]  like where you can see where it maps.
[2:41:46.000 --> 2:41:48.000]  It's not that rare for language to be written by a compiler
[2:41:48.000 --> 2:41:50.000]  guy, but it's rare for a high level language.
[2:41:50.000 --> 2:41:51.000]  Right. Well, that's exactly it.
[2:41:51.000 --> 2:41:53.000]  That's exactly it where it, in fact,
[2:41:53.000 --> 2:41:56.000]  C looks like it's written by a compiler guy because it looks
[2:41:56.000 --> 2:41:59.000]  like compiler, you know, input.
[2:41:59.000 --> 2:42:02.000]  It looks like like an intermediary format.
[2:42:02.000 --> 2:42:05.000]  You know, you can squint that and see the assembly code
[2:42:05.000 --> 2:42:06.000]  that corresponds.
[2:42:06.000 --> 2:42:08.000]  Especially with like Sisk CPUs back in the day.
[2:42:08.000 --> 2:42:11.000]  Yeah, and especially if you look at older C code,
[2:42:11.000 --> 2:42:13.000]  you know, from the 70s and 80s,
[2:42:13.000 --> 2:42:16.000]  before some of the, you know, slightly higher level features
[2:42:16.000 --> 2:42:19.000]  that got added in, you know, later versions.
[2:42:19.000 --> 2:42:20.000]  Right.
[2:42:20.000 --> 2:42:22.000]  It's on its sleeve.
[2:42:22.000 --> 2:42:26.000]  It's a, you know, this is made to be easy to compile.
[2:42:26.000 --> 2:42:27.000]  You should read.
[2:42:27.000 --> 2:42:29.000]  You probably didn't because it really goes along,
[2:42:29.000 --> 2:42:31.000]  but one of the many, many, many things I linked in the review
[2:42:31.000 --> 2:42:35.000]  was a link to that awesome WebKit blog post
[2:42:35.000 --> 2:42:39.000]  about the fourth, fourth tier LVM optimizer
[2:42:39.000 --> 2:42:43.000]  for JavaScript, try actually reading that whole article
[2:42:43.000 --> 2:42:45.000]  because they, like, they take you through it.
[2:42:45.000 --> 2:42:47.000]  It's really, really well written and like,
[2:42:47.000 --> 2:42:48.000]  you just read a piece at a time.
[2:42:48.000 --> 2:42:50.000]  And you'll probably get like 50% 60% through it
[2:42:50.000 --> 2:42:52.000]  and realize they haven't even gotten to the part
[2:42:52.000 --> 2:42:54.000]  that tells you the new thing they did.
[2:42:54.000 --> 2:42:56.000]  Everything they've just described so far that is blowing your mind
[2:42:56.000 --> 2:42:58.000]  is existing JavaScript optimization features.
[2:42:58.000 --> 2:43:01.000]  They haven't even gotten to the fourth tier part.
[2:43:01.000 --> 2:43:04.000]  Like the hoops they jumped through to make JavaScript fast
[2:43:04.000 --> 2:43:06.000]  just make your head spin.
[2:43:06.000 --> 2:43:08.000]  Like every one of them seems so incredibly dangerous
[2:43:08.000 --> 2:43:10.000]  that it would be advisable to try
[2:43:10.000 --> 2:43:12.000]  and seems impossible that it could ever be made to work.
[2:43:12.000 --> 2:43:14.000]  And yet that's, that's where we're all running
[2:43:14.000 --> 2:43:15.000]  in our web browsers.
[2:43:15.000 --> 2:43:16.000]  Right.
[2:43:16.000 --> 2:43:19.000]  And it's, you know, on every platform.
[2:43:19.000 --> 2:43:22.000]  Every day, every, you know, and probably,
[2:43:22.000 --> 2:43:24.000]  I mean, I don't see any way out of it
[2:43:24.000 --> 2:43:26.000]  where for the rest of our life,
[2:43:26.000 --> 2:43:27.000]  JavaScript is going to be a part of it.
[2:43:27.000 --> 2:43:28.000]  I don't know if the rest of our life,
[2:43:28.000 --> 2:43:30.000]  I'm going to plan on living for a long time,
[2:43:30.000 --> 2:43:32.000]  but you got to get good with Dart and everything.
[2:43:32.000 --> 2:43:33.000]  Like people take runs at it from time to time.
[2:43:33.000 --> 2:43:36.000]  If anybody ever gets like, it's like, you know,
[2:43:36.000 --> 2:43:38.000]  Bitcoin, if everyone ever gets 100,
[2:43:38.000 --> 2:43:39.000]  more than 50% of the compute power.
[2:43:39.000 --> 2:43:42.000]  If anyone ever gets like dominant market share
[2:43:42.000 --> 2:43:44.000]  and web browsers again, which doesn't look like it's going
[2:43:44.000 --> 2:43:46.000]  to happen, but hey, who knows, they could replace it.
[2:43:46.000 --> 2:43:49.000]  They, you know, someone could seize the moment and be like,
[2:43:49.000 --> 2:43:51.000]  like Google's trying to try with Dart.
[2:43:51.000 --> 2:43:53.000]  Like we have a popular browser, have everyone write Dart
[2:43:53.000 --> 2:43:54.000]  and we can precompile it.
[2:43:54.000 --> 2:43:56.000]  And it's like JavaScript is able to be.
[2:43:56.000 --> 2:43:57.000]  And everyone's like, no, sorry.
[2:43:57.000 --> 2:43:59.000]  You don't have that kind of pull.
[2:43:59.000 --> 2:44:01.000]  We're just going to keep writing JavaScript.
[2:44:01.000 --> 2:44:03.000]  But I don't put it out of it.
[2:44:03.000 --> 2:44:05.000]  Like even like when I like a Swift,
[2:44:05.000 --> 2:44:08.000]  I made a few sly illusions and the thing of like,
[2:44:08.000 --> 2:44:12.000]  oh, there's no reason that Apple couldn't say,
[2:44:12.000 --> 2:44:15.000]  oh, and by the way, you can just like you can write Dart
[2:44:15.000 --> 2:44:19.000]  and they'll run, you know, Chrome wherever you can put Swift code.
[2:44:19.000 --> 2:44:23.000]  And if you load your, in your web pages instead of JavaScript,
[2:44:23.000 --> 2:44:26.000]  and when we load them, we will compile that Swift code
[2:44:26.000 --> 2:44:27.000]  and keep the compile version.
[2:44:27.000 --> 2:44:30.000]  It'll be much faster than JavaScript because it's on that level
[2:44:30.000 --> 2:44:33.000]  of like, it's not that much worse to use than JavaScript
[2:44:33.000 --> 2:44:35.000]  and libraries are not up to snuff or whatever.
[2:44:35.000 --> 2:44:37.000]  Or even just server-side web programming.
[2:44:37.000 --> 2:44:40.000]  Like the places where a Swift can draw is not,
[2:44:40.000 --> 2:44:43.000]  not constrained in the same way as Objective C
[2:44:43.000 --> 2:44:45.000]  or any of Apple's other languages.
[2:44:45.000 --> 2:44:48.000]  So if Apple ever wanted to make that move and say,
[2:44:48.000 --> 2:44:50.000]  you know, you can use JavaScript as your scripting language
[2:44:50.000 --> 2:44:53.000]  in your web page or you can use Swift to do it.
[2:44:53.000 --> 2:44:56.000]  Like if you were going to make like an iOS-only web app
[2:44:56.000 --> 2:44:58.000]  where you knew the target platform could do that.
[2:44:58.000 --> 2:45:01.000]  With the built-in library that's in the browser,
[2:45:01.000 --> 2:45:03.000]  you know, with a bunch of niceties.
[2:45:03.000 --> 2:45:05.000]  Yeah, and the compiler gets fast enough in the language.
[2:45:05.000 --> 2:45:08.000]  Like there are many things that are possible
[2:45:08.000 --> 2:45:12.000]  when this very new baby Swift starts getting mature.
[2:45:12.000 --> 2:45:14.000]  Like if they succeed in their goal to make a language
[2:45:14.000 --> 2:45:16.000]  that spans this range and that is able to be fast
[2:45:16.000 --> 2:45:18.000]  and everything is all sorts of places to go.
[2:45:18.000 --> 2:45:20.000]  Like even just down to like the stupid shell scripts
[2:45:20.000 --> 2:45:22.000]  and pearl scripts that have that are buried
[2:45:22.000 --> 2:45:24.000]  inside the installer packages,
[2:45:24.000 --> 2:45:29.000]  also for our newest 10. If Swift had a file IO library,
[2:45:29.000 --> 2:45:32.000]  it was worth a damn instead of having to use code go over.
[2:45:32.000 --> 2:45:34.000]  The language doesn't preclude that.
[2:45:34.000 --> 2:45:36.000]  They could make change all the scripts like
[2:45:36.000 --> 2:45:38.000]  you could really make one be unified language
[2:45:38.000 --> 2:45:39.000]  or it could turn out that 10 years from now,
[2:45:39.000 --> 2:45:41.000]  we turned out it was folly to try to span that range
[2:45:41.000 --> 2:45:43.000]  with one language and didn't work out.
[2:45:43.000 --> 2:45:45.000]  Well, and it makes me, it's funny too,
[2:45:45.000 --> 2:45:47.000]  and it makes me think it's one of those things
[2:45:47.000 --> 2:45:49.000]  where it was like, you know, inside Apple,
[2:45:49.000 --> 2:45:51.000]  a lot of people don't know what was going on.
[2:45:51.000 --> 2:45:53.000]  I mean, almost nobody knew that Swift was going on.
[2:45:53.000 --> 2:45:55.000]  Everybody I talked to at Apple was surprised
[2:45:55.000 --> 2:45:57.000]  by Swift's announcement as we were.
[2:45:57.000 --> 2:45:59.000]  That's why we're working for Apple's exciting.
[2:45:59.000 --> 2:46:01.000]  You're like, what the what?
[2:46:01.000 --> 2:46:03.000]  To me, it's an unfortunate coincidence
[2:46:03.000 --> 2:46:05.000]  that it also happened to be the year
[2:46:05.000 --> 2:46:09.000]  that the automation group added JavaScript support
[2:46:09.000 --> 2:46:11.000]  as an alternative to Apple script.
[2:46:11.000 --> 2:46:13.000]  Everywhere you can write Apple script now,
[2:46:13.000 --> 2:46:14.000]  you can write JavaScript.
[2:46:14.000 --> 2:46:16.000]  It seems to me like a better idea might have been
[2:46:16.000 --> 2:46:20.000]  to hold off on that and wait until you can do it in Swift.
[2:46:20.000 --> 2:46:22.000]  Did you see the tweets on head?
[2:46:22.000 --> 2:46:25.000]  With the JavaScript automation of the OASA script thing,
[2:46:25.000 --> 2:46:27.000]  you can use the JavaScript automation
[2:46:27.000 --> 2:46:30.000]  to call into an objective C library
[2:46:30.000 --> 2:46:32.000]  that loads Ruby and then you run Ruby code.
[2:46:32.000 --> 2:46:34.000]  It was like four languages in one command line,
[2:46:34.000 --> 2:46:36.000]  like showing like all the things.
[2:46:36.000 --> 2:46:38.000]  There's always weird bridges, you know,
[2:46:38.000 --> 2:46:40.000]  because you can, from Apple script,
[2:46:40.000 --> 2:46:41.000]  from JavaScript JavaScript automation,
[2:46:41.000 --> 2:46:43.000]  you can load objective C libraries.
[2:46:43.000 --> 2:46:44.000]  And from some objective C libraries,
[2:46:44.000 --> 2:46:45.000]  you can load the Ruby things, I guess,
[2:46:45.000 --> 2:46:47.000]  from the Ruby code code thing or whatever.
[2:46:47.000 --> 2:46:50.000]  It is quite, and then just just Swift into that mix too,
[2:46:50.000 --> 2:46:53.000]  they can interoperate with the objective C as well.
[2:46:53.000 --> 2:46:54.000]  Yeah.
[2:46:54.000 --> 2:46:56.000]  I'll sort of self out, I guess.
[2:46:56.000 --> 2:46:58.000]  I guess so, but it seems to me like the future,
[2:46:58.000 --> 2:47:01.000]  I mean, I'm always happy when the automation stuff
[2:47:01.000 --> 2:47:04.000]  has any new features, because I'm always afraid
[2:47:04.000 --> 2:47:07.000]  that they're going to turn the lights out on South group.
[2:47:07.000 --> 2:47:10.000]  So it's, it's great libraries.
[2:47:10.000 --> 2:47:11.000]  What's that?
[2:47:11.000 --> 2:47:13.000]  I think a library's last year, right?
[2:47:13.000 --> 2:47:14.000]  Yeah, no, they've been at, no,
[2:47:14.000 --> 2:47:15.000]  I don't think a JavaScript.
[2:47:15.000 --> 2:47:16.000]  Right.
[2:47:16.000 --> 2:47:18.000]  I only say that because I just know that
[2:47:18.000 --> 2:47:19.000]  at a high level Apple's interest isn't there.
[2:47:19.000 --> 2:47:21.000]  I'm not saying that the last couple of years
[2:47:21.000 --> 2:47:22.000]  haven't been good.
[2:47:22.000 --> 2:47:23.000]  I think the last couple of years have been great.
[2:47:23.000 --> 2:47:25.000]  Like script libraries have been great.
[2:47:25.000 --> 2:47:26.000]  They've been, you know,
[2:47:26.000 --> 2:47:29.000]  and I think adding JavaScript as a supported language is great.
[2:47:29.000 --> 2:47:32.000]  I just can't help but think though that in a long run,
[2:47:32.000 --> 2:47:36.000]  there'll be more scripts written in automation scripts
[2:47:36.000 --> 2:47:40.000]  written in Swift than AppleScript or JavaScript.
[2:47:40.000 --> 2:47:42.000]  For all those things, and the reason you can have all these
[2:47:42.000 --> 2:47:44.000]  different languages, the problem is not the language,
[2:47:44.000 --> 2:47:46.000]  except maybe JavaScript, which is a gross language
[2:47:46.000 --> 2:47:49.000]  to people who want like a regular programming language.
[2:47:49.000 --> 2:47:50.000]  Well, and it's,
[2:47:50.000 --> 2:47:52.000]  the problem is the APIs you're talking to.
[2:47:52.000 --> 2:47:53.000]  Like that's the hard part.
[2:47:53.000 --> 2:47:54.000]  It's like you got to figure out what is,
[2:47:54.000 --> 2:47:56.000]  what is the dictionary support?
[2:47:56.000 --> 2:47:58.000]  How do I, can I do what I need to do?
[2:47:58.000 --> 2:48:01.000]  Can I address this window in a way that is reliable?
[2:48:01.000 --> 2:48:03.000]  Can I get it the, the element in this window?
[2:48:03.000 --> 2:48:06.000]  Can it like, it's all down to how scriptable the application is.
[2:48:06.000 --> 2:48:09.000]  And the language is just like a minor implementation detail
[2:48:09.000 --> 2:48:10.000]  at that point.
[2:48:10.000 --> 2:48:12.000]  Most of the time you're fighting with the scripting
[2:48:12.000 --> 2:48:14.000]  dictionaries of the apps that will even let you do
[2:48:14.000 --> 2:48:17.000]  what you want to do and what kind of weird hoops do you have to jump through?
[2:48:17.000 --> 2:48:19.000]  Well, I'm just thinking of that if they, if they can eventually
[2:48:19.000 --> 2:48:22.000]  get it to be swift, it would be easier to call into,
[2:48:22.000 --> 2:48:26.000]  like if you wanted to put like a nib or a zip,
[2:48:26.000 --> 2:48:27.000]  how are you pronounce it?
[2:48:27.000 --> 2:48:29.000]  How are you pronounce the XIB version?
[2:48:29.000 --> 2:48:32.000]  Yeah, it sounds like a zip file with your script that it's,
[2:48:32.000 --> 2:48:35.000]  you know, it would be a lot more, you know, just like,
[2:48:35.000 --> 2:48:38.000]  since Coco already uses it, it would be easier to call it
[2:48:38.000 --> 2:48:41.000]  from the scripting side to it if it was the same language.
[2:48:41.000 --> 2:48:43.000]  Yeah, but then you kind of doing actual real application development.
[2:48:43.000 --> 2:48:45.000]  Like you're not, you're not going to be able to call it.
[2:48:45.000 --> 2:48:47.000]  You still have to send Apple events, right?
[2:48:47.000 --> 2:48:48.000]  I guess so.
[2:48:48.000 --> 2:48:49.000]  I don't know.
[2:48:49.000 --> 2:48:50.000]  I mean, you do now.
[2:48:50.000 --> 2:48:51.000]  I don't know.
[2:48:51.000 --> 2:48:54.000]  It's not like they're going to let you call natively into the, you know,
[2:48:54.000 --> 2:48:55.000]  like, I don't know.
[2:48:55.000 --> 2:48:57.000]  The automation story has always been a little bit weird.
[2:48:57.000 --> 2:48:59.000]  I think it has been making progress in a recent year.
[2:48:59.000 --> 2:49:01.000]  So I'm kind of optimistic about it.
[2:49:01.000 --> 2:49:04.000]  And I like the idea that like when they renamed Apple script editor,
[2:49:04.000 --> 2:49:07.000]  or script editor, and now actually when you launch it,
[2:49:07.000 --> 2:49:09.000]  you can pick which language you want to be your default.
[2:49:09.000 --> 2:49:11.000]  And each window has a little pop up menu that says,
[2:49:11.000 --> 2:49:14.000]  it's a script editor. Do you want to write Apple script?
[2:49:14.000 --> 2:49:15.000]  Or JavaScript?
[2:49:15.000 --> 2:49:16.000]  Or Swift script?
[2:49:16.000 --> 2:49:17.000]  Not quite yet.
[2:49:17.000 --> 2:49:19.000]  But like, it's poised to, you know,
[2:49:19.000 --> 2:49:21.000]  I was always supposed to be multi-language,
[2:49:21.000 --> 2:49:24.000]  but for the longest time it was like multi-language in theory.
[2:49:24.000 --> 2:49:27.000]  And now it's finally multi-language and actuality again.
[2:49:27.000 --> 2:49:28.000]  So yeah, finally.
[2:49:28.000 --> 2:49:31.000]  It is final.
[2:49:31.000 --> 2:49:35.000]  That's an actual non-ironic, non-ironic, finally.
[2:49:35.000 --> 2:49:37.000]  Yeah, there's probably, I can kind of think of what other languages
[2:49:37.000 --> 2:49:39.000]  that people have been using.
[2:49:39.000 --> 2:49:41.000]  People won't use Frontier anymore.
[2:49:41.000 --> 2:49:42.000]  No, but that was one of them.
[2:49:42.000 --> 2:49:44.000]  Well, and there was JavaScript.
[2:49:44.000 --> 2:49:46.000]  Mark Aldrich of late-night software,
[2:49:46.000 --> 2:49:48.000]  the guy behind script debugger,
[2:49:48.000 --> 2:49:51.000]  and he had face span for a while.
[2:49:51.000 --> 2:49:54.000]  He had a JavaScript OSA that was built,
[2:49:54.000 --> 2:49:58.000]  I'm going to say Mozilla's JavaScript engine.
[2:49:58.000 --> 2:50:01.000]  That worked, but it never really took off.
[2:50:01.000 --> 2:50:04.000]  Because I think it's the sort of thing where it had to come from Apple
[2:50:04.000 --> 2:50:06.000]  to really take off.
[2:50:06.000 --> 2:50:09.000]  There were certain weirdnesses that,
[2:50:09.000 --> 2:50:11.000]  using JavaScript instead of Apple script,
[2:50:11.000 --> 2:50:14.000]  you ended up with tangled syntax that was like,
[2:50:14.000 --> 2:50:15.000]  what?
[2:50:15.000 --> 2:50:17.000]  And it would take Apple to fix it
[2:50:17.000 --> 2:50:20.000]  because it kind of had to be fixed at the OSA level,
[2:50:20.000 --> 2:50:22.000]  not at the language level.
[2:50:22.000 --> 2:50:24.000]  Yeah, that's always been a little bit weird.
[2:50:24.000 --> 2:50:27.000]  I mean, it's like, the language is just so different.
[2:50:27.000 --> 2:50:29.000]  How can you call the same things?
[2:50:29.000 --> 2:50:30.000]  And it's always, you know,
[2:50:30.000 --> 2:50:32.000]  especially when you're calling it to other libraries,
[2:50:32.000 --> 2:50:35.000]  again, because JavaScript's going to import the objective C stuff
[2:50:35.000 --> 2:50:37.000]  and then you're making object C calls with name parameters,
[2:50:37.000 --> 2:50:39.000]  but JavaScript doesn't have name parameters.
[2:50:39.000 --> 2:50:40.000]  So you got all these mangled things.
[2:50:40.000 --> 2:50:42.000]  It's just like the Python cocoa bridge,
[2:50:42.000 --> 2:50:44.000]  they've had and everything.
[2:50:44.000 --> 2:50:45.000]  Almost cross language things are weird,
[2:50:45.000 --> 2:50:47.000]  but OSA is always going to be cross language,
[2:50:47.000 --> 2:50:48.000]  because it's always the whole point of it.
[2:50:48.000 --> 2:50:51.000]  It's open scripting architecture.
[2:50:51.000 --> 2:50:54.000]  It always comes back to Apple script.
[2:50:54.000 --> 2:50:57.000]  Anyway, we've gone on long enough, I think.
[2:50:57.000 --> 2:50:58.000]  It's been a good show.
[2:50:58.000 --> 2:51:01.000]  I love your review.
[2:51:01.000 --> 2:51:04.000]  And ATP is my favorite show.
[2:51:04.000 --> 2:51:05.000]  Thank you.
[2:51:05.000 --> 2:51:06.000]  Really is.
[2:51:06.000 --> 2:51:07.000]  And it's all because of you.
[2:51:07.000 --> 2:51:08.000]  I always know.
[2:51:08.000 --> 2:51:09.000]  You're trying to make up for that at a Corbin post.
[2:51:09.000 --> 2:51:10.000]  Well, here's the thing.
[2:51:10.000 --> 2:51:11.000]  I like Casey.
[2:51:11.000 --> 2:51:12.000]  I like Marco.
[2:51:12.000 --> 2:51:14.000]  But one of the things that's interesting about the ATP
[2:51:14.000 --> 2:51:16.000]  is that you guys often disagree.
[2:51:16.000 --> 2:51:18.000]  Maybe even usually one of the three of you
[2:51:18.000 --> 2:51:19.000]  is going to disagree.
[2:51:19.000 --> 2:51:21.000]  And whenever there's an argument and I'm listening
[2:51:21.000 --> 2:51:22.000]  and I know everybody out there,
[2:51:22.000 --> 2:51:23.000]  people often tell me this.
[2:51:23.000 --> 2:51:25.000]  It's like everybody listens to podcasts and knows this feeling.
