[00:00.000 --> 00:03.640]  So live in life one I'll tell you yeah, you know
[2:23:28.780 --> 2:23:34.060]  What seven weeks in advance of a month in advance of pre-orders and?
[2:23:35.740 --> 2:23:38.220]  one two three four
[2:23:39.740 --> 2:23:42.860]  five six weeks before it chips I
[2:23:43.780 --> 2:23:50.700]  Don't I don't get it I don't either and I mean my mind so my mind's totally blank on this issue
[2:23:50.700 --> 2:23:56.780]  So I the only thing I can I can spitball on this to use your phrase is that
[2:23:57.260 --> 2:24:01.340]  They might be trying to give reviewers a bigger window
[2:24:02.380 --> 2:24:04.380]  Um
[2:24:04.380 --> 2:24:08.380]  As far as I know review units weren't issued for these watches yet
[2:24:09.020 --> 2:24:13.900]  But I mean I certainly don't have one. I'll probably say that although if I did have one I would probably say the same thing
[2:24:14.380 --> 2:24:19.180]  But um, well you wouldn't you'd say nothing. No, that's right. You're right. I would say nothing
[2:24:19.180 --> 2:24:24.700]  So yeah, I don't have one um, so but it would seem to me like they maybe they want to give people more time with them
[2:24:24.860 --> 2:24:29.020]  Because they feel that there's more time, but that's literally they'll and then I'm speaking not as a person who
[2:24:29.340 --> 2:24:31.900]  I'm not assuming that I'm gonna get a review. You know, I never do
[2:24:31.900 --> 2:24:36.860]  I've only ever gotten one review thing and I think it was probably an accident. Let me probably include me on or on a list
[2:24:38.940 --> 2:24:42.300]  But I just speaking as an interested party like anybody else
[2:24:42.460 --> 2:24:43.820]  I'm thinking
[2:24:43.820 --> 2:24:46.460]  What if you want to give people more time to live with these things
[2:24:46.460 --> 2:24:50.380]  Before they write a review of them rather than the traditional one-week window
[2:24:50.700 --> 2:24:52.460]  And I know they like to keep that window tight
[2:24:52.460 --> 2:24:57.020]  But look at the distance between say the pre-order and the sale. That's a lot of time, you know
[2:24:57.740 --> 2:25:02.060]  So I don't know. Yeah, I don't know it might be different because like hey
[2:25:02.700 --> 2:25:07.660]  Reviewing a new phone. You know what an iPhone does. You know you've been out for six years
[2:25:07.740 --> 2:25:12.860]  You don't need more than eight days to review it because all you're really reviewing is what's new which
[2:25:13.660 --> 2:25:15.660]  Like this year was it's bigger
[2:25:15.660 --> 2:25:20.140]  Touch ID or or pay Apple pay and you know
[2:25:20.700 --> 2:25:24.220]  How good is the new camera? You know you can do that in a week and maybe like you're right
[2:25:24.220 --> 2:25:26.220]  Maybe like this all-new platform
[2:25:26.460 --> 2:25:31.820]  You know a new way to get through your day of interacting with your devices and staying connected
[2:25:31.900 --> 2:25:36.300]  You might need more time. I can honestly say this is you know the weird thing by me not having been at the event
[2:25:37.900 --> 2:25:40.700]  You know, I do not have a review unit nor have I
[2:25:41.260 --> 2:25:44.940]  Talk to anybody at Apple about getting one so you know
[2:25:44.940 --> 2:25:46.940]  I'm completely in the dark as to
[2:25:47.420 --> 2:25:52.780]  Whether anybody has one whether I'm going to get one and if if I did when you know at some point
[2:25:52.780 --> 2:25:54.780]  I might have to shut up and stop talking if I do
[2:25:55.340 --> 2:25:59.420]  It's just like a warrant canary. We're like the company they take it off their website and you're like oh my god
[2:25:59.740 --> 2:26:02.460]  The NSA is like it is a hit of up for info
[2:26:02.780 --> 2:26:06.620]  Yeah, sort of I guess I guess I guess you can just keep listening to the talk for and see if I say
[2:26:07.100 --> 2:26:11.980]  I don't have a review unit Apple watch nor have I been told that that I'm getting one
[2:26:11.980 --> 2:26:17.660]  So I don't know I would be very very surprised if anybody has one
[2:26:18.780 --> 2:26:21.980]  Right now. I just don't think that they would give them out six weeks in advance
[2:26:21.980 --> 2:26:27.820]  It just would be so unlike them. I wouldn't be surprised if maybe they give if they see them April 10
[2:26:28.140 --> 2:26:29.420]  You know
[2:26:29.580 --> 2:26:31.580]  two weeks in advance
[2:26:31.820 --> 2:26:34.860]  And get which would be a little bit more time than they usually do but
[2:26:35.740 --> 2:26:40.940]  I don't know and and the other thing that's weird about it is in my experience getting review units since
[2:26:40.940 --> 2:26:42.940]  2011
[2:26:44.220 --> 2:26:52.300]  Every time I've ever gotten a review unit of any product from Apple bigs, you know, flagship or minor upgrade
[2:26:53.340 --> 2:26:56.780]  It's been given to me in person
[2:26:57.580 --> 2:27:00.460]  And they don't just ship them although well
[2:27:01.100 --> 2:27:05.020]  I have heard of the shipping review units, but I don't know that it's ever been a new cat
[2:27:05.020 --> 2:27:07.020]  Well, it's never been a new category product
[2:27:07.020 --> 2:27:11.100]  It was like, you know, I like an upgrade to something or whatever. I have heard of them doing that
[2:27:11.420 --> 2:27:16.940]  Yeah, I've gotten them for software products like they've sent me like a review unit with
[2:27:19.580 --> 2:27:25.580]  The Yosemite public beta on it so that you know, it's weird. It's like they do it. Yeah, right
[2:27:25.580 --> 2:27:33.100]  That makes sense because it's not like the object itself. It's the software. Yeah, right and it was shipping on a totally bog standard
[2:27:33.100 --> 2:27:38.860]  You know MacBook Pro. It's just a funny thing that they say I think they make a list of who they want to send them to and
[2:27:39.260 --> 2:27:42.940]  Based on you know, whatever criteria and then I made the list and they sent it
[2:27:43.100 --> 2:27:48.700]  But it's just funny because I was already running the Yosemite public beta on my actual MacBook because I'm in the developer program
[2:27:48.700 --> 2:27:51.580]  And I know how to do it in a I know I know the risks
[2:27:51.660 --> 2:27:54.860]  But I know you know they do it for a good reason that they don't want you know
[2:27:55.500 --> 2:27:57.500]  typical journalists
[2:27:57.340 --> 2:28:02.220]  Risking, you know screwing up their MacBook by putting a public beta on it. Sure. Yeah
[2:28:02.220 --> 2:28:05.740]  But I just know way they're just gonna shoot me this
[2:28:06.220 --> 2:28:10.140]  But if they haven't given them now, there's a chance I could get I will not there's no way
[2:28:10.460 --> 2:28:16.860]  I'm gonna be able to fly before April 24th. So if you know if there are review units
[2:28:17.580 --> 2:28:19.420]  I know but I don't think they're gonna have another event
[2:28:19.420 --> 2:28:21.420]  So I don't think there would be any reason to fly
[2:28:21.420 --> 2:28:25.820]  So maybe they'll hold briefings in New York like they sometimes to and I could do that
[2:28:26.380 --> 2:28:31.340]  So I can take a train. I just can't fly. Yeah, I mean if they did it separate from an event
[2:28:31.340 --> 2:28:33.820]  Because normally they do these things away from an event, right?
[2:28:34.060 --> 2:28:38.060]  So if they're out of an event rather so if they're doing it away from an event
[2:28:38.060 --> 2:28:40.700]  It would be a similar thing to where they help briefings
[2:28:41.740 --> 2:28:44.620]  You know in New York for wherever it was Mavericks or
[2:28:45.340 --> 2:28:49.740]  Yeah, yeah, and there was a bunch of people invited to that and they just be the trip to the city from wherever they were
[2:28:49.820 --> 2:28:53.980]  Or if they were in the city they came in on there was several schedule throughout the day
[2:28:53.980 --> 2:28:55.180]  So they could
[2:28:55.180 --> 2:29:03.420]  I feasibly do that, but it would seem to me that it would limit their ability to talk to the people or give them to the people
[2:29:03.420 --> 2:29:08.700]  That they wanted to because I'm sure the reviewers are scattered everywhere. It's not just journalists. I have I would
[2:29:09.260 --> 2:29:15.660]  It would be insanely shocked if they gave an addition to a journalist and not to a watchmaker or not watchmaker
[2:29:15.660 --> 2:29:18.140]  But a watch reviewer right like a high-end
[2:29:18.140 --> 2:29:26.220]  Fashion reviewer or watch reviewer. I could see them giving an addition model to them to evaluate from that perspective
[2:29:26.220 --> 2:29:30.220]  I actually see two two new areas where I would be surprised if they don't
[2:29:30.860 --> 2:29:33.180]  I'm I would say it's dead certain
[2:29:33.660 --> 2:29:39.980]  The one I would bet money on is that they will seed review units to fashion people like
[2:29:40.380 --> 2:29:44.620]  Vogue or you know, I don't know enough about the fashion world to say who would get them
[2:29:44.620 --> 2:29:47.180]  You know, but like vogue GQ
[2:29:48.620 --> 2:29:50.620]  Magazines like that
[2:29:50.780 --> 2:29:55.660]  From the fashion world, but that's not this is our the watch world not like the watch what you know like the
[2:29:56.220 --> 2:29:59.900]  Ben climber Hadinky type guys, but I think they'll probably seed them to them too
[2:29:59.980 --> 2:30:04.780]  But I think it's more certain that they'd give it to the fashion people and a little less certain that they'd give it to the watch people
[2:30:05.260 --> 2:30:07.500]  Because I feel like the watch people are still sort of
[2:30:08.540 --> 2:30:10.700]  There's a sort of you know, this is interesting
[2:30:10.700 --> 2:30:18.140]  But it's not really a watch watch because you know, it's the mechanics of a mechanical watch that are so big a part of the obsession
[2:30:18.620 --> 2:30:24.380]  And everything else is in celery. It's really the movements and the creation of that that we're interested in
[2:30:24.700 --> 2:30:27.100]  Yeah, but I don't know I but I if I had to bet though
[2:30:27.100 --> 2:30:29.100]  I bet a little bit less than the fashion people
[2:30:29.100 --> 2:30:34.940]  But I would bet that give it to him too because the one thing that is mechanical are the bands and I know just from talking to Ben
[2:30:34.940 --> 2:30:41.420]  Climber at the last event. They're super super interesting to the watch people because they've really you know in a lot of ways
[2:30:41.420 --> 2:30:43.820]  Like the modern buckle and the link bracelet
[2:30:45.020 --> 2:30:47.340]  They've really like shown up the watch world
[2:30:47.340 --> 2:30:52.380]  You know if the if the link bracelet holds up and there's a question about that because link bracelets
[2:30:52.460 --> 2:30:58.540]  You know traditionally that it's called stretch where if you get like an old in older Rolex is suffering
[2:30:58.540 --> 2:31:07.660]  If you buy like a vintage Rolex usually the band is it the bracelet is loose. It it jangles a little just because over time
[2:31:07.740 --> 2:31:11.420]  You know, it just the the connections between the links get stretched
[2:31:12.060 --> 2:31:15.420]  And the company is like Rolex and and Omega
[2:31:15.580 --> 2:31:20.460]  You know the higher end ones have gotten good at that over the years and they make bracelets that last a lot longer now
[2:31:21.420 --> 2:31:28.220]  Apple's brand knew it so there's a question as to whether the link bracelet one year later is going to still be just as tight
[2:31:28.220 --> 2:31:30.220]  as it was when you bought it
[2:31:30.540 --> 2:31:33.820]  But the engineering that went into it is insane assuming that it is though
[2:31:33.820 --> 2:31:39.020]  They've they've totally shown them up like the way that you can adjust it and take links off without a special tool is
[2:31:39.740 --> 2:31:41.740]  groundbreaking and the clasp
[2:31:42.620 --> 2:31:46.300]  Is way better the clasp on the apple link bracelet is way better than
[2:31:46.780 --> 2:31:51.420]  Mechanically as it been in terms of cleverness then the clasp on a Rolex
[2:31:52.780 --> 2:31:55.580]  So that's that's why I think they'll probably give it to the watch people
[2:31:55.580 --> 2:31:59.740]  I think the watch people will probably spend more time writing about the bracelets than they will the
[2:32:00.620 --> 2:32:02.620]  the software
[2:32:04.780 --> 2:32:10.460]  So I know I really it's so funny that they held this event that I I went into it thinking that they were going to answer
[2:32:10.620 --> 2:32:15.980]  Just about all my question and and they honestly they I feel like they answered almost none of them really
[2:32:15.980 --> 2:32:20.780]  I mean or at least fewer than half I still have no idea when they're going to see reviewing it's if they're
[2:32:21.020 --> 2:32:24.780]  I feel like they have to right they're not going to let this thing ship without having anybody review it
[2:32:24.780 --> 2:32:27.500]  I mean that would that would look so the optics would look so bad
[2:32:27.500 --> 2:32:32.940]  It's like when they release a movie and they they don't the review embargo drops the day before and it was like oh
[2:32:32.940 --> 2:32:37.820]  Yeah, this is gonna be great right. Yeah, that would be it would
[2:32:38.380 --> 2:32:44.860]  It would be yeah because because if they don't give review in it and I just say this saying not take myself out of it
[2:32:44.860 --> 2:32:46.700]  I don't feel entitled to one. I don't know
[2:32:46.700 --> 2:32:49.180]  I never know whether I'm gonna get a review or not
[2:32:49.180 --> 2:32:54.860]  I my guess that I might is only based on the fact that I've gotten review units of everything for the last few years
[2:32:54.940 --> 2:32:56.700]  but if I'd ever stopped if you know
[2:32:56.700 --> 2:33:01.420]  I just never get a call and you know April 10th and 24th come and go
[2:33:01.420 --> 2:33:03.100]  You know, I'll just buy one you know
[2:33:03.100 --> 2:33:08.500]  I I did just find you know in the years before I got reviewing it's I'll just buy one and evaluate it
[2:33:08.500 --> 2:33:13.500]  But I'm gonna write about it either way, right? It's just a question of when it'll the review will come out and
[2:33:13.500 --> 2:33:19.260]  And everybody else will like that'll be true for everybody everybody who wants to review the Apple watch is gonna review it
[2:33:19.260 --> 2:33:25.100]  Whether they have to wait to buy one April 24th or not so I can't see why they wouldn't give review units if
[2:33:25.660 --> 2:33:31.900]  You know, but when and how total mystery right so I mean the the thing to me about it
[2:33:32.140 --> 2:33:35.660]  The reason that the more timing makes sense is because it is a new category
[2:33:35.820 --> 2:33:37.980]  You have to think about it a little differently and there
[2:33:38.620 --> 2:33:40.860]  If they give people more time to think on it
[2:33:40.860 --> 2:33:46.940]  I think that they'll be better off because if they did wait and just everybody bought one and and evaluated it
[2:33:46.940 --> 2:33:48.940]  Everybody's gonna be in this mad rush
[2:33:49.100 --> 2:33:51.340]  to write about it and they mean
[2:33:52.140 --> 2:33:57.740]  If Apple feels that you need to live with it to let it simmer before you start to see the value in it
[2:33:57.740 --> 2:33:59.980]  Then they make sense for them to give you more time
[2:33:59.980 --> 2:34:01.500]  You're that's such a good point
[2:34:01.500 --> 2:34:04.700]  I didn't even think about that because I'm never in a rush to be first
[2:34:04.700 --> 2:34:08.060]  So I wasn't even thinking that but so many other people are you're right
[2:34:08.060 --> 2:34:14.860]  What what will happen if they don't see the review units is people will buy it like when the Apple store opens on
[2:34:15.260 --> 2:34:20.220]  April 24th or noon or whenever they say they're gonna start selling them and they're gonna try to publish a review like two hours
[2:34:20.700 --> 2:34:24.220]  Oh, sure. Yeah, it'll be a rush. I mean just speaking of somebody who is it
[2:34:24.300 --> 2:34:30.700]  Yeah, we're at a different position like the instant the embargo drops like we are under pressure to publish because
[2:34:31.340 --> 2:34:34.380]  That initial that the capture of initial attention
[2:34:34.380 --> 2:34:37.740]  You know, that's that's important to a publication, right?
[2:34:38.060 --> 2:34:43.500]  And so everybody's gonna be rushing to get that and if there is no holds barred like no embargo
[2:34:43.820 --> 2:34:48.140]  Everybody's just gonna be pushing really and nearly they're gonna be publishing all kinds of wackadoo
[2:34:49.100 --> 2:34:53.660]  Hack job reviews, right? And like you know, I give my my writers just for context
[2:34:53.660 --> 2:34:58.060]  They give my writers permission to publish whenever they want on this stuff. I don't I've not sitting there over
[2:34:58.060 --> 2:34:59.100]  Their shoulder are you done with this?
[2:34:59.100 --> 2:35:01.100]  We've got to publish one of the embargo drops usually
[2:35:01.100 --> 2:35:07.020]  It's ready because like Darryl usually does our reviews. He does a great job and he's very conscientious and and takes care of business, right?
[2:35:07.420 --> 2:35:12.940]  But my philosophy on it is published when it's ready not when everybody else is and like last time
[2:35:12.940 --> 2:35:15.740]  I published my review like the next day or something, right?
[2:35:16.140 --> 2:35:21.820]  And I'm totally fine with that 100% philosophically, but a lot of publications are not at all right?
[2:35:21.900 --> 2:35:27.100]  They're like get it out now immediately. I don't care what state it's in finish it and so
[2:35:27.100 --> 2:35:30.380]  You're only gonna exacerbate that issue if you
[2:35:31.660 --> 2:35:34.140]  Just let it drop and everybody just
[2:35:34.860 --> 2:35:40.380]  To crap out like cat jobs about the watch. Yeah, it'll be curious so I'm curious to see
[2:35:40.380 --> 2:35:42.380]  I'm gonna assume that they will
[2:35:42.380 --> 2:35:45.340]  Seed review in it. It'll be curious to see whether it's
[2:35:46.060 --> 2:35:52.380]  More limited than usual because they want to be careful about who has reviews for the embargo dropping whenever their
[2:35:52.380 --> 2:35:57.580]  Embargo dates gonna be I presume typically it's like the Tuesday or Wednesday before the Friday that they ship
[2:35:58.060 --> 2:36:00.060]  Or if it'll be more
[2:36:01.180 --> 2:36:04.300]  And you know like it like not more inclusive than than usual
[2:36:04.300 --> 2:36:09.900]  But as inclusive as like the iPhones and iPads have been lately where they've really cast a wider net
[2:36:12.620 --> 2:36:14.620]  I think strategically is
[2:36:14.620 --> 2:36:20.780]  It's sort of like the new open Apple and I think it is a little bit its confidence in the products and that they
[2:36:20.780 --> 2:36:29.260]  It's actually to me less risky because if they're confident in the product then the consensus of the reviews will get it right
[2:36:29.660 --> 2:36:37.100]  And one bad review won't sync it whereas to me it's dangerous to do it like they did with the original iPhone like where there
[2:36:37.100 --> 2:36:41.260]  Were only I think there were only four people who had review units. There was pogue Mossberg
[2:36:43.660 --> 2:36:48.700]  Steven Levy had one from Newsweek and I think Ed Begg for USA today
[2:36:48.700 --> 2:36:50.700]  I'm not sure about it Ed, but I
[2:36:51.340 --> 2:36:55.580]  Those are the only four people I think who had review units for the original iPhone
[2:36:55.820 --> 2:36:58.620]  So if even one of them had had a bad experience with it
[2:36:59.100 --> 2:37:02.220]  You know that could that would have been like 25% of the reviews
[2:37:02.540 --> 2:37:05.580]  You know this thing's no good. Yeah, they're rotten tomato score goes way down
[2:37:05.660 --> 2:37:09.660]  Right, but if you have 70 people doing it and you know three of them didn't like it
[2:37:09.660 --> 2:37:13.740]  It's not we deal right. So I don't know. I'm to be curious to see
[2:37:13.740 --> 2:37:18.060]  But it's I feel like they're so different in so many ways these days that it's it's fun
[2:37:18.060 --> 2:37:20.420]  But it makes it means it's a lot harder to predict
[2:37:21.500 --> 2:37:25.260]  All right, I guess we should wrap up, but I one thing we haven't even touched on is the addition
[2:37:26.060 --> 2:37:33.740]  Oh, geez. Yeah. Yeah. What do you what do you think? Oh, did you kick that off? What do you think? Well? I think I was right
[2:37:35.020 --> 2:37:39.980]  Yeah, you were you were you nailed the I mean you you guessed 10,000 for starting right right?
[2:37:39.980 --> 2:37:41.020]  I know you know
[2:37:41.020 --> 2:37:44.540]  I think I talked myself down from it with the rubber band because I
[2:37:44.540 --> 2:37:51.420]  I've still confused by this but that it just seems to me so incongruous that a $10,000 watch would have
[2:37:51.660 --> 2:37:56.540]  Effectively the same band as the $400 one. Yes, I know that the pin is made out of solid gold
[2:37:58.060 --> 2:38:03.500]  But it just seems like a weird play to me that they don't that they didn't do what I thought they might do
[2:38:03.500 --> 2:38:07.980]  Which is have a gold link bracelet and a gold millenies and charge form
[2:38:09.260 --> 2:38:12.620]  Maybe they just aren't ready or maybe they couldn't exit on them or maybe you know
[2:38:12.620 --> 2:38:15.100]  Maybe they're not maybe you know the people who are speculating it
[2:38:15.100 --> 2:38:18.060]  Maybe the gold is too hard to work into those shapes are true
[2:38:18.060 --> 2:38:22.060]  I don't know but it just seems to me like they're leaving money on the table if anything though
[2:38:22.060 --> 2:38:26.980]  It means that my pricing was actually low because if they do come out with a link bracelet
[2:38:27.420 --> 2:38:31.100]  In gold. I think it's gonna be 30,000 or maybe 40 not
[2:38:31.980 --> 2:38:34.940]  because they're charging 17 for the
[2:38:35.740 --> 2:38:37.740]  modern buckle
[2:38:37.740 --> 2:38:40.460]  That modern buckle the more I look at it. I mean, I know this is like
[2:38:40.460 --> 2:38:47.180]  The there's like the most obvious statement in the world, but that red leather with yellow gold is so
[2:38:47.740 --> 2:38:54.780]  Clearly aimed at China and I'm there might be women all over the world who are itching to get that because it's cool
[2:38:54.780 --> 2:38:58.140]  Looking thing, but I mean, it's like literally the colors of the Chinese flag
[2:38:58.140 --> 2:39:02.060]  I mean everything you know like Chinese New Year is you know everything's red and gold
[2:39:03.100 --> 2:39:09.100]  That is so clearly if you had to ask me what the primary market for the edition is it's not rich people in America
[2:39:09.100 --> 2:39:11.100]  It's rich people in China
[2:39:11.420 --> 2:39:13.020]  That's my opinion, right?
[2:39:13.020 --> 2:39:16.300]  That's just one person's opinion. So don't this is not some grand pronouncement
[2:39:16.300 --> 2:39:21.500]  But I really think that a significant portion of edition sales will be there and I think Apple expects them to be there
[2:39:22.540 --> 2:39:29.580]  Because there is money in China and there is an intense focus on status and this concept of like face of of having
[2:39:30.060 --> 2:39:33.740]  You know status through possessions and through gifts and that sort of thing
[2:39:33.900 --> 2:39:36.860]  So I think that there's definitely going to be an enormous market for it there
[2:39:36.860 --> 2:39:40.620]  I don't think it's just rich dudes in America who want to show off status
[2:39:40.620 --> 2:39:43.260]  I think it's rich rich I shouldn't say dudes
[2:39:43.260 --> 2:39:45.820]  But rich people everywhere that want to show off status, you know
[2:39:45.820 --> 2:39:50.060]  And I think that that is there's going to be a big market for it outside of the
[2:39:50.700 --> 2:39:56.380]  The billionaires who want to pronounce their billionaireness here, you know, it's going to be everywhere
[2:39:56.700 --> 2:40:00.220]  Yeah, and it's you know, it's definitely a cultural difference to where
[2:40:01.100 --> 2:40:03.500]  You know here there's an awful
[2:40:03.500 --> 2:40:05.820]  I they're definitely going to sell so many United States
[2:40:05.820 --> 2:40:07.500]  No, I mean they're going to sell some everywhere
[2:40:07.500 --> 2:40:13.180]  But in terms of what it says when you see somebody who's wearing one a lot of people and I'm sure you know
[2:40:13.180 --> 2:40:15.340]  The the tech-minded audience of this show
[2:40:15.340 --> 2:40:18.300]  There's a lot of people out there who are listening to art a speak right now
[2:40:18.620 --> 2:40:21.580]  Who are going to think exactly what I'm going to say which is let's say you're out
[2:40:21.580 --> 2:40:23.580]  You see somebody in
[2:40:23.900 --> 2:40:26.300]  At the bar next to you and you see holy shit
[2:40:26.300 --> 2:40:29.660]  That's a gold apple watch and your first thought is going to be douchebag
[2:40:29.660 --> 2:40:31.660]  Exactly
[2:40:32.140 --> 2:40:38.540]  Yeah, in a show though that's it's not the case. It's you know ostentatious displays of wealth have a different cultural
[2:40:39.020 --> 2:40:41.020]  connotation than they do here
[2:40:41.820 --> 2:40:43.820]  It's like the concept of fitness
[2:40:43.980 --> 2:40:48.700]  How that's changed like in roman times if you were fit that meant you were a fieldworker, right?
[2:40:48.940 --> 2:40:51.500]  And if you were you know relatively, you know
[2:40:51.580 --> 2:40:53.580]  corpulent or or or full
[2:40:53.980 --> 2:40:59.420]  Figured as a man or woman that meant you had leisure time and you had the wealth to have other people do your
[2:40:59.420 --> 2:41:05.180]  Manual labor for you know, you know, and to to have the ability, you know food itself, you know was a luxury
[2:41:06.140 --> 2:41:08.460]  Mm-hmm, right totally. I agree with that
[2:41:10.700 --> 2:41:11.500]  I
[2:41:11.500 --> 2:41:16.220]  I thought it was I thought it was almost baffling how little they talked about addition and
[2:41:17.340 --> 2:41:25.180]  Idea I was we do and I hate to say this because I could be totally wrong. This is 100% speculation on my part
[2:41:25.180 --> 2:41:27.180]  but I sense
[2:41:27.180 --> 2:41:31.180]  Conflict and internal conflict and disarray among their ranks
[2:41:31.740 --> 2:41:36.460]  With regard to how little they talked about it because it clearly was not cut for time
[2:41:36.460 --> 2:41:41.300]  The event was only 88 minutes long and two hours is the limit on on an apple event
[2:41:41.300 --> 2:41:43.620]  I mean, that's you know, obviously if they wanted to go more than two hours
[2:41:43.620 --> 2:41:48.300]  I could but I know that internally they shoot for two hours or less and like the September event
[2:41:48.860 --> 2:41:52.420]  Clocked in at exactly two hours and that was you know, they clipped stuff
[2:41:52.420 --> 2:41:58.300]  That was very very very clipped in terms of you know, we have to do the we have to do three things these new phones
[2:41:58.300 --> 2:42:02.060]  Apple pay and the watch and we got a squeeze you to in at the end
[2:42:03.020 --> 2:42:05.020]  It was hard and they
[2:42:06.660 --> 2:42:11.580]  But they could have and so for example, this it they they talked about
[2:42:12.180 --> 2:42:15.700]  Sport and then they had a little Johnny I video talking about how they make the aluminum
[2:42:15.700 --> 2:42:23.340]  Then they talked about Apple watch and they had a little Johnny I video talking about the steel and then Tim Cook said
[2:42:23.340 --> 2:42:27.700]  You know like three sentences about addition and then the event was over there is a video
[2:42:27.700 --> 2:42:33.140]  It's on Apple's website. There's a video the exact same style of Johnny. I've talked about how they make the gold
[2:42:33.140 --> 2:42:37.220]  I mean, why they didn't show that in the event is baffling to me
[2:42:37.500 --> 2:42:42.700]  Yep, like why not bry if you're gonna brag about how you made some aluminum? Why in the world wouldn't you brag about how you made the gold?
[2:42:42.700 --> 2:42:51.100]  I cannot help but feel that there is some kind of disagreement there about the messaging exactly along the lines of what us on the outside
[2:42:51.100 --> 2:42:57.820]  Have been saying all along that this seems like it's not at you know selling $17,000 watches doesn't seem like Apple
[2:42:58.380 --> 2:43:05.100]  Exactly. Yeah, and I mean my argument on it is is that if you have a gold watch
[2:43:05.820 --> 2:43:08.580]  That works exactly the same as a lower and watch
[2:43:08.580 --> 2:43:15.660]  Then there's two ways to look at it you can look at it from the person who buys the aluminum and says that gold watch works
[2:43:15.660 --> 2:43:19.060]  Exactly the same as mine that person who bought it as an idiot, right?
[2:43:19.060 --> 2:43:23.060]  Right or you can be the gold the person who has the money to buy the gold watch now
[2:43:23.060 --> 2:43:27.020]  I don't ascribe to this whole false argument like oh you could buy this or you could buy
[2:43:27.260 --> 2:43:31.620]  You know, you could contribute to charity because anybody who has this kind of money can spend money on anything they want
[2:43:31.620 --> 2:43:34.180]  Right this is not a person who scrimps and saves
[2:43:34.180 --> 2:43:40.100]  $10,000 to buy a watch. This is a person who for $10,000 is maybe not throw away money
[2:43:40.100 --> 2:43:43.500]  But it's certainly not a problem to spend this kind of money, right?
[2:43:43.700 --> 2:43:47.620]  So they buy this watch and they put it on and it works exactly the same as the lower in one
[2:43:47.620 --> 2:43:50.020]  But they look at the person with the aluminum and go
[2:43:50.740 --> 2:43:57.900]  Oh, I'm so glad I could afford the gold and I think that what that comes down to is you've got this argument both ways up and down
[2:43:57.900 --> 2:44:03.620]  And it comes down to how it makes you feel like that's the pro argument for the having the gold
[2:44:03.620 --> 2:44:07.580]  It's if it makes you feel better where it works exactly the same as the other one
[2:44:07.580 --> 2:44:10.740]  So we're not short-changing the person who can only afford the aluminum
[2:44:10.820 --> 2:44:16.580]  You know the people who are saying oh well if it had another sensor or another this or another that I would buy it
[2:44:16.580 --> 2:44:23.700]  I would spend more money on it, but to me that would be anti-apple that would be a very unappel thing to do to make the
[2:44:24.260 --> 2:44:26.260]  the one whose
[2:44:26.260 --> 2:44:31.500]  materials were more expensive work better as well and instead
[2:44:31.500 --> 2:44:38.580]  You know, they're saying no, you can buy whatever you want. It's up to you. Here you go. Yeah, I I I
[2:44:39.060 --> 2:44:43.260]  I've you know as my my predictions have been high for the price of addition all along
[2:44:44.060 --> 2:44:49.500]  And I've not been opposed to it in and of itself just because the price is high
[2:44:51.180 --> 2:44:57.980]  Because to me the people who are so upset about it and feel like that it's a sign that Apple has changed
[2:44:57.980 --> 2:45:03.980]  Inevate, you know it for the worse as a company and that they don't stand for what they used to stand all of those arguments to me
[2:45:04.300 --> 2:45:08.500]  All sound as though the Apple watch sport doesn't exist
[2:45:09.260 --> 2:45:13.900]  You know like if this and quite frankly given the the
[2:45:15.100 --> 2:45:17.740]  $550 starting price for the steel I
[2:45:18.620 --> 2:45:23.820]  Actually think it would be fine then if the sport didn't if the sport didn't exist this year and the starting price was the
[2:45:23.820 --> 2:45:28.220]  Five 40 the five hundred fifty six hundred dollar steel version
[2:45:28.220 --> 2:45:30.540]  I actually think that's not bad either because that's you know
[2:45:30.540 --> 2:45:33.660]  That's where like the iPhone started at six hundred dollars
[2:45:34.140 --> 2:45:40.460]  But the fact is there is one for three hundred and fifty four hundred dollars and so I don't understand the the argument that it's
[2:45:41.260 --> 2:45:45.180]  That the price of the gold one alone is any kind of a bad sign because like you and again
[2:45:45.580 --> 2:45:49.580]  Because they're functionally equivalent. I feel like it's a egalitarian downright
[2:45:49.580 --> 2:45:53.340]  I am not put off by the price at all. I don't I don't it you know
[2:45:53.340 --> 2:45:55.740]  I think they're gonna sell them and why not I think they're you know
[2:45:55.740 --> 2:45:56.540]  It's interesting
[2:45:56.540 --> 2:45:58.780]  And I don't think they had to I think that if they had
[2:45:59.580 --> 2:46:05.740]  Likewise if they had shipped Apple watch and never done the gold one and the most expensive model was the space black steel one
[2:46:06.140 --> 2:46:09.900]  That would have been fine too. I don't think anybody would say they've botched it
[2:46:10.220 --> 2:46:13.420]  I think it's interesting, but the price doesn't bother me and I
[2:46:13.420 --> 2:46:20.540]  I've bothered by the fact that they seem uncomfortable talking about mm-hmm that they're up two minds about it
[2:46:20.540 --> 2:46:25.980]  Right like you if you're gonna do it own it like if you're gonna offer a gold fancy model
[2:46:26.300 --> 2:46:31.740]  Because you want it to appeal to people who have this amount of money to spend just say
[2:46:32.220 --> 2:46:37.740]  Some people like nicer things so nicer metals or maybe not even nicer is the wrong word for it
