[00:00.000 --> 00:01.160]  Let's do something unusual.
[01:01:43.760 --> 01:01:45.840]  A bunch of good sites I subscribe to.
[01:01:45.840 --> 01:01:46.640]  You've got one, right?
[01:01:46.640 --> 01:01:50.160]  The rebound is the rebound prime.
[01:01:50.880 --> 01:01:51.840]  Rebound prime.
[01:01:51.840 --> 01:01:52.800]  Oh, that's a good name.
[01:01:52.800 --> 01:01:53.360]  I like that.
[01:01:54.400 --> 01:01:55.280]  Rebound prime.
[01:01:55.280 --> 01:01:56.800]  People can sign up for the rebound.
[01:01:56.800 --> 01:01:58.000]  That's who's on.
[01:01:58.000 --> 01:01:59.520]  We don't have to save it for the end of the show.
[01:01:59.520 --> 01:02:01.200]  Who's on the rebound with you?
[01:02:01.200 --> 01:02:04.000]  Lex Friedman and Dan Moore.
[01:02:04.000 --> 01:02:07.920]  Dan Moore, our pal Dan Moore from late of Mac world.
[01:02:07.920 --> 01:02:08.800]  Lex Friedman.
[01:02:08.800 --> 01:02:10.800]  And Lex also late of Mac world, that's true.
[01:02:10.800 --> 01:02:11.120]  Yeah.
[01:02:11.120 --> 01:02:12.320]  Not familiar with that guy.
[01:02:12.320 --> 01:02:14.720]  Dan though, I know he's a science fiction author.
[01:02:15.520 --> 01:02:16.080]  That's right.
[01:02:16.080 --> 01:02:16.800]  By Dan's book.
[01:02:17.440 --> 01:02:17.920]  Yeah.
[01:02:17.920 --> 01:02:19.440]  Well, he's got a new book coming out.
[01:02:19.440 --> 01:02:20.320]  Yeah, that's right.
[01:02:20.320 --> 01:02:21.680]  The Nova incident.
[01:02:21.680 --> 01:02:22.160]  Yeah.
[01:02:22.160 --> 01:02:23.200]  It's already coming out.
[01:02:23.200 --> 01:02:23.440]  Yeah.
[01:02:23.440 --> 01:02:24.640]  Pre-orders they're taking them.
[01:02:24.640 --> 01:02:25.040]  What else?
[01:02:25.040 --> 01:02:25.680]  What do we got here?
[01:02:25.680 --> 01:02:29.600]  Face ID with a mask is coming out in iOS 15.4.
[01:02:29.600 --> 01:02:31.600]  Now that's different from what they already have.
[01:02:31.600 --> 01:02:36.240]  They've already got a thing that they introduced with a watch, but now they're just straight
[01:02:36.240 --> 01:02:41.040]  up saying face ID will be able to pick you out by your like.
[01:02:41.040 --> 01:02:44.800]  Which is interesting to me that they're not saving this as a, you got to buy the watch.
[01:02:44.800 --> 01:02:46.240]  It seems like they could have done that.
[01:02:46.240 --> 01:02:50.800]  If you want this magical feature where you can unlock your phone with a mask on, just
[01:02:50.800 --> 01:02:51.360]  get the watch.
[01:02:51.360 --> 01:02:57.040]  It's it's only 200 and whatever it is for the se, but, but they're rolling out to everybody,
[01:02:57.040 --> 01:02:57.840]  which is cool.
[01:02:57.840 --> 01:03:01.040]  And I mean, the only thing I wonder is if, you know, a couple of weeks from now, a bunch
[01:03:01.040 --> 01:03:02.960]  of people are going to say, well, I was able to do it.
[01:03:02.960 --> 01:03:04.800]  My brother did it without, you know.
[01:03:04.800 --> 01:03:05.300]  Right.
[01:03:05.300 --> 01:03:07.160]  That kind of thing.
[01:03:07.160 --> 01:03:07.400]  Yeah.
[01:03:07.400 --> 01:03:11.560]  When Apple does something that could, I mean, sometimes they do stuff where you're like
[01:03:11.560 --> 01:03:13.880]  that, they just want you to buy another thing.
[01:03:13.880 --> 01:03:14.920]  That's why they're doing this.
[01:03:14.920 --> 01:03:19.640]  And other times you could look at it that way and people might jump to that conclusion.
[01:03:19.640 --> 01:03:22.760]  But when they do something like this, where they've already got a working feature that
[01:03:22.760 --> 01:03:26.680]  requires at least a $200 Apple watch to make it work.
[01:03:27.480 --> 01:03:29.000]  And now they're making it work.
[01:03:29.000 --> 01:03:32.440]  They're saying, look, this is less secure because it's only like half your face.
[01:03:32.440 --> 01:03:36.440]  And so I think you have to set it up while you're wearing a mask and you make the decision.
[01:03:36.440 --> 01:03:41.320]  I would like Face ID only to work when it sees my whole face, which is more secure or
[01:03:41.320 --> 01:03:41.960]  less secure.
[01:03:41.960 --> 01:03:46.040]  I'll have it work and it'll identify me by my eyes while I'm wearing a mask.
[01:03:46.520 --> 01:03:49.560]  And I accept the lower level of security and I'll do it that way.
[01:03:49.560 --> 01:03:50.840]  But a great feature.
[01:03:50.840 --> 01:03:51.320]  Yeah.
[01:03:51.720 --> 01:03:53.240]  I've mentioned this on the show before.
[01:03:53.560 --> 01:03:57.480]  I've heard ever since the iPhone 10 came out, a handful of, at least a handful of readers
[01:03:57.480 --> 01:04:01.240]  who regularly correspond to me, who work as medical professionals, who have mentioned
[01:04:01.240 --> 01:04:04.360]  that Face ID sucks when you're wearing a mask.
[01:04:04.360 --> 01:04:05.800]  And this is pre-pandemic.
[01:04:05.800 --> 01:04:10.920]  This is people, you know, in hospitals and other doctor type situations, dentists or
[01:04:10.920 --> 01:04:14.840]  something like that, where you might be wearing a regular, I don't know if you know this,
[01:04:14.840 --> 01:04:19.320]  but people used to wear these medical masks before the pandemic.
[01:04:19.320 --> 01:04:20.120]  General purpose.
[01:04:20.120 --> 01:04:22.840]  Well, no, not general purpose, but specific purpose masks.
[01:04:22.840 --> 01:04:27.720]  And that not having Touch ID and having Face ID, which did not work with these masks, sucked.
[01:04:27.720 --> 01:04:28.920]  Yeah, I can imagine that.
[01:04:28.920 --> 01:04:31.560]  And now it's like, we're all like, yeah, it really does suck.
[01:04:31.560 --> 01:04:32.360]  This is terrible.
[01:04:33.240 --> 01:04:38.120]  You know, even if like in some optimistic scenario, which I'm no longer, I just assume
[01:04:38.120 --> 01:04:40.600]  this pandemic is going to go on for the rest of our lives at this point.
[01:04:40.600 --> 01:04:44.040]  And if it doesn't, then I'll just be happily surprised.
[01:04:44.040 --> 01:04:48.840]  But I'm sick of convincing myself that we're just around the corner.
[01:04:48.840 --> 01:04:50.360]  It's I'm sick of it.
[01:04:50.360 --> 01:04:56.440]  But let's just say in the theoretical hypothetical universe where things actually get better
[01:04:56.440 --> 01:05:03.000]  and stay better and masking for COVID-19 no longer becomes a daily part of our life all
[01:05:03.000 --> 01:05:10.280]  around the world, it still is a good feature to have for, say, medical professionals, say,
[01:05:10.280 --> 01:05:17.560]  for a new variant that might arise to the next year, year after, whatever, just regular
[01:05:17.560 --> 01:05:22.280]  cold and flu season, which I think, you know, is going to be, I think one thing of COVID
[01:05:22.280 --> 01:05:27.400]  is going to be transformative around the world is that even in regular cold and flu season
[01:05:27.400 --> 01:05:32.360]  for decades to come, people I think are going to feel comfortable wearing a face mask when
[01:05:32.360 --> 01:05:35.800]  they go out, either because they feel like, hey, I've got a sniffle, I should do the
[01:05:35.800 --> 01:05:38.200]  right thing when I go to the store and put a mask on.
[01:05:38.200 --> 01:05:45.080]  Or if you just want to wear one, just to avoid picking up whatever random crud people are
[01:05:45.080 --> 01:05:46.120]  sneezing into the air.
[01:05:46.120 --> 01:05:49.240]  Yeah, basically the way Asian countries have been doing it for years.
[01:05:49.240 --> 01:05:50.200]  Yeah, exactly.
[01:05:50.200 --> 01:05:56.200]  Where it's just completely normal, if not typical, you know, in a bunch of Asian countries,
[01:05:56.200 --> 01:06:01.480]  you get on the subway in cold and flu season, everybody just puts on a mask to keep from
[01:06:01.480 --> 01:06:03.000]  catching whatever's in the air.
[01:06:03.000 --> 01:06:04.520]  It's great that Face ID has it.
[01:06:04.520 --> 01:06:07.640]  So 15.4 is adding this as a feature.
[01:06:07.640 --> 01:06:08.440]  I look forward to it.
[01:06:08.440 --> 01:06:09.080]  I'll set it up.
[01:06:10.360 --> 01:06:11.480]  I love the watch feature.
[01:06:12.120 --> 01:06:16.920]  Yeah, I would just stick, I mean, I wear the watch anyway, so I'm perfectly fine with
[01:06:16.920 --> 01:06:17.080]  that.
[01:06:17.080 --> 01:06:19.400]  And it works almost all the time.
[01:06:19.400 --> 01:06:21.400]  Yeah, every once in a while, for some reason, it stopped.
[01:06:21.400 --> 01:06:22.840]  Like it'll just refuse to open.
[01:06:22.840 --> 01:06:26.040]  I got to type in my password, but for the most part, it works pretty well.
[01:06:26.680 --> 01:06:31.640]  Again, it's common sense, but you can tell which features people at Apple use the most.
[01:06:31.640 --> 01:06:37.960]  And there's long running gags that things that don't really apply to non-Silicon Valley
[01:06:37.960 --> 01:06:38.520]  weather.
[01:06:38.520 --> 01:06:42.200]  I mean, the best way to exaggerate it is the idea that maybe they're going to come out
[01:06:42.200 --> 01:06:46.840]  with this Apple car in a couple of years and it, you know, it doesn't work in the rain
[01:06:46.840 --> 01:06:47.560]  or ice.
[01:06:47.560 --> 01:06:54.200]  Yeah, it works perfectly if it's 72 degrees and sunny, but you can, everybody's wearing
[01:06:54.200 --> 01:06:55.240]  masks these days.
[01:06:55.240 --> 01:06:59.480]  And so I feel like you ever, even since this feature came out and it was very good for
[01:06:59.480 --> 01:07:02.040]  me, even when it was in beta, it's gotten better.
[01:07:02.040 --> 01:07:06.200]  Like for a while, it would get confused and say like, Hey, is your Apple watch nearby?
[01:07:06.200 --> 01:07:11.480]  And meanwhile, I'm actually holding my phone in the hand that where the watch is on my
[01:07:11.480 --> 01:07:11.800]  wrist.
[01:07:12.360 --> 01:07:13.720]  It's like, it's really close.
[01:07:13.720 --> 01:07:15.240]  I didn't get a lot closer.
[01:07:15.240 --> 01:07:21.560]  I've had fewer and fewer problems with that, but it's been, it's made face ID seem less
[01:07:21.560 --> 01:07:23.480]  poorly quenched, poorly timed.
[01:07:23.480 --> 01:07:26.280]  It just seems we went all these years without a pandemic.
[01:07:26.280 --> 01:07:30.760]  And then lo and behold, a year and a half or so after, after the first face ID phone,
[01:07:30.760 --> 01:07:32.280]  and we get stuck with this.
[01:07:32.280 --> 01:07:32.600]  Yeah.
[01:07:32.600 --> 01:07:35.720]  I got my first face ID phone during the pandemic.
[01:07:37.720 --> 01:07:40.040]  Because I had SEs, I had SEs for years.
[01:07:40.040 --> 01:07:40.360]  Yeah.
[01:07:40.360 --> 01:07:41.240]  Perfect timing.
[01:07:41.240 --> 01:07:41.400]  Yeah.
[01:07:41.400 --> 01:07:42.520]  I was like, well, that was dumb.
[01:07:42.520 --> 01:07:43.240]  Let me see here.
[01:07:43.240 --> 01:07:43.640]  What else?
[01:07:43.640 --> 01:07:44.920]  What is the other features?
[01:07:44.920 --> 01:07:46.760]  There there's like an Apple card widget.
[01:07:46.760 --> 01:07:47.560]  Who cares?
[01:07:47.560 --> 01:07:47.960]  I don't know.
[01:07:47.960 --> 01:07:49.160]  There's not that many features.
[01:07:49.160 --> 01:07:50.920]  It's a midway through the cycle.
[01:07:50.920 --> 01:07:51.880]  That seems about it.
[01:07:51.880 --> 01:07:55.160]  Last thing I had on my list, I was, you want to talk about Neil Young and Spotify?
[01:07:55.160 --> 01:07:55.880]  Yeah, sure.
[01:07:55.880 --> 01:07:58.200]  Ben Thompson and I, I know you probably didn't listen to it.
[01:07:58.200 --> 01:08:00.840]  I think it just came out this morning, but we disagree about this.
[01:08:00.840 --> 01:08:02.600]  Ben on dithering last night.
[01:08:02.600 --> 01:08:07.400]  I say last night, but it came out this morning, but seems to have a free speech sort of argument
[01:08:07.400 --> 01:08:08.600]  that, Hey, we shouldn't be trying.
[01:08:08.600 --> 01:08:12.680]  Maybe you disagree with what Joe Rogan says, but you shouldn't try to get him kicked off,
[01:08:12.680 --> 01:08:14.040]  have his podcast shut down.
[01:08:14.040 --> 01:08:15.080]  We'd need more speech.
[01:08:15.080 --> 01:08:17.640]  The answer to speech is always more speech, blah, blah, blah.
[01:08:17.640 --> 01:08:18.600]  I was a little taken.
[01:08:18.600 --> 01:08:22.040]  And I think because of what I wrote about it, he seemed to think that I was thinking
[01:08:22.040 --> 01:08:27.320]  that Spotify should kick Joe Rogan off Spotify, which was not my take at all.
[01:08:27.320 --> 01:08:28.840]  Spotify made their bed with him.
[01:08:28.840 --> 01:08:30.200]  They signed a hundred million dollar deal.
[01:08:30.760 --> 01:08:35.080]  Clearly when Neil Young issued this ultimatum, he did.
[01:08:35.080 --> 01:08:36.200]  He's a very smart guy.
[01:08:36.200 --> 01:08:39.240]  He did not think Spotify was going to kick Joe Rogan off.
[01:08:39.240 --> 01:08:43.080]  He said, look, you can have Joe Rogan or Neil Young, but you can't have both.
[01:08:43.080 --> 01:08:45.800]  He did issue an ultimatum, but he knew what they were going to do.
[01:08:45.800 --> 01:08:46.200]  Right.
[01:08:46.200 --> 01:08:47.160]  I don't think, yeah.
[01:08:47.160 --> 01:08:51.560]  I don't think anybody thought anything other than what was, what happened was going to
[01:08:51.560 --> 01:08:51.960]  happen.
[01:08:51.960 --> 01:08:57.160]  But I think, see, to me, that is free speech too, right?
[01:08:57.160 --> 01:08:58.200]  Yeah, absolutely.
[01:08:58.200 --> 01:08:58.680]  Right?
[01:08:58.680 --> 01:08:59.080]  Yeah.
[01:08:59.080 --> 01:09:02.840]  It, it, and it's, he played, he got a lot of publicity for it.
[01:09:02.840 --> 01:09:06.760]  And if you go, if you go into a bar and you sit down and you're like, you're sitting there
[01:09:06.760 --> 01:09:09.880]  having a drink and you look around and you're like, man, there are a lot of Nazis in here.
[01:09:09.880 --> 01:09:11.960]  You don't have to keep going back to that bar.
[01:09:11.960 --> 01:09:16.920]  And you talked to the bar generally, like, can you kick these Nazis out?
[01:09:16.920 --> 01:09:19.880]  And they're the guys like, well, hey, so I'm not going to kick them out.
[01:09:19.880 --> 01:09:21.720]  Well, I'm not going back to a Nazi bar.
[01:09:21.720 --> 01:09:24.040]  It's part, I'm not saying Joe Rogan is a Nazi.
[01:09:24.040 --> 01:09:25.320]  I'm just saying he's an idiot.
[01:09:25.320 --> 01:09:28.840]  But it's, you know, it's a good point where you could say, hey, what's with all these
[01:09:28.840 --> 01:09:31.240]  guys with the swastika tattoos on their knuckles.
[01:09:31.240 --> 01:09:35.560]  And, and if the answer is, ah, it's a free country, part of it being a free country is
[01:09:35.560 --> 01:09:37.240]  you can go to a different bar.
[01:09:37.240 --> 01:09:38.360]  You know, that's exactly.
[01:09:38.360 --> 01:09:42.760]  And yeah, I mean, and, and I, you know, he said 60% of his
[01:09:44.040 --> 01:09:48.920]  60% of the money that he gets from his songs comes from Spotify, I think 60% of the plays
[01:09:48.920 --> 01:09:49.400]  or something.
[01:09:50.600 --> 01:09:53.400]  60% of the streaming revenue.
[01:09:53.400 --> 01:09:53.880]  Yeah.
[01:09:53.880 --> 01:09:54.280]  Right.
[01:09:54.280 --> 01:09:59.080]  So that, and for an artist like Neil Young, who's slightly older.
[01:09:59.080 --> 01:09:59.400]  Yeah.
[01:09:59.400 --> 01:10:01.560]  And it was probably not the bulk of his income.
[01:10:01.560 --> 01:10:06.040]  There's probably still a lot of his audience still buys music, but on the other hand too,
[01:10:06.040 --> 01:10:09.880]  when you're in your seventies, they're using, they're, he gets it mostly from car
[01:10:09.880 --> 01:10:10.520]  commercials.
[01:10:10.520 --> 01:10:15.960]  You can also assume that most of your fans already own most of your music, you know,
[01:10:15.960 --> 01:10:18.200]  especially the older stuff, which is what people like.
[01:10:18.200 --> 01:10:22.840]  So it's, you know, you may not make a lot of money as an classic artist for lack of
[01:10:22.840 --> 01:10:28.600]  a better term from your music sales, but it's, he's putting his money where his mouth
[01:10:28.600 --> 01:10:28.920]  is.
[01:10:28.920 --> 01:10:29.160]  Right.
[01:10:29.160 --> 01:10:32.840]  And it was, if it's, you know, 60% of it was Spotify.
[01:10:32.840 --> 01:10:38.040]  And I guess the rest comes from like Amazon and Apple, but the publicity, they came out
[01:10:38.040 --> 01:10:38.520]  over it.
[01:10:38.520 --> 01:10:45.400]  And the fact that it's inspired some number of people to say, Hey, yeah, this isn't right.
[01:10:45.400 --> 01:10:49.720]  I don't know why Spotify is associating themselves with Joe Rogan.
[01:10:49.720 --> 01:10:56.120]  I'm going to cancel my, my Spotify, or I want Spotify to cancel Joe Rogan's podcast.
[01:10:56.120 --> 01:10:57.880]  That's the argument you get to have.
[01:10:57.880 --> 01:11:00.440]  It was Spotify's decision to sign Joe Rogan.
[01:11:00.440 --> 01:11:06.040]  And like I said to Ben, you know, I don't think any of this has been a surprise.
[01:11:06.040 --> 01:11:12.920]  I don't think that his takes on, his hot takes on vaccines and ivermectin and whatever
[01:11:12.920 --> 01:11:13.160]  else.
[01:11:13.160 --> 01:11:17.640]  And I don't think Joe Rogan's podcast does not interest me, but it doesn't offend me.
[01:11:17.640 --> 01:11:23.000]  It's, I don't think it's anywhere close to the lunatic fringe of stuff that's out there.
[01:11:23.640 --> 01:11:29.320]  You know, and if people want to talk about taking these alternate things, have at it.
[01:11:29.320 --> 01:11:32.120]  If you take what Joe Rogan says seriously, I don't know.
[01:11:32.120 --> 01:11:37.320]  I don't think that him stopping his podcast or somebody booting his podcast off Spotify
[01:11:37.320 --> 01:11:38.440]  is really going to help you much.
[01:11:40.040 --> 01:11:40.760]  You know what I mean?
[01:11:40.760 --> 01:11:45.800]  I don't think your next source of information, like if Joe, Joe Rogan comes out with an
[01:11:45.800 --> 01:11:47.560]  episode today and says, you know what?
[01:11:47.560 --> 01:11:49.240]  I listened to Neil Young's argument.
[01:11:49.240 --> 01:11:50.600]  I respect him so much.
[01:11:50.600 --> 01:11:51.800]  I'm just going to take a break.
[01:11:51.800 --> 01:11:52.600]  I'm going to take a break.
[01:11:52.600 --> 01:11:54.280]  I'm not doing an episode for six months.
[01:11:54.280 --> 01:11:57.640]  I'm going to take a break and think about what I've done with my life and that's it.
[01:11:57.640 --> 01:11:59.800]  He's going to take a six month hiatus.
[01:12:00.600 --> 01:12:04.840]  I don't think the people who were getting their medical information from the Joe Rogan
[01:12:04.840 --> 01:12:09.240]  experience, their next choice is not going to be that much better.
[01:12:10.360 --> 01:12:13.400]  They're not going to like the New England journal of medicine.
[01:12:13.400 --> 01:12:14.200]  Yeah.
[01:12:14.200 --> 01:12:17.320]  And I guess I called him an idiot and maybe that's the wrong term to use.
[01:12:17.320 --> 01:12:22.520]  It's more like an asshole because he could just be making a financial decision.
[01:12:22.520 --> 01:12:29.400]  It could be, could just be deciding smartly to say, yeah, I'm providing misinformation,
[01:12:29.400 --> 01:12:31.240]  but I'm also making a lot of money doing it.
[01:12:31.880 --> 01:12:34.120]  And it's Spotify signed him.
[01:12:34.120 --> 01:12:35.720]  It's not, it is different.
[01:12:35.720 --> 01:12:39.960]  Neil Young is saying, is telling his fans, you want to stream my music, go to Apple Music
[01:12:39.960 --> 01:12:44.600]  or go to Amazon, or there's the list of other services, but those are for at least people
[01:12:44.600 --> 01:12:45.880]  in North America.
[01:12:45.880 --> 01:12:46.760]  Those are the big ones.
[01:12:46.760 --> 01:12:54.200]  And, why isn't Neil Young complaining that Apple podcasts, if you search for Joe Rogan
[01:12:54.200 --> 01:12:59.160]  would turn up, I guess his new show, it's a Spotify exclusive, but it'll turn up, would
[01:12:59.160 --> 01:13:04.920]  have turned it up while Joe Rogan's podcast was a regular podcast, would turn up Joe Rogan
[01:13:05.720 --> 01:13:07.000]  similar podcasts.
[01:13:07.880 --> 01:13:10.120]  And why isn't he objecting to that?
[01:13:10.120 --> 01:13:15.800]  That's because it's like, Apple podcasts is like a web browser where it just pretty
[01:13:15.800 --> 01:13:24.520]  much, and yes, iTunes runs their own index of known podcasts for search and controversially,
[01:13:24.520 --> 01:13:29.640]  I guess, to some degree, does take some out that have outright hate content.
[01:13:29.640 --> 01:13:35.240]  What's the Alex Jones thing called Info Wars was delisted from iTunes for being beyond
[01:13:35.240 --> 01:13:41.000]  the pale, which, you know, some people object to, people who say, yeah, Alex Jones is a
[01:13:41.000 --> 01:13:46.760]  bad, horrible person and an idiot, and his show is terrible, but it shouldn't be delisted
[01:13:46.760 --> 01:13:48.120]  from a podcast index.
[01:13:48.120 --> 01:13:52.760]  You know, there's some people whose free speech fundamentalism is that deep, but there's
[01:13:52.760 --> 01:13:54.280]  gotta be a line somewhere, right?
[01:13:54.280 --> 01:14:00.920]  I mean, Apple's not going to put their, it's not a stamp of approval to be listed in Apple
[01:14:00.920 --> 01:14:01.560]  podcasts.
[01:14:01.560 --> 01:14:03.880]  It's, they're not paying you, which is the big difference.
[01:14:03.880 --> 01:14:04.280]  Can't be.
[01:14:04.280 --> 01:14:06.040]  They list both of our podcasts.
[01:14:06.040 --> 01:14:10.520]  The flip side of this is people who don't want Spotify to cave and think that Neil
[01:14:10.520 --> 01:14:20.200]  Young is doing Joe Rogan dirty by trying to pressure them to cancel his show are missing
[01:14:20.200 --> 01:14:23.800]  the fact that that's what Spotify signed up for by signing Joe Rogan.
[01:14:23.800 --> 01:14:24.120]  Yeah.
[01:14:24.120 --> 01:14:25.960]  You decided what your platform was going to be.
[01:14:26.840 --> 01:14:32.920]  You know, and I could imagine somebody else, you know, might look at any network and I
[01:14:32.920 --> 01:14:37.000]  like, I'm not of the sensitive, I don't like listening.
[01:14:37.000 --> 01:14:39.560]  I can't stand to listen to somebody who I disagree with.
[01:14:39.560 --> 01:14:47.320]  I try to read, you know, some level of rational, conservative thought and politics and watch
[01:14:48.040 --> 01:14:52.520]  shows like the Bill Maher show where he has guests who, you know, I often think, wow,
[01:14:52.520 --> 01:14:56.520]  that person's an idiot or Bill Maher often says things and I think, wow, Bill Maher is
[01:14:56.520 --> 01:15:01.880]  being a bit of an idiot here, but that doesn't make me like, I can't stand hearing somebody
[01:15:01.880 --> 01:15:03.320]  say something I disagree with.
[01:15:03.320 --> 01:15:07.720]  I'll at least listen to it and I might, it may not change my mind, but it's not like
[01:15:07.720 --> 01:15:13.320]  sunshine to a vampire to me to be exposed to somebody who I disagree with, but I can
[01:15:13.320 --> 01:15:19.080]  also see how somebody who's controversial enough on a certain network or a provider
[01:15:19.080 --> 01:15:25.800]  like Spotify might make me say, well, that person is so beyond the pale that I don't
[01:15:25.800 --> 01:15:27.560]  want to be associated with this group.
[01:15:28.360 --> 01:15:32.600]  Yeah, this is, we're talking about stuff that is just simply objectively incorrect
[01:15:32.600 --> 01:15:41.160]  as well. That's become such a problem, such a ridiculous problem that we, that it's not
[01:15:41.160 --> 01:15:42.840]  a matter of opinion anymore.
[01:15:42.840 --> 01:15:47.480]  I mean, you can have an opinion, you can definitely have an opinion about the effectiveness of
[01:15:47.480 --> 01:15:52.680]  masks or something like that, but like whether or not a vaccine works or whether vaccines
[01:15:52.680 --> 01:15:53.720]  are killing people.
[01:15:54.600 --> 01:16:01.240]  Right, or the John Stockton take, NBA, NBA great John Stockton, who believes 150% of
[01:16:01.240 --> 01:16:05.160]  professional athletes around the world, not just have died of the vaccine, have dropped
[01:16:05.160 --> 01:16:08.840]  dead on the field or court, and it's all being covered up.
[01:16:10.360 --> 01:16:17.000]  Yeah, it's, well, I don't know, you know, and the other thing too about Neil Young that
[01:16:17.000 --> 01:16:21.880]  I was thinking about, I think last night, but I was thinking about it is there is something
[01:16:21.880 --> 01:16:28.600]  to be said for an artist who has spent literally his entire career, whether you like his music
[01:16:28.600 --> 01:16:34.280]  or dislike his music or feel ambivalent or just like it when he's with the Crosby Stills
[01:16:34.280 --> 01:16:40.600]  and Nash or something, everybody I know has the utmost respect for his integrity, right?
[01:16:40.600 --> 01:16:46.040]  He's, or you could certainly disagree with his stance on like no compression music and
[01:16:46.040 --> 01:16:52.200]  that goofy Panos player he was trying to sell, but he wasn't trying to make a quick buck.
[01:16:52.200 --> 01:16:56.120]  He was coming at it from a perspective of genuine integrity.
[01:16:56.120 --> 01:17:00.920]  That's the thing. I mean, yeah. And in this instance, he's not going to make money off
[01:17:00.920 --> 01:17:05.880]  of this, right? And there's no, I don't think, like you could say, well, he's just pandering
[01:17:05.880 --> 01:17:11.880]  to certain people. And I think the fact that he's giving up 60% of his streaming revenue
[01:17:11.880 --> 01:17:16.200]  is kind of a sign that that's not going to work out very well for him if that's his plan,
[01:17:16.200 --> 01:17:17.160]  which I don't think it is.
[01:17:17.160 --> 01:17:22.520]  And it's not like he's selling Neil Young's COVID protection vitamins. It's not like there's
[01:17:22.520 --> 01:17:23.640]  some kind of scam back there.
[01:17:23.640 --> 01:17:26.920]  Right. There's some sort of alternative. Yeah. Don't use ivermectin. That stuff doesn't work.
[01:17:26.920 --> 01:17:31.320]  But what does work is Neil Young's protective vitamins.
[01:17:31.320 --> 01:17:33.720]  Right. And, and eye drops or something.
[01:17:34.280 --> 01:17:36.840]  It does work as listening to uncompressed music.
[01:17:36.840 --> 01:17:41.080]  Yes. Yes. That keeps the COVID right out of your nasal passage.
[01:17:43.960 --> 01:17:48.120]  What lets those damn COVID, those little COVID bits get in there is
[01:17:48.120 --> 01:17:53.400]  MPEG-3 compression. It slips through the gaps in the ones and zeros.
[01:17:56.360 --> 01:18:00.680]  No, I was trying to remember it because I knew he had said some stuff that was like eye rolling
[01:18:00.680 --> 01:18:05.160]  and I didn't, and I couldn't remember exactly what it was. And so I had to lick it up when
[01:18:05.160 --> 01:18:08.360]  this came up. I was like, Oh yeah, that's right. It was audio stuff.
[01:18:09.240 --> 01:18:13.640]  It's funny too, because a lot of the, I don't know about him in particular, but a lot of
[01:18:13.640 --> 01:18:19.240]  the artists of his generation have serious hearing problems. I mean, Pete Townsend famously,
[01:18:19.240 --> 01:18:23.240]  because they just didn't know back then and they, you know, play their music loud and they didn't
[01:18:23.240 --> 01:18:29.640]  have all of the earplugs and the, those, you know, it's not just like plugging up your ears
[01:18:29.640 --> 01:18:34.520]  so you don't go deaf from the loud music, but also that now they have the little wireless
[01:18:34.520 --> 01:18:38.280]  things so they can, the artists can hear the feedback so they can tell they're playing the
[01:18:38.280 --> 01:18:42.840]  music. But I forget, Amy was telling me it was very funny, but I think it was Billy Eilish and
[01:18:42.840 --> 01:18:48.360]  her brother met Elton John and they're, somebody was on, you know, on like a talk show talking
[01:18:48.360 --> 01:18:53.880]  about it. And they were like, he can't hear anything you have Adam. And it's like, who knew?
[01:18:53.880 --> 01:18:58.440]  You know, but like, you know, a lot of the people who, you know, the artists who came up in the
[01:18:58.440 --> 01:19:02.360]  sixties and seventies, they have some hearing problems. So Neil Young seems to think he can
[01:19:02.360 --> 01:19:08.680]  hear the difference between high quality MPEG threes and uncompressed audio. Who knows? Maybe
[01:19:08.680 --> 01:19:14.760]  he can. I don't know. He's certainly if anybody could, maybe it's him. Maybe he just feels it.
[01:19:14.760 --> 01:19:19.560]  Yeah. Well, that's it for me. You got anything else? Do you understand this? I don't understand
[01:19:19.560 --> 01:19:23.720]  this thing with Dropbox. Yeah. We should talk about the Dropbox thing. I forgot about that.
[01:19:23.720 --> 01:19:28.280]  Yeah. I guess I don't, what I don't understand is what is actually being changed. Like some
[01:19:28.280 --> 01:19:36.600]  underlying Apple thing is changing so that Dropbox and Microsoft OneDrive OneDrive will no longer be
[01:19:36.600 --> 01:19:44.280]  able to sync in the way that they used to or no. Explain it to a dumb person. Who's me.
[01:19:44.280 --> 01:19:52.600]  All right. So I think it's the fact that they both use kernel extensions to implement some of the
[01:19:52.600 --> 01:20:00.120]  file system stuff that they do. And kernel extensions in general are dangerous and a
[01:20:00.120 --> 01:20:06.680]  source of system instability because a bug in a kernel extension could cause the whole system to
[01:20:06.680 --> 01:20:13.400]  shut down and are a security problem for the same reasons. And so Apple, even if you want to say
[01:20:13.400 --> 01:20:21.320]  that Apple is being too protective with the Mac and the whole general argument of turning the Mac
[01:20:21.320 --> 01:20:26.840]  into more like iOS, steering third-party developers away from kernel extensions is at the
[01:20:26.840 --> 01:20:32.920]  far end of that. It's probably a good idea. And I think it was, I'm pretty sure it was macOS Catalina
[01:20:32.920 --> 01:20:42.200]  10.15 and they announced it at WWDC 2019 that they have these file provider extension APIs that
[01:20:42.200 --> 01:20:50.120]  started on iOS, which is how third-party things like Dropbox, or like you could like connect like
[01:20:50.120 --> 01:20:56.280]  your web server with SFTP and have them show up in the files app. They're called like file
[01:20:56.280 --> 01:21:02.360]  provider extensions. They were going to bring those APIs or a version of them to the Mac
