[00:00.000 --> 00:01.000]  Hey, John.
[1:19:57.000 --> 1:20:11.000]  But they are a new insurance company focused on consumers who are able to buy their own health insurance through the new Affordable Care Act, AKA Obamacare.
[1:20:11.000 --> 1:20:17.000]  The insurance marketplace is that are new here in the US.
[1:20:17.000 --> 1:20:34.000]  So in most cases, you know, existing health insurance companies are terrible and they're particularly poor for people like me who are self employed and don't get insurance through any sort of group or a job or a business or something like that.
[1:20:34.000 --> 1:20:44.000]  Buying insurance as health insurance in the US as an individual or as a family is just an enormous hassle on a bad deal and you get bad service.
[1:20:44.000 --> 1:20:56.000]  Oscar is designed to change all of that. They already did first year, last year they started in New York and had a great year. This is their second year of signing up new customers.
[1:20:56.000 --> 1:21:12.000]  Here's where they're available because it doesn't matter if you don't live in one of these counties, it's not going to work. If you're in New York, the Oscars available in Manhattan, Brooklyn, the Bronx, Queens, Staten Island, Rockland, Westchester, Nassau, and Suffolk Countings.
[1:21:12.000 --> 1:21:24.000]  In New Jersey, they're available in Passaic, Morris, Bergen, Essex, Hudson, Union, Middlesex, Monmouth, and Ocean Counties.
[1:21:24.000 --> 1:21:33.000]  They have all sorts of great stuff. Oscar is truly a health insurance company for the modern age and for the individuals.
[1:21:33.000 --> 1:21:46.000]  They have an app and a website where you can do everything from your medical records, track your medical history, find a doctor, talk to one of the doctors that's in the Oscar plan.
[1:21:46.000 --> 1:21:57.000]  They have a great network of providers and hospitals in the New York and North Jersey metro areas. Lots and lots of doctors.
[1:21:57.000 --> 1:22:05.000]  They really just go out of the way to make everything easy and to make your benefits what you get through your insurance.
[1:22:05.000 --> 1:22:10.000]  Both the generous and very, very clear. It's a new kind of health insurance company.
[1:22:10.000 --> 1:22:16.000]  Instead of obfuscating your benefits, they spell a lot in very clean language.
[1:22:16.000 --> 1:22:26.000]  They have a feature called Doctors on Call. You can use the app, use their website, and have a board-certified doctor call you for free 24-7.
[1:22:26.000 --> 1:22:40.000]  Plans include benefits like free checkups, free generic drugs, free primary care doctor visits, and more.
[1:22:40.000 --> 1:22:45.000]  They cover you from head to toe with simple benefits that anyone can understand.
[1:22:45.000 --> 1:22:50.000]  Now here's the thing, there's some urgency involved here due to the way the Affordable Care Act works.
[1:22:50.000 --> 1:22:58.000]  You need to sign up by February 15, 2015, for insurance starting March 1.
[1:22:58.000 --> 1:23:07.000]  So by February 15, so if you're in the market for health insurance, if you're available for the Affordable Care Act and you pay for your own health insurance,
[1:23:07.000 --> 1:23:17.000]  and you live in one of those counties in New York and New Jersey, I really encourage you to call Oscar or check out their website and find out more because it's a great deal.
[1:23:17.000 --> 1:23:27.000]  Now I can't get it because I live in Philadelphia, Pennsylvania, but a friend of the show, editor of the show, Dave Whiskis, lives in New York,
[1:23:27.000 --> 1:23:32.000]  and he's switched his health insurance to Oscar and says that it's great.
[1:23:32.000 --> 1:23:35.000]  So here's where you go to find out more.
[1:23:35.000 --> 1:23:38.000]  Their website is highosker.com.
[1:23:38.000 --> 1:23:49.000]  H-I-osker.com, like, hello, Oscars. Highosker.com slash the talk show, then they'll know you came here from this podcast.
[1:23:49.000 --> 1:23:58.000]  Highosker.com slash the talk show, or you can call them at 1-855-OSKER-97.
[1:23:58.000 --> 1:24:03.000]  That number once again is 1-855-OSKER-97.
[1:24:03.000 --> 1:24:09.000]  My thanks to Oscar, if you're in the market for health insurance in New York and New Jersey, go check them out.
[1:24:09.000 --> 1:24:12.000]  It really seems like a great, great deal.
[1:24:12.000 --> 1:24:15.000]  All right, anything else on your mind?
[1:24:15.000 --> 1:24:24.000]  No, I mean, I'm still, so I was back in San Francisco when a couple weeks ago for a while.
[1:24:24.000 --> 1:24:28.000]  And, you know, I've been sort of going back and forth about Apple Watch.
[1:24:28.000 --> 1:24:36.000]  So unlike you, I wasn't at the event, the unveiling, and so I didn't get a chance to sort of see it and sort of get a better sense of what it was.
[1:24:36.000 --> 1:24:40.000]  I watched the, you know, the keynote sort of, it's great that they stream it live.
[1:24:40.000 --> 1:24:44.000]  And so I could watch it here despite their technical hiccups, I'm sure you heard about.
[1:24:44.000 --> 1:24:46.000]  You know, it was bad.
[1:24:46.000 --> 1:24:48.000]  Yeah, it was really bad.
[1:24:48.000 --> 1:24:51.000]  But they fixed it a little bit for the later one.
[1:24:51.000 --> 1:24:55.000]  But, so I wasn't sure really what to make of Apple Watch.
[1:24:55.000 --> 1:25:08.000]  And I'm still sort of trying to get there, but I had a number of interesting discussions with people more in the know while I was back and sort of thinking through things of where this is going to go.
[1:25:08.000 --> 1:25:13.000]  And I'm starting to get a lot more bullish on Apple Watch than I was to begin with.
[1:25:13.000 --> 1:25:18.000]  Not to say that I was bearish on it, but I was wondering, I was sort of wondering a lot of what we talked about.
[1:25:18.000 --> 1:25:25.000]  Sort of, you know, how many people are going to pay a premium for a gold one? How many people are going to buy the edition one?
[1:25:25.000 --> 1:25:29.000]  How many people are going to buy, you know, the cheaper sport one? And what does it mean?
[1:25:29.000 --> 1:25:37.000]  And then when they released SDK, and just like we were talking about earlier, it sort of seemed like they were more widget like apps rather than true apps.
[1:25:37.000 --> 1:25:44.000]  And it seemed like, you know, Apple was already telepathic into the future where they're going to make them more robust apps.
[1:25:44.000 --> 1:25:51.000]  So they're almost like saying like, yeah, we're going to put this out there, but V2 of this is going to be real is when things get really interesting.
[1:25:51.000 --> 1:26:02.000]  And so, you know, it's sort of the old problem that Apple has had amongst many people who believe, you know, like don't buy the first version of something like they always make it better the second version.
[1:26:02.000 --> 1:26:12.000]  But I am definitely getting more bullish on it now after having sort of had a few chats and learned a lot more about what it's actually doing.
[1:26:12.000 --> 1:26:14.000]  Where's your mind at with it?
[1:26:14.000 --> 1:26:17.000]  I've never been either bullish or bearish.
[1:26:17.000 --> 1:26:26.000]  Even having been at the event and even having, you know, I didn't get to use it because they were all running the demo software, but I did get to at least try one on.
[1:26:26.000 --> 1:26:35.000]  I've always been ambivalent. Like, tell me more. Like, I need to know more about this before I can even decide either way.
[1:26:35.000 --> 1:26:43.000]  But to me, I still feel that way. That's why, ultimately, I still feel like they're probably going to have another event before it comes out.
[1:26:43.000 --> 1:26:50.000]  And, you know, if the other rumors are right and they're going to do like a bigger iPad that would make sense to do it all in one event.
[1:26:50.000 --> 1:26:56.000]  And so there's a new thing, which is a bigger, you know, pro sized 11 inch or 12 inch iPad.
[1:26:56.000 --> 1:27:06.000]  So here's a new thing and here is more on this thing we announced in September, the Apple Watch, which is now imminent. And let us show you more.
[1:27:06.000 --> 1:27:22.000]  That to me feels like they don't even need to do anymore. That's a perfect Apple event. A new iPad, a new size, you know, and if the thing about the stylus is right, there's all sorts of demos they can do there, you know, bring up somebody some third party with, you know,
[1:27:22.000 --> 1:27:31.000]  to show some kind of way, calm style, professional artwork being drawn on the thing. And then, you know, show me more about the Apple Watch.
[1:27:31.000 --> 1:27:38.000]  The thing that gets me is the confidence that Apple seems to have about the Watch. It's not what they've told us.
[1:27:38.000 --> 1:27:55.000]  And what you can read at apple.com slash watch, it's the confidence that Tim Cook has and everybody else who's spoken about it publicly. They're so confident about it that to me, it's, it, it, it seems like it would be reckless to bet against it.
[1:27:55.000 --> 1:28:03.000]  Because they're not, they're not the type of people who breathlessly promote everything and anything that they do.
[1:28:03.000 --> 1:28:10.000]  I agree with you, definitely. I think that that is something that makes it so you can't obviously, you can't write it off.
[1:28:10.000 --> 1:28:31.000]  You could never write it off being from Apple these days. But their confidence is pretty fascinating. The way that they're positioning it, they're obviously still doing this like world tour of going around and talking to all the various people in the fashion industry, hiring the various people in the fashion industry to bring them in to make sure that they're ready to go for this.
[1:28:31.000 --> 1:28:45.000]  It all adds to sort of the feeling I'm getting. But I also just am starting to get a better sense of what I think that they think they can do with it.
[1:28:45.000 --> 1:29:00.000]  I do think that the early days will be maybe a little bit underwhelming at first because they're only going to work with, you know, a handful of people as they always do behind the scenes to get third party apps sort of ready to go
[1:29:00.000 --> 1:29:07.000]  for when this thing launches and they're going to be obvious things and it'll be largely predicated around push notifications, I would assume.
[1:29:07.000 --> 1:29:14.000]  But I am starting to believe more that there's different types of things that third party developers will be able to accomplish.
[1:29:14.000 --> 1:29:19.000]  And maybe it takes to the second SDK, the more robust thing for it to really get there.
[1:29:19.000 --> 1:29:31.000]  But, you know, I'm reminded back to when the iPhone first came out and, you know, we had sort of developers making the web apps because they didn't have access to actually making native apps the time only Apple did.
[1:29:31.000 --> 1:29:39.000]  So it's not exactly what's going on here, but we are getting a little bit of what feels like a muted SDK for third party developers right now.
[1:29:39.000 --> 1:29:50.000]  I think it's somewhat analogous. I think it's a little bit better than the web apps of 2007, but it's close. It's not a bad analogy.
[1:29:50.000 --> 1:30:05.000]  I agree. And so now I'm trying to think through, you know, when Apple did release the second sort of SDK for the iPhone that allowed for native app development, it was insanely exciting to everyone, but no one really knew what would happen.
[1:30:05.000 --> 1:30:11.000]  We knew games would come and there would be sort of silly little apps to begin with, which there were, there were, you know, many.
[1:30:11.000 --> 1:30:17.000]  And then it wasn't clear if there would ever be like big businesses, right, real businesses built on top of that. And look at it now.
[1:30:17.000 --> 1:30:24.000]  I mean, how many, how many billion dollar businesses have been built on top of the iPhone alone, you know, and Android and stuff.
[1:30:24.000 --> 1:30:30.000]  But the iPhone is what kicked it off. It's like Instagram and all these other things that were, you know, iOS only at the time.
[1:30:30.000 --> 1:30:37.000]  And is there a way, this is what I'm trying to think through, is there a way for the watch to do something similar.
[1:30:37.000 --> 1:30:51.000]  You're instinct is that sounds ridiculous, right? Like that, that there's, that there's this watch, the small little device that's, that just seems like more of a novelty, or is it going to actually be something that big businesses can be built on.
[1:30:51.000 --> 1:31:05.000]  And I think that there's two camps, there's, there's people who believe that eventually we will get to that place and there can be sort of new, new interactive paradigms with like sort of the, the tactic feedback stuff and there will be new types of messaging apps that we haven't thought of yet.
[1:31:05.000 --> 1:31:11.000]  But then there's the other group that I think is more along the lines of, look, the Apple Watch, here's what it is.
[1:31:11.000 --> 1:31:24.000]  It's just another moat for the iPhone. It's a way, you can't use it right now without the iPhone. It's a paired device with that. And so it makes the iPhone more attractive to iPhone owners.
[1:31:24.000 --> 1:31:32.000]  And it makes, it gives people maybe another reason to buy an iPhone rather than choosing an Android device or some other similar device.
[1:31:32.000 --> 1:31:44.000]  Yeah, I, I, I don't know, I feel like both of those scenarios are possible. I do feel like ultimately it's, you know, just the march of technology is that eventually it will be independent.
[1:31:44.000 --> 1:31:49.000]  Like it won't need, you know, it'll have its own internet access without an iPhone.
[1:31:49.000 --> 1:32:05.000]  Right. Just to me exactly the way that the iPhone used to need a Mac or PC running iTunes to sync. I mean it seems crazy. Like it was the only way to get contacts on your iPhone was to sync your computer using a cable.
[1:32:05.000 --> 1:32:25.000]  And I kind of feel like the watch needing a phone within Bluetooth range to get internet is the same thing. Like, you know, three, four, five years from now we're going to laugh at the fact that you couldn't get text messages on your phone unless you were within, you know, 20 feet of your, or on your watch unless you were within 20 feet of your phone.
[1:32:25.000 --> 1:32:39.000]  But in the meantime, I do feel like that's the way that you bootstrap it is that it's again, like you said, like a moat around the iPhone. I think that's how it debuts. And then all of a sudden you realize it's, you know, two, three, four years from now it's its own thing.
[1:32:39.000 --> 1:32:53.000]  That's right. I agree with that. And I think, I think they're going about it the right way with everything that they've sort of shown so far, you know, having used a lot of these other sort of wearable devices, they're all, they all range from either very bad to sort of just mediocre.
[1:32:53.000 --> 1:33:22.000]  There's no great one right now. And I think a lot of it is that a lot of, a lot of these companies have just basically taken the phone paradigm, the smartphone, the touch screen paradigm and strapped it on the wrist and Apple with this crown sort of interaction. They're trying to actually think about what they should do. I mean, you're putting your, when you're touching the screen all the time, you're completely covering the screen. Like, why would you do that? You know, so like the crown where you can zoom in and out that, that's like sort of.
[1:33:22.000 --> 1:33:43.000]  Like sort of is an obvious thing in hindsight that I think is going to be sort of a killer feature that everyone ends up copying, of course, but it's things like that that make me more excited about, you know, the prospects for it, though I agree with sort of everything we're saying, which is that the first iteration, it will take a while to prove these things up.
[1:33:43.000 --> 1:34:05.000]  Yeah, I think that the crown in particular is one of the reasons why, why did they announce it when they announced it? Well, part of it is like, I wrote, I wrote this week that part of it, I think is that they wanted to announce it before it went into production because once it went into production, it was inevitably going to leak. And in fact, did leak.
[1:34:05.000 --> 1:34:16.000]  There was, like one day before they announced it, there actually were like blueprints that leaked that were, you know, in hindsight were pretty much spot on or exactly spot on.
[1:34:16.000 --> 1:34:27.000]  They didn't get a lot of publicity because they weren't real pictures, but if it had happened even a week earlier somebody, you know, could have done like a 3D rendering and spoiled it.
[1:34:27.000 --> 1:34:39.000]  I think they really wanted to be the ones to unveil it and they're glad they did. Six months is about the outer limit, I think for when Apple could do it.
[1:34:39.000 --> 1:34:50.000]  I think it's also possible that in like an ideal world, if everything had gone according to plan, maybe it wouldn't be shipping in April, maybe it would have been shipping like in February.
[1:34:50.000 --> 1:35:00.000]  Yeah, just, you know, enough bugs still remain enough kinks still remain in software that they need the extra two months before they feel comfortable shipping.
[1:35:00.000 --> 1:35:07.000]  But well, it also, I definitely heard that they did want to do this in the fall and it just, oh, originally, yeah, definitely.
[1:35:07.000 --> 1:35:24.000]  Yeah, like, and in hindsight with some of Tim Cook's remarks, like all things D or whatever, you know, I think the year before that they, you know, they have a, they have products to release all throughout 2014. Yeah, I think like two years ago, they were thinking like a holiday release for 2014.
[1:35:24.000 --> 1:35:32.000]  So I think it's, I think that's definitely the case. I've heard the same thing too, like internally that it's, you know, not that they're shocked.
[1:35:32.000 --> 1:35:38.000]  I don't think it's like a disaster. I just think it's, yeah, it just, it just was not the best case scenario.
[1:35:38.000 --> 1:35:44.000]  Yeah, there's soft. I think it's largely software rather than the hardware that's going on.
[1:35:44.000 --> 1:35:49.000]  It's a software's hard to nail this, this new sort of paradigm that they're trying to do.
[1:35:49.000 --> 1:36:01.000]  Yeah, I think that the hardware that they, and who knows, I mean, because, you know, it's not like they were letting us crack open the demo units back in September, but I'm pretty sure that the hardware they showed us at the event in September.
[1:36:01.000 --> 1:36:06.000]  Is exactly the hardware that it is. I think I'm pretty sure that it is. Yeah.
[1:36:06.000 --> 1:36:14.000]  Yeah. And that they're like internally, like Johnny Ives team is already working on the next revision of the hardware.
[1:36:14.000 --> 1:36:25.000]  Like they've, you know, the hardware is done and defined and, you know, it's that screen and that chip and that metal and, you know, everything down to the bands that that stuff is all done.
[1:36:25.000 --> 1:36:33.000]  Yeah, I think it's all software that's still being worked on. And, of course, the component of that is the battery life.
[1:36:33.000 --> 1:36:52.000]  And what do you think about sort of, I'm sure you saw the Mark Gurman report about the breakdown of the battery life issue. And so it's, you know, I think it was 2.5 hours of full active usage, which is a little bit, you know, misleading because are you going to be sitting there on your watch for two, two and a half straight hours,
[1:36:52.000 --> 1:36:58.000]  using it straight through no, but what do you say, is that like in the ballpark you thought it would get to?
[1:36:58.000 --> 1:37:10.000]  Yeah, I think that the basic gist is that they need to make it so that if you're an act, if you use your Apple Watch thoroughly that you can still get through a day, no problem.
[1:37:10.000 --> 1:37:19.000]  I've seen some stuff, you know, the demo units they showed us and all the screenshots they show us don't show a battery meter all the time.
[1:37:19.000 --> 1:37:31.000]  And the simulator in Xcode does. So there's some question as to whether, you know, where they've, you know, what are the actual production ones going to do.
[1:37:31.000 --> 1:37:43.000]  How are you going to check the battery? Like it seems as though what they've shown us so far is that you're not supposed to even, I'm sure there's some way to do it, like go into settings and there's, you know, if you really want to check your battery, they'll be away.
[1:37:43.000 --> 1:37:52.000]  I feel like what they want to do is just get it so that it, you know, if you charge it every night, you'll be fine and you don't have to worry about it.
[1:37:52.000 --> 1:37:57.000]  And if you forget to charge it one night, you're probably going to, it's probably going to die the next day.
[1:37:57.000 --> 1:38:06.000]  And you know, one thing, so as we know with the phones now and iPad and everything else, like the biggest draw a power draw is the screen of all these things.
[1:38:06.000 --> 1:38:25.000]  And I think that it seems like they're doing smart things with that the other other sort of smart watchmakers haven't done by the way, which is when you get sort of notifications coming in rather than illuminate the screen right away, they're using their haptic thing, the haptic engine to be able to alert you to that.
[1:38:25.000 --> 1:38:35.000]  So the screen is going to be on probably less than you think it is because we all see these smart watches out there right now that light up whenever you get something and that's not going to be the case with this.
[1:38:35.000 --> 1:38:51.000]  I mentioned last week when Ben Thompson was on the show that from what I've heard from a couple people again, not firsthand, not anybody who has a watch, but all second hand from people who've talked to people who are testing a watch is that an enormous amount of effort has gone into making it so that when you do want to
[1:38:51.000 --> 1:39:14.000]  look at the screen, it comes right on like the detection of your wrist and the motion detection of what angle the watch is at. Hey, I bet this, you know, the person wants to look at me right now. And then when you move it away, it goes off that they've, you know, an enormous amount of work over the last three years has gone into just turning the screen on and off when it wants to be on and off.
[1:39:14.000 --> 1:39:28.000]  I feel like the german stuff is interesting. It's, you know, I have no reason to doubt that those are the actual numbers. I just feel though that it's like, it almost doesn't, it isn't really helpful to thinking about how you're going to use the watch.
[1:39:28.000 --> 1:39:32.000]  It's just sort of their enumerating.
[1:39:32.000 --> 1:39:43.000]  That's right. I'm 100% in agreement with that. It's sort of, it's thinking it's, it's, yes, it's sort of the spec sheet. It's what it will be like if you were just in a, in a vacuum.
[1:39:43.000 --> 1:39:56.000]  If you just said like, give me the numbers of what it's going to do when it's like this and this. But I think the key is that the way that it's been engineered that the Apple Watch will change the way that people at least right now think that they're going to use it.
[1:39:56.000 --> 1:40:12.000]  It's not going to be all the time coming on and it's not going to be, you have a hard time, you know, turning the screen off or you have to hit a button to turn the screen on and off and all that kind of stuff. And so, yeah, it will end up lasting a lot longer than people are sort of thinking about just reading that, that, that stat line.
[1:40:12.000 --> 1:40:22.000]  Yeah, the polar opposite to me would be the, the now defunct iPod Nano or whatever. It was called the one that was square.
[1:40:22.000 --> 1:40:28.000]  And then there was the, I think it was called the watch hands. Yeah, the TikTok kick card. Yep, start.
[1:40:28.000 --> 1:40:37.000]  Yep, I got it right. I did too, which I think at the time was like the broke the record for like a starter project and it really was well done.
[1:40:37.000 --> 1:40:58.000]  It was as well done as a turn your iPod Nano into a watch could be done, I think. But I got it, I popped my iPod into it and, you know, five minutes later took it off and never used it again because the idea of a watch that you had to hit a button to read, drove me nuts.
[1:40:58.000 --> 1:41:08.000]  It was, you know, because you had, you know, there was no motion detection because the iPod wasn't meant for that. So you, you know, to see the time or do anything with it, you had to use your other hand and hit the button.
[1:41:08.000 --> 1:41:10.000]  And it's funny.
[1:41:10.000 --> 1:41:20.000]  It was, you know, and I, you know, I could see why some people liked it, but for me as somebody who wears a watch and just wants to glance at the time it was maddening.
[1:41:20.000 --> 1:41:23.000]  And I feel like the Apple watch is the opposite of that.
[1:41:23.000 --> 1:41:41.000]  And that sort of also leads to one last thing. I know we've been going for a while, but I don't know when we'll talk again. So I want to, there's, so with that, you know, you also had, if you wanted to listen to music, which is what you do, of course, mainly with an iPod, you had to have, you know, your, your white earbuds plugged into your wrist and then they would be going up to your ears, right?
[1:41:41.000 --> 1:41:50.000]  And it's like, if you're trying to run, you could, you know, rip the earbuds out of your ears if you were, for some reason, you know, moving your arms too far or something.
[1:41:50.000 --> 1:42:03.000]  That leads to a question which I have no idea, but I, and I don't know if they're going to do this anytime soon, or if this waits till sort of the fall or the next version or something, but like, they have to be doing something with Bluetooth earbuds, right?
[1:42:03.000 --> 1:42:12.000]  I mean, there's no way that they can, they're, they're already saying that you'll be able to store music and, and some podcasts and they'll, it'll have limited storage to be able to do that.
[1:42:12.000 --> 1:42:16.000]  And they want you to be running with it and, and you can have sort of, you know, be able to listen to your music.
[1:42:16.000 --> 1:42:28.000]  And they're saying, I think they said in the press material or whatever, you can use, you know, your Bluetooth, you know, running people have special running Bluetooth headsets that they already use in their distance or whatever, but that's not going to be good enough for Apple.
[1:42:28.000 --> 1:42:31.000]  They're going to want to do their own, right? And when are they going to do that?
[1:42:31.000 --> 1:42:37.000]  Yeah, it's a, it's a perfect, it has to happen eventually idea.
[1:42:37.000 --> 1:42:44.000]  And, and again, I think having used the iPod Nano with the TikTok watch strap, I had the exact same thing.
[1:42:44.000 --> 1:42:51.000]  I thought, well, when I, when I sent it for the Kickstarter, I thought, I'm probably not going to like this as a watch because I'm not going to like a watch that I have to hit a button to see.
[1:42:51.000 --> 1:42:55.000]  But I might like it as something to use my iPod when I go running.
[1:42:55.000 --> 1:43:06.000]  And in fact, I hated it because of exactly what you said that having the cable go to my wrist and my arm is moving while you run, it was maddening.
[1:43:06.000 --> 1:43:11.000]  It was, it just felt like like I was like, I don't know.
[1:43:11.000 --> 1:43:21.000]  It felt like the sort of thing that you, you know, like like, like when you're on probation and they put like a, right.
[1:43:21.000 --> 1:43:24.000]  But I can't help but feel the same thing with the Apple watch.
[1:43:24.000 --> 1:43:27.000]  I mean, the watch clearly doesn't even have a headphone jack.
[1:43:27.000 --> 1:43:32.000]  So it's, I, you know, it's going to, and it does do Bluetooth audio.
[1:43:32.000 --> 1:43:40.000]  So if the watch does Bluetooth audio and the future is to not have a cable between your headphones and your device period,
[1:43:40.000 --> 1:43:43.000]  Apple has to do Bluetooth.
[1:43:43.000 --> 1:43:51.000]  My question though is if Apple goes and does Bluetooth headphones of their own, are they going to be included with devices or?
[1:43:51.000 --> 1:43:53.000]  Yeah, interesting.
[1:43:53.000 --> 1:43:59.000]  And or if they're not, will they do them themselves or will it be like a Beats thing?
[1:43:59.000 --> 1:44:03.000]  Well, so remember how they used to have, I think they still probably sell them.
[1:44:03.000 --> 1:44:08.000]  They had those more high end version of any ear, ear buds because I bought them at one point.
[1:44:08.000 --> 1:44:11.000]  I remember that one for the other ones.
[1:44:11.000 --> 1:44:12.000]  And they were pretty good.
[1:44:12.000 --> 1:44:13.000]  They were okay.
[1:44:13.000 --> 1:44:20.000]  They had like three different sort of sizes that that you got the earbud gel things that you could sort of stick in your ears depending on how big your ears are.
[1:44:20.000 --> 1:44:22.000]  And they were okay.
[1:44:22.000 --> 1:44:28.000]  They were definitely better than the old version of the ear buds that came with all the iPods and everything.
[1:44:28.000 --> 1:44:34.000]  I don't think they're better than the new version of the ear buds, at least I don't use those higher end versions.
[1:44:34.000 --> 1:44:36.000]  I'm not even sure if they sell them.
[1:44:36.000 --> 1:44:44.000]  They still do, but I would imagine that's how they do it at first, at least that they sell them as like because it'll probably be expensive to make more expensive than the current iteration.
[1:44:44.000 --> 1:44:47.000]  So maybe they sell them for those $100.
[1:44:47.000 --> 1:44:56.000]  And then eventually they sort of move towards that because that is something I always think about, you know, like what else can they do to improve the iPhones right now?
[1:44:56.000 --> 1:45:01.000]  And the biggest pain point now is honestly untangling the damn ear buds when they're in my pocket.
[1:45:01.000 --> 1:45:12.000]  I know that they're like, you know, everyone, I complain about this from time to time on Twitter and everyone comes at me with like you should get these ties or you know this thing and they have all these like third party products to like make it better.
[1:45:12.000 --> 1:45:15.000]  But like really I just want, I don't want to carry around more stuff.
[1:45:15.000 --> 1:45:29.000]  I just want to have my ear buds and I want to have the phone in my pocket and I want the ear buds not to somehow defy the laws of physics and get so tangled up that it seems like you have to cut them almost to in order to untangle them.
[1:45:29.000 --> 1:45:38.000]  And so it's another thing that really strikes me in the winter too because it's so much more of a pain in the ass when you're wearing a coat.
[1:45:38.000 --> 1:45:46.000]  And yeah, and you've got these things dangling and it's like when do you, there's no good way to do it.
[1:45:46.000 --> 1:45:53.000]  Like if you, you know, want to listen to podcasts like I, you know, I walk almost everywhere in the city and I run errands and that's when I listen to podcasts and it's great.
[1:45:53.000 --> 1:46:02.000]  But when it's winter and I have to wear a coat it's like what do I do do I put it in my pocket and start listening to podcasts and put the coat over the headphones and then it like it pulls.
[1:46:02.000 --> 1:46:17.000]  But if you put the coat on first and string it over the coat it there's just no good way with the cable like as opposed to when you're not wearing a coat you can just put your phone in a pocket and it's not too much of a hindrance to have the headphone cable going from your jeans pocket to your ears.
[1:46:17.000 --> 1:46:23.000]  Put a winter coat on and there's no good way to do it. Have you, have you tried one of the Bluetooth ones before?
[1:46:23.000 --> 1:46:27.000]  So it's like funny, you know, I going back into the late 90s and whatever when they first came out.
[1:46:27.000 --> 1:46:33.000]  Obviously they sort of got this douchey, you know, sort of aura around them.
[1:46:33.000 --> 1:46:40.000]  But I use the, I use the jawbone era. I think it's called, yeah, the era quite often now.
[1:46:40.000 --> 1:46:44.000]  The problem is that it's only obviously one year. So it's not great for music. You can do it for music.
[1:46:44.000 --> 1:46:50.000]  But for podcasts and stuff, it's pretty good. It's the only other downside is with one ear.
[1:46:50.000 --> 1:46:56.000]  It's, you have to turn it up quite high sometimes like if you're in a, in a loud or environment to be able to hear.
[1:46:56.000 --> 1:47:00.000]  And I never use it for calling or anything, but I don't honestly don't make them any calls.
[1:47:00.000 --> 1:47:05.000]  So I don't use a speaker part, but I use it a lot as a, just to listen to things.
[1:47:05.000 --> 1:47:08.000]  It's a little bit wonky. The jawbone software isn't great.
[1:47:08.000 --> 1:47:13.000]  And so it can take a little while to pair and sometimes it drops and it's grit not great audio quality.
[1:47:13.000 --> 1:47:16.000]  I would say, but it's good for podcasts. Definitely.
[1:47:16.000 --> 1:47:19.000]  Yeah, I would probably enjoy that if I had one, but I've never tried it.
[1:47:19.000 --> 1:47:24.000]  Yeah, I, you know, I haven't tried any of the others, but the jawbone one is, is pretty solid.
[1:47:24.000 --> 1:47:28.000]  I kind of wonder what the form factor would be for like an Apple Bluetooth headset.
[1:47:28.000 --> 1:47:32.000]  Like, you know, would, would, would they be connected somehow?
[1:47:32.000 --> 1:47:37.000]  And if so, what would it be like a thing that goes around the back of your head?
[1:47:37.000 --> 1:47:39.000]  Hmm. Yeah, that's an interesting point there.
[1:47:39.000 --> 1:47:44.000]  I have seen both. I've seen ones that are like that where they have a thing that goes around the back of your head.
[1:47:44.000 --> 1:47:48.000]  I think they've also seen one where they still have something like dangling, but it's not connected, you know?
[1:47:48.000 --> 1:47:50.000]  Right, because someone just got to be a battery.
[1:47:50.000 --> 1:47:58.000]  So it can't be, it can't just be the earpieces, you know, like ideally it would just be two earpieces that you put in in the pack.
[1:47:58.000 --> 1:48:06.000]  But then you need two batteries and they'd be one of the reasons why I think the jawbone one is sort of bigger than it even needs to be.
[1:48:06.000 --> 1:48:12.000]  And the battery is not great by the way either. That thing lasts for, it says four hours of talk time.
[1:48:12.000 --> 1:48:15.000]  I think it's, it's usually like two and a half hours max it will last.
[1:48:15.000 --> 1:48:20.000]  Yeah, I feel like that's, it's got to happen, but I don't have, I have no idea how it's going to happen.
[1:48:20.000 --> 1:48:24.000]  I feel like the tooth has, you know, the headphone cables have got to go the way to the dodo.
[1:48:24.000 --> 1:48:30.000]  And the other thing too, that's got to be a motivation for Apple is just staring at my iPhone 6 right now.
[1:48:30.000 --> 1:48:36.000]  I can't help but look at it and think that the headphone jack has now a gating factor on making it.
[1:48:36.000 --> 1:48:39.000]  That's the biggest part. Yeah.
[1:48:39.000 --> 1:48:45.000]  You know, the, the lightning adapter is so much thinner than the headphone jack.
[1:48:45.000 --> 1:48:53.000]  And I, whatever, whatever the, whatever the thickest port is on your device is going to be the next one Apple gets rid of.
[1:48:53.000 --> 1:48:55.000]  And right now it's the headphone jack.
[1:48:55.000 --> 1:49:04.000]  Well, and, and obviously they're starting, I think pretty soon, I think they have a few already, but they, there was some story that they're going to start shipping the lightning ones, right?
[1:49:04.000 --> 1:49:06.000]  So you'll be able to do audio through the lightning port.
[1:49:06.000 --> 1:49:08.000]  And so I'd imagine that's how they do it.
[1:49:08.000 --> 1:49:13.000]  Maybe even starting next year or something that they, they just sort of get rid of the, the headphone jack.
[1:49:13.000 --> 1:49:16.000]  And, and my God, I can't wait for people to complain about that.
[1:49:16.000 --> 1:49:22.000]  That will be, you know, that's going to be the next getting rid of the optical drive and, you know, killing the mouse and all these types of things.
[1:49:22.000 --> 1:49:27.000]  When they kill that audio, that headphone jack, it's going to be, it's going to be a shit story.
