[00:00.000 --> 00:04.580]  I can't believe it took this long to get you on my show. I was on like two years ago
[01:18:59.400 --> 01:19:05.000]  You don't even see it on the screen on the phone because like maybe if you're you're you're trying to hold your hand still
[01:19:05.000 --> 01:19:09.800]  And you take it but the amount of blur that you get from your hand moving in that
[01:19:09.800 --> 01:19:12.280]  1 15th of a second doesn't even show up on the screen
[01:19:12.280 --> 01:19:16.520]  It only shows up when you do put it on like a bigger screen like your mac or something like that
[01:19:16.520 --> 01:19:18.200]  So you don't even know
[01:19:18.200 --> 01:19:23.240]  That you should retake the photo because it's a little blurry because it doesn't show up on the the tiny little
[01:19:23.880 --> 01:19:27.640]  Quote-unquote tiny little 6.5 inch screen, right? Yeah
[01:19:27.640 --> 01:19:28.920]  Right. Yeah
[01:19:28.920 --> 01:19:33.800]  and that's that that's the heart of it right like to me the heart of it is
[01:19:34.440 --> 01:19:38.440]  What do I take pictures of the most it's my kid. Yep, and
[01:19:39.160 --> 01:19:42.200]  I want those photos to last I want to look at those photos
[01:19:42.840 --> 01:19:45.240]  20 years from now and show them to her and be like look
[01:19:46.200 --> 01:19:52.760]  Look at how insane your hair was right like uh, and that means I need definition in her hair like that's pretty basic and like
[01:19:53.560 --> 01:19:54.840]  to me the
[01:19:54.840 --> 01:19:58.760]  The argument for the pixel is I feel more confident
[01:19:59.240 --> 01:20:05.000]  In any situation that it will get that detail out of the photo. Yeah, right and like is that a great argument?
[01:20:05.000 --> 01:20:10.760]  Like is that the argument that's going to win everyone's decision-making process? No, do I carry an iphone?
[01:20:10.760 --> 01:20:18.120]  It's my primary phone sure as hell do like do I would I prefer to have a more privacy focused phone?
[01:20:19.080 --> 01:20:22.440]  That doesn't you know, like do I prefer apple's app model and sandbox?
[01:20:22.440 --> 01:20:25.560]  Like yeah, all those things like that's why I have an iphone
[01:20:27.240 --> 01:20:29.240]  But man, do I wish I had that pixel camera like
[01:20:29.640 --> 01:20:33.400]  Do I wish I could push a button and get it to act more like the pixel? I absolutely do
[01:20:34.360 --> 01:20:39.560]  All right. Let me take one last break here and thank our third and final sponsor. It is this scrappy young company
[01:20:39.560 --> 01:20:40.840]  I never heard of him
[01:20:40.840 --> 01:20:42.840]  squarespace
[01:20:44.120 --> 01:20:45.720]  Look
[01:20:45.720 --> 01:20:47.720]  Squarespace, it's a
[01:20:48.120 --> 01:20:52.120]  You've probably you know, whoever's listening is you've probably never heard of them, but they're they have an amazing service
[01:20:52.120 --> 01:20:53.640]  It is absolutely
[01:20:53.640 --> 01:20:58.840]  Flabbergasting you go there. Let's say you need a website you go to squarespace and you can do everything there
[01:20:58.920 --> 01:21:00.680]  You can get your domain name
[01:21:00.680 --> 01:21:04.280]  You can pick a template they have tons of templates. It is amazing
[01:21:04.360 --> 01:21:08.360]  How many templates you can start from to get an amazing looking website you can customize it?
[01:21:09.640 --> 01:21:14.920]  Every pixel of the entire website you can you can customize to the utmost degree
[01:21:15.800 --> 01:21:16.840]  uh
[01:21:16.840 --> 01:21:18.280]  They host the website
[01:21:18.280 --> 01:21:23.320]  They are the cms. So like if you want to have like a blog or you want to host a podcast or something like that
[01:21:23.560 --> 01:21:30.360]  You do it all through squarespace. They have a great user interface for this stuff. Uh, absolutely great. They do their own analytics
[01:21:30.440 --> 01:21:33.560]  So you want to see who's coming to your website? How many people are looking at your website?
[01:21:34.200 --> 01:21:38.760]  All of the analytics are there and it's so well designed. It's the best analytics interface
[01:21:39.400 --> 01:21:41.400]  I've ever seen
[01:21:41.400 --> 01:21:48.220]  All of it at one place everything from design to hosting to serving the site to the analytics
[01:21:48.520 --> 01:21:52.760]  To even doing the e-commerce if you want to have a store if you need like to sell stuff
[01:21:53.160 --> 01:21:56.040]  and doing all of the secure stuff to do the
[01:21:56.600 --> 01:22:04.520]  Uh online credit card processing etc. Do it right and do it secure. They host they do it all it is absolutely fabulous
[01:22:05.080 --> 01:22:09.640]  And they have abs they have truly award-winning technical support 24 hours a day
[01:22:09.640 --> 01:22:12.520]  you can get them on the phone right away and uh
[01:22:13.240 --> 01:22:18.600]  And if you do have questions, they'll tell you what to do. It is absolutely amazing
[01:22:18.600 --> 01:22:24.520]  So the next time you or anybody, you know who comes to you because you're a nerd and they come to you like hey
[01:22:24.520 --> 01:22:27.240]  I need a website. What should I do send them to squarespace?
[01:22:28.040 --> 01:22:30.040]  And if you go to squarespace.com
[01:22:30.420 --> 01:22:32.100]  talk show
[01:22:32.100 --> 01:22:33.160]  squarespace.com
[01:22:33.160 --> 01:22:34.600]  talk show
[01:22:34.600 --> 01:22:40.680]  When you decide to pay use that code talk show and you will save 10 off your first purchase
[01:22:41.400 --> 01:22:47.080]  And that includes you can pay for a year in advance so you can save 10 on an entire year by using that code
[01:22:47.400 --> 01:22:49.400]  talk show at squarespace.com
[01:22:49.560 --> 01:22:50.840]  slash
[01:22:50.840 --> 01:22:52.840]  talk show
[01:22:53.320 --> 01:22:55.320]  I I do think that I you know
[01:22:55.320 --> 01:22:59.080]  So going back to the can I I the camera to me defines the iphone 10s
[01:22:59.080 --> 01:23:05.560]  And in terms of where it is versus the competition and on the android side of the fence and where it is
[01:23:06.360 --> 01:23:07.480]  versus
[01:23:07.480 --> 01:23:14.760]  Previous iphones it it's to me and that I literally wrote my entire review about the camera. I didn't even mention anything else
[01:23:16.120 --> 01:23:17.400]  Yeah, I mean like
[01:23:17.400 --> 01:23:20.120]  We're talking about how fast how much faster the processor is. Yep
[01:23:20.680 --> 01:23:22.920]  You know apple put lisa jackson on stage on a keynote
[01:23:22.920 --> 01:23:27.560]  They're like we want these products to last for a long time and sort of a question. I ask them every year is
[01:23:27.560 --> 01:23:35.160]  Well, hey the gpu and the a11 was 30 percent faster than the gpu and the a10 like is that does that maxed out?
[01:23:35.160 --> 01:23:40.200]  You you're running that thing red hot all the time. I'm like no no I think of that as headroom like that
[01:23:41.000 --> 01:23:44.200]  They're building these processors to last for a long time
[01:23:44.440 --> 01:23:50.760]  Yep, and they're able to put ios 12 on five-year-old devices and make them perform better so that like
[01:23:51.960 --> 01:23:53.960]  just the amount of
[01:23:53.960 --> 01:24:00.680]  Credit apple gets for that I think is out of whack. Like that's one of the best things they do and they're their lead in
[01:24:01.400 --> 01:24:03.400]  smartphone processors
[01:24:03.400 --> 01:24:08.360]  Is so out of control that we I don't think we stopped to like consider it enough, right? Yeah
[01:24:09.160 --> 01:24:10.440]  so
[01:24:10.440 --> 01:24:16.760]  It's are you gonna notice a difference between did you notice that 10s outside of like an ar demo that uses neural engine?
[01:24:17.240 --> 01:24:19.960]  Did you notice it's much faster than the 10? Nope?
[01:24:19.960 --> 01:24:23.400]  Right. It's like the 10 is great. No, so what is the true?
[01:24:24.360 --> 01:24:31.320]  Did you notice it has gigabit lte like no because I I try I I did some speed tests and apparently there is no gigabit
[01:24:31.720 --> 01:24:37.160]  Lte or at least on verizon here in philadelphia, so I don't know where I have to go to try it but because I asked
[01:24:38.040 --> 01:24:44.600]  I asked because the one one of the it's it's so minor and I don't mind but the one thing one of the things that I
[01:24:44.600 --> 01:24:51.660]  Dislike about the 10s compared to the 10 is that the antenna bands on the stainless steel frame are asymmetrical
[01:24:52.360 --> 01:24:58.120]  Whereas the 10 was perfectly symmetrical and it really the part that really bothers me aren't the antenna lines
[01:24:58.120 --> 01:25:03.560]  It's the speaker grills on the bottom of the phone where there's only three holes on the left and six holes on the right
[01:25:03.640 --> 01:25:09.480]  As opposed to six and six like it was before and it's because there's no room for the extra holes
[01:25:09.480 --> 01:25:17.720]  because of the the new speaker line or antenna line and I asked and I thought maybe that was about the dual sim thing that
[01:25:17.720 --> 01:25:21.800]  they had to have different antennas for the two sims, but they said no it was all about this thing about the
[01:25:22.520 --> 01:25:24.520]  It's the gigabit lte
[01:25:25.080 --> 01:25:29.400]  So that's great. I would love to have gigabit lte verizon. Please roll it out in philadelphia
[01:25:29.400 --> 01:25:33.800]  but apparently it's not here yet because I don't I didn't get any better lte per and
[01:25:34.440 --> 01:25:38.120]  Verizon is very good in philadelphia. I get very good at it. I get very good at it
[01:25:38.120 --> 01:25:43.000]  Very good in philadelphia. I get very good lte service, but it's not better than the iphone 10
[01:25:44.120 --> 01:25:47.960]  Um, this is totally tangential, but there's there's just like growing
[01:25:49.480 --> 01:25:55.640]  Like discontent in sort of the wireless policy world that there are actually no good maps of coverage
[01:25:56.280 --> 01:26:00.200]  In the united states, I believe everyone is lying. So like
[01:26:01.300 --> 01:26:06.440]  Policymakers can't be like hey, we need to like spend more money in kansas to put more coverage here, right?
[01:26:06.440 --> 01:26:08.440]  Because they don't actually know
[01:26:08.680 --> 01:26:10.040]  um and like
[01:26:10.040 --> 01:26:15.240]  You can I just googled where is gigabit lte and like no, no, I did the same thing
[01:26:15.240 --> 01:26:19.480]  I was like I I did a speed test to see if it was here and it wasn't and I was like
[01:26:19.480 --> 01:26:24.840]  Well, is there anywhere nearby where I can test it and I was like there's like nothing that nobody knows. It's all you know
[01:26:25.800 --> 01:26:28.060]  Yeah, but it's that stuff like these are incremental
[01:26:29.160 --> 01:26:30.920]  The phone will last longer five years from now
[01:26:30.920 --> 01:26:34.840]  Maybe verizon will have gigabit lte and philly and your phone will be better but compared to the 10
[01:26:34.840 --> 01:26:39.080]  It's the same and like so yeah, it's down to that camera. Yeah
[01:26:39.320 --> 01:26:45.640]  Um, did you notice the photos taken on the camera have 60 greater dynamic range on the 10s screen?
[01:26:46.360 --> 01:26:51.080]  No, like people ask me about it. Like I don't I don't i'm a picky asshole with this shit
[01:26:51.400 --> 01:26:54.360]  I can't see it. I I don't see that either. Well and
[01:26:56.200 --> 01:27:02.760]  It brings me to to me the the the elephant in the room of this whole thing is the iphone 10r
[01:27:02.760 --> 01:27:06.520]  Yeah, and I you know, they don't apple
[01:27:07.720 --> 01:27:09.720]  in my personal experience
[01:27:10.040 --> 01:27:12.040]  apple never seeds
[01:27:12.200 --> 01:27:14.200]  review units
[01:27:14.360 --> 01:27:21.560]  More than like 10 days before they ship that's just everything i've ever gotten from them is always i've never gotten anything further in advance
[01:27:21.560 --> 01:27:23.160]  so for example
[01:27:23.160 --> 01:27:25.480]  famously last year when the
[01:27:25.480 --> 01:27:32.460]  The flagship one the iphone 10 was the one that was delayed and wasn't going to ship immediately after the event in september
[01:27:33.020 --> 01:27:37.580]  Everybody, you know, we got the iphone 8 to review and everybody's like what I don't want the iphone
[01:27:37.580 --> 01:27:40.700]  I don't want the iphone. I want the 10 i'm so excited for the 10
[01:27:40.780 --> 01:27:44.300]  Why are you giving me this thing that i'm not excited about, you know
[01:27:44.860 --> 01:27:45.660]  um
[01:27:45.660 --> 01:27:49.980]  And you know to my knowledge and i'm i'd be shocked if anybody has one
[01:27:49.980 --> 01:27:56.940]  nobody has an iphone 10r review unit and the reviews i'm guessing will will happen exactly on the same schedule like if you
[01:27:57.580 --> 01:27:59.580]  You know, i'm guessing we'll get them
[01:28:00.140 --> 01:28:03.500]  I think it ships on the 26th and pre-orders of the 19th
[01:28:04.220 --> 01:28:10.220]  In october, so i'm guessing that anybody who gets a iphone 10r review unit will get it before
[01:28:10.780 --> 01:28:14.540]  Sometime early in the week of the night, you know that the friday ends on the 19th
[01:28:14.540 --> 01:28:21.740]  So probably like I don't know monday or tuesday of that week will get review units and the embargo will be three or four days
[01:28:21.900 --> 01:28:26.540]  Before they ship on the 26th because that's just their schedule is almost in stone
[01:28:27.100 --> 01:28:28.940]  Yeah, um
[01:28:28.940 --> 01:28:34.380]  But so all that said my experience with the iphone 10r is at the event
[01:28:35.020 --> 01:28:40.060]  In the hands-on area afterwards and then in a in a brief brief, you know
[01:28:40.700 --> 01:28:43.580]  Off the record briefing afterwards. I got to play with one, uh
[01:28:43.580 --> 01:28:44.780]  backstage
[01:28:44.780 --> 01:28:46.780]  or or behind the scenes, um
[01:28:47.340 --> 01:28:50.620]  I haven't so I haven't seen one since and I didn't get a lot of side-by-side time
[01:28:50.620 --> 01:28:56.140]  But I have to say from my eyes and I you know, my eyes i'm 45 my eyes are declining
[01:28:56.620 --> 01:29:01.500]  I don't really see the difference between the two displays side by side. They they both look great to me
[01:29:01.500 --> 01:29:06.540]  I I know that with darks I I can see it like you're watching a video or something with dark stuff
[01:29:06.540 --> 01:29:09.020]  I can see the oled advantages when it's dark
[01:29:09.340 --> 01:29:12.140]  But when the screen is like lit up and you're just like looking at mail
[01:29:12.140 --> 01:29:15.420]  I don't the 10r screen looks fantastic to me and like
[01:29:15.820 --> 01:29:20.460]  I did a thing where I like held them side by side and just looked at the home screen and like look at all the
[01:29:20.460 --> 01:29:28.620]  Icon colors and the the 10r looks fabulous. I mean, I know it's a lesser screen, but it's a really good screen and it's 250 bucks
[01:29:28.620 --> 01:29:31.500]  Less yeah, I think lesser is a really interesting
[01:29:32.300 --> 01:29:38.060]  Frame for that right like it lcd's are way better on some metrics than oled
[01:29:38.060 --> 01:29:42.220]  Right and oled is way better on some metrics than others. So for years
[01:29:42.460 --> 01:29:47.820]  I would publish iphone reviews of the lcd models of the eight plus or the seven or whatever
[01:29:48.140 --> 01:29:50.540]  And I would say the iphone has the best display in the market
[01:29:51.100 --> 01:29:55.580]  Right, right and all the android fanboys in the world would like scream at me that like
[01:29:56.140 --> 01:30:01.580]  Samsung's oleds if you look at them long enough or so bright, they'll like burn your eyes out the back yourself. Um
[01:30:02.300 --> 01:30:05.500]  And so that's true in like the black, you know, like all that stuff is true
[01:30:05.500 --> 01:30:09.660]  But apple has always had their lcd's have always been the most accurate
[01:30:09.660 --> 01:30:15.420]  They've always been the most pleasing to look at they do the best sort of aliasing tricks that anybody does
[01:30:16.060 --> 01:30:18.140]  And so if you remember last year with the 10
[01:30:18.540 --> 01:30:24.940]  The question was can apple make an oled that looks as good as their lcd that isn't as crazy with colors and saturation
[01:30:25.340 --> 01:30:27.340]  I think they accomplished it
[01:30:27.340 --> 01:30:34.060]  So it lesser is like a really interesting. Yeah to me like they're obviously different
[01:30:34.060 --> 01:30:36.060]  right, but
[01:30:36.060 --> 01:30:40.940]  The real questions are I know what apple is doing because it's a smart thing to do
[01:30:41.340 --> 01:30:45.100]  Is they're putting all of their best stuff into the oled so, you know
[01:30:45.100 --> 01:30:51.980]  The razor phone has like 120 hertz refresh lcd the iphone 10r does not right? Yeah
[01:30:52.140 --> 01:30:57.340]  Do I want that do I love promotion on the ipad? Yeah, can the lcd do it, right?
[01:30:57.340 --> 01:31:02.380]  Is there lcd technology in this world that can do it? Yes. Is it in the 10r? No, so it's like an interesting
[01:31:02.380 --> 01:31:07.980]  So it's like an interesting spec comparison like where are they trying to land this screen?
[01:31:08.140 --> 01:31:11.260]  And how does it really work in comparison to the oled?
[01:31:12.460 --> 01:31:17.180]  Side by side that hands on there's no way I could tell the difference. The one thing I got was
[01:31:18.620 --> 01:31:20.620]  I brought a macro lens to the event
[01:31:21.100 --> 01:31:26.860]  And I took a bunch of super close-up photos of the notch and the curved corners because I heard phil shiller say
[01:31:26.860 --> 01:31:32.140]  We're doing really advanced anti-aliasing to make these corners work. And I thought what does that mean?
[01:31:32.540 --> 01:31:33.500]  and
[01:31:33.500 --> 01:31:39.260]  They are the you know, if you look at the iphone 10 notch, that's a totally smooth curve of pixels
[01:31:40.220 --> 01:31:41.900]  the
[01:31:41.900 --> 01:31:48.060]  10r is a there's like a there's like a gradient curve going on there. It's super interesting to me
[01:31:48.060 --> 01:31:51.500]  I'm very curious how that works. Yeah, I am too and
[01:31:51.500 --> 01:31:58.300]  You know and it's you know, we can't go on at length about it because we haven't had the 10r to test but the the basic
[01:31:58.540 --> 01:32:01.820]  thing that i'm hearing from a lot of people who read daring fireball and is
[01:32:02.540 --> 01:32:04.540]  Hey, I don't really use the
[01:32:04.780 --> 01:32:07.660]  2x camera on my plus that much
[01:32:08.140 --> 01:32:11.980]  and so i'm kind of leaning towards just getting the 10r and
[01:32:12.540 --> 01:32:17.660]  Am I missing anything like I it seems like it's just as good and 250 less
[01:32:17.660 --> 01:32:20.780]  $50 less I think they're going to sell a billion of these
[01:32:21.740 --> 01:32:29.500]  Absolutely. I I really really do. I I honestly think that the premium you pay for the 10s versus the 10r
[01:32:29.740 --> 01:32:36.300]  Is really fundamentally just about the second camera lens, which is you know, if you use it
[01:32:36.380 --> 01:32:43.020]  It's significant and that it's just slightly nicer, you know stainless steel is nicer than aluminum. Olad is nicer than
[01:32:43.020 --> 01:32:51.600]  Lcd overall, but it's just a little nicer and if you really think that the 10r is nice enough then you're you're just honestly
[01:32:51.600 --> 01:32:56.640]  You're not missing anything. You're not missing anything apple. It isn't holding anything back
[01:32:56.880 --> 01:33:02.160]  You they want you to buy it if you want it. It's still a 750 phone to start. It's not you know
[01:33:03.360 --> 01:33:09.200]  You know, but but I really do feel like from the twitter and email feedback i've gotten from readers that they're they're they're like
[01:33:09.200 --> 01:33:10.560]  What am I missing?
[01:33:10.560 --> 01:33:16.320]  Yeah, and it's like you're missing nothing. Just go get pre-order the 10r as soon as they start taking pre-orders because you're you're
[01:33:16.720 --> 01:33:18.800]  You know, you've got the right thing going on, you know
[01:33:18.800 --> 01:33:23.520]  There's like the the sort of like verge alumni mafia in the world now like, you know
[01:33:23.520 --> 01:33:25.680]  Joanna wrote she used to be a reviewer at the word
[01:33:25.680 --> 01:33:32.000]  She's at the journal lauren goode is wired and like all of us landed in the same place which made me laugh which was
[01:33:32.640 --> 01:33:36.560]  This phone is great, but wait for us to review the 10r and then we'll tell you what to do
[01:33:36.560 --> 01:33:42.240]  Right, and that wasn't like a yeah, it wasn't court. It was just like very funny because I know how everyone thinks
[01:33:42.800 --> 01:33:44.800]  Uh, we all obviously work together. So
[01:33:45.360 --> 01:33:46.480]  uh
[01:33:46.480 --> 01:33:51.920]  It was just really funny because you know the point of a review for us. I don't know if it's the point for you
[01:33:52.400 --> 01:33:57.200]  um, you you know what daring fireball does is different but the point for me and
[01:33:57.680 --> 01:34:03.840]  For joanna and for lauren and other people who run these big consumer pubs is to help people make purchase decisions
[01:34:03.840 --> 01:34:06.240]  Yes to help people spend money
[01:34:06.480 --> 01:34:09.680]  and so for us all of us landed in the same place, which was
[01:34:10.160 --> 01:34:15.300]  We cannot at this moment help you make this purchase decision because we don't have all the information
[01:34:16.000 --> 01:34:21.600]  And it's I think that that's not bad for apple. It means people are gonna buy iphones, but it does mean
[01:34:22.560 --> 01:34:24.800]  The 10r reviews are gonna be
[01:34:25.520 --> 01:34:30.080]  The scrutiny of that phone I think will be higher than the scrutiny of the 10s. I do too and I
[01:34:30.080 --> 01:34:34.160]  and I it's an interesting flip year over year because
[01:34:34.880 --> 01:34:39.360]  Last year when the 10 first came out and the iphone 8 and 8 plus were great phones
[01:34:39.440 --> 01:34:41.840]  And if there had been no iphone 10 last year
[01:34:42.720 --> 01:34:46.400]  They would have been fine. There would have been definitely some some
[01:34:47.900 --> 01:34:52.080]  Legitimate criticism about the fact that if if there were no iphone 10 a year ago
[01:34:52.240 --> 01:34:58.960]  There would have been some legit criticism that I've apple is behind the curve on getting these edge to edge displays
[01:34:58.960 --> 01:35:01.360]  You know that the the chin and forehead look
[01:35:02.080 --> 01:35:08.340]  You know, they're they're you know behind they're they're clearly behind it's better not to have big chins and foreheads
[01:35:08.960 --> 01:35:14.800]  And the iphone 8 and 8 plus still had the traditional big chin and forehead that would have been legit
[01:35:14.880 --> 01:35:19.520]  But otherwise they were totally credible, you know 2017 phones
[01:35:20.240 --> 01:35:21.680]  um
[01:35:21.680 --> 01:35:25.200]  But given that the 10 existed there was just this huge
[01:35:25.200 --> 01:35:28.800]  Chasm in quality and interest and and you know
[01:35:29.440 --> 01:35:33.520]  Uh between the iphone 8 and 8 plus which were good phones, you know, they're fine
[01:35:34.000 --> 01:35:38.800]  But the 10 was better in so many ways and just looked better in so many ways and was better
[01:35:38.880 --> 01:35:43.040]  whereas this year it is the complete opposite where the the
[01:35:44.160 --> 01:35:47.280]  Again, not in hand yet. So let's wait and see but to me
[01:35:47.280 --> 01:35:54.720]  Me the 10r is the new iphone. It is the one that more people are going to buy the one that more people should buy
[01:35:55.360 --> 01:36:01.280]  And the the 10s is just sort of like a trim level that you're paying 250 for
[01:36:02.400 --> 01:36:04.400]  Yeah, you know, it's like
[01:36:04.560 --> 01:36:06.080]  What's the new product?
[01:36:06.080 --> 01:36:08.080]  Yeah, fundamentally
[01:36:09.200 --> 01:36:12.560]  I'm very what do you make of them not selling the 10 anymore?
[01:36:12.560 --> 01:36:17.840]  Well, I think it's I think it's very obvious. It doesn't fit in the product line and I think it's exactly like
[01:36:18.800 --> 01:36:26.080]  The the fact that when the original iphone was replaced by the 3g that they just dumped the original it was it was you know
[01:36:26.400 --> 01:36:28.480]  Almost like they shipped a prototype, you know
[01:36:29.120 --> 01:36:30.240]  right
[01:36:30.240 --> 01:36:33.680]  And they did the same thing with the iphone 5
[01:36:34.160 --> 01:36:37.760]  Right where so we had the iphone 5 and then when they came out with the 5s
[01:36:37.760 --> 01:36:42.240]  they dumped the 5 and had the 5c which was the phone with the the
[01:36:44.240 --> 01:36:49.920]  The fives internals but a different case and it was because that case was very expensive to make you know
[01:36:49.920 --> 01:36:55.040]  Like the the chamfered edges along the iphone 5 and 5s and the se
[01:36:55.680 --> 01:37:00.960]  It was not cheap to make and you know, the plastic of the 5c was cheaper to make
[01:37:01.920 --> 01:37:06.800]  I think that's exactly what's going on with the iphone 10 and if you think about it, it doesn't fit
[01:37:06.800 --> 01:37:14.000]  Like if given the existence of the 10r and the 10s if they did keep the iphone 10 around and sold just you know
[01:37:14.000 --> 01:37:20.000]  Like a 128 gigabyte version of it. Where does it fit in a product line? Because the camera is so much worse, right?
[01:37:20.000 --> 01:37:27.040]  Did the 10r at 750 dollars is absolutely a better phone than than the year-old iphone 10
[01:37:27.840 --> 01:37:35.040]  Wow, that's a big call. Well, I I guess absolutely is maybe not quite clear because the iphone 10 does have the dual camera system
[01:37:35.040 --> 01:37:41.360]  But the wide angle lens is so much better in the 10r and I to me that outweighs the advantages of the iphone
[01:37:41.360 --> 01:37:43.520]  10's oled versus the 10r's lcd
[01:37:43.680 --> 01:37:50.640]  It's it it it would make for a very confusing product line if they still sold even just one one model of the iphone 10
[01:37:51.200 --> 01:37:57.040]  It just doesn't fit. I think the way to look at it is the 10r has replaced the 10, right? Yes, exactly
[01:37:57.040 --> 01:38:04.560]  And it's overall I think overall it is better it it you know that the the computational photography stuff that they get on the 10
[01:38:04.560 --> 01:38:10.320]  Stuff that they get from this neural engine and and the bigger sensor. I I would I would rather have a 10r than the 10
[01:38:10.720 --> 01:38:12.400]  Even though I don't I don't like the size
[01:38:12.400 --> 01:38:16.960]  The only thing I don't like about the 10r is I think 6.1 is too big as the one and only size
[01:38:17.440 --> 01:38:19.440]  The one of the biggest pieces, you know
[01:38:20.560 --> 01:38:22.480]  one of the biggest pieces of feedback
[01:38:22.480 --> 01:38:25.120]  like after the event not for us, but for like apple was
[01:38:26.160 --> 01:38:29.760]  People on the verge staff and people out in the world being like I just want a small phone
[01:38:29.760 --> 01:38:35.200]  Yeah, I just want that iphone sc size with a with a full like a edge-to-edge display
[01:38:35.840 --> 01:38:40.240]  And I where i've landed is it's the same thing as the photo stuff
[01:38:40.560 --> 01:38:44.000]  There's what you think you want and then there's what you prefer
[01:38:44.000 --> 01:38:48.480]  Yeah, right and it just like it feels like everyone in the world has the data to say
[01:38:49.360 --> 01:38:51.360]  Actually, no one buys the small phone. Yeah
[01:38:51.760 --> 01:38:53.280]  Well, but on the other hand
[01:38:53.280 --> 01:38:59.280]  We do know that the iphone se was actually more popular than apple expected and they were actually it was sold out
[01:38:59.280 --> 01:39:02.240]  Weeks in advance for a lot longer, you know when it first came out
[01:39:02.640 --> 01:39:08.400]  So was that because of the price or was it because of the size, you know, who knows but I I think that there's enough
[01:39:09.280 --> 01:39:12.160]  I feel like we're never going to see an iphone as small as the se again
[01:39:12.480 --> 01:39:18.000]  But I my secret hope and I have absolutely no inside juice on this at all and and the rumors
[01:39:18.320 --> 01:39:21.600]  Probably won't crank up until like january or so if it's true
[01:39:21.840 --> 01:39:25.920]  But the way that last year we only got one size of the iphone 10
[01:39:25.920 --> 01:39:30.000]  This is it one and only because they were like pushing the envelope. This is the one size
[01:39:30.000 --> 01:39:33.520]  We're going to make and now this year we've got two we've got that one and a bigger one
[01:39:33.840 --> 01:39:36.080]  My secret hope is that next year
[01:39:36.720 --> 01:39:40.000]  There's a successor to the 10r. That's smaller
[01:39:40.720 --> 01:39:44.960]  You know and it would be and and also smaller than the iphone
[01:39:46.480 --> 01:39:50.640]  10s you know what I mean the the 5.8 in size it would you know, I mean like so
[01:39:50.640 --> 01:39:58.080]  So the smallest would be in in in my dream world next year the smallest new iphone would be the the 10r
[01:39:58.720 --> 01:40:00.720]  Then that they they would
[01:40:00.960 --> 01:40:02.960]  Call like the 6.1
[01:40:03.920 --> 01:40:09.840]  You know what? I mean these names these names are getting away from them so fast. Oh, it's impossible to talk about I
[01:40:10.480 --> 01:40:12.480]  I I think
[01:40:12.480 --> 01:40:16.080]  I off the top of my head. I've been trying to do it right this whole episode
[01:40:16.080 --> 01:40:21.680]  I think that i've said 10 every time I haven't said x but i've probably said x ago. I don't know but
[01:40:22.720 --> 01:40:26.960]  Everyone's gonna call it the xr. I can get away with 10s for some reason. Yeah, I don't know why but
[01:40:27.680 --> 01:40:32.800]  Xr just sounds cool. Well, i'll tell you this and and I know we got to wrap up. Um, yeah
[01:40:33.920 --> 01:40:35.840]  as a writer
[01:40:35.840 --> 01:40:41.520]  I have to think of it as x because i'm typing an x and my brain i i've i've i'm not going to go on a
[01:40:41.520 --> 01:40:49.200]  rant about roman numerals, but I fucking hate roman numerals and and I really hate roman numerals and and I was so excited
[01:40:49.200 --> 01:40:52.720]  I've said this I have said this on the show a couple of times, but I was so excited
[01:40:53.280 --> 01:40:54.400]  I know you're a football fan, too
[01:40:54.400 --> 01:41:00.320]  I was so excited for super bowl 50 when the nfl switched to five zero instead of using roman numerals
[01:41:00.480 --> 01:41:02.880]  And I thought this is such a great out for them
[01:41:04.160 --> 01:41:09.600]  Here it is. It's 50 and now they'll just use regular numbers and then when they went back to roman numerals for 51
[01:41:09.600 --> 01:41:13.440]  I I like lost my mind. I'm like, oh my god, you had your out
[01:41:14.800 --> 01:41:19.840]  Nobody likes this. This isn't classy. It's just confusing. Nobody knows. Yeah, I I
[01:41:21.040 --> 01:41:23.200]  But when i'm writing so here's the thing
[01:41:23.200 --> 01:41:27.360]  It's just a little bit of inside baseball like when i'm writing I have to think of it as x so
[01:41:27.440 --> 01:41:32.320]  and when i'm writing i'm thinking of it as the xs and the xr because that's what i'm typing but I get my
[01:41:32.800 --> 01:41:37.600]  As and ands wrong if I don't use the iphone if I say faster than a
[01:41:37.600 --> 01:41:38.800]  A
[01:41:38.800 --> 01:41:40.800]  Xs, but that's wrong
[01:41:42.320 --> 01:41:47.120]  Or than an xs, right I would write an xs, but I have to write a
[01:41:47.820 --> 01:41:54.400]  Xs because it's really 10s and so you want a instead of an and so like it was like this little nitpick and
[01:41:55.200 --> 01:41:58.160]  You know, it literally eight in the morning after pulling an all-nighter
[01:41:58.240 --> 01:42:00.800]  I've got I always print my article if it's a long article
[01:42:00.800 --> 01:42:04.160]  I always print put it on paper and take a red pen to it and i've got like
[01:42:04.160 --> 01:42:09.840]  A hundred little a's and ands that are so inconsistent. Oh
[01:42:10.480 --> 01:42:12.480]  They have to switch next year. There's
[01:42:13.040 --> 01:42:16.000]  There's no way they're sticking with roman numerals. They can't
[01:42:16.880 --> 01:42:21.040]  Wait, are you talking about the nfl or no apple apple nfl nfl is a lost cause
[01:42:21.760 --> 01:42:23.520]  If the nfl didn't take that
[01:42:23.520 --> 01:42:29.040]  Super bowl 50 as their chance to change they're never going to I mean their next chance to do it is like super bowl 100
