[00:00.000 --> 00:04.520]  In the old days if if I were gonna have a show it would we would have to be together
[01:50:29.720 --> 01:50:42.720]  And it's, you know, and then somebody else's from the SEO team on your company is like, well, we want this analytics product too. And then all of a sudden, you got two of them, and they add up to 100 megabytes. And it's not it's not even your app.
[01:50:42.720 --> 01:51:00.720]  Apple isn't innocent either, because the iWorks apps are humongous. Oh, huge. And Microsoft, those are some of the worst, the iWorks, all the productivity stuff. Whenever I have Microsoft Word, one of them, and it was like, it was like 600 megabytes. Like what in an app update? What are they doing?
[01:51:00.720 --> 01:51:19.720]  I presume it's all templates, and the image assets to go with the template. I can't imagine what else it would be. Different languages? I don't even know. One of the things I know, obviously, Facebook does, one of the reasons for the bloat is they're always including various A-B tests in their app.
[01:51:19.720 --> 01:51:38.720]  And so they will trigger things based on country, I think based on other things as well, to try to, you know, A-B test various functionality. Back in the TechCrunch days, you know, I used to sort of know where to look and who to ask about sort of unpacking some of that, because you could always find stuff.
[01:51:38.720 --> 01:51:54.720]  I think I found the iPad version of the Facebook app when it was still bundled in before there was an official iPad version, because it was baked into the, you know, the standard iOS version. And so it was right there. And I'm sure they're always doing stuff like that.
[01:51:54.720 --> 01:52:18.720]  I feel like it's getting out of control, though. And part of it is that I noticed it with this, I've noticed it before that, but I noticed it with this week where I didn't have Wi Fi. But I've noticed it before. And it just seems preposterous to me. I mean, like, I'm not saying I mean, we, you know, we were finicky and fussy. But Vesper, I'd looked it was the last version of Vesper, which is still in the App Store is 5.5 megabytes.
[01:52:18.720 --> 01:52:46.720]  Wow. Yeah, that's impressive. A huge chunk of that is that we embedded a custom font. It's if we've used a system font, it would have been even significantly smaller. There's no reason for it. And it's really wasteful. And Facebook, after I mentioned that somebody wrote to me, and I forgot to even mention this, but it's a good point is Facebook updates their app all the time. So multiply the size of the update versus how frequently they have new versions. And it's
[01:52:46.720 --> 01:53:15.720]  Yeah, I mean, they famously say in their update notes, we update the app every two weeks. That's all they say in the update. Right. So they do it every two weeks. And the same with Messenger, Messenger is almost as big, I feel like in that, you know, the Facebook Messenger product, and then Facebook has several other apps that are all sort of roughly in the same situation. And then that an offshoot of all of that reminds me of this was several weeks ago, Twitter actually added something in their settings to basically kill clear the cat.
[01:53:15.720 --> 01:53:36.720]  clear the cache. And when I did that, I had like a gigabyte worth of information in there. Like what on earth, they were caching, I guess, images and gifts or something from like, years and years ago, it was a gigabyte worth of data. Twitter 140 characters.
[01:53:36.720 --> 01:54:05.720]  So in a world where all but the newest devices were still sold in 16 gigabyte configurations, you can you can have a gigabyte of old tweets stored there. I don't know. But I feel like it's it's getting out of control. And I know that in the early years of the App Store, it was a pretty big deal. I think the limit was 100 where you could raise like 100 megabytes was the limit where it had to be on Wi Fi and otherwise you could be on cellular and it was a big deal for developers to stay under 100 because they wanted users to be able to update.
[01:54:05.720 --> 01:54:27.720]  As soon as they could. And if they were on cellular for an extended strike stretch, they wanted them to get the updates. But it seems like they've just blown past that. But it's a serious it adds up to serious bandwidth. So like, I checked like, I think I pay $50 a month for at&t cellular service on my iPad.
[01:54:27.720 --> 01:54:39.720]  And I'm thinking about giving this up when I next get an iPad, but my strategy when I bought it's an iPad mini, and I got it, I don't two or three years ago, probably like three years ago, but that's my personal iPad.
[01:54:39.720 --> 01:54:53.720]  And my strategy was I'm going to have Verizon service on our on the whole family's iPhones, and I'm going to get at&t on my iPad, so that if I'm ever somewhere where Verizon, you know, I got a vacation or something and there's no good Verizon service, I'll have at&t service.
[01:54:53.720 --> 01:55:12.720]  And I pay 5050 bucks for seven gigabytes a month. And I think I think Amy pays like 30 bucks for four gigabytes or five, I don't know. But it's very single digit gigabytes of bandwidth a month. And if you've only got four gigabytes of bandwidth in a month, and app updates are 200 megabytes each.
[01:55:12.720 --> 01:55:28.720]  Like five app updates use up a quarter of your bandwidth, you could easily chew through the four gigabytes. And I don't feel like people know that I think people realize that, hey, if I'm going to stream video, that's going to chew up my bandwidth.
[01:55:28.720 --> 01:55:38.720]  Like if I'm going to watch YouTube for an hour or two, I that's obviously I'm using on cellular, I'm using my bandwidth. If I watch a Major League Baseball game in the MLB app.
[01:55:38.720 --> 01:55:55.720]  I know that I'm using a, you know, significant chunk of my bandwidth, like updating my apps doesn't feel like that should be squandering a huge percentage of my monthly bandwidth. But it is because people have, you know, a lot of people have a pretty low single digit number of gigabytes a month of bandwidth to use.
[01:55:55.720 --> 01:56:12.720]  Yeah, I mean, I had the exact same situation when I was last moving. Same thing, we were using sort of a tethered device, I think it was a Mifi unit that I just gotten and hooked up to our AT&T account. And not even explicitly, but I just either forgot, or I have too many devices to even remember every single one of them.
[01:56:12.720 --> 01:56:22.720]  But I would just leave it on. If I left it on at night, we would always have to turn it off. Because if I left it on, they would auto update. Because you know, it considers it to be Wi Fi, because I'm connected to a Mifi unit, right.
[01:56:22.720 --> 01:56:36.720]  And so it would auto update. And then I'd look at the bill, and we would blow past our whatever, like 20 gigs in like four days. There's almost all for map updates. We weren't watching video. It was like, it was crazy.
[01:56:36.720 --> 01:56:49.720]  Marco has a funny story about that from years ago, he was at WWDC. And he was tethering, you know, in the era of relatively low gigabytes per month, and he was tethering and he wanted to set up so he could publish a podcast that they recorded.
[01:56:49.720 --> 01:57:00.720]  And he left, he left his, he went to bed and he left his MacBook open and it downloaded and iTunes downloaded a new episode of Mad Men in HD. It cost him like $70.
[01:57:00.720 --> 01:57:06.720]  He got like a single episode of his show, you subscribe to it, it was like a $70 overage fee or something.
[01:57:06.720 --> 01:57:07.720]  That's funny.
[01:57:07.720 --> 01:57:22.720]  Anyway, no, that's a good topic. I don't know what's going on. But I feel like Apple's got to get on top of this because I don't feel like we're just crazy old men who are, you know, get off my lawn with your big ass apps. There's no reason for these apps to be so big. There's absolutely no reason for it.
[01:57:22.720 --> 01:57:39.720]  It reminds me, well, two things it reminds me of, because one, it reminds me of back when, you know, they tried to launch magazines on the iPad, right? And like, they were massive, because they were just pictures of pages, right? They would like scan in a picture of Wired magazine, and that would be the app.
[01:57:39.720 --> 01:57:56.720]  And so they were each individual article episode, each individual issue was like 700 to 800 megabytes. And it was just so ridiculous and so tedious to download. They seem to have streamlined that a little bit. Obviously, there's less of an emphasis on it these days.
[01:57:56.720 --> 01:58:01.720]  But I noticed they just down, they're downloading faster. So I assume that they're smaller.
[01:58:01.720 --> 01:58:07.720]  The one other thing is, this actually came out a couple weeks ago, I think.
[01:58:07.720 --> 01:58:28.720]  So Twitter now, one of the things Twitter launched recently was Twitter Lite, L-I-T-E. It's like the Lite version of their service because of this problem, right? Like in developing countries, they can't possibly download, you know, 250 megabyte apps or have your Twitter app store a gigabyte worth of data.
[01:58:28.720 --> 01:58:44.720]  And so they ended up launching, it's just on the web. And it's the same thing Facebook did back in the day. This was several years ago, they launched a Facebook Lite. And like, when they launched these things, like, you know, everyone seems to praise them for it, because it's like, wow, it's so great. It's so fast.
[01:58:44.720 --> 01:58:59.720]  I remember I wanted, I would try to use Facebook Lite as my main thing, even though it was meant for sort of third world countries. So they're all like, they have these funny ways around it, because they know that that situation is just completely untenable, certainly outside of the United States.
[01:58:59.720 --> 01:59:03.720]  And so they have like whole teams now devoted to launching Lite versions of their product.
[01:59:03.720 --> 01:59:26.720]  I don't know what the solution is, but something's got to be done because it's getting out of hand and it's only getting worse. I just can't help but feel too that when I read that technical analysis of the Facebook app bundle and how many duplicate resources and frameworks they have, like the project, the Xcode project to build it must be like a total like mess of spaghetti logic.
[01:59:26.720 --> 01:59:33.720]  Yeah, there's just no way that you get in that situation. There's no good, there's no good explanation behind that.
[01:59:33.720 --> 01:59:45.720]  Well, and the problem also, I assume, you know, unlike sort of like, like you with Vesper, where, you know, you have a very small team working on it, you know, Facebook presumably has hundreds, if not more people working on all of these things.
[01:59:45.720 --> 01:59:51.720]  And so you can say, like, just, you know, streamline some of it. But it's like, whose job is that? You need like an overseer of the code.
[01:59:51.720 --> 02:00:11.720]  I guess I mean, I guess I can see how it happened. But it's still not a good explanation where if the people who are working on their Snapchat clone need, they need to depend to build it, they need a copy of the Facebook, you know, framework that everybody uses this framework with our core shared code.
[02:00:11.720 --> 02:00:24.720]  But the other teams need the same thing, but they can't depend on where that is. And that's all of a sudden how you have three copies of the same framework, because team A needed it, team B needed it. And, you know, all of a sudden,
[02:00:24.720 --> 02:00:30.720]  I also really liked his, his note about like, you know, finding the strings that were like, you will be fired if you include if you turn this on.
[02:00:30.720 --> 02:00:35.720]  Right, or if you use this API. That was funny, too.
[02:00:35.720 --> 02:00:42.720]  And, you know, my joke back to you about the Dropbox one was like, well, yeah, of course, because they're including the Dropbox stories into it.
[02:00:42.720 --> 02:00:56.720]  But I think someone else had an even funnier one, I thought, which is like for the Facebook ones where it's like, well, yeah, of course, they're that big. I mean, they had to shove all of Snapchat into the app. So what else are you gonna do?
[02:00:56.720 --> 02:01:08.720]  I'm looking here anything I do want to talk about clips a little bit or, or we can I don't I don't have to I've played with it a little bit. I found it confusing when I was first using it, but I only have played with it for a few minutes.
[02:01:08.720 --> 02:01:21.720]  It sounds like, you know, you, you did the sit down sort of a walkthrough with Apple about it. What's from, from your view, what's their, what's their mentality? I know you said something like, you know, obviously, they didn't launch a social network.
[02:01:21.720 --> 02:01:29.720]  It's just meant for other networks, right? But why why do it? Is it a reason to buy the iPhone? Like, what's what's the rationale?
[02:01:29.720 --> 02:01:42.720]  I think the rationale is that they see these things as an I don't think we collectively have a name for it yet. But that it's a new medium. It's not quite a video. It's not quite an animated gift.
[02:01:42.720 --> 02:01:55.720]  It's sort of, but it's it's got all these ideas where you can use text to annotate, you can include multiple clips. So it's not just one shot of video, you can include stills.
[02:01:55.720 --> 02:02:10.720]  It's meant to be viewed on a phone. And you can do it with minimal fuss and that it's right up their alley to make it's like the social networks are how they get distributed, right? Instagram and Snapchat and Facebook, of course.
[02:02:10.720 --> 02:02:19.720]  But that the tools to actually make the best possible version of this is exactly in Apple's wheelhouse of the sort of things that they do well.
[02:02:19.720 --> 02:02:31.720]  And I still stand by I'm very proud of it as a tweet length review that it's like iMovie and keynote had a baby and the baby got the best genes from both parents. Like I really do believe that.
[02:02:31.720 --> 02:02:45.720]  I have a couple of small complaints about it. But one thing that they do that's very smart, and I think it's why the bundle size is so small, is that all that they have all these like titles and certainly music soundtracks.
[02:02:45.720 --> 02:02:52.720]  They're not included in the download. And so when you start using the app fresh, if you want to get these soundtracks, you have to download them.
[02:02:52.720 --> 02:02:56.720]  Okay, that's good. Maybe that's what like Facebook and others should learn.
[02:02:56.720 --> 02:03:06.720]  I think it's a great idea. I think it's so you can start using the app with a minimal download and just download. And so if you are on cellular or slow network, you can just download the ones you really want.
[02:03:06.720 --> 02:03:18.720]  My only beef about it is I do wish there was a download all button. Like in iTunes, you can do that. So like if you're using the iTunes music library, you can have a music album that's in the cloud.
[02:03:18.720 --> 02:03:26.720]  And if you just want one song, you can download it. But if you want to download the whole album, you can download the whole album without clicking 11 times to download.
[02:03:26.720 --> 02:03:31.720]  I feel like Eclipse should have that for the title styles and for the music soundtrack.
[02:03:31.720 --> 02:03:39.720]  Why do you think, though, that they launched it when they did? Why not make it a feature of iOS 11? Why do it as a fully standalone thing?
[02:03:39.720 --> 02:03:51.720]  That's a good question. I guess because it's ready and they feel like why not? That's my guess. And that, you know, maybe that they, you know, they see this as an exploding form.
[02:03:51.720 --> 02:03:59.720]  You know, these sort of stories based meme style mini videos.
[02:03:59.720 --> 02:04:09.720]  You know, one of the other things, too, that I think is central to it is that being silent is part of, you know, you can include sound. You can include including those music soundtracks.
[02:04:09.720 --> 02:04:15.720]  But the fact that a lot of people are going to listen to them in silence is part of the idea.
[02:04:15.720 --> 02:04:25.720]  And it's part of why they spent so much effort on this annotated text that gets the text as you as you, you know, as you dictate it.
[02:04:25.720 --> 02:04:39.720]  I feel like that they see this is this is my guess is that they see this art form is exploding and that it makes sense to get it out sooner rather than later, because iOS 11 isn't going to ship until September if they're on schedule.
[02:04:39.720 --> 02:04:48.720]  So it's right. So if they're ready to go now in early April, and I think it is I think the app is certainly certainly in 1.0 shape. It's very good 1.0 shape.
[02:04:48.720 --> 02:04:58.720]  I feel like they don't want to wait, you know, maybe maybe do less as big monolithic OS updates and keep doing more as individual app updates.
[02:04:58.720 --> 02:05:09.720]  Do you buy anything into the notion of this being sort of a toe dip into augmented reality? Because obviously we see that we see both Microsoft, Google and a handful of others sort of launched some of these things.
[02:05:09.720 --> 02:05:18.720]  Microsoft just launched one thing called like sprinkles the other day, which is, you know, effectively using some of their machine learning technology to sort of alter images.
[02:05:18.720 --> 02:05:23.720]  Google just launched that thing where you can doodle and it will look up, you know, try to match it to a picture.
[02:05:23.720 --> 02:05:30.720]  So all of these guys are clearly doing that as both experimentation, but also to sort of train data right to be better at that.
[02:05:30.720 --> 02:05:40.720]  Do you buy Apple trying to do that? Anything with it for augmented reality? A little bit, because I feel like you have to call the face recognition as augmented reality, right?
[02:05:40.720 --> 02:05:47.720]  I mean, maybe it's not augmenting it, but it certainly is. It's reality aware. Is that a better way to say it?
[02:05:47.720 --> 02:05:56.720]  You know, where if you shoot a clip and it has three of your friends in it and the facial recognition is able to identify them and the fact that when you go to share it,
[02:05:56.720 --> 02:06:07.720]  they're the first three people that suggest sharing it to, it's not quite augmented reality in the sense of, okay, here's goggles that show you the real world and overlay things.
[02:06:07.720 --> 02:06:09.720]  But it is machine learning for sure.
[02:06:09.720 --> 02:06:19.720]  It is. And it is the device in your hand is making is aware of the real world. It is saying, I know that I'm shooting. That's a picture of your son.
[02:06:19.720 --> 02:06:30.720]  You know, I know that. You know, I almost feel like augmented reality is a term that's not going to pan out.
[02:06:30.720 --> 02:06:37.720]  I feel like it's more just devices being reality aware.
[02:06:37.720 --> 02:06:49.720]  Yeah. And I think like, I don't disagree with that because I do think, you know, sort of everyone assumed augmented reality would be sort of like what the Magic Leap videos are, right?
[02:06:49.720 --> 02:06:55.720]  Where it's like you're looking out and you have glasses on or something and then a whale jumps out of the street.
[02:06:55.720 --> 02:07:07.720]  But what we're seeing is like the mainstream usage, at least right now, of course, of what you would call quote unquote augmented reality is more along lines of Snapchat filters and Pokemon Go, right?
[02:07:07.720 --> 02:07:15.720]  Where they're just different. There's there's nuance to how they're they're not quite not quite like that.
[02:07:15.720 --> 02:07:26.720]  Pokemon goes a little bit more like that, but Snapchat's more just what you were talking about, sort of, you know, being able to to recognize a face and do manipulation of that.
[02:07:26.720 --> 02:07:33.720]  And if you think about it with a little bit of battery, you could like why?
[02:07:33.720 --> 02:07:39.720]  Why can't your iPhone be as aware of where it is as as you are?
[02:07:39.720 --> 02:07:49.720]  There's I think it's I don't think we're very far from this at all. And I mean this in the sense of beyond GPS like GPS is is certainly one aspect of knowing where it is.
[02:07:49.720 --> 02:08:01.720]  But like when I'm walking down Broad Street in Philadelphia, like if you had me blindfolded until the moment and then you open my eyes,
[02:08:01.720 --> 02:08:08.720]  it's only going to take me an instant or two to realize, you know, where I am on Broad Street in Philadelphia because I'm very familiar with it.
[02:08:08.720 --> 02:08:13.720]  Well, if I have my phone in my hand, why can't the phone use the camera very briefly and just take a quick look?
[02:08:13.720 --> 02:08:18.720]  A quick, quick peek and instantly realize, oh, I know exactly where I am.
[02:08:18.720 --> 02:08:24.720]  I'm at Broad and Spruce in Philadelphia because I recognize this instantly the way that a human can.
[02:08:24.720 --> 02:08:31.720]  And and Merlin Mann and I talked about this recently on the show, but we can't go in depth on these voice assistants.
[02:08:31.720 --> 02:08:41.720]  But like things like this is very good in a lot of ways. But why can't devices like recognize every voice in the family?
[02:08:41.720 --> 02:08:45.720]  It seems to me like we're very going to be very close to that because a human being certainly could.
[02:08:45.720 --> 02:08:55.720]  If we had a human being in our kitchen, the human being would know instantly whether it was me or my wife or my son who is asking for the weather.
[02:08:55.720 --> 02:08:59.720]  And now it doesn't matter. Maybe if the question is, what's the weather like? It doesn't matter who it is.
[02:08:59.720 --> 02:09:04.720]  But if it's what's on my agenda, they should certainly not. Oh, yeah, we will.
[02:09:04.720 --> 02:09:07.720]  That will absolutely happen. I would say that happens in short order.
[02:09:07.720 --> 02:09:11.720]  And you start thinking about these things. And I think about like, oh, how would you program something?
[02:09:11.720 --> 02:09:15.720]  How would you think about making a computer that does this? And you think about what our ears can do.
[02:09:15.720 --> 02:09:20.720]  And it's like when you're familiar with your with your house or whatever, it's not just that you know who's talking to you,
[02:09:20.720 --> 02:09:23.720]  but you can basically tell where they're talking to you from.
[02:09:23.720 --> 02:09:29.720]  Like if somebody's upstairs from you and they're yelling, MG, you know, can you blah, blah, blah.
[02:09:29.720 --> 02:09:33.720]  You know that they're upstairs. You can hear it. Your ears pick up that location.
[02:09:33.720 --> 02:09:39.720]  And like, why can't these devices know that? Right. Context awareness.
[02:09:39.720 --> 02:09:46.720]  And yeah, I mean, but look at like Apple still does the thing right where you have to sort of train quote unquote Siri when you start.
[02:09:46.720 --> 02:09:51.720]  Right. You have to say like, hey, Siri. And so it'll only illuminate with your voice.
[02:09:51.720 --> 02:10:00.720]  That's still right. Right. Yeah. Well, it's supposedly, but it's it's not it's not very accurate, in my opinion, in terms of locking people out.
[02:10:00.720 --> 02:10:04.720]  Like, in fact, I think my wife just used Siri on my phone.
[02:10:04.720 --> 02:10:09.720]  I'm not sure if she pressed the button or not, though. And if that's the case, that's sort of weird that they even make you do that.
[02:10:09.720 --> 02:10:16.720]  If it's just not, you know, because obviously like you don't sort of voice train.
[02:10:16.720 --> 02:10:23.720]  And I don't think the Google one either right now. I just triggered.
[02:10:23.720 --> 02:10:30.720]  We'll have to beep it. Yeah. It's so hard to talk about these things on a podcast.
[02:10:30.720 --> 02:10:34.720]  You saw that thing that just like that news broke. I didn't read the full story about it.
[02:10:34.720 --> 02:10:40.720]  But I saw that someone Burger King's trying to do a commercial that triggers the Google home.
[02:10:40.720 --> 02:10:52.720]  Oh, really? I did not see that. And I think I saw that Google is already going to block that because that's a whole can of worms, obviously.
[02:10:52.720 --> 02:10:58.720]  That's a bad idea. But anyway, I feel like there's a lot to go in that direction.
[02:10:58.720 --> 02:11:03.720]  I still feel like one of the main areas where Apple is, I think it's just that they just didn't have it ready.
[02:11:03.720 --> 02:11:08.720]  But the way that they don't share the facial recognition data between your different devices is a huge hole.
[02:11:08.720 --> 02:11:14.720]  And I think that they will. And I think that their whole explanation last year that it was about privacy was just right.
[02:11:14.720 --> 02:11:20.720]  It wasn't that it wasn't like we believe so much in privacy that we're not going to share this between your devices.
[02:11:20.720 --> 02:11:28.720]  I think that the reading between the lines, the answer is we believe in privacy and we don't have a private way to share it between your devices yet.
[02:11:28.720 --> 02:11:33.720]  And so we're not going to do it. We're not going to do it in a way that we're not satisfied with the privacy until we have it ready.
[02:11:33.720 --> 02:11:44.720]  But I think it's inevitable that they will. Right. And they made a bunch. I can't remember the exact name or word differential technology, differential privacy.
[02:11:44.720 --> 02:11:49.720]  Sharing personal information, differential privacy is is about fully anonymized.
[02:11:49.720 --> 02:11:59.720]  But like real private, you know, like they're they they do share stuff between their devices, like in the same way that you can get end to end encrypted iMessages on multiple devices.
[02:11:59.720 --> 02:12:05.720]  It's not like they don't believe in in non duplicating private information between your devices.
[02:12:05.720 --> 02:12:11.720]  It's just that they're for whatever reason, the photo face ID stuff wasn't it wasn't technically ready. That's my belief.
[02:12:11.720 --> 02:12:17.720]  It's not that they're never not going to do it. But for something like Clips, it would really help.
[02:12:17.720 --> 02:12:28.720]  And we'll see. I mean, my guess is that their stance, you know, just maybe doesn't fully change over time because, you know, they've obviously they've taken the privacy stance.
[02:12:28.720 --> 02:12:33.720]  Like you mentioned, but like the implications of that were that they were going to try to do as much on the device as possible.
[02:12:33.720 --> 02:12:36.720]  And I think, you know, that's fine and good and we'll see what they can do with that.
[02:12:36.720 --> 02:12:46.720]  But I would imagine that if they really need to get in the game for all of these things that we're talking about in a big way, they are going to have to start doing a lot in the cloud.
[02:12:46.720 --> 02:12:57.720]  And so then, yeah, it becomes like a question of how they do it, whether it's a differential privacy or if they're they come up with other new technologies to so that they feel OK with the privacy sort of thing.
[02:12:57.720 --> 02:13:02.720]  The privacy sort of tradeoffs. But there's always going to be tradeoffs. All right. We've gone on pretty long.
[02:13:02.720 --> 02:13:07.720]  Do you want to spend five minutes on Netflix and Amazon or do you want to do you want to wrap it up?
[02:13:07.720 --> 02:13:12.720]  The problem is, I think that that's just such a such a long. I say we save it for the next time you're on the show.
[02:13:12.720 --> 02:13:16.720]  OK, let's see. I feel like I feel like like doing it quick wouldn't do it justice.
[02:13:16.720 --> 02:13:22.720]  And I feel yes, I and both of them are so active in this regard that there's going to be new stuff to talk about soon.
[02:13:22.720 --> 02:13:28.720]  But anyway, I'm with you that I feel like they're both super fascinating. Yes.
[02:13:28.720 --> 02:13:33.720]  What's your favorite Netflix show? We really liked The Queen.
[02:13:33.720 --> 02:13:37.720]  I didn't see that. You should see it. It's good. It was the one that's the most expensive one.
[02:13:37.720 --> 02:13:42.720]  I think I think they said it's more expensive than Game of Thrones to me.
[02:13:42.720 --> 02:13:48.720]  Yeah. Because of the costumes and it's you know, it's obviously a full period piece.
[02:13:48.720 --> 02:13:54.720]  And yes, so it's supposedly the most expensive. I don't know if it's the most expensive show ever, but it's, you know, ahead of Game of Thrones.
[02:13:54.720 --> 02:14:00.720]  So it's got to be up there. And that was really well done on Amazon.
[02:14:00.720 --> 02:14:05.720]  Right now, we're watching The Man in the High Castle, which I like. It was a little slow to get really starting to really like.
[02:14:05.720 --> 02:14:17.720]  Oh, I almost gave up on it. I almost gave up. Yeah. Same, same. My favorite thing that either of them are doing is Netflix's incredible all in focus on comedy specials.
[02:14:17.720 --> 02:14:23.720]  The Dave Chappelle ones are two of the best comedy specials I've seen in memory.
[02:14:23.720 --> 02:14:28.720]  And they released them both at the same time. They were both amazing.
[02:14:28.720 --> 02:14:33.720]  And it's I like comedy specials in general, but my wife does, too.
[02:14:33.720 --> 02:14:40.720]  And so it's like this perfect sweet spot of, oh, my God, every single time one of these comes out, we've got something we're both looking forward to watching together.
[02:14:40.720 --> 02:14:45.720]  And they just keep coming out. It's Dave Chappelle and Amy Schumer.
[02:14:45.720 --> 02:14:52.720]  And now I just saw that there's a Louis C.K. one. It's almost like they're coming out with with them faster than we can watch, which is amazing.
[02:14:52.720 --> 02:14:57.720]  And so I'm surprised that like because this is like what HBO used to do back in the day.
[02:14:57.720 --> 02:15:01.720]  Right. HBO would have all the comedy specials, I guess, in the 90s.
[02:15:01.720 --> 02:15:10.720]  And I'm sort of surprised because it is such a relatively, you know, cheap versus, you know, doing a full production of a television show or something.
[02:15:10.720 --> 02:15:16.720]  It's like Avenue to Go Down. They just give a ton of money to the comedian, you know, like 20 million dollars.
[02:15:16.720 --> 02:15:20.720]  I think Chappelle got 20 million. I forget something like that. But it's you know.
[02:15:20.720 --> 02:15:24.720]  I know that Will Seinfeld got I think it's a hundred million for his show.
[02:15:24.720 --> 02:15:28.720]  You know, the comedians getting coffee with comedians or whatever in cars.
[02:15:28.720 --> 02:15:32.720]  Is that moving networks? Is that moving? Yes, it's moving over to Netflix.
[02:15:32.720 --> 02:15:37.720]  And so they bid up the rights. Yeah. Oh, man. Oh, man.
[02:15:37.720 --> 02:15:43.720]  That's brilliant. That's absolutely brilliant, because I feel like he would be doing the same thing whether it was televised or not.
[02:15:43.720 --> 02:15:47.720]  So he's getting a hundred million dollars to. Oh, yeah. I mean, he says that.
[02:15:47.720 --> 02:15:51.720]  I mean, because it was on like Crackle or whatever. And like he was just like, yeah, he just had this crazy idea.
[02:15:51.720 --> 02:15:55.720]  And someone said, we'll put up the cost. OK, great.
[02:15:55.720 --> 02:15:59.720]  But here's the thing. And again, we won't go too deep on it.
[02:15:59.720 --> 02:16:04.720]  But I remember as a kid growing up, all the great comedy specials were on HBO and I didn't really think about it.
[02:16:04.720 --> 02:16:11.720]  But I assumed it was I only thought about it from the perspective of commercial interruptions would wreck it.
[02:16:11.720 --> 02:16:18.720]  You can't interrupt the whole point of a great stand up routine is that it's it builds continuously.
[02:16:18.720 --> 02:16:28.720]  And there's never a good point for commercial break and be almost all of them have material that would be inappropriate for major networks.
[02:16:28.720 --> 02:16:34.720]  And so, of course, HBO is the natural home because they can put R rated content up and they have no commercial breaks.
[02:16:34.720 --> 02:16:45.720]  And so that's why it's on HBO. What never occurred to me until Netflix has suddenly gotten become the dominant force in standup comedy specials is that they're evergreen.
[02:16:45.720 --> 02:16:53.720]  That they can show like the Dave Chappelle 2017 comedy special is something that people were going to watch five, six years from now, like six, seven years from now.
[02:16:53.720 --> 02:17:01.720]  Some kid is going to all of a sudden discover Dave Chappelle and the Dave Chappelle comedy specials that are exclusive to Netflix is good.
[02:17:01.720 --> 02:17:05.720]  They're going to watch them back to back to back to back. Right. It's evergreen.
[02:17:05.720 --> 02:17:10.720]  And it's right. Exactly. It's the perfect type of content for what Netflix and Amazon are doing.
[02:17:10.720 --> 02:17:16.720]  Because like in the HBO days, like we were talking about, there was no concept of on demand. You had to watch it when it was on.
[02:17:16.720 --> 02:17:24.720]  Now, now we live in an on demand world and you need if you want to have some sort of differentiation of content.
[02:17:24.720 --> 02:17:32.720]  I mean, it's hard to beat, but I can see now how in hindsight that was part of HBO strategy back in the day is that HBO could show their Eddie Murphy comedy special a year later.
[02:17:32.720 --> 02:17:42.720]  They could just put it and they could put it on at five in the morning and somebody would be up and be like, oh, Eddie Murphy, I'll watch that, you know, that it would fill up space and that it would never really.
[02:17:42.720 --> 02:17:48.720]  You know, that it was as close to evergreen as you could get for exclusive content.
[02:17:48.720 --> 02:18:01.720]  Yeah, the one things that aren't doing that well, it seems like are and maybe you have a better example, but like so the talk shows that have moved over, like the actual like sort of late night things like there was the Chelsea, Chelsea, right.
[02:18:01.720 --> 02:18:08.720]  Which I don't think was I don't even know if it's still on. It might be, but I don't think that's like a weird format for Netflix.
[02:18:08.720 --> 02:18:35.720]  Right. Do you agree? Like it's, um, yeah, I, I watched it a few times and I, as a talk show aficionado, uh, I do, I liked it and I thought, you know, and, and there's this whole, you know, meta discussion for years now of, you know, how come there aren't any women with, with late night comedy shows, you know, and even in this era when Jay Leno and Letterman were retiring and there was time for turnover, the show still went to two guys.
[02:18:35.720 --> 02:18:41.720]  Um, right. And so I was interested in Chelsea handler show and I liked it and I watched quite a few episodes, but never ever.
[02:18:41.720 --> 02:18:54.720]  Grooved on me and I don't know why. And there is something to a talk show, a late night talk show where it feels like it's supposed to be on at a certain time. Even if I watch it, there's a ritual to it. Yes, totally. Even if I watch it on TV, which I usually did.
[02:18:54.720 --> 02:19:07.720]  And it feels like this was the show from Tuesday and it was on at 1130 and you know that it was on at Tuesday at 1130 and the Netflix style of here it is and you can watch it whenever it somehow doesn't seem right.
[02:19:07.720 --> 02:19:18.720]  But on the other hand, I definitely Chelsea handler show. It definitely felt like a late night talk show. It didn't feel like, like, uh, Ellen DeGeneres's show, which very clearly is a daytime talk show.
[02:19:18.720 --> 02:19:36.720]  And I, you know, we could spend it, you could teach a whole class on what are this lighting and differences. Yeah, but I, you can tell, you know, I don't know, you know, it's, uh, I don't know how to explain it, but I know when I see it, there's late night shows and daytime talk shows and Chelsea handlers was a late night talk show.
[02:19:36.720 --> 02:19:58.720]  And that reminds me of, I wrote about this a while ago, I guess when Stranger Things was on. So, you know, the Netflix show. I love Stranger Things. I thought it was great, but I kept thinking to myself while we're watching it, like, yeah, it's cool that we can binge watch it, but it almost feels like the type of show where it would have been better suited for sort of a weekly cadence type thing.
[02:19:58.720 --> 02:20:04.720]  And there's like, you know, release watches, you know, sort of like what we do, what people do for Game of Thrones now.
[02:20:04.720 --> 02:20:16.720]  Yeah, especially with the cliffhanger endings, you know, I don't know. I do feel, if there's anything I think Netflix should rethink is I think it's, they should, they should rethink their, we're just going to drop the whole season at once for all of our shows.
