[00:00.000 --> 00:02.000]  Don't remember if I was barefoot last year
[01:14:45.040 --> 01:14:47.480]  Told me that this drives some of us nuts, too
[01:14:48.560 --> 01:14:49.880]  we've
[01:14:49.880 --> 01:14:53.400]  We're gonna try to sneak up don't say anything, but you know, don't quote me
[01:14:53.400 --> 01:14:59.400]  But but I think that I think they fixed it. I and I think they're definitely supposedly fixed it for iOS 13
[01:14:59.400 --> 01:15:00.800]  I don't understand how that ever shipped
[01:15:00.800 --> 01:15:04.700]  Like how does that not because if you would think that if you are on?
[01:15:05.160 --> 01:15:11.920]  The spotlight team like you're one of the people who's you're you're one of your jobs is to program the spotlight
[01:15:12.360 --> 01:15:14.360]  interface on iOS
[01:15:14.440 --> 01:15:19.280]  Wouldn't you think that you're really good at using spotlight and that you might start with the ink?
[01:15:19.280 --> 01:15:19.560]  well
[01:15:19.560 --> 01:15:25.600]  but also like I'm sure it was probably one of the situations where like, you know, first of all in iOS like keyboard support was
[01:15:25.760 --> 01:15:31.160]  Very rudimentary until iOS 13 like that the API's I mean, I'm sure they had better stuff privately
[01:15:31.160 --> 01:15:34.040]  But the public API's for it were were pretty rough pretty rudimentary
[01:15:34.480 --> 01:15:39.240]  And so they I bet like the whole stack of trying to capture the keyboard input was works
[01:15:39.240 --> 01:15:42.940]  Totally differently on the iOS and doesn't Mac probably and also, you know
[01:15:42.940 --> 01:15:47.960]  That's presumably a part of springboard and springboard was like famously with this massively complex code base
[01:15:47.960 --> 01:15:52.200]  it does all sorts of stuff and it's apparently been like refactored a whole bunch of times to try to
[01:15:52.320 --> 01:15:56.040]  Deal with its complexity because it's it's just so big and so complex and so important
[01:15:56.040 --> 01:16:01.080]  It's so critical to the OS and and so like I can imagine that was probably a harder job than it sounded like
[01:16:01.280 --> 01:16:06.400]  But you know that being said like, you know, again, it's it's this this whole thing about performance being important or not
[01:16:06.400 --> 01:16:10.320]  Like, you know, like when you start talking about these difference between like, you know
[01:16:10.320 --> 01:16:13.480]  A 20 millisecond activity or a 200 millisecond activity or something like that
[01:16:13.480 --> 01:16:19.160]  It's kind of like death by a thousand cuts like at the time if something takes 200 milliseconds
[01:16:19.400 --> 01:16:22.680]  That's a pretty frequent interaction that you could make faster
[01:16:22.680 --> 01:16:25.080]  But it might be a little bit, you know, inconvenient to make it faster
[01:16:25.080 --> 01:16:28.780]  You know the way things are built at the time you might be able to ship that you might be say
[01:16:28.780 --> 01:16:31.920]  You know what? We're on a tight deadline. We're trying to ship this in time for the phones or whatever
[01:16:32.560 --> 01:16:37.480]  We have to get out the door. It just simply isn't important enough to to get that time down right now
[01:16:37.480 --> 01:16:39.640]  we'll do it later and of course later never comes and
[01:16:39.640 --> 01:16:45.620]  When you have enough of that in an app or in an OS or in a platform it it really
[01:16:46.100 --> 01:16:52.060]  and I think this is what Craig mom was ultimately getting at like the just overall feeling of software that is built that way or that
[01:16:52.060 --> 01:16:55.140]  Ends up that way is so different and and at no time
[01:16:55.140 --> 01:16:59.800]  Does it ever seem like a critical problem as you're building it and the company responsible for it?
[01:16:59.800 --> 01:17:06.700]  It might never be economically worthwhile for them to devote the resources to really make it incredibly faster
[01:17:06.700 --> 01:17:13.660]  once it is like quote fast enough to be usable like that, but ultimately it that really does result in like a
[01:17:14.380 --> 01:17:17.940]  Feeling of like you're just kind of moving through maple syrup, you know
[01:17:17.940 --> 01:17:21.140]  and to me that's the performance in a lot of ways like that is
[01:17:21.580 --> 01:17:26.760]  as important as things like input reliability because it's tied to it like like, you know part of the reason why I
[01:17:27.060 --> 01:17:30.340]  don't like certain things is because like like I think my
[01:17:30.340 --> 01:17:37.900]  Keyboard and mouse and trackpad should be a hundred percent reliable not ninety nine point nine percent reliable like a hundred percent reliable
[01:17:37.900 --> 01:17:44.980]  And if you are operating something and if you're typing a sentence and one out of two hundred key presses doesn't register
[01:17:45.020 --> 01:17:49.940]  Like that's a really big problem. Actually, it's a small number. I think it could be way higher than that
[01:17:49.940 --> 01:17:53.820]  I mean, I think it could be like one in ten thousand and it would drive you nuts exactly and so
[01:17:54.620 --> 01:17:59.820]  You feel like you're not in control if you write a thousand word article. Yeah, I guess it's probably ten thousand
[01:17:59.820 --> 01:18:02.580]  Yeah keystrokes, right? Yeah, so like I feel like, you know
[01:18:02.580 --> 01:18:08.380]  if you you feel like you're not in control of your computer when it just randomly fails and with that and
[01:18:09.020 --> 01:18:13.220]  Performance can give you that impression like if if you are waiting for something to happen
[01:18:13.220 --> 01:18:16.580]  That shouldn't be slow that is being even a little bit slow
[01:18:16.580 --> 01:18:21.900]  It can give you that same feeling of like this wasn't working properly or I'm not in full control over this
[01:18:23.300 --> 01:18:28.220]  One of the features I use a lot and it annoy I love the feature
[01:18:28.220 --> 01:18:32.700]  And I'm so glad it's there but using it every single week
[01:18:33.460 --> 01:18:39.440]  Well, I won't do it this week because I don't need to share notes with you, but I use Apple Notes to share
[01:18:41.660 --> 01:18:44.560]  Show notes with guests on the podcast and then with
[01:18:45.600 --> 01:18:47.600]  Caleb who edits
[01:18:47.980 --> 01:18:51.940]  And we toss things in there like links that I often forget to post
[01:18:52.660 --> 01:18:54.660]  title ideas and
[01:18:54.660 --> 01:19:01.340]  The interface do you use the the shared notes feature in Apple Notes a little not a lot it it's a
[01:19:02.020 --> 01:19:05.420]  It's one of those things where I should it would be harder to write about it
[01:19:05.420 --> 01:19:08.780]  it's like I kind of would probably be better as like a YouTube video, but
[01:19:10.300 --> 01:19:16.100]  It commits a sort of you know, number one, it's just slow you go up to the share menu and you'd like
[01:19:16.100 --> 01:19:23.520]  You go to share and then a dialogue comes up. It takes way too long for the dialogue to come and again famously
[01:19:23.520 --> 01:19:28.780]  I know like it as a user of software it is
[01:19:29.360 --> 01:19:36.880]  Generally frowned upon to tell the developer of any particular software that something should be easy to add
[01:19:37.440 --> 01:19:39.440]  Or fix right? Yeah
[01:19:39.440 --> 01:19:46.120]  You generally take you about a day right explain your problem as politely as you can and let them figure out how easy you know
[01:19:46.120 --> 01:19:50.200]  How hard could it be but I so I'm not trying to violate that rule
[01:19:50.200 --> 01:19:54.720]  But it doesn't seem like opening up the sharing dialogue should take a while
[01:19:55.560 --> 01:19:58.020]  It just takes it just does not seem snappy enough
[01:19:58.020 --> 01:20:00.960]  But then the part that drives me nuts is I always share it by iMessage
[01:20:01.600 --> 01:20:05.640]  And you hit our message and then the dialog box goes away
[01:20:05.640 --> 01:20:07.640]  And
[01:20:08.200 --> 01:20:13.200]  Then the one that lets you type the iMessage comes up oh, yeah and in between
[01:20:14.280 --> 01:20:16.200]  There is no
[01:20:16.200 --> 01:20:22.280]  Spinner there's no HUD. It just looks like it failed. Looks like you hit message and a
[01:20:23.120 --> 01:20:28.760]  Couple of weeks ago somebody on Twitter dug up like scans of like the original
[01:20:28.940 --> 01:20:34.720]  Apple human interface guidelines from like 1985 or 84 whenever they first published inside Mac and
[01:20:34.720 --> 01:20:38.720]  It was like like the third page of the interface guidelines
[01:20:39.320 --> 01:20:43.080]  Specifically said that if if the user has to wait for something show accurate
[01:20:43.080 --> 01:20:47.640]  you know show as accurate of progress as you can, you know, like ideally show a
[01:20:49.640 --> 01:20:56.820]  Like a percentage percentage bar type thing, you know the the bar if you can't if it is indeterminate show the watch cursor
[01:20:56.820 --> 01:20:57.240]  You know
[01:20:57.240 --> 01:21:02.680]  That was the old wait the old deal with wait cursor was the watch cursor and if you used a Mac back then you got
[01:21:02.680 --> 01:21:06.280]  Used to the watch cursor. Yeah, because it you know, the computers were so slow
[01:21:06.280 --> 01:21:13.280]  But the watch cursor would appear the second you were waiting on the computer and it disappeared the second
[01:21:13.800 --> 01:21:19.960]  Moment, it was done with whatever and then it was always very accurate. Like if you got your arrow cursor back
[01:21:19.960 --> 01:21:21.960]  You knew that it was done
[01:21:22.760 --> 01:21:28.940]  You know, yeah like talking about spinning hard disk like you'd hit command s in some apps and you'd have to wait for the
[01:21:28.940 --> 01:21:33.800]  Watch. Oh, yeah. Well, and again, it's like like as back then computers were so so that you had to design for
[01:21:34.560 --> 01:21:37.360]  Waiting from the start right like every app
[01:21:37.680 --> 01:21:41.160]  Many features of every app had to be designed right from the beginning
[01:21:41.560 --> 01:21:44.600]  For like the user was gonna have to wait for some period of time here
[01:21:44.600 --> 01:21:46.600]  let's make that obvious and clear and everything else and
[01:21:47.320 --> 01:21:51.800]  Modern like I bet whoever I bet whatever systems are being invoked by the the delay between that
[01:21:51.800 --> 01:21:55.640]  You know the cloud kit share dialogue and the you know message send from the share sheet
[01:21:55.640 --> 01:21:59.760]  That it probably is not even built with the assumption. Anybody would ever wait for it
[01:21:59.760 --> 01:22:04.120]  And so there is no affordance there is we don't even have a weight cursor anymore
[01:22:04.120 --> 01:22:07.780]  Like we have the beach ball, which is not a good thing. Like that's that's something going wrong
[01:22:08.760 --> 01:22:10.480]  You know, but we like Mac OS
[01:22:10.480 --> 01:22:14.480]  I don't think even has a weight cursor now and no modern OS as far as I know it does
[01:22:14.480 --> 01:22:15.920]  I don't know if Windows it still has the hourglass
[01:22:15.920 --> 01:22:19.640]  But but like I think we're just we just assume the software doesn't make you wait anymore
[01:22:19.640 --> 01:22:22.200]  Or if it does it'll show it in a nice way in its UI
[01:22:22.800 --> 01:22:23.920]  but anyway
[01:22:23.920 --> 01:22:29.840]  That that dialogue. I mean there's a lot of problems with them. Like I so I don't see it as often in notes
[01:22:29.840 --> 01:22:34.920]  I do see the same dialogue very frequently in photo sharing and photos. Yeah, and
[01:22:35.960 --> 01:22:38.360]  It always takes me first of all
[01:22:38.360 --> 01:22:40.360]  It always takes me at least two tries
[01:22:40.480 --> 01:22:44.120]  To even bring up the dialogue because I always I can't find where it is
[01:22:44.160 --> 01:22:50.400]  How do I create a shared note or a photo album and I always get it wrong the first time and then I eventually?
[01:22:50.400 --> 01:22:55.640]  Figure out which button invokes the invite people thing and it always takes me at least two tries to invite somebody
[01:22:56.000 --> 01:23:01.160]  Because the link doesn't work or the box just goes away randomly or I thought I invited them
[01:23:01.160 --> 01:23:08.880]  But I didn't actually invite them or whatever like that whole system is really hard to use and surprisingly inconsistent and surprisingly sloppy
[01:23:09.440 --> 01:23:15.160]  Yeah, and it's not clear. It's one of those things that they could use some more labels. What is this button?
[01:23:15.160 --> 01:23:20.400]  You keep pushing over here. It's a mute button. So you as soon as you're done talking you just mute yourself
[01:23:20.400 --> 01:23:21.520]  Yeah, well, you don't you know
[01:23:21.520 --> 01:23:24.800]  I'm not like breathing all over you and I can I can take a sip from my cup here without like, you know
[01:23:24.800 --> 01:23:28.640]  You hearing like the water sloshing around I should probably get one of those. It's pretty great. Yeah
[01:23:29.000 --> 01:23:34.640]  Well rather it's so it's it's the rolls ms-111. It's it's a totally mediocre mute switch
[01:23:34.960 --> 01:23:38.800]  It's not great, but I have yet to find anything else that works better
[01:23:39.040 --> 01:23:42.640]  Yeah, I like I tried like Dan Benjamin recommends this one. I forget what it's called
[01:23:42.640 --> 01:23:48.240]  it's like the like cough stop or something like that and I tried it and it it every time you push it with a condenser mic
[01:23:48.240 --> 01:23:53.200]  It you hear a pop sound and this is the only one I found that doesn't but the problem is it doesn't actually mute it
[01:23:53.200 --> 01:23:56.400]  All the way it only drops like 20 decibels. So if I'm muted
[01:24:00.320 --> 01:24:03.480]  But but so it's like it's only it's good for like, you know muting like, you know
[01:24:03.480 --> 01:24:07.680]  The occasional cough or gas or whatever else but you got you don't want to like, you know
[01:24:07.680 --> 01:24:10.080]  Really yell into it when it's muted because you will be heard
[01:24:10.080 --> 01:24:11.640]  All
[01:24:11.640 --> 01:24:17.520]  Right. Let's take one more break here. Thank our third and final sponsor of this midsummer episode of the show
[01:24:18.240 --> 01:24:19.600]  Squarespace
[01:24:19.600 --> 01:24:25.960]  Make your next move with Squarespace in your beautiful website somebody, you know needs a nice website
[01:24:26.840 --> 01:24:28.800]  Do it with Squarespace
[01:24:28.800 --> 01:24:34.520]  Marco just told the story on ATP. Mm-hmm local establishment. Yep needed a new website
[01:24:34.520 --> 01:24:40.960]  I made it for them in one night after being quoted $40,000. Yes, which makes sense
[01:24:40.960 --> 01:24:42.800]  Like, you know, it isn't that they were being ripped off
[01:24:42.800 --> 01:24:47.400]  Like if you're actually are gonna custom develop something as nice as what Squarespace offers for you know
[01:24:47.400 --> 01:24:48.480]  20 bucks a month or whatever it is
[01:24:48.480 --> 01:24:52.200]  Like, you know Squarespace offers a ton of functionality with all their plans
[01:24:52.200 --> 01:24:52.880]  And yeah
[01:24:52.880 --> 01:24:55.840]  If you go to some some development house and they need to build it
[01:24:56.080 --> 01:24:58.480]  40 grand is not unreasonable for that amount of functionality
[01:24:58.640 --> 01:25:00.200]  Good thing is you don't have to do that
[01:25:00.200 --> 01:25:05.280]  You can just go to Squarespace and have it for a lot less than that. So maybe for you dear listener of the show
[01:25:05.280 --> 01:25:09.080]  You need a website. It would be great build it with Squarespace. Try it with Squarespace
[01:25:09.080 --> 01:25:11.940]  Just you know put an hour into it put two hours into it
[01:25:13.240 --> 01:25:15.880]  but especially I love the angle of
[01:25:16.440 --> 01:25:23.600]  keeping Squarespace in your mind for when somebody friend family needs a website and you don't want to be on the hook for
[01:25:23.600 --> 01:25:29.880]  For updating it maintaining it supporting a little that just send them to Squarespace. It's a great price
[01:25:30.800 --> 01:25:38.360]  Great customer service and no coding required. It is a very very what you see is what you get
[01:25:38.880 --> 01:25:40.880]  interface that a
[01:25:41.160 --> 01:25:45.960]  Totally non coder could get in there customize it tweak it
[01:25:45.960 --> 01:25:50.600]  I get it just the way they like with absolutely no coding experience required at all
[01:25:50.600 --> 01:25:54.800]  If you do know how to code you can get in there tweak it as much as you want. I
[01:25:56.040 --> 01:25:58.040]  I'm constantly surprised
[01:25:58.720 --> 01:26:03.840]  Sometimes you can you can get into the you can get like a login dialog on Squarespace sites by hitting the escape key
[01:26:04.160 --> 01:26:06.640]  It's a bit, you know, it's configurable. You don't have to have it on
[01:26:07.840 --> 01:26:12.280]  But every once in a while like a new restaurant opens in Philly and I'm a nerd, of course
[01:26:12.280 --> 01:26:16.920]  and I think that's a nice website and I go up to view source and you can look in the headers of the
[01:26:16.920 --> 01:26:21.400]  HTML and see if it was made with Squarespace or not. It's absolutely amazing
[01:26:21.400 --> 01:26:28.320]  How many new websites from just and you know, the restaurant business is so so style conscious. There's so everybody, you know
[01:26:28.320 --> 01:26:31.400]  It's hip nude restaurant is supposed to have a beautiful website
[01:26:32.120 --> 01:26:35.540]  Where do you go for more Squarespace comm slash talk show?
[01:26:36.320 --> 01:26:39.320]  Squarespace comm slash talk show when you decide to sign up
[01:26:39.320 --> 01:26:46.840]  Just remember that code talk show and you get 10% off your first purchase. You could purchase up to a year save 10% Oh
[01:26:47.720 --> 01:26:51.440]  Anything else what it was? I don't know. What is it going on this summer? Oh
[01:26:52.160 --> 01:26:54.160]  What about Dropbox?
[01:26:55.320 --> 01:26:57.160]  Sad I
[01:26:57.160 --> 01:26:59.380]  So I I you guys had a good
[01:27:00.160 --> 01:27:03.980]  Segment on this Dropbox fiasco. I haven't gotten the new interface yet
[01:27:03.980 --> 01:27:09.600]  I don't know what I don't know what God you have to piss off to get it. But uh,
[01:27:10.880 --> 01:27:16.800]  It's been it's I thought you had some interesting insight into this that way it when you raise that much venture capital
[01:27:16.800 --> 01:27:21.440]  You kind of eventually in your valuation is high enough. You've got to suddenly
[01:27:22.280 --> 01:27:25.080]  Compete with you're trying to be the next Microsoft, right?
[01:27:25.080 --> 01:27:27.000]  Like you're like all of a sudden like, you know
[01:27:27.000 --> 01:27:30.880]  You you raise that amount of money you you have this kind of business plan in mind
[01:27:30.880 --> 01:27:35.760]  That basically is like you becoming the next office like the next Microsoft Office or you know
[01:27:35.760 --> 01:27:39.660]  or the next slack or something and it's like and actually like
[01:27:39.960 --> 01:27:45.560]  It's really hard to compete with Microsoft Office or with Google Docs or these these like giant
[01:27:45.680 --> 01:27:50.800]  collaboration platforms and that's what Dropbox is trying to be and ultimately like they're not going to succeed like
[01:27:51.280 --> 01:27:56.960]  Dropbox is not going to become the next big collaboration platform that's on the level of Microsoft and Google
[01:27:56.960 --> 01:28:03.560]  they just they're just not like it's it's a really hard market even slack, you know slack is trying on some level and slack is very
[01:28:04.080 --> 01:28:10.640]  successful in in you know where it is now, but like I don't think slack is trying to be the next like
[01:28:10.640 --> 01:28:15.240]  It's I don't think they're trying to be the replacement for an entire office suite
[01:28:15.240 --> 01:28:15.600]  Yeah
[01:28:15.600 --> 01:28:18.720]  I think they they're doing like their own kind of thing off to the side
[01:28:18.960 --> 01:28:23.320]  Whereas Dropbox really does seem like they're trying to replace a lot more than what they are
[01:28:23.320 --> 01:28:30.720]  Both qualified to do and what they are likely to succeed at doing I would I would be surprised if slack came out with a
[01:28:32.520 --> 01:28:37.500]  File sharing extension that ran on your Mac without you asking for it that shares a folder
[01:28:38.280 --> 01:28:41.120]  Right. Yeah, like that's out of scope for slack
[01:28:41.120 --> 01:28:41.340]  Yeah
[01:28:41.340 --> 01:28:43.340]  They're I think one of the keys to slacks
[01:28:43.720 --> 01:28:48.200]  Success and the way that they're they're very well like people who use slack a lot
[01:28:48.200 --> 01:28:52.200]  most people seem to really like it and I think one of the reasons is because they're focused and they know exactly
[01:28:52.200 --> 01:28:54.520]  you what they want to do and
[01:28:55.840 --> 01:29:00.360]  Boy, it's you know Dropbox had that for a while too when it really was just a folder that sinks
[01:29:00.360 --> 01:29:02.720]  I feel like the like Dropbox is
[01:29:03.480 --> 01:29:06.440]  Major success as far as I can tell granted
[01:29:06.440 --> 01:29:08.640]  I haven't looked into this and I haven't had a real job in a long time
[01:29:08.720 --> 01:29:14.020]  But it seemed like Dropbox is major success was much more on the personal side than on the enterprise side
[01:29:14.680 --> 01:29:17.880]  and it's a very common need for for like
[01:29:17.880 --> 01:29:21.600]  You know people to share files with themselves and their friends or a couple of co-workers or something like that
[01:29:21.600 --> 01:29:23.600]  but like it's it was very much a
[01:29:24.040 --> 01:29:26.040]  personal success and
[01:29:26.560 --> 01:29:29.480]  But you know, it's hard to make money in the personal market
[01:29:29.480 --> 01:29:33.200]  It's especially hard to make big big big money in the personal market
[01:29:33.200 --> 01:29:34.540]  like if you're gonna raise
[01:29:34.540 --> 01:29:39.540]  You know hundreds of millions of dollars and try to be try to become worth billions of dollars and have like a public stock
[01:29:39.540 --> 01:29:45.200]  And everything you can't just have could have the consumer market and that be it like unless you're you know
[01:29:45.200 --> 01:29:48.520]  Unless you are massive and incredibly, you know successful
[01:29:48.520 --> 01:29:53.720]  But that doesn't really happen that that often like to raise that kind of money and to have those kind of growth goals in this
[01:29:53.720 --> 01:29:59.440]  Kind of market you need like the big enterprise business accounts and that I think slack was very smart by
[01:30:00.040 --> 01:30:02.760]  Focusing on business stuff right from the start, you know
[01:30:02.760 --> 01:30:08.240]  Slack has always been business focused and it has succeeded in businesses up to the up to date, you know up to today
[01:30:09.560 --> 01:30:10.440]  Seemingly very well
[01:30:10.440 --> 01:30:12.520]  I mean, I don't know what their financials are and what their goals are
[01:30:12.520 --> 01:30:15.560]  But it seems like what they set out to do they are doing very well
[01:30:15.560 --> 01:30:19.160]  And they were you know business focus right from the start and they have you know
[01:30:19.160 --> 01:30:23.600]  people do use slack for personal stuff also, but they they are very
[01:30:24.360 --> 01:30:25.960]  They're operating
[01:30:25.960 --> 01:30:31.360]  Successfully at what they what they're trying to do in business. Whereas Dropbox seemed like it was a really great personal story
[01:30:31.760 --> 01:30:33.200]  Then they realized oh
[01:30:33.200 --> 01:30:38.320]  We actually want the money from the business or want slash need the money from the business side of this
[01:30:38.320 --> 01:30:40.900]  So we need to pivot this into more of a business product
[01:30:40.900 --> 01:30:47.940]  but unfortunately they were already so big at that point that both businesses already weren't taking them seriously and
[01:30:48.220 --> 01:30:52.460]  The business software providers were already introducing their own Dropbox like things
[01:30:52.900 --> 01:30:56.020]  So they were already kind of getting Sherlock over there on that end
[01:30:56.020 --> 01:31:02.220]  And then also the personal side of things was not interested in what Dropbox was doing
[01:31:02.220 --> 01:31:07.940]  Like all the stuff Dropbox tried to do to push themselves more into business mostly just pisses off their personal customers
[01:31:07.940 --> 01:31:12.940]  all right, and so I feel like that's why I feel like they're kind of stuck between a rock and a hard place like I
[01:31:14.060 --> 01:31:19.180]  Understand what I understand why they're doing what they're doing given the situation they're in where they've raised all this money
[01:31:19.180 --> 01:31:21.260]  They're trying to become a big business thing
[01:31:22.900 --> 01:31:24.660]  It makes sense to
[01:31:24.660 --> 01:31:30.200]  Do what they're doing now given those conditions the real flaw was getting themselves into those conditions in the first place
[01:31:30.780 --> 01:31:33.700]  Like instead of raising all this money and trying to become something really big
[01:31:33.900 --> 01:31:37.300]  They should have I think they should have stuck with the personal market
[01:31:37.300 --> 01:31:42.300]  But that would have resulted in a smaller company and smaller finances and everything else, but they could have succeeded
[01:31:42.300 --> 01:31:46.940]  They could have been sustainable doing that and had a really nice business, but that wasn't what they were going for
[01:31:47.860 --> 01:31:49.860]  Right. It's you know
[01:31:50.260 --> 01:31:51.780]  You know
[01:31:51.780 --> 01:31:55.980]  Overcast isn't trying to be the iTunes music store, right?
[01:31:55.980 --> 01:31:59.340]  I know daring fireball isn't trying to be the New York Times, you know
[01:31:59.340 --> 01:32:04.260]  And if we tried we would probably fail right like I have a nice business that supports one employee
[01:32:04.260 --> 01:32:07.120]  Yeah, exactly me. Not that I have anybody else
[01:32:07.860 --> 01:32:11.900]  And that's fine for me. But if I had raised, you know venture capital
[01:32:12.660 --> 01:32:18.580]  Probably probably wouldn't be seen as a good business, right? Exactly. Yeah. Yeah overcast would be a terrible return for VCS as
[01:32:19.060 --> 01:32:24.760]  honestly as many podcasting related ventures are and as as I think the
[01:32:25.620 --> 01:32:30.080]  unfortunate luminary investors are discovering right about now as they
[01:32:30.080 --> 01:32:36.700]  They set a hundred million dollars on fire and to a podcast app. It seems to have no noticeable market share
[01:32:36.860 --> 01:32:38.860]  Yeah, and I haven't heard I
[01:32:39.940 --> 01:32:43.740]  Haven't really heard anything about it. Like they obviously got a decent
[01:32:45.020 --> 01:32:47.020]  initial injection of publicity
[01:32:48.380 --> 01:32:53.380]  based on some of the you know, the names of some of the people who are associated with the star power and
[01:32:54.620 --> 01:32:55.800]  You know
[01:32:55.800 --> 01:32:59.680]  People like to write the hot take of hey, here's the next big thing in podcasting
[01:32:59.680 --> 01:33:05.820]  It's you know, the Netflix of podcasting or something like that. That sounds good. Oh, yeah as a slogan people can write
[01:33:05.820 --> 01:33:09.220]  Whatever articles they want doesn't make it true doesn't make it doesn't actually make it play out that way
[01:33:09.220 --> 01:33:14.100]  Right, like like we all like a lot of the a lot of the press and especially the business press, you know
[01:33:14.100 --> 01:33:15.900]  They know they can tell podcasting is hot
[01:33:15.900 --> 01:33:20.300]  They want some kind of big platform plays to start happening so that both
[01:33:20.300 --> 01:33:22.300]  you know the investor side can make a bunch of money and
[01:33:22.500 --> 01:33:27.700]  so that you know, it shakes everything up and gives the press a lot to write about and and that's and that's how other
[01:33:27.700 --> 01:33:31.380]  Media have played out so they they kind of expect the same thing to happen
[01:33:31.740 --> 01:33:37.060]  but the podcast market has shown itself over and over again to not work that way and that you know,
[01:33:37.060 --> 01:33:43.140]  basically the podcast market has a whole lot of inertia behind keeping things pretty much the way they are and
[01:33:44.180 --> 01:33:46.020]  That's the most likely outcome here
[01:33:46.020 --> 01:33:50.420]  So like like you can't you can't try to make a hundred million dollars back in
[01:33:50.580 --> 01:33:56.060]  Podcasting and expect that to succeed very well with pretty much any kind of effort because that isn't the kind of business it is
[01:33:56.060 --> 01:34:02.740]  similar, yes, and so it's like, you know with Dropbox and it's like maybe this whole like, you know folder that sinks between your computers thing
[01:34:02.780 --> 01:34:08.540]  That was mostly for personal use like that's maybe that shouldn't have ever been a billion dollar business
[01:34:08.660 --> 01:34:15.220]  Yeah, and it's different, you know, there's a people have been listening to audio content as long as we've had consumer electronics
[01:34:15.220 --> 01:34:16.740]  You know used to be called radio
[01:34:16.740 --> 01:34:24.340]  But like the radio market was very different simply because you know, like Philadelphia had like two classic rock stations, you know
[01:34:24.340 --> 01:34:29.020]  So if you wanted to listen to classic rock, you'd have two choices in a city of millions
[01:34:32.660 --> 01:34:37.860]  There's not really a market for like a make a lot of money in radio with
[01:34:39.140 --> 01:34:42.420]  40,000 listeners, right? Yeah, you know it or you know
[01:34:42.420 --> 01:34:47.220]  and there might be some stations that only have 40,000 listeners because they're rural or it's truly
[01:34:47.820 --> 01:34:50.700]  Niche programming or something like that, but they're not making
[01:34:50.700 --> 01:34:57.940]  Tens and millions of dollars they're making yeah, they're they're supporting like right a single family or like a small number of families
[01:34:57.940 --> 01:35:00.940]  Like it's not it. You're not good. Yeah, it's not going to become a billion dollar business
[01:35:01.820 --> 01:35:03.420]  Did you see the story? I'm sure you did
[01:35:03.420 --> 01:35:05.300]  I think you did. I think you guys even talked about it
[01:35:05.300 --> 01:35:11.460]  But Bloomberg had a story a couple weeks ago speaking of paid podcasting that Apple is supposedly working on
[01:35:13.020 --> 01:35:19.340]  Backing, you know doing their own luminary type thing. I guess yeah, it was very
[01:35:19.340 --> 01:35:25.740]  It was very light on the details. It was very light the actual like meat of the story was basically
[01:35:26.380 --> 01:35:29.620]  Some people are saying that Apple is thinking about doing something like this
[01:35:30.100 --> 01:35:38.100]  Which is very much like there's nothing there's not much there there and it definitely fits with the their the story
[01:35:38.100 --> 01:35:42.620]  They've been selling Wall Street for two years about services and I'm not saying it's a bill of goods
[01:35:42.620 --> 01:35:46.220]  They obviously they report the money and the services business is absolutely growing
[01:35:46.220 --> 01:35:48.700]  So I'm not saying that they're that they're not
[01:35:49.340 --> 01:35:55.100]  Actually focused on growing services and they had a services event just earlier this year where they've talked about
[01:35:55.100 --> 01:35:57.900]  you know, the Apple News and Apple Arcade and
[01:36:00.060 --> 01:36:03.460]  Obviously the new TV stuff which is, you know, probably the highest profile I
[01:36:07.340 --> 01:36:10.140]  Don't know about podcasts though like and and
[01:36:11.660 --> 01:36:15.500]  Like I and I don't know that it's something they have to do right and I don't know
[01:36:15.500 --> 01:36:17.260]  They have to do right and they already have Apple music
[01:36:17.260 --> 01:36:20.220]  like how many things do they want us to subscribe to and would it be like
[01:36:20.940 --> 01:36:22.940]  you know
[01:36:24.220 --> 01:36:27.260]  If you already have Apple music you get the podcasts for free
[01:36:27.900 --> 01:36:32.940]  But yeah, why music wouldn't it be? Yeah, would it you know, what would it be part of news plus right like
[01:36:33.580 --> 01:36:37.260]  Podcasts don't really fit into any of the other subscription ones, right?
[01:36:37.420 --> 01:36:41.740]  It's not really music would be the most obvious one or if they ever did do like a big bundle
[01:36:41.740 --> 01:36:46.220]  It would just be one of the many things you'd get from the bundle right when you get the Apple bundle
[01:36:46.220 --> 01:36:50.140]  It would be hard to have it stand on its own. I mean, this is one thing and one of the reasons why
[01:36:50.540 --> 01:36:56.380]  You know, you know Apple's presence in podcasting is massive like they have this huge market share
[01:36:56.380 --> 01:37:02.660]  They run by far the most important and biggest directory that a lot of apps including mine actually search against you know
[01:37:02.660 --> 01:37:05.020]  Their their client has you know by far the biggest listenership
[01:37:05.020 --> 01:37:12.380]  Apple is podcasting to a large degree and so for them to try anything like this that like introduces content
[01:37:12.380 --> 01:37:15.900]  That's maybe locked down to them or you know requires a paid subscription
[01:37:15.900 --> 01:37:21.660]  Although actually I think one thing that I think Jason Snell brought up is like I think would actually be more damaging to the ecosystem
[01:37:21.900 --> 01:37:23.580]  If it was free
[01:37:23.580 --> 01:37:26.060]  If it was like you could listen to these free podcasts
[01:37:26.060 --> 01:37:31.180]  But only an Apple podcast and not nothing any other apps like mine like that would actually be I think significantly more damaging
[01:37:31.180 --> 01:37:37.340]  But you know ultimately even though they have all this power like I forget whether I've said this on a podcast yet
