[00:00.000 --> 00:03.940]  It's good to have you on Skype tells me that we haven't talked on Skype for over a year
[01:19:36.180 --> 01:19:42.220]  Like you said, it should be fun to, to use an app and I kind of feel like in some ways
[01:19:42.220 --> 01:19:47.040]  we've gotten away from that even though, uh, ourself, you know, computers are more powerful
[01:19:47.040 --> 01:19:49.140]  than ever, but I feel like we're not using them for fun.
[01:19:49.140 --> 01:19:54.580]  We're using them for stuff that's not fun, like sandboxing.
[01:19:54.580 --> 01:19:59.180]  And one of the things that kills me about so many apps these days is despite these amazingly
[01:19:59.180 --> 01:20:02.660]  fast computers, they've gotten so slow.
[01:20:02.660 --> 01:20:07.700]  The apps have gotten so slow and I'm just like, it just feels like a slog sometimes.
[01:20:07.700 --> 01:20:13.340]  So my design goal here was, you know, make it just freakishly snappy.
[01:20:13.340 --> 01:20:16.100]  Well, I think you succeeded.
[01:20:16.100 --> 01:20:17.100]  Thank you.
[01:20:17.100 --> 01:20:20.100]  One of my favorite things, and it is a hallmark of net news wire.
[01:20:20.100 --> 01:20:24.340]  I would have told you as a friend, I would have taken you aside at an intervention and
[01:20:24.340 --> 01:20:33.320]  told you, you cannot ship without it is arrow key navigation through the app, uh, which
[01:20:33.320 --> 01:20:37.420]  I really, I wish could have, like, I don't understand.
[01:20:37.420 --> 01:20:43.000]  I want to go around it Cupertino and bang Apple people's heads and you know, just slap
[01:20:43.000 --> 01:20:46.300]  them upside the head and say, look at how in this app you can just use these arrow keys
[01:20:46.300 --> 01:20:51.460]  and move between pains and everything happens very fast.
[01:20:51.460 --> 01:20:55.260]  And when you go down in the list, you don't have to wait for the next thing to load.
[01:20:55.260 --> 01:20:59.300]  It's just, as soon as it takes more time to press the button, the arrow key button than
[01:20:59.300 --> 01:21:06.060]  it does for the view to render, uh, it feels, I always said it makes net news.
[01:21:06.060 --> 01:21:09.620]  It makes it feel like you're playing a game to go through net news wire.
[01:21:09.620 --> 01:21:14.180]  It has like the, the low latency of a game to just move around your articles.
[01:21:14.180 --> 01:21:15.180]  Yeah.
[01:21:15.180 --> 01:21:16.180]  Yeah.
[01:21:16.180 --> 01:21:17.180]  Those are the actual key shortcuts.
[01:21:17.180 --> 01:21:21.420]  Um, my favorite new one, I don't, I can't believe I never thought of it before and someone
[01:21:21.420 --> 01:21:25.020]  actually suggested it is to use the end key for next on red.
[01:21:25.020 --> 01:21:27.940]  Oh, I just never had that, but that's new in 5.0.
[01:21:27.940 --> 01:21:29.340]  Oh, I like that.
[01:21:29.340 --> 01:21:30.340]  Yeah.
[01:21:30.340 --> 01:21:31.340]  Yeah.
[01:21:31.340 --> 01:21:32.340]  I use that all the damn time.
[01:21:32.340 --> 01:21:37.660]  So one of the things that another hallmark of net news wire and it works, it sounds crazy.
[01:21:37.660 --> 01:21:42.340]  And I think back in like whenever you first started doing it, 2002, 2003, it was early
[01:21:42.340 --> 01:21:52.600]  on, but you, you, you use naked alphabet keys, uh, or I should say unmodified alphabet keys
[01:21:52.600 --> 01:21:54.640]  as shortcuts.
[01:21:54.640 --> 01:21:58.060]  So you don't have to press command K to mark a feed.
[01:21:58.060 --> 01:21:59.060]  All the articles is red.
[01:21:59.060 --> 01:22:01.040]  You can just hit K. Yeah.
[01:22:01.040 --> 01:22:04.720]  And so to get to the next article, you don't have to hit command N because command N would
[01:22:04.720 --> 01:22:05.720]  be new.
[01:22:05.720 --> 01:22:08.700]  I don't know what that would do in that news wire, but new feed.
[01:22:08.700 --> 01:22:09.700]  Oh yeah.
[01:22:09.700 --> 01:22:13.940]  So it's already used, but you can hit just plain end, no modifier, which when I first,
[01:22:13.940 --> 01:22:19.180]  when you first started, when you first implemented that, I, my, the, the traditionalist in me,
[01:22:19.180 --> 01:22:26.780]  the, the, the, the almost religious, I know what idiomatic Mac software is supposed to
[01:22:26.780 --> 01:22:28.260]  be like.
[01:22:28.260 --> 01:22:34.740]  And part of the reason I love Brent Simmons's work is that he clearly gets it too.
[01:22:34.740 --> 01:22:37.000]  I remember thinking, did this guy have a stroke?
[01:22:37.000 --> 01:22:38.000]  What is wrong with him?
[01:22:38.000 --> 01:22:41.000]  You can't that you can't do that.
[01:22:41.000 --> 01:22:44.840]  But then I tried it before I complained and I was like, you know what, you can do this
[01:22:44.840 --> 01:22:47.820]  because it's not really an editing app.
[01:22:47.820 --> 01:22:53.520]  And if you are editing like the name of a feed or that brief era when net news wire
[01:22:53.520 --> 01:22:59.660]  actually had a blog editor built into it, which eventually was spun out and is still
[01:22:59.660 --> 01:23:06.140]  live today as Mars edit with our friend Daniel Jaffa at a red sweater.
[01:23:06.140 --> 01:23:10.640]  If you were in an editing view, of course hitting K didn't mark the current feed unread
[01:23:10.640 --> 01:23:13.180]  at type decay.
[01:23:13.180 --> 01:23:16.180]  It doesn't, it, it somehow seemed wrong to me.
[01:23:16.180 --> 01:23:21.860]  And then I realized in practice there's as long as they're only active when it makes
[01:23:21.860 --> 01:23:28.340]  sense in terms of what currently has the input focus, it'll never get in the way.
[01:23:28.340 --> 01:23:29.340]  And I love it.
[01:23:29.340 --> 01:23:30.340]  Yeah.
[01:23:30.340 --> 01:23:36.540]  I mean the, the app is basically in a generic sense, just a database navigation app.
[01:23:36.540 --> 01:23:39.780]  So yeah, why not make it fast and simple?
[01:23:39.780 --> 01:23:41.700]  I would really like that feature in mail.
[01:23:41.700 --> 01:23:48.300]  I guess it's one of those things where I, I, I could probably, well, I see, I, there's
[01:23:48.300 --> 01:23:51.660]  a lot of things you can do with like keyboard maestro or Apple scripts or something like
[01:23:51.660 --> 01:23:52.660]  that.
[01:23:52.660 --> 01:23:55.740]  And a lot of times where I think of features where I want to request to somebody and then
[01:23:55.740 --> 01:23:58.540]  I think, well, let me see if I can hack it together with keyboard maestro and it works
[01:23:58.540 --> 01:23:59.540]  perfectly.
[01:23:59.540 --> 01:24:02.860]  And then I think, well, then I won't bother them.
[01:24:02.860 --> 01:24:05.060]  I wish mail had a next unread command.
[01:24:05.060 --> 01:24:06.060]  I do too.
[01:24:06.060 --> 01:24:07.060]  That's exactly what I'm thinking.
[01:24:07.060 --> 01:24:10.380]  Boy, that would make my life easier where I could just skip through and I don't want
[01:24:10.380 --> 01:24:14.280]  to have to scroll because you know, it's like sometimes you get these marketing emails and
[01:24:14.280 --> 01:24:18.900]  it's like just a scroll to the bottom is like six hits of the space bar, you know?
[01:24:18.900 --> 01:24:19.900]  Right.
[01:24:19.900 --> 01:24:20.900]  Yeah.
[01:24:20.900 --> 01:24:21.900]  I don't want to do that.
[01:24:21.900 --> 01:24:22.900]  I know I don't want to read this.
[01:24:22.900 --> 01:24:26.020]  I just want to go next, next, next, next.
[01:24:26.020 --> 01:24:28.900]  And maybe another key that deletes it and then goes to the next.
[01:24:28.900 --> 01:24:29.900]  Yeah.
[01:24:29.900 --> 01:24:31.740]  Archives or whatever you kids do today.
[01:24:31.740 --> 01:24:32.740]  I like deleting.
[01:24:32.740 --> 01:24:33.740]  No, deleting is great.
[01:24:33.740 --> 01:24:39.420]  I ever tell you about, I think I actually let the domain expire so I can, I can tell
[01:24:39.420 --> 01:24:40.420]  the story.
[01:24:40.420 --> 01:24:48.420]  Uh, I've tried to give up on, on my, my terrible collection of domain names that go unused.
[01:24:48.420 --> 01:24:54.180]  Uh, remember this is back in the same era, that early two thousands era.
[01:24:54.180 --> 01:25:01.500]  Remember when, uh, our friend Merlin Mann, uh, was, was talking about inbox zero and
[01:25:01.500 --> 01:25:07.460]  inbox zero was, uh, like a philosophy, a way, uh, uh, uh, philosophy combined with a series
[01:25:07.460 --> 01:25:12.820]  of strategies to keep your, your email inbox at zero on reds and it would make you feel
[01:25:12.820 --> 01:25:14.720]  better about your life.
[01:25:14.720 --> 01:25:17.180]  You know, I do it every single day.
[01:25:17.180 --> 01:25:22.100]  I don't, I, I have, uh, let's, let's see how many on reds I have.
[01:25:22.100 --> 01:25:25.740]  Uh, I wish I could, I would make me feel better.
[01:25:25.740 --> 01:25:27.420]  It actually is a source of anxiety.
[01:25:27.420 --> 01:25:33.340]  So my, my four main email accounts have 37 on red.
[01:25:33.340 --> 01:25:35.340]  That's not bad.
[01:25:35.340 --> 01:25:40.180]  Uh, 1,228, uh, 6,408.
[01:25:40.180 --> 01:25:41.380]  Nope.
[01:25:41.380 --> 01:25:51.700]  It just went up cause I launched at 6,914 and then, uh, 13,000, nope, 13,000, 600.
[01:25:51.700 --> 01:25:53.260]  And the one, the one with, nope, nope.
[01:25:53.260 --> 01:25:54.500]  The one was 6,000.
[01:25:54.500 --> 01:25:59.100]  This is, tells you how long it's been since I launched mail on, on this iMac.
[01:25:59.100 --> 01:26:00.100]  What did I say?
[01:26:00.100 --> 01:26:01.100]  It was at 6,900.
[01:26:01.100 --> 01:26:03.940]  It's actually at 70, 7,800.
[01:26:03.940 --> 01:26:07.900]  I just downloaded 900 emails while we're talking.
[01:26:07.900 --> 01:26:13.740]  Um, and I actually declared bankruptcy on that one earlier in the year where I, uh,
[01:26:13.740 --> 01:26:17.220]  I couldn't bring myself, couldn't bring myself to Markham as red.
[01:26:17.220 --> 01:26:23.400]  So what I did is I created a new mailbox and then selected them all, left the red state
[01:26:23.400 --> 01:26:29.340]  as it was, and just moved them to that mailbox out of the inbox.
[01:26:29.340 --> 01:26:34.060]  But anyway, there was this inbox zero and it was a popular thing and I think it was
[01:26:34.060 --> 01:26:41.020]  fine idea, but I, I registered the, uh, the domain name select all delete and I was going
[01:26:41.020 --> 01:26:43.580]  to make a single page website with my,
[01:26:43.580 --> 01:26:48.020]  you've heard of inbox zero.
[01:26:48.020 --> 01:26:49.780]  Let me tell you about a better way.
[01:26:49.780 --> 01:26:53.260]  It's called select all delete.
[01:26:53.260 --> 01:27:06.580]  Step one, select all messages in the mailbox tip command a step to hit the delete key easier.
[01:27:06.580 --> 01:27:11.620]  Step three, we'll walk away.
[01:27:11.620 --> 01:27:13.740]  Select all delete.
[01:27:13.740 --> 01:27:18.420]  I'll tell you what, my feeds, my feeds stay close to zero for the most part.
[01:27:18.420 --> 01:27:23.580]  I find it very, you know, and it's very different cause there's no spam, there's no email marketing.
[01:27:23.580 --> 01:27:26.460]  I don't get marketing messages in, uh, in RSS.
[01:27:26.460 --> 01:27:31.060]  I don't get pitches from PR companies in RS, RSS.
[01:27:31.060 --> 01:27:36.020]  Um, but I, you know, and there's other people who, you know, everybody to each their own,
[01:27:36.020 --> 01:27:42.140]  I'm sure some people subscribe to 500 feeds and never, never ever catch up.
[01:27:42.140 --> 01:27:46.420]  I know Dave Weiner, uh, who co-invented, you know, who you worked with and you mentioned
[01:27:46.420 --> 01:27:52.100]  before and has done so much work and in terms of actually literally creating the RSS formats
[01:27:52.100 --> 01:27:58.420]  and popularizing the use of them for blogging and helping to create podcasting, et cetera,
[01:27:58.420 --> 01:28:01.940]  et cetera, is a believer in what he calls a river of news where you just subscribe to
[01:28:01.940 --> 01:28:06.820]  stuff you're interested in, put them all in one stream and just, you know, read till you
[01:28:06.820 --> 01:28:11.100]  get bored, scroll down till you get bored and then come back later and there'll be new
[01:28:11.100 --> 01:28:14.540]  stuff at the top side, which is sort of, I think how most people read Twitter, right?
[01:28:14.540 --> 01:28:15.780]  Yeah, I think so too.
[01:28:15.780 --> 01:28:19.820]  I realized that, you know, I don't know how many other John Syracuse is there are who
[01:28:19.820 --> 01:28:25.460]  are our Twitter completionists, but I subscribed to way too many feeds and Twitter.
[01:28:25.460 --> 01:28:31.220]  Um, to me, Twitter, the success of Twitter, popularity of Twitter is validation of the
[01:28:31.220 --> 01:28:33.020]  Dave Weiner river of news theory.
[01:28:33.020 --> 01:28:34.020]  Yeah.
[01:28:34.020 --> 01:28:36.940]  And I think Facebook's similarly, yeah.
[01:28:36.940 --> 01:28:40.660]  People just kind of read through the stream until they're bored or whatever.
[01:28:40.660 --> 01:28:42.220]  But that's not how I use RSS.
[01:28:42.220 --> 01:28:44.820]  It's how I use Twitter and I'm happy to use Twitter that way.
[01:28:44.820 --> 01:28:49.260]  But I use Twitter where if there's a feed where I feel like I've got like a lot of unreads
[01:28:49.260 --> 01:28:51.540]  and I feel like I don't feel like reading this, I just unsubscribe.
[01:28:51.540 --> 01:28:56.640]  I ruthlessly unsubscribe to RSS feeds these days, whereas in the early days I would just
[01:28:56.640 --> 01:29:00.660]  keep adding and maybe just like drag them to the bottom or something.
[01:29:00.660 --> 01:29:06.180]  I'm pretty ruthless about just marking stuff as red, um, you know, without really looking
[01:29:06.180 --> 01:29:07.180]  at it either.
[01:29:07.180 --> 01:29:10.140]  I mean these things, it's not email, it's not addressed to me.
[01:29:10.140 --> 01:29:14.100]  I don't have to see it and I can trust the universe that, you know, if there's something
[01:29:14.100 --> 01:29:16.780]  really important, I'll see it somehow some way.
[01:29:16.780 --> 01:29:21.260]  So the K, the K button, that's what K stands for.
[01:29:21.260 --> 01:29:22.260]  I love it.
[01:29:22.260 --> 01:29:23.260]  All right.
[01:29:23.260 --> 01:29:29.340]  Let me take a break here and thank our second and final sponsor of this episode, uh, which
[01:29:29.340 --> 01:29:31.420]  because it's the end of August is a little abbreviated.
[01:29:31.420 --> 01:29:34.140]  It's our friends at Express VPN.
[01:29:34.140 --> 01:29:37.860]  Look, VPN, virtual private network.
[01:29:37.860 --> 01:29:43.780]  You ever use a public wifi network at an airport or a coffee shop and maybe like your iPhone
[01:29:43.780 --> 01:29:47.980]  will warn you when you connect, it'll say, Hey, this network is not secure.
[01:29:47.980 --> 01:29:52.420]  Uh, maybe you look around like a good way to tell you're on a public wifi network is
[01:29:52.420 --> 01:29:56.780]  you go to the sharing sheet and everybody else in the airport terminal where you are
[01:29:56.780 --> 01:30:00.980]  or maybe on the plane, like when you're on the go-go thing and the plane and you see
[01:30:00.980 --> 01:30:06.180]  all of these random strangers in the, the airdrop list, that's cause you're all on the
[01:30:06.180 --> 01:30:08.820]  same network and it's not encrypted.
[01:30:08.820 --> 01:30:12.180]  A VPN is a secure encrypted way.
[01:30:12.180 --> 01:30:14.960]  You connect to a VPN, you can use a public network.
[01:30:14.960 --> 01:30:20.180]  Your connection to the internet is over SSL directly to the VPN provider and then everything
[01:30:20.180 --> 01:30:22.220]  else goes through there.
[01:30:22.220 --> 01:30:26.980]  It's all encrypted on the local network and you won't have that problem.
[01:30:26.980 --> 01:30:29.900]  Uh, much more secure.
[01:30:29.900 --> 01:30:37.100]  Some companies require VPNs for obvious reasons to do company work because it's, that's that
[01:30:37.100 --> 01:30:38.100]  much that difference.
[01:30:38.100 --> 01:30:42.920]  The difference between insecure and secure, uh, but you could use one and for your own
[01:30:42.920 --> 01:30:47.180]  private use and express VPN is a great way to do it.
[01:30:47.180 --> 01:30:51.820]  It secures and anonymizes your internet browsing by encrypting your data and hiding your public
[01:30:51.820 --> 01:30:54.380]  IP address from the sites you limit you visit.
[01:30:54.380 --> 01:30:58.620]  So they, it also helps reduce tracking because sites don't see your IP address.
[01:30:58.620 --> 01:31:02.060]  They see express VPNs IP address.
[01:31:02.060 --> 01:31:06.660]  They've got easy to use apps that run seamlessly in the background of your computer, your phone,
[01:31:06.660 --> 01:31:11.740]  your tablet, and turning on express VPN protection only takes one click.
[01:31:11.740 --> 01:31:17.280]  You don't have to be a network administrator or a computer expert or security expert to
[01:31:17.280 --> 01:31:19.380]  configure weird things.
[01:31:19.380 --> 01:31:23.940]  Simply one click, one tap on the phone app and your boom, you're connected to express
[01:31:23.940 --> 01:31:28.580]  VPN and you can safely surf on public wifi without being snooped on or having your personal
[01:31:28.580 --> 01:31:34.420]  data stolen and it costs less than seven bucks a month to start using it.
[01:31:34.420 --> 01:31:38.500]  It's the number one rated VPN service by tech radar and it comes with a 30 day money back
[01:31:38.500 --> 01:31:39.500]  guarantee.
[01:31:39.500 --> 01:31:43.900]  So if you don't like it, cancel it, get your seven bucks back, protect your online activity
[01:31:43.900 --> 01:31:47.780]  today and find out how you can get three months free.
[01:31:47.780 --> 01:31:50.380]  So in addition to just being seven bucks a month regularly, you can get three months
[01:31:50.380 --> 01:32:00.500]  free by going to express vpn.com slash T T S that's express vpn.com slash TTS, TTS for
[01:32:00.500 --> 01:32:05.540]  the talk show and you'll get three months free when you sign up for a one year package.
[01:32:05.540 --> 01:32:08.100]  Let me do some follow up.
[01:32:08.100 --> 01:32:10.220]  I got to, I got to get this off my chest.
[01:32:10.220 --> 01:32:12.500]  I don't want to bore you.
[01:32:12.500 --> 01:32:14.220]  Uh, do you listen to the show with down ripple?
[01:32:14.220 --> 01:32:15.220]  I think you did.
[01:32:15.220 --> 01:32:16.220]  Cause we talked about net news wire.
[01:32:16.220 --> 01:32:17.220]  Yeah, I did.
[01:32:17.220 --> 01:32:20.620]  I kind of spaced out during some of the apple card gets, well, guess what?
[01:32:20.620 --> 01:32:21.940]  That's what the followups about.
[01:32:21.940 --> 01:32:22.940]  Excellent.
[01:32:22.940 --> 01:32:27.740]  All right, here's a problem I had with apple card and I talked about it with Jim, which
[01:32:27.740 --> 01:32:34.300]  was that I signed up for apple card and the signup was just as easy as promised and boom,
[01:32:34.300 --> 01:32:37.540]  there it is in my, in my phone's wallet app.
[01:32:37.540 --> 01:32:44.220]  Uh, the day after I recorded with Jim, uh, doorbell rang and FedEx or ups or somebody
[01:32:44.220 --> 01:32:46.980]  put an envelope through the mail slot and there was my actual card.
[01:32:46.980 --> 01:32:50.220]  I had the actual physical titanium card.
[01:32:50.220 --> 01:32:56.700]  Um, but the one thing I didn't have was an easy way to switch my apple stuff to use apple
[01:32:56.700 --> 01:32:57.700]  card.
[01:32:57.700 --> 01:33:01.300]  And that was one of the reasons I signed up for the card because you, you get your itunes
[01:33:01.300 --> 01:33:05.980]  purchases or like a, I pay 10 bucks a month for a iCloud storage.
[01:33:05.980 --> 01:33:07.460]  I want all that stuff on the apple card.
[01:33:07.460 --> 01:33:09.660]  I get 3% cash back.
[01:33:09.660 --> 01:33:10.820]  There was no easy way to do it.
[01:33:10.820 --> 01:33:14.340]  What I had to do, and I talked about it last week, was the only way I could see to do it
[01:33:14.340 --> 01:33:21.020]  was to go in and enter the credit card number, the 16 digits and the expiration and the secret
[01:33:21.020 --> 01:33:25.100]  CVV code all manually like a, like an animal.
[01:33:25.100 --> 01:33:29.420]  And then it just showed up in my list as a quote mastercard with a generic mastercard
[01:33:29.420 --> 01:33:31.700]  logo instead of apple card.
[01:33:31.700 --> 01:33:38.140]  Uh, I can verify that while I was in that state, uh, I was still getting 3% cash back
[01:33:38.140 --> 01:33:41.220]  on apple purchases, but it didn't seem right.
[01:33:41.220 --> 01:33:48.340]  Anyway, long story short, I reached out to apple and top people on the apple app, hard
[01:33:48.340 --> 01:33:50.900]  table, uh, looked into it.
[01:33:50.900 --> 01:33:57.660]  And the problem was that I'm one of the old, old farts who has two apple IDs in active
[01:33:57.660 --> 01:33:58.660]  views.
[01:33:58.660 --> 01:33:59.660]  I actually have a bunch of apple IDs.
[01:33:59.660 --> 01:34:04.740]  Mike, my apple developer connection, one's a separate one, but I've got an iCloud account,
[01:34:04.740 --> 01:34:08.740]  which I use for like iCloud storage and I message and all of that.
[01:34:08.740 --> 01:34:14.380]  Uh, it's a, a mac.com address, but I don't use that for iTunes.
[01:34:14.380 --> 01:34:22.260]  I signed up for iTunes way back when using a daring fireball address and I suspected
[01:34:22.260 --> 01:34:29.620]  that might be the problem, but the real problem is that I didn't have two factor authentication
[01:34:29.620 --> 01:34:30.620]  on the store account.
[01:34:30.620 --> 01:34:33.780]  I only turned on two factor for the iCloud account.
[01:34:33.780 --> 01:34:36.580]  Oh God, this is tedious, John.
[01:34:36.580 --> 01:34:37.580]  It is tedious.
[01:34:37.580 --> 01:34:42.580]  It's probably a bad idea, but my thinking was, what do I really care about with two
[01:34:42.580 --> 01:34:43.580]  factor?
[01:34:43.580 --> 01:34:44.580]  I don't want to get hacked.
[01:34:44.580 --> 01:34:46.700]  I don't want anybody hacking my email.
[01:34:46.700 --> 01:34:50.020]  I don't want anybody hacking my iCloud backups.
[01:34:50.020 --> 01:34:52.860]  You know, I've got important data in iCloud.
[01:34:52.860 --> 01:34:56.140]  I don't really care if my iTunes account gets hacked.
[01:34:56.140 --> 01:34:57.220]  What are people going to do?
[01:34:57.220 --> 01:34:59.340]  Watch the movies I've already bought?
[01:34:59.340 --> 01:35:01.300]  No, I don't care.
[01:35:01.300 --> 01:35:02.300]  What are they?
[01:35:02.300 --> 01:35:03.500]  Are they going to buy a movie that I don't want?
[01:35:03.500 --> 01:35:06.940]  Well, then I'm going to get the notification from my credit card and I'm going to see that
[01:35:06.940 --> 01:35:10.080]  it was fraud and they'll take care of it, right?
[01:35:10.080 --> 01:35:15.020]  Like there's not as much downside, so I, and I felt very confident that my password was
[01:35:15.020 --> 01:35:16.660]  adequately secured.
[01:35:16.660 --> 01:35:23.020]  It's a unique password that I don't use anywhere else, but anyway, apple pay doesn't work without
[01:35:23.020 --> 01:35:24.020]  two factor.
[01:35:24.020 --> 01:35:27.060]  And so the fact that I had this split account was the thing.
[01:35:27.060 --> 01:35:33.860]  And once I turned two factor on, on the other account, I was able to add the apple card
[01:35:33.860 --> 01:35:35.660]  magically the way you're supposed to.
[01:35:35.660 --> 01:35:36.660]  So there you go.
[01:35:36.660 --> 01:35:39.780]  Nice, nice update on that story.
[01:35:39.780 --> 01:35:44.540]  The other thing is I said, Hey, wouldn't it be nice if you could use your apple cash to
[01:35:44.540 --> 01:35:48.340]  pay your apple card credit balance?
[01:35:48.340 --> 01:35:53.100]  Turns out you can do this, but I didn't realize it because the only way it's exposed is when
[01:35:53.100 --> 01:35:59.580]  you go into the wallet app, you click your apple card and you click like pay early, right?
[01:35:59.580 --> 01:36:02.900]  Instead of waiting for your bill to be due and getting a notification, you could, you
[01:36:02.900 --> 01:36:04.140]  can just pay it off whenever you want.
[01:36:04.140 --> 01:36:08.540]  If you pay now, you get like the little slide up sheet from the bottom that says here, confirm
[01:36:08.540 --> 01:36:09.540]  it.
[01:36:09.540 --> 01:36:14.980]  You can switch your, the source of your payment in that sheet from your bank account to your
[01:36:14.980 --> 01:36:16.340]  apple cash card.
[01:36:16.340 --> 01:36:19.980]  And you can put, you know, even if you only have five bucks on your apple cash card, you
[01:36:19.980 --> 01:36:23.180]  could just put it right towards your apple credit card.
[01:36:23.180 --> 01:36:26.020]  I didn't realize it cause I hadn't tried to pay the card.
[01:36:26.020 --> 01:36:27.660]  So I didn't realize that it was there.
[01:36:27.660 --> 01:36:30.780]  I was just looking at the section where you can add bank accounts.
[01:36:30.780 --> 01:36:34.580]  I thought, wouldn't it be nice if you could add your apple cash card?
[01:36:34.580 --> 01:36:36.680]  So anyway, you can do that.
[01:36:36.680 --> 01:36:43.260]  And then last but not least, I was talking to Jim about a guy who I remember fondly from
[01:36:43.260 --> 01:36:49.060]  the nineties on the home shopping network who would yell and scream at you to buy baseball
[01:36:49.060 --> 01:36:54.100]  cards and tell you you would regret this for the rest of your life.
[01:36:54.100 --> 01:36:59.420]  A couple of people also, a couple of listeners remember him fondly as well and they have
[01:36:59.420 --> 01:37:00.420]  better memories than me.
[01:37:00.420 --> 01:37:01.420]  They remember his name.
[01:37:01.420 --> 01:37:03.060]  His name was Don West.
[01:37:03.060 --> 01:37:07.540]  He apparently was also involved with pro wrestling up in Canada, which tells you a lot about
[01:37:07.540 --> 01:37:08.540]  his attitude.
[01:37:08.540 --> 01:37:12.960]  So I'm going to put a link in the show notes to a YouTube video.
[01:37:12.960 --> 01:37:19.420]  You can watch him doing his thing and you're going to think I was drunk and high to have
[01:37:19.420 --> 01:37:24.780]  enjoyed watching this on a nightly basis and you'd be right.
[01:37:24.780 --> 01:37:26.380]  And then also, Will Ferrell.
[01:37:26.380 --> 01:37:28.460]  This deal makes no sense.
[01:37:28.460 --> 01:37:29.460]  Exactly.
[01:37:29.460 --> 01:37:32.420]  You're going to regret this for the rest of your life.
[01:37:32.420 --> 01:37:36.980]  SNL had a series of skits in the nineties where Will Ferrell played him and they're
[01:37:36.980 --> 01:37:43.380]  hilarious, including one where instead of selling baseball cards, they're selling Star
[01:37:43.380 --> 01:37:51.620]  Wars memorabilia and then they're trying to sell Mark Hamill for $80,000.
[01:37:51.620 --> 01:37:54.420]  Well, that's a discount.
[01:37:54.420 --> 01:37:55.420]  Yeah.
[01:37:55.420 --> 01:38:01.060]  So there's, that's it for follow-up.
[01:38:01.060 --> 01:38:02.980]  Trying to think what else is going on here.
[01:38:02.980 --> 01:38:05.260]  I still can't get Apple cash set up on my phone.
[01:38:05.260 --> 01:38:06.260]  Why?
[01:38:06.260 --> 01:38:07.260]  I don't know.
[01:38:07.260 --> 01:38:09.300]  I, you know, there's a big button to press.
[01:38:09.300 --> 01:38:14.060]  I press the button, turns into a little spinny spins for a while, then turns back into a
[01:38:14.060 --> 01:38:15.060]  button.
[01:38:15.060 --> 01:38:16.060]  Do you have two factor on?
[01:38:16.060 --> 01:38:17.060]  Yeah.
[01:38:17.060 --> 01:38:18.060]  Well, probably.
[01:38:18.060 --> 01:38:19.060]  I don't know.
[01:38:19.060 --> 01:38:21.340]  That would be my thing though.
[01:38:21.340 --> 01:38:22.340]  I know.
[01:38:22.340 --> 01:38:23.760]  But yeah, I'm pretty sure I do.
[01:38:23.760 --> 01:38:28.680]  You would think at some point it would tell me there was an error and what it was now
[01:38:28.680 --> 01:38:31.460]  just spins, gives up.
[01:38:31.460 --> 01:38:36.980]  Do you see that breaking news before we started recording that Jack Dorsey's Twitter account
[01:38:36.980 --> 01:38:38.380]  was hacked?
[01:38:38.380 --> 01:38:40.820]  I just saw the headline, but no, no details.
[01:38:40.820 --> 01:38:43.420]  I'm I'm delighted wrongly.
[01:38:43.420 --> 01:38:49.500]  It should, you know, that's a terrible thing because it could be, it could be anybody.
[01:38:49.500 --> 01:38:54.060]  Well, there's one, there's one particular person who, and I even, when I wrote about
[01:38:54.060 --> 01:38:58.180]  it on during fireball, there's one particular person who I'm terrified of having his Twitter
[01:38:58.180 --> 01:39:04.220]  account hacked because I believe it could literally lead to like a shooting war.
[01:39:04.220 --> 01:39:05.220]  Sure.
[01:39:05.220 --> 01:39:06.220]  Yeah.
[01:39:06.220 --> 01:39:07.220]  Yeah.
[01:39:07.220 --> 01:39:13.180]  And so if we know that is Jack Dorsey's Twitter account could be hacked, I, I worry, I sincere,
[01:39:13.180 --> 01:39:14.660]  I don't think it's an overblown concern.
[01:39:14.660 --> 01:39:19.860]  I mean, Jack Dorsey, I think understands how Twitter works a lot better than the other
[01:39:19.860 --> 01:39:22.220]  guy I'm thinking of.
[01:39:22.220 --> 01:39:23.900]  Yeah.
[01:39:23.900 --> 01:39:28.020]  And so he could be hacked and somebody could spew a bunch of racial nonsense or whatever
[01:39:28.020 --> 01:39:29.020]  they were posting.
[01:39:29.020 --> 01:39:33.420]  I think it'd be pretty, it's, it's, you gotta think, you gotta worry that it's possible
[01:39:33.420 --> 01:39:38.740]  that you know, whose Twitter account could be hacked and somebody could post something
[01:39:38.740 --> 01:39:40.100]  truly dangerous.
[01:39:40.100 --> 01:39:42.380]  So I, I want to laugh.
[01:39:42.380 --> 01:39:43.380]  Yeah.
[01:39:43.380 --> 01:39:45.180]  But I, and I kind of am laughing.
[01:39:45.180 --> 01:39:47.820]  I would, I would be delighted.
[01:39:47.820 --> 01:39:52.540]  This should not happen if the president's account were hacked and somebody came on and
[01:39:52.540 --> 01:40:00.020]  started like posting rational, non-racial nonsense, just seemed like presidential and,
[01:40:00.020 --> 01:40:02.020]  and good.
[01:40:02.020 --> 01:40:03.180]  I would salute that.
[01:40:03.180 --> 01:40:07.160]  I mean, yeah, that would be, honestly, no, don't do it.
[01:40:07.160 --> 01:40:08.160]  Don't do it.
[01:40:08.160 --> 01:40:13.220]  But I, you know, trying to think, you know, it's the end of August, there's not a lot
[01:40:13.220 --> 01:40:14.220]  of news.
