[00:00.000 --> 00:01.680]  David, happy Thanksgiving.
[57:23.520 --> 57:26.480]  Guess what, Memberful has it, it's a built-in feature,
[57:26.480 --> 57:27.760]  so you don't have to worry about
[57:27.760 --> 57:30.480]  how to make it work technically, just use Memberful.
[57:30.480 --> 57:32.120]  They have a world-class support team
[57:32.120 --> 57:34.040]  ready to help you simplify your memberships
[57:34.040 --> 57:35.280]  and grow your revenue.
[57:35.280 --> 57:39.320]  They are on your side, because Memberful only makes money
[57:39.320 --> 57:42.280]  when you, a Memberful creator,
[57:42.280 --> 57:45.280]  get people to sign up for your memberships.
[57:45.280 --> 57:46.880]  People sign up for your memberships,
[57:46.880 --> 57:50.160]  you get recurring revenue and Memberful wins
[57:50.160 --> 57:54.040]  by taking their tiny little slice of the money.
[57:54.040 --> 57:57.960]  You can get started for free with no credit card required,
[57:57.960 --> 57:59.680]  kick the tires, try it out,
[57:59.680 --> 58:01.480]  see everything they have to offer.
[58:01.480 --> 58:02.920]  It's just a terrific service.
[58:02.920 --> 58:04.360]  I use it, you probably use it,
[58:04.360 --> 58:05.960]  anybody listening to this show,
[58:05.960 --> 58:07.080]  whether you know it or not,
[58:07.080 --> 58:09.360]  because they don't put their brand in front of your brand,
[58:09.360 --> 58:12.320]  like Six Colors, Jason Snell's site uses Memberful.
[58:12.320 --> 58:13.200]  You may not even know it,
[58:13.200 --> 58:15.880]  you might be a subscriber to Six Colors
[58:15.880 --> 58:20.720]  or many of the fine podcasts with our friends at Relay.fm.
[58:20.720 --> 58:22.760]  They use Memberful, you may not know it.
[58:22.760 --> 58:25.640]  You just feel like you're signing up for Relay.fm
[58:25.640 --> 58:27.800]  and they stay behind the scenes.
[58:27.800 --> 58:29.080]  It's just a great service.
[58:29.080 --> 58:30.880]  You're probably already subscribed to some.
[58:30.880 --> 58:32.680]  If you have an audience you'd like to monetize,
[58:32.680 --> 58:34.960]  check them out, I recommend it.
[58:34.960 --> 58:38.200]  I'm a happy subscriber to many, many Memberful sites.
[58:38.200 --> 58:43.200]  Go to memberful, M-E-M-B-E-R, memberful, F-U-L,.com,
[58:43.320 --> 58:45.160]  slash talk show today,
[58:45.160 --> 58:46.320]  and they'll know you came from the show.
[58:46.320 --> 58:51.320]  Once again, that's memberful.com slash talk show.
[58:53.240 --> 58:56.240]  Is it safe to say is WidgetSmith is your top app?
[58:57.320 --> 58:59.680]  I think it is my top app,
[58:59.680 --> 59:04.680]  perhaps by a factor of 100 or something along those factors.
[59:05.320 --> 59:07.920]  It is probably the most successful thing
[59:07.920 --> 59:10.280]  I will probably ever make in my entire career.
[59:10.280 --> 59:13.680]  You were on the show last September,
[59:13.680 --> 59:18.160]  and at the time iOS 14 had just shipped
[59:18.160 --> 59:22.640]  and WidgetSmith blew up,
[59:22.640 --> 59:25.960]  because this is what we now call widgets,
[59:25.960 --> 59:28.080]  and there have been all sorts of things over this,
[59:28.080 --> 59:32.520]  but today's Apple world definition of a widget
[59:32.520 --> 59:34.680]  debuted last year with iOS 14.
[59:34.680 --> 59:35.800]  You came on the show.
[59:35.800 --> 59:36.960]  It was a dizzying time.
[59:36.960 --> 59:38.400]  I almost feel bad in hindsight.
[59:38.400 --> 59:41.000]  I feel like maybe you still had,
[59:41.000 --> 59:43.400]  you had emergency bug fixes to squeeze out.
[59:43.400 --> 59:44.840]  Maybe you shouldn't have come on the show,
[59:44.840 --> 59:47.400]  and you certainly didn't need the publicity at the moment.
[59:47.400 --> 59:48.240]  No.
[59:50.320 --> 59:51.840]  One year later, what are your thoughts
[59:51.840 --> 59:55.400]  on the state of widgets in Apple's ecosystem
[59:55.400 --> 59:59.760]  and where WidgetSmith is thriving?
[59:59.760 --> 01:00:02.200]  Yeah, so it's interesting.
[01:00:02.200 --> 01:00:04.440]  So thinking back to a year ago
[01:00:04.440 --> 01:00:08.080]  when widgets were at its highest 14,
[01:00:08.080 --> 01:00:11.360]  and I think in a way that surprised everybody probably,
[01:00:11.360 --> 01:00:15.240]  really took off and really was a marquee feature
[01:00:15.240 --> 01:00:20.240]  that got the attention, not just of the techy people
[01:00:20.880 --> 01:00:23.360]  or the Apple fanboys or whatever.
[01:00:23.360 --> 01:00:25.520]  It was just across the board.
[01:00:25.520 --> 01:00:27.080]  Everybody was excited about widgets,
[01:00:27.080 --> 01:00:30.960]  and they took off, and they took off in ways
[01:00:30.960 --> 01:00:33.840]  that I don't think, and I certainly didn't expect,
[01:00:33.840 --> 01:00:36.080]  but the way WidgetSmith has developed
[01:00:36.080 --> 01:00:39.640]  and what it has been coming to use for
[01:00:39.640 --> 01:00:42.880]  is just wildly different than what I ever would have thought.
[01:00:42.880 --> 01:00:44.160]  I was making something that I thought
[01:00:44.160 --> 01:00:48.560]  was this very power usury, very finicky kind of tool
[01:00:48.560 --> 01:00:51.000]  that lets you display all kinds of fancy weather graphs
[01:00:51.000 --> 01:00:53.240]  and astronomical projections and things,
[01:00:53.240 --> 01:00:55.840]  and it's like, in fact, what most people really cared about
[01:00:55.840 --> 01:01:00.400]  is putting photos of people who are meaningful to them
[01:01:00.400 --> 01:01:04.440]  or things that are meaningful to them on their home screens.
[01:01:04.440 --> 01:01:07.680]  And by a huge margin,
[01:01:07.680 --> 01:01:10.480]  the number one widget type in WidgetSmith
[01:01:10.480 --> 01:01:13.120]  is just the single one-photo widget
[01:01:13.120 --> 01:01:16.040]  that people would just want to choose a picture,
[01:01:16.040 --> 01:01:17.960]  it's a favorite photo for whatever reason,
[01:01:17.960 --> 01:01:19.240]  and they want to put it on their home screen,
[01:01:19.240 --> 01:01:21.440]  and they want to look at it regularly.
[01:01:21.440 --> 01:01:23.480]  And I don't think I ever would have predicted
[01:01:23.480 --> 01:01:25.720]  that I would have ended up being
[01:01:25.720 --> 01:01:29.640]  a digital picture frame maker, and that's my career,
[01:01:29.640 --> 01:01:32.600]  and that is what the vast majority of my revenue
[01:01:32.600 --> 01:01:36.040]  and my business is coming from is from helping people
[01:01:36.040 --> 01:01:38.840]  show digital pictures on their home screen.
[01:01:38.840 --> 01:01:42.240]  And I'm kind of in awe that it's still going,
[01:01:42.240 --> 01:01:47.200]  that a year on, it's still doing really well,
[01:01:47.200 --> 01:01:48.960]  lots of people are still finding it.
[01:01:50.120 --> 01:01:51.600]  And I think the feature,
[01:01:51.600 --> 01:01:53.160]  and I think what it has taught me about it
[01:01:53.160 --> 01:01:56.600]  is it's like widgets, and specifically photo widgets
[01:01:56.600 --> 01:01:59.120]  and that kind of thing is fascinating
[01:01:59.120 --> 01:02:03.280]  for how it lends itself to word-of-mouth marketing
[01:02:03.280 --> 01:02:06.360]  and experiencing growth in that way,
[01:02:06.360 --> 01:02:09.080]  because it's a very straightforward,
[01:02:09.080 --> 01:02:12.120]  easy-to-communicate thing that if someone sees on my phone
[01:02:12.120 --> 01:02:13.880]  that I have a picture of my daughter,
[01:02:13.880 --> 01:02:15.160]  and they're like, huh, I want to do that,
[01:02:15.160 --> 01:02:16.200]  I didn't know you could do that,
[01:02:16.200 --> 01:02:18.700]  and even a year on, I still constantly am hearing
[01:02:18.700 --> 01:02:20.040]  from people who are like, I didn't know
[01:02:20.040 --> 01:02:21.560]  I could do widgets on my home screen,
[01:02:21.560 --> 01:02:24.520]  that you would think in some ways, oh wow,
[01:02:24.520 --> 01:02:25.760]  everyone knows, but it's like, no,
[01:02:25.760 --> 01:02:28.700]  there's billions of, there's a billion active iPhones
[01:02:28.700 --> 01:02:32.480]  in the world, and yeah, there are not a billion people
[01:02:32.480 --> 01:02:34.440]  who probably know about widgets,
[01:02:34.440 --> 01:02:37.360]  and so it's this fascinating kind of experience
[01:02:37.360 --> 01:02:39.280]  where people continue to care about it,
[01:02:39.280 --> 01:02:42.960]  and it's just, it's so obvious and straightforward
[01:02:42.960 --> 01:02:46.440]  that people want it, that you want to be able to show
[01:02:46.440 --> 01:02:49.040]  people, you know, you want to put on your phone
[01:02:49.040 --> 01:02:50.800]  things that mean something to you,
[01:02:50.800 --> 01:02:52.160]  that your home screen, you know,
[01:02:52.160 --> 01:02:54.660]  it's like people like putting the wallpaper pictures
[01:02:54.660 --> 01:02:57.240]  on the lock screen of, you know, pictures that they do,
[01:02:57.240 --> 01:03:00.880]  or just pictures in general, are always so meaningful,
[01:03:00.880 --> 01:03:02.560]  and that's turned out to be what, you know,
[01:03:02.560 --> 01:03:04.760]  it's like WidgetSmith is about, or widgets in general,
[01:03:04.760 --> 01:03:05.980]  and I wouldn't have predicted that,
[01:03:05.980 --> 01:03:07.280]  I don't think Apple would have predicted that,
[01:03:07.280 --> 01:03:09.640]  I mean, it's, but it's been, you know,
[01:03:09.640 --> 01:03:11.040]  quite a ride as a result.
[01:03:11.040 --> 01:03:13.500]  It resonates, I wrote about this recently,
[01:03:13.500 --> 01:03:15.660]  I think when I was writing, doing my review
[01:03:15.660 --> 01:03:17.960]  of the Series 7, I know people who work at,
[01:03:17.960 --> 01:03:22.060]  on WatchOS at Apple, and sometimes when friends leave
[01:03:22.060 --> 01:03:23.520]  and go to other parts of Apple,
[01:03:23.520 --> 01:03:25.040]  they're a little bit more willing,
[01:03:25.040 --> 01:03:28.840]  a few years down the road, to tell war stories,
[01:03:28.840 --> 01:03:32.760]  but like famously, Apple, WatchOS does not support
[01:03:32.760 --> 01:03:35.680]  custom watch faces, so like a third-party developer
[01:03:35.680 --> 01:03:37.140]  doesn't get to design the whole face,
[01:03:37.140 --> 01:03:39.120]  you get, you can design complications
[01:03:39.120 --> 01:03:42.740]  that go in Apple's faces, and it almost seems like
[01:03:42.740 --> 01:03:44.240]  we're enough years into this where people
[01:03:44.240 --> 01:03:45.760]  have stopped complaining about it,
[01:03:45.760 --> 01:03:47.120]  or at least I don't see it anymore,
[01:03:47.120 --> 01:03:48.600]  even though it used to be a major complaint,
[01:03:48.600 --> 01:03:51.480]  because I think people have gotten accustomed to the idea,
[01:03:51.480 --> 01:03:53.800]  okay, yeah, they're gonna design all the watch faces,
[01:03:53.800 --> 01:03:55.960]  and part of that is about battery life, of course,
[01:03:55.960 --> 01:03:58.680]  from the early years, but I think a bigger part
[01:03:58.680 --> 01:04:01.000]  is battery life aside, that they don't wanna trust
[01:04:01.000 --> 01:04:03.600]  third-party developers to have this always-running
[01:04:03.600 --> 01:04:05.960]  thing on the watch, is the branding,
[01:04:05.960 --> 01:04:09.200]  that it's just, it really, it's a way that Apple,
[01:04:09.200 --> 01:04:12.040]  as different as an Apple Watch is from a traditional watch,
[01:04:12.040 --> 01:04:15.140]  even pre-Apple Watch digital watches,
[01:04:15.140 --> 01:04:17.840]  but certainly from, you know, like mechanical watches,
[01:04:17.840 --> 01:04:20.320]  or just regular analog quartz watches,
[01:04:20.320 --> 01:04:24.080]  but one way that Apple sees the Apple Watch
[01:04:24.080 --> 01:04:26.600]  very similar to traditional watchmakers,
[01:04:26.600 --> 01:04:29.920]  especially the premium brands, is that they consider
[01:04:29.920 --> 01:04:32.520]  the watch face part of the Apple Watch brand,
[01:04:32.520 --> 01:04:34.420]  and in the same way that you could tell,
[01:04:34.420 --> 01:04:37.600]  I can tell a Rolex is a Rolex before I get close enough
[01:04:37.600 --> 01:04:39.820]  to read the word Rolex, all of their watches,
[01:04:39.820 --> 01:04:42.080]  they have very, you know, some of them have lots of diamonds
[01:04:42.080 --> 01:04:45.080]  and mother of pearls surface on the dial,
[01:04:45.080 --> 01:04:48.600]  some of them are just plain black and silver,
[01:04:48.600 --> 01:04:50.360]  but they all look Rolex-y.
[01:04:50.360 --> 01:04:53.400]  Omegas all look like Omega watches,
[01:04:53.400 --> 01:04:56.940]  and Omega has sort of a broader brand,
[01:04:56.940 --> 01:05:00.280]  and it ranges more from sporty to dressy,
[01:05:00.280 --> 01:05:04.440]  but still, I can tell there's just an aesthetic, you know?
[01:05:04.440 --> 01:05:07.920]  It's James Bond movies look like James Bond movies
[01:05:07.920 --> 01:05:10.840]  and sound like them, and Omega watches look like Omega,
[01:05:10.840 --> 01:05:15.520]  and all Apple Watch faces look like Apple Watch faces.
[01:05:15.520 --> 01:05:18.080]  The exception to that, right from the get-go,
[01:05:18.080 --> 01:05:21.520]  with the original, was the photos watch face,
[01:05:23.720 --> 01:05:25.080]  because you can put anything there,
[01:05:25.080 --> 01:05:28.800]  and it also defeated the idea that, like we mentioned,
[01:05:28.800 --> 01:05:31.840]  I think earlier in the show, where the,
[01:05:31.840 --> 01:05:34.680]  with series three and series two in the original,
[01:05:34.680 --> 01:05:38.320]  with those sharp corners on the rectangular screen,
[01:05:38.320 --> 01:05:42.960]  by using black backgrounds on all the other watch faces,
[01:05:42.960 --> 01:05:46.600]  and the way that OLED blacks are true inky blacks,
[01:05:46.600 --> 01:05:49.680]  you couldn't see the corners of the display
[01:05:49.680 --> 01:05:51.360]  where it turned into the bezel,
[01:05:51.360 --> 01:05:53.560]  and it created this very nice illusion
[01:05:53.560 --> 01:05:56.880]  that the whole front face of the Apple Watch
[01:05:56.880 --> 01:05:59.720]  was the display, even though it very much wasn't,
[01:05:59.720 --> 01:06:01.560]  but then you'd use the photo watch face
[01:06:01.560 --> 01:06:04.200]  and put a photo of your kid or your dog on,
[01:06:04.200 --> 01:06:07.040]  and all of a sudden, it was just a perfect rectangle,
[01:06:07.040 --> 01:06:08.600]  and you could see just how chunky
[01:06:08.600 --> 01:06:10.640]  the bezels were surrounding it,
[01:06:10.640 --> 01:06:12.600]  and it didn't have any Apple branding,
[01:06:12.600 --> 01:06:15.120]  and maybe it's not even a very flattering picture
[01:06:15.120 --> 01:06:16.560]  of your dog.
[01:06:16.560 --> 01:06:18.880]  Yeah, but why did they ship it?
[01:06:18.880 --> 01:06:21.080]  Because they knew how many people
[01:06:21.080 --> 01:06:23.680]  would set their desktop picture on their Mac
[01:06:23.680 --> 01:06:25.440]  or their wallpaper on their phone
[01:06:25.440 --> 01:06:27.840]  to pictures of their pets or their kids
[01:06:27.840 --> 01:06:29.440]  or their parents or their loved ones
[01:06:29.440 --> 01:06:32.360]  or a family vacation or something like that,
[01:06:32.360 --> 01:06:34.880]  and that's what so many people love to do,
[01:06:34.880 --> 01:06:39.000]  and they just knew that Johnny Ive's perceived,
[01:06:39.000 --> 01:06:41.320]  you know, I don't know for a fact that it was Johnny Ive,
[01:06:41.320 --> 01:06:43.520]  but let's just say Johnny Ive really wasn't
[01:06:43.520 --> 01:06:45.080]  all that happy about the photo's face
[01:06:45.080 --> 01:06:47.680]  because he kind of wanted every Apple watch face
[01:06:47.680 --> 01:06:51.920]  to be Apple design team approved.
[01:06:51.920 --> 01:06:53.480]  Well, photos is the exception
[01:06:53.480 --> 01:06:57.040]  because people love putting photos on devices,
[01:06:57.040 --> 01:06:58.120]  but the funny thing about doing it
[01:06:58.120 --> 01:07:00.280]  like on the iPhone with the wallpaper, everybody,
[01:07:00.280 --> 01:07:03.440]  I mean, number one, I'm sure thousands of people
[01:07:03.440 --> 01:07:05.680]  listening to this show actually have pictures
[01:07:05.680 --> 01:07:08.160]  of their kids or their wives or their husbands
[01:07:08.160 --> 01:07:10.160]  on their wallpaper or on their phone,
[01:07:11.600 --> 01:07:14.240]  but everybody else knows somebody who does, right?
[01:07:14.240 --> 01:07:16.840]  You cannot go to Thanksgiving this year
[01:07:16.840 --> 01:07:19.360]  and look at everybody's phones and not find
[01:07:19.360 --> 01:07:20.760]  that probably at least half of them
[01:07:20.760 --> 01:07:22.960]  have like family members of their wallpaper,
[01:07:22.960 --> 01:07:24.180]  but the funny thing about doing that
[01:07:24.180 --> 01:07:26.720]  is that they're behind your icons,
[01:07:26.720 --> 01:07:28.720]  so you put like, you get like this great picture
[01:07:28.720 --> 01:07:31.020]  of your daughter and you put her on your phone,
[01:07:31.020 --> 01:07:31.860]  and then what do you do?
[01:07:31.860 --> 01:07:33.880]  You cover it up with icons.
[01:07:33.880 --> 01:07:36.120]  It's sort of, in a way, it's like sort of insulting,
[01:07:36.120 --> 01:07:40.000]  so the picture frame as a widget is like the opposite.
[01:07:40.000 --> 01:07:40.840]  It's the inverse.
[01:07:40.840 --> 01:07:43.160]  It's a way of making that picture prominent,
[01:07:43.160 --> 01:07:44.640]  and it's above the wallpaper.
[01:07:45.560 --> 01:07:49.920]  Yeah, and it's clearly, it resonates.
[01:07:49.920 --> 01:07:52.760]  It is scratching an itch that people clearly had,
[01:07:52.760 --> 01:07:56.440]  that they wanna elevate it from the back of their icons
[01:07:56.440 --> 01:07:58.520]  to be a peer of their icons,
[01:07:58.520 --> 01:07:59.920]  and they can show it and they can see it,
[01:07:59.920 --> 01:08:02.560]  and I think what's interesting is
[01:08:02.560 --> 01:08:05.760]  Apple always does a great job in their own photos widget.
[01:08:05.760 --> 01:08:07.800]  They're doing these crazy machine learning models
[01:08:07.800 --> 01:08:10.640]  to identify the photos that they think would look good
[01:08:10.640 --> 01:08:13.440]  and would make you happy and are doing some really
[01:08:13.440 --> 01:08:15.200]  clever things there, and I thought,
[01:08:15.200 --> 01:08:18.640]  when iOS 14 launched, they only had one photo widget,
[01:08:18.640 --> 01:08:21.780]  and it was their, sort of essentially their memories widget
[01:08:21.780 --> 01:08:24.580]  that's doing this kind of clever surfacing of photos
[01:08:24.580 --> 01:08:26.820]  from your entire photo library,
[01:08:26.820 --> 01:08:28.920]  and I expected what they would do is, at some point,
[01:08:28.920 --> 01:08:30.960]  you see like, in iOS 15, there was gonna be
[01:08:30.960 --> 01:08:33.140]  more photo widgets that they would have, say,
[01:08:33.140 --> 01:08:35.720]  the ability to, in the Photos app,
[01:08:35.720 --> 01:08:37.480]  where right now, if you hit share,
[01:08:37.480 --> 01:08:40.320]  one of the options is set as wallpaper.
[01:08:40.320 --> 01:08:41.960]  I expected, at some point, to be like,
[01:08:41.960 --> 01:08:44.080]  set as widget, and it didn't happen,
[01:08:44.080 --> 01:08:45.840]  and I'm certainly not sad about that.
[01:08:45.840 --> 01:08:49.600]  I'm certainly, I'm very glad that that has not happened yet,
[01:08:49.600 --> 01:08:51.460]  and maybe in iOS 16, it'll come,
[01:08:51.460 --> 01:08:53.920]  and it'll Sherlock me a bit,
[01:08:53.920 --> 01:08:56.600]  but the reality is, and the more I thought about it,
[01:08:56.600 --> 01:08:59.680]  the more I can slightly see where
[01:09:01.200 --> 01:09:04.680]  apps like Widgetsmith let Apple do things
[01:09:04.680 --> 01:09:09.600]  in their Apple-y way without the need to add that feature,
[01:09:09.600 --> 01:09:13.720]  because their widgets are always gonna show
[01:09:13.720 --> 01:09:15.760]  beautiful pictures that, it's like,
[01:09:15.760 --> 01:09:18.040]  it's a bit of a joke that during the keynotes and things,
[01:09:18.040 --> 01:09:20.000]  like the pictures and all their screenshots
[01:09:20.000 --> 01:09:21.480]  are just these amazing families
[01:09:21.480 --> 01:09:24.440]  having these gorgeous trips to amazing places,
[01:09:24.440 --> 01:09:27.240]  and it's always, everyone's happy and everything's perfect.
[01:09:27.240 --> 01:09:28.080]  And-
[01:09:28.080 --> 01:09:28.920]  And perfectly lit.
[01:09:28.920 --> 01:09:29.840]  Yeah, perfectly lit.
[01:09:29.840 --> 01:09:32.060]  Everything's exactly how you would expect,
[01:09:32.060 --> 01:09:35.320]  and the reality is, in my experience of a year of using,
[01:09:35.320 --> 01:09:37.880]  I use my own widgets, but I also use Apple's Photos widget
[01:09:37.880 --> 01:09:40.320]  because it is exceptionally good
[01:09:40.320 --> 01:09:43.500]  at picking out really beautiful pictures from my library
[01:09:43.500 --> 01:09:45.680]  and surfacing things in a way that
[01:09:45.680 --> 01:09:47.320]  I don't think I would feel like,
[01:09:47.320 --> 01:09:48.960]  I'm not sure I'd want to go digging around
[01:09:48.960 --> 01:09:51.400]  in people's photos enough to do that kind of analysis,
[01:09:51.400 --> 01:09:52.820]  even if I thought I could do it,
[01:09:52.820 --> 01:09:57.280]  but I'd never be able to do it as well as Apple can,
[01:09:57.280 --> 01:09:59.600]  but it means that they're leaving up the opportunity
[01:09:59.600 --> 01:10:03.000]  for, for me, for if someone wants a picture
[01:10:03.000 --> 01:10:05.360]  that isn't that perfect, perfectly lit,
[01:10:05.360 --> 01:10:08.280]  gorgeous, amazing photo that's the exact one
[01:10:08.280 --> 01:10:09.960]  where everyone is smiling and everything,
[01:10:09.960 --> 01:10:13.760]  like, there could be other reasons why a photo is important,
[01:10:13.760 --> 01:10:15.260]  that maybe it's slightly out of focus
[01:10:15.260 --> 01:10:18.240]  and slightly off lighting, and it's not the best,
[01:10:18.240 --> 01:10:20.840]  but it's a moment that really means something to you,
[01:10:20.840 --> 01:10:23.960]  and there's no way for the ML model to say,
[01:10:23.960 --> 01:10:25.520]  oh, this is a meaningful moment.
[01:10:25.520 --> 01:10:27.420]  They can just say, oh, it's slightly out of focus
[01:10:27.420 --> 01:10:30.600]  and kind of dark, but, you know, in WidgetSmith,
[01:10:30.600 --> 01:10:32.360]  they can grab that picture and they can elevate it,
[01:10:32.360 --> 01:10:34.840]  but in Apple's one, they can continue to show
[01:10:34.840 --> 01:10:37.780]  that all of their widgets are gonna show beautiful pictures,
[01:10:37.780 --> 01:10:39.440]  and it's amazing, and I love it,
[01:10:39.440 --> 01:10:42.580]  and I think it's reminded me of moments
[01:10:42.580 --> 01:10:44.320]  and pulled things out of my library
[01:10:44.320 --> 01:10:46.420]  that I had not necessarily forgotten,
[01:10:46.420 --> 01:10:50.080]  but I was delighted to be reminded of.
[01:10:50.080 --> 01:10:51.040]  They're two different things,
[01:10:51.040 --> 01:10:53.120]  and I kind of like that both of them are possible,
[01:10:53.120 --> 01:10:55.680]  and they let you sort of customize your phone
[01:10:55.680 --> 01:10:57.480]  in a different way, that one of them,
[01:10:57.480 --> 01:10:59.880]  you're choosing something that's meaningful to you
[01:10:59.880 --> 01:11:01.480]  for reasons that are personal,
[01:11:01.480 --> 01:11:03.560]  and, you know, Apple's widget is choosing photos
[01:11:03.560 --> 01:11:06.160]  that are probably meaningful to you in a different way
[01:11:06.160 --> 01:11:07.760]  for a different set of metrics.
[01:11:07.760 --> 01:11:10.880]  I am constantly amazed by the Memories widget
[01:11:10.880 --> 01:11:13.520]  and how good its pics are.
[01:11:13.520 --> 01:11:15.400]  Like, the batting average for ones
[01:11:15.400 --> 01:11:18.640]  that I consider good photos is astonishing,
[01:11:18.640 --> 01:11:22.160]  and it also surprises me as a longtime user
[01:11:22.160 --> 01:11:24.080]  of Apple's photos, so I've, you know,
[01:11:24.080 --> 01:11:26.260]  my son is 17, he's a senior in high school,
[01:11:26.260 --> 01:11:30.000]  and so I've got photos of him 17 years,
[01:11:30.000 --> 01:11:34.640]  and I've been favoriting ones all of his life,
[01:11:34.640 --> 01:11:36.160]  but they're not just picking ones
[01:11:36.160 --> 01:11:39.160]  that I have tapped the heart button for over the years,
[01:11:39.160 --> 01:11:42.760]  and it constantly surprises me where I'll see one
[01:11:42.760 --> 01:11:44.320]  and think, oh, my God, this is so cute,
[01:11:44.320 --> 01:11:46.520]  I gotta send it to my wife, and I send him to him, too,
[01:11:46.520 --> 01:11:47.640]  I send him to our group chat,
[01:11:47.640 --> 01:11:49.300]  and he's a good sport about it,
[01:11:49.300 --> 01:11:51.000]  and every once in a while, he, you know,
[01:11:51.000 --> 01:11:52.360]  he actually seems to enjoy it.
[01:11:52.360 --> 01:11:54.160]  I'll see, like, one of his favorite toys
[01:11:54.160 --> 01:11:57.380]  from toddlerhood and remember it and talk about it,
[01:11:57.380 --> 01:12:00.040]  but I'll go back, I'll tap through the widget and go
[01:12:00.040 --> 01:12:02.000]  and expect that it already has the heart.
[01:12:02.000 --> 01:12:03.600]  I'm like, well, of course I favorited that one,
[01:12:03.600 --> 01:12:05.520]  and it surprises me how often I didn't,
[01:12:05.520 --> 01:12:08.760]  because at the time, I just thought,
[01:12:08.760 --> 01:12:11.120]  well, I won't delete that one, that's a keeper,
[01:12:11.120 --> 01:12:12.320]  but that was all I thought of it,
[01:12:12.320 --> 01:12:15.600]  and now 15, 16, 14 years later,
[01:12:15.600 --> 01:12:17.760]  it's, like, making my heart melt.
[01:12:17.760 --> 01:12:20.500]  Yeah, and there's no, and there's,
[01:12:20.500 --> 01:12:24.080]  it's amazing that that's something that their model can do
[01:12:24.080 --> 01:12:28.840]  because it's not relying on you to favorite something
[01:12:28.840 --> 01:12:30.640]  is gonna be dependent on your mood
[01:12:30.640 --> 01:12:33.320]  and what you're thinking about, your time and things,
[01:12:33.320 --> 01:12:34.960]  whereas their model can just,
[01:12:34.960 --> 01:12:37.060]  for whatever dark witchcraft they've come up with
[01:12:37.060 --> 01:12:40.160]  to do this, they've worked out how to define
[01:12:40.160 --> 01:12:43.720]  what a good picture is, and they can find them,
[01:12:43.720 --> 01:12:45.240]  and then they can show them to you.
[01:12:45.240 --> 01:12:46.600]  I very rarely have seen a, you know,
[01:12:46.600 --> 01:12:49.200]  had a picture just get surfaced there that I'm like,
[01:12:49.200 --> 01:12:50.060]  why is that one there?
[01:12:50.060 --> 01:12:52.960]  Like, that's weird, you know, but, and it's great,
[01:12:52.960 --> 01:12:57.240]  and I think it's this fascinating tension that lets them,
[01:12:57.240 --> 01:12:58.680]  you know, it's like, it's something that is special
[01:12:58.680 --> 01:13:00.280]  to their widgets that I don't think, you know,
[01:13:00.280 --> 01:13:02.480]  having spent a year working on photo widgets
[01:13:02.480 --> 01:13:05.800]  and that being, like, a meaningful amount of my life,
[01:13:05.800 --> 01:13:08.640]  I don't think anybody could make a photo widget
[01:13:08.640 --> 01:13:10.880]  as good as Apple's photo widget, and that's fine.
[01:13:10.880 --> 01:13:12.600]  The funny thing is, though, if you,
[01:13:12.600 --> 01:13:15.700]  if you just, like, take them as a spec,
[01:13:15.700 --> 01:13:18.040]  like, let's make a product spec
[01:13:18.040 --> 01:13:20.840]  for the Apple Memories photo widget,
[01:13:20.840 --> 01:13:24.600]  and let's make a spec for Widgetsmith's
[01:13:24.600 --> 01:13:27.800]  just-pick-a-picture-and-pick-a-frame photo widget.
[01:13:27.800 --> 01:13:31.120]  The description, and again, I'm not saying, you know,
[01:13:31.120 --> 01:13:33.100]  like, part of what makes Widgetsmith so popular
[01:13:33.100 --> 01:13:34.580]  is that you take a simple idea
[01:13:34.580 --> 01:13:38.480]  and make an exquisitely good customizable UI around it.
[01:13:38.480 --> 01:13:40.240]  So I'm not saying that what you did was easy,
[01:13:40.240 --> 01:13:42.760]  but it's very easy to describe, right?
[01:13:42.760 --> 01:13:46.240]  You pick a favorite photo, pick a size, pick a frame,
[01:13:46.240 --> 01:13:48.120]  and now you have a widget of that,
[01:13:48.120 --> 01:13:52.320]  a permanent frame of that photo are on your home screen.
[01:13:52.320 --> 01:13:55.800]  The Apple feature is like, okay,
[01:13:56.960 --> 01:13:59.560]  figure out a machine-learning model
[01:13:59.560 --> 01:14:03.020]  to find very pleasing photos.
[01:14:03.960 --> 01:14:07.140]  Do it in a completely private way,
[01:14:07.140 --> 01:14:10.320]  because if it weren't private, it would be a disaster
[01:14:10.320 --> 01:14:13.640]  and a publicity disaster and just a bad idea overall.
[01:14:13.640 --> 01:14:16.540]  Do it privately, do it in a way that doesn't, like,
[01:14:16.540 --> 01:14:20.160]  burn the phone's battery down, analyzing all these photos.
[01:14:22.920 --> 01:14:27.760]  Create custom silicon to run machine learning
[01:14:27.760 --> 01:14:30.800]  very efficiently and in parallel.
[01:14:30.800 --> 01:14:33.780]  It's like this massive billion dollar,
[01:14:33.780 --> 01:14:36.820]  it's literally banked on, like, billions of dollars
[01:14:36.820 --> 01:14:39.440]  in research and development into machine learning.
[01:14:41.120 --> 01:14:43.680]  And sometimes what people want
[01:14:43.680 --> 01:14:45.080]  is the simplest thing possible.
[01:14:45.080 --> 01:14:47.640]  No, I just love this one picture of my dog,
[01:14:47.640 --> 01:14:48.800]  and I'd really like to see it
[01:14:48.800 --> 01:14:50.560]  on my second home screen every day.
