[00:00.000 --> 00:05.600]  It's a very special week for you. You're now on the on the door for both Google and Microsoft
[1:22:13.660 --> 1:22:15.660]  Monopoly which is on web search
[1:22:15.660 --> 1:22:22.140]  Yeah, and Chrome is starting to move in that direction to and well, I don't think
[1:22:23.340 --> 1:22:30.140]  Question, I don't think Chrome is ever going to get to monopoly size though. No, probably not but the other thing they're doing now and and
[1:22:31.980 --> 1:22:39.420]  I actually learned a lot about this on friday is that the the EU is like really looking into the way they're using
[1:22:39.900 --> 1:22:43.340]  Google plus as part of search results and
[1:22:43.340 --> 1:22:47.340]  I don't you know they made it just get a slap on the wrist
[1:22:47.340 --> 1:22:51.580]  But some other stuff might happen that they makes it really bad for them, so I don't know
[1:22:53.340 --> 1:22:54.540]  but
[1:22:54.540 --> 1:22:58.540]  So we'll see about that, but yeah, Google searches obviously their biggest well the EU
[1:22:58.540 --> 1:23:04.380]  I know the EU is largely skeptical and I do I had you know wouldn't be surprised at all
[1:23:04.380 --> 1:23:07.500]  And maybe I'd be more surprised if something big doesn't come out of it
[1:23:07.500 --> 1:23:11.180]  But just the general way that Google favors its own products and search results
[1:23:11.180 --> 1:23:17.180]  Yeah, that like if you're just getting worse and if you just type in I'm guessing
[1:23:17.180 --> 1:23:22.700]  I don't know I'm gonna go to google and just type if you type calendar software does it show you know suggest Google calendar
[1:23:23.660 --> 1:23:30.940]  And I know that like when you search for businesses they show Google plus results for that business in a it's not part of
[1:23:31.980 --> 1:23:35.500]  Doesn't show Google calendars at first result, but you know, I don't know
[1:23:35.500 --> 1:23:40.780]  But I know for you if you type like a restaurant name it it favors the Google plus page for that
[1:23:41.180 --> 1:23:43.020]  Oh, yeah, what if you just type calendar all right
[1:23:43.020 --> 1:23:47.180]  If you just type the word calendar in a Google the first result is Google calendar. Oh nice
[1:23:47.820 --> 1:23:51.420]  Well, I don't know is that nice. Oh, I don't know
[1:23:51.420 --> 1:23:57.340]  But I know that the EU is if you're Google. Yeah, so looks very ascanted that because that's what they would call
[1:23:58.540 --> 1:23:59.500]  Is it bundling?
[1:23:59.500 --> 1:24:02.060]  I don't know what the anti-trust term for it is
[1:24:02.060 --> 1:24:06.300]  But it's using it's exactly what Microsoft got in trouble with with windows. It's using
[1:24:06.940 --> 1:24:11.260]  You know that having a monopoly is not necessarily illegal and often isn't illegal at all
[1:24:11.500 --> 1:24:15.580]  But using that monopoly to gain an advantage in a different market is
[1:24:16.780 --> 1:24:20.780]  Right, and if they're using the Google search monopoly to promote Google plus
[1:24:21.740 --> 1:24:23.740]  unreasonably
[1:24:24.060 --> 1:24:30.380]  Against you know natural competitors then that could be problematic. So and not having a monopoly
[1:24:30.380 --> 1:24:34.940]  Gives Apple way more freedom than they would otherwise like there's probably
[1:24:35.820 --> 1:24:42.540]  An arms-length list of things that Apple is doing that if if iOS had 90% smartphone market share
[1:24:44.380 --> 1:24:50.860]  Would certainly oh, yeah certainly have the EU taking them to court and might even have the US Department of Justice
[1:24:50.860 --> 1:24:52.860]  which is even with
[1:24:53.180 --> 1:24:59.020]  You know Obama in the seventh year of his administration is far more business friendly than the EU
[1:24:59.020 --> 1:25:01.900]  Yeah, the app store itself
[1:25:03.340 --> 1:25:08.540]  Yeah, I think yeah, that's probably the prime example that the way that they run the app store and that there's no
[1:25:08.700 --> 1:25:12.380]  Sideloading of apps. It's probably that would probably be the central
[1:25:12.540 --> 1:25:14.540]  That would probably be the the big one
[1:25:14.620 --> 1:25:19.580]  That would probably be like the centerpiece of of illegal fight and I don't think they'd be able to win it
[1:25:20.300 --> 1:25:25.740]  Yeah, which things of I'm you know, I remember in the app store first launch that was kind of a lot of
[1:25:25.740 --> 1:25:31.900]  A lot of controversy, but people seem to have gotten used to it and you know with
[1:25:32.700 --> 1:25:35.420]  Test flight who knows you know in a couple years. There could be
[1:25:36.700 --> 1:25:39.980]  Side, you know more widespread sideloading of apps, but
[1:25:40.780 --> 1:25:44.940]  You know, but that would definitely be the thing and I've even seen people make the stupid argument
[1:25:45.020 --> 1:25:51.020]  Which is that Apple does have a monopoly they have a monopoly on the OS for iPhones, but that's yeah, it's not a monopoly
[1:25:51.900 --> 1:25:53.100]  Yeah
[1:25:53.100 --> 1:25:57.380]  Is anyone is anyone running Android can you crack an iPhone and run Android on there?
[1:25:57.380 --> 1:26:03.540]  I don't think so I've seen people try and maybe there was like once or twice a long time ago where somebody got something vaguely working
[1:26:03.540 --> 1:26:06.900]  But it's not a thing. Well, you cannot
[1:26:08.620 --> 1:26:11.860]  So back to Samsung I think that
[1:26:12.980 --> 1:26:16.460]  The other thing that we're really seeing is that Samsung has
[1:26:17.300 --> 1:26:21.500]  They've done a great job and they've obviously had a good good couple of years
[1:26:21.500 --> 1:26:30.580]  But that there it's increasingly becoming obvious that they're getting pinched on both sides that Apple still dominates or maybe not dominates
[1:26:30.580 --> 1:26:36.220]  But certainly has a long-term a sustained advantage at the high end of the smartphone market like the
[1:26:36.780 --> 1:26:41.020]  multi-hundred price to hand sets that Apple still sells a majority of those
[1:26:41.700 --> 1:26:48.260]  Which is historically where the profits are yeah where the profits are and at the low end at the lower price
[1:26:48.260 --> 1:26:51.700]  And where Apple doesn't compete at all, they're increasingly
[1:26:52.420 --> 1:26:54.900]  losing to companies like Xiaomi and
[1:26:55.340 --> 1:27:00.100]  You know other ones that a lot of us even here in the US haven't even heard of or don't even have access to
[1:27:01.180 --> 1:27:05.700]  But certainly that's that's been a problem for them in China and that is you know
[1:27:05.700 --> 1:27:07.700]  That's where their market share is eroding
[1:27:08.140 --> 1:27:15.540]  Right now and those get you know people to look at Samsung stuff and then maybe even buy a higher end thing or something like that
[1:27:15.540 --> 1:27:19.900]  Right and you lose the advantage to to maybe you know, maybe it's not high margin
[1:27:19.900 --> 1:27:26.020]  But you know low margin times a big number still equals a lot of money. Yeah, yeah, you know
[1:27:26.020 --> 1:27:32.620]  You lose that advantage and then all the scale advantages that come with all that and yeah, you know
[1:27:33.660 --> 1:27:37.780]  You know the post I published that you link to obviously was a little tongue and cheek
[1:27:37.780 --> 1:27:45.260]  You know here's Samsung's future stock chart, and it was the Nokia chart from the day that iPhone
[1:27:45.660 --> 1:27:47.660]  Launched to the day that
[1:27:47.980 --> 1:27:52.740]  Microsoft bought Nokia, so which looks like a ski downhill ski slope
[1:27:53.540 --> 1:28:01.540]  I don't think that's the future for Samsung. I mean, it's a huge conglomerate and they do so much more stuff than
[1:28:01.540 --> 1:28:10.620]  Then I think Nokia did you know ranging from TVs to the chips that go into other phones and that kind of stuff. So and
[1:28:11.300 --> 1:28:13.940]  they've proven I don't see them collapsing, but
[1:28:14.820 --> 1:28:19.700]  It doesn't look great either. All right. They've proven to be more nimble than Nokia
[1:28:19.900 --> 1:28:27.300]  But I don't know if they're nimble enough and it's it's that right. They don't really have good footing in this market, you know
[1:28:27.300 --> 1:28:36.620]  We're I think Apple does and I think company like Xiaomi does and maybe even I know Ben Thompson is is a big
[1:28:39.300 --> 1:28:47.180]  Is bullish on Lenovo once they you know finish the Motorola app acquisition and then Lenovo might do real really well in China
[1:28:48.900 --> 1:28:56.580]  And other places just you know nipping you know 5% here 6% there 7% to another company and all of a sudden the low end is
[1:28:56.580 --> 1:29:02.980]  Is bifurcated and maybe is a lot more like the PC market where there's now all of a sudden Apple has a
[1:29:03.180 --> 1:29:07.580]  You know 5-inch iPhone and and maybe you don't need to buy that galaxy note
[1:29:07.580 --> 1:29:14.900]  So right the last few years, you know to compare the smartphone market and the PC market the last few years have been sort of like
[1:29:15.460 --> 1:29:22.100]  You know if one PC maker just had a enormous market share of windows, you know
[1:29:22.100 --> 1:29:27.580]  60 70% of windows sales like raw Dels that would be really good for Dell
[1:29:27.580 --> 1:29:30.580]  But that's not how the PC market is the PC market, you know, I think
[1:29:31.020 --> 1:29:37.260]  The number one spot has moved around a lot, but it's never been more than like 20% for HP or
[1:29:38.780 --> 1:29:45.460]  Del or any anyone company and it's you know you quickly get into that long tail where there's all sorts of you know
[1:29:45.460 --> 1:29:51.460]  No-name companies making really cheap machines and it's all split up and it's as we can see
[1:29:51.460 --> 1:29:55.500]  There's no, you know, there's there's no money to be made in a market like that
[1:29:56.260 --> 1:30:00.900]  Like nobody else other than Apple is making big money in PCs and it might soon be that no
[1:30:00.900 --> 1:30:04.420]  No other company than Apple is making big money in in mobile handsets
[1:30:05.180 --> 1:30:07.700]  Right, and there's nothing locking Samsung
[1:30:08.260 --> 1:30:14.300]  customers into Samsung the way that there would be and they've tried to you know, I tried to make their own
[1:30:15.580 --> 1:30:17.580]  music and I think
[1:30:17.580 --> 1:30:23.620]  I don't know if they ever did their own app store, but they yeah, they have music. They do have that kind of stuff and
[1:30:24.420 --> 1:30:30.780]  None of that really caught on I think in large part because they're not very good at software. Yeah
[1:30:31.700 --> 1:30:39.100]  And also Google has pressured all the Android companies to you know kind of promote Google play and not
[1:30:39.700 --> 1:30:44.780]  You know at risk of losing all the Google Google support, so right
[1:30:44.780 --> 1:30:48.980]  I think Google has made it such that Samsung really doesn't have that much
[1:30:49.860 --> 1:30:52.060]  to lock people into right
[1:30:52.060 --> 1:30:55.780]  I think then I think they're obviously aware of it because there's no other reason that ties in
[1:30:56.220 --> 1:30:58.220]  their own software platform
[1:30:58.740 --> 1:31:01.620]  Even exists, but I like you said, they're just not good at it
[1:31:01.620 --> 1:31:07.360]  And if they're not even good at making apps for Android I mean how good are they gonna be it making an entire platform and
[1:31:08.420 --> 1:31:11.500]  It's such an uphill battle. I mean you look I mean Microsoft
[1:31:11.500 --> 1:31:14.700]  We know is good at making platforms and good at making
[1:31:16.060 --> 1:31:22.780]  Developer tools and develop as creating developer API's can't get much traction in the market and can't get
[1:31:23.340 --> 1:31:25.340]  first-class support from
[1:31:25.340 --> 1:31:30.820]  Third-party developers the way that Android and iOS have well then how is Samsung going to do it with an all-new platform
[1:31:30.900 --> 1:31:36.060]  Right because it's not just good enough even if they made a version of ties in that was
[1:31:36.540 --> 1:31:40.420]  Objectively speaking good enough, you know like as good as Android
[1:31:40.420 --> 1:31:45.580]  It's that alone doesn't mean that they would get an app store full of third-party apps
[1:31:46.660 --> 1:31:48.260]  Right it's
[1:31:48.260 --> 1:31:51.180]  Totally and then even if they don't then it's dead in the water
[1:31:51.180 --> 1:31:54.060]  It you know to borrow the Henry's phrase. It really would be yeah
[1:31:54.060 --> 1:31:58.580]  I mean because look at my Microsoft has been trying to even pay companies to
[1:31:58.940 --> 1:32:02.380]  Make Windows phone apps and that's been such an uphill battle
[1:32:02.900 --> 1:32:07.140]  All right as it is I think they do you know that to close the loop on this it up
[1:32:07.140 --> 1:32:10.900]  It really makes it just seem even how much more
[1:32:11.940 --> 1:32:18.020]  Impressive and unlikely it was for Apple to succeed such so strongly because
[1:32:18.940 --> 1:32:22.460]  They weren't making mobile phones before and they weren't making
[1:32:23.420 --> 1:32:27.860]  Touch-based operating systems and app stores and all that kind of stuff. It was
[1:32:28.380 --> 1:32:35.460]  It's kind of nuts how well they've done. Yeah, and and the you know the profit margins and all that sort of stuff and not just pieces of it
[1:32:35.460 --> 1:32:40.660]  But all of it like it's the iPhone really is a lot more, you know, for all the praise
[1:32:40.660 --> 1:32:44.020]  It's gotten it really is more even more impressive than it seems
[1:32:45.020 --> 1:32:49.180]  Yeah, I totally agree and I think that it's the way that they made it look easy
[1:32:49.620 --> 1:32:55.900]  Keep makes it easy to overlook that. Yeah. Yeah. I'm just looking here. So Instagram. This is one example
[1:32:55.900 --> 1:32:59.840]  But Instagram for Windows phone debuted eight months ago. So early
[1:33:01.020 --> 1:33:03.020]  2014 but
[1:33:03.020 --> 1:33:08.500]  Instagram for Android came in March 2012. So two years after Android they came out with a Windows phone version and
[1:33:08.980 --> 1:33:13.780]  Instagram was rather famous for being iOS only for what seemed like a long time
[1:33:13.900 --> 1:33:17.420]  Seemed like the Android version took a you know took them a long time to get to
[1:33:17.900 --> 1:33:22.920]  Right, and I remember reading that it was Nokia that actually got them to
[1:33:23.340 --> 1:33:26.140]  To do a Windows version not even Microsoft
[1:33:26.140 --> 1:33:33.580]  Hmm, it was that they were impressed by the cameras on Nokia hardware so they went went and build a Windows phone
[1:33:33.580 --> 1:33:38.860]  Right, so just repeat that over and over again with everybody and then you know filter that down to the smaller
[1:33:39.100 --> 1:33:45.700]  Developers, you know the true indie shops where it's just a handful of developers and designers and you're just not going to get
[1:33:45.700 --> 1:33:48.980]  You're just they're just you're not gonna get the support because they're all writing
[1:33:49.820 --> 1:33:52.620]  iOS and and Android apps now
[1:33:52.620 --> 1:33:57.140]  Yeah, I should look at the blackberry app store and see what's going on there right now
[1:33:57.140 --> 1:34:01.500]  I bet a lot of people have abandoned, you know the companies that had made apps
[1:34:02.500 --> 1:34:07.700]  Even at the beginning of it might not be doing that anymore like I wonder if there's an updated
[1:34:08.260 --> 1:34:11.380]  Yeah, MLB app this year. I don't even know
[1:34:11.980 --> 1:34:15.100]  Yeah, maybe but I wonder. Yeah, I don't even know about that
[1:34:15.900 --> 1:34:18.700]  I used to be I have a bit of a
[1:34:18.700 --> 1:34:23.020]  FU. I know it's most podcasts do the FU at the beginning follow up. I
[1:34:23.660 --> 1:34:29.340]  Should mention this actually. I guess we should well. There's still that bad for blackberry. Look at that. Look at the app at 2014
[1:34:29.740 --> 1:34:36.380]  Yep, yeah, I actually have better some good stories behind that. I wonder if it runs on does it run on both platforms though
[1:34:36.380 --> 1:34:38.380]  Is it just for the old
[1:34:38.540 --> 1:34:40.540]  Blackberry or does it run on the blackberry 10
[1:34:41.420 --> 1:34:45.180]  Because it's two different platforms blackberry 10 huh, so there you go
[1:34:45.180 --> 1:34:50.780]  But you must purchase the device specific version of at bat 14 from the blackberry world
[1:34:51.580 --> 1:34:53.580]  To access it on blackberry 10
[1:34:53.580 --> 1:34:56.460]  I don't know what that means, but I think cool
[1:34:56.460 --> 1:35:01.260]  I think you have to tell them exactly which blackberry model you have because there's two entirely different platforms
[1:35:02.180 --> 1:35:04.740]  Anyway, my FU is when I had
[1:35:05.340 --> 1:35:07.340]  Moltz on the show last episode
[1:35:07.980 --> 1:35:12.900]  I was saying how I can't believe people in today's world would by polarized sunglasses
[1:35:12.900 --> 1:35:15.700]  because you make sure iPhone look crazy and
[1:35:17.620 --> 1:35:20.420]  You know, I've ever seen that you have polarized
[1:35:21.060 --> 1:35:23.060]  Yeah, I have to take them off. Yeah, screens look crazy
[1:35:23.060 --> 1:35:27.700]  I can't see how the screen looks different too. I like the I've had and the iPhone have different effects
[1:35:27.700 --> 1:35:30.500]  Well, I you I heard I got an earful
[1:35:31.220 --> 1:35:33.860]  from the fans of polarized sunglasses and
[1:35:34.820 --> 1:35:39.740]  And to summarize I don't want to stay out, but apparently if you buy quote goods polarized sunglasses
[1:35:39.740 --> 1:35:47.500]  It shouldn't be a problem that it says that's only a function of bad polarized sunglasses if you get expensive ones that are good
[1:35:48.380 --> 1:35:52.380]  Your iPhone will look good only when you hold the iPhone and it's natural
[1:35:53.980 --> 1:35:57.260]  Portrait orientation when you hold it sideways then you get the problem
[1:35:57.980 --> 1:36:02.220]  But so apparently it is possible to use an iPhone with polarized sunglasses
[1:36:02.220 --> 1:36:09.420]  So my apologies to fans of polarized sunglasses in the polarized sunglasses industry
[1:36:10.220 --> 1:36:17.020]  I don't know where mine are actually remember. That was the first time you we met you you put my sunglasses on and you were
[1:36:17.340 --> 1:36:19.340]  Shocked at how dirty they were
[1:36:19.900 --> 1:36:24.460]  Why didn't put yourself? Oh, I know why because I was thinking about I was thinking about their Ray bands
[1:36:24.460 --> 1:36:26.460]  and I was thinking about getting a pair and
[1:36:26.940 --> 1:36:29.420]  I asked you if it was on the roof deck at the
[1:36:29.420 --> 1:36:37.740]  Yeah, the Mac world. No, no the the deck the Mac world deck. No, it was in New York. No, no
[1:36:37.740 --> 1:36:44.380]  No, what's it? SF. Yeah, it was oh, it was a mackerel pronounced party. Oh, I thought it was the the deck book reading
[1:36:45.180 --> 1:36:47.980]  No, I didn't I didn't get to go to that. You didn't go. Oh
[1:36:49.420 --> 1:36:57.340]  That was a different time. I know each time by your time about kudos. Yeah baseball book. Yeah, I say did the deck but no, not the baseball book
[1:36:57.340 --> 1:37:03.740]  It was the oh the field tested book. Yeah field tested books where people have read is the first time I met you
[1:37:03.740 --> 1:37:06.380]  That's not I didn't know those sunglasses back then. All right
[1:37:07.020 --> 1:37:11.660]  Anyway, that is the first time we met that yeah field tested books was a thing that could all used to run
[1:37:11.660 --> 1:37:14.940]  Where he'd ask people to write you'd write a review of a book
[1:37:16.060 --> 1:37:18.060]  Where you read it and so
[1:37:18.940 --> 1:37:22.220]  Just a brilliant idea right and so you it really makes a difference
[1:37:22.220 --> 1:37:28.300]  All right, like if you remember that I read this one book when I was at this one place then that's the that was field tested
[1:37:28.300 --> 1:37:30.140]  Books and it made it it was fascinating
[1:37:30.140 --> 1:37:35.420]  I thought and I had written one and they held a book they had a held a reading in New York and and you were there
[1:37:35.820 --> 1:37:39.260]  Was a lovely event. It was true. Yeah. It was great. I still had that book somewhere
[1:37:39.660 --> 1:37:43.100]  Wonder where yeah, yeah, they had collected them into a book
[1:37:44.060 --> 1:37:46.060]  Anyway, I I
[1:37:46.220 --> 1:37:50.140]  Don't know where my sunglasses are they're over on the somewhere else. Well, I polarized
[1:37:50.140 --> 1:37:54.060]  I remember them being very very our polarized, so I actually want I and they're clean too
[1:37:55.020 --> 1:37:59.820]  Hold on give me two seconds. I'm gonna find them they're right down there next to me. All right, go leave for him
[1:37:59.820 --> 1:38:03.820]  And I'm gonna read the I'm gonna do a third sponsor. Yeah, play background music now
[1:38:03.820 --> 1:38:07.020]  I'm gonna take this opportunity while Dan is hunting down
[1:38:07.980 --> 1:38:14.280]  His polarized sunglasses to tell you back. All right, well, I'm taking this opportunity to tell people about transporter file
[1:38:14.280 --> 1:38:16.280]  Oh, please do great
[1:38:16.280 --> 1:38:21.040]  Another repeat sponsor you've probably heard me talk about them before if you're a regular listener
[1:38:21.040 --> 1:38:23.800]  But if you are or if you haven't short version
[1:38:24.360 --> 1:38:28.600]  Think about it as your own personal drop box. What you do is you buy devices
[1:38:28.600 --> 1:38:33.520]  You buy your own device from file transporter. It's a thing. You buy it. It's a gadget. You plug it in
[1:38:34.120 --> 1:38:36.320]  You connect it to your home network
[1:38:37.000 --> 1:38:43.040]  And you install some software on your Mac and all of a sudden you've got a folder in your home folder that
[1:38:43.040 --> 1:38:48.760]  That syncs to the device and then any other device in your house any other Mac in the house
[1:38:50.320 --> 1:38:55.320]  You can get a folder and it'll do that too. So it's just like Dropbox you have a folder you put files
[1:38:55.320 --> 1:38:58.840]  They sync to the device you can access them from anywhere
[1:38:59.680 --> 1:39:09.160]  The difference is it's your stuff your data is actually stored only on your file transporter device and it drives
[1:39:09.160 --> 1:39:14.600]  You connect to it. So they're right there in your house or in your office. You can buy more than one you can keep one at your house
[1:39:14.600 --> 1:39:16.600]  one at your office
[1:39:16.600 --> 1:39:18.800]  Put one in your parents house put one in your house
[1:39:18.800 --> 1:39:23.040]  And they just if you sign them into the same account, they sync the same data between them
[1:39:23.320 --> 1:39:28.200]  But at no point does your data go to a server on the cloud
[1:39:30.400 --> 1:39:32.640]  Interesting for privacy reasons especially
[1:39:33.560 --> 1:39:38.560]  You know it's given that the the allegations that have come out over the last two years
[1:39:38.560 --> 1:39:42.760]  About what government agencies around the world have been doing to big cloud providers
[1:39:45.160 --> 1:39:50.960]  Also interesting from a legal perspective for certain people in certain industries where you legally are obligated not to put
[1:39:51.160 --> 1:39:55.440]  Devices or data on to devices that you don't actually have physical control over
[1:39:57.240 --> 1:39:59.240]  Really interesting
[1:39:59.240 --> 1:40:04.720]  And I think really appealing to a lot of people whether it's for legal reasons or just privacy reasons
[1:40:04.720 --> 1:40:08.000]  Or just the desire to have control over your own stuff
[1:40:10.040 --> 1:40:12.040]  They have two types of devices
[1:40:12.240 --> 1:40:14.240]  they have
[1:40:14.560 --> 1:40:16.560]  The regular transporter
[1:40:17.120 --> 1:40:24.120]  This comes in 500 gigabyte one terabyte and two terabyte capacity. So that's a thing you buy already has a hard drive in it
[1:40:24.120 --> 1:40:26.120]  You just buy it plug it in
[1:40:26.720 --> 1:40:32.880]  And there's also the transporter sync. That's I call it the puck model. It's just like a little Apple TV puck
[1:40:32.880 --> 1:40:38.680]  Maybe even smaller provides the exact same functionality, but instead of coming with a hard drive you just
[1:40:39.840 --> 1:40:41.840]  You just plug in
[1:40:42.120 --> 1:40:48.080]  Your own USB drive anything with the USB port you any kind of third-party hard drive with a USB port
[1:40:48.200 --> 1:40:51.200]  You plug that in on your own. So if you have a bunch of hard drives
[1:40:51.800 --> 1:40:58.960]  Sitting around or you're already you know have a big one that you want to use you can just buy the transporter sync save some dough and just plug in your own hard drive
[1:40:58.960 --> 1:41:01.960]  Uh, here's the URL go to file
[1:41:03.040 --> 1:41:05.600]  Transporter store dot com file
[1:41:06.080 --> 1:41:13.280]  www dot file transporter store dot com now if you want to buy the transporter you can use this code TTS 10
[1:41:13.280 --> 1:41:18.120]  That's the one that comes with the built-in hard drive. You'll save 10% off your purchase
[1:41:18.120 --> 1:41:22.800]  That's up to 35 bucks for the two terabyte version which costs 350
[1:41:22.800 --> 1:41:31.800]  So you'll save 35 bucks just by using that code TTS 10 the talk show 10 TS 10 TTS 10 if you buy
[1:41:32.520 --> 1:41:37.360]  The sync the little puck model use this code TTS 20
[1:41:37.920 --> 1:41:44.360]  TTS 20 that doesn't save you a percentage just saves you 20 bucks just 20 bucks right off the top of the
[1:41:45.200 --> 1:41:49.720]  Sync model TTS 10 for that one TTS 20 TTS 10
[1:41:49.720 --> 1:41:56.400]  For the transporter TTS 20 for sync would have been easier if they just use one code and
[1:41:58.040 --> 1:42:00.880]  Make it work for both, but don't worry about it. You'll figure it out
[1:42:00.880 --> 1:42:03.800]  You're smart enough to buy a transporter. You're smart enough to use the right code
[1:42:04.760 --> 1:42:07.760]  Everybody who uses either one of those codes gets free shipping
[1:42:08.280 --> 1:42:13.760]  So if you're wondering if transporter would write for you go check it out see for yourself and
[1:42:13.760 --> 1:42:18.800]  And you can buy one and start using it and you have a 30-day risk-free
[1:42:19.360 --> 1:42:22.360]  Satisfaction guarantee. You don't like it use it for a couple of weeks
[1:42:22.960 --> 1:42:26.280]  Box it back up send it back to them. You get all your money back. So there you go
[1:42:26.280 --> 1:42:32.800]  Make sure you enter the code just before the final checkout and check them out at www.filetransporterstore.com
[1:42:32.800 --> 1:42:34.280]  My thanks to them
[1:42:34.280 --> 1:42:41.560]  All right guys shades on I do and so I have four screens in front of me. I have a MacBook Air
[1:42:41.560 --> 1:42:49.680]  I have a iPhone 5 I have a iPad mini and I have this Nexus 7 and they all behave differently with these sunglasses
[1:42:50.640 --> 1:42:57.840]  Some of them work portrait, but not landscape some of them work landscape, but not portrait some work both and some work
[1:42:58.720 --> 1:43:00.720]  Dagg everything but diagonal
[1:43:01.800 --> 1:43:03.480]  So who knows
[1:43:03.480 --> 1:43:08.960]  Well, I do think it's interesting that the iPad mini and the iPhone 5 have different screens
[1:43:08.960 --> 1:43:14.080]  Well, meaning what when you look at your iPhone 5, what do you see? Well, I see a green
[1:43:15.080 --> 1:43:19.320]  As if you had put a green gel over my glasses, so it's terrible
[1:43:19.920 --> 1:43:24.200]  Right, and it doesn't matter whether you hold it sideways or not. No, no, no, if you turn sideways it works fine
[1:43:24.200 --> 1:43:26.200]  But that's landscape
[1:43:26.200 --> 1:43:28.200]  Well, it's almost like two-thirds
[1:43:29.520 --> 1:43:33.360]  Two-thirds diagonal where the colors are better. Well, that's no good
[1:43:33.360 --> 1:43:37.520]  Nobody uses their phone at two-thirds diagonal. No, right, so it's not great
[1:43:37.520 --> 1:43:45.520]  But the iPad mini literally looks totally normal with my sunglasses on so there's in both orientations
[1:43:46.040 --> 1:43:47.520]  well
[1:43:47.520 --> 1:43:49.440]  mostly portrait
[1:43:49.440 --> 1:43:52.800]  But not in landscape landscape. It's a little darker, right?
[1:43:53.320 --> 1:43:59.640]  But either way there's so all that mythology about how they just cut the same screen out of the
[1:44:00.160 --> 1:44:04.520]  Yeah, no, I think we've gotten away from that. I think that's yeah, I don't think that's right
[1:44:04.520 --> 1:44:08.920]  I yeah, because they also laminate the screen to the glass differently
[1:44:09.560 --> 1:44:11.560]  like they they still have another
[1:44:12.160 --> 1:44:18.200]  You know, whatever 16th of an inch. They can make this iPad skinnier if they that way it was written some of that space
[1:44:18.200 --> 1:44:22.400]  It was most obvious. I thought and I realized that that's that I
[1:44:23.000 --> 1:44:29.000]  Propagated that and and it's because they've stuck to it was a simplistic thinking that because they've stuck to these
[1:44:29.000 --> 1:44:35.320]  Same pixel resolutions, you know in the pre retina world. There were only two two pixel resolutions
[1:44:35.320 --> 1:44:38.160]  You know pixels per inch the iPhone one which was like
[1:44:39.120 --> 1:44:43.080]  162 or 163 and the iPad one which was 133 and
[1:44:43.400 --> 1:44:49.320]  They all their iOS devices were one of those two pixel resolutions and then in the retina world it just doubled that it was like
[1:44:49.320 --> 1:44:52.240]  you know, it's 320 something 323 and
[1:44:52.240 --> 1:44:58.080]  267 pixels per inch and every device has one of those pixels per inch thing
[1:44:58.280 --> 1:45:03.160]  But it's it's that's and there might be some economies of scale to sticking with that
[1:45:03.160 --> 1:45:07.560]  But obviously certain devices have different ones. I thought the most obvious was when they came out with the
[1:45:08.280 --> 1:45:10.280]  the iPhone 5
[1:45:11.200 --> 1:45:18.400]  Coming up on two years ago and the still today current because they didn't update it last year the iPod touch that had the
[1:45:18.880 --> 1:45:20.880]  16 to 9 aspect ratio and
[1:45:20.880 --> 1:45:27.920]  It's you know real lightweight and thin device. You know the one the metal the current iPod touch the one that has the camera strap thing and everything
[1:45:29.080 --> 1:45:34.000]  Because the same new screen size same pixel per inch resolution
[1:45:34.200 --> 1:45:35.520]  But the
[1:45:35.520 --> 1:45:40.640]  Saturation and colors on the iPod touch is just nowhere near the quality of the iPhone 5
[1:45:41.520 --> 1:45:47.360]  And similarly with the iPad air and the iPad mini the iPad air has such
[1:45:47.360 --> 1:45:52.240]  Noticeably more vivid color than the mini. Yeah, I think so too
[1:45:52.240 --> 1:45:57.880]  Which as a mini owner? I never noticed but then when I had them side by side. It was pretty shocking
[1:45:57.880 --> 1:46:03.760]  Yeah, I don't I think the mini might have better quality than the iPod touch, but it's definitely not up to the iPod
[1:46:03.760 --> 1:46:07.240]  iPad air is like it's crazy. Yeah
[1:46:07.960 --> 1:46:10.400]  I don't I guess cuz that's a bigger battery or something
[1:46:10.720 --> 1:46:16.280]  Yeah, but anyway the polarized sunglasses. I don't mean to make a terrible pun but apparently it's a very
[1:46:16.280 --> 1:46:18.280]  Polarizing
[1:46:18.440 --> 1:46:19.480]  topic
[1:46:19.480 --> 1:46:21.480]  Yeah, it's a shady
[1:46:21.480 --> 1:46:23.480]  I
[1:46:23.480 --> 1:46:28.040]  Think the moral of the story is if you're getting if you're going sunglasses shopping bring your phone
[1:46:28.040 --> 1:46:33.320]  Yeah, and see what works. Yeah, and take a look at your phone in the when you buy it when you buy the sunglasses
[1:46:33.600 --> 1:46:34.600]  Right
[1:46:34.600 --> 1:46:37.400]  Yeah, there's amazon hash it
[1:46:38.000 --> 1:46:41.720]  Is that it is it hash it hash it? I think it's a shit has shut
[1:46:41.720 --> 1:46:48.360]  Yeah, where I am is on it and has shed the one of the five major book publishers
[1:46:49.680 --> 1:46:56.520]  Are in a continuing spat that they're taking public and and there's then a author's united
[1:46:57.160 --> 1:47:02.360]  Movement between which you know again. It's not unanimous certainly not that all authors are even all
[1:47:03.560 --> 1:47:06.120]  Successful authors are on has shut side
[1:47:06.760 --> 1:47:11.040]  Definitely not the case, but there's a lot of authors who are see it on the publisher side
