[00:00.000 --> 00:09.040]  Good evening, podcast listeners.
[01:17:55.280 --> 01:17:59.280]  Like, the old version and the new version, you want them side by side, you know, and,
[01:17:59.280 --> 01:18:01.280]  you know, like, so it hasn't evolved in a way.
[01:18:01.280 --> 01:18:05.280]  It's not, it hasn't ate to the Mac, and you can just hit Command-N 10 times and
[01:18:05.280 --> 01:18:06.280]  make 10 text edit windows.
[01:18:06.280 --> 01:18:07.280]  Right.
[01:18:07.280 --> 01:18:11.280]  Not appropriate for the iPad experience and the precision of the control.
[01:18:11.280 --> 01:18:16.280]  But having 2UP is, it just seems like a huge breakthrough for a lot of use cases.
[01:18:16.280 --> 01:18:18.280]  Oh, it's a slide over when you need something.
[01:18:18.280 --> 01:18:19.280]  Yeah, it totally is.
[01:18:19.280 --> 01:18:22.280]  And then, yeah, you want to get at that one extra thing for quick moments.
[01:18:22.280 --> 01:18:23.280]  You have slide over.
[01:18:23.280 --> 01:18:32.280]  Yeah, I mean, I think for many of us, really in a very organic way, iPad has become, taken
[01:18:32.280 --> 01:18:35.280]  more and more of our time.
[01:18:35.280 --> 01:18:40.280]  And you should have every, again, every device by every one of them and use them for all
[01:18:40.280 --> 01:18:41.280]  right jobs.
[01:18:41.280 --> 01:18:48.280]  But iPad is just, it's such a great combination of characteristics for so many activities
[01:18:48.280 --> 01:18:52.280]  that, and I think things like split view and slide over make a big difference.
[01:18:52.280 --> 01:19:00.280]  I try, I try not to make the mistake of ever telling an engineer, this should be easy,
[01:19:00.280 --> 01:19:02.280]  you know, with this idea, right?
[01:19:02.280 --> 01:19:03.280]  It's just typing.
[01:19:03.280 --> 01:19:08.280]  I say it all the time.
[01:19:08.280 --> 01:19:14.280]  Now I see SwiftUI, it's not even typing.
[01:19:14.280 --> 01:19:21.280]  But that said, USB drives and SD card support, finally?
[01:19:21.280 --> 01:19:23.280]  Yeah, yeah.
[01:19:23.280 --> 01:19:28.280]  Well, I think there's more to this than just putting a USB stack in the OS.
[01:19:28.280 --> 01:19:30.280]  Yeah, sure.
[01:19:30.280 --> 01:19:35.280]  I mean, we, there was.
[01:19:35.280 --> 01:19:38.280]  You're right.
[01:19:38.280 --> 01:19:46.280]  We, from a security architecture point of view, we did not want to have file system
[01:19:46.280 --> 01:19:52.280]  drivers running in the kernel, communicating with external media that could be potentially
[01:19:52.280 --> 01:19:53.280]  tampered with.
[01:19:53.280 --> 01:19:57.280]  And that's what you're dealing with when you're talking about plugging in external media into
[01:19:57.280 --> 01:19:58.280]  a device like the iPad.
[01:19:58.280 --> 01:20:08.280]  And so getting all of our file systems to be isolated from the kernel, and we didn't
[01:20:08.280 --> 01:20:14.280]  want to just support, you know, the MS-DOS file system, right?
[01:20:14.280 --> 01:20:19.280]  So we wanted APFS support, the whole thing, getting all those file systems in a place
[01:20:19.280 --> 01:20:25.280]  where they fit with the iOS security architecture and doing the same for SMB and so forth.
[01:20:25.280 --> 01:20:28.280]  That was a real hardcore engineering effort.
[01:20:28.280 --> 01:20:32.280]  And so we didn't want to launch it until we could have the complete story and have it
[01:20:32.280 --> 01:20:34.280]  secure in a way that people expect from iOS.
[01:20:34.280 --> 01:20:37.280]  I'm excited about the fonts.
[01:20:37.280 --> 01:20:38.280]  Yeah.
[01:20:38.280 --> 01:20:41.280]  Right?
[01:20:41.280 --> 01:20:46.280]  And I mentioned this on my show recently, but I think there's a similar angle there
[01:20:46.280 --> 01:20:50.280]  on the security front, which is, and one part of me wants to say, oh, my God, this iPad
[01:20:50.280 --> 01:20:52.280]  is so old and it's so beautiful.
[01:20:52.280 --> 01:20:55.280]  And I can't believe I can't install custom fonts easily yet.
[01:20:55.280 --> 01:21:01.280]  But there is a security angle there because modern fonts, you know, that type, you know,
[01:21:01.280 --> 01:21:06.280]  open, open, what's the format, open type and true type, they're software programs.
[01:21:06.280 --> 01:21:07.280]  Yeah.
[01:21:07.280 --> 01:21:14.280]  And I'm sure that's part of the thinking of why this was considered for many years
[01:21:14.280 --> 01:21:16.280]  before we've had this.
[01:21:16.280 --> 01:21:23.280]  Well, having them, certainly you're right that as an attack surface, fonts are something
[01:21:23.280 --> 01:21:28.280]  that has been exploited over time and one where we put a bunch of effort into hardening.
[01:21:28.280 --> 01:21:33.280]  But the other factor is being able to have them go through the app store, meaning that
[01:21:33.280 --> 01:21:38.280]  those fonts aren't something that are going to become an itchy willy nilly is very helpful
[01:21:38.280 --> 01:21:40.280]  in this architecture as well.
[01:21:40.280 --> 01:21:51.280]  But I think this was a matter of something that we could have done in the past.
[01:21:51.280 --> 01:21:56.280]  It wasn't that suddenly the stars aligned from a possibility point of view, but from
[01:21:56.280 --> 01:22:00.280]  a priority point of view, iPads become more and more device where you're going to be
[01:22:00.280 --> 01:22:03.280]  doing those kinds of things and you're going to want that kind of capability.
[01:22:03.280 --> 01:22:09.280]  You know, when you put together things like all the capabilities with files, all the kinds
[01:22:09.280 --> 01:22:17.280]  of more creation oriented apps that have grown up around iPad, it became, I think, a necessity,
[01:22:17.280 --> 01:22:19.280]  something we felt we really needed on the platform.
[01:22:19.280 --> 01:22:20.280]  Yeah.
[01:22:20.280 --> 01:22:25.280]  It seems like, again, the keynote was like, we're moving, we're moving.
[01:22:25.280 --> 01:22:31.280]  But it seems to me from getting a little bit of hands on time with it that the, I don't
[01:22:31.280 --> 01:22:37.280]  know if it was completely rewritten, but seriously rethought text selection and moving the insertion
[01:22:37.280 --> 01:22:42.280]  point and when it's going slow, you're going character by character and you can drag over
[01:22:42.280 --> 01:22:48.280]  on the, you know, like off the margin and it just goes down to the end of lines and
[01:22:48.280 --> 01:22:52.280]  it just has so many more useful things and you don't need a magnifying glass anymore
[01:22:52.280 --> 01:22:58.280]  and you can select like, that seems like that was a big deal and it sort of feels like something
[01:22:58.280 --> 01:23:01.280]  that iOS never really got right before.
[01:23:01.280 --> 01:23:08.280]  Like text selection and manipulating the text selection always has felt a little too, more
[01:23:08.280 --> 01:23:12.280]  fiddly than it ought to be and I have no idea, you know, had no idea how to fix it, but it
[01:23:12.280 --> 01:23:14.280]  just felt a little fiddly.
[01:23:14.280 --> 01:23:16.280]  No, we agree.
[01:23:16.280 --> 01:23:24.280]  I think it is one of those areas that in the past you felt like this is harder than doing
[01:23:24.280 --> 01:23:28.280]  it on a Mac, right, that I'm using an iPad and I'm feeling like, gosh, I just want to
[01:23:28.280 --> 01:23:30.280]  cut and paste something and this is much harder.
[01:23:30.280 --> 01:23:36.280]  And I think, you know, when we first introduced text selection and copy paste and undo on
[01:23:36.280 --> 01:23:45.280]  iPhone, yeah, yeah, you know, part of it was just, it was extremely, let's teach you how
[01:23:45.280 --> 01:23:48.280]  to do this in a really kind of overt demonstrative way.
[01:23:48.280 --> 01:23:51.280]  You're going to put your finger down, tap, you're going to get a big magnifying glass,
[01:23:51.280 --> 01:23:53.280]  okay, we all get what's going on here.
[01:23:53.280 --> 01:23:56.280]  I mean, there was almost an instructional element to the interface, but it was also
[01:23:56.280 --> 01:24:04.280]  very heavy, and so getting to the right solution here, I'll tell you, it was, it's been
[01:24:04.280 --> 01:24:10.280]  something we have taken runs at for multiple years and come back and felt like we don't
[01:24:10.280 --> 01:24:15.280]  yet have it, you know, and those are things where you don't just throw it against the
[01:24:15.280 --> 01:24:16.280]  wall.
[01:24:16.280 --> 01:24:19.280]  I mean, you do internally you throw it against the wall, but, you know, externally we wanted
[01:24:19.280 --> 01:24:27.280]  to get it right, and it took a lot of, you know, careful craftsmanship to get it right.
[01:24:27.280 --> 01:24:30.280]  You know, you're kind of, you have this problem where, okay, I'm going to tap on
[01:24:30.280 --> 01:24:35.280]  it, so my finger's now covering the evidence of the thing that I did.
[01:24:35.280 --> 01:24:36.280]  Where does the cursor go?
[01:24:36.280 --> 01:24:40.280]  If it hops up above the finger, then it's not where I thought it was.
[01:24:40.280 --> 01:24:44.280]  If it's under the finger and then I try to move down, well, I never see it.
[01:24:44.280 --> 01:24:48.280]  And so if you start to study the subtleties of what we had to do to make it feel like,
[01:24:48.280 --> 01:24:52.280]  oh, it works like you'd expect, it actually, the mechanics are, you know, pretty, pretty
[01:24:52.280 --> 01:24:53.280]  tough.
[01:24:53.280 --> 01:24:55.280]  But I think, I think we got it.
[01:24:55.280 --> 01:24:59.280]  And part of that, oh, this might be easier if I go to my Mac.
[01:24:59.280 --> 01:25:02.280]  Like, cut, copy, paste is one of those things where I'm sure every single person in this
[01:25:02.280 --> 01:25:07.280]  room do cut, copy, paste without thinking about what their fingers are doing.
[01:25:07.280 --> 01:25:11.280]  You just learn to do it, and it, the three finger gestures feel like they, they're
[01:25:11.280 --> 01:25:12.280]  going to get like that.
[01:25:12.280 --> 01:25:15.280]  If you use your iPad, you're going to just pick that up and you're going to start
[01:25:15.280 --> 01:25:17.280]  like, like you're picking up the test.
[01:25:17.280 --> 01:25:18.280]  Yeah.
[01:25:18.280 --> 01:25:23.280]  And, but my concern, I'm wondering if you're worried, my concern is by being three finger
[01:25:23.280 --> 01:25:26.280]  gestures, are you worried that it's a discoverability problem?
[01:25:26.280 --> 01:25:31.280]  That, that how are people going to know that they can do these things very easily?
[01:25:31.280 --> 01:25:32.280]  It, it might be.
[01:25:32.280 --> 01:25:36.280]  And, and, but that's why we always provide, I mean, I think command C, you know, heck,
[01:25:36.280 --> 01:25:39.280]  I mean, when I send emails, right, it's like command shift D, right?
[01:25:39.280 --> 01:25:42.280]  I, I don't, I don't think everyone in my family does command shift D, but I do it
[01:25:42.280 --> 01:25:44.280]  a thousand times a day.
[01:25:44.280 --> 01:25:48.280]  And so, the, it's, it's okay.
[01:25:48.280 --> 01:25:55.280]  Part of what we've given ourselves permission to do over time is to say the iPad experience
[01:25:55.280 --> 01:26:00.280]  has to be, you know, the experience that a young child or a first time elderly computer
[01:26:00.280 --> 01:26:04.280]  user can walk up to and understand, not get themselves in trouble.
[01:26:04.280 --> 01:26:10.280]  But at the same time, there can be depth to the platform that you can discover and you
[01:26:10.280 --> 01:26:15.280]  can become a pro and, and really accelerate your work.
[01:26:15.280 --> 01:26:22.280]  And so, it's, the iPad is perfectly usable to do cut, copy, paste in the traditional
[01:26:22.280 --> 01:26:27.280]  way, you know, tap on it, up comes a call out bar, tap copy.
[01:26:27.280 --> 01:26:30.280]  And we're totally fine with many users doing that, just like we're fine with people
[01:26:30.280 --> 01:26:36.280]  going up to the edit menu and clicking, you know, and pulling down and doing copy.
[01:26:36.280 --> 01:26:41.280]  But just like keyboard accelerators, these gestures will become, I think, just complete
[01:26:41.280 --> 01:26:45.280]  muscle memory for many of us and, and we'll accelerate what we do.
[01:26:45.280 --> 01:26:49.280]  Yeah, just a serious reduction in mental friction because you're just doing your thing and
[01:26:49.280 --> 01:26:50.280]  you're not thinking about it.
[01:26:50.280 --> 01:26:53.280]  Yeah, and it's funny, you know, we, we tried many different kinds of gestures and some
[01:26:53.280 --> 01:26:57.280]  of them on paper seem like, oh, well, this is going to be great.
[01:26:57.280 --> 01:27:03.280]  And it's interesting that just how in your mind it became this idea of I'm almost picking
[01:27:03.280 --> 01:27:07.280]  something up to copy and putting it down to paste, we found that people could learn it
[01:27:07.280 --> 01:27:10.280]  and perform it much more reliably than a bunch of other gestures.
[01:27:10.280 --> 01:27:12.280]  And so, funny how the brain works.
[01:27:12.280 --> 01:27:15.280]  All right, we're getting close to the end, so we've got to enter the speed round.
[01:27:15.280 --> 01:27:21.280]  Pencil, latency support on the iPad Pro has gone from 20 milliseconds to 9 milliseconds.
[01:27:21.280 --> 01:27:23.280]  That seems crazy to me in a software update.
[01:27:23.280 --> 01:27:29.280]  That sounds to me like the pitch from the next iPad Pro, you know, that it's a hardware
[01:27:29.280 --> 01:27:30.280]  thing.
[01:27:30.280 --> 01:27:32.280]  Like, that's, that's a huge reduction.
[01:27:32.280 --> 01:27:33.280]  That's crazy.
[01:27:33.280 --> 01:27:34.280]  Yeah.
[01:27:34.280 --> 01:27:43.280]  Well, so there's a piece of it that is optimization and, you know, just scheduling the true motion
[01:27:43.280 --> 01:27:47.280]  display, getting in at exactly the right moment to get the draw commands in and recognize
[01:27:47.280 --> 01:27:48.280]  the input and so forth.
[01:27:48.280 --> 01:27:52.280]  And part of it is prediction and it turns out that, you know, the human hand can only
[01:27:52.280 --> 01:27:54.280]  accelerate at a certain part.
[01:27:54.280 --> 01:27:57.280]  If you're going to start to turn, you're going to sense the, you know, second derivative
[01:27:57.280 --> 01:28:01.280]  of motion is going to, you know, so you can, you can actually run, run the math on that.
[01:28:01.280 --> 01:28:05.280]  And in fact, we, we had one part where we turned the prediction up.
[01:28:05.280 --> 01:28:10.280]  So instead of trying to guess where you were going to be, it, it, we pushed it way ahead,
[01:28:10.280 --> 01:28:15.280]  you know, so it actually predict before it would be running ahead of your pencil.
[01:28:15.280 --> 01:28:18.280]  And, and if you pushed it far enough, you can just put the pencil down and just write
[01:28:18.280 --> 01:28:19.280]  your whole message.
[01:28:19.280 --> 01:28:22.280]  It's very good.
[01:28:22.280 --> 01:28:24.280]  It's negative latency.
[01:28:24.280 --> 01:28:26.280]  It's, that's next release.
[01:28:26.280 --> 01:28:30.280]  So you can keep that amongst us, but that's where it's going.
[01:28:30.280 --> 01:28:37.280]  If you're our competitors at this point, ignore everything you heard.
[01:28:37.280 --> 01:28:44.280]  ARKit had a significant amount of time in the demo and ARKit 2 was like a huge upgrade
[01:28:44.280 --> 01:28:51.280]  over ARKit 1 and ARKit 3 one year later is all of a sudden occluding people on the device.
[01:28:51.280 --> 01:28:53.280]  That's a pretty nice applause from the AR developers.
[01:28:53.280 --> 01:28:57.280]  And I've played with it and it is uncanny.
[01:28:57.280 --> 01:29:00.280]  It is really, really crazy.
[01:29:00.280 --> 01:29:01.280]  And that's machine learning.
[01:29:01.280 --> 01:29:07.280]  I mean, really the techniques in order to figure out what's a person, where's the person,
[01:29:07.280 --> 01:29:13.280]  what are these pixels or people pixels is, is a task actually that amazingly with the
[01:29:13.280 --> 01:29:16.280]  right algorithms and the right training we can do.
[01:29:16.280 --> 01:29:19.280]  And what's, what's incredible is you can, you know, we had some things where we'd like
[01:29:19.280 --> 01:29:23.280]  color, you know, color the hand or white color, the color of the person.
[01:29:23.280 --> 01:29:27.280]  And you sort of get it when you, you know, in person would walk out in front and then
[01:29:27.280 --> 01:29:28.280]  figure out where the person was.
[01:29:28.280 --> 01:29:32.280]  But when you go like this and you get the tip of your shoe and it goes, that's part
[01:29:32.280 --> 01:29:37.280]  of a person, stick a finger in, like it's, it's pretty, it's pretty incredible how
[01:29:37.280 --> 01:29:40.280]  it can recognize people parts.
[01:29:40.280 --> 01:29:44.280]  Don't push it too far.
[01:29:44.280 --> 01:29:51.280]  Don't push it too far.
[01:29:51.280 --> 01:29:52.280]  The training set had boundaries.
[01:29:52.280 --> 01:29:59.280]  You know what you've caused a lot of testing, a lot of tests.
[01:29:59.280 --> 01:30:09.280]  All right, Craig, I need you, I'm sorry, damage control.
[01:30:09.280 --> 01:30:13.280]  I need you to explain to me the difference between AR kit and reality kit.
[01:30:13.280 --> 01:30:15.280]  Yeah, yeah, they're, they're, they're quite distinct.
[01:30:15.280 --> 01:30:21.280]  So, so reality kit is a full AR oriented 3d rendering engine.
[01:30:21.280 --> 01:30:26.280]  So, and it's not just a rendering engine, it's a physics engine.
[01:30:26.280 --> 01:30:29.280]  It does, it's an animation engine.
[01:30:29.280 --> 01:30:35.280]  So it's, it's, it's, and it's actually, it was designed from the outset to be focused
[01:30:35.280 --> 01:30:36.280]  on AR.
[01:30:36.280 --> 01:30:40.280]  So the objective of its rendering techniques are about making things look real.
[01:30:40.280 --> 01:30:46.280]  And part of that are things like, you know, a perfectly rendered object that isn't, that
[01:30:46.280 --> 01:30:50.280]  doesn't have the same noise characteristics as what's coming off the camera stands out,
[01:30:50.280 --> 01:30:51.280]  right?
[01:30:51.280 --> 01:30:59.280]  If you move and some things are blurring because they're real and the AR object looks strangely
[01:30:59.280 --> 01:31:01.280]  fixed there, then it doesn't look real.
[01:31:01.280 --> 01:31:06.280]  And so we did things like motion blur and noise as part of the rendering.
[01:31:06.280 --> 01:31:14.280]  AR kit is the thing that's providing understanding of the world, the planes in the world doing
[01:31:14.280 --> 01:31:20.280]  VIO, so understanding between the accelerometers and tracking through the camera textures on
[01:31:20.280 --> 01:31:24.280]  the ground and stuff to understand what the geometry of the world is so that a 3d engine
[01:31:24.280 --> 01:31:27.280]  like reality kit can go render objects in there.
[01:31:27.280 --> 01:31:33.280]  And the two of them are super tightly integrated because some of what AR kit is perceiving
[01:31:33.280 --> 01:31:37.280]  about, for instance, ambient light and understanding that, oh, the way you should be lighting the
[01:31:37.280 --> 01:31:42.280]  object that you're rendering should take into account all these factors to make it fit in
[01:31:42.280 --> 01:31:43.280]  the real world.
[01:31:43.280 --> 01:31:45.280]  So the two are really complimentary in that way.
[01:31:45.280 --> 01:31:52.280]  And then reality composer is a 3d creation environment that's kind of, it's sort of interface
[01:31:52.280 --> 01:31:55.280]  builder and keynote in 3d.
[01:31:55.280 --> 01:31:59.280]  So you can lay out all your objects, but then you can also in a keynote sort of fashion
[01:31:59.280 --> 01:32:02.280]  easily assign behaviors and animations to them.
[01:32:02.280 --> 01:32:04.280]  So it makes it very accessible.
[01:32:04.280 --> 01:32:10.280]  The demo I saw of reality composer, again, talk about an app that got short shrift in
[01:32:10.280 --> 01:32:11.280]  the keynote.
[01:32:11.280 --> 01:32:14.280]  I mean, this app is amazing.
[01:32:14.280 --> 01:32:20.280]  It is like, you know, we, I clearly a lot of work went into this almost certainly years.
[01:32:20.280 --> 01:32:26.280]  I know you guys don't talk about how long, but this is like a full fledged 3d development
[01:32:26.280 --> 01:32:31.280]  creation app with all the features, you know, you know, if you've used any kind of creation
[01:32:31.280 --> 01:32:38.280]  app like keynote or, uh, come on, we're not sloppy drinkers here.
[01:32:38.280 --> 01:32:42.280]  Come on, hold your, hold your beer.
[01:32:42.280 --> 01:32:47.280]  It's a, it's just 1.0 is a really, really rich, deep app.
[01:32:47.280 --> 01:32:56.280]  And in a market where the competing apps like I'm going to Maya and these things are, there's
[01:32:56.280 --> 01:33:01.280]  literally only like a few thousand people in the world who know how to use them because
[01:33:01.280 --> 01:33:07.280]  they're so opaque and require, it's like a, you know, airplane flying an airplane.
[01:33:07.280 --> 01:33:08.280]  Yeah.
[01:33:08.280 --> 01:33:12.280]  These buttons and stuff, you know, it's, and this is, this is a total Apple, the app that
[01:33:12.280 --> 01:33:17.280]  you can just say like, here, make a thing and make it gold and make it bounce.
[01:33:17.280 --> 01:33:19.280]  And I mean, the goal, you got it.
[01:33:19.280 --> 01:33:23.280]  I mean, the goal was to take this thing that was, was pretty arcane and very, very, very
[01:33:23.280 --> 01:33:27.280]  specialized skill and say, how do we make this the kind of thing that makes a sophisticated
[01:33:27.280 --> 01:33:34.280]  3d technology accessible to software engineers and, and designers who aren't 3d experts,
[01:33:34.280 --> 01:33:37.280]  but want to incorporate this kind of stuff in their apps.
[01:33:37.280 --> 01:33:41.280]  And so that was, that was the design goal from the outset.
[01:33:41.280 --> 01:33:45.280]  And the team did incredible work there.
[01:33:45.280 --> 01:33:50.280]  And I think, you know, the ability also to do it on the Mac, but not just that, but to
[01:33:50.280 --> 01:33:54.280]  then transfer the, to take the experience and do it on your iPad while you're actually
[01:33:54.280 --> 01:33:58.280]  experienced in AR, edited in AR, have that sync back automatically to the Mac.
[01:33:58.280 --> 01:34:00.280]  So you're, you're evolving your project like that.
[01:34:00.280 --> 01:34:07.280]  I think that's going to be a change, change, not just make an existing thing easier, but
[01:34:07.280 --> 01:34:12.280]  it really even change who can do what in the world of building 3d apps.
[01:34:12.280 --> 01:34:14.280]  Which is the beauty of AR and AR kit to start with, right?
[01:34:14.280 --> 01:34:19.280]  If we opened up AR to a bunch of people, hopefully a bunch of you that never would have done
[01:34:19.280 --> 01:34:20.280]  AR.
[01:34:20.280 --> 01:34:24.280]  And now they can put AR into their apps.
[01:34:24.280 --> 01:34:30.280]  We have over 7,000 in the app store right now and growing, which is about 7,000 more
[01:34:30.280 --> 01:34:31.280]  than there would have been otherwise.
[01:34:31.280 --> 01:34:35.280]  And what you said about how short it was, I mean, you know, you can imagine the original
[01:34:35.280 --> 01:34:39.280]  version of the deck had us, you know, spending 15 minutes talking about reality composer
[01:34:39.280 --> 01:34:40.280]  and another for, you know what?
[01:34:40.280 --> 01:34:43.280]  And then we got down to where we had a cover slide where we said, it's reality composer.
[01:34:43.280 --> 01:34:48.280]  And then I have one slide with this animation and, and I had like a few things I was going
[01:34:48.280 --> 01:34:52.280]  to say, and we go through rehearsal and I say, reality composer, it's great.
[01:34:52.280 --> 01:34:56.280]  You can drag and drop and add 3d and Mike Rockwell's like, could you add like four more
[01:34:56.280 --> 01:34:57.280]  words about it?
[01:34:57.280 --> 01:34:59.280]  I'm like, I got to check with jaws.
[01:34:59.280 --> 01:35:04.280]  He's got a stopwatch out whether they're going to allow these, you know, it's when you have
[01:35:04.280 --> 01:35:09.280]  that much to talk about, it's, it's, well, I think the great thing is developers are
[01:35:09.280 --> 01:35:10.280]  all going to follow up.
[01:35:10.280 --> 01:35:11.280]  You're going to die.
[01:35:11.280 --> 01:35:13.280]  We have over a hundred sessions at the WWC.
[01:35:13.280 --> 01:35:14.280]  That's the beauty.
[01:35:14.280 --> 01:35:18.280]  We have 200 labs, so we have more time to engage with, you know, real engineers on this
[01:35:18.280 --> 01:35:21.280]  stuff, but you know, people got to pee so we can.
[01:35:21.280 --> 01:35:26.280]  We can only keep them there for so long, which I think your audience is starting to experience.
[01:35:26.280 --> 01:35:29.280]  We're getting there.
[01:35:29.280 --> 01:35:30.280]  Let me just end here.
[01:35:30.280 --> 01:35:43.280]  Final card is security and privacy related stuff.
[01:35:43.280 --> 01:35:47.280]  What I hear every company in the Valley is now the protector of your privacy.
[01:35:47.280 --> 01:35:48.280]  It's become a, I don't know.
[01:35:48.280 --> 01:35:50.280]  It's become a more popular word.
[01:35:50.280 --> 01:35:54.280]  Isn't it?
[01:35:54.280 --> 01:35:59.280]  Including from, from some companies that have said in the past that you have no privacy.
[01:35:59.280 --> 01:36:01.280]  Like that's an unusual thing to say.
[01:36:01.280 --> 01:36:04.280]  That makes me uncomfortable.
[01:36:04.280 --> 01:36:09.280]  The sign in with Apple is a thing that it's an idea that seems kind of obvious and a thousand
[01:36:09.280 --> 01:36:17.280]  people have had it and they've said,
[01:36:17.280 --> 01:36:22.280]  boy, Apple could do that and it would be awesome, but they probably wouldn't do it.
[01:36:22.280 --> 01:36:23.280]  And now you've done it.
[01:36:23.280 --> 01:36:28.280]  And it is a really, it's one, a lot of you guys are the ones that asked us to do it,
[01:36:28.280 --> 01:36:29.280]  right?
[01:36:29.280 --> 01:36:33.280]  It was developers that were saying, look, you know, we need a frictionless way to authenticate
[01:36:33.280 --> 01:36:35.280]  users into our app.
[01:36:35.280 --> 01:36:38.280]  We don't know what's going on with this data about our customers that were surrendering
[01:36:38.280 --> 01:36:39.280]  to somebody else.
[01:36:39.280 --> 01:36:42.280]  Can you do it and do it in your Apple sort of way?
[01:36:42.280 --> 01:36:44.280]  And that's what this team stepped up to do.
[01:36:44.280 --> 01:36:48.280]  Well, I can't tell you how many times I've downloaded an app.
[01:36:48.280 --> 01:36:51.280]  It comes up with one of those.
[01:36:51.280 --> 01:36:53.280]  I close, delete.
[01:36:53.280 --> 01:36:55.280]  You know, you just never even experienced that.
[01:36:55.280 --> 01:36:56.280]  I've done it.
[01:36:56.280 --> 01:36:58.280]  I've done it.
[01:36:58.280 --> 01:37:04.280]  And you know, and, and it is true that once you have it, you can see though what the appeal
[01:37:04.280 --> 01:37:09.280]  was originally with people using single sign on is that, well, there's so many thousand
[01:37:09.280 --> 01:37:11.280]  ways you can screw up security.
[01:37:11.280 --> 01:37:13.280]  Here's these big companies.
[01:37:13.280 --> 01:37:14.280]  They've been through it all.
[01:37:14.280 --> 01:37:15.280]  They've made all the mistakes.
[01:37:15.280 --> 01:37:17.280]  You can kind of trust them on the security level.
[01:37:17.280 --> 01:37:21.280]  It's the privacy issue where, you know, trust comes in.
[01:37:21.280 --> 01:37:23.280]  Uh, and it's ease of use, right?
[01:37:23.280 --> 01:37:25.280]  It's like, here, I'm going to go outside the hall and I'm going to get one of these
[01:37:25.280 --> 01:37:27.280]  scooters that you can scoot around on.
[01:37:27.280 --> 01:37:29.280]  And it's like, I've never used it before.
[01:37:29.280 --> 01:37:33.280]  And it's like the law, you know, if I've got to send my email and then wait for the
[01:37:33.280 --> 01:37:37.280]  email arrive and then the click through the email, it's like, I'm just going to walk,
[01:37:37.280 --> 01:37:39.280]  you know, like, you know what I mean?
[01:37:39.280 --> 01:37:40.280]  Like there's an appeal to that.
[01:37:40.280 --> 01:37:44.280]  I think that's why one of the scooter companies is one of the demos you guys showed using
[01:37:44.280 --> 01:37:51.280]  it that you hit sign in with Apple, it face IDs you and now you're scooting.
[01:37:51.280 --> 01:37:54.280]  Yes.
[01:37:54.280 --> 01:37:56.280]  But your information about you is not.
[01:37:56.280 --> 01:38:04.280]  I thought something.
[01:38:04.280 --> 01:38:06.280]  So one of the things, it's not a secret.
[01:38:06.280 --> 01:38:09.280]  It's in the, it's in the small print or it looked small to me, but it's in the,
[01:38:09.280 --> 01:38:17.280]  you know, the description of using it that, um, uh, come fall, any app that uses a third
[01:38:17.280 --> 01:38:23.280]  party sign in service will have to offer sign in with Apple as one of the options.
[01:38:23.280 --> 01:38:27.280]  And at first I think the reaction was, Ooh, that's a little heavy handed.
[01:38:27.280 --> 01:38:31.280]  And then, cause it just seems like you're, you're issuing a dictum.
[01:38:31.280 --> 01:38:36.280]  I can, you know, you're bossing people around, but you think if you give it any thought,
[01:38:36.280 --> 01:38:38.280]  it just makes sense for everybody involved.
[01:38:38.280 --> 01:38:39.280]  Absolutely.
[01:38:39.280 --> 01:38:40.280]  Right.
[01:38:40.280 --> 01:38:41.280]  Yeah.
[01:38:41.280 --> 01:38:44.280]  Again, going back developers and ones that first asked us to do it, uh, at a customer
[01:38:44.280 --> 01:38:48.280]  level, I mean, customers, you know, when it comes to privacy, you want transparency and
[01:38:48.280 --> 01:38:49.280]  control, right?
[01:38:49.280 --> 01:38:53.280]  You want the customer to know what information are they giving to somebody and they want
[01:38:53.280 --> 01:38:54.280]  to control of whether to do that or not.
[01:38:54.280 --> 01:38:57.280]  In the situation of these buttons, there's a transparency.
[01:38:57.280 --> 01:39:02.280]  People had no idea what kind of information was flowing through that single tap.
[01:39:02.280 --> 01:39:07.280]  And so what we wanted to do is provide that transparency and control, right?
[01:39:07.280 --> 01:39:11.280]  The normal authentication, there's no information flowing.
[01:39:11.280 --> 01:39:17.280]  Yeah, maybe they're here.
[01:39:17.280 --> 01:39:21.280]  In the event that the developer wants that additional information, you see what's going
[01:39:21.280 --> 01:39:22.280]  to go to them, right?
[01:39:22.280 --> 01:39:24.280]  You see the name and you can edit it.
[01:39:24.280 --> 01:39:26.280]  They, you see that at your email, unless you choose to hide it.
[01:39:26.280 --> 01:39:29.280]  And that we've given the randomized email address.
[01:39:29.280 --> 01:39:36.280]  So we have that transparency, that transparency and control.
[01:39:36.280 --> 01:39:42.280]  So in the event that an app is providing those means to log in through a social networking,
[01:39:42.280 --> 01:39:46.280]  then we said we should offer customers this more private choice.
[01:39:46.280 --> 01:39:49.280]  If they're not doing that, right, they just have their own authentication, their own system
[01:39:49.280 --> 01:39:50.280]  of, of logging in.
[01:39:50.280 --> 01:39:53.280]  They don't need to do this, but it's just a matter of, in this situation, we want to
[01:39:53.280 --> 01:39:57.280]  give those users that transparency and control as a way to authenticate.
[01:39:57.280 --> 01:39:58.280]  Yeah.
[01:39:58.280 --> 01:40:02.280]  And you know, privacy, this stuff, you guys have been talking about it more.
[01:40:02.280 --> 01:40:04.280]  It, it, I really think it's true.
