[00:00.000 --> 00:06.000]  I just get it out of the way. Let's just start right off the bat. It's a big day for you.
[01:41:24.000 --> 01:41:30.000]  Yeah, I'm the same. I use I've been slowly like it's a big ask.
[01:41:30.000 --> 01:41:35.000]  And I think it's good because Dropbox has been doing things over the last few years that I would rather they didn't do.
[01:41:35.000 --> 01:41:40.000]  And there's been a bit of a movement to move away from Dropbox, but it works for me.
[01:41:40.000 --> 01:41:45.000]  I have almost my entire documents folder in there. It means I can switch between computers very easily.
[01:41:45.000 --> 01:41:52.000]  And it does things in a way that makes that easier than some of the ways that iCloud documents work.
[01:41:52.000 --> 01:41:59.000]  But I've been slowly using iCloud more and more. And as it proves reliable and as I adapt my workflows to it, I hope I can move more and more things over.
[01:41:59.000 --> 01:42:07.000]  It's harder to collaborate with everybody on it because not everybody is using a system that has iCloud available for things like shared folders.
[01:42:07.000 --> 01:42:14.000]  But I would like to integrate more of it because I prefer Apple's overall policies on iCloud better.
[01:42:14.000 --> 01:42:25.000]  Yeah, so I would say not yet. And I and it's not just because 13.4 and the new version of Catalina just shipped in the last week.
[01:42:25.000 --> 01:42:34.000]  It's I anticipated this even when it was announced at WWDC last year and even in the best case scenario where both of them had shipped, let's say back in September.
[01:42:34.000 --> 01:42:48.000]  I don't I didn't anticipate switching right away just because Dropbox that that role in my life is so important that it's not something you undertake lightly.
[01:42:48.000 --> 01:42:58.000]  Right. It's so I do think maybe I still hope eventually that I will switch because it would be nice to not rely on a third party thing and no offense to the folks at Dropbox.
[01:42:58.000 --> 01:43:02.000]  But yeah, I'm not really super happy with a lot of their recent decisions.
[01:43:02.000 --> 01:43:09.000]  So it's I still hope I will be able to switch. And I'm lucky that everybody I collaborate uses Apple stuff.
[01:43:09.000 --> 01:43:15.000]  You know, I don't have a big, you know, going back to the beginning of the show, it's not like there's a huge team here.
[01:43:15.000 --> 01:43:21.000]  But, you know, like Caleb Sexton, who edits the show, you know, we bounced the files back and forth through Dropbox.
[01:43:21.000 --> 01:43:27.000]  He's working on a Mac. We could switch eventually. But for now, no, we're still using Dropbox just because it just works.
[01:43:27.000 --> 01:43:38.000]  And when something just works, I don't take it lightly to take it out. And again, it also comes into play with stuff like, hey, does everybody who I'm collaborating with, are they on Catalina?
[01:43:38.000 --> 01:43:46.000]  You know, yeah, yeah, it's what I noticed when I did the I did that thing from my YouTube trailer where I had a bunch of people send me clips.
[01:43:46.000 --> 01:43:55.000]  And these are really nerdy techie people. And there was a lot of Google Drive, there was some Microsoft Drive, probably more than I expected.
[01:43:55.000 --> 01:43:59.000]  There was a bunch of iCloud Drive. And that makes sense, because a lot of people are very Apple centric.
[01:43:59.000 --> 01:44:08.000]  But I didn't see much Dropbox. And I would have imagined the Dropbox would have been a much higher percentage of the user base for what I was asking.
[01:44:08.000 --> 01:44:14.000]  Yeah, and it does, you know, it's taken 10 years plus for it to really come true.
[01:44:14.000 --> 01:44:28.000]  But it all it comes back to that supposed discussion between Steve Jobs and one of the Dropbox founders when they were, you know, somehow Steve Jobs got in contact with them, I guess to put out feelers about maybe an acquisition.
[01:44:28.000 --> 01:44:41.000]  And he said, you don't have a product, you have a feature. And, you know, that's jobs being jobs, of course, you know, he's gonna say something pithy like that to put the person he's negotiating with on their heels, you know?
[01:44:41.000 --> 01:44:51.000]  Yes, it's classic jobs. But also classic jobs, there's obviously a huge, very large kernel of truth in it, where ultimately, what do people want?
[01:44:51.000 --> 01:45:01.000]  They just want a folder that syncs, right? And you want it, you want the reliability, where you put it in, you put it in, and then you go to another device, and it's there because it's synced.
[01:45:01.000 --> 01:45:12.000]  And the sync always works. And it's never it doesn't corrupt things. And you don't wind up with seven copies of the same thing named conflict, copy one conflict copy, you just want it to work.
[01:45:12.000 --> 01:45:25.000]  And the other thing is, and it's so nice about the Dropbox concept of a folder that syncs is you want this clarity of knowing what stuff is sinking and what stuff isn't right.
[01:45:25.000 --> 01:45:38.000]  And so if you have this thing that you know, you don't want to sync, if it's not in your Dropbox folder, then it isn't sinking, right? And, you know, iCloud folder, iCloud Drive sort of has, you know, a lot of that, right?
[01:45:38.000 --> 01:45:43.000]  Like, you know, when something when you're in the Finder, you know, if it's in iCloud or not, right?
[01:45:43.000 --> 01:45:56.000]  One of the things I did with Dropbox is for all the my old vector videos, those that was gigabytes and gigabytes of data. And I just checked the box that said, don't keep this folder locally. And then it would stay all on Dropbox, and it wouldn't clog up my Mac.
[01:45:56.000 --> 01:46:01.000]  And there's just a lot of features they built up over time that I think it'll take a while for iCloud to catch up on.
[01:46:01.000 --> 01:46:14.000]  Yeah. Here's a new question. Mark plus asks another good question. We're never going to get through all the good questions. These are this is great, but we can try. Are you worried that more and more stuff on the iPad will require an external keyboard and or tracking device?
[01:46:14.000 --> 01:46:28.000]  I already have two things on my list. Using spotlight while in an app requires an external keyboard to some websites using drag and drop require a mouse slash trackpad. I'll let you go first.
[01:46:28.000 --> 01:46:43.000]  Yeah, so this is to me the big balancing act. And I think it was a huge contention issue within Apple as well for a long time. And that probably explains the whole the whole evolution of iPad to some degree is that a lot of people believe like that Steve Jobs vision.
[01:46:43.000 --> 01:46:53.000]  This was most important product Apple ever made. It was a computer for everyone else. You had your Macs, but they were a bunch of people for whom the Mac was still inaccessible and unapproachable and off putting and scary.
[01:46:53.000 --> 01:47:03.000]  And this was a computer that anybody from, you know, two years old to 100 years old could pick up immediately use for the first time, and they didn't want to lose that.
[01:47:03.000 --> 01:47:13.000]  But at the same time, you had a bunch of really vocal nerds who love Apple products and we're used to having every Apple product made for them who just felt like it was limiting that it didn't do what they want.
[01:47:13.000 --> 01:47:27.000]  They wanted to switch to it, but it didn't do every single traditional computing thing that they did. And it reminded me of the early Macs were like jobs very deliberately didn't put or at least anecdotally didn't put arrow keys or a terminal because he wanted people to acclimatize themselves to the mouse.
[01:47:27.000 --> 01:47:40.000]  But over time, you look down now every Mac has terminal and arrow keys. And I feel that very similarly with the iPad that it should never lose what makes it the most accessible computing platform that we've seen yet that.
[01:47:40.000 --> 01:47:53.000]  And I think the 10.2 inch iPad is a great symbol of that. If you want it, you can just get it for 300 and whatever 29 bucks, and it touch it and use it and it's great for like a computer for everybody.
[01:47:53.000 --> 01:48:02.000]  But I think if, if they want it to progress, and they do want to have a doc and even if it's a small percentage, it's a very passionate, very vocal percentage.
[01:48:02.000 --> 01:48:14.000]  If you allow it to be docked, you then have to make it a first class citizen, and it's got to have keyboard and mouse support the equal of any traditional computer, it's got to have functional arrow keys and a functional terminal.
[01:48:14.000 --> 01:48:17.000]  And I think that's what they're putting the final steps on now.
[01:48:17.000 --> 01:48:34.000]  Yeah, and Apple has emphasized both not so much in the product marketing, but in the discussions I've had with them, you know, after the iPad Pro announcement and the announcement, at least of the magic keyboard for iPad Pro.
[01:48:34.000 --> 01:48:42.000]  They emphasize over and over and over again that iPad remains a touch first touch first platform and I don't think that's BS. I think it's true.
[01:48:42.000 --> 01:48:54.000]  Spotlight not being accessible while you're in an app. That is true, but I don't know how you would do it right that there's already they've already overloaded all the edges of the screen right you pull down from the top and you get notification center.
[01:48:54.000 --> 01:49:11.000]  Top corner is, I mean they've already overloaded the top with control center and notification center. So I can't see adding a third one for the other corner, you know, I you know I don't know what the, you know, I don't, it's a good example of something that's better
[01:49:11.000 --> 01:49:24.000]  with a keyboard than without on an iPad, but I don't think it's any in any way spiteful towards the like a right mouse click, you know, like, they didn't used to have one so you couldn't access all these convenient things and because the limitation of a one button
[01:49:24.000 --> 01:49:37.000]  interface, then they have like two buttons and now they have a limitation a limitation of a directly manipulable gross gesture interface, and the keyboard allows them to shortcut it or like warp tunnel through it on occasion.
[01:49:37.000 --> 01:49:50.000]  Again, I think your comparison to the original Macintosh, not having our keys and not having a text mode was good and it was sort of like they were half right half wrong I think the arrow keys thing they were definitely wrong about that also feels like it might
[01:49:50.000 --> 01:50:07.000]  be more personally Steve Jobs II, you know, and they obviously relented on that and very few people even remember having seeing a Macintosh keyboard that didn't have arrow keys. I mean, and again, thinking about how much time I personally complained about the, the full
[01:50:07.000 --> 01:50:20.000]  left and right arrow keys on like three years worth of MacBook keyboards and, and the amount of time I've congratulated Apple on going back to the upside down T of arrow key arrangement.
[01:50:20.000 --> 01:50:27.000]  It is an interesting thought to think well what what if they went back to the 1984 layout where there are no arrow keys.
[01:50:27.000 --> 01:50:54.000]  Ah, how do you like that like that. So, I do think though that the no text mode on the original Macintosh was absolutely key, and if they had added it I think it would have been devastating to the taking root of an actual third party ecosystem of, you know, okay, you want to write, you want to port your spreadsheet to the Mac.
[01:50:54.000 --> 01:51:09.000]  You've got to do a Mac version, you cannot just take the text version that you're running on the Apple two or on IBM PCs and just have it run in text mode on the Mac you've got to, to some degree, and you know in 1984 85 86.
[01:51:09.000 --> 01:51:27.000]  Some developers were better than others at getting what a real Mac app was, and again, compared to what we complain about today, you know with electron apps and stuff. Some of the apps from like 1985, you know, their idea of a Mac version was, was a real stretch.
[01:51:27.000 --> 01:51:51.000]  But for the most part people got it, and the fact that it wasn't even there as an option to like oh we'll just reboot your Mac and hold down the option key and it opens in text mode like an Apple two really, really might have I think it made the gooey era be stillborn, you know that Apple would have had their apps but everybody else just ported their Apple two versions and told you to reboot with the option key down or something.
[01:51:51.000 --> 01:52:00.000]  Yeah, absolutely. Well, we saw that with Windows, I mean, Microsoft took yeah, there was those facetious articles were like I don't know what but they said like you know this proves that Microsoft was right.
[01:52:00.000 --> 01:52:12.000]  And I think you know in large part know the dominance of the iPad in the market shows that it was like Steve Jobs and Apple were exactly right, but what the large market wanted, but Microsoft understood what the like the tech nerd market wanted.
[01:52:12.000 --> 01:52:25.000]  But the way they implemented it starting it with Windows and bringing it down and having the keyboard and mouse there immediately. They're, they're still struggling to be fully touch base they're still working on getting there, where Apple is now just working on adding functionality
[01:52:25.000 --> 01:52:37.000]  and I think that's, that's a better position for Apple to be in. Yeah, and it's very Microsoft and it's in their DNA I mean I was doing nerdy, you know, college student internships in the early 90s.
[01:52:37.000 --> 01:52:51.000]  You know, working in the IT department, you know, over the summer, servicing PCs and an awful lot of the software even if they were booting into Windows and awful lot of the software back then was still DOS software that just ran in the window.
[01:52:51.000 --> 01:52:56.000]  Yeah, for a long, long time. Yeah, a long, long time.
[01:52:56.000 --> 01:52:59.000]  Let's see next question.
[01:52:59.000 --> 01:53:11.000]  New, it's a good question. Tom Woodsworth asks new MacBook Air versus Mac mini for a novice audio podcast work any Mac buying advice really.
[01:53:11.000 --> 01:53:17.000]  On the surface, I want to say that's almost like a silly question like do you need a portable or not.
[01:53:17.000 --> 01:53:39.000]  But maybe going deeper, I feel that there is something. There is something good about a desktop that's a desktop I have a friend who just bought a MacBook Mac mini hadn't had a desktop in a while, and he's setting up, you know, reinvesting in his home office for obvious reasons
[01:53:39.000 --> 01:53:49.000]  and he's like you know I forgot how nice it is to have a desktop. Yeah. So, it depends what you want to do, how much do you really need to move your computer.
[01:53:49.000 --> 01:54:04.000]  I know that it's like, if you're more technical the Mac mini will has a lot of benefits you do have to add a mouse and a keyboard and a display which adds to the price of the Mac mini, and it all comes included in the MacBook Air, but you don't have why class processors
[01:54:04.000 --> 01:54:14.000]  you have the full U class processors, they're older they're eighth generation not 10th generation but you have a ton of ports. You have a ton of capability, a ton of storage, it just has.
[01:54:14.000 --> 01:54:24.000]  If you intend to grow it has a lot of and you're technically minded. It has a lot more opportunity for you to grow than an air and air is always like a, an all in one solution like would you get a Keurig or an espresso machine.
[01:54:24.000 --> 01:54:29.000]  Work on it that way.
[01:54:29.000 --> 01:54:40.000]  Here's a question I have as is not from anybody who read who's who's submitted it but maybe somebody did but I didn't get to it yet. I'm looking at the list here but I have a question for you.
[01:54:40.000 --> 01:54:49.000]  What do you think of the theory that multiple people have espoused, but I'll mention that the first person I heard espoused it was our mutual friend Dave whiskers who all stop pretending.
[01:54:49.000 --> 01:55:10.000]  I don't know that if, if and when Apple announces that the Mac is transitioning to arm that the iPad Pro might be the, the developer machine, and that, you know, perhaps this June, Apple might say okay we're moving the Mac to arm.
[01:55:10.000 --> 01:55:23.000]  Starting next year. We're announcing it now so developers can Mac developers can can build all their software to be fat binaries for Intel and arm, and to test them.
[01:55:23.000 --> 01:55:33.000]  You can now, boop you know you can download a developer thing and if you're in the developer program and boot your iPad Pro into Mac OS 10 for arm.
[01:55:33.000 --> 01:55:47.000]  Yeah, I think that makes a ton of sense I think, especially if we see a new Apple TV that has the USB C port on hidden, like it was like it was the previous generation, then you have the, the sort of MacBook equivalent and the sort of Mac mini equivalent,
[01:55:47.000 --> 01:55:59.000]  and you just download a developer specific OS, put it flashed it onto the machine, and it seems far more elegant than making a developer only machine like they did with the Marklar the, the Intel Mac transition.
[01:55:59.000 --> 01:56:15.000]  Yeah, I don't want to rule it out. It's an intriguing idea and I feel like it's a good. It's good food for thought because I can't, I can't rule it out, it seems like it is possible but then there's a bunch of reasons where I think and no, I don't know.
[01:56:15.000 --> 01:56:38.000]  I kind of feel like it's less technical, like technically I don't know that there's anything that would prevent them from doing it, and more philosophical, where that in Apple's mind collective corporate mind, iPads and Macs are not anywhere near, they're different beasts.
[01:56:38.000 --> 01:56:48.000]  And never the twain shall meet, you know, so I don't know and again and there's and then there's little things like even if it's just a developer thing.
[01:56:48.000 --> 01:56:56.000]  And for those who don't remember when Apple announced the switch from power PC to Intel in I believe 2005.
[01:56:56.000 --> 01:57:07.000]  The first machines came out in early 2006 ahead of schedule was a bunch of what were then renamed from the power book to Mac books.
[01:57:07.000 --> 01:57:14.000]  A, I think they just wanted to change the name. B, power and power books ostensibly was for power PC.
[01:57:14.000 --> 01:57:15.000]  Yeah.
[01:57:15.000 --> 01:57:37.000]  And right after WWDC 2005 they announced these developer dev kits and they were from the outside they looked like power Macs in aluminum, you know, the aluminum power Mac towers and then inside it was just like a bog standard PC and a setup that Apple had, you know, vetted as, you know, sort of like the first hackintosh really.
[01:57:37.000 --> 01:57:40.000]  I mean, it was like an officially sanctioned hackintosh.
[01:57:40.000 --> 01:57:50.000]  They didn't sell them at all. They only leased them or something to developers and then as soon as the developer transition was over and wanted them back.
[01:57:50.000 --> 01:58:03.000]  And so instead of doing that and the scale was different, right? The number of Mac developers who needed dev kits in 2005 pales in comparison to the amount of developers who might need it now.
[01:58:03.000 --> 01:58:15.000]  Even though it's a Mac thing only it's, you know, with catalysts, you know, raising the interest in previously not Mac developers who were only writing for iOS, writing stuff for the Mac.
[01:58:15.000 --> 01:58:32.000]  It's just there's just a bigger number of them. If you could just say just buy an iPad Pro and download this developer profile from our website and you can reboot in, you know, a special version of Catalina or I guess whatever 10.16 is or something like that.
[01:58:32.000 --> 01:58:41.000]  I get it. But then on the other hand it just would be weird that you have this screen that you know is a touchscreen but it doesn't work as a touchscreen when you're booted into the Mac.
[01:58:41.000 --> 01:58:49.000]  And then of course it's going to make people out there, you know, if somebody wants to jump into the podcast and say, ah, but doesn't that mean maybe 10.16 will add touchscreen support to Mac OS?
[01:58:49.000 --> 01:59:10.000]  Well, they're not going to introduce that at WWDC a year ahead of the actual machines that would support it. And then would there be a long term expectation that even after the developer transition is over that iPad Pros are dual boot machines that you can choose to boot into Mac OS 10?
[01:59:10.000 --> 01:59:21.000]  Or would it go back to iPad only? But then everybody would think, well, wait, I want I know it can because you let me do it over the summer and the developer transition. Let me reboot this thing to Mac OS now.
[01:59:21.000 --> 01:59:23.000]  Yeah, no, very fair.
[01:59:23.000 --> 01:59:29.000]  So, you know, I have mixed feelings about it. I don't know. I could see it, but I cannot see it. I don't know.
[01:59:29.000 --> 01:59:44.000]  Yeah, the question is, if they don't go that route, what do they do? Do they make a sort of a simple clamshell that developers can pick up and return later at some point, but the quantity that they would probably want for the developer community now, they used to have to call people and ask them to come to WWDC.
[01:59:44.000 --> 01:59:48.000]  And now they have to have a lottery to try to pick the few that can go.
[01:59:48.000 --> 02:00:06.000]  Yeah, the other technical thing is RAM, where the new 2020 iPad Pros have six gigabytes of RAM. The 2018 iPad Pros only had four gigabytes, except, oddly, the asterisk that goes next to the one terabyte storage module, which also had six gigabytes.
[02:00:06.000 --> 02:00:09.000]  Yeah, they needed it to access the greater storage.
[02:00:09.000 --> 02:00:16.000]  Right, they needed more RAM to access the higher amount of storage.
[02:00:16.000 --> 02:00:28.000]  The lowest amount of RAM you can buy on any Mac today is eight gigabytes. And six gigabytes, is it prohibitive from booting? No, it wouldn't prohibit it from booting.
[02:00:28.000 --> 02:00:40.000]  But if you're actually doing the development on the machine running Xcode, which isn't really known for being resource light, I don't know.
[02:00:40.000 --> 02:00:49.000]  That's also a greater question for iPad Pro in general, because people are trying to bring Photoshop to it, and the RAM is a limitation the way it was in ancient computing times.
[02:00:49.000 --> 02:00:59.000]  And I think as we get more sophisticated software, more sophisticated iPads are going to have to look at the difference, the disparity in RAM levels between the Mac and the iPad.
[02:00:59.000 --> 02:01:10.000]  Yeah, so I don't know. So my interceding question, ultimately, my answer is I don't know. Maybe. I could see it, but let's see.
[02:01:10.000 --> 02:01:19.000]  Dave asks, this is a good question, the new Magic Keyboard doesn't appear to fold back on itself like the Magic Keyboard Folio does.
[02:01:19.000 --> 02:01:24.000]  In other words, it's like a book that you can open all the way around to hold single panel.
[02:01:24.000 --> 02:01:31.000]  This could have significant usage implications because it means you have to remove the iPad each time you use it in tablet mode.
[02:01:31.000 --> 02:01:35.000]  It will be two pieces rather than one. Do you have any thoughts on that?
[02:01:35.000 --> 02:01:50.000]  Yeah, I think it's pretty clear that a significant difference between, again, not having touched the Magic Keyboard in person, it's clearly more than just a better Smart Keyboard cover.
[02:01:50.000 --> 02:02:02.000]  The Smart Keyboard cover is sort of like a little middle ground between a regular iPad cover and, well, why not put a keyboard on the cover while we're at it, right?
[02:02:02.000 --> 02:02:12.000]  And the Magic Keyboard is way more of a, hey, we're turning your iPad Pro into a laptop when it's in this thing.
[02:02:12.000 --> 02:02:13.000]  It's more like a dock.
[02:02:13.000 --> 02:02:23.000]  Yeah, it really is more like a dock. And again, can't judge it personally because we haven't touched it, but at least in many of the Apple shots of the thing,
[02:02:23.000 --> 02:02:37.000]  their minute-long commercial showing people using it and their introduction, they show people removing it with one hand and that the cantilevered back stays more or less where it was when you take it off.
[02:02:37.000 --> 02:02:47.000]  And so that the magnets that hold it in place are somehow strong enough to keep it suspended and keep it sturdy enough to actually use it on your lap, literally as a laptop,
[02:02:47.000 --> 02:02:52.000]  and yet are convenient enough that you can take it off with one hand.
[02:02:52.000 --> 02:03:05.000]  But I think that the basic idea is that for however many people use the Smart Keyboard cover folded over and just leave the iPad in it when they're using it as a handheld tablet without using the keyboard,
[02:03:05.000 --> 02:03:15.000]  you may not even be able to do that with the Magic Keyboard. In fact, I know they even tell you that the thing doesn't fold back that far.
[02:03:15.000 --> 02:03:23.000]  Yeah, and it kind of bugs me the way the current one does. It is convenient, but it covers the camera, so if you're just folding it back and then want to take a photo, you can't.
[02:03:23.000 --> 02:03:31.000]  And also now they have the keys on the outside instead of the inside, and it feels like I'm touching bubble wrap, and I just want to keep, like it's distracting almost when I have my hands on it.
[02:03:31.000 --> 02:03:36.000]  So I mostly take it off now when I want to use it like a tablet, and then I remark about how light it is each time.
[02:03:36.000 --> 02:03:42.000]  And it does sort of take a little bit of the vibe off the convertible nature of it, but like you, I'm waiting to see it.
[02:03:42.000 --> 02:03:50.000]  All the videos, especially that video of Craig, he comes up and slaps it down like a dock and then pulls it off like a dock. He's not flipping it around at all.
[02:03:50.000 --> 02:04:04.000]  Yes, yeah, I should say that among the videos was Craig Federighi using it. So I'm optimistic that they've designed it and that, you know, and so the scenario where you wouldn't want to use it is somewhere where you don't want to leave the keyboard behind, right?
[02:04:04.000 --> 02:04:18.000]  Like, I don't know what that scenario would be, but you're not going to be sitting, you're not going to be sitting in the library, take it off and walk around to another section of the library and leave the keyboard behind unless you trust that your keyboard is going to stay there, right?
[02:04:18.000 --> 02:04:24.000]  Yeah, yeah. Or you can just float it flat and take the whole thing like a book that does fold closed.
[02:04:24.000 --> 02:04:36.000]  Yeah. Darryl Baxter asks, now that trackpad support is on iPad, do you see a scenario where there could be an Xcode for iPad, especially to simulate tests and compile apps natively?
[02:04:36.000 --> 02:04:52.000]  I think their question with Xcode for iPad is the same as Adobe's with Photoshop for iPad, and that is, what is the important set of features that we can deliver to the iPad given its interactive model and its constraints, like things like RAM?
[02:04:52.000 --> 02:05:05.000]  And once they determine that, like, then I think that we'll see it. It's just a question of that. Apple is like one of those companies that don't show their work. They measure 99 times and then cut once, and I think they're still in that measurement phase.
[02:05:05.000 --> 02:05:20.000]  Yeah, I almost feel that trackpad support, even though it's welcome and I feel like I'm so addicted to it already and it's great for text editing and various other things, it certainly helps and what doesn't hurt, but I don't think that that's what's kept it from being there until now.
[02:05:20.000 --> 02:05:35.000]  I'm a little surprised that we're 10 years into iPad and we still don't have something, whether they call it Xcode or not. You know, like they call iMovie iMovie, whether it's on the Mac or the iPad, even though it's clearly not the same app and it's more meant for touch.
[02:05:35.000 --> 02:05:52.000]  And I'm with you that I don't think we ever would. In fact, you couldn't. It's just Xcode does so many low level developer file system type things that, you know, with build scripts and stuff that it just doesn't even make any technical sense to have the whole of Xcode on iPad.
[02:05:52.000 --> 02:06:07.000]  It would be some native to iPad version of it, whether they call it Xcode or not, but something, you know, as Daryl asks here, something that you can simulate, test and compile. More than playgrounds. Yeah, more than playgrounds. I feel like it has to happen eventually.
[02:06:07.000 --> 02:06:17.000]  But then on the other hand, if it has to happen eventually, why hasn't it happened in 10 years? It's a very long time for a very capable computing platform to not be able to create software for itself.
[02:06:17.000 --> 02:06:29.000]  But everything takes so long on the iPad. And I think that's mainly because there was that disagreement about its nature, but also because the iPhone is still the most, like it has to be just based on earnings. It gets the majority of resources.
[02:06:29.000 --> 02:06:38.000]  And when you think about how long it took just for trackpad support, it was 10 years. So I can understand, I don't understand it, but I can see how Xcode can take that long.
[02:06:38.000 --> 02:06:53.000]  General question discussion about, this is from David Eli, about quote unquote serious iPad software. What's the landscape looks like? Examples of good pro apps. He's been using Ferrite exclusively to record and edit spoken audio.
[02:06:53.000 --> 02:07:10.000]  I've heard a lot of things about Ferrite. I know Jason Snell uses it. That seems like a shining example of terrific pro software. I certainly know some of the pencil-oriented drawing software is tremendous on iPad.
[02:07:10.000 --> 02:07:23.000]  I mean, Star Trek is famously Rob McCollum does Star Trek Discovery on an iPad. Jonathan Morrison has edited on iPod touch. He's an extreme example, but he's edited.
[02:07:23.000 --> 02:07:30.000]  Serenity Caldwell used to be a better editor on the iPad than I ever was in Final Cut Pro, just because she's a classically film-trained editor.
[02:07:30.000 --> 02:07:44.000]  It's a mixed bag, you know, and I know that I raised some attention at the 10th anniversary of the iPad for complaining about the state of iPad software and the state of the iPad multitasking interface.
[02:07:44.000 --> 02:08:00.000]  It's a mixed bag to me. I mean, there's shining examples. It's, you know, it's probably too long for this Q&A format. Probably need a whole show about it, but there's certainly some great examples. I think it's interesting. I still can't find a great text editing app.
[02:08:00.000 --> 02:08:14.000]  I use IA Writer when I do write on my iPad, which I like, but I don't love. And just some of the things that just irk me is I still, I just find it so strange that there's no consistent way to close a document when you are.
[02:08:14.000 --> 02:08:22.000]  And I get it that like Apple Notes is a great example. And that's the type of app that is great on iPhone and iPad, where they don't, they're not files.
[02:08:22.000 --> 02:08:28.000]  There's no correlation to the file system. The notes are these abstract things that live in a library, and so you don't have to close them.
[02:08:28.000 --> 02:08:39.000]  But when you know you are working with files and it's in Dropbox or iCloud Drive or something, and you have a file and you're editing a file, there's no way to close it.
[02:08:39.000 --> 02:08:52.000]  No consistent way to close it. And I don't, it leaves me, and I don't even think I'm being superstitious if I'm going, I wrote it on my iPad, but I want to finish it on my Mac and BB Edit.
[02:08:52.000 --> 02:09:01.000]  I don't want to leave it open on my iPad, because I'm afraid that the iPad's going to wake up and then say, you know, here, let me just save it again.
[02:09:01.000 --> 02:09:08.000]  Well, it's that thing that Marco mentioned a long time ago, when his desire to not have settings led him to do so many backflips, it was worse than having settings.
[02:09:08.000 --> 02:09:20.000]  And I think Apple's desire to, I think they looked at a lot of the computer science things and saw them as artifacts that were too complicated for humans, but in their desire to avoid them, they ended up creating more complexity than less.
[02:09:20.000 --> 02:09:36.000]  Yeah. So I don't know, I feel like it's like a lot of, it ties into the Xcode question of professional software on the iPad period, where even though it's 10 years old and it's phenomenally popular and phenomenally successful, it's still somehow a toddler, you know?
[02:09:36.000 --> 02:09:38.000]  It's ridiculously powerful, too.
[02:09:38.000 --> 02:09:39.000]  Right.
[02:09:39.000 --> 02:09:40.000]  Like a Kryptonian baby.
[02:09:40.000 --> 02:09:45.000]  Yes. I was just going to say that. It is, it's baby Superman.
[02:09:45.000 --> 02:09:47.000]  Yes.
[02:09:47.000 --> 02:09:52.000]  Like, oh, it's faster than the MacBook Pro? Yeah.
[02:09:52.000 --> 02:09:57.000]  It doesn't have a consistent way to close text files? Yes. Doesn't know how to talk yet.
[02:09:57.000 --> 02:10:12.000]  So I don't know. But I certainly think, I certainly think that in addition to the fact that I absolutely love the trackpad mouse support that they just added in 13.4, love it just in and of itself and the delightful feel and everything about it.
[02:10:12.000 --> 02:10:17.000]  And they didn't just port it. They didn't just take the Mac model and throw it on, slap it on the iPad. They really thought about it.
[02:10:17.000 --> 02:10:25.000]  It's also a tremendous sign from the outside that inside Apple, they're taking this stuff seriously, and they're really thinking about it.
[02:10:25.000 --> 02:10:37.000]  So I'm optimistic. However pessimistic I am about the overall state right now, I'm more optimistic than I've been in years, many years about this going forward.
[02:10:37.000 --> 02:10:50.000]  For me, it was the iPad OS that was like the big C change, maybe even more than just the iPad Pro, because it signaled that once you put an OS label on it, they have to get up and present like, obviously not this year, but they have to get up and present every year.
[02:10:50.000 --> 02:11:03.000]  It can't be two or three years between significant iOS feature, sorry, iPad features as a subset of iOS. Now it has to get its own segment every year. And that puts a pressure on them to level out the resources between the two devices.
[02:11:03.000 --> 02:11:11.000]  Yeah. I know you don't want to talk about yourself, Rene, but there's too many questions here that are about your professional move. Aaron Vague has a good question.
[02:11:11.000 --> 02:11:18.000]  I'd like to know more about the timing of this move. Was it something you planned for a while or did this global pandemic force your hand?
[02:11:18.000 --> 02:11:24.000]  So it wasn't a result of the pandemic. I've been thinking about it for years. Like you and I have had discussions about it going back years.
[02:11:24.000 --> 02:11:38.000]  You mean Ben Thompson, I think Whiskas as well at a Japanese whiskey house in San Francisco is one of my most vivid memories. But it was just it was a year after the future acquisition that I really started thinking about, you know, what's next for me?
[02:11:38.000 --> 02:11:44.000]  Am I going to do this for another 10 years? And once I decided probably not, I didn't think waiting would be an advantage.
[02:11:44.000 --> 02:11:55.000]  Yeah. I feel like the nature of this pandemic is anybody who makes any kind of change is going to be asked. Naturally so. Is it because of this or is it coincidence?
[02:11:55.000 --> 02:12:00.000]  I actually gave my notice well before any of this happened. It was like much earlier in the month.
[02:12:00.000 --> 02:12:16.000]  What app? Here's a question from Danish blindness. What app would you like Apple to make first if it would start prioritizing first party app making again? I feel like I don't know that they've stopped prioritizing first party app making again.
[02:12:16.000 --> 02:12:34.000]  But would I like what app would I like Apple to make as a first party app? Hmm. I honestly I'm drawing a blank in terms of same. I can't really I think they should just have a good base like all baseline functionality should have a decent built in app and then leave a lot of space for developers on top of that.
[02:12:34.000 --> 02:12:44.000]  But don't have the don't have any functionality. I would like them to get better at digital zoom because of so many of the Android phones now not only have periscope lenses, but really good digital zoom.
[02:12:44.000 --> 02:12:53.000]  And anyone who has like I have little God kids, but anyone with kids and they're running around, maybe not now running around the field, you know, you know how valuable that zoom can be.
[02:12:53.000 --> 02:13:00.000]  And I think they've got smart HDR now and Google's zoom technology is based off of their their HDR plus technology.
[02:13:00.000 --> 02:13:08.000]  And they're forget the other one they're using. But I would love Apple to just round out the feature set more than make new apps.
