[00:00.000 --> 00:04.520]  Still there. Oh, yeah, you know what it did it. Oh, you sound so much better
[01:36:47.520 --> 01:36:51.640]  To strangle the person the phrase a phrase I used to sneer at imitative behavior
[01:36:52.400 --> 01:36:58.440]  You know, that's sometimes in these reviews. You'll see well, it contains, you know, sass mouth and imitative behavior meaning
[01:36:58.520 --> 01:37:00.840]  You know the Three Stooges, right? That's a good example
[01:37:00.880 --> 01:37:03.800]  Like if you watch enough Three Stooges, you're probably gonna want to hit somebody on the head
[01:37:03.800 --> 01:37:06.000]  You know Maggie Simpson with the mallet or whatever
[01:37:06.400 --> 01:37:11.600]  But I think I think there's also I have fun. This is really where I don't know
[01:37:11.600 --> 01:37:15.220]  I'm out on a limb, but I think there are differences. There's different kinds of violence
[01:37:15.220 --> 01:37:21.420]  I think stormtroopers getting bloodlessly shot with comic book violence is really different from Hellraiser
[01:37:22.000 --> 01:37:28.320]  Or or like this like saw I think there is a really big difference in degree and the personal miss of it
[01:37:28.320 --> 01:37:32.880]  So like there are some things and again, we got to talk about 70s and 80s movies. There is so much
[01:37:33.480 --> 01:37:38.260]  Completely random weird nudity and sex in 70s and 80s movies, especially 80s movies
[01:37:38.260 --> 01:37:42.780]  But there's also some like extremely personal violence in in those kinds of movies
[01:37:42.780 --> 01:37:46.420]  So like the idea of like holding somebody with a knife to their throat and cutting them
[01:37:46.420 --> 01:37:50.420]  I think of that as a different kind of animal than a stormtrooper getting shot personally
[01:37:50.580 --> 01:37:53.860]  yeah, I do too or even with just sticking to guns with
[01:37:55.260 --> 01:38:00.780]  Like when Bond especially in the older ones when Bond shoots somebody it's practically like shooting a stormtrooper
[01:38:00.780 --> 01:38:02.740]  I mean, it's like, you know, like the squib
[01:38:02.740 --> 01:38:07.220]  the squib in the chest was just like a puff of smoke and the guy just you know falls into
[01:38:07.220 --> 01:38:11.380]  You know sharks with lasers pit
[01:38:15.960 --> 01:38:22.260]  Whereas I think the more visceral violence in the more recent ones like the Craig ones, you know is a little different. Oh
[01:38:22.820 --> 01:38:27.700]  My gosh. Oh, no. No. No, I mean a lot different. Yeah. Yeah, I mean
[01:38:28.220 --> 01:38:30.580]  I'm starting if it's a beef jerky. I thought I could pull it off. Um
[01:38:30.580 --> 01:38:32.580]  Hmm
[01:38:34.140 --> 01:38:38.260]  How's it going what do you think about what do you think about the actual ratings
[01:38:38.260 --> 01:38:42.340]  I I still think it was a mistake to introduce the rating pg-13
[01:38:43.180 --> 01:38:44.740]  um, I
[01:38:44.740 --> 01:38:45.780]  Find it
[01:38:45.780 --> 01:38:51.820]  Well, it certainly was easier at one time to understand everybody knew what our rated meant our rate event
[01:38:51.820 --> 01:38:56.540]  You could expect some some serious nudity and simulated sex
[01:38:56.540 --> 01:39:03.260]  You could expect some shits and fucks and you could expect real smoking and drugs and you know French connection
[01:39:03.260 --> 01:39:07.740]  That's an R-rated movie. That was easy to understand now when I'd like to per that article I
[01:39:08.260 --> 01:39:09.940]  110th read today
[01:39:09.940 --> 01:39:13.100]  1984 comes along you've got was a Temple of Doom. No
[01:39:13.100 --> 01:39:18.600]  Yep, Temple of Doom and gremlins were two movies that people were just like this is just now gremlins
[01:39:18.600 --> 01:39:23.440]  I think I could see gremlins freaking my kid out personally. It's so it's kind of a weird movie
[01:39:23.440 --> 01:39:30.120]  Yeah, it is a weird movie. We just rewatched it and not recently but maybe like last Christmas cuz it's sort of a Christmas movie
[01:39:30.120 --> 01:39:34.160]  Yeah, like about a year ago, but even even something like a movie we all love
[01:39:34.440 --> 01:39:41.520]  It's they take a movie like Groundhog Day if Groundhog Day had just the smallest bit of editing
[01:39:42.040 --> 01:39:45.180]  It would be maybe a canonical family movie
[01:39:46.160 --> 01:39:51.900]  It's so close to being a Ghostbusters. You know how much nookie there is in Ghostbusters. You got a fake blowjob
[01:39:51.900 --> 01:39:53.900]  You got remember that
[01:39:54.780 --> 01:39:56.900]  Remember that where Dan Aykroyd gets the ghost blowjob
[01:39:58.380 --> 01:40:00.380]  And it's like what's this doing in this movie?
[01:40:00.860 --> 01:40:07.820]  It's a movie for kids or just you know, and there's all these movies. This is still true today
[01:40:07.820 --> 01:40:09.300]  I know with the Marvel movies
[01:40:09.300 --> 01:40:15.180]  They're usually pretty good with the salty language until like the last act and that's when all the the shits and fucks come out is
[01:40:15.180 --> 01:40:20.220]  Always like the what is the rule isn't there kind of like a standard for how many you're allowed in a pg-13 movie?
[01:40:20.220 --> 01:40:25.400]  Yeah, I think there's some kind of and I think they'd like to really load them up in the back tip for when the closing
[01:40:25.400 --> 01:40:28.180]  Action, but I'm just saying like that's the part that's perplexing
[01:40:28.180 --> 01:40:31.940]  Is there like are you gonna tell me Ghostbusters is not right for kids? Oh, here we go back to the future
[01:40:32.300 --> 01:40:38.240]  Like there's some stuff in back back to the future is a great a great family movie that still has some stuff in it
[01:40:38.240 --> 01:40:40.240]  That's a little edgy. I
[01:40:40.440 --> 01:40:45.260]  Mean, you know, he's in his underwear. I guess that's not a big deal. But you know, it's straight Oh home alone
[01:40:45.260 --> 01:40:49.140]  I mean, would you come on? That's a kid's movie, right? Yeah, we've watched him
[01:40:49.140 --> 01:40:51.140]  Yeah, he gets an iron in the face
[01:40:52.980 --> 01:40:55.980]  That's that's worse than Wolverine, I don't know I
[01:40:57.660 --> 01:41:02.220]  Don't know I don't know the violence and home alone is kind of weird because it's on the one hand
[01:41:02.220 --> 01:41:07.820]  It's like they're kind of going for that Three Stooges thing. And on the other hand, there's like actual acid like
[01:41:08.540 --> 01:41:12.200]  Walking up the steps in bare feet and you see the nail
[01:41:12.780 --> 01:41:16.900]  Sticking out of the step and you're like, this is the most horrific thing that I've ever seen
[01:41:16.900 --> 01:41:20.820]  He's because every kid's terrified your parents get you terrified about getting tetanus from a nail, right?
[01:41:20.820 --> 01:41:25.200]  And he steps on in like a three inch exposed like nail
[01:41:25.980 --> 01:41:27.980]  right it in us
[01:41:28.280 --> 01:41:30.480]  it's an interesting movie because it
[01:41:31.220 --> 01:41:33.220]  it does though, but like his
[01:41:33.820 --> 01:41:38.500]  What's his name Kevin young Kevin's mastery of these two buffoon?
[01:41:39.020 --> 01:41:40.620]  criminals is
[01:41:40.620 --> 01:41:45.660]  Established cinematically such that you kind of get the sense that the kids gonna come out on top
[01:41:45.660 --> 01:41:52.940]  That he's you know, and that therefore his his mastery of of these two criminals the way that he prolongs their stuff
[01:41:52.940 --> 01:41:58.500]  It really does kind of in a sense. It's a little bit more like torture than it is. It's like grand guignol
[01:41:58.500 --> 01:42:05.860]  It's it's like he's deliberately making this as awful as he can. Yeah, it's less self-defense and more torture. He's kind of enjoy. Oh
[01:42:07.940 --> 01:42:11.660]  Man actually, I think there's a couple of scenes where like one of his you know
[01:42:11.660 --> 01:42:16.500]  Traps works and he just flat-out like high-fives himself. Yes, that's right
[01:42:16.500 --> 01:42:20.460]  Gotta pick that up which does the like her fist out and pumps it in good. Yes
[01:42:21.540 --> 01:42:23.660]  Fuller go easy on the Pepsi. I
[01:42:24.580 --> 01:42:26.500]  love
[01:42:26.500 --> 01:42:30.660]  But I don't know. I'm just saying okay. Now, how about this? All right PG 13
[01:42:30.660 --> 01:42:37.620]  So they I think it was a mistake because I think that the old way was G. That's a kids movie. That's for everybody
[01:42:38.540 --> 01:42:40.300]  PG is
[01:42:40.300 --> 01:42:42.100]  it's
[01:42:42.100 --> 01:42:46.300]  in between and R is for adults and doesn't matter why it doesn't matter if it's
[01:42:46.780 --> 01:42:51.100]  PG says it all PG PG says like your mileage may vary like yeah, you know
[01:42:51.100 --> 01:42:55.140]  it basically it almost kind of says like you need to
[01:42:56.140 --> 01:42:58.140]  Like watch this before your kids do
[01:42:58.340 --> 01:43:02.300]  Practical or like or like be advised right? Yeah be advised think about it
[01:43:02.300 --> 01:43:08.820]  You know if your kid is younger and if your kid is over 10, it's probably probably good. Yeah, you know, yeah
[01:43:08.820 --> 01:43:11.500]  I don't know but it's again that could to me the hard part is this sensitive
[01:43:11.500 --> 01:43:14.380]  I sent you a link to this website that I look at a lot and I
[01:43:15.100 --> 01:43:19.580]  I'm somewhat ambivalent about it. And yet I find it extremely useful. I cannot believe I'm saying this
[01:43:19.580 --> 01:43:21.820]  Have you seen that I said you should look at that link kids kids in mind
[01:43:22.100 --> 01:43:26.420]  Yeah, it's a very interesting idea because they go out and they review these movies, but it's very funny
[01:43:26.420 --> 01:43:31.620]  so the none of it is they come up with this these three like
[01:43:31.620 --> 01:43:39.820]  Mmm, three numbers not numerals because there's a ten but how much sex and nudity nudity is there from zero to ten?
[01:43:39.860 --> 01:43:43.620]  How much violence and gore from zero to ten how much profanity from zero to ten?
[01:43:43.820 --> 01:43:48.340]  Which I think it's it's a great like, you know, at least a fast glance where I mean
[01:43:48.340 --> 01:43:49.500]  Sometimes I use this to go like, okay
[01:43:49.500 --> 01:43:54.620]  We're thinking about these two different movies like which one of these looks better on the face of it and sometimes you know
[01:43:54.620 --> 01:43:56.180]  What I mean, it's a quick sniff test
[01:43:56.180 --> 01:43:59.100]  But then did you go in and look at the actual page?
[01:43:59.580 --> 01:44:01.260]  at like how
[01:44:01.260 --> 01:44:04.620]  It's like porn where they describe all the stuff that's actually in it
[01:44:05.380 --> 01:44:10.700]  No, I didn't I'm looking at sponge sponge and the way they describe it. It's hilarious. I want to meet the person who writes this
[01:44:11.940 --> 01:44:16.220]  Sponge Bob movie which I absolutely do not want to see sex and nudity you get it, too
[01:44:16.220 --> 01:44:21.340]  we see many human men on the beach with bare chests many women wear skimpy bikinis and reveal cleavage a
[01:44:22.020 --> 01:44:27.300]  Sponge accidentally pulls the shorts partially down from a starfish is waste and we see the upper buttocks and buttock cleavage
[01:44:27.300 --> 01:44:33.940]  I've got one here from Mordecai a husband and his wife attempt to kiss several times in different scenes
[01:44:34.100 --> 01:44:36.900]  but his moustache makes her gag and
[01:44:37.780 --> 01:44:44.980]  He gags in reflex. Oh my god, please see the violence and gore category for more details on the gagging
[01:44:44.980 --> 01:44:48.100]  It's but it doesn't it read like something like a Japanese man would buy for porn
[01:44:49.820 --> 01:44:56.940]  American sniper profanity gets a 10 about a hundred and fifteen f-words and its derivatives 10 sexual references 32 scatological terms
[01:44:56.940 --> 01:45:04.760]  20 anatomical terms 12 mild obscenities name-calling including sunshine quitter nuts old man hotbox arrogant self-centered sitting ducks legend
[01:45:05.180 --> 01:45:10.260]  See why why can't somebody wrote all those down John? Why count all?
[01:45:10.740 --> 01:45:12.740]  115 fucks, you know because
[01:45:12.860 --> 01:45:16.420]  Clearly, I mean, how long is the movie it even if it's three hours, right?
[01:45:16.420 --> 01:45:19.500]  Right, you're you're on the two hours two hours and 12 minutes
[01:45:20.380 --> 01:45:23.020]  So it's roughly one a minute
[01:45:23.020 --> 01:45:28.460]  Yeah, fuck a minute, right? And unless there's like a burst at
[01:45:29.220 --> 01:45:30.960]  Had the end it's you know
[01:45:30.960 --> 01:45:36.320]  I think you only have to go about two or three movies or minutes into this movie and you can just check off 10 on
[01:45:36.320 --> 01:45:38.520]  The profanity some of these. Oh my god
[01:45:39.140 --> 01:45:42.740]  All right, it's like this like you're if you're like the inspector for a hotel
[01:45:43.220 --> 01:45:47.460]  Like you don't have to count the bug like once you see five rats in the lobby
[01:45:47.980 --> 01:45:52.580]  Yeah, new dealers check that off. You just check it off. You don't have to count them, right?
[01:45:52.580 --> 01:45:54.540]  You don't have to count them
[01:45:54.540 --> 01:45:57.400]  1998 film a lot of people a lot of families have enjoyed called The Big Lebowski
[01:45:58.580 --> 01:46:01.980]  Profanity they give it a 10 about 240 f-words
[01:46:03.700 --> 01:46:10.160]  Many scatological references many anatomical references many mild obscenities here to fix Dinah Kabul
[01:46:11.220 --> 01:46:17.100]  This is great. I I I love this but I know that I'm gonna lose a lot of time on this site
[01:46:17.180 --> 01:46:20.220]  Like oh, I know and but the things I can't show it to my wife
[01:46:20.220 --> 01:46:22.820]  Oh, I mean, I'm gonna say can't she's a grown-ass woman
[01:46:22.820 --> 01:46:26.700]  But you know, it makes it when you read when you read it in this clinical way
[01:46:26.700 --> 01:46:30.120]  It makes it sound so much worse when they say a starfish is
[01:46:31.380 --> 01:46:38.160]  Swimsuit is pulled down and reveals buttocks guys. That's Patrick. It's Patrick's but he's a goddamn cartoon character. It's okay if we see his butt
[01:46:38.740 --> 01:46:40.580]  All right. I looked up
[01:46:40.580 --> 01:46:44.980]  Fantastic. Mr. Fox which is actually I was just talking to do I just watched it. I love it so much
[01:46:45.500 --> 01:46:46.860]  I
[01:46:46.860 --> 01:46:51.220]  Cut key called it. Oh, I when I linked to a picture from it and he said it's underrated
[01:46:51.220 --> 01:46:52.820]  I think it's my favorite Wes Anderson
[01:46:52.820 --> 01:46:58.020]  It's it's it's one of my all-time favorite movies let alone one of our families like there's two movies
[01:46:58.020 --> 01:47:03.440]  Yeah, if we can't decide on anything and it comes to blows it's either The Incredibles or mr. Fox. That's it. Yeah, that's
[01:47:04.620 --> 01:47:08.740]  Those are yeah, those are two good ones to leave at the top of the queue. All right, so
[01:47:08.740 --> 01:47:17.120]  For sex and nudity, it's only ranked a one out of ten which meshes with my memory
[01:47:18.340 --> 01:47:21.180]  Here's what we've got. We've got Christopher sin in a swimsuit
[01:47:22.000 --> 01:47:26.680]  Husband and a wife kissing Fox kissing hug a teen boy and a teen girl
[01:47:27.320 --> 01:47:33.560]  Fox flirt in a couple of scenes. I do remember that you're supposed to be my lab partner. I know it number
[01:47:33.560 --> 01:47:35.560]  No, you're not you're disloyal
[01:47:35.560 --> 01:47:41.340]  Or number two a rat refers to a fox's wife as the quote town tart
[01:47:43.300 --> 01:47:49.600]  Right, I yeah, I never off a fox wife tells her Fox husband that she is pregnant
[01:47:49.820 --> 01:47:54.780]  So that gets counts for a one on the sex nudity skin while they're in a cage. Oh
[01:47:56.380 --> 01:47:57.420]  Man
[01:47:57.420 --> 01:47:59.020]  Yeah, but again, you know what this is though
[01:47:59.020 --> 01:47:59.260]  Okay
[01:47:59.260 --> 01:48:04.500]  So I just gotta say this is this is actually really helpful though because like you say this is the rats in the lobby title
[01:48:04.500 --> 01:48:09.740]  It's like you can see like oh, yeah. Yeah. Yeah. No, no, no, no big Lebowski's not gonna be great to watch with the kids
[01:48:09.740 --> 01:48:11.740]  Am I wrong? No, we're gonna skip this one
[01:48:12.180 --> 01:48:16.940]  But it is also good that you can go through and look for like the truth is like a trigger for your kids
[01:48:17.900 --> 01:48:23.240]  27 exclamation. This is for profanity 27 exclamations. What the cuss cuss words
[01:48:24.060 --> 01:48:26.060]  What the cuss?
[01:48:26.220 --> 01:48:29.420]  They count that as a cuss word. Yeah cuss is a cuss word
[01:48:29.420 --> 01:48:34.420]  cluster cuss
[01:48:35.780 --> 01:48:37.780]  Mmm, they have a
[01:48:37.900 --> 01:48:39.740]  scatological terms
[01:48:39.740 --> 01:48:41.180]  glossary
[01:48:41.180 --> 01:48:47.020]  You get f-word derivatives, which all have little asterisks in them scatological terms religious profanities
[01:48:47.500 --> 01:48:52.660]  Mild obscenities friggin would be would be counted as a mild obscenity. All right derogatory terms
[01:48:52.660 --> 01:48:58.620]  Wow, but you know, I still I gotta say no. No, let me ask you if you remember this. Do you remember?
[01:48:59.140 --> 01:49:06.940]  I'm gonna say circa mid to late 90s. Do you remember a service that was actually kind of like what became Netflix?
[01:49:07.500 --> 01:49:14.180]  Where you could get edited movies, I think it might have been a somewhat overtly Christian place
[01:49:14.180 --> 01:49:20.100]  But you could get like a PG movie that had all of the stuff a certain kind of religious person would find offensive cut out
[01:49:20.100 --> 01:49:23.660]  I remember that I do. I do remember hearing about I remember hearing about it
[01:49:23.660 --> 01:49:27.420]  I don't I don't know where it went or what it did. But isn't that especially on the digital age?
[01:49:27.420 --> 01:49:29.220]  It's a very interesting idea
[01:49:29.220 --> 01:49:31.980]  Yeah, cuz it would be you know, you could do it without losing fidelity
[01:49:31.980 --> 01:49:36.500]  Just you need just some basic metadata on like well, you know, you could go in
[01:49:36.500 --> 01:49:38.500]  It'd be so great because if you could go in and say
[01:49:39.100 --> 01:49:42.860]  You know what? My family is observant and we don't want any god-dams. Could you
[01:49:43.380 --> 01:49:48.540]  Adjust with audio blip out the god-dams but leave in the horrific violence or whatever
[01:49:48.540 --> 01:49:52.160]  Let's say you want to show your kids passion of the Christ. Let's go see my passion of the Christ looks like
[01:49:52.740 --> 01:49:55.620]  But you know what? I mean because I gotta say I might find that
[01:49:57.180 --> 01:50:02.460]  It kind of goes against my some of my values about you know censorship or something, but that's what I'm asking for
[01:50:02.460 --> 01:50:06.780]  You know, there are some movies. I am much more likely to have my daughter watching a hotel room
[01:50:07.700 --> 01:50:11.260]  Because I know they've been you know edited down they've taken out the really cool
[01:50:11.260 --> 01:50:18.620]  We watched Highlander in a hotel room and she thought was a riot. I would never show that to her at home unedited. I
[01:50:18.620 --> 01:50:21.960]  Never thought about that about looking for a hotel edit
[01:50:23.780 --> 01:50:28.580]  The director's cut and then there's Hilton's cut. Wow. This is an unusual
[01:50:29.220 --> 01:50:34.140]  Unusual statistical spread on passion of the Christ sex and nudity. It gets a one
[01:50:34.860 --> 01:50:37.300]  Profanity it gets a one balance and gore
[01:50:37.300 --> 01:50:40.540]  Full ten. Oh my good
[01:50:45.260 --> 01:50:47.660]  Let her dance dance let her dance dance
[01:50:47.740 --> 01:50:54.900]  I've been now I'm looking for movies that I have let Jonas see that they don't even bother to list because it'd be so inappropriate
[01:50:55.380 --> 01:51:02.660]  Right. The Shining is not listed. Oh, come on. Are you kidding me that I've let him see it? Yeah. Yeah
[01:51:03.660 --> 01:51:06.020]  I think that's the only Kubrick movie. He's here Batman
[01:51:06.020 --> 01:51:08.020]  Wow
[01:51:08.400 --> 01:51:10.400]  She's never seen any
[01:51:10.880 --> 01:51:14.360]  Kubrick that was recent though. That was within okay. Yeah. Well, I think it was like less
[01:51:14.360 --> 01:51:16.580]  You're gonna say the clockwork orange till he's like 12 probably right?
[01:51:17.320 --> 01:51:24.080]  Yeah, a clockwork orange is gonna have to wait. Mm-hmm. Cuz yeah, but there are some things. Oh, I got oh, you know what?
[01:51:24.080 --> 01:51:25.640]  I'm gonna tell you I'll tell you more offline
[01:51:25.640 --> 01:51:31.960]  But there's a movie that she has been dying to see for like a year and we've read some of the book
[01:51:32.000 --> 01:51:34.080]  We've taught I've told her the entire story
[01:51:34.080 --> 01:51:35.800]  She
[01:51:35.800 --> 01:51:37.800]  really wants to see Hunger Games and I'm like
[01:51:38.760 --> 01:51:46.240]  It's seven like that's it just and again why too much personal violence like that the violence in Hunger Games
[01:51:46.240 --> 01:51:50.040]  I I'm gonna tell you I don't care. I'm 48 year old man. I'm gonna say it. I love the Hunger Games
[01:51:50.040 --> 01:51:52.320]  I thought it was a great movie. I thought it was a lot of fun
[01:51:52.320 --> 01:51:57.800]  I thought was very well done and I I just I really liked it and I cannot wait
[01:51:57.800 --> 01:52:00.400]  It's one of those movies like that. I'm constantly saying to her. Oh, honey
[01:52:00.400 --> 01:52:05.080]  I cannot wait until you're old enough to watch this with me like that one Blade Runner
[01:52:06.720 --> 01:52:08.720]  What about Blade Runner he's in Blade Runner
[01:52:08.760 --> 01:52:12.500]  No, yeah, that's pretty about that. Yeah
[01:52:13.040 --> 01:52:19.560]  Huh? There's the the Daryl Hannah got the I you got the you got the replicants doing some pretty bad
[01:52:19.560 --> 01:52:21.880]  Oh, you got Leon you got Leon
[01:52:22.440 --> 01:52:27.320]  There's some pretty bad stuff in that. I would probably let him watch it now though. He's 11. I would probably let him
[01:52:27.320 --> 01:52:32.120]  Yeah, I'm worried. How much how much did they play up that Daryl Hannah is a prostitute?
[01:52:35.120 --> 01:52:39.160]  Little okay, you afraid it's gonna be imitated behavior. Well, I don't know
[01:52:39.160 --> 01:52:41.360]  He's gonna want to go and get a skin job if you know what I mean
[01:52:41.480 --> 01:52:46.400]  Yeah, but I just say only only within like the last year or so. Oh sure. Sure. Sure. It's probably yeah
[01:52:46.400 --> 01:52:50.500]  That's what was Blade Runner rated. I must have been right. I think it's got to be rated R. Yeah
[01:52:50.500 --> 01:52:52.720]  Yeah, some of them are amazing. I'm telling you
[01:52:52.720 --> 01:52:57.600]  There's something about 80s movies that seems completely random movies that in my head
[01:52:57.600 --> 01:53:03.640]  I think of as being like maybe because I saw them when I was a young teenager like I'm so blown away
[01:53:03.640 --> 01:53:06.320]  There's just be boobs out of nowhere in the movie. Whoa
[01:53:07.560 --> 01:53:11.180]  We just watched over Christmas. We watched weekend at Bernie's
[01:53:11.180 --> 01:53:22.140]  And he loved it he absolutely loved it, but there were a couple of surprising 80s sort of boobies
[01:53:22.780 --> 01:53:24.780]  Yeah, I don't know how else to describe
[01:53:24.940 --> 01:53:29.540]  Well in those and the thing was that it was so egregious. I think a lot of the movies I'm thinking of it was by
[01:53:29.540 --> 01:53:31.540]  the time you had
[01:53:32.740 --> 01:53:34.340]  Theatrical
[01:53:34.340 --> 01:53:36.340]  You know VHS or beta
[01:53:36.340 --> 01:53:42.980]  cable and certainly get it ready for distribution on TV and if you think about something like caddyshack or you think about
[01:53:43.180 --> 01:53:45.180]  cash like obviously way too much but
[01:53:45.660 --> 01:53:48.940]  Can't wait till I can watch that with her but same here. Oh my god
[01:53:48.940 --> 01:53:49.900]  I love it. We thought about it
[01:53:49.900 --> 01:53:53.700]  We thought about it and then we were like running it through our heads and there's so much of it
[01:53:53.700 --> 01:53:59.240]  That's good. But that you know, I appreciate it more later. I should have seen I showed her Carl finding the candy bar in the pool
[01:53:59.240 --> 01:54:04.100]  I I don't know what we're gonna have to talk about what abortion is, but it's not gonna be
[01:54:04.100 --> 01:54:07.620]  Okay, so that waitress has a baby
[01:54:11.260 --> 01:54:16.460]  But wasn't gonna say about oh so so but it was funny though cuz like I think about like how like egregious and
[01:54:16.980 --> 01:54:20.860]  Unnecessary so many of the boobies are where like you could tell they made it to be easy to cut out
[01:54:21.500 --> 01:54:23.900]  We're just like hey, it's a shot of a girl taking her shirt off
[01:54:23.900 --> 01:54:25.100]  You're like, what was that?
[01:54:25.100 --> 01:54:30.400]  But like you had to have that in every 80s movie early 80s movie think about like stripes, you know
[01:54:30.400 --> 01:54:36.260]  I mean there's these movies that are like kind of mostly okay in some ways but then are like super inappropriate in other ways
[01:54:36.460 --> 01:54:39.820]  But yeah, there's got to be there's had to be like a scene where there were
[01:54:40.340 --> 01:54:46.740]  23 year old like having a pillow fight at a party. Yeah with feathered hair and they were either getting a hose down or having a
[01:54:46.740 --> 01:54:48.740]  pillow fight
[01:54:49.660 --> 01:54:51.660]  Well
[01:54:53.260 --> 01:54:57.740]  An awful lot of actresses got hosed down or suds up in in
[01:54:57.740 --> 01:54:59.700]  in completely
[01:54:59.700 --> 01:55:04.300]  Mainstream Hollywood movies in the 1980s. Let's have a car wash to save the orphanage
[01:55:05.420 --> 01:55:09.140]  But there's no orphanage in the plot. Sponges are soft, right?
[01:55:09.980 --> 01:55:12.820]  So what are we gonna tell people? How do we help people with this John?
[01:55:12.820 --> 01:55:17.820]  There are new parents out there people are having babies like crazy people. How do we help people with this? I
[01:55:19.540 --> 01:55:23.140]  Don't know I feel like you I feel like you got to have faith in your kid
[01:55:23.140 --> 01:55:28.860]  I feel like because I don't know I just remember when I was a kid when I was not allowed to watch certain movies
[01:55:28.860 --> 01:55:35.460]  It was a constant source of frustration for me. And you felt didn't you feel like a pariah? I did and we had
[01:55:35.980 --> 01:55:39.380]  A neighborhood movie theater and it was so great
[01:55:39.380 --> 01:55:42.220]  I think I had to have talked about this on the show at some point
[01:55:42.220 --> 01:55:47.260]  But it's probably years ago probably with like Dan but and it was I didn't even have to cross the street
[01:55:47.260 --> 01:55:51.420]  It was cata corner like a dad like up and around the block from my parents house
[01:55:51.420 --> 01:55:53.420]  so I didn't even have to cross the street and
[01:55:53.860 --> 01:55:59.260]  it was called the Majestic and it was an old time like vaudeville theater that at some point in the
[01:55:59.540 --> 01:56:02.460]  40s or 50s was turned into a movie theater and
[01:56:04.060 --> 01:56:06.060]  It was like connected to the fire company
[01:56:06.060 --> 01:56:10.360]  so like half the building was fire trucks the other half was a movie theater and it was just right out of
[01:56:11.220 --> 01:56:15.660]  Central casting of like old time matinee movie theater
[01:56:15.660 --> 01:56:21.020]  Velvet seats Wow had a balcony a big balcony
[01:56:21.020 --> 01:56:27.500]  Like you would go around the side and it was run by a family the guy who owned it was mr
[01:56:27.500 --> 01:56:32.540]  Dieter Dieter Dietrich Dieter, I think and he is probably around 50 and
[01:56:33.460 --> 01:56:38.000]  His dad was the projectionist and the ticket taker at the front door his dad
[01:56:38.620 --> 01:56:40.460]  He must have been
[01:56:40.460 --> 01:56:45.940]  75 but in it to our eyes as like eight nine-year-olds. He was ancient. He was like older than God
[01:56:45.940 --> 01:56:48.500]  You know, he was he was he was older than the earth
[01:56:50.540 --> 01:56:51.820]  And
[01:56:51.820 --> 01:56:57.420]  Then the kids his like ne'er-do-well teenage son would sometimes be working and it was such a great place
[01:56:57.420 --> 01:56:59.780]  Oh, how could you could you sometimes get away with it?
[01:57:00.020 --> 01:57:00.540]  well
[01:57:00.540 --> 01:57:05.960]  What you could sometimes get away with is if the kid was behind hit they had great popcorn like the best popcorn in the universe
[01:57:05.960 --> 01:57:11.180]  And they had because it was like a little, you know a little movie theater
[01:57:11.180 --> 01:57:15.960]  They never got movies when they were new they got movies right after they were new. So like
[01:57:16.700 --> 01:57:20.700]  Empire Strikes Back would come out and it would play for three months at the multiplex
[01:57:20.700 --> 01:57:25.760]  All right, and then the majestic would get it for like, you know, however many weeks they wanted
[01:57:27.220 --> 01:57:31.540]  And they would sometimes have like two movies at the same time even though that was just you know
[01:57:31.540 --> 01:57:36.580]  It wasn't a multiplex one screen but like in the afternoon, they might show like a kids movie like Peter Pan
[01:57:36.580 --> 01:57:40.500]  And then at nighttime there was a you know, John Travolta movie or something, right? I don't know
[01:57:42.140 --> 01:57:44.140]  And they would also show
[01:57:44.180 --> 01:57:47.860]  Rock movies like concert films from like movies kind of things
[01:57:47.860 --> 01:57:48.100]  Yeah
[01:57:48.100 --> 01:57:53.180]  like though I like just concert movies of like the stones and Led Zeppelin and stuff like that and my parents always get mad cuz
[01:57:53.180 --> 01:57:57.860]  When they showed those like our backyard would get trashed like it's like kids coming out of movie
[01:57:57.860 --> 01:58:04.340]  They were like cut through like and and you know leave beer cans and stuff, but it was such a great place
[01:58:04.340 --> 01:58:06.340]  But I remember we used to go as a kid any
[01:58:06.660 --> 01:58:12.820]  Saturday where it was if it was winter or if it was rainy or whatever we would just go to the majestic
[01:58:12.820 --> 01:58:16.060]  We would just go that because it was like a dollar a dollar matinee your parent
[01:58:16.060 --> 01:58:19.780]  My mom wouldn't mind giving you the money you'd be out of their hair, but every once in a while
[01:58:19.780 --> 01:58:25.500]  I remember one time specifically I wasn't allowed all my friends were going and they didn't give it like one thing about mr
[01:58:25.500 --> 01:58:28.760]  Dieters, he didn't give two shits how old you were if you had your dollar you could go see
[01:58:29.280 --> 01:58:31.860]  So that the Saturday matinee was kujo
[01:58:31.860 --> 01:58:37.060]  This is my this whole story is my I was saying I was not allowed my mom checked and I knew she wouldn't let me
[01:58:37.060 --> 01:58:40.820]  See it. So I hope I just said can I go to the majestic and she said what's playing?
[01:58:40.820 --> 01:58:42.820]  I said, I don't know she goes. Well, let me look
[01:58:43.140 --> 01:58:48.840]  And she looks you know in the newspaper, of course, and there it is kujo rated R and now she could tell you
[01:58:50.060 --> 01:58:53.820]  Well, I don't know. I can't remember if I got because you would just sometimes go and see what's there
[01:58:53.820 --> 01:58:57.940]  Yeah, and we would often go if they had the same movie two weeks in a row
[01:58:57.940 --> 01:59:01.020]  We'd go see it twice in a row and if we if we sat in the balcony last time
[01:59:01.020 --> 01:59:04.620]  We'll sit up in the front row this time and you know half the time on the balcony
