[00:00.000 --> 00:02.680]  How's your week? Oh my god. Oh
[01:15:49.720 --> 01:15:54.600]  And there's talk from some people and the funny thing is they're doing it on a mailing list that I still host
[01:15:55.000 --> 01:16:00.280]  and I haven't participated on in in years and I don't know why I haven't pulled the plug on the damn mailing list, but
[01:16:00.840 --> 01:16:06.200]  I still host the markdown discuss mailing list and there's people saying that they should just take the name markdown from me
[01:16:06.920 --> 01:16:08.200]  um
[01:16:08.200 --> 01:16:13.240]  Because i've been such a lousy steward of it of it and whatever meanwhile, you know
[01:16:13.320 --> 01:16:18.600]  There's the the the web pages on my site for markdown with describing the syntax and everything
[01:16:19.720 --> 01:16:21.720]  Are more popular every single day
[01:16:22.280 --> 01:16:27.480]  It's more popular the mark I could actually i've thought about selling a sponsorship just for markdown alone
[01:16:28.040 --> 01:16:31.640]  Because it's more popular the markdown pages on daring fireball get more traffic
[01:16:32.040 --> 01:16:36.120]  Than daring fireball did as a whole when I went professional with daring fireball
[01:16:36.840 --> 01:16:38.120]  um
[01:16:38.120 --> 01:16:43.160]  And you could even you could get like, you know web development kind of advertisements for that too. Like it's a different market, right?
[01:16:43.240 --> 01:16:46.920]  That's what i've that's exactly why I've thought that I could have a job board just on that page
[01:16:47.480 --> 01:16:52.040]  Um, although I do actually think a lot of the traffic is not coming from web developers
[01:16:52.120 --> 01:16:58.460]  It's coming from people who are using a new a site that is switched to markdown as the format
[01:16:59.240 --> 01:17:05.240]  Um, you know for that makes sense comments or whatever. But anyway long story. I mean I could go on forever about this but to me
[01:17:05.240 --> 01:17:11.020]  markdown's not successful despite not being a standard, uh,
[01:17:11.740 --> 01:17:13.180]  and and
[01:17:13.180 --> 01:17:16.460]  And etcetera etcetera and all that would entail but it because of that
[01:17:17.020 --> 01:17:19.820]  Now it's possible that it would be better off if there were some kind of
[01:17:20.140 --> 01:17:26.300]  Spec that could you know, if there were a spec that implementers could implement for some things. Um,
[01:17:27.980 --> 01:17:29.980]  And you know, maybe i'll do there's
[01:17:31.020 --> 01:17:34.460]  I don't want to get too deep in this but there's some ideas and some work that some people have done
[01:17:34.460 --> 01:17:41.900]  That's really interesting in that regard because 99.999 of people wouldn't have to worry about it and it wouldn't change things
[01:17:42.380 --> 01:17:43.340]  um
[01:17:43.340 --> 01:17:49.420]  But some of the things that people see as a problem like the fact that different markdown implementations are slightly different
[01:17:49.820 --> 01:17:53.980]  Is not a problem. It's actually you know, that's actually a good thing because then github
[01:17:54.540 --> 01:17:59.500]  Which has to my opinion a great flavor of markdown they even call it and they have a great name for it
[01:17:59.500 --> 01:18:07.500]  perfect name it's called github flavored markdown and it is exactly suited for github users and it does code a little differently because
[01:18:07.820 --> 01:18:12.460]  Uh, no shit github users are writing a lot of you know code blocks, right?
[01:18:12.940 --> 01:18:14.940]  um
[01:18:15.020 --> 01:18:19.580]  And it would not and almost none of their changes would make sense for markdown everywhere
[01:18:20.700 --> 01:18:22.700]  So, you know, it's great
[01:18:23.900 --> 01:18:28.620]  I don't know people see the world is broken regarding markdown because there's not one true markdown
[01:18:28.620 --> 01:18:30.060]  uh
[01:18:30.060 --> 01:18:32.620]  And meanwhile in the real world, everybody's happy writing markdown
[01:18:33.580 --> 01:18:35.660]  Yeah, I I think you're right. It doesn't
[01:18:36.300 --> 01:18:39.740]  It doesn't seem like it's a problem that needs to really be solved exactly
[01:18:40.380 --> 01:18:46.460]  And you know, it's I think I think there's this temp. There's a tendency for programmers to want to
[01:18:47.500 --> 01:18:52.860]  Clean up standards and and and formalize things like that and in many cases that is warranted
[01:18:52.860 --> 01:18:59.100]  Um, but I I think saying that everything has to be a standard is like saying open always wins exactly
[01:18:59.500 --> 01:19:04.860]  Like, you know that that is true sometimes, but it is not a generalization that holds all the time
[01:19:05.820 --> 01:19:07.340]  and
[01:19:07.340 --> 01:19:09.980]  I don't know. I mean, maybe there are things that should be standardized
[01:19:10.060 --> 01:19:15.420]  But it seems like markdown has gotten along just fine without that and it's moving along fine and you're right that
[01:19:15.820 --> 01:19:20.860]  You know different implementations will have different needs right and it is it is not wise
[01:19:20.860 --> 01:19:25.340]  To try to cram all these specialty needs into one standard that everybody must
[01:19:25.740 --> 01:19:30.380]  Follow and then and then everything gets versioned then you have to be like, oh well, does this support markdown 2.0 or not?
[01:19:30.380 --> 01:19:37.820]  And it's it's kind of a mess. I don't know. It's a hard problem to solve but I wouldn't assume that a standards body is
[01:19:38.620 --> 01:19:43.340]  Necessarily the right solution to this problem. I would almost certainly say it is
[01:19:43.980 --> 01:19:49.020]  Absolutely not. Well, of course you would say that because they're basically trying to fire you, right?
[01:19:49.020 --> 01:19:51.020]  but I don't know it I
[01:19:51.500 --> 01:19:53.660]  I think that the success of markdown
[01:19:54.220 --> 01:19:57.660]  Despite not having a standards body behind it all this time
[01:19:58.300 --> 01:20:05.500]  Is the biggest evidence why it probably doesn't need one right exactly and you know part of what let's it get by without a spec
[01:20:05.660 --> 01:20:07.660]  and you know, and I I don't like
[01:20:08.620 --> 01:20:14.140]  It would be better in some ways there are there's things that could be clarified and there's things that make markdown very hard for example
[01:20:14.140 --> 01:20:16.140]  to write a syntax coloring
[01:20:16.140 --> 01:20:18.700]  syntax coloring, um description for
[01:20:19.260 --> 01:20:21.260]  Because of ambiguities there's things
[01:20:21.260 --> 01:20:26.620]  The the general assumption with markdown the thing that that the reason why it doesn't have a spec and why I think it probably shouldn't
[01:20:26.940 --> 01:20:30.380]  Is the general assumption is that whoever is writing it knows what they're doing
[01:20:30.940 --> 01:20:33.520]  And isn't going to put input random gibberish
[01:20:34.140 --> 01:20:37.580]  and there's all sorts of the problems that people are talking about is well, what if you
[01:20:38.220 --> 01:20:43.420]  Put seven asterisks in a row. What does that generate? Well, don't do that. That's my answer
[01:20:43.420 --> 01:20:47.900]  I don't know what it generates. Does it generate a bunch of empty m tags or strong tags?
[01:20:48.300 --> 01:20:51.820]  I I don't know. It just seems like just why would you do that?
[01:20:53.660 --> 01:20:56.860]  You know check what it looks like before you publish it and if you see oh
[01:20:56.940 --> 01:21:02.860]  I forgot that if I put a bunch of asterisks there that means something at markdown I should backslash escape them
[01:21:02.940 --> 01:21:04.940]  Just you know, take a look at it
[01:21:06.300 --> 01:21:09.500]  It could be better. I'm not trying to brush aside all criticism of it
[01:21:09.500 --> 01:21:12.860]  And say that there's nothing I could do better. There's I maybe I should wait
[01:21:13.340 --> 01:21:16.380]  Take a couple of weeks and wade back in and clean up some things
[01:21:16.780 --> 01:21:20.380]  But I think what markdown needs from me would be like a version
[01:21:20.940 --> 01:21:23.900]  I don't even know what the official version but like if it's at 1.0
[01:21:25.020 --> 01:21:27.020]  One I should do like a 1.0
[01:21:28.460 --> 01:21:34.540]  Right or at most like a 1.1. Yeah, maybe at 1.1. There's no need for a markdown 2.0
[01:21:34.540 --> 01:21:39.900]  Markdown 2.0 and there's no need for a standard or respect but people get really worked up about it
[01:21:40.300 --> 01:21:45.500]  What if they just make their own thing and give it another name and see if it catches on exactly that's i've said that
[01:21:45.900 --> 01:21:49.420]  That's like I probably should set up a text expander snippet for that
[01:21:50.300 --> 01:21:52.620]  Make up your own thing and see if it catches on yeah
[01:21:52.700 --> 01:21:56.540]  Because it might and then then fine problem solved then you have your own thing that you control
[01:21:56.620 --> 01:21:59.660]  It has it has a different name and fine. You got it, right?
[01:21:59.660 --> 01:22:04.700]  I don't know. We'll see how that goes. It's it's either going to peter out or it's going to be a thing
[01:22:04.940 --> 01:22:09.900]  That i'm going to have to take a little more public and then you know and be like, uh, no
[01:22:09.900 --> 01:22:11.980]  you cannot take the name markdown and
[01:22:12.300 --> 01:22:16.700]  I I do have a nice soapbox for that and I have a lot of people who are probably going to be on my side
[01:22:16.700 --> 01:22:18.620]  Of this and then everybody's gonna be like, oh my god
[01:22:18.620 --> 01:22:21.260]  I remember him talking to marco about that on his podcast a couple weeks ago
[01:22:22.060 --> 01:22:27.660]  You can even trademark it maybe yeah. Well, it probably isn't worth it. I mean, you know, I don't know I probably should try
[01:22:27.660 --> 01:22:31.660]  I probably should try. I don't know. It's probably it probably is not worth it
[01:22:31.820 --> 01:22:33.820]  might be harder because it's a general it's a
[01:22:34.300 --> 01:22:40.860]  You know getting a regular word even though the pun involved in the name. I think it's I still think it's rather clever. But uh,
[01:22:41.660 --> 01:22:43.660]  I don't know. It might be hard because it's a dictionary word
[01:22:44.220 --> 01:22:50.460]  I am not a trademark lawyer. However, I filed for a number of trademarks now, so i'm familiar with the process and uh,
[01:22:51.020 --> 01:22:53.020]  from what I understand, um
[01:22:53.020 --> 01:22:56.860]  You know, you could you could almost definitely trademark it. It doesn't matter that you haven't yet
[01:22:57.180 --> 01:23:01.180]  It doesn't matter that it's out there. You know, the fact is it's still your thing your project
[01:23:01.500 --> 01:23:05.340]  Yeah, i'm not asking for it has not become a generic term that describes all things like this
[01:23:05.900 --> 01:23:09.180]  it is still a specific thing that that you made and
[01:23:09.900 --> 01:23:11.900]  you could just make the
[01:23:11.900 --> 01:23:14.060]  Because you know, like when you this is a very common thing. I hear people
[01:23:14.700 --> 01:23:16.860]  Talking incorrectly about on podcasts all the time
[01:23:17.500 --> 01:23:21.660]  They assume that a trademark is is like a universally unique name, right?
[01:23:21.660 --> 01:23:25.580]  Uh, when in fact when you file for a trademark you have to you have to file for it in certain
[01:23:26.140 --> 01:23:32.700]  relatively narrow categories and the more broadly you want that trademark to apply the harder it is to get and
[01:23:33.500 --> 01:23:38.140]  Sometimes is it possible to get it more broadly? Um, there might be someone else that's too close to you. So like
[01:23:39.420 --> 01:23:46.860]  So, you know like you like I have to file for overcast's trademark within like the parameters of a website that does
[01:23:46.860 --> 01:23:52.620]  That that you know lets people search and find and play podcasts and also a mobile application lets people search and find and play
[01:23:52.940 --> 01:23:57.020]  Podcasts and audio files and you know, you have you have to be that specific and
[01:23:58.380 --> 01:24:02.620]  And and you know the and the more the more generic and overcast is a word it's an english dictionary word
[01:24:02.620 --> 01:24:05.660]  But I still have a trademark pending on it. That looks like it's going to go through just fine
[01:24:06.860 --> 01:24:10.860]  And there are other trademarks for the word that are in different industries and that's fine, too
[01:24:11.420 --> 01:24:12.940]  And so yeah
[01:24:12.940 --> 01:24:14.300]  trademarks are are
[01:24:14.300 --> 01:24:19.820]  Trademarks are are limited to a certain scope and if you make that scope narrow enough you can trademark almost anything
[01:24:20.140 --> 01:24:22.140]  Yeah, it's not like getting the twitter account name
[01:24:22.860 --> 01:24:24.860]  That's impossible. Yeah
[01:24:25.180 --> 01:24:27.340]  Every time it comes up where someone's like, oh, yeah
[01:24:27.900 --> 01:24:31.420]  How do I want to recover this abandoned name on twitter every time this comes up?
[01:24:31.420 --> 01:24:35.500]  There's like three people who are like, oh, I know a guy I I can get that done or oh, yeah
[01:24:35.660 --> 01:24:39.100]  You could just email this person and every time if anyone else does it
[01:24:39.100 --> 01:24:43.980]  They can't do it anymore. The process has now changed. It is now more strict. You know, sorry, I can't do it
[01:24:44.380 --> 01:24:47.820]  Yeah, I think there might have been some lucy uc early days where you could get
[01:24:48.540 --> 01:24:49.820]  uh
[01:24:49.820 --> 01:24:53.340]  you know like in 2009, you could still get a claimed but
[01:24:53.980 --> 01:24:56.220]  vacant twitter name, but it's it's
[01:24:56.780 --> 01:25:01.900]  I don't know. I think for obvious reasons that it's gotten harder. I have at markdown
[01:25:01.980 --> 01:25:04.780]  I don't think i've ever even posted from it, but I do have that
[01:25:05.100 --> 01:25:08.220]  Do you know this I think I talked about this on the show, but it was years ago
[01:25:08.220 --> 01:25:09.740]  um
[01:25:09.740 --> 01:25:11.740]  Do you know who wanted to buy it from me?
[01:25:11.980 --> 01:25:14.700]  Um matt mullenweg, nope, glenn beck
[01:25:15.580 --> 01:25:16.620]  What?
[01:25:16.620 --> 01:25:22.300]  Talk show right wing talk show personality glenn beck. Does he have like a show with that name or something?
[01:25:22.620 --> 01:25:25.580]  He started he got involved in some kind of um
[01:25:26.940 --> 01:25:28.940]  Um
[01:25:29.660 --> 01:25:32.700]  Like an overstock.com, uh competitor
[01:25:32.700 --> 01:25:37.180]  Okay, so it's like price markdown either. Yeah, or maybe it was like groupon or something
[01:25:37.180 --> 01:25:42.300]  I went and looked at it and tried to figure out what the hell it was and I was just like no so and I just
[01:25:42.540 --> 01:25:47.580]  I got emails from them that they wanted to make a very serious offer about the twitter account and I
[01:25:48.140 --> 01:25:50.140]  Just never answered them
[01:25:50.140 --> 01:25:55.180]  That that is that is really truly something I just couldn't live with myself. I didn't want to hear the number
[01:25:56.060 --> 01:25:59.900]  Because I don't think it would have been that big anyway, I really don't yeah, I doubt it
[01:25:59.900 --> 01:26:04.700]  I really don't yeah, I doubt it. I don't think it would have been an offer that I couldn't refuse
[01:26:05.020 --> 01:26:07.500]  But I was afraid that it would be an offer. I couldn't refuse
[01:26:08.300 --> 01:26:12.380]  So on the other hand, it would be nice to take a whole lot of glenn beck's money. Oh, I don't know
[01:26:12.540 --> 01:26:14.540]  There's something about that
[01:26:15.020 --> 01:26:20.060]  Yeah, I thought of that too that wouldn't it be nice to you know, buy a new car with glenn beck's money
[01:26:20.060 --> 01:26:22.220]  but then I don't know there's something about taking his money that
[01:26:23.740 --> 01:26:26.940]  I don't know. But anyway, he wanted to buy it but I think his whole thing fell apart
[01:26:26.940 --> 01:26:28.940]  anyway, now his markdown is is
[01:26:28.940 --> 01:26:31.900]  Not even remembered. I don't think anybody remembered it
[01:26:32.940 --> 01:26:34.940]  Does anyone remember him?
[01:26:35.020 --> 01:26:39.820]  I don't know because he's not on tv anymore. I still he pops up on the politics sites. I read every once in a while
[01:26:40.620 --> 01:26:47.020]  You can actually you actually read politics. I can I like politics make me so angry like every every political news thing
[01:26:47.020 --> 01:26:51.260]  I've ever read has just made me angry. So I I just try to avoid it as much as I used to be really into it
[01:26:51.260 --> 01:26:57.980]  When I did another enormous digression, but circa 2002 when I thought you know what i've got to start a blog
[01:26:57.980 --> 01:26:59.980]  a blog and it was
[01:27:00.140 --> 01:27:02.860]  Maybe it wasn't quite 50 50 and I know in hindsight
[01:27:02.940 --> 01:27:08.220]  everybody's going to say come on it couldn't have been but I it felt closer to 50 50 me whether I would write about
[01:27:08.700 --> 01:27:10.700]  tech and etc or
[01:27:11.240 --> 01:27:16.620]  Politics and etc. And then I thought well, maybe i'll start the the daring fireball one first
[01:27:16.620 --> 01:27:18.700]  Which I always knew was going to be would be the name of
[01:27:19.420 --> 01:27:21.420]  this one
[01:27:21.740 --> 01:27:25.980]  And I thought maybe i'll start a second blog I even have a name for it, but I won't I can't say what it is
[01:27:25.980 --> 01:27:27.260]  um
[01:27:27.260 --> 01:27:32.300]  Where I would write about politics, but it it's just to me. It's not that it makes me angry anymore
[01:27:32.380 --> 01:27:37.260]  It just bores me. It bores me to death. Yeah, because it's the same story all the time, you know, it's
[01:27:37.900 --> 01:27:39.020]  Everyone's getting screwed
[01:27:39.020 --> 01:27:43.500]  these people are you know being bribed or being bought by lobbyists and you know,
[01:27:43.740 --> 01:27:45.980]  the common people are getting screwed even further and
[01:27:46.460 --> 01:27:49.100]  Everything just sucks and there's no hope in sight. Like that's basically it
[01:27:49.820 --> 01:27:52.780]  Like if you if you boil it down, that's basically what every political
[01:27:52.780 --> 01:27:56.220]  Story is and yeah, I awful. I think if I had been alive
[01:27:57.020 --> 01:28:03.820]  If my you know been born a few decades earlier and had been like a same like a columnist type writer in the 70s or 80s
[01:28:04.060 --> 01:28:07.660]  I think it would have been about politics because I think it was so much more interesting then
[01:28:08.300 --> 01:28:12.620]  And I know there's a lot of a lot of some of the problems are exactly the same and the partisanship and stuff
[01:28:13.260 --> 01:28:15.260]  but
[01:28:15.340 --> 01:28:21.100]  It wasn't the money wasn't as as corrosive it wasn't so much that it was really all just about business
[01:28:21.100 --> 01:28:26.460]  Business, you know, it was it was more, you know, the partisanship was actually interesting and kind of fun to write about
[01:28:27.580 --> 01:28:31.580]  I just think it's funny also that you know, you and I have a similar problem
[01:28:31.660 --> 01:28:35.260]  You have it to a larger scale because your audience is much larger than mine
[01:28:36.060 --> 01:28:38.060]  We have a similar problem in that
[01:28:38.460 --> 01:28:40.460]  We say things that are opinionated
[01:28:40.860 --> 01:28:42.860]  about topics that shouldn't be
[01:28:43.240 --> 01:28:45.500]  emotionally charged but for many people they are
[01:28:46.700 --> 01:28:48.700]  and we get a lot of
[01:28:48.860 --> 01:28:50.540]  craft from people
[01:28:50.540 --> 01:28:52.540]  Who are like unreasonably?
[01:28:52.760 --> 01:28:56.620]  Surprisingly angry about some statement we make about like a phone
[01:28:57.820 --> 01:29:03.420]  I can't even imagine what it would take in your mind to think that it would be a good idea to enter political writing
[01:29:03.740 --> 01:29:05.740]  As an additional thing that you did
[01:29:05.980 --> 01:29:07.580]  From that point of view
[01:29:07.580 --> 01:29:14.460]  Yeah, and when i've dabbled in it on daring fireball, it's you know, I I don't mind the criticism, but it was enormous
[01:29:14.620 --> 01:29:20.220]  It was it peaked in 2008 with the sarah palin thing because I couldn't I couldn't not hold my tongue
[01:29:20.220 --> 01:29:22.940]  I was so clear that the woman was you know
[01:29:24.700 --> 01:29:27.340]  Borderline mentally disabled. I mean, you know
[01:29:28.780 --> 01:29:30.620]  Real a real real
[01:29:30.620 --> 01:29:33.340]  Problem and she was that was a scary time, right?
[01:29:33.580 --> 01:29:40.140]  When it appeared that like there was a very good chance like most people today who weren't voting or paying attention in 2008
[01:29:40.460 --> 01:29:42.300]  don't realize that like
[01:29:42.300 --> 01:29:46.540]  There was a very good chance. Sarah palin was going to be president right because you know mccain
[01:29:46.540 --> 01:29:51.420]  Yeah, mccain's still around now, but at the time everyone's looking at mccain saying he's not in great health. He's pretty old
[01:29:51.740 --> 01:29:53.980]  He was like one of the oldest people to run for president
[01:29:54.220 --> 01:30:00.620]  Well, and there was a tremendous and I think well-grounded fear that the polling numbers might be severely off
[01:30:01.020 --> 01:30:06.060]  Because there were an awful lot of people who wouldn't want to tell a pollster that they wouldn't vote for the black guy
[01:30:06.380 --> 01:30:12.380]  But when they go in in the privacy of the voting booth would right and there was a very real chance
[01:30:12.620 --> 01:30:14.620]  That mccain and palin were going to win
[01:30:14.620 --> 01:30:18.700]  And and that and because of mccain's age and health there was a good chance
[01:30:18.700 --> 01:30:25.440]  He might not make it for a full eight years and that she might become president like these were really like non-trivial possibilities
[01:30:25.980 --> 01:30:27.340]  And when i'd write about her man
[01:30:27.340 --> 01:30:34.540]  People would just a certain subset of people would just go nut and it was funny because some of them were clearly themselves very low iq
[01:30:34.860 --> 01:30:39.100]  But others were not others were you know, but that you know, they're because that's their
[01:30:39.740 --> 01:30:43.020]  Side and and they'd say, you know, if she was a democrat you'd love it
[01:30:43.020 --> 01:30:49.020]  It's like no if she was if i'm not that partisan. It's like my politics are certainly not conservative, but i'm not
[01:30:50.860 --> 01:30:55.900]  You know if if if a true moron ran on a democratic ticket I would do the same thing
[01:30:56.780 --> 01:31:03.500]  Like it's way more dangerous way more dangerous. I I prefer to have a democrat in the white house than a republican I do
[01:31:04.140 --> 01:31:06.140]  But I would much rather have
[01:31:06.860 --> 01:31:09.360]  any republican of reasonable intelligence
[01:31:09.360 --> 01:31:16.320]  Than a moron who's a democrat. I think that's terrifying like, you know, because when the democrats sell out the public
[01:31:16.880 --> 01:31:22.640]  They at least try to do it quietly and and in subtle in more subtle ways that are that are less likely to be traced back
[01:31:22.640 --> 01:31:28.480]  To them the republicans have have learned that they can sell out the public in public like
[01:31:29.360 --> 01:31:30.240]  You know
[01:31:30.240 --> 01:31:33.120]  Brashly, they they can they can just they can do
[01:31:33.840 --> 01:31:37.280]  Things that seem ridiculous to to thinking people
[01:31:37.280 --> 01:31:43.440]  But they can get away with it because no one cares it like they just the the public does not give a crap
[01:31:44.000 --> 01:31:47.360]  And so they just they can they can do whatever, you know
[01:31:47.360 --> 01:31:53.040]  At least at least the democrats give us the illusion that they are that they have us in mind which of course they don't
[01:31:53.120 --> 01:31:55.120]  But at least they give us that illusion
[01:31:56.320 --> 01:31:58.320]  And here's marco
[01:31:58.320 --> 01:32:03.760]  Proving in the email i'll get in the coming seven days exactly why I made the right choice in two totally
[01:32:03.760 --> 01:32:08.720]  No, and I I think I think it's best for for you and I to keep doing
[01:32:09.360 --> 01:32:11.520]  What we already do with this issue, which is like
[01:32:12.400 --> 01:32:14.400]  for truly important issues
[01:32:14.480 --> 01:32:16.640]  Blog about them on our tech blogs. Um
[01:32:17.520 --> 01:32:20.400]  Because if you know if we if either of us had a political blog
[01:32:21.520 --> 01:32:23.520]  The only people who would read it with people who agree with us
[01:32:23.760 --> 01:32:28.320]  Yeah, that's true basically or and there'd be there'd be occasional drive-by trolls who wanted to yell at us
[01:32:28.320 --> 01:32:30.320]  But that doesn't really do anything. Um
[01:32:30.320 --> 01:32:33.760]  And so I I think I think you could make more of a difference
[01:32:34.400 --> 01:32:36.400]  for a cause you care about
[01:32:36.400 --> 01:32:38.400]  by not usually being political
[01:32:38.800 --> 01:32:44.160]  And choosing occasional times where it's worth it to be and then you kind of trick some people who don't agree with you into seeing
[01:32:44.160 --> 01:32:45.600]  That opinion. Yeah
[01:32:45.600 --> 01:32:48.240]  Here's the thing I keep thinking about when I look back at it
[01:32:48.240 --> 01:32:53.760]  I think that I wish that our system were set up in a way that it would be a lot easier for whoever won the
[01:32:53.760 --> 01:32:56.480]  Last election to get whatever shit done that they want
[01:32:56.480 --> 01:33:02.560]  And and if it turns out to be unpopular they're going to get voted out and whoever comes in next can undo it
[01:33:02.720 --> 01:33:04.720]  I think there should be a lot more
[01:33:06.640 --> 01:33:13.760]  Of that whereas we've got a system now where it's like nothing happens right like one one major I know i'm
[01:33:14.960 --> 01:33:18.640]  Exaggerating to some extent but really only one major thing has happened since obama
[01:33:19.520 --> 01:33:22.480]  Was elected president which is the health care reform, right?
[01:33:22.480 --> 01:33:26.960]  And look at how well that like everyone keeps trying to repeal that somehow which is comical, you know
[01:33:26.960 --> 01:33:31.600]  But and that's one thing right and yeah, it's a big thing. But still like that's yeah
[01:33:31.600 --> 01:33:36.960]  Somebody's gonna say, you know, it's because you know, that's that's people are gonna email me and say it's because obama's a terrible president
[01:33:36.960 --> 01:33:42.240]  A bad leader blah blah blah, but it's not it's because it's so the system is set up in a way that nobody can get anything
[01:33:42.240 --> 01:33:46.980]  Done bush didn't get much done other than start the wars in terms of major accomplishments
[01:33:47.600 --> 01:33:51.920]  Because it was like you know, it's not like you know, it's not like you know, it's not like you know
[01:33:51.920 --> 01:33:55.520]  Because it was like this thing that both sides could somehow for a few brief
[01:33:56.080 --> 01:33:59.680]  Years, it was like everybody felt like we had to get behind them. Um
[01:34:00.880 --> 01:34:02.400]  Uh, i'm not saying I was behind it
[01:34:02.400 --> 01:34:06.480]  But i'm just saying that like democrats who were in the senate and house also voted for it
[01:34:06.800 --> 01:34:10.480]  It was something that but other than that not much, you know, nobody passes anything
[01:34:10.480 --> 01:34:12.480]  I think it would be so much better and I say this knowing
[01:34:12.880 --> 01:34:18.640]  That in my lifetime there will be republican presidents and republicans control of the house and senate
[01:34:18.640 --> 01:34:25.360]  And all those things ebb and flow i'd rather see even the republicans get to get more of their stuff done while they're winning
[01:34:26.240 --> 01:34:32.320]  And vice versa then the current system which seems to be set up basically around the idea of let's try to make sure nobody can
[01:34:32.320 --> 01:34:33.520]  Do anything?
[01:34:33.520 --> 01:34:40.480]  Yeah, it seems like there there are some like security holes and in the procedures, uh in congress where like, you know
[01:34:40.720 --> 01:34:42.720]  it's very easy for
[01:34:42.720 --> 01:34:47.920]  For a party to block everything ever even when they're not really in power like the whole filibuster thing
[01:34:47.920 --> 01:34:51.600]  and certain majority rules like there are certain things where like it's just
[01:34:52.480 --> 01:34:59.600]  It seems like when these rules were considered or made or implemented. It was not really it was not really a thought put into it that
[01:35:00.320 --> 01:35:04.640]  What if one party or the other just decides to block everything for a decade?
[01:35:05.120 --> 01:35:09.120]  Like just says no to everything the party ever does for a decade and no one ever compromised on anything like
[01:35:09.520 --> 01:35:13.280]  I think that thought never crossed anyone's mind before because it it never really happened before
[01:35:13.280 --> 01:35:20.000]  Yeah, and now that now we're we're being shown. Oh, this is kind of a problem because we can't get anything done
[01:35:20.160 --> 01:35:24.480]  Even things that are fairly moderate like we can't even get moderate things passed
[01:35:25.440 --> 01:35:28.240]  so yeah, I it could use some rethought like some some
[01:35:28.960 --> 01:35:33.040]  Some rule changes in congress just just to just to make it so that it's possible to get
[01:35:33.600 --> 01:35:39.040]  Something through you know for for whoever has an uh, the the technical majority
[01:35:39.360 --> 01:35:42.240]  Yeah, and I think in terms of looking at a career as a you know
[01:35:42.240 --> 01:35:48.080]  Podcasting host and columnist on a blog, you know, that's what I mean when I say it to me
[01:35:48.080 --> 01:35:50.160]  It's just it would be it would be too boring
[01:35:50.160 --> 01:35:54.000]  I think I you know, I might have burned down on it not because I would have worked harder at it
[01:35:54.160 --> 01:35:57.840]  Or that it would have been more stressful it I think I would have burned out from boredom
[01:35:57.840 --> 01:36:03.360]  You know, like I think what makes what we talk about in general interesting is how quickly things can change, you know
[01:36:03.520 --> 01:36:08.160]  I mean just look at the phones alone that we've gone from a world, you know
[01:36:08.160 --> 01:36:11.920]  You know where the iphone didn't exist seven years ago
[01:36:11.920 --> 01:36:16.240]  Or I guess it would just come out a couple weeks ago seven years ago
[01:36:16.880 --> 01:36:22.320]  To a world where ibm and apple are selling iphones together to corporate customers. It's crazy
[01:36:22.880 --> 01:36:24.880]  Yeah, that's pretty nuts
[01:36:24.880 --> 01:36:27.360]  All right. Let me thank our second sponsor. It's our good friends at
[01:36:28.560 --> 01:36:30.540]  lynda.com
[01:36:30.540 --> 01:36:32.540]  lynda.com
[01:36:32.540 --> 01:36:40.380]  Um, lynda.com is a great site helps you learn and keep up to date with all of your software
[01:36:41.020 --> 01:36:48.000]  Uh pick up new skills explore new hobbies with their easy to follow very professional video tutorials
[01:36:48.620 --> 01:36:49.900]  And they cover
[01:36:49.900 --> 01:36:56.540]  Everything you can imagine anything you think that a site like this could or should have as a video tutorial
[01:36:56.780 --> 01:37:01.340]  They've got it how to become a better photographer, you know how to use cameras how to
[01:37:01.340 --> 01:37:07.260]  To learn a new programming language like objective c. Um, I don't know if they have a swift one up yet. Do you know?
[01:37:08.140 --> 01:37:10.140]  Maybe um, I haven't looked yet. I'm not sure
[01:37:10.380 --> 01:37:13.980]  If they don't have it now, I know that they're going to have it soon because they work fast
[01:37:14.060 --> 01:37:17.820]  I remember last year they had ios 7 stuff really fast
[01:37:18.460 --> 01:37:19.400]  uh
[01:37:19.400 --> 01:37:21.020]  2400 courses
[01:37:21.020 --> 01:37:27.580]  All of them taught by industry experts with more of them added weekly courses for all experience levels
[01:37:27.580 --> 01:37:34.080]  Beginner or advanced and you get all of this for one low monthly price of 25 bucks
[01:37:34.400 --> 01:37:37.360]  unlimited access to the whole lynda.com library
[01:37:38.080 --> 01:37:42.080]  Great. That's you know, 25 bucks a month is nothing but what it means is
[01:37:42.880 --> 01:37:43.760]  uh
[01:37:43.760 --> 01:37:49.040]  You don't have to sit there and worry. Hey, I don't know if I want to spend three bucks on this one
[01:37:49.120 --> 01:37:54.320]  I don't know if I want to spend another three, but you're already in you've got your 25 a month subscription
[01:37:54.320 --> 01:37:58.480]  You're not sure if a course is right for you. Just start playing it because you're in and you can see
[01:37:59.440 --> 01:38:01.440]  um
[01:38:01.600 --> 01:38:04.080]  Just anything you can imagine here's one of the things they've called out for me
[01:38:04.080 --> 01:38:09.440]  Is that for final cut pro users you can check out their most recent, uh, the new features in final cut pro x
[01:38:10.240 --> 01:38:12.240]  uh
[01:38:12.240 --> 01:38:16.880]  Uh and learn how to create polished effects driven commercial video of your own
[01:38:16.880 --> 01:38:24.880]  Amazing stuff, um, here's the best thing though. The best thing though is that they have a seven-day free trial for listeners of the show
