[00:00.480 --> 00:01.920]  You were at CES.
[01:42:45.180 --> 01:42:50.180]  and I was just blown away by how awesomely powerful the,
[01:42:50.180 --> 01:42:54.180]  the flashlight is. All the flashlights we have,
[01:42:54.180 --> 01:42:55.180]  and we have a bunch of them from mag light.
[01:42:55.180 --> 01:42:58.180]  I've always been a fan of their stuff cause it's so well made,
[01:42:58.180 --> 01:43:01.180]  but ours are all the old incandescent thing. And I was like, wow,
[01:43:01.180 --> 01:43:05.180]  it's like I have somehow missed this revolution and I need to upgrade all our
[01:43:05.180 --> 01:43:08.180]  flashlights. So I went flashlight shopping for myself.
[01:43:08.180 --> 01:43:12.180]  And it's so funny how it's like mag light has all this,
[01:43:12.180 --> 01:43:16.180]  so many slogans on a bunch of their smaller ones or it's like, you know, yes,
[01:43:16.180 --> 01:43:18.180]  you really do need a flashlight. Yes, you can,
[01:43:18.180 --> 01:43:20.180]  you can have a flashlight that's so much better than the one on your phone.
[01:43:20.180 --> 01:43:22.180]  And it's like, if you're telling people that they,
[01:43:22.180 --> 01:43:25.180]  if you're just reminding them that they still need to buy a flashlight, you're,
[01:43:25.180 --> 01:43:28.180]  you're in trouble. Like it is exactly,
[01:43:28.180 --> 01:43:33.180]  it mirrors exactly what the consumer camera company started saying, you know,
[01:43:33.180 --> 01:43:35.180]  five or six years ago about, yeah,
[01:43:35.180 --> 01:43:39.180]  you totally need a $200 point and shoot camera. And it's like, no,
[01:43:39.180 --> 01:43:42.180]  you don't go to any tourist location in the world and look at what people are
[01:43:42.180 --> 01:43:44.180]  using. They're all using their phones.
[01:43:47.180 --> 01:43:51.180]  Totally. And the flashlight is right there. It's like, you know, who knew?
[01:43:51.180 --> 01:43:54.180]  It's like to me, it's like something I would have never predicted. I mean,
[01:43:54.180 --> 01:43:57.180]  and Apple obviously didn't predict it cause they were a little late to the game
[01:43:57.180 --> 01:44:00.180]  at making it something that you didn't need an app for.
[01:44:00.180 --> 01:44:04.180]  But I use my iPhone as a flashlight probably at least once a day, every day,
[01:44:04.180 --> 01:44:09.180]  every day. Yeah. It's, it's crazy to me, but it's awesome.
[01:44:09.180 --> 01:44:12.180]  Right. But it's, you know, it, to me in the same way,
[01:44:12.180 --> 01:44:14.180]  I'm not saying mag lights going out of business, but they're, they're,
[01:44:14.180 --> 01:44:15.180]  they're going to go,
[01:44:15.180 --> 01:44:19.180]  their business that was selling little $10 ones that you keep at your desk is
[01:44:19.180 --> 01:44:22.180]  gone. That's and it's never going to come back.
[01:44:22.180 --> 01:44:24.180]  The only lights flashlights are going to sell are the,
[01:44:24.180 --> 01:44:27.180]  the big serious ones that you need, you know, where you really do want like a,
[01:44:27.180 --> 01:44:31.180]  you know, a two, two D cell flashlight.
[01:44:31.180 --> 01:44:35.180]  Yeah. And that, I mean, and just to bring it back to that Fitbit,
[01:44:35.180 --> 01:44:38.180]  I guess that was the criticism was that it wasn't going after the serious
[01:44:38.180 --> 01:44:42.180]  fitness market because it doesn't have a GPS. Right. You know, the,
[01:44:42.180 --> 01:44:45.180]  the marathon runners aren't using that, that model.
[01:44:45.180 --> 01:44:48.180]  And I don't think it's going to be enough of a,
[01:44:48.180 --> 01:44:52.180]  an Apple watch to beat Apple or even the Google
[01:44:52.180 --> 01:44:56.180]  watches at being a more general purpose device. So.
[01:44:56.180 --> 01:45:00.180]  Anything else you want to talk about this week, Dan?
[01:45:00.180 --> 01:45:04.180]  Um, not really.
[01:45:04.180 --> 01:45:07.180]  There was, you know what, what do you want to talk about?
[01:45:07.180 --> 01:45:11.180]  Well, I was going to say there was, uh, uh, it comes and goes,
[01:45:11.180 --> 01:45:16.180]  but it's, it, you know, I don't write about finance generally,
[01:45:16.180 --> 01:45:17.180]  but I'm, I'm somewhat intrigued by it.
[01:45:17.180 --> 01:45:20.180]  And I don't think that the company is immune to it.
[01:45:20.180 --> 01:45:23.180]  I think even if you're primarily interested in Apple because of their
[01:45:23.180 --> 01:45:26.180]  products, as I am, that you,
[01:45:26.180 --> 01:45:31.180]  you still have to consider their like stock price and their, you know,
[01:45:31.180 --> 01:45:36.180]  quarterly financials because you know, they're a publicly held company and it,
[01:45:36.180 --> 01:45:38.180]  we're at a point, the whole market is down quite frankly,
[01:45:38.180 --> 01:45:42.180]  but Apple is down further than the market and they're trading at a
[01:45:42.180 --> 01:45:46.180]  ridiculously low price to earning ratio at the moment.
[01:45:46.180 --> 01:45:50.180]  And it brings, it just brings out the crazies.
[01:45:50.180 --> 01:45:55.180]  I mean, you cannot make this up. I mean, this guy, Trip Chaudry is,
[01:45:55.180 --> 01:45:57.180]  is almost comically,
[01:45:57.180 --> 01:46:00.180]  it really is hard to believe that he's not a parody,
[01:46:00.180 --> 01:46:03.180]  that there's somebody out there who made up the name and you know,
[01:46:03.180 --> 01:46:05.180]  like the McElope and it's, it,
[01:46:05.180 --> 01:46:09.180]  it's a fake analyst who doesn't even exist and for years now he's been getting
[01:46:09.180 --> 01:46:13.180]  away with this and getting quoted and he keeps saying more and more outrageous
[01:46:13.180 --> 01:46:16.180]  things and everybody just keeps quoting him that, you know,
[01:46:16.180 --> 01:46:20.180]  putting the word analyst in front of your name is somehow this magical
[01:46:20.180 --> 01:46:24.180]  credibility badge. He literally said last week,
[01:46:24.180 --> 01:46:29.180]  he called Tim Cook a bozo and called for him to be not fired.
[01:46:29.180 --> 01:46:33.180]  He called for him to be demoted back to chief operating officer.
[01:46:33.180 --> 01:46:34.180]  Amazing.
[01:46:34.180 --> 01:46:38.180]  And says that John Rubenstein should come back to the company and become the
[01:46:38.180 --> 01:46:43.180]  CEO. Perfect. Which is not going to happen.
[01:46:43.180 --> 01:46:48.180]  That is the way it works. Maybe co CEO with Fidel, I guess. Yeah.
[01:46:48.180 --> 01:46:51.180]  Bring back them all back. And that Angela Arntz is a nitwit or something.
[01:46:51.180 --> 01:46:54.180]  I forget what his word was and you know, she's got to go. Meanwhile,
[01:46:54.180 --> 01:46:58.180]  Apple stores have never been more popular, more successful.
[01:46:58.180 --> 01:47:01.180]  I mean, it's crazy.
[01:47:01.180 --> 01:47:05.180]  There is a lot of,
[01:47:05.180 --> 01:47:12.180]  I wouldn't say pessimism as much as just kind of people are not quite sure if
[01:47:12.180 --> 01:47:16.180]  iPhone sales are going to grow this year. And I don't know,
[01:47:16.180 --> 01:47:20.180]  maybe that doesn't matter to the average person.
[01:47:20.180 --> 01:47:25.180]  It does matter to Apple as a growth story.
[01:47:25.180 --> 01:47:29.180]  And growth certainly is important in any company.
[01:47:29.180 --> 01:47:34.180]  And, you know, sure, there are cycles where things flatten out,
[01:47:34.180 --> 01:47:37.180]  or maybe they decrease a little and they start growing again.
[01:47:37.180 --> 01:47:44.180]  And yes, Apple, you know, relative to the market, that's one thing.
[01:47:44.180 --> 01:47:48.180]  But there are companies that whose stock performed great last year.
[01:47:48.180 --> 01:47:51.180]  I believe Amazon was one. Amazon.
[01:47:51.180 --> 01:47:54.180]  It seems like everybody is really, really caught on to,
[01:47:54.180 --> 01:47:56.180]  and I think deservedly so. I mean, but,
[01:47:56.180 --> 01:48:00.180]  but just little things like the way that Amazon by most, you know,
[01:48:00.180 --> 01:48:05.180]  the accounting I've seen got 51% of the online holiday shopping.
[01:48:05.180 --> 01:48:09.180]  That's an enormous number. And it's sort of a magic number, too.
[01:48:09.180 --> 01:48:14.180]  You know, like, fundamentally, if they got 49% of it instead of 51%,
[01:48:14.180 --> 01:48:16.180]  it's, you know, it's the same. It's a rounding error,
[01:48:16.180 --> 01:48:19.180]  and probably well within the margin of error for however
[01:48:19.180 --> 01:48:22.180]  the outside group guesstimated the numbers.
[01:48:22.180 --> 01:48:26.180]  But 51 is, you know, over that 50% line, and that's a magic number.
[01:48:26.180 --> 01:48:31.180]  And you can see why that would fuel, you know, investor confidence in their stock.
[01:48:31.180 --> 01:48:38.180]  Yeah. So in the meantime, you have, you know, this huge group of analysts
[01:48:38.180 --> 01:48:42.180]  who try to guess every quarter how many phones Apple's going to sell
[01:48:42.180 --> 01:48:44.180]  and what their revenue and profits are going to be.
[01:48:44.180 --> 01:48:49.180]  And what's been happening recently is that they've been reducing their forecast
[01:48:49.180 --> 01:48:53.180]  for iPhone sales and for, I think, also for revenue.
[01:48:53.180 --> 01:48:57.180]  I don't have the trend line in front of me.
[01:48:57.180 --> 01:49:00.180]  I actually have access to what I thought would be an interesting chart
[01:49:00.180 --> 01:49:03.180]  of, like, how the estimates change over time.
[01:49:03.180 --> 01:49:06.180]  But they actually change so little that it's just kind of a flat line.
[01:49:06.180 --> 01:49:10.180]  It's not actually a very interesting chart.
[01:49:10.180 --> 01:49:14.180]  But we'll see. I mean, yeah, this could possibly be a year.
[01:49:14.180 --> 01:49:16.180]  And by the way, this has been known for a while.
[01:49:16.180 --> 01:49:22.180]  Like, I think I wrote about this in, I would say, July or even April of last year
[01:49:22.180 --> 01:49:28.180]  that this coming year could be the year where the company doesn't grow very much,
[01:49:28.180 --> 01:49:32.180]  at all. And we'll see.
[01:49:32.180 --> 01:49:36.180]  I mean, you know, it certainly does matter for some reasons,
[01:49:36.180 --> 01:49:39.180]  but it also seems to be creating an opportunity for a lot of people
[01:49:39.180 --> 01:49:44.180]  to blow things out of context and be silly about things.
[01:49:44.180 --> 01:49:49.180]  There's a very interesting story here, I think, but it's all nuanced
[01:49:49.180 --> 01:49:52.180]  and it requires, you know, to be, let's be serious about this,
[01:49:52.180 --> 01:49:56.180]  that this company, the biggest company in the world is not going to implode.
[01:49:56.180 --> 01:50:01.180]  It's like we're talking about growth stopping, not that the iPhone is going to.
[01:50:01.180 --> 01:50:05.180]  The way some of these people are talking about it is as though,
[01:50:05.180 --> 01:50:06.180]  I mean, here's the literal headline.
[01:50:06.180 --> 01:50:09.180]  The iPhone slowdown spells doom for Apple.
[01:50:09.180 --> 01:50:13.180]  I mean, that's an actual headline in an ostensibly serious business publication.
[01:50:13.180 --> 01:50:16.180]  It's ridiculous. It doesn't spell doom.
[01:50:16.180 --> 01:50:18.180]  But it certainly is interesting.
[01:50:18.180 --> 01:50:21.180]  And I think it's almost, if you're realistic about it,
[01:50:21.180 --> 01:50:26.180]  you have to admit that just back of the envelope math would suggest
[01:50:26.180 --> 01:50:29.180]  that the basic story is actually very easy.
[01:50:29.180 --> 01:50:34.180]  iPhone sales were suppressed for at least a year or two, it seems,
[01:50:34.180 --> 01:50:38.180]  because consumers decided they liked bigger phones
[01:50:38.180 --> 01:50:40.180]  and the iPhone didn't have a big phone.
[01:50:40.180 --> 01:50:44.180]  And it takes Apple at least two years to make a change like that
[01:50:44.180 --> 01:50:49.180]  because of their, we only do one major new design a year
[01:50:49.180 --> 01:50:51.180]  and we bet the bank on it.
[01:50:51.180 --> 01:50:53.180]  They're stuck with it for two years.
[01:50:53.180 --> 01:50:58.180]  And when the 6 and 6S came out, or the 6 and 6 Plus came out last year,
[01:50:58.180 --> 01:51:03.180]  there was, A, it satisfied the demand, but B, it was pent up
[01:51:03.180 --> 01:51:06.180]  because a lot of people had waited and there were rumors.
[01:51:06.180 --> 01:51:11.180]  I mean, anybody like us knows casual people who are like,
[01:51:11.180 --> 01:51:13.180]  hey, is it true that Apple's going to come out with a bigger phone?
[01:51:13.180 --> 01:51:15.180]  And we'd be like, well, give your standard.
[01:51:15.180 --> 01:51:18.180]  I don't know, but it certainly seems like it.
[01:51:18.180 --> 01:51:20.180]  That's what all signs point to.
[01:51:20.180 --> 01:51:22.180]  And they were like, cool, I'm going to get that.
[01:51:22.180 --> 01:51:23.180]  And they waited for it.
[01:51:23.180 --> 01:51:26.180]  And then they did and they had unbelievable sales.
[01:51:26.180 --> 01:51:29.180]  I think that the sales so far, from what we know,
[01:51:29.180 --> 01:51:32.180]  that the 6S and the 6S Plus are matching that,
[01:51:32.180 --> 01:51:35.180]  but the question is are they going to grow even further?
[01:51:35.180 --> 01:51:36.180]  And they may not.
[01:51:36.180 --> 01:51:39.180]  But the thing that's also very obvious is that at this point,
[01:51:39.180 --> 01:51:42.180]  they're getting to the point where they're running out of people
[01:51:42.180 --> 01:51:44.180]  on the planet who can afford iPhones.
[01:51:44.180 --> 01:51:48.180]  Right, which they're maybe actually going to help out
[01:51:48.180 --> 01:51:56.180]  with the second hand-me-down subscription phones this year.
[01:51:56.180 --> 01:51:58.180]  We'll see.
[01:51:58.180 --> 01:52:01.180]  At this point, though, they're reaching the point
[01:52:01.180 --> 01:52:06.180]  where I really think that to grow, it has to be at the lower end
[01:52:06.180 --> 01:52:09.180]  by widening the number of phones, lower cost phones
[01:52:09.180 --> 01:52:11.180]  that are being sold that are iPhones.
[01:52:11.180 --> 01:52:13.180]  Because at the high end, I really do think
[01:52:13.180 --> 01:52:21.180]  that they're at the point where there just aren't untapped people left.
[01:52:21.180 --> 01:52:24.180]  Yeah, there are a few Google employees with Nexus phones
[01:52:24.180 --> 01:52:27.180]  and then that's about it.
[01:52:27.180 --> 01:52:29.180]  And that's where other products come into play, too,
[01:52:29.180 --> 01:52:31.180]  like the watch or the Apple TV,
[01:52:31.180 --> 01:52:34.180]  but those are both so early in their life cycle
[01:52:34.180 --> 01:52:37.180]  that there's even Apple Music, which we calculated
[01:52:37.180 --> 01:52:41.180]  is on a billion dollar revenue run rate.
[01:52:41.180 --> 01:52:44.180]  A billion dollars is not that much to Apple.
[01:52:44.180 --> 01:52:47.180]  How many watches do we think that they sold?
[01:52:47.180 --> 01:52:50.180]  The last time I ran, after last quarter,
[01:52:50.180 --> 01:52:52.180]  my number was around 5 million,
[01:52:52.180 --> 01:52:56.180]  just based on the changes in that other products thing.
[01:52:56.180 --> 01:52:57.180]  It could be a little more than that,
[01:52:57.180 --> 01:53:02.180]  but the Christmas quarter is probably going to be on another level.
[01:53:02.180 --> 01:53:03.180]  We'll know in a few weeks.
[01:53:03.180 --> 01:53:05.180]  Just making up a completely random number,
[01:53:05.180 --> 01:53:08.180]  I would guess that they probably moved
[01:53:08.180 --> 01:53:10.180]  5 to 10 million last quarter alone,
[01:53:10.180 --> 01:53:13.180]  but who knows? I have no idea.
[01:53:13.180 --> 01:53:18.180]  Right, and each one of those that...
[01:53:18.180 --> 01:53:22.180]  The average selling price is easily guessed at around $500
[01:53:22.180 --> 01:53:25.180]  because overwhelmingly most of them are sport
[01:53:25.180 --> 01:53:26.180]  and the sport ones are $400
[01:53:26.180 --> 01:53:28.180]  and then just enough of those steel ones
[01:53:28.180 --> 01:53:30.180]  would raise it up to around $500.
[01:53:30.180 --> 01:53:35.180]  So if every million that they sell is $500 in revenue,
[01:53:35.180 --> 01:53:37.180]  that's... what is that?
[01:53:37.180 --> 01:53:41.180]  So basically a billion for every 2 million phones,
[01:53:41.180 --> 01:53:42.180]  their watches.
[01:53:42.180 --> 01:53:44.180]  And so they've built in year one
[01:53:44.180 --> 01:53:46.180]  a multi-billion dollar business,
[01:53:46.180 --> 01:53:48.180]  which is pretty good and I think it's about the best.
[01:53:48.180 --> 01:53:49.180]  Not bad, yeah.
[01:53:49.180 --> 01:53:50.180]  But if you're Apple,
[01:53:50.180 --> 01:53:52.180]  it's not going to really drive much growth,
[01:53:52.180 --> 01:53:55.180]  especially if you have to offset the iPad declining
[01:53:55.180 --> 01:54:01.180]  and the Mac has been up,
[01:54:01.180 --> 01:54:04.180]  but it sometimes falls and that sort of stuff.
[01:54:04.180 --> 01:54:06.180]  Yeah, my guess is that the iPad is stabilized.
[01:54:06.180 --> 01:54:09.180]  I think that the iPad is going to settle in
[01:54:09.180 --> 01:54:14.180]  as a 9 to 10 million a quarter device
[01:54:14.180 --> 01:54:16.180]  in the same way that the Mac has long been
[01:54:16.180 --> 01:54:19.180]  a very, very stable product,
[01:54:19.180 --> 01:54:23.180]  but it's actually grown in a very nice
[01:54:23.180 --> 01:54:27.180]  but conservative way where in the old days,
[01:54:27.180 --> 01:54:30.180]  like 10, 15 years ago,
[01:54:30.180 --> 01:54:33.180]  it was like a million Macs a quarter was the magic number.
[01:54:33.180 --> 01:54:36.180]  Good quarters were over a million and bad quarters
[01:54:36.180 --> 01:54:37.180]  were under a million.
[01:54:37.180 --> 01:54:40.180]  And it's slowly but steadily grown to the point now
[01:54:40.180 --> 01:54:42.180]  where they're doing like three, four,
[01:54:42.180 --> 01:54:45.180]  four and a half million Macs a quarter.
[01:54:45.180 --> 01:54:46.180]  More?
[01:54:46.180 --> 01:54:47.180]  Is it more now?
[01:54:47.180 --> 01:54:48.180]  Yeah.
[01:54:48.180 --> 01:54:53.180]  Well, I'm going to pull out my spreadsheet here,
[01:54:53.180 --> 01:54:54.180]  so give me 10 seconds,
[01:54:54.180 --> 01:54:58.180]  but let's see, last quarter was 5.7.
[01:54:58.180 --> 01:54:59.180]  There you go.
[01:54:59.180 --> 01:55:00.180]  I'm behind the times.
[01:55:00.180 --> 01:55:01.180]  So they've grown past five.
[01:55:01.180 --> 01:55:03.180]  Which is, I believe, a record.
[01:55:03.180 --> 01:55:04.180]  Right.
[01:55:04.180 --> 01:55:06.180]  All-time record.
[01:55:06.180 --> 01:55:08.180]  You know, and I noticed though,
[01:55:08.180 --> 01:55:12.180]  I noticed just the other day I saw a guy in a Starbucks
[01:55:12.180 --> 01:55:14.180]  and he was working on an old,
[01:55:14.180 --> 01:55:16.180]  remember the white MacBooks?
[01:55:16.180 --> 01:55:18.180]  Remember the ones that you could either get white or black?
[01:55:18.180 --> 01:55:19.180]  And he was working on one of those.
[01:55:19.180 --> 01:55:21.180]  It was in beautiful shape.
[01:55:21.180 --> 01:55:23.180]  It was absolutely, it really was.
[01:55:23.180 --> 01:55:27.180]  It was totally clean and the screen looked great
[01:55:27.180 --> 01:55:28.180]  and he was working on like,
[01:55:28.180 --> 01:55:31.180]  I couldn't tell which app, it was either Excel or Numbers.
[01:55:31.180 --> 01:55:32.180]  It was clearly a spreadsheet.
[01:55:32.180 --> 01:55:35.180]  Doing work on it and it looked great.
[01:55:35.180 --> 01:55:38.180]  So I had no surprise that he's still using it.
[01:55:38.180 --> 01:55:39.180]  But that's what normal people do,
[01:55:39.180 --> 01:55:42.180]  is they buy a MacBook or a laptop
[01:55:42.180 --> 01:55:44.180]  and they use it until it breaks.
[01:55:44.180 --> 01:55:47.180]  Hey, this is a 2009 iMac we're using,
[01:55:47.180 --> 01:55:49.180]  so we're chatting right now.
[01:55:49.180 --> 01:55:51.180]  Right, and I feel like the iPad,
[01:55:51.180 --> 01:55:55.180]  you know, my theory on the iPad is that it sold
[01:55:55.180 --> 01:55:58.180]  in these 20 million a quarter numbers
[01:55:58.180 --> 01:56:00.180]  because it was this sensational new thing
[01:56:00.180 --> 01:56:04.180]  that met a demand that no product had ever met before
[01:56:04.180 --> 01:56:06.180]  and lots of people decided,
[01:56:06.180 --> 01:56:07.180]  hey, I could use one of those
[01:56:07.180 --> 01:56:09.180]  and they weren't replacing anything.
[01:56:09.180 --> 01:56:10.180]  They were adding it to their life
[01:56:10.180 --> 01:56:13.180]  and so it was way out of proportion
[01:56:13.180 --> 01:56:16.180]  to what could be expected in a normal quarter
[01:56:16.180 --> 01:56:18.180]  and that now it's settled in
[01:56:18.180 --> 01:56:21.180]  and it's settled in I think roughly like
[01:56:21.180 --> 01:56:24.180]  somewhere around two times the number of Macs they sell.
[01:56:24.180 --> 01:56:26.180]  And that that's the natural number of iPads
[01:56:26.180 --> 01:56:28.180]  to be sold a quarter.
[01:56:28.180 --> 01:56:32.180]  Yeah, and hey, I just bought an iPad 2 off eBay
[01:56:32.180 --> 01:56:33.180]  just to use as a screen.
[01:56:33.180 --> 01:56:36.180]  So the old ones have value too.
[01:56:36.180 --> 01:56:37.180]  Yeah, and again, I don't think people get rid of them
[01:56:37.180 --> 01:56:38.180]  until they break.
[01:56:38.180 --> 01:56:41.180]  No, I had to stop using my original iPad
[01:56:41.180 --> 01:56:44.180]  because it was still on I think iOS 5
[01:56:44.180 --> 01:56:49.180]  and the app we were using to watch TV on
[01:56:49.180 --> 01:56:51.180]  needed iOS 7 I think.
[01:56:51.180 --> 01:56:58.180]  So got an iPad 2 and now I'm solved.
[01:56:58.180 --> 01:56:59.180]  So I don't know.
[01:56:59.180 --> 01:57:03.180]  I think that the hyperventilating over this is ridiculous.
[01:57:03.180 --> 01:57:04.180]  I do think it's interesting though.
[01:57:04.180 --> 01:57:07.180]  It's interesting to say what does Apple do
[01:57:07.180 --> 01:57:11.180]  now that the iPhone has reached peak iPhone?
[01:57:11.180 --> 01:57:16.180]  Right, and much like when they mess something small up
[01:57:16.180 --> 01:57:18.180]  with the product, people love to jump on it.
[01:57:18.180 --> 01:57:23.180]  So imagine the whole company collapsing
[01:57:23.180 --> 01:57:27.180]  or not collapsing, but actually just not growing like crazy
[01:57:27.180 --> 01:57:30.180]  for a few quarters in a row.
[01:57:30.180 --> 01:57:32.180]  But yeah, what do they do?
[01:57:32.180 --> 01:57:38.180]  They've done a few things and we'll see.
[01:57:38.180 --> 01:57:40.180]  Well, and I think in terms of anybody
[01:57:40.180 --> 01:57:42.180]  who's looking for growth,
[01:57:42.180 --> 01:57:44.180]  I don't see how the watch could have done better
[01:57:44.180 --> 01:57:45.180]  in the first year.
[01:57:45.180 --> 01:57:47.180]  And honestly, I've given the numbers it's gotten.
[01:57:47.180 --> 01:57:49.180]  I think that they've sold outside the number,
[01:57:49.180 --> 01:57:51.180]  outside how well it deserves to have sold.
[01:57:51.180 --> 01:57:54.180]  I don't think it's that great of a 1.0 product,
[01:57:54.180 --> 01:57:56.180]  but it's actually remarkable that they're selling
[01:57:56.180 --> 01:58:00.180]  as many millions of them as it seems like they are.
[01:58:00.180 --> 01:58:01.180]  And I think that's great.
[01:58:01.180 --> 01:58:03.180]  And I think it's only going to get better.
[01:58:03.180 --> 01:58:05.180]  And they do really, in the last few years,
[01:58:05.180 --> 01:58:08.180]  they've really, with every product since the iPad,
[01:58:08.180 --> 01:58:12.180]  they do an amazing job in the first two or three years
[01:58:12.180 --> 01:58:14.180]  of greatly improving the product.
[01:58:14.180 --> 01:58:19.180]  I mean, the iPad went from the iPad to the iPad 2,
[01:58:19.180 --> 01:58:20.180]  which was way thinner.
[01:58:20.180 --> 01:58:22.180]  Then there was the iPad 3, which was weird
[01:58:22.180 --> 01:58:24.180]  because it went retina, but it got thicker and heavier,
[01:58:24.180 --> 01:58:25.180]  which was a weird sort of,
[01:58:25.180 --> 01:58:27.180]  now you have this awesome retina screen,
[01:58:27.180 --> 01:58:28.180]  but it's also thicker and heavier.
[01:58:28.180 --> 01:58:30.180]  And then ever since, from that point onward,
[01:58:30.180 --> 01:58:34.180]  it's just gotten crazily thinner and faster and lighter.
[01:58:34.180 --> 01:58:37.180]  And so I expect the exact same trajectory with the watch
[01:58:37.180 --> 01:58:40.180]  with a very aggressive annual schedule.
[01:58:40.180 --> 01:58:41.180]  Yeah, I'm excited.
[01:58:41.180 --> 01:58:44.180]  I've liked mine a lot more than I thought I would.
[01:58:46.180 --> 01:58:50.180]  But it's still a long way to get between now
[01:58:50.180 --> 01:58:53.180]  and 100 million units a year.
[01:58:53.180 --> 01:58:55.180]  The other, one last thing I thought of from CES
[01:58:55.180 --> 01:58:58.180]  was that, and it sort of ties into the,
[01:58:58.180 --> 01:58:59.180]  what does Apple do now?
[01:58:59.180 --> 01:59:00.180]  And it sort of ties into my thing about
[01:59:00.180 --> 01:59:03.180]  maybe they shouldn't have done apps on the watch,
[01:59:03.180 --> 01:59:05.180]  was, I think it was Dieter Bone for The Verge
[01:59:05.180 --> 01:59:08.180]  had an article about Tizen, which is Samsung's,
[01:59:08.180 --> 01:59:12.180]  not Android, their own homegrown operating system.
[01:59:12.180 --> 01:59:14.180]  And that maybe it's going to do okay,
[01:59:14.180 --> 01:59:16.180]  even though it never, nobody,
[01:59:16.180 --> 01:59:19.180]  there's no app developers targeting Tizen.
[01:59:21.180 --> 01:59:25.180]  And that's sort of the problem that Windows exemplifies,
[01:59:25.180 --> 01:59:30.180]  is that at best, usually there's just one dominant platform
[01:59:30.180 --> 01:59:32.180]  that developers write for.
[01:59:32.180 --> 01:59:34.180]  In the old days, it used to be the Windows.
[01:59:34.180 --> 01:59:37.180]  Then it became, on the desktop, then it became the web.
[01:59:37.180 --> 01:59:39.180]  And nowadays, it's split.
[01:59:39.180 --> 01:59:41.180]  People still develop for the web,
[01:59:41.180 --> 01:59:43.180]  but on mobile, people develop for iOS
[01:59:43.180 --> 01:59:45.180]  and they develop for Android.
[01:59:45.180 --> 01:59:48.180]  And if you're trying to be the third, you're out of luck,
[01:59:48.180 --> 01:59:51.180]  because there's just too much to ask.
[01:59:51.180 --> 01:59:53.180]  So Windows doesn't really get apps.
[01:59:53.180 --> 01:59:56.180]  And Tizen certainly gets less than Windows.
[01:59:56.180 --> 01:59:59.180]  But that maybe, I guess what he was writing about
[01:59:59.180 --> 02:00:02.180]  was these Samsung watches that are running Tizen.
[02:00:02.180 --> 02:00:06.180]  And it occurs to me that as we move past the phone
[02:00:06.180 --> 02:00:08.180]  and get into these other devices,
[02:00:08.180 --> 02:00:11.180]  platforms going forward and operating systems,
[02:00:11.180 --> 02:00:13.180]  apps may not need to be a part of that.
[02:00:13.180 --> 02:00:15.180]  And having your own operating system
[02:00:15.180 --> 02:00:18.180]  that you inside your company completely control
[02:00:18.180 --> 02:00:21.180]  and you can have your engineers optimize it.
[02:00:21.180 --> 02:00:25.180]  What you really want to work on is low energy consumption.
[02:00:25.180 --> 02:00:27.180]  Well, you can make that the highest priority
[02:00:27.180 --> 02:00:29.180]  because you have your own operating system.
[02:00:31.180 --> 02:00:34.180]  Or if you want to do like what Apple's done with Metal
[02:00:34.180 --> 02:00:37.180]  and make this incredibly custom
[02:00:37.180 --> 02:00:40.180]  and high performance graphics pipeline,
[02:00:40.180 --> 02:00:42.180]  you can do that and you can bake that
[02:00:42.180 --> 02:00:44.180]  into the operating system at whatever point
[02:00:44.180 --> 02:00:46.180]  where it makes the most sense for your desires
[02:00:46.180 --> 02:00:48.180]  because you control the operating system.
[02:00:49.180 --> 02:00:51.180]  I just think that a lot of these things going forward
[02:00:51.180 --> 02:00:53.180]  that are going to become computerized,
[02:00:53.180 --> 02:00:54.180]  they don't need apps.
[02:00:54.180 --> 02:00:56.180]  And therefore, it doesn't matter if, you know,
[02:00:56.180 --> 02:00:58.180]  if Samsung can do a good watch and it runs Tizen,
[02:00:58.180 --> 02:01:00.180]  but there's no third party apps for it,
[02:01:00.180 --> 02:01:01.180]  that may not matter at all.
[02:01:01.180 --> 02:01:03.180]  And where I'm going with this is,
[02:01:03.180 --> 02:01:05.180]  to me, the car might be the same thing,
[02:01:05.180 --> 02:01:07.180]  where what you want out of your computerized car
[02:01:07.180 --> 02:01:09.180]  has nothing to do with third party apps.
[02:01:11.180 --> 02:01:14.180]  Right, or your, I mean, so Tizen is also being used,
[02:01:14.180 --> 02:01:16.180]  I believe, in many of their televisions
[02:01:16.180 --> 02:01:20.180]  as well as the new fridge with a tablet built into it
[02:01:20.180 --> 02:01:21.180]  and a bunch of this stuff.
[02:01:21.180 --> 02:01:23.180]  And, you know, you can laugh,
[02:01:23.180 --> 02:01:25.180]  but if every gadget is eventually
[02:01:25.180 --> 02:01:27.180]  going to have a screen on it,
[02:01:27.180 --> 02:01:29.180]  you know, your washing machine or something,
[02:01:29.180 --> 02:01:31.180]  and the value of the apps,
[02:01:31.180 --> 02:01:33.180]  the logic is mostly running in the cloud
[02:01:33.180 --> 02:01:36.180]  and what you're interacting with
[02:01:36.180 --> 02:01:38.180]  is just, you know, either a notification
[02:01:38.180 --> 02:01:42.180]  or a, you know, just a button that basically says,
[02:01:42.180 --> 02:01:44.180]  run this app in the background
[02:01:44.180 --> 02:01:47.180]  or respond to a notification or something,
[02:01:47.180 --> 02:01:49.180]  then absolutely, it doesn't,
[02:01:49.180 --> 02:01:52.180]  you don't really need all the UI development
