[00:00.000 --> 00:03.000]  Hello there. Hello.
[1:58:36.000 --> 1:58:39.000]  bigger screen, whatever, it's less compelling.
[1:58:39.000 --> 1:58:44.000]  But the battery is one of the very easy bits of math to do
[1:58:44.000 --> 1:58:47.000]  and say, well, you're going to have more room for battery.
[1:58:47.000 --> 1:58:49.000]  And the components are not going to be larger.
[1:58:49.000 --> 1:58:51.000]  So of course, there's going to be more battery.
[1:58:51.000 --> 1:58:54.000]  Yeah, I think that that one device angle
[1:58:54.000 --> 1:58:59.000]  is a huge part of the five point whatever inch phone
[1:58:59.000 --> 1:59:02.000]  craze, that it's for people who don't want to have a tablet
[1:59:02.000 --> 1:59:06.000]  or don't even want to take a notebook, a MacBook
[1:59:06.000 --> 1:59:08.000]  and a phone with them.
[1:59:08.000 --> 1:59:12.000]  Maybe it's not the only computing device in their life,
[1:59:12.000 --> 1:59:17.000]  but maybe it's a desktop computer somewhere sitting on a desk
[1:59:17.000 --> 1:59:21.000]  and a five point five inch phone, and that's it.
[1:59:21.000 --> 1:59:23.000]  And if you're, they're away from the desk,
[1:59:23.000 --> 1:59:26.000]  you know, where they can run Photoshop, you know, or Xcode
[1:59:26.000 --> 1:59:28.000]  or something like that, that truly needs,
[1:59:28.000 --> 1:59:31.000]  still needs like a real Mac.
[1:59:31.000 --> 1:59:33.000]  Everything else, one device.
[1:59:33.000 --> 1:59:34.000]  Right.
[1:59:34.000 --> 1:59:37.000]  And I think that's exactly what this device is supposed to be.
[1:59:37.000 --> 1:59:39.000]  I mean, it's great if you're somebody like us
[1:59:39.000 --> 1:59:42.000]  who's got an iPhone and iPad and a laptop.
[1:59:42.000 --> 1:59:44.000]  But I do talk to people who say,
[1:59:44.000 --> 1:59:48.000]  I'm not going to have a tablet and a phone, right?
[1:59:48.000 --> 1:59:51.000]  Especially since the tablet isn't, isn't subsidized.
[1:59:51.000 --> 1:59:54.000]  So they've got an iPad, but it's an iPad too.
[1:59:54.000 --> 1:59:56.000]  And they don't know when they're going to replace it and all,
[1:59:56.000 --> 1:59:58.000]  but they get a new phone every other year, right?
[1:59:58.000 --> 2:00:02.000]  So for them, this is a better deal potentially.
[2:00:02.000 --> 2:00:07.000]  If it can fulfill what they would use a tablet for,
[2:00:07.000 --> 2:00:11.000]  enough for them to get by without needing the tablet,
[2:00:11.000 --> 2:00:12.000]  and it could.
[2:00:12.000 --> 2:00:13.000]  It's possible.
[2:00:13.000 --> 2:00:14.000]  Yeah.
[2:00:14.000 --> 2:00:15.000]  Yeah.
[2:00:15.000 --> 2:00:18.000]  And I think it, you know, in terms of any kind of skepticism
[2:00:18.000 --> 2:00:21.000]  because, ah, but this, what you guys are trying to tell me
[2:00:21.000 --> 2:00:24.000]  that Apple's going to make it easier for someone
[2:00:24.000 --> 2:00:26.000]  to not buy both an iPhone and an iPad.
[2:00:26.000 --> 2:00:27.000]  That doesn't make any sense.
[2:00:27.000 --> 2:00:29.000]  Of course, they want them to, you know,
[2:00:29.000 --> 2:00:31.000]  they're a capitalist company.
[2:00:31.000 --> 2:00:34.000]  I think it just gets back to that whole lack of fear
[2:00:34.000 --> 2:00:36.000]  of cannibalization in Apple,
[2:00:36.000 --> 2:00:39.000]  where as long as you're talking about not buying
[2:00:39.000 --> 2:00:42.000]  a second Apple product, but you're still buying
[2:00:42.000 --> 2:00:47.000]  an Apple product, you're double thumbs up from Tim Cook to you.
[2:00:47.000 --> 2:00:52.000]  As opposed to somebody who's buying a Samsung Galaxy,
[2:00:52.000 --> 2:00:56.000]  whatever, that's 5.5 inches because that's when it's a problem,
[2:00:56.000 --> 2:00:57.000]  when it's not an Apple device.
[2:00:57.000 --> 2:00:59.000]  I also think there's the confidence in knowing
[2:00:59.000 --> 2:01:02.000]  that this is a niche market.
[2:01:02.000 --> 2:01:04.000]  This is not the mainstream.
[2:01:04.000 --> 2:01:06.000]  They're going to sell more of the smaller phones
[2:01:06.000 --> 2:01:08.000]  and they're going to sell more iPads.
[2:01:08.000 --> 2:01:12.000]  They're not going to, the most common scenario
[2:01:12.000 --> 2:01:14.000]  is not going to be, everybody stops buying iPads
[2:01:14.000 --> 2:01:16.000]  and small iPhones and buys some giant iPhone.
[2:01:16.000 --> 2:01:18.000]  They know that's not going to happen.
[2:01:18.000 --> 2:01:21.000]  And so this audience is not being served by them right now
[2:01:21.000 --> 2:01:23.000]  or it will not be served well by them.
[2:01:23.000 --> 2:01:25.000]  Right. And I think that they have confidence
[2:01:25.000 --> 2:01:30.000]  from decades, you know, multiple decades of the Mac
[2:01:30.000 --> 2:01:34.000]  that a wide range of form factors and price ranges
[2:01:34.000 --> 2:01:38.000]  is just fine and doesn't necessarily cannibalize anything.
[2:01:38.000 --> 2:01:42.000]  You know, that the fact that there is an $899 MacBook Air
[2:01:42.000 --> 2:01:44.000]  which is an excellent computer.
[2:01:44.000 --> 2:01:48.000]  Doesn't mean that the 27 inch iMac is going away.
[2:01:48.000 --> 2:01:51.000]  Well, and actually something that brings up too
[2:01:51.000 --> 2:01:53.000]  is I don't know what they're going to name these things,
[2:01:53.000 --> 2:01:56.000]  but I've started to think of the iPhone
[2:01:56.000 --> 2:02:00.000]  and think of it a little bit like the Mac,
[2:02:00.000 --> 2:02:02.000]  which is I'm not entirely sure that they won't just say
[2:02:02.000 --> 2:02:05.000]  these are the iPhone 6 or whatever,
[2:02:05.000 --> 2:02:07.000]  and that there's a big one and a small one.
[2:02:07.000 --> 2:02:09.000]  I mean, I'm not 100% convinced that's true,
[2:02:09.000 --> 2:02:11.000]  but I've had people tell me, well, of course
[2:02:11.000 --> 2:02:12.000]  they're going to have different names.
[2:02:12.000 --> 2:02:15.000]  And I think, well, MacBook Air comes in two sizes.
[2:02:15.000 --> 2:02:17.000]  MacBook Pro comes in two sizes.
[2:02:17.000 --> 2:02:19.000]  iMac comes in two sizes.
[2:02:19.000 --> 2:02:21.000]  The iPhone could come in two sizes
[2:02:21.000 --> 2:02:25.000]  without them calling one of them iPhone mini or iPhone huge.
[2:02:25.000 --> 2:02:26.000]  And it would be fine.
[2:02:26.000 --> 2:02:30.000]  It's the new iPhone and you can get the big one of the small one.
[2:02:30.000 --> 2:02:33.000]  I don't know whether they'll do that or not, but they could.
[2:02:33.000 --> 2:02:35.000]  Yeah, I think the, and it's funny too,
[2:02:35.000 --> 2:02:37.000]  I'm terrible at predicting the names.
[2:02:37.000 --> 2:02:38.000]  I am so bad.
[2:02:38.000 --> 2:02:40.000]  I guess I should go on a record and make a prediction,
[2:02:40.000 --> 2:02:43.000]  but if I had to, my prediction would be
[2:02:43.000 --> 2:02:47.000]  that the 4.7 inch one would be called the iPhone Air,
[2:02:47.000 --> 2:02:51.000]  or iPhone 6 Air, but that to me is already a mouthful.
[2:02:51.000 --> 2:02:53.000]  So I say drop the numbers and say iPhone Air,
[2:02:53.000 --> 2:02:56.000]  and the big one is the iPhone Pro.
[2:02:56.000 --> 2:03:01.000]  Ah, and I don't like it.
[2:03:01.000 --> 2:03:03.000]  I don't like it in a couple of reasons, though,
[2:03:03.000 --> 2:03:05.000]  because one reason I don't like it is I do think
[2:03:05.000 --> 2:03:07.000]  they're going to have the same performance,
[2:03:07.000 --> 2:03:09.000]  like a performance.
[2:03:09.000 --> 2:03:11.000]  And does that make sense to have Air and Pro
[2:03:11.000 --> 2:03:14.000]  that pro somehow feels like it ought to be faster?
[2:03:14.000 --> 2:03:16.000]  But I don't know.
[2:03:16.000 --> 2:03:19.000]  But I just feel pro because they've used it before,
[2:03:19.000 --> 2:03:21.000]  and it's more expensive.
[2:03:21.000 --> 2:03:23.000]  It sounds like it should be more expensive.
[2:03:23.000 --> 2:03:25.000]  Yeah, I don't know if the iPhone can be pro.
[2:03:25.000 --> 2:03:26.000]  Maybe.
[2:03:26.000 --> 2:03:28.000]  Well, the thing I can't see them doing is picking
[2:03:28.000 --> 2:03:30.000]  some adjective that means big.
[2:03:30.000 --> 2:03:31.000]  No, no, it doesn't.
[2:03:31.000 --> 2:03:32.000]  It doesn't.
[2:03:32.000 --> 2:03:34.000]  I mean, I joked about iPhone huge, but it's a terrible.
[2:03:34.000 --> 2:03:35.000]  I mean, you can't.
[2:03:35.000 --> 2:03:38.000]  No, if I had to make a bet,
[2:03:38.000 --> 2:03:40.000]  I would probably bet that they're just going to call them
[2:03:40.000 --> 2:03:42.000]  the iPhone 6 and there's two models.
[2:03:42.000 --> 2:03:43.000]  Right.
[2:03:43.000 --> 2:03:44.000]  But it wouldn't.
[2:03:44.000 --> 2:03:45.000]  What size do you want?
[2:03:45.000 --> 2:03:48.000]  Yeah, but it wouldn't shock me if it was the iPhone 6
[2:03:48.000 --> 2:03:50.000]  and the iPhone Air, or if it was.
[2:03:50.000 --> 2:03:52.000]  No, but because they're never going to prioritize the big one
[2:03:52.000 --> 2:03:53.000]  because the big ones, the niche products,
[2:03:53.000 --> 2:03:55.000]  it would be the iPhone 6 or Air.
[2:03:55.000 --> 2:03:58.000]  And then I just have a hard time.
[2:03:58.000 --> 2:04:00.000]  I think the best pro they could do,
[2:04:00.000 --> 2:04:03.000]  but I'm inclined to just guess that they're going to say
[2:04:03.000 --> 2:04:05.000]  there's two iPhone 6's, which one do you want?
[2:04:05.000 --> 2:04:07.000]  Big one of the little one.
[2:04:07.000 --> 2:04:10.000]  And then well, and the other thing I've seen people say
[2:04:10.000 --> 2:04:13.000]  that the big one will be called the iPhone Air,
[2:04:13.000 --> 2:04:15.000]  but I think they're myopic because they're only.
[2:04:15.000 --> 2:04:16.000]  Doesn't make it easy.
[2:04:16.000 --> 2:04:17.000]  Doesn't make it.
[2:04:17.000 --> 2:04:18.000]  What you're looking at,
[2:04:18.000 --> 2:04:22.000]  what they're looking at, they're looking at the iPad's
[2:04:22.000 --> 2:04:24.000]  where the bigger iPad is the Air.
[2:04:24.000 --> 2:04:25.000]  That's true.
[2:04:25.000 --> 2:04:26.000]  Right.
[2:04:26.000 --> 2:04:29.000]  But the other one has a name called the mini,
[2:04:29.000 --> 2:04:30.000]  which puts it in order.
[2:04:30.000 --> 2:04:34.000]  And the Air is really kind of, it's sort of an in joke
[2:04:34.000 --> 2:04:37.000]  or not in joke, but it's like a reference to all previous iPads
[2:04:37.000 --> 2:04:40.000]  where it's so much lighter than the iPad used to be.
[2:04:40.000 --> 2:04:43.000]  And they're never going to call the mainstream iPhone,
[2:04:43.000 --> 2:04:44.000]  the iPhone mini.
[2:04:44.000 --> 2:04:45.000]  That's kind of crazy.
[2:04:45.000 --> 2:04:46.000]  No.
[2:04:46.000 --> 2:04:49.000]  And they can't call one that's 4.7 inches the mini
[2:04:49.000 --> 2:04:52.000]  because it's bigger, it's bigger, it's way bigger,
[2:04:52.000 --> 2:04:54.000]  it's significantly bigger, maybe not way bigger,
[2:04:54.000 --> 2:04:56.000]  but significantly bigger than any iPhone ever made.
[2:04:56.000 --> 2:04:57.000]  Right.
[2:04:57.000 --> 2:04:59.000]  So they can't say, here's this new 4.7 inch screen,
[2:04:59.000 --> 2:05:03.000]  it's significantly bigger, it has a million more pixels
[2:05:03.000 --> 2:05:05.000]  and all this shows all this,
[2:05:05.000 --> 2:05:08.000]  here's how much more content you see, and it's called the mini.
[2:05:08.000 --> 2:05:09.000]  No.
[2:05:09.000 --> 2:05:10.000]  Doesn't make it happen.
[2:05:10.000 --> 2:05:12.000]  I have one more sponsor to read.
[2:05:12.000 --> 2:05:14.000]  Now I want to get back to that,
[2:05:14.000 --> 2:05:16.000]  this thing about us, me and you know in the name.
[2:05:16.000 --> 2:05:17.000]  All right.
[2:05:17.000 --> 2:05:21.000]  Our last sponsor of the day is our good friends at Transporter
[2:05:21.000 --> 2:05:23.000]  from connected data.
[2:05:23.000 --> 2:05:25.000]  So would you like your own private cloud
[2:05:25.000 --> 2:05:28.000]  that lets you secure least store and share files
[2:05:28.000 --> 2:05:32.000]  in a way that is completely private and resistant
[2:05:32.000 --> 2:05:37.000]  to governmental snooping or to any sort of unfortunate things
[2:05:37.000 --> 2:05:40.000]  that can happen through the public cloud services,
[2:05:40.000 --> 2:05:43.000]  which may or may not have been publicized recently.
[2:05:43.000 --> 2:05:46.000]  That's what file Transporter is.
[2:05:46.000 --> 2:05:50.000]  You buy a file Transporter from them or more than one.
[2:05:50.000 --> 2:05:52.000]  It's a device that comes to your home.
[2:05:52.000 --> 2:05:54.000]  It has a hard drive built into it.
[2:05:54.000 --> 2:05:57.000]  You plug it in, you put it on your Wi-Fi,
[2:05:57.000 --> 2:05:59.000]  you install software on your Mac,
[2:05:59.000 --> 2:06:02.000]  and all of a sudden you have a Dropbox-like folder
[2:06:02.000 --> 2:06:06.000]  on your Mac that shows the contents of that device.
[2:06:06.000 --> 2:06:09.000]  And you put something in the folder and it goes on the device
[2:06:09.000 --> 2:06:11.000]  and it's on your hard drive too.
[2:06:11.000 --> 2:06:15.000]  And you can then log into a different computer,
[2:06:15.000 --> 2:06:17.000]  log into your Transporter account,
[2:06:17.000 --> 2:06:19.000]  and the same files show up there.
[2:06:19.000 --> 2:06:21.000]  And then you could buy a second device
[2:06:21.000 --> 2:06:23.000]  and you could put it in a different location
[2:06:23.000 --> 2:06:25.000]  and you use the same account.
[2:06:25.000 --> 2:06:29.000]  And the same files will go from here to there to there.
[2:06:29.000 --> 2:06:31.000]  But it's only there.
[2:06:31.000 --> 2:06:34.000]  The data is only on, if you have one file Transporter,
[2:06:34.000 --> 2:06:36.000]  that's the only place where your data is
[2:06:36.000 --> 2:06:40.000]  other than on your Macs that you log into, your Macs.
[2:06:40.000 --> 2:06:43.000]  If you have a second one, it'll sync between the two.
[2:06:43.000 --> 2:06:45.000]  The only thing they go through the cloud
[2:06:45.000 --> 2:06:50.000]  and their servers for is the negotiation to poke holes
[2:06:50.000 --> 2:06:53.000]  to set up a peer to peer to poke through the router.
[2:06:53.000 --> 2:06:59.000]  They don't have any kind of storage in the cloud for your stuff.
[2:06:59.000 --> 2:07:04.000]  Your stuff is only stored on the devices that you hold in your hand.
[2:07:04.000 --> 2:07:08.000]  Big difference from cloud-based services.
[2:07:08.000 --> 2:07:12.000]  Really, really appealing to many people.
[2:07:12.000 --> 2:07:16.000]  And if it appeals to you, I encourage you to check this out
[2:07:16.000 --> 2:07:20.000]  because I don't know of any other way to do this
[2:07:20.000 --> 2:07:22.000]  than file transporter.
[2:07:22.000 --> 2:07:23.000]  I have one here.
[2:07:23.000 --> 2:07:25.000]  It works like a charm.
[2:07:25.000 --> 2:07:27.000]  Really good stuff.
[2:07:27.000 --> 2:07:30.000]  They have two ways to get one.
[2:07:30.000 --> 2:07:35.000]  The regular file transporter comes with a built-in hard disk.
[2:07:35.000 --> 2:07:39.000]  They have 500 gigabyte, one terabyte, two terabyte capacities.
[2:07:39.000 --> 2:07:44.000]  If you buy one of those, use this code TTS, like the talk show,
[2:07:44.000 --> 2:07:49.000]  TTS 10, and you'll save 10% off your purchase.
[2:07:49.000 --> 2:07:53.000]  The other way to do it is you can buy the transporter sync.
[2:07:53.000 --> 2:07:57.000]  That's the one that's like a little Apple TV-sized puck.
[2:07:57.000 --> 2:08:00.000]  And that one, you just take a USB drive, any USB drive.
[2:08:00.000 --> 2:08:02.000]  You already have big hard drive sitting around.
[2:08:02.000 --> 2:08:03.000]  You want to buy your own hard drives.
[2:08:03.000 --> 2:08:06.000]  You just buy your own hard drives and plug it in by USB.
[2:08:06.000 --> 2:08:11.000]  So that's a cheaper gadget because you're supplying your own hard drive.
[2:08:11.000 --> 2:08:17.000]  You can save 20 bucks when you buy one of those with this code TTS 20.
[2:08:17.000 --> 2:08:21.000]  All orders using either of those codes get free shipping.
[2:08:21.000 --> 2:08:23.000]  So use those codes.
[2:08:23.000 --> 2:08:25.000]  Buy the one you want.
[2:08:25.000 --> 2:08:29.000]  Here's where you go, file transporterstore.com.
[2:08:29.000 --> 2:08:36.000]  www.filetransporterstore.com.
[2:08:36.000 --> 2:08:40.000]  And remember those codes, TTS 10, and TTS 20.
[2:08:40.000 --> 2:08:41.000]  So wrapping up the show.
[2:08:41.000 --> 2:08:43.000]  We've been going a long time, but there's lots to talk about.
[2:08:43.000 --> 2:08:44.000]  But here's the thing.
[2:08:44.000 --> 2:08:47.000]  I am inundated this week, more than any other previous Apple event,
[2:08:47.000 --> 2:08:50.000]  with people who think that I've already got a watch.
[2:08:50.000 --> 2:08:54.000]  I've already got an iPhone.
[2:08:54.000 --> 2:08:56.000]  That's not how it works, folks.
[2:08:56.000 --> 2:09:00.000]  I certainly has never worked that way with me.
[2:09:00.000 --> 2:09:03.000]  It's certainly never worked that way with anybody who I know,
[2:09:03.000 --> 2:09:05.000]  like my friends like you and the industry.
[2:09:05.000 --> 2:09:10.000]  And it's also, to my knowledge, never worked that way for anybody.
[2:09:10.000 --> 2:09:12.000]  No, not before they announce it.
[2:09:12.000 --> 2:09:14.000]  Not before they announce it.
[2:09:14.000 --> 2:09:17.000]  They just don't do that.
[2:09:17.000 --> 2:09:21.000]  Like, you know, the whole point of the announcement
[2:09:21.000 --> 2:09:24.000]  is they don't want anybody including us to see it.
[2:09:24.000 --> 2:09:27.000]  And in fact, the reason they invite us to the event
[2:09:27.000 --> 2:09:31.000]  is that they want us to see it for the first time,
[2:09:31.000 --> 2:09:34.000]  specifically the way that they're going to do it,
[2:09:34.000 --> 2:09:37.000]  whether it's going to be projected on a screen,
[2:09:37.000 --> 2:09:41.000]  or it's going to come out of a pedestal in the middle of the floor.
[2:09:41.000 --> 2:09:43.000]  I think that was at the iPhone 5.
[2:09:43.000 --> 2:09:45.000]  Yeah, they've used that trick a couple of times.
[2:09:45.000 --> 2:09:46.000]  Right.
[2:09:46.000 --> 2:09:51.000]  But, you know, whatever it is, they're smoke, whatever.
[2:09:51.000 --> 2:09:55.000]  Right, but I know, and I don't know a lot about how they prep the keynotes.
[2:09:55.000 --> 2:09:58.000]  I don't know, you know, they're very secretive just about the whole process,
[2:09:58.000 --> 2:10:03.000]  but I do know that they go out like Phil Schiller and everybody else who's there.
[2:10:03.000 --> 2:10:06.000]  We'll go out to like seats in the room and like do it again.
[2:10:06.000 --> 2:10:08.000]  And I want to see what it's like from here, you know,
[2:10:08.000 --> 2:10:11.000]  and then when Steve Jobs was, was around, you know,
[2:10:11.000 --> 2:10:13.000]  that he would go out. He would go out and sit in the audience
[2:10:13.000 --> 2:10:17.000]  and see, you know, that that's how we find out this stuff, you know.
[2:10:17.000 --> 2:10:20.000]  We definitely don't know the names.
[2:10:20.000 --> 2:10:24.000]  And I think my track record over the years of predicting product names
[2:10:24.000 --> 2:10:26.000]  should prove that.
[2:10:26.000 --> 2:10:30.000]  And if we did know, we wouldn't be able to make predictions.
[2:10:30.000 --> 2:10:31.000]  Right, that's true.
[2:10:31.000 --> 2:10:32.000]  That's true.
[2:10:32.000 --> 2:10:35.000]  And the fact that we do make predictions shows how little we know.
[2:10:35.000 --> 2:10:36.000]  Right.
[2:10:36.000 --> 2:10:38.000]  And if somebody whispers something to me who's not, you know,
[2:10:38.000 --> 2:10:41.000]  feeding it to me officially on any official capacity,
[2:10:41.000 --> 2:10:47.000]  which is always accompanied by, what would you call it,
[2:10:47.000 --> 2:10:50.000]  the non-disclosure agreement. Right.
[2:10:50.000 --> 2:10:52.000]  Like when you do get embargo or an NDA.
[2:10:52.000 --> 2:10:54.000]  Right. I don't know, you know, I read it.
[2:10:54.000 --> 2:10:58.000]  I try to skim over it. But like when we do get like a review unit
[2:10:58.000 --> 2:11:01.000]  before, after it's been announced, always after.
[2:11:01.000 --> 2:11:02.000]  Right.
[2:11:02.000 --> 2:11:03.000]  It's been announced.
[2:11:03.000 --> 2:11:07.000]  But before it's available in stores, it's, there's a thing that says
[2:11:07.000 --> 2:11:10.000]  here, you know, and like for example, you know, the,
[2:11:10.000 --> 2:11:14.000]  usually it's like the last couple of years, there's a iPhone event on
[2:11:14.000 --> 2:11:19.000]  Wednesday, and people who get reviewing it, you sign a thing.
[2:11:19.000 --> 2:11:24.000]  And it says the embargo is until 6 p.m. Pacific the next
[2:11:24.000 --> 2:11:29.000]  Wednesday. And then the fact that at 601 Pacific,
[2:11:29.000 --> 2:11:31.000]  the next Wednesday, there's 30 stories.
[2:11:31.000 --> 2:11:33.000]  Yeah, everybody gets posted. Yep.
[2:11:33.000 --> 2:11:35.000]  Right. That's not a coincidence.
[2:11:35.000 --> 2:11:38.000]  That's because it's everybody has agreed to that, you know,
[2:11:38.000 --> 2:11:42.000]  and nobody knows anything before that.
[2:11:42.000 --> 2:11:45.000]  And nobody is allowed to publish anything after they know it before
[2:11:45.000 --> 2:11:46.000]  that date.
[2:11:46.000 --> 2:11:48.000]  It's, it, it works.
[2:11:48.000 --> 2:11:51.000]  It's, it's a lot more obvious how it works than you think.
[2:11:51.000 --> 2:11:55.000]  There is no secret cabal of people who are filled in before the event.
[2:11:55.000 --> 2:11:57.000]  No, because then what you'd get is you'd get your David
[2:11:57.000 --> 2:12:01.000]  Pogue or Walt Mossberger, whatever, writing a story about the
[2:12:01.000 --> 2:12:04.000]  product, the moment the product got announced.
[2:12:04.000 --> 2:12:06.000]  And that doesn't happen.
[2:12:06.000 --> 2:12:10.000]  I mean, back like when that, that, the iMac with the flat panel
[2:12:10.000 --> 2:12:14.000]  screen in the arm got a leaked by Time magazine, right?
[2:12:14.000 --> 2:12:16.000]  I mean, that, they used to do it back then, but they don't,
[2:12:16.000 --> 2:12:17.000]  they don't do it anymore.
[2:12:17.000 --> 2:12:19.000]  They haven't done it for more than a decade.
[2:12:19.000 --> 2:12:24.000]  Right. And I do think, you know, and, and part of it is just
[2:12:24.000 --> 2:12:27.000]  their, their go-to market strategy.
[2:12:27.000 --> 2:12:29.000]  I mean, you know, my eyes are open.
[2:12:29.000 --> 2:12:33.000]  I mean, I know that that's part of it is that if the thing is
[2:12:33.000 --> 2:12:37.000]  announced on a Tuesday, and then the embargo date is eight days later on
[2:12:37.000 --> 2:12:41.000]  a Wednesday, and then the thing actually goes on sale two days later
[2:12:41.000 --> 2:12:45.000]  Friday, that that's all according to the schedule of what they think
[2:12:45.000 --> 2:12:50.000]  maximizes interest in the people who on Friday will go and,
[2:12:50.000 --> 2:12:52.000]  and, you know, fork stuff over.
[2:12:52.000 --> 2:12:53.000]  Exactly.
[2:12:53.000 --> 2:12:56.000]  But I also do think though that part of that too, though, is,
[2:12:56.000 --> 2:13:01.000]  is that they really do want reviewers to have to spend a week
[2:13:01.000 --> 2:13:03.000]  with the device before they write it.
[2:13:03.000 --> 2:13:04.000]  Yeah.
[2:13:04.000 --> 2:13:08.000]  That they don't want reviewer, you know, they, they wouldn't want you to write
[2:13:08.000 --> 2:13:12.000]  a review to, to race, you know, okay, you can hear, here's your, here's your
[2:13:12.000 --> 2:13:15.000]  new iPhone, you can write your review whenever you want.
[2:13:15.000 --> 2:13:16.000]  I don't think they would do that.
[2:13:16.000 --> 2:13:19.000]  That happened to me with the first iPad, and that was the worst, because
[2:13:19.000 --> 2:13:22.000]  they announced that, and then they did their event saying it was
[2:13:22.000 --> 2:13:23.000]  going to ship.
[2:13:23.000 --> 2:13:27.000]  And there were embargo reviews that dropped, and I wasn't part of that,
[2:13:27.000 --> 2:13:32.000]  but then I got one basically the day the embargo reviews dropped
[2:13:32.000 --> 2:13:35.000]  or the next day, and I said, is there any embargo, and they're like,
[2:13:35.000 --> 2:13:38.000]  no, and it was the worst, because I could literally write about it
[2:13:38.000 --> 2:13:41.000]  immediately, but I hadn't spent any time with it.
[2:13:41.000 --> 2:13:42.000]  Right.
[2:13:42.000 --> 2:13:46.000]  And I, that's awful, because you feel time pressure, and yet you can't actually
[2:13:46.000 --> 2:13:49.000]  invest the time, or you have to invest the time while everybody is shouting
[2:13:49.000 --> 2:13:51.000]  at you to get your story done.
[2:13:51.000 --> 2:13:55.000]  So the luxury of having eight days to think about this product is great
[2:13:55.000 --> 2:13:59.000]  as a writer, but it also means, as Apple, that you were, you know,
[2:13:59.000 --> 2:14:04.000]  these writers that you've hand selected are going to be writing about it.
[2:14:04.000 --> 2:14:08.000]  They're going to have time to think about it, and they're not going to do a
[2:14:08.000 --> 2:14:10.000]  cheap job on it.
[2:14:10.000 --> 2:14:13.000]  They're going to, they're going to, like, put a lot of effort into it.
[2:14:13.000 --> 2:14:13.000]  Right.
[2:14:13.000 --> 2:14:17.000]  And it's not like within your case that the boss was breathing down your neck,
[2:14:17.000 --> 2:14:19.000]  like, if you got to publish it.
[2:14:19.000 --> 2:14:23.000]  But you, it's just the simple pressure that you know that Macworld's
[2:14:23.000 --> 2:14:27.000]  readers are coming to the site, and that they're reloading the home page,
[2:14:27.000 --> 2:14:29.000]  like, I can't wait to see what they have to say about it.
[2:14:29.000 --> 2:14:32.000]  And 15, you know, 15 people got it and wrote their reviews, and I wasn't
[2:14:32.000 --> 2:14:36.000]  in that group, but now I'm in a group of a very small number of people who
[2:14:36.000 --> 2:14:39.000]  have the iPad before it's out.
[2:14:39.000 --> 2:14:43.000]  And so I've got something that nobody except for that first wave of 10 people
[2:14:43.000 --> 2:14:46.000]  has, has gotten their hands on.
[2:14:46.000 --> 2:14:48.000]  So I, I need to do something with that.
[2:14:48.000 --> 2:14:49.000]  But what is that?
[2:14:49.000 --> 2:14:51.000]  And I have no, no restrictions whatsoever.
[2:14:51.000 --> 2:14:55.000]  So literally I could just be like, doo, doo, doo, doo, here I am on my iPad,
[2:14:55.000 --> 2:14:59.000]  like live update for two days, and nobody wants to read that.
[2:14:59.000 --> 2:15:03.000]  But you have to make very difficult decisions then, and it's certainly
[2:15:03.000 --> 2:15:07.000]  a lot easier to just say, I've got eight days to worry about what I'm going to write.
[2:15:07.000 --> 2:15:11.000]  Yeah, it's hard enough to do a good review in eight days, but it's,
[2:15:11.000 --> 2:15:18.000]  I couldn't write a review in a way that I try to write reviews in one or two days.
[2:15:18.000 --> 2:15:21.000]  Like, I think back to the original iPhone, right, you know,
[2:15:21.000 --> 2:15:23.000]  it was, I didn't get anything.
[2:15:23.000 --> 2:15:26.000]  I think only three or four, that was back in the days when only the,
[2:15:26.000 --> 2:15:28.000]  the four newspaper guys have to review in it, right?
[2:15:28.000 --> 2:15:33.000]  I think it was Stephen Levy at big, poke and mosque work.
[2:15:33.000 --> 2:15:35.000]  I guess Levy wasn't at a newspaper.
[2:15:35.000 --> 2:15:36.000]  Newsweek, but he was on the list.
[2:15:36.000 --> 2:15:38.000]  He knew everybody from covering the iPod.
[2:15:38.000 --> 2:15:39.000]  Yeah.
[2:15:39.000 --> 2:15:40.000]  Right.
[2:15:40.000 --> 2:15:44.000]  And it was still the sort of Steve Jobs is, you know, if you're,
[2:15:44.000 --> 2:15:46.000]  it's not print, it's not really real and Newsweek.
[2:15:46.000 --> 2:15:47.000]  Right.
[2:15:47.000 --> 2:15:49.000]  I mean, Stephen Levy is, you know,
[2:15:49.000 --> 2:15:54.000]  it's a special case because he's awesome and has been around for so long.
[2:15:54.000 --> 2:15:55.000]  Right.
[2:15:55.000 --> 2:15:58.000]  But, but the last few years when I haven't had it in advance,
[2:15:58.000 --> 2:16:02.000]  I mean, I've, I've made a little agreement with myself like I,
[2:16:02.000 --> 2:16:06.000]  I get the phone on the Friday or the Thursday night before the Friday sometimes,
[2:16:06.000 --> 2:16:09.000]  but, you know, I get it, I get it basically when people get it.
[2:16:09.000 --> 2:16:13.000]  And, you know, my reviews wouldn't run until like Tuesday or Wednesday.
[2:16:13.000 --> 2:16:15.000]  I would basically say I'm going to take the weekend.
[2:16:15.000 --> 2:16:16.000]  I'm going to use it.
[2:16:16.000 --> 2:16:17.000]  I'm going to write.
[2:16:17.000 --> 2:16:21.000]  I'm going to give it some time because there's no point, all the reviews are that,
[2:16:21.000 --> 2:16:24.000]  that we're coming up the day of already came out two days before.
[2:16:24.000 --> 2:16:26.000]  So I can't beat them.
