[00:00.000 --> 00:05.180]  Feel like we got to talk about the thing which thing my thing. How was your with your eyeball? Yeah
[01:49:37.260 --> 01:49:40.080]  Giving them in Florida. They're giving them a lot of reps at first base
[01:49:40.560 --> 01:49:45.140]  Which which I think is as much about what we've got to do something with them
[01:49:45.140 --> 01:49:48.020]  And I think it's also like a sort of sad
[01:49:48.620 --> 01:49:53.780]  Statement about what they expect out of mark to share his durability, you know that they're already planning
[01:49:53.780 --> 01:49:56.420]  Oh, somebody's got it. Somebody else is gonna have to play some first
[01:49:56.420 --> 01:50:04.220]  Well, I think the what are they they signed him for ten years and then they resigned it for ten years like four years into
[01:50:04.220 --> 01:50:06.320]  That contract is that right? It's a very complicated
[01:50:06.980 --> 01:50:13.940]  Contract it is it something is something to the effect of that. Yeah. Well, I think the the original signing that ten year period
[01:50:14.900 --> 01:50:16.700]  It was it was an incredible amount of money
[01:50:16.700 --> 01:50:23.100]  But they got they got a lot of value out of that the resigning was where I think they went wrong. Yeah, definitely
[01:50:23.100 --> 01:50:30.340]  Because it's it's the second half of that new contract that is now, you know, they're paying in the 61 million for maybe nothing
[01:50:31.260 --> 01:50:39.540]  yeah, and the the thinking the entire thinking behind the resigning was marketing driven not baseball driven because it was
[01:50:39.540 --> 01:50:45.660]  All based it was before any of the PED stuff had hit obviously and it was all based on
[01:50:45.660 --> 01:50:53.860]  Projections of not not any kind of like oh, we think he's gonna play like his 33 year old self forever or his 32 year old
[01:50:53.860 --> 01:50:58.060]  Self, you know there they knew he was going to go into decline and that by the end of this contract
[01:50:58.060 --> 01:51:00.900]  He would you know be a shell of his former self
[01:51:01.700 --> 01:51:08.620]  But the projections all had him at you know, right around bonds his home run mark
[01:51:08.820 --> 01:51:14.280]  You know around that time and that he'd be breaking these historic home run records
[01:51:14.280 --> 01:51:21.480]  Filling the stadium with people, you know in anticipation of him, you know, getting a 700th home run getting a 750th home run
[01:51:23.040 --> 01:51:27.320]  Whereas now, you know, he could break the record and people are gonna throw the ball back on the field
[01:51:30.560 --> 01:51:33.280]  Right, I mean like who gives a crap about Barry Bonds home, right?
[01:51:33.280 --> 01:51:38.120]  You know, that's the thing is even if just imagine that he does met it
[01:51:38.120 --> 01:51:42.840]  you know physically come back in pretty good shape and actually does start hitting dingers again and
[01:51:42.840 --> 01:51:44.840]  plays out these three years
[01:51:45.880 --> 01:51:48.920]  It doesn't even matter if he breaks the record because nobody cares about the record anyway
[01:51:48.920 --> 01:51:53.720]  Because everybody thinks bonds numbers are tainted and then I'd be broken by the guys
[01:51:54.680 --> 01:52:01.880]  The only one who might be a more notorious user of performance-enhancing drugs. Do you even know bonds his home run number?
[01:52:01.880 --> 01:52:03.320]  No, I don't even know
[01:52:03.320 --> 01:52:10.840]  Ruth was 715 right right and and Hank Aaron 744, right? No, I think was 755 755
[01:52:10.840 --> 01:52:12.920]  755. All right. I knew it was a
[01:52:14.360 --> 01:52:16.040]  Double number. Yeah
[01:52:16.040 --> 01:52:21.920]  So bonds is more than that, but I don't know. I don't know how much more I'm gonna guess like
[01:52:22.480 --> 01:52:29.160]  780 he didn't get 800 right? I don't remember him getting another landmark after breaking the record and 800 would have been something
[01:52:29.160 --> 01:52:32.460]  Yeah, I know. I don't think it's it's something in the seven. It's got to be yeah, like 760
[01:52:32.460 --> 01:52:35.220]  I'm gonna look it up, but I'm not gonna cheat. Let's I'm gonna say seven
[01:52:36.480 --> 01:52:38.720]  770 okay. What are you gonna say? Oh
[01:52:38.720 --> 01:52:44.480]  I think it was even closer. I think he just barely I'm gonna go 760. I gotta go below you. So
[01:52:45.600 --> 01:52:50.880]  All right on career home runs. Here we go. This is a baseball reference calm
[01:52:52.960 --> 01:52:56.480]  This is good podcasted job, oh we fix it all in post
[01:52:59.440 --> 01:53:01.440]  Let's see here
[01:53:01.440 --> 01:53:07.920]  Oh Wikipedia makes it hard to find it to home run 762. You're right. He just kind of
[01:53:09.040 --> 01:53:12.200]  Snuck past him. He has seven more home runs than oh
[01:53:13.200 --> 01:53:14.800]  God, you know what have been classing
[01:53:14.800 --> 01:53:18.080]  He never would have done I mean cuz one thing when you're talking about Barry Bonds and Alex Rodriguez
[01:53:18.200 --> 01:53:22.800]  Class doesn't really that is not a word wouldn't have been classy if he had stopped at some
[01:53:23.360 --> 01:53:28.480]  754 you think one less third time or time? Yeah, even if he just stopped at the top
[01:53:28.480 --> 01:53:30.480]  Yeah, even if he just stopped at 755
[01:53:30.480 --> 01:53:36.160]  Yeah, I feel like tied. Maybe you could have convinced him to do it. But one last I don't think you want fewer
[01:53:36.160 --> 01:53:38.160]  I don't think you would have gone for yeah
[01:53:38.920 --> 01:53:46.380]  No, all right. Well, what's what's the surprise you got for me John my surprise for you Paul is that we have a fourth sponsor this week
[01:53:49.000 --> 01:53:54.480]  All right, it is and you're gonna like him I know you like these guys and you like to play jokes with these guys
[01:53:54.480 --> 01:53:56.480]  It's our good friends at
[01:53:56.480 --> 01:53:58.480]  Fracture. All right
[01:53:58.480 --> 01:54:04.000]  I brought your photo swap. Yeah, this is now this we could talk about that is a great idea for a gag
[01:54:04.400 --> 01:54:08.360]  You guys know fracture. I talked about them. They've been sponsoring a show all year long
[01:54:09.000 --> 01:54:12.680]  they take your photos they print them directly on glass and
[01:54:13.520 --> 01:54:19.600]  You get a little package and it's right there. The glass has your photo right on it. You don't need a frame
[01:54:19.600 --> 01:54:22.320]  It is a frame you just hang it out. I'm gonna wall you can hang it up
[01:54:22.320 --> 01:54:24.680]  You know prop it up on your mantle or your desk
[01:54:24.680 --> 01:54:29.280]  a really clever packaging really great image quality
[01:54:30.000 --> 01:54:34.480]  Really great prices really great customer support all sorts of sizes
[01:54:35.280 --> 01:54:42.800]  And shapes to pick from you could do square ones print your favorite instagrams big ones, you know all sorts of great things
[01:54:43.800 --> 01:54:50.080]  Have you seen this ad campaign from Apple with the it's taken with an iPhone where they're showing like photos that people have taken with
[01:54:50.080 --> 01:54:53.560]  Their iPhone they're printing them on phenomenal photos. Yeah, they're phenomenal photos
[01:54:53.560 --> 01:54:56.480]  But then now it's like a billboard campaign like the like
[01:54:56.760 --> 01:55:00.480]  You just sort of forget like with the megapixels that you've got like, you know
[01:55:00.480 --> 01:55:04.600]  I'm sure if you got real close like when you're hanging if you're the guy hanging the billboard you can see the pixels or whatever
[01:55:04.600 --> 01:55:05.880]  but
[01:55:05.880 --> 01:55:09.640]  When I you know, you said you were in the Apple Store recently
[01:55:09.640 --> 01:55:13.560]  I was in the Apple Store just last week week or two ago and they have some of these
[01:55:14.720 --> 01:55:17.760]  Customer, you know your iPhone user photos up in the Apple Store
[01:55:17.760 --> 01:55:25.280]  Big printed really big like panoramas printed big and it's amazing how good they look even when you're standing right in front of them
[01:55:25.280 --> 01:55:30.240]  At the wall, like you can get go to fracture and get the big ones with your iPhone pictures. They'll look great
[01:55:30.240 --> 01:55:32.920]  It's amazing how much detail is in an iPhone picture
[01:55:33.640 --> 01:55:40.040]  Paul you and my wife have played games with fracture this describe the fracture photo swap, right?
[01:55:40.040 --> 01:55:45.720]  so fracture sponsored the podcast I do with your wife Amy a little show called just the tip and
[01:55:45.720 --> 01:55:48.880]  They sponsored the show and they it was actually their idea to do this
[01:55:48.880 --> 01:55:54.200]  they gave us each a coupon code and had us send a photo or photos to the other party and
[01:55:55.160 --> 01:56:02.760]  We trademarked this this is now a joint trademark between just the tip enterprises and fracture and you can participate in the fracture photo
[01:56:02.760 --> 01:56:07.600]  Swap all you do is you get together with a friend you say I'm gonna send you a photo you send me a photo
[01:56:07.600 --> 01:56:13.160]  And you just go nuts with it. And I have you talked pricing on this. I yeah, you haven't talked pricing
[01:56:13.160 --> 01:56:16.800]  You know, you can do it. It's it's very inexpensive for the small photos and
[01:56:17.360 --> 01:56:18.480]  You can have some fun with it
[01:56:18.480 --> 01:56:23.400]  The only rule is that whatever you send the receiving party has to keep in their house for at least a year
[01:56:24.040 --> 01:56:27.160]  Then it becomes a real conversation piece
[01:56:28.160 --> 01:56:34.720]  Which is so that you need to take that into account that explains why we have a photo of Pete Rose in his underwear
[01:56:35.240 --> 01:56:37.640]  His jockeys, that's right. That's right
[01:56:38.920 --> 01:56:40.920]  You're welcome. Thank you Paul
[01:56:40.920 --> 01:56:42.920]  It's the gift that keeps on giving
[01:56:45.480 --> 01:56:51.440]  Do you think that that was based that was an ad that that while Pete Rose was playing you could google this just google
[01:56:51.440 --> 01:56:55.520]  Was it Pete Rose jockeys? I think that's right. Yeah, it jockey underwear
[01:56:57.720 --> 01:57:03.120]  And he is he is not an attractive fan not even then no
[01:57:03.120 --> 01:57:09.160]  This is the height of his career. Yeah in the prime of his playing career did not really look like he was a jockey
[01:57:09.160 --> 01:57:11.160]  Did not really look
[01:57:12.040 --> 01:57:14.040]  Very attractive in his jockeys
[01:57:14.080 --> 01:57:20.360]  Do you think maybe when they had that that maybe they got the idea and they just assumed that Pete Rose with his you know?
[01:57:20.920 --> 01:57:23.480]  His jersey off would look good because you know, there was like
[01:57:24.240 --> 01:57:26.000]  Jim Palmer
[01:57:26.000 --> 01:57:33.700]  very handsome pitcher for the Baltimore Orioles famously did a lot of underwear ads during his career very handsome man
[01:57:33.700 --> 01:57:39.260]  Looked amazing look best certainly look better than I've ever looked in the best day of my life in this underwear look great
[01:57:39.260 --> 01:57:44.260]  Look like he should be modeling underwear. Do you think that there's somebody at jockey was like, well, we'll get Pete Rose
[01:57:44.260 --> 01:57:47.260]  He's a great player. He's you know, he's you know, he's gonna look great
[01:57:47.780 --> 01:57:51.860]  and they said, you know, they called him and he's they came to terms and
[01:57:52.420 --> 01:57:53.500]  and
[01:57:53.500 --> 01:57:58.180]  They signed a contract and then then they then they got to see him in his jockeys
[01:57:58.180 --> 01:58:04.940]  I thought I think that's my guess as to how that came to be but they still could have saved money by not printing the ad
[01:58:04.940 --> 01:58:06.940]  I mean, that's good money after bad
[01:58:07.460 --> 01:58:13.300]  Well, anyway, my thanks to fractured send every you know, do the fracture photo swap. It's great fun
[01:58:13.580 --> 01:58:18.220]  Do whatever you want with them, but they'd great great company great products. Lots of fun
[01:58:18.780 --> 01:58:24.420]  The code that you want to remember is daring fireball all one word daring fireball and you will save
[01:58:24.420 --> 01:58:30.960]  15% on whatever it is that you order including I'm betting a fracture photo swap. There you go
[01:58:31.600 --> 01:58:33.760]  I one last thing I got to go soon
[01:58:33.920 --> 01:58:38.940]  We've been chatting for a while, but I wanted to talk while I had you because I wanted to get your insight on this
[01:58:38.940 --> 01:58:44.340]  I think you're gonna give me a big fat. I told you so about app pricing. So my oh, yes my friends
[01:58:45.280 --> 01:58:46.840]  Brenton Dave and I at Q branch
[01:58:46.840 --> 01:58:53.960]  We we've just a few days ago released a new update to our app Vesper that adds iPad support on iOS
[01:58:53.960 --> 01:58:55.280]  and
[01:58:55.280 --> 01:58:59.340]  Coincident with that to our universal binary, but we've raised the price of the app
[01:58:59.920 --> 01:59:06.880]  To 999 right? I think for the next 10 days. We're still gonna keep it at 799 which is higher than it has been all along
[01:59:07.600 --> 01:59:12.600]  but the red new default regular price once this intro period is over is going to be 999 and
[01:59:15.400 --> 01:59:18.080]  You know, I don't want to go on a trade about it
[01:59:18.080 --> 01:59:23.400]  but just more or less that we we've we've concluded that the idea that you can go low and we've been at
[01:59:23.400 --> 01:59:29.000]  299 for months before this update came out that you can go low and make it up with
[01:59:29.400 --> 01:59:32.000]  quantity because the iOS market is so big that it
[01:59:32.560 --> 01:59:38.380]  Just that just doesn't work or it doesn't work for the type of app that Vesper is which I would call like
[01:59:39.460 --> 01:59:43.160]  Deeper app. Yeah, and like a productivity app. It's not a game. It's not a gimmick
[01:59:44.040 --> 01:59:51.440]  You know, but it's sort of basically it's like the type of apps that indie developers have been making for the Mac for decades now
[01:59:51.440 --> 01:59:54.120]  it's on iOS like a Mac app on iOS and
[01:59:55.240 --> 02:00:00.640]  I don't think that that works and I mean Mac in terms of like being something that you do like you work with it you
[02:00:00.640 --> 02:00:02.880]  Do things productivity? I don't know. I
[02:00:03.920 --> 02:00:08.240]  Definitely do want to say I told you so but I think it's it's something where
[02:00:09.600 --> 02:00:16.540]  What six years ago my company released an iPhone app and we priced it at 999 and it didn't work
[02:00:16.540 --> 02:00:23.660]  But I felt like at least we went down swing and we went down at a price where we were content and
[02:00:24.300 --> 02:00:29.100]  I think exactly like you said trying to make it up on volume doesn't work unless you
[02:00:29.580 --> 02:00:33.060]  wind up with one of the apps, you know an Angry Birds or
[02:00:33.980 --> 02:00:39.540]  That's it. It's a game. It's it games are different. I think games are isn't it's a totally different market and
[02:00:41.540 --> 02:00:44.220]  You know, there's other apps that to me it's a different type of
[02:00:44.220 --> 02:00:46.220]  It's just a different category
[02:00:46.780 --> 02:00:50.660]  I'm talking you know, and I will also add and I don't want to be self
[02:00:51.500 --> 02:00:58.100]  So self-centered as to presume that Vesper is good enough that it should be making more money
[02:00:58.420 --> 02:01:01.740]  So let's just leave Vesper out. Maybe the problem is that Vesper isn't original enough
[02:01:01.740 --> 02:01:06.500]  Maybe that you know, the problem is Vesper the eye-opening thing to me was in panics
[02:01:07.780 --> 02:01:10.340]  Right annual letter that they published on their blog
[02:01:10.340 --> 02:01:15.580]  Back in early January where cable Sasser just flat-out said, you know, and they had a great year
[02:01:15.580 --> 02:01:20.100]  they had so many apps that came out Mac and iOS and they had iOS versions of
[02:01:22.100 --> 02:01:27.100]  Coda the mini coda whatever they call coda like coda diet coda diet coda
[02:01:27.100 --> 02:01:32.500]  Oh, what a great name that is. Can't believe it drew a blank on that. They have their terminal app
[02:01:34.500 --> 02:01:36.500]  Prompt prompt great great stuff
[02:01:36.500 --> 02:01:44.740]  Prompt prompt great great stuff transmit for iOS transmit for iOS, which is a phenomenal app really really well done
[02:01:44.740 --> 02:01:46.740]  It's everything you close your eyes you think well
[02:01:46.740 --> 02:01:52.180]  What would panic do if they did transmit for iOS and your mind starts running wild with how you know detailed it would be?
[02:01:52.180 --> 02:01:54.180]  Well, that's exactly what it is. It's
[02:01:54.340 --> 02:01:56.340]  remarkable remarkable app
[02:01:56.380 --> 02:02:01.740]  And truly I Mac caliber app in terms of the scope of what it does, you know
[02:02:01.740 --> 02:02:09.220]  It's a full-featured file transfer app, you know for a whole bunch of great services and you know in their annual letter
[02:02:09.300 --> 02:02:11.380]  you know cable flat-out said that the
[02:02:12.420 --> 02:02:18.060]  The revenue that they're making from these iOS apps doesn't justify the engineering
[02:02:18.860 --> 02:02:20.860]  expense of making these apps
[02:02:21.060 --> 02:02:25.580]  Compared to the revenue they get from the same amount of work on the Mac apps
[02:02:25.820 --> 02:02:31.620]  Right doing the same amount of work on the Mac is gonna pay so much better than it does on iOS, right?
[02:02:31.620 --> 02:02:34.100]  And there's no, you know, I mean there do different platforms
[02:02:34.100 --> 02:02:39.300]  But in terms of which you know it, you know how much it costs to pay for a talented engineer to spend
[02:02:39.300 --> 02:02:41.300]  You know eight to ten hours
[02:02:41.620 --> 02:02:48.980]  Tomorrow coding for it. It's the same right? You don't get you don't if anything iOS developers are more in demand
[02:02:49.740 --> 02:02:52.100]  Right, right. It's even harder to hire them
[02:02:54.020 --> 02:02:58.620]  And that to me was an eye-opener to me that if panic is saying hey
[02:02:58.620 --> 02:03:04.820]  Something funny is going on on iOS because you know, we're not getting the bang for our buck
[02:03:04.820 --> 02:03:05.260]  You know
[02:03:05.260 --> 02:03:10.020]  We have to think about how we're gonna do this because we can't justify this because if we put these resources toward the Mac
[02:03:10.020 --> 02:03:12.020]  We'd be making more money
[02:03:12.500 --> 02:03:15.860]  And that to me is an eye-opener because those apps are fantastic
[02:03:15.860 --> 02:03:22.380]  I there's just I mean it's you know, I'm too close to Vesper to judge Vesper objectively, but I can judge
[02:03:23.060 --> 02:03:26.580]  Panics apps objectively and they are best of breed
[02:03:26.580 --> 02:03:29.220]  Yeah, and yeah, I've got it right in front of me
[02:03:29.220 --> 02:03:36.180]  They basically they had a 50-50 split for iOS versus Mac sales and then the Mac was 83% of their revenue, right?
[02:03:36.180 --> 02:03:39.180]  So, I mean just in terms of the way the numbers work
[02:03:39.180 --> 02:03:39.420]  Yeah
[02:03:39.420 --> 02:03:46.100]  You certainly should be devoting more of your resources to the Mac and that's unfortunate because iOS is a fun platform
[02:03:46.100 --> 02:03:50.820]  It's an interesting platform to be developing for but right now there's the money just isn't there
[02:03:50.820 --> 02:03:53.980]  Yeah, and I think that we're starting to see it now like to me
[02:03:53.980 --> 02:03:59.740]  Eight years in I guess it is eight or seven years. I guess seven years since the App Store
[02:04:01.100 --> 02:04:08.740]  It's long enough and the devices, you know Moore's law has had its effect like our current iPhones and iPads are so powerful
[02:04:09.620 --> 02:04:13.700]  you know, they're cool, you know, the current iPads are clearly on par with the
[02:04:14.500 --> 02:04:17.740]  MacBooks of the time when the iPhone came out
[02:04:17.740 --> 02:04:24.020]  I mean the the devices aren't limiting them, but I really think that for seven years in there's a dearth of
[02:04:24.780 --> 02:04:31.140]  like what I would call like just name any of your favorite indie Mac apps from the last 20 years and
[02:04:31.300 --> 02:04:34.140]  We're not seeing them get developed on iOS
[02:04:34.140 --> 02:04:37.740]  I mean not that there's none but that we're just not seeing as many as we should
[02:04:39.060 --> 02:04:41.060]  well, and I wonder if I
[02:04:42.140 --> 02:04:44.700]  Definitely there are people inside of Apple who are aware of this
[02:04:44.700 --> 02:04:51.580]  But I wonder if the people who can do something about it are blinded by the fact that there are these phenomenal success stories
[02:04:51.820 --> 02:04:58.300]  Where companies come out of nowhere and suddenly make millions upon millions of dollars because they have this hit 99 cent app
[02:04:58.820 --> 02:05:04.060]  but it disguises the fact that so many developers try and fail and move on and
[02:05:05.180 --> 02:05:09.400]  Just can't really make a living at it. Let alone a good living at it
[02:05:10.180 --> 02:05:13.620]  Yeah, I don't know and you know and part of it and out
[02:05:13.620 --> 02:05:16.580]  You know because we could go on for an hour just about the App Store angle
[02:05:16.580 --> 02:05:23.060]  But part of it is clearly just that having to go through the App Store limits iOS development in certain ways
[02:05:23.060 --> 02:05:27.020]  But let's ignore that for now. I you know, I think it's safe to ignore it
[02:05:27.020 --> 02:05:32.340]  There's something more to it than that like you rogue amoeba. You guys don't have any iOS apps right now, right?
[02:05:32.700 --> 02:05:39.980]  we've got too small their companion apps to our Mac apps because that's what we felt has been the most valuable thing to do is to
[02:05:39.980 --> 02:05:42.500]  expend our resources on the Mac and
[02:05:43.100 --> 02:05:46.940]  We certainly want to be involved on iOS. It's like I said, it's an exciting platform
[02:05:46.940 --> 02:05:51.160]  But if the money is not there, we'd rather have them be a companion to a Mac app
[02:05:51.160 --> 02:05:51.560]  So, you know
[02:05:51.560 --> 02:05:57.060]  here's a free airfoil speakers which works works with our app airfoil and you pay for the airfoil app on the Mac and you get
[02:05:57.060 --> 02:05:59.060]  the the iOS app for free
[02:05:59.140 --> 02:06:00.620]  and it's
[02:06:00.620 --> 02:06:04.540]  You know, it's not necessarily the best way to do things, but it's the way that we found works
[02:06:04.540 --> 02:06:09.540]  I knew I remembered it. I remembered air for I didn't even think of it as an app because it's not you know
[02:06:09.540 --> 02:06:10.680]  I mean like to me it's not an app
[02:06:10.680 --> 02:06:15.860]  It's a thing on your phone that it's just part of it using airfoil, right? Exactly. So effectively
[02:06:15.860 --> 02:06:22.100]  Yeah, effectively you guys that were treating the iPhone the way that like it's like the Apple watch, right?
[02:06:22.100 --> 02:06:26.340]  It's just this little thing where you yeah, you're you've got apps for it and you've written code for it
[02:06:26.340 --> 02:06:31.780]  But it's really just a like you said a peripheral to the main thing. Yeah, exactly and and
[02:06:32.700 --> 02:06:38.340]  that that works but it's I would love to see the sort of thing that you're talking about where you have a
[02:06:38.340 --> 02:06:43.460]  You know first-class application experience on the phone or on the iPad and you know
[02:06:43.620 --> 02:06:45.780]  We can devote our resources to that and then charge
[02:06:46.180 --> 02:06:51.140]  10 20 30 dollars which is what you need to charge in terms of the volume that you're going to see on an average
[02:06:51.780 --> 02:06:52.740]  product
[02:06:52.740 --> 02:06:58.340]  Because you can't make enough money selling it for 99 cents or $2.99 or even $4.99
[02:06:58.740 --> 02:07:04.180]  And I think if I'm not mistaken in the in the panic letter that they sent out to that they post on their blog
[02:07:04.180 --> 02:07:10.580]  They also mentioned talking about discounted upgrades and that's a big thing that I think the app stores are lacking and have been lacking and
[02:07:11.380 --> 02:07:13.380]  it means that you need to
[02:07:14.180 --> 02:07:16.740]  either charge full price for version 2 or
[02:07:17.780 --> 02:07:21.700]  I mean, that's really pretty much your only option besides giving it away and
[02:07:22.660 --> 02:07:26.740]  Upgrade revenue is definitely a way that for 20 or 30 years now
[02:07:26.980 --> 02:07:33.060]  Companies have been selling software and making money and it encourages companies to make a version 2 and a version 3
[02:07:33.060 --> 02:07:37.700]  And not have to worry. Oh, we got to sell all over to people when they can just say hey
[02:07:37.860 --> 02:07:39.540]  This new version has a bunch of new features
[02:07:39.540 --> 02:07:43.380]  We think you're gonna like it because you bought the first version you get a big discount on it
[02:07:43.380 --> 02:07:45.060]  But we still get a little bit of revenue
[02:07:45.060 --> 02:07:49.220]  They don't just have to live off the revenue from the first product or try and sell a whole new product
[02:07:49.540 --> 02:07:52.180]  and I think not having that really sort of stunts the
[02:07:52.900 --> 02:08:00.100]  Ability to make deeper products and longer term products. Yeah, I'll borrow a tight to tie the whole show together bring it full circle
[02:08:00.100 --> 02:08:04.660]  I'll borrow a term from the watch world. There's a term in the watch world a tool watch
[02:08:04.660 --> 02:08:09.860]  So for example, like a diver watch a watch that can go 300 meters under underwater
[02:08:10.900 --> 02:08:14.500]  Which you think about it is terrifying. That's like that's an extraordinary depth
[02:08:16.580 --> 02:08:21.780]  You know watches that are meant to be you know treated roughly and you know to to work or or
[02:08:23.380 --> 02:08:28.180]  You know like chronometer watches like that race car drivers would wear and actually use you know to
[02:08:28.180 --> 02:08:34.500]  Time, they're they're racing and stuff like that. That's the type of apps. That's a good word tool right like tool apps
[02:08:34.500 --> 02:08:37.220]  Like, you know audio hijack is a tool
[02:08:38.020 --> 02:08:43.060]  It's a serious tool that people you can use it for fun too. But you know BB edit is a tool
[02:08:43.940 --> 02:08:49.780]  Right, those type of apps need continuous first for long-term success need continuous development
[02:08:50.420 --> 02:08:55.220]  Like you know you guys have been working on audio hijack like effectively
[02:08:55.220 --> 02:08:59.860]  I'm not that not that well non-stop right like for 13 years. Yeah, and
[02:09:01.300 --> 02:09:07.540]  There's no other way to do that without upgrade revenue or some kind of you know, like a subscription typing
[02:09:07.540 --> 02:09:12.020]  I mean clearly that's like what adobe is pivoting towards. Yeah and successfully
[02:09:12.020 --> 02:09:16.340]  I mean it it's or so far it seems like it but to justify that, you know
[02:09:16.340 --> 02:09:21.860]  because all of their apps that we think of they're you know, they're tools and the only way to keep them going is with
[02:09:21.860 --> 02:09:27.460]  Some sort of sustained revenue stream from your existing users and the whole idea that you know
[02:09:27.460 --> 02:09:31.860]  Once you've paid for it you get it for forever. It just doesn't work and anytime people have tried it
[02:09:31.860 --> 02:09:34.180]  It's always fallen apart. I mean I think of
[02:09:34.980 --> 02:09:37.620]  poor text mate right where
[02:09:39.700 --> 02:09:41.620]  Alan
[02:09:41.620 --> 02:09:46.260]  Ogdard had great success, you know came out with a new text editor. It was a sensation all the rails developers loved it
[02:09:46.260 --> 02:09:51.700]  Really seemed to strike a chord with like the the new to the Mac users who you know
[02:09:51.700 --> 02:09:54.580]  Maybe didn't weren't for somehow turned off by
[02:09:55.300 --> 02:09:57.300]  BB edits sort of Mac likeness
[02:09:58.820 --> 02:10:02.740]  But then he promised that the next major upgrade was going to be a free update, you know
[02:10:02.740 --> 02:10:05.460]  And which I thought wow that is a crazy-ass thing to say
[02:10:06.100 --> 02:10:11.460]  Because I you know if it wasn't for upgrades, I don't see how bare-bones would still be in business. I I mean
[02:10:11.460 --> 02:10:17.140]  I'm sure that they still get some number of new customers, but you know, I I've paid for upgrades
[02:10:17.140 --> 02:10:20.100]  I even worked for them for two years, but I must have paid for I
[02:10:20.740 --> 02:10:23.300]  Don't know six or seven upgrades over the last
[02:10:24.340 --> 02:10:30.740]  You know 15 years of using BB edit right at well and the key is that it got you new features and new functionality
[02:10:30.740 --> 02:10:34.740]  Happily so right and got you. Yeah, you were happy to do it because it got you
[02:10:34.740 --> 02:10:37.700]  You know the the top-of-the-line product the current product
[02:10:37.700 --> 02:10:44.180]  And on on iOS, I think you're seeing a whole lot of stuff get abandoned because it doesn't make enough money up front
[02:10:45.300 --> 02:10:49.620]  And then you know, you can't you can't like I said earlier you can't keep throwing good money after bad
[02:10:50.180 --> 02:10:54.660]  Or you know good time after bad when a product isn't successful enough right up front
[02:10:54.660 --> 02:10:58.180]  It's not going to be successful long-term because you can't afford to make it successful
[02:10:58.180 --> 02:11:02.580]  Yeah, so my conclusion my new working theory is that for tool apps?
[02:11:02.580 --> 02:11:07.620]  That the market on iOS is actually not much bigger at all than the Mac
[02:11:07.780 --> 02:11:15.380]  It's roughly the same size and the fact that there are 200 million iOS users total is irrelevant because I don't know
[02:11:15.700 --> 02:11:19.700]  180 million of them would never even consider spending money on like
[02:11:20.500 --> 02:11:24.180]  Which to me is not a crazy expensive app like a 999 app, right?
[02:11:24.340 --> 02:11:28.820]  But it's just they're never gonna do it like the way that those 180 million users are going to do it
[02:11:28.820 --> 02:11:32.820]  is they go to the App Store and they search for what they're looking for and
[02:11:33.140 --> 02:11:39.140]  If it's a notes app, they type notes and then they look for one that's free and then they keep downloading free ones until they find
[02:11:39.140 --> 02:11:44.820]  One that's good enough and there's so many of them that they're eventually going to find one that's good enough and that's it
[02:11:44.820 --> 02:11:49.300]  And then never go past it. So it doesn't matter whether you're 99 cents or 199 or 999
[02:11:49.540 --> 02:11:54.260]  They're never looking past the free ones and well not that there aren't people, you know
[02:11:54.260 --> 02:12:01.540]  There's I think there's you know, same way that there's 10 20 30 million active Mac users who will consider spending a reasonable amount of money
[02:12:01.540 --> 02:12:04.580]  On a good app. I think that there's the same number of people
[02:12:04.580 --> 02:12:10.020]  I think that all those same people have an iPhone in their pocket and would consider doing the same thing for the iPhone
[02:12:10.340 --> 02:12:12.340]  but there's
[02:12:12.340 --> 02:12:18.020]  You have to price it accordingly though. You still you can't price it for it at lower all 200 million people, right?
[02:12:18.020 --> 02:12:24.740]  You cannot do it and well, it might be less than the Mac version just because it's it's a smaller app and it does take slightly
[02:12:24.740 --> 02:12:26.740]  You know slightly less time
[02:12:27.140 --> 02:12:31.140]  To do the iPhone app than the Mac app because there might be you know, you don't have to do Apple script
[02:12:31.140 --> 02:12:34.180]  You don't have to you know, there's all sorts of things you may not be able to do
[02:12:34.180 --> 02:12:37.700]  But it still has to be commensurate to what you would charge for the Mac version
[02:12:38.020 --> 02:12:38.340]  well
[02:12:38.340 --> 02:12:43.380]  the interesting analogy to me is it's sort of analogous to the split between Mac and Windows that
[02:12:43.380 --> 02:12:49.060]  When we first came out on the Mac a decade ago more than that and had some success people said oh you should be on Windows
[02:12:49.060 --> 02:12:51.940]  There's you know, ten or a hundred times as many users
[02:12:51.940 --> 02:12:57.860]  But I think it's a very similar thing where there aren't ten or a hundred times as many people willing to pay for software
[02:12:57.860 --> 02:13:00.740]  Yeah, there might be more there might even be fewer
[02:13:00.740 --> 02:13:05.540]  But it's not as if you can just look at the size of the user base and say okay
[02:13:05.540 --> 02:13:08.660]  That's the possible number of people we can sell to
[02:13:08.660 --> 02:13:13.700]  And I think on the iPhone it's very similar where you know of those however 200 million devices
[02:13:13.700 --> 02:13:18.820]  How many of those are in the hands of kids or you know our secondary devices?
[02:13:18.820 --> 02:13:21.860]  So, you know, it's not really that there's that many active users out there
[02:13:21.860 --> 02:13:27.460]  Yeah, it's the market isn't necessarily that much bigger and you know, I you think it might be the same size
[02:13:27.460 --> 02:13:28.660]  It might be smaller might be bigger
