[00:00.000 --> 00:01.740]  Jason, how you doing?
[02:41:39.300 --> 02:41:42.660]  and turn them into running tracks and playground soft
[02:41:42.660 --> 02:41:47.660]  material for kids, and then Reuters had the wisdom
[02:41:47.820 --> 02:41:50.220]  to say, hmm, Dow Chemical, not sure I trust them,
[02:41:50.220 --> 02:41:53.700]  put a bunch of air tags into 11 pairs of sneakers,
[02:41:53.700 --> 02:41:57.620]  and lo and behold, they're shipped over to Indonesia,
[02:41:57.620 --> 02:41:59.980]  which is more of like a third world country.
[02:41:59.980 --> 02:42:04.380]  So it's literally just publicly greenwashing,
[02:42:04.380 --> 02:42:07.860]  it's Dow saying, hey, plastics and rubbers are great,
[02:42:07.860 --> 02:42:09.520]  because we take them and reuse them and turn them
[02:42:09.520 --> 02:42:12.300]  into things like soft mats for playgrounds,
[02:42:12.300 --> 02:42:15.140]  and in truth, all they were doing was taking garbage
[02:42:15.140 --> 02:42:17.700]  from a rich country, Singapore, and dumping it
[02:42:17.700 --> 02:42:19.980]  into a poor country, Indonesia,
[02:42:19.980 --> 02:42:23.780]  against, explicitly against the laws of Indonesia,
[02:42:23.780 --> 02:42:26.460]  which set up laws for health and safety
[02:42:26.460 --> 02:42:29.820]  about the import of unexpected or unclean used clothing,
[02:42:29.820 --> 02:42:31.220]  exactly to prevent this.
[02:42:31.220 --> 02:42:33.600]  Dow Chemical, you know what I mean?
[02:42:33.600 --> 02:42:36.420]  But it came out seven days ago,
[02:42:36.420 --> 02:42:38.100]  and somebody sent it to me, and I was like,
[02:42:38.100 --> 02:42:40.060]  oh, that is perfect fodder for Daring Fireball.
[02:42:40.060 --> 02:42:42.820]  I'd be interested in it without the air tags angle,
[02:42:42.820 --> 02:42:44.480]  but combine it with the air tags,
[02:42:44.480 --> 02:42:46.920]  and I sometimes write about Apple stuff,
[02:42:46.920 --> 02:42:48.340]  it was like, this is perfect.
[02:42:48.340 --> 02:42:50.340]  It took me six days to link to it,
[02:42:50.340 --> 02:42:52.980]  and I was kinda bummed when I linked to it yesterday,
[02:42:52.980 --> 02:42:54.160]  because I was like, it's kinda stale.
[02:42:54.160 --> 02:42:58.740]  But that's nonstop, that's one example from one post.
[02:42:58.740 --> 02:43:03.220]  Nonstop, seven days a week, 52 weeks a year,
[02:43:03.220 --> 02:43:07.620]  365 days a year, you know, maybe not 365, right?
[02:43:07.620 --> 02:43:11.060]  I got to feel so bad when I go quiet on Christmas Day.
[02:43:11.060 --> 02:43:14.060]  But it's certainly 52 weeks a year,
[02:43:14.060 --> 02:43:16.500]  every year for 20 years, it is relentless.
[02:43:16.500 --> 02:43:18.780]  And I could, you know, maybe it's the fact
[02:43:18.780 --> 02:43:19.920]  that you're five years ahead of me,
[02:43:19.920 --> 02:43:22.020]  my sabbatical's coming up in five years.
[02:43:23.060 --> 02:43:24.580]  Yeah, it could be, it could be.
[02:43:24.580 --> 02:43:26.380]  Well, let me tell you, so-
[02:43:26.380 --> 02:43:27.560]  Yeah, I mean, for me,
[02:43:28.900 --> 02:43:32.660]  for me, there's a couple different things
[02:43:32.660 --> 02:43:35.700]  that I sort of identified like as problems.
[02:43:35.700 --> 02:43:40.700]  And one of them is that relentlessness that you mentioned,
[02:43:41.020 --> 02:43:44.060]  where I, especially for my stuff,
[02:43:44.060 --> 02:43:46.020]  which is sort of more sort of general,
[02:43:46.020 --> 02:43:49.980]  like you have your sort of Apple wheelhouse
[02:43:49.980 --> 02:43:51.300]  and that sort of stuff.
[02:43:52.140 --> 02:43:55.380]  But like my site is more like just anything interesting.
[02:43:55.380 --> 02:43:57.460]  I mean, your site's a little bit like that, actually.
[02:43:57.460 --> 02:43:59.900]  But like my site, it's like anything that's interesting.
[02:43:59.900 --> 02:44:02.380]  So it's like, I am always sort of working,
[02:44:02.380 --> 02:44:05.060]  because like I am always sort of moving through the world.
[02:44:05.060 --> 02:44:06.940]  And so that's an interesting observation,
[02:44:06.940 --> 02:44:09.020]  or this is an interesting little fact thing
[02:44:09.020 --> 02:44:11.080]  that I'm talking about with a friend
[02:44:11.080 --> 02:44:12.340]  or something like that.
[02:44:12.340 --> 02:44:15.660]  So like, there's the sense of like, I am never off work.
[02:44:15.660 --> 02:44:17.900]  And then the other thing is,
[02:44:17.900 --> 02:44:20.580]  what was the other thing I was gonna say?
[02:44:20.580 --> 02:44:23.060]  Well, I'll just say that before you think about it,
[02:44:23.060 --> 02:44:25.940]  but I describe my site as being like the guy at the gym
[02:44:25.940 --> 02:44:28.380]  who only works his arms, you know?
[02:44:28.380 --> 02:44:31.540]  So it's, yeah, I do some, I do my legs a little,
[02:44:31.540 --> 02:44:33.500]  but it's one, it's lopsided.
[02:44:33.500 --> 02:44:36.580]  It's severely lopsided in the interest of Apple stuff.
[02:44:36.580 --> 02:44:38.300]  But then, you know, like during the Trump years,
[02:44:38.300 --> 02:44:43.300]  I, you know, it semi evolved into the semi-political site
[02:44:43.540 --> 02:44:46.420]  that I thought about writing back in 2002,
[02:44:46.420 --> 02:44:49.000]  instead of writing about tech and design.
[02:44:49.000 --> 02:44:50.860]  Yeah, so the other thing that I remembered
[02:44:50.860 --> 02:44:55.820]  is that it's the constant feedback that you get on,
[02:44:55.820 --> 02:44:57.340]  like every single thing that I write,
[02:44:57.340 --> 02:44:59.440]  there is some little bit of feedback.
[02:44:59.440 --> 02:45:02.040]  Like it's, you know, likes on Twitter or Mastodon,
[02:45:02.040 --> 02:45:04.860]  it's people replying, it's emails that I get.
[02:45:04.860 --> 02:45:09.220]  And it's sort of this constant judgment coming at you
[02:45:09.220 --> 02:45:12.060]  that for me kind of got to be a problem, I think.
[02:45:12.060 --> 02:45:13.180]  You know, I think over the years,
[02:45:13.180 --> 02:45:15.700]  like you develop a thick skin
[02:45:15.700 --> 02:45:17.980]  and it becomes something that you're just like,
[02:45:17.980 --> 02:45:20.540]  oh yeah, like people are gonna be angry about this thing.
[02:45:20.540 --> 02:45:23.540]  And like, I can judge, like, if I write something,
[02:45:23.540 --> 02:45:26.660]  like I know what the feedback is already gonna be.
[02:45:26.660 --> 02:45:28.980]  Like, and I'm sure you have this too.
[02:45:28.980 --> 02:45:31.160]  Oh, people are gonna try and argue this
[02:45:31.160 --> 02:45:33.140]  or argue that or whatever.
[02:45:33.140 --> 02:45:34.640]  And I know what the feedback is,
[02:45:34.640 --> 02:45:38.680]  but somewhere in the last like four or five, six years,
[02:45:38.680 --> 02:45:42.160]  like that skin like got a lot thinner
[02:45:42.160 --> 02:45:45.700]  and it started affecting me a lot more.
[02:45:45.700 --> 02:45:47.900]  And I think that that part of the burnout there
[02:45:47.900 --> 02:45:51.060]  was just sort of the subjection of my psyche
[02:45:51.060 --> 02:45:54.780]  or soul to all of this feedback.
[02:45:54.780 --> 02:45:56.900]  Negative or positive, it doesn't really matter.
[02:45:56.900 --> 02:45:58.580]  It's just feedback.
[02:45:58.580 --> 02:46:00.100]  I don't think it's natural for people
[02:46:00.100 --> 02:46:02.820]  to get that much feedback during a day,
[02:46:02.820 --> 02:46:04.140]  day after day after day.
[02:46:04.140 --> 02:46:05.340]  And I think after a while,
[02:46:05.340 --> 02:46:07.660]  it just really kind of ground me down, you know?
[02:46:07.660 --> 02:46:08.940]  Hmm.
[02:46:08.940 --> 02:46:12.460]  That's really interesting because I do think,
[02:46:12.460 --> 02:46:13.700]  and I've thought about this,
[02:46:13.700 --> 02:46:15.980]  it's something that wasn't obvious to me at the start.
[02:46:15.980 --> 02:46:18.380]  Like when I started, all I wanted to do
[02:46:18.380 --> 02:46:20.460]  is I wanted to be a writer, I wanted to write,
[02:46:20.460 --> 02:46:22.380]  and I didn't want to answer to anybody
[02:46:22.380 --> 02:46:24.180]  or work my way up any ladder.
[02:46:24.180 --> 02:46:25.880]  And I already knew web technology
[02:46:25.880 --> 02:46:28.100]  and I was already so excited about people like you
[02:46:28.100 --> 02:46:30.340]  and Dave Weiner and all the people we mentioned earlier
[02:46:30.340 --> 02:46:34.140]  and Dean Allen, and I knew that I could do it
[02:46:34.140 --> 02:46:35.580]  and I could do it technically
[02:46:35.580 --> 02:46:37.180]  and I knew that it was, I think,
[02:46:37.180 --> 02:46:38.420]  where I wanted my writing to be
[02:46:38.420 --> 02:46:40.500]  and I just wanted to get it out there.
[02:46:40.500 --> 02:46:44.160]  And it's that ego part of wanting to do stuff in public.
[02:46:44.160 --> 02:46:47.140]  There's no work around it.
[02:46:47.140 --> 02:46:48.820]  You have to have an ego, right?
[02:46:48.820 --> 02:46:51.260]  Nobody runs for political office
[02:46:51.260 --> 02:46:53.860]  without some sort of ego and self-centered.
[02:46:53.860 --> 02:46:56.460]  And I've always had that drive to create little things.
[02:46:56.460 --> 02:46:59.300]  I used to, as a little kid, draw little comic strips
[02:46:59.300 --> 02:47:01.020]  and write stories and just slip them
[02:47:01.020 --> 02:47:02.660]  under my mom's door at night.
[02:47:02.660 --> 02:47:04.980]  I just, I've always had a need to make things
[02:47:04.980 --> 02:47:06.580]  for other people to see,
[02:47:06.580 --> 02:47:08.020]  and that's all I really thought about.
[02:47:08.020 --> 02:47:10.860]  And I didn't think about the thick skin nature
[02:47:10.860 --> 02:47:15.180]  that's required, but I, as I've gone over the years,
[02:47:15.180 --> 02:47:17.500]  I've, especially in the Twitter years
[02:47:17.500 --> 02:47:20.640]  and especially in the late Twitter years
[02:47:20.640 --> 02:47:23.680]  where Twitter got angry culturally,
[02:47:23.680 --> 02:47:25.540]  and I don't see how anybody could deny that,
[02:47:25.540 --> 02:47:29.980]  and that's pre-Musk, I realized that,
[02:47:29.980 --> 02:47:32.900]  oh, this is the reason, one of the reasons
[02:47:32.900 --> 02:47:36.180]  I've been able to keep going and so,
[02:47:36.180 --> 02:47:38.880]  as you and I, me and you, Jason, look around
[02:47:38.880 --> 02:47:42.140]  and we're like, where the hell is everybody else?
[02:47:42.140 --> 02:47:43.900]  I mean, I really anticipated,
[02:47:43.900 --> 02:47:45.500]  I've said this numerous times,
[02:47:45.500 --> 02:47:46.800]  probably the last time you were on,
[02:47:46.800 --> 02:47:51.200]  I thought in the early days that this was the future
[02:47:51.200 --> 02:47:54.100]  and this is what everybody would be doing.
[02:47:54.100 --> 02:47:57.360]  I thought there'd be more people doing what we do
[02:47:57.360 --> 02:47:59.460]  because I thought the tools are only gonna get easier
[02:47:59.460 --> 02:48:02.500]  and the fact that me and you and Heather Armstrong
[02:48:02.500 --> 02:48:05.860]  know how to write HTML code
[02:48:05.860 --> 02:48:07.800]  and we know how to design our own stuff
[02:48:07.800 --> 02:48:11.540]  and we know how to set up something as,
[02:48:11.540 --> 02:48:13.400]  not that setting up movable type was all that hard,
[02:48:13.400 --> 02:48:15.060]  but it's certainly beyond the kind of most people.
[02:48:15.060 --> 02:48:17.340]  There's many, many reasons that you and I
[02:48:17.340 --> 02:48:19.180]  are among the last people standing,
[02:48:19.180 --> 02:48:21.660]  doing this as a full-time job,
[02:48:21.660 --> 02:48:24.980]  but the thick skin part, I didn't anticipate,
[02:48:24.980 --> 02:48:26.940]  but I realized in hindsight,
[02:48:26.940 --> 02:48:31.420]  that somehow came and comes very naturally to me
[02:48:31.420 --> 02:48:36.420]  and mine hasn't worn thinner and I don't know why.
[02:48:36.900 --> 02:48:40.260]  And I think that might explain the sort of difference there,
[02:48:40.260 --> 02:48:45.260]  but I can imagine there are times where my thick skin,
[02:48:47.020 --> 02:48:49.580]  somebody, something starts sanding down on it
[02:48:49.580 --> 02:48:54.580]  and I, yeah, you know, it can get to you.
[02:48:54.860 --> 02:48:56.400]  You know, the one.
[02:48:56.400 --> 02:48:57.620]  And like I was saying,
[02:48:57.620 --> 02:49:00.220]  it's not even necessarily negative feedback.
[02:49:00.220 --> 02:49:01.620]  Like you can get positive feedback
[02:49:01.620 --> 02:49:06.460]  and that warps your deal in a whole different way.
[02:49:07.340 --> 02:49:08.540]  Right, no, that's true,
[02:49:08.540 --> 02:49:11.300]  because then it steers you towards writing
[02:49:11.300 --> 02:49:14.500]  for what people want to read,
[02:49:14.500 --> 02:49:16.720]  which isn't necessarily what you should be writing.
[02:49:16.720 --> 02:49:21.720]  I mean, certainly in my racket, in the Apple focused,
[02:49:22.380 --> 02:49:25.300]  hyper-focused part of Daring Fireball,
[02:49:25.300 --> 02:49:28.620]  the trap to fall into is only writing positive things
[02:49:28.620 --> 02:49:32.140]  about Apple because there are so many people,
[02:49:32.140 --> 02:49:36.060]  so many people out there who do,
[02:49:36.060 --> 02:49:41.060]  their fandom of Apple is sort of dogmatic, religious.
[02:49:41.500 --> 02:49:42.860]  I don't know how to describe it,
[02:49:42.860 --> 02:49:46.780]  but they only want to hear good things about Apple.
[02:49:46.780 --> 02:49:50.420]  And you can see it on sites that have comments.
[02:49:50.420 --> 02:49:54.420]  I think MacRumors is a great sort of id
[02:49:55.980 --> 02:49:58.840]  of the Apple universe in their comment section,
[02:49:58.840 --> 02:50:01.980]  where if you read, if you ever look on MacRumors
[02:50:01.980 --> 02:50:04.940]  when there's a story that is more or less,
[02:50:04.940 --> 02:50:07.380]  or obviously negative about Apple.
[02:50:07.380 --> 02:50:09.180]  So take, for example, last week,
[02:50:09.180 --> 02:50:12.140]  Joanna Stern and Nicole Nguyen at the Wall Street Journal
[02:50:12.140 --> 02:50:14.780]  had a blockbuster story, truly blockbuster story.
[02:50:14.780 --> 02:50:15.620]  I won't get into it.
[02:50:15.620 --> 02:50:17.580]  Marco Arman and I talked about it for over an hour
[02:50:17.580 --> 02:50:18.940]  on my last episode of my show.
[02:50:18.940 --> 02:50:22.080]  But the basic gist is if somebody has your iPhone
[02:50:22.080 --> 02:50:24.240]  and the passcode to the iPhone,
[02:50:24.240 --> 02:50:27.340]  they not only can access everything on the iPhone,
[02:50:27.340 --> 02:50:29.060]  but they can just go right into settings
[02:50:29.060 --> 02:50:30.840]  and change your iCloud password
[02:50:30.840 --> 02:50:33.140]  without knowing your existing iCloud password.
[02:50:33.140 --> 02:50:35.760]  And then they own your iCloud password too.
[02:50:35.760 --> 02:50:37.820]  And this is by design, it's not a bug.
[02:50:37.820 --> 02:50:39.580]  It's there because so many people
[02:50:39.580 --> 02:50:41.060]  forget their iCloud passwords
[02:50:41.060 --> 02:50:42.580]  that it's built in as a feature.
[02:50:42.580 --> 02:50:44.460]  And Google does the same thing with Android.
[02:50:44.460 --> 02:50:46.080]  And I proved it with my Android phone.
[02:50:46.080 --> 02:50:49.180]  But that's obviously a negative story about Apple.
[02:50:49.180 --> 02:50:51.100]  The fact that, and thieves have picked,
[02:50:51.100 --> 02:50:54.020]  the Joanna Stern and Nicole story
[02:50:54.020 --> 02:50:56.400]  was about the fact that thieves have picked this up
[02:50:56.400 --> 02:50:59.140]  and they're snooping people's passcodes in bars.
[02:50:59.140 --> 02:51:00.420]  And then when they steal their phone,
[02:51:00.420 --> 02:51:02.260]  they've already got their passcode.
[02:51:02.260 --> 02:51:04.520]  And then they steal this and they use it
[02:51:04.520 --> 02:51:07.340]  and take money out of their Venmos and their bank accounts.
[02:51:07.340 --> 02:51:10.100]  And they open up Apple cards and quick charge things.
[02:51:10.100 --> 02:51:11.640]  And people don't even know.
[02:51:11.640 --> 02:51:12.820]  And the worst part is the victims
[02:51:12.820 --> 02:51:14.020]  don't even know what the hell goes on.
[02:51:14.020 --> 02:51:15.680]  All they know is they lost their phone.
[02:51:15.680 --> 02:51:16.820]  They lost their phone.
[02:51:16.820 --> 02:51:20.420]  And next thing you know, they can't even get into iCloud
[02:51:20.420 --> 02:51:22.100]  when they get home on their MacBook.
[02:51:22.100 --> 02:51:24.740]  What the hell, I can't get, why can't I get into iCloud?
[02:51:24.740 --> 02:51:26.980]  And next thing you know, they're getting emails
[02:51:26.980 --> 02:51:30.980]  from their bank saying that they lost $10,000, blah, blah, blah.
[02:51:30.980 --> 02:51:33.180]  If you read the MacRumors story
[02:51:33.180 --> 02:51:35.260]  that linked to and summarized that story,
[02:51:35.260 --> 02:51:37.940]  you'll find people in the comments who will defend Apple.
[02:51:37.940 --> 02:51:40.060]  And again, there is a defensible angle here
[02:51:40.060 --> 02:51:42.700]  on the customer support, but you'll find these people
[02:51:42.700 --> 02:51:44.740]  who are angry that this article was posted
[02:51:44.740 --> 02:51:46.420]  in the first place, right?
[02:51:46.420 --> 02:51:49.860]  And an awful lot of Apple sites, not ones I've read,
[02:51:49.860 --> 02:51:52.780]  but, and especially Apple sites that have come and gone,
[02:51:52.780 --> 02:51:55.960]  because also I think that catering to that crowd
[02:51:55.960 --> 02:51:58.000]  makes it unsustainable, right?
[02:51:58.000 --> 02:52:00.260]  You're not gonna last if you're trying to do that.
[02:52:00.260 --> 02:52:03.860]  Although I guess Fox News has made it work, but you don't,
[02:52:03.860 --> 02:52:06.020]  that's a perfect example, right?
[02:52:06.020 --> 02:52:07.600]  You don't wanna be the Fox News.
[02:52:07.600 --> 02:52:10.740]  Nobody should be the Fox News of anything, right?
[02:52:10.740 --> 02:52:12.240]  Fox News shouldn't be the Fox News
[02:52:12.240 --> 02:52:14.100]  of conservative US politics,
[02:52:14.100 --> 02:52:16.700]  but there've been an awful lot of Apple-oriented sites
[02:52:16.700 --> 02:52:18.420]  over the years that are,
[02:52:18.420 --> 02:52:21.480]  they're certainly not detrimental to democracy.
[02:52:23.700 --> 02:52:27.500]  Yeah, but it's not a healthy way to do things, right?
[02:52:27.500 --> 02:52:29.740]  And in that feedback cycle,
[02:52:29.740 --> 02:52:34.140]  even if you don't have a central theme or topic
[02:52:34.140 --> 02:52:36.700]  other than the general interest of modern life
[02:52:36.700 --> 02:52:39.980]  and art and whatever you wanna say,
[02:52:39.980 --> 02:52:41.180]  you're right though, I could see it.
[02:52:41.180 --> 02:52:44.820]  It's not healthy to be getting the sort of ding, ding, ding,
[02:52:44.820 --> 02:52:48.220]  you know, there is like a sort of gamification
[02:52:48.220 --> 02:52:50.380]  and slot machine, you know,
[02:52:50.380 --> 02:52:52.420]  oh, they make these dings really pleasant
[02:52:52.420 --> 02:52:53.960]  and they're all at a pitch, you know,
[02:52:53.960 --> 02:52:56.580]  that has been studied to be like pleasant to the human,
[02:52:56.580 --> 02:52:59.820]  you know, every single little thing about a slot machine
[02:52:59.820 --> 02:53:03.020]  is designed to keep you doing it, right?
[02:53:03.020 --> 02:53:04.100]  Yep, yep.
[02:53:04.100 --> 02:53:07.060]  All right, so tell me about during the sabbatical.
[02:53:07.060 --> 02:53:09.380]  See, here's the thing I don't understand
[02:53:09.380 --> 02:53:12.580]  is you knew you were gonna take three or four months,
[02:53:12.580 --> 02:53:14.780]  but didn't I, as I thought about it,
[02:53:14.780 --> 02:53:16.460]  it's like, well, what happens like one month in
[02:53:16.460 --> 02:53:18.660]  when you are reading something, right?
[02:53:18.660 --> 02:53:20.480]  You still read some stuff on the web,
[02:53:20.480 --> 02:53:21.860]  or did you, you didn't like-
[02:53:21.860 --> 02:53:22.700]  No.
[02:53:22.700 --> 02:53:23.700]  You didn't read anything?
[02:53:23.700 --> 02:53:25.260]  You, Ted Kaczynski did?
[02:53:25.260 --> 02:53:28.940]  I basically, basically for seven months,
[02:53:28.940 --> 02:53:33.220]  I probably read no more than 10 articles on the web.
[02:53:33.220 --> 02:53:36.660]  Huh, well then that answers my question,
[02:53:36.660 --> 02:53:38.880]  which is how could you possibly resist linking
[02:53:38.880 --> 02:53:39.840]  to something that you read
[02:53:39.840 --> 02:53:41.960]  that you felt like you had to link to?
[02:53:41.960 --> 02:53:43.060]  You just didn't read it.
[02:53:43.060 --> 02:53:45.260]  No, I just didn't read it.
[02:53:46.260 --> 02:53:50.780]  John, the extent to which I dropped doing the website
[02:53:50.780 --> 02:53:54.420]  like a hot potato would like just astound you,
[02:53:54.420 --> 02:53:58.660]  like it was gone, it was just gone.
[02:53:58.660 --> 02:54:01.700]  And I, because I knew that that's the way it had to be,
[02:54:01.700 --> 02:54:05.460]  like I knew I just needed to completely set it down.
[02:54:05.460 --> 02:54:08.100]  I read books instead, I kept up with Instagram,
[02:54:08.100 --> 02:54:09.540]  I completely dropped Twitter,
[02:54:09.540 --> 02:54:12.120]  and actually I haven't really picked Twitter back up again,
[02:54:12.120 --> 02:54:14.740]  even since then, I-
[02:54:14.740 --> 02:54:16.100]  Are you mastadonning now?
[02:54:16.100 --> 02:54:17.540]  You're mastadonning.
[02:54:17.540 --> 02:54:19.340]  I am, I am mastadonning, yeah.
[02:54:19.340 --> 02:54:21.100]  Mastadonning is interesting, I like it.
[02:54:21.100 --> 02:54:23.640]  It's, you know, it reminds me a little bit of Twitter
[02:54:23.640 --> 02:54:26.060]  in the earlier days, but also of a sort
[02:54:26.060 --> 02:54:28.900]  of a different thing, yeah.
[02:54:28.900 --> 02:54:31.720]  That's fascinating.
[02:54:31.720 --> 02:54:35.460]  And it really, seriously, it was my single biggest,
[02:54:35.460 --> 02:54:38.900]  I mean, here we are three hours, 20 minutes into this.
[02:54:38.900 --> 02:54:41.100]  And it's honestly, the whole reason I wanted
[02:54:41.100 --> 02:54:43.160]  to have you on the show is how did you not link to,
[02:54:43.160 --> 02:54:45.940]  how did you not break the sabbatical to link to something?
[02:54:45.940 --> 02:54:47.500]  Because I don't think, that's the thing
[02:54:47.500 --> 02:54:49.540]  I don't think I could do.
[02:54:49.540 --> 02:54:53.880]  But I guess I could do it if I completely unplugged, right?
[02:54:53.880 --> 02:54:56.980]  Yeah, I mean, there were, I think there were a handful
[02:54:56.980 --> 02:54:58.380]  of things that I did.
[02:54:58.380 --> 02:55:00.020]  There were a few quick links,
[02:55:00.020 --> 02:55:03.260]  like maybe three, four that I linked to.
[02:55:03.260 --> 02:55:04.800]  I can't even remember what they were now,
[02:55:04.800 --> 02:55:06.280]  but it seemed like the type of thing it was like,
[02:55:06.280 --> 02:55:08.140]  oh, okay, I'm just gonna post this one thing
[02:55:08.140 --> 02:55:10.740]  and then, you know, put it back down.
[02:55:10.740 --> 02:55:13.640]  And then I made a post like in October,
[02:55:13.640 --> 02:55:16.480]  because like you, people were getting a little bit antsy
[02:55:16.480 --> 02:55:18.260]  about, hey, are you coming back?
[02:55:18.260 --> 02:55:19.100]  What's going on?
[02:55:19.100 --> 02:55:20.220]  So I just kind of made a post.
[02:55:20.220 --> 02:55:21.980]  I'm like, I'm not back yet.
[02:55:21.980 --> 02:55:23.980]  I will be back at some point.
[02:55:23.980 --> 02:55:26.260]  And, you know, I think your guess was correct.
[02:55:26.260 --> 02:55:27.980]  I don't think there was any,
[02:55:27.980 --> 02:55:31.020]  I don't think I ever seriously entertained not coming back.
[02:55:31.020 --> 02:55:32.540]  I was always gonna come back,
[02:55:32.540 --> 02:55:33.820]  but it was just a matter of like,
[02:55:33.820 --> 02:55:37.020]  I just, I really just need to decompress completely
[02:55:37.020 --> 02:55:41.620]  from this so that I can start with not quite a blank slate,
[02:55:41.620 --> 02:55:43.880]  but somewhere in the ballpark of that.
[02:55:43.880 --> 02:55:45.520]  Do you feel rejuvenated?
[02:55:46.380 --> 02:55:47.860]  I did when I came back.
[02:55:47.860 --> 02:55:50.180]  It's a couple, let's see, it's three months,
[02:55:50.180 --> 02:55:51.020]  three months into it,
[02:55:51.020 --> 02:55:54.020]  because I think I started at the beginning of November.
[02:55:54.020 --> 02:55:57.540]  The winter has been like we started at three hours ago,
[02:55:57.540 --> 02:55:59.420]  three and a half hours ago, whenever the hell it was.
[02:55:59.420 --> 02:56:01.280]  Yesterday, you know, like winters are hard.
[02:56:01.280 --> 02:56:02.840]  Yeah, exactly, yesterday.
[02:56:02.840 --> 02:56:03.940]  Winters are tough for me.
[02:56:03.940 --> 02:56:07.300]  And like this winter has been more tough than usual
[02:56:07.300 --> 02:56:09.940]  just because of, there's a lot of family
[02:56:09.940 --> 02:56:11.580]  sort of stuff going on
[02:56:11.580 --> 02:56:13.860]  that I don't really care to talk about,
[02:56:13.860 --> 02:56:16.740]  but there's a lot of going on, a lot of going on.
[02:56:16.740 --> 02:56:20.180]  And I did not really get the opportunity
[02:56:20.180 --> 02:56:24.460]  to sort of come back and really think about
[02:56:24.460 --> 02:56:27.740]  like how I want to do this differently going forward.
[02:56:27.740 --> 02:56:30.500]  I kind of fell back into old kind of ruts
[02:56:30.500 --> 02:56:31.500]  and old kind of habits.
[02:56:31.500 --> 02:56:33.820]  So, you know, three months down the road here,
[02:56:33.820 --> 02:56:37.180]  I am not burned out by any stretch of the imagination,
[02:56:37.180 --> 02:56:38.540]  but I am like, crap,
[02:56:38.540 --> 02:56:41.580]  I see that stuff coming in the rear view mirror
[02:56:41.580 --> 02:56:43.380]  like sooner than I thought I would.
[02:56:43.380 --> 02:56:47.100]  And hopefully things are starting to even out
[02:56:47.100 --> 02:56:49.780]  and level out in my life right now
[02:56:49.780 --> 02:56:53.900]  so that I can spend some more time focusing on that stuff.
[02:56:53.900 --> 02:56:56.780]  It's focusing on work, focusing on the site,
[02:56:56.780 --> 02:56:58.740]  what not only like writing the site,
[02:56:58.740 --> 02:57:00.900]  but like how I might want to go about it differently
[02:57:00.900 --> 02:57:03.620]  in order to make it more sustainable.
[02:57:03.620 --> 02:57:06.580]  Because at this point I want to hit 30,
[02:57:06.580 --> 02:57:09.960]  I want to hit 35, 40, who knows?
[02:57:09.960 --> 02:57:11.700]  But like, I want to keep it going
[02:57:11.700 --> 02:57:13.200]  and I want to keep myself going.
[02:57:13.200 --> 02:57:16.460]  I don't want to be, you know, 55, 60 years old
[02:57:16.460 --> 02:57:18.380]  and I am a husk of a human being.
[02:57:18.380 --> 02:57:21.220]  And, but God, he had a great website, you know,
[02:57:21.220 --> 02:57:24.380]  like that, I don't think that's a very good trade off
[02:57:24.380 --> 02:57:27.100]  for me or for the world or for anybody.
[02:57:27.100 --> 02:57:31.780]  So I got to try and figure it out, so.
[02:57:31.780 --> 02:57:32.940]  Before I forget, I did,
[02:57:32.940 --> 02:57:34.860]  I don't want to let your homework go to waste.
[02:57:34.860 --> 02:57:38.300]  I asked you, it's minimal homework for the show,
[02:57:38.300 --> 02:57:42.260]  how many posts you've posted to kotke.org over the years?
[02:57:42.260 --> 02:57:43.180]  And the answer is?
[02:57:43.180 --> 02:57:44.420]  About 40,000.
[02:57:44.420 --> 02:57:45.860]  All right, so 40,000.
[02:57:45.860 --> 02:57:49.380]  And again, this speaks to the relentlessness
[02:57:49.380 --> 02:57:52.120]  and the sort of body of work.
[02:57:52.120 --> 02:57:56.340]  So my count is 32,000-ish.
[02:57:56.340 --> 02:57:58.700]  And that's not counting like the sponsor ads,
[02:57:58.700 --> 02:58:00.500]  which I technically go through movable type,
[02:58:00.500 --> 02:58:02.260]  but it's, I'm subtracting.
[02:58:02.260 --> 02:58:05.160]  Which is fascinating because you're at 25 years
[02:58:05.160 --> 02:58:08.340]  and I'm at 20 and that 32 to 40
[02:58:08.340 --> 02:58:11.380]  is pretty much exactly the same ratio.
[02:58:11.380 --> 02:58:13.980]  It's kind of freaky.
[02:58:13.980 --> 02:58:15.660]  It's a lot, you know.
[02:58:15.660 --> 02:58:19.220]  Five years ago, I did a word count.
[02:58:19.220 --> 02:58:21.380]  It is not, that's not easy to do,
[02:58:21.380 --> 02:58:24.860]  or it's not hard, but there's no automatic feature
[02:58:24.860 --> 02:58:26.460]  in movable type to do it.
[02:58:26.460 --> 02:58:30.580]  I like did an, I did an export to like a single file,
[02:58:30.580 --> 02:58:32.740]  or I forget how, I think that's how it works,
[02:58:32.740 --> 02:58:33.580]  which is crazy.
[02:58:33.580 --> 02:58:36.520]  It's like, but you know, computers are very, you know.
[02:58:36.520 --> 02:58:38.340]  It's one of those things that you,
[02:58:38.340 --> 02:58:42.800]  my broken, grew up in the 80s and 90s mind thinks,
[02:58:42.800 --> 02:58:45.780]  well, you can't export all of that to one text file,
[02:58:45.780 --> 02:58:47.940]  but of course you can, and it's not even.
[02:58:47.940 --> 02:58:48.780]  It won't fit.
