[00:00.000 --> 00:02.320]  How's your week? Oh my god
[1:17:54.540 --> 1:17:57.340]  Which has a to my opinion a great flavor of mark down
[1:17:57.580 --> 1:18:00.140]  They even call it and they have a great name for it perfect name
[1:18:00.140 --> 1:18:05.020]  It's called github flavored mark down and it is exactly suited for github users
[1:18:05.020 --> 1:18:07.500]  And it does code a little differently because
[1:18:08.620 --> 1:18:12.540]  No shit github users are writing a lot of you know code blocks right
[1:18:13.020 --> 1:18:15.020]  um
[1:18:15.020 --> 1:18:19.580]  And it would not and and almost none of their changes would make sense for mark down everywhere
[1:18:20.700 --> 1:18:22.700]  So, you know, it's great
[1:18:23.740 --> 1:18:28.620]  I don't know people see the world is broken regarding mark down because there's not one true mark down
[1:18:29.260 --> 1:18:32.620]  Uh, meanwhile in the real world everybody's happy writing mark down
[1:18:33.580 --> 1:18:39.100]  Yeah, I think you're right. It doesn't it doesn't seem like it's a problem that needs to really be solved
[1:18:39.100 --> 1:18:43.180]  Uh, exactly and you know, it's I think I think there's this temp
[1:18:43.180 --> 1:18:46.460]  There's a tendency for programmers to want to
[1:18:47.500 --> 1:18:52.940]  Clean up standards and and and formalize things like that and in many cases that is warranted
[1:18:53.660 --> 1:18:58.700]  Um, but I think saying that everything has to be a standard is like saying open always wins
[1:18:58.700 --> 1:19:01.900]  Exactly like, you know, that that is true sometimes
[1:19:02.220 --> 1:19:04.860]  But it is not a generalization that holds all the time
[1:19:05.820 --> 1:19:06.300]  And
[1:19:07.340 --> 1:19:10.060]  I don't know, I mean, maybe there are things that should be standardized
[1:19:10.060 --> 1:19:14.620]  But it seems like mark down has gotten along just fine without that and it's moving along funny
[1:19:14.620 --> 1:19:18.220]  And you're right that, you know, different implementations will have different needs
[1:19:18.780 --> 1:19:25.900]  And it is it is not wise to try to cram all these specialty needs into one standard than everybody must
[1:19:26.380 --> 1:19:31.100]  Follow and then and then everything gets version and you have to be like, oh, well, does this support mark down 2.0 or not?
[1:19:31.100 --> 1:19:33.020]  And it's it's kind of a mess
[1:19:33.020 --> 1:19:35.020]  I don't know it's a hard problem to solve
[1:19:35.260 --> 1:19:38.460]  But I wouldn't assume that a standard's body is
[1:19:38.460 --> 1:19:45.660]  Necessarily the right solution to this problem. I would almost certainly say it is absolutely not
[1:19:46.140 --> 1:19:49.660]  Well, of course you would say that because they're basically trying to fire you right
[1:19:50.620 --> 1:19:52.620]  But I don't know it
[1:19:52.860 --> 1:19:54.940]  I think that the success of mark down
[1:19:55.660 --> 1:19:59.100]  Despite not having a standard's body behind it all this time
[1:19:59.900 --> 1:20:05.260]  Is the biggest evidence why it probably doesn't need one right exactly and you know part of what it meant?
[1:20:05.260 --> 1:20:09.020]  Let's get by without a spec and you know, and I you know, I like
[1:20:10.140 --> 1:20:17.020]  Be better in some ways there are there's things that could be clarified and there's things that make mark down very hard for example to write a syntax coloring
[1:20:17.980 --> 1:20:25.420]  Description for because of ambiguities. There's things the the assumption with mark down the thing that that the reason why it doesn't have a spec
[1:20:25.420 --> 1:20:33.500]  And why I think it probably shouldn't is the general assumption is that whoever is writing it knows what they're doing and isn't going to put input random gibberish
[1:20:33.500 --> 1:20:37.500]  And there's all sorts of the problems that people are talking about is well, what if you
[1:20:38.140 --> 1:20:43.180]  Put seven asterisks in a row. What is that generate? Well, don't do that. That's my answer
[1:20:43.180 --> 1:20:46.540]  I don't know what it generates is a generate a bunch of empty
[1:20:46.860 --> 1:20:52.300]  Em tags or strong tags. I don't know. It just seems like just why would you do that?
[1:20:53.980 --> 1:20:58.780]  You know check what it looks like before you publish it and if you see oh, I forgot that if I put a bunch of
[1:20:58.780 --> 1:21:04.140]  asterisks there that means something at mark down I should backslash escape them just you know
[1:21:04.700 --> 1:21:06.700]  Take a look at it
[1:21:06.700 --> 1:21:11.660]  It could be better. I'm not trying to brush aside all criticism of it and say that there's nothing
[1:21:11.660 --> 1:21:17.420]  I could do better. There's I maybe I should wait take a couple of weeks and wait back in and clean up some things
[1:21:17.740 --> 1:21:21.340]  But I think what mark down needs for me would be like a version
[1:21:21.740 --> 1:21:24.860]  I don't even know what the official version, but like if it's at 1.0
[1:21:24.860 --> 1:21:28.220]  one I should do like a 1.0 two
[1:21:29.260 --> 1:21:35.500]  Or at most like a 1.1. Yeah, maybe a 1.1. There's no need for a mark down to point out
[1:21:36.460 --> 1:21:39.820]  And there's no need for a standard or respect, but people get really worked up about it
[1:21:40.220 --> 1:21:44.460]  What if they just make their own thing and give it another name and see if it catches on exactly?
[1:21:44.460 --> 1:21:49.420]  That's I've said that to that's like I probably should set up a text expander snippet for that
[1:21:50.220 --> 1:21:52.220]  Make up your own thing and see if it catches on
[1:21:52.220 --> 1:21:55.100]  Yeah, cuz it might and then then find a problem solved
[1:21:55.100 --> 1:21:59.660]  Then you have your own thing that you control it has it has a different name and fine. You got it. All right
[1:22:00.780 --> 1:22:02.140]  I don't know we'll see how that goes
[1:22:02.140 --> 1:22:08.860]  It's it's either gonna peter out or it's going to be a thing that I'm going to have to take a little more public and then
[1:22:08.940 --> 1:22:15.340]  You know and be like no you cannot take the name mark down and I do have a nice soapbox for that
[1:22:15.340 --> 1:22:19.580]  And I have a lot of people who are probably gonna be on my side of this and then everybody's gonna be like oh my god
[1:22:19.580 --> 1:22:22.380]  I remember him talking to Marco about that on his podcast a couple weeks ago
[1:22:22.940 --> 1:22:26.460]  You can even trademark it maybe yeah, well probably isn't worth it. I mean
[1:22:27.260 --> 1:22:29.260]  I probably should try
[1:22:29.260 --> 1:22:33.820]  I don't know it's probably it probably is not worth it on might be harder because it's a general it's a
[1:22:34.220 --> 1:22:40.140]  You know getting a regular word even though the pun involved in the name. I think it's I still think it's rather clever
[1:22:40.300 --> 1:22:43.500]  But I don't know it might be hard because it's a dictionary
[1:22:44.220 --> 1:22:47.900]  I'm not a trademark lawyer. I've arrived filed for a number of trademarks now
[1:22:47.900 --> 1:22:49.900]  So I'm familiar with the process and
[1:22:51.020 --> 1:22:53.020]  from what I understand
[1:22:54.060 --> 1:22:57.980]  You know you could you could almost definitely trademark it. It doesn't matter that you haven't yet
[1:22:58.300 --> 1:23:02.300]  It doesn't matter that it's out there. You know the fact is it's still your thing your project
[1:23:02.620 --> 1:23:06.460]  Yeah, it is not become a generic term that describes all things like this
[1:23:07.100 --> 1:23:10.300]  it is still a specific thing that that you made and
[1:23:10.940 --> 1:23:12.940]  You could just make the
[1:23:12.940 --> 1:23:17.820]  You know like when you this is a very common thing. I hear people talking incorrectly about on podcast all the time
[1:23:18.620 --> 1:23:24.620]  They assume that a trademark is is like a universally unique name right when in fact when you file for a trademark
[1:23:24.620 --> 1:23:29.100]  You have to you have to file for it in certain relatively narrow categories and
[1:23:29.660 --> 1:23:33.660]  The more broadly you want that trademark to apply the harder it is to get and
[1:23:34.460 --> 1:23:39.100]  Sometimes it is it possible to get it more broadly. There might be someone else that's too close to you so like
[1:23:39.100 --> 1:23:43.500]  So you know like you like I had to file for overcast's trademark
[1:23:43.980 --> 1:23:48.940]  Within like the parameters of a website that does that that you know
[1:23:48.940 --> 1:23:56.060]  Let's people search and find and play podcasts and also a mobile application. Let's people search and find and play podcast and audio files and you know
[1:23:56.060 --> 1:23:58.060]  you have to you have to be that specific and
[1:23:59.900 --> 1:24:02.860]  And you know the and the more the more generic and overcast is a word
[1:24:02.860 --> 1:24:06.860]  It's an English dictionary word, but I still have a trademark pending on it that looks like it's gonna go through just fine
[1:24:06.860 --> 1:24:08.860]  and
[1:24:08.860 --> 1:24:13.580]  There are other trademarks of the word that are in different industries and that's fine too and so yeah
[1:24:14.140 --> 1:24:17.100]  Trademarks are are limited to a certain scope
[1:24:17.100 --> 1:24:22.140]  And if you make that scope narrow enough you can trademark almost anything. Yeah, it's not like getting the Twitter account name
[1:24:22.700 --> 1:24:24.700]  That's impossible. Yeah
[1:24:25.100 --> 1:24:30.140]  Every time it comes up where someone's like oh, yeah, I how do I want to recover this abandoned name on Twitter
[1:24:30.460 --> 1:24:33.420]  Every time this comes up. There's like three people who are like oh, I know a guy
[1:24:33.420 --> 1:24:35.500]  I can't or oh, yeah
[1:24:35.500 --> 1:24:40.380]  You could just email this person and every time if anyone else does it they can't do it anymore
[1:24:40.380 --> 1:24:47.820]  The process has now changed. It is not more strict. You know, sorry. Can't do it. Yeah, I think there might have been some Lucy Lucy early days where you could get
[1:24:48.780 --> 1:24:49.500]  a
[1:24:49.500 --> 1:24:57.260]  You know like in 2009 you could still get a claimed but vacant Twitter name, but it's it's I don't know
[1:24:57.260 --> 1:24:59.900]  I think for obvious reasons that it's gotten harder
[1:24:59.900 --> 1:25:04.700]  I have at mark down. I don't think I've ever even posted from it, but I do have that
[1:25:04.700 --> 1:25:08.080]  Do you know this? I think I talked about this on the show, but it was years ago
[1:25:09.620 --> 1:25:11.620]  Do you know who wanted to buy it from me?
[1:25:12.460 --> 1:25:19.980]  Matt Mullenmug nope Glenn Beck what talk show right wing talk show personality Glenn Beck
[1:25:20.220 --> 1:25:25.300]  Does he have like a show with that name or something? He started he got involved in some kind of
[1:25:25.300 --> 1:25:27.300]  um
[1:25:29.540 --> 1:25:31.540]  Like an overstock.com
[1:25:32.180 --> 1:25:34.180]  competitor
[1:25:34.180 --> 1:25:38.740]  Okay, so it's like price mark down either. Yeah, or maybe it was like group on or something
[1:25:38.740 --> 1:25:42.980]  I went and looked at it and tried to figure out what the hell it was and I was just like no
[1:25:42.980 --> 1:25:48.980]  So I just I got emails from there that they wanted to make a very serious offer about the Twitter account and I
[1:25:49.620 --> 1:25:51.620]  Just never answered them
[1:25:51.620 --> 1:25:56.660]  That that is that is really truly summer. I just couldn't live with myself. I don't want to hear the number
[1:25:57.620 --> 1:26:01.460]  Because I don't think it would have been that big anyway. I really don't I doubt it
[1:26:01.620 --> 1:26:04.660]  I don't think it would have been an offer that I couldn't refuse
[1:26:05.060 --> 1:26:07.540]  But I was afraid that it would be an offer. I couldn't refuse
[1:26:08.340 --> 1:26:13.380]  So on the other hand, it would be nice to take a whole lot of Glenn Beck's money. Oh, I don't know there's something about that
[1:26:14.580 --> 1:26:20.100]  Yeah, I thought of that too that wouldn't it be nice to you know buy a new car with Glenn Beck's money
[1:26:20.100 --> 1:26:22.180]  But then I don't know there's something about taking his money that
[1:26:23.540 --> 1:26:28.420]  And I don't know but anyway, he wanted to buy it, but I think his whole thing fell apart anyway now and his mark down is
[1:26:29.780 --> 1:26:32.580]  Not even remembered. I don't think anybody remembered it
[1:26:33.780 --> 1:26:35.780]  Remember him
[1:26:35.780 --> 1:26:40.660]  I don't know because he's not on TV anymore. I still be pops up on the politics sites. I read every once in a while
[1:26:41.460 --> 1:26:47.860]  You can actually you actually read politics. I can I like politics make me so angry like every every political news thing
[1:26:47.860 --> 1:26:52.340]  I've ever read is just made me angry. So I just tried to avoid it as much as I used to be really into it when I
[1:26:52.820 --> 1:26:57.140]  Another enormous digression, but circa 2002 when I thought you know what?
[1:26:57.140 --> 1:26:59.380]  I've got to start a blog and it was
[1:27:00.180 --> 1:27:04.100]  Maybe it wasn't quite 50 50 and I know in hindsight everybody's gonna say come on
[1:27:04.100 --> 1:27:10.020]  It couldn't have been but it felt closer to 50 50 me whether I would write about tech and et cetera
[1:27:10.420 --> 1:27:14.580]  Or politics and et cetera and then I thought well, maybe I'll start the
[1:27:14.580 --> 1:27:19.860]  The during fireball one first, which I always knew was gonna be the name of this one
[1:27:21.700 --> 1:27:25.940]  And I thought maybe I'll start a second blog. I even have a name for it, but I won't I can't say what it is
[1:27:27.220 --> 1:27:32.340]  Where I would write about politics, but it's just to me. It's not that it makes me angry anymore
[1:27:32.340 --> 1:27:37.060]  It just bores me it bores me to death. Yeah, cuz it's the same story all the time, you know
[1:27:37.940 --> 1:27:43.540]  Everyone's getting screwed these people are you know being bribed or being bought by lobbyists and you know
[1:27:43.540 --> 1:27:49.140]  The common people are getting screwed even further and everything just sucks and there's no hope inside like that's basically it
[1:27:49.540 --> 1:27:52.900]  Like if you if you boil it down, that's basically what every political
[1:27:53.380 --> 1:27:56.740]  Story is yeah, I think if I had been alive
[1:27:57.460 --> 1:28:04.420]  If my you know been born a few decades earlier and had been at good same like a columnist typewriter in the 70s or 80s
[1:28:04.420 --> 1:28:10.100]  I think it would have been bought politics because I think it was so much more interesting than and I know there's a lot of a lot
[1:28:10.100 --> 1:28:14.020]  Of that some of the problems were very exactly the same and a partisan ship and stuff, but
[1:28:15.780 --> 1:28:22.020]  It wasn't the money wasn't as as corrosive. It wasn't so much that it was really all just about business, you know
[1:28:22.020 --> 1:28:26.420]  It was it was more you know the partisanship was actually interesting and kind of fun to write about
[1:28:27.540 --> 1:28:31.620]  I guess think it's funny also that you know you and I have a similar problem
[1:28:31.620 --> 1:28:35.140]  You have it to a larger scale because your audience is much larger than mine
[1:28:35.940 --> 1:28:37.940]  We have a similar problem in that
[1:28:37.940 --> 1:28:42.500]  We say things that are opinionated about topics that shouldn't be
[1:28:43.220 --> 1:28:45.780]  Emotionally charged, but for many people they are and
[1:28:47.140 --> 1:28:48.740]  We get a lot of
[1:28:48.740 --> 1:28:51.140]  Craft from people who are like
[1:28:51.620 --> 1:28:56.580]  Unreasonably surprisingly angry about some statement we make about like a phone
[1:28:57.540 --> 1:29:05.220]  I can't even imagine what it would take in your mind to think that it would be a good idea to enter political writing as an additional thing that you did
[1:29:05.780 --> 1:29:07.300]  from that point of view
[1:29:07.300 --> 1:29:11.220]  Yeah, and when I've dabbled in it on Daring Fireball, it's you know
[1:29:11.620 --> 1:29:14.500]  I don't mind the criticism, but it was enormous
[1:29:14.500 --> 1:29:20.260]  It was it peaked in 2008 with the Sarah Palin thing because I couldn't I couldn't not hold my tongue
[1:29:20.260 --> 1:29:22.980]  I was so clear that the woman was this you know
[1:29:24.660 --> 1:29:29.700]  Borderline mentally disabled. I mean, you know real real real
[1:29:30.580 --> 1:29:37.220]  Problem and she was scary time right when it appeared that like there was a very good chance like most people
[1:29:37.220 --> 1:29:41.620]  Today who weren't voting or paying attention in 2008 don't realize that like
[1:29:42.340 --> 1:29:46.580]  There was a very good chance Sarah Palin was going to be president right because you know McCain
[1:29:46.740 --> 1:29:50.340]  Yeah, McCain still around now, but at the time everyone's looking at McCain saying he's not in great health
[1:29:50.420 --> 1:29:54.100]  He's pretty old. He was like one of the oldest people to run for president
[1:29:54.100 --> 1:30:00.580]  Well, and there was a tremendous and I think well grounded fear that the polling numbers might be severely off
[1:30:00.980 --> 1:30:06.020]  Because there were an awful lot of people who wouldn't want to tell a pollster that they wouldn't vote for the black guy
[1:30:06.020 --> 1:30:09.460]  But when they go in it in the privacy of the voting booth would
[1:30:10.580 --> 1:30:14.500]  There was a very real chance that McCain and Palin were going to win and
[1:30:15.220 --> 1:30:18.820]  And because of McCain's age and health there was a good chance
[1:30:18.820 --> 1:30:22.740]  He might not make it a for a full eight years and that she might become president like
[1:30:22.740 --> 1:30:27.460]  The these were really like non-trivial possibilities and when I'd write about her man
[1:30:27.460 --> 1:30:33.540]  People would just certain subset of people would just go not and it was funny because some of them were clearly themselves
[1:30:33.540 --> 1:30:36.980]  Very low IQ but others were not others were you know
[1:30:36.980 --> 1:30:42.740]  But that you know there because that's their side and and they'd say you know if she was a Democrat
[1:30:42.740 --> 1:30:48.980]  You love it. It's like no if she was if I'm not that partisan. It's like my politics are certainly not conservative, but I'm not
[1:30:50.660 --> 1:30:55.860]  You know if if if of true moron ran on the Democratic ticket, I would do the same thing
[1:30:56.660 --> 1:30:59.380]  Like it's way more dangerous way more dangerous
[1:30:59.380 --> 1:31:03.540]  I prefer to have a Democrat in the White House than a Republican. I do
[1:31:04.020 --> 1:31:06.020]  But I would much rather have
[1:31:06.740 --> 1:31:09.380]  any Republican of reasonable intelligence
[1:31:10.420 --> 1:31:12.420]  And a moron who's a Democrat
[1:31:13.140 --> 1:31:17.220]  I think that's terrifying like you know because when the Democrats sell out the public
[1:31:17.620 --> 1:31:23.860]  They at least try to do it quietly and and in subtle in more subtle ways that are less likely be traced back to them
[1:31:24.420 --> 1:31:28.820]  The Republicans have have learned that they can sell out the public in public
[1:31:28.820 --> 1:31:29.940]  like
[1:31:29.940 --> 1:31:31.140]  you know
[1:31:31.140 --> 1:31:33.940]  Brashley they can they can just they can do
[1:31:34.740 --> 1:31:38.020]  Things that seem ridiculous to to thinking people
[1:31:39.380 --> 1:31:46.500]  But they can get away with it because no one cares it like they just the public does not give a crap and so
[1:31:47.060 --> 1:31:53.220]  They just they can they can do it really at least at least the Democrats give us the illusion that they are like that
[1:31:53.220 --> 1:31:56.340]  They have us in mind which of course they don't but at least they give us that illusion
[1:31:56.340 --> 1:31:58.340]  and
[1:31:58.340 --> 1:32:00.340]  Here's Mark Oeg's
[1:32:00.340 --> 1:32:06.820]  Proving in the email I'll get in the coming seven days exactly why I made the right choice into that totally no
[1:32:06.820 --> 1:32:14.100]  And I think I think it's best for for you and I to keep doing what we already do with this issue which is like
[1:32:14.980 --> 1:32:16.980]  for truly important issues
[1:32:16.980 --> 1:32:18.980]  blog about them on our tech blogs
[1:32:20.180 --> 1:32:22.980]  Because if you know if we if either of us had a political blog
[1:32:22.980 --> 1:32:28.500]  The only people who would read it would people who agree with us. Yeah, it's true basically or and yeah
[1:32:28.500 --> 1:32:32.180]  They are be occasional drive by trolls who wanted to yell at us, but that doesn't really do anything
[1:32:32.660 --> 1:32:36.820]  And so I think I think you could make more of a difference
[1:32:37.540 --> 1:32:41.220]  For a cause you care about by not usually being political and
[1:32:41.940 --> 1:32:47.620]  Choosing occasional times where it's worth it to be and then you kind of trick some people who don't agree with you into seeing that opinion
[1:32:48.020 --> 1:32:51.300]  Yeah, here's the thing I keep thinking about when I look back at it
[1:32:51.300 --> 1:32:57.860]  I think that I wish that our system were set up in a way that it would be a lot easier for whoever won the last election to get
[1:32:58.100 --> 1:33:00.100]  Whatever shit done that they want and
[1:33:00.420 --> 1:33:02.420]  And if it turns out to be unpopular
[1:33:02.980 --> 1:33:07.700]  They're gonna get voted out and whoever comes in next can undo it. I think there should be a lot more
[1:33:10.420 --> 1:33:17.140]  Of that whereas we've got a system now where it's like nothing happens right like one one major. I know I'm
[1:33:17.140 --> 1:33:22.340]  Exaggerating to some extent, but really only one major thing has happened since Obama
[1:33:22.980 --> 1:33:28.900]  Was elected president, which is the health care reform. All right, and look at how well that like everyone keeps trying to repeal that
[1:33:29.140 --> 1:33:34.580]  Somehow it's just chemical, you know, but and that's one thing right and yeah, it's a big thing
[1:33:34.580 --> 1:33:39.860]  But still like that somebody's gonna say, you know, it's because you know that people are gonna email me and say
[1:33:39.860 --> 1:33:45.300]  It's because Obama's a terrible president and a bad leader blah blah blah, but it's not it's because it's so the system is set up in a way
[1:33:45.300 --> 1:33:50.180]  That nobody can get anything done Bush didn't get much done other than start the wars in terms of major
[1:33:50.820 --> 1:33:59.140]  Accomplishments because it was like this thing that both sides could somehow for a few brief years. It was like everybody felt like we had to get behind them
[1:34:01.140 --> 1:34:06.420]  I'm not saying I was behind it, but I'm just saying that like Democrats who were in the Senate and House also voted for it
[1:34:06.740 --> 1:34:10.500]  It was something that but other than that not much, you know, nobody passes anything
[1:34:10.500 --> 1:34:11.380]  I think it would be so much better
[1:34:11.380 --> 1:34:18.660]  And I say this knowing that in my lifetime there will be republican presidents and republicans control of the House and Senate
[1:34:19.140 --> 1:34:20.660]  And all those things have been flow
[1:34:20.660 --> 1:34:24.740]  I'd rather see even the republicans get to get more of their stuff done while they're
[1:34:25.460 --> 1:34:26.740]  winning
[1:34:26.740 --> 1:34:33.220]  And vice versa then the current system which seems to be set up basically around the idea of let's try to make sure nobody can do anything
[1:34:33.860 --> 1:34:38.100]  Yeah, it seems like there there are some like security holes and in the procedures
[1:34:38.100 --> 1:34:42.260]  In congress where like you know, it's very easy for
[1:34:43.060 --> 1:34:49.460]  For a party to block everything ever even when they're not really in power like the whole filibuster thing and certain majority rules
[1:34:49.540 --> 1:34:51.540]  Like there are certain things where like it's just
[1:34:52.500 --> 1:34:56.260]  It seems like when these rules were considered or made or implemented
[1:34:56.340 --> 1:34:59.540]  It was not really it was not really a thought put into it that
[1:35:00.340 --> 1:35:04.580]  What if one party or the other just decides to block everything for a decade
[1:35:04.580 --> 1:35:08.980]  Like it just says no to everything that party ever does for a decade and no one ever compromised on and out on anything
[1:35:08.980 --> 1:35:13.140]  Like I think that thought never crossed anyone's mind before because it never really happened before
[1:35:13.620 --> 1:35:16.180]  Yeah, and now that now we're being shown
[1:35:16.900 --> 1:35:21.780]  Oh, this is kind of a problem because we can't get anything done even things that are fairly moderate
[1:35:22.100 --> 1:35:24.500]  Like we can't even get moderate things past
[1:35:25.540 --> 1:35:30.740]  So yeah, I could use some rethought like some some some rule changes in congress
[1:35:30.740 --> 1:35:36.820]  Just just to just to make it so that it's possible to get something through you know for for whoever has an
[1:35:37.380 --> 1:35:42.260]  The technical majority. Yeah, and I think in terms of looking at a career as a you know
[1:35:42.980 --> 1:35:46.260]  Podcasting host and a columnist on a blog
[1:35:46.900 --> 1:35:48.820]  You know that that's what I mean when I say it to me
[1:35:48.820 --> 1:35:50.820]  It's just it would be it would be too boring
[1:35:50.900 --> 1:35:53.140]  I think I you know I might have burned down on it
[1:35:53.140 --> 1:35:55.620]  Not because I would have worked harder at it or that it would have been
[1:35:56.180 --> 1:35:58.580]  More stressful it I think I would have burned out from boredom
[1:35:58.580 --> 1:36:01.140]  You know like I think what makes what we talk about in general
[1:36:01.380 --> 1:36:04.100]  Interesting is how quickly things can change you know
[1:36:04.260 --> 1:36:06.260]  I mean just look at the phones alone
[1:36:06.580 --> 1:36:08.580]  That we've gone from a world
[1:36:08.580 --> 1:36:14.980]  You know where the iPhone didn't exist seven years ago or I guess it would just come out a couple weeks ago
[1:36:15.460 --> 1:36:16.820]  Seven years ago
[1:36:16.900 --> 1:36:22.340]  To a world where IBM and Apple are selling iPhones together to corporate customers. It's crazy
[1:36:22.980 --> 1:36:24.980]  Yeah, that's pretty nuts
[1:36:24.980 --> 1:36:27.380]  All right, let me thank our second sponsor. It's our good friends at
[1:36:27.380 --> 1:36:29.700]  Linda.com
[1:36:29.700 --> 1:36:30.900]  LY
[1:36:30.900 --> 1:36:32.900]  NDA.com
[1:36:34.100 --> 1:36:40.580]  Linda.com is a great site helps you learn and keep up to date with all of your software
[1:36:41.380 --> 1:36:48.260]  Pick up new skills explore new hobbies with their easy to follow very professional video tutorials
[1:36:48.740 --> 1:36:56.260]  And they cover everything you can imagine anything you think that a site like this could or should have as a video tutorial
[1:36:56.260 --> 1:37:01.380]  They've got it how to become a better photographer, you know, how to use cameras how to
[1:37:02.020 --> 1:37:07.300]  Learn a new programming language like objective C. I don't know if they have a swift one up yet. You know
[1:37:08.180 --> 1:37:11.220]  Maybe I haven't looked yet. I'm not sure. I'll if they don't have it now
[1:37:11.220 --> 1:37:17.780]  I know that they're gonna have it soon because they work fast. I remember last year they had Iowa seven stuff really fast
[1:37:19.060 --> 1:37:25.380]  2400 courses all of them taught by industry experts with more than added weekly
[1:37:25.380 --> 1:37:34.100]  Courses for all experience levels beginner or advanced and you get all of this for one low monthly price of 25 bucks
[1:37:34.420 --> 1:37:37.300]  Unlimited access to the whole Linda.com library
[1:37:38.100 --> 1:37:42.100]  Great that's you know 25 bucks a month is nothing, but what it means is
[1:37:42.820 --> 1:37:48.980]  You don't have to sit there and worry. Hey, I don't know if I want to spend three bucks on this one
[1:37:48.980 --> 1:37:53.620]  I don't know if I want to spend another three, but you're already in you've got your $25 a month
[1:37:53.620 --> 1:37:58.500]  Subscription, you're not sure if a course is right for you. Just start playing it because you're in and you can see
[1:38:01.460 --> 1:38:05.780]  Just anything you can imagine here's one of the things they've called out for me is that for final cut pro users
[1:38:05.780 --> 1:38:09.380]  You can check out their most recent the new features and final cut pro X
[1:38:12.340 --> 1:38:16.860]  And learn how to create polished effects driven commercial video of your own
[1:38:18.900 --> 1:38:20.900]  Amazing stuff
[1:38:20.900 --> 1:38:26.660]  Here's the best thing now the best thing though is that they have a seven-day free trial for listeners of the show
[1:38:26.900 --> 1:38:28.900]  Go to Linda.com
[1:38:28.900 --> 1:38:31.700]  The talk show Linda.com with a Y
[1:38:32.420 --> 1:38:38.420]  Slash the talk show and you get a seven-day free trial. So you don't have to cough up any money up front just
[1:38:39.300 --> 1:38:43.300]  Anything that might interest you go there use that URL
[1:38:43.940 --> 1:38:49.780]  Seven days watch a whole bunch of video and at the end of it. I guarantee it. You'll be in you'll sign up
[1:38:49.780 --> 1:38:54.100]  So just go there Linda.com slash the talk show and check it out for yourself
[1:38:56.260 --> 1:38:58.260]  Great sponsor
[1:38:58.260 --> 1:39:01.300]  Speaking of commercials, you know who what I saw the other day blew me away
[1:39:02.020 --> 1:39:03.700]  I'm in a bar
[1:39:03.700 --> 1:39:09.620]  With Amy having a drink and on on the TV behind the bar. It's showing ESPN and
[1:39:10.420 --> 1:39:15.620]  You know, I see a TV. I'm gonna pay attention to it and all of a sudden Adam Lisa Gore is on TV. Oh
[1:39:15.620 --> 1:39:22.420]  Yeah, for what that there's a commercial that he shot a sandwich video for a company called true car
[1:39:22.420 --> 1:39:28.660]  TR U E C A R it's the future of car buying. I actually haven't watched the whole thing
[1:39:28.660 --> 1:39:30.740]  I was in a bar. I couldn't hear it all I did was see him
[1:39:32.180 --> 1:39:35.300]  Now his videos have gone on real TV like national TV
[1:39:35.860 --> 1:39:40.020]  That's gotta be like that's definitely strange thing to see like your friend all of a sudden up here on TV
[1:39:40.020 --> 1:39:43.940]  I went nuts. I think I'm usually a pretty, you know, I was like that
[1:39:43.940 --> 1:39:47.220]  I know that guy that's my he's been on my show
[1:39:47.940 --> 1:39:50.340]  Right guy and there he is up there
[1:39:50.580 --> 1:39:55.380]  And it's just a classic sandwich video there. He's the spokesman. He's in it. He's all you know
[1:39:56.180 --> 1:39:58.180]  That's awesome. I
[1:39:58.580 --> 1:40:03.700]  Am so happy for him for everything. He's like I remember back when he was you know before he started sandwich video
[1:40:04.260 --> 1:40:07.940]  He was just doing like video work for people and he didn't seem like he was that happy doing it
[1:40:07.940 --> 1:40:09.460]  I don't want to you know, I don't want to put words in his mouth
[1:40:09.460 --> 1:40:15.060]  But it seemed like he was he was not incredibly happy with his previous jobs and he
[1:40:15.940 --> 1:40:18.340]  He did this thing on his own and it's just exploded
[1:40:18.900 --> 1:40:24.340]  He is because like now everyone sees how cool he is like at his his style
[1:40:25.060 --> 1:40:31.540]  How talented he is and how good his work is and and his unique like style and voice that he puts into these things
[1:40:32.020 --> 1:40:36.260]  That are so appealing to so many people like it's so great to see your friends have that kind of success
[1:40:36.260 --> 1:40:40.260]  And he's like the nicest guy in the world. You know, it couldn't happen to be a better guy
[1:40:40.260 --> 1:40:44.980]  No, he's such a thrill, but it's so it's so because to it's like
[1:40:47.940 --> 1:40:52.820]  Who would have thought that he you know, he just doesn't look like what you think of as celebrity pitch man
[1:40:53.380 --> 1:40:56.340]  Right, he's and he's like deadpan and like so like muted
[1:40:56.420 --> 1:40:58.420]  Right, and and it works and it works really well
[1:40:58.420 --> 1:41:03.460]  I mean we we you know, we you know, we all thought that you know like internet nerds because when you would see his videos previous videos
[1:41:03.460 --> 1:41:07.060]  And love them, but yeah, I think it's it's a surprise
[1:41:07.700 --> 1:41:12.340]  In a very good way that wow everyone else feels this way too. It's it's like it like
[1:41:13.940 --> 1:41:19.860]  Nerdy smart stuff like what we so often like around these parts is now popular everywhere
[1:41:20.820 --> 1:41:26.100]  It was so funny like I was making the directory in overcast and I had like we put together directory a few days ago and and
[1:41:27.300 --> 1:41:30.580]  Jason Snell suggested this category titled pop culture
[1:41:30.580 --> 1:41:34.420]  and almost everything in it is about geek culture
[1:41:35.620 --> 1:41:37.700]  And part of that's because Jason snell's a geek like us
