[00:00.000 --> 00:06.720]  Ah Craig's good to hear your voice. Yeah. Likewise. It's been a while since we talked. Yeah
[01:17:15.740 --> 01:17:20.700]  I i've had to update that since because the way those meta tags have worked for the viewport size. Uh,
[01:17:21.580 --> 01:17:29.420]  Like the the curse of daring fireballs existing design is that it's one double tap away from being right pretty good
[01:17:29.500 --> 01:17:32.060]  Yeah, that's right in large part
[01:17:32.060 --> 01:17:34.060]  Uh
[01:17:34.540 --> 01:17:36.640]  I I would say at least 85
[01:17:37.740 --> 01:17:44.460]  Maybe at least probably around 85 of what it would look like if it were responsive just by double tapping the column. Yep
[01:17:45.260 --> 01:17:52.220]  But the thing that bugs me the most is when I tap on the quoted part and then the the text around it
[01:17:52.780 --> 01:17:55.500]  Right falls out off the edges and it's like, uh
[01:17:55.500 --> 01:18:01.180]  So, but yeah, you're you're you're close and I yeah, I do remember that. Uh, that made a tag. It's your fault
[01:18:01.980 --> 01:18:08.140]  Right if daring fireball had looked a completely unreal. Do we want to give everybody my email address so they can pitch to me?
[01:18:08.540 --> 01:18:09.740]  No
[01:18:09.740 --> 01:18:12.700]  I well I but that's the thing that it's it's
[01:18:13.580 --> 01:18:17.500]  For a non-responsive site. It's about as good as it could get, you know
[01:18:17.500 --> 01:18:21.340]  So I don't you know people complain and people and when it becomes responsive and it will
[01:18:21.340 --> 01:18:24.380]  I'm sure people will be thank you. This is great. Um,
[01:18:24.940 --> 01:18:29.580]  Oh, you know, but who knows i'll probably get just as many complaints because the fonts will change at the same time. Uh,
[01:18:30.780 --> 01:18:31.740]  but
[01:18:31.740 --> 01:18:38.700]  It'll happen, but it's it's the fact that it's in my opinion pretty darn good as is is makes it easy to say
[01:18:38.700 --> 01:18:43.340]  Well, this is it's never quite rises up to the here's how I should spend the next two weeks
[01:18:43.340 --> 01:18:49.340]  You know, I got a got a question for you. Somebody who used to have a website has a dark background with light text
[01:18:49.340 --> 01:18:52.380]  Um, and somebody who got older are you having trouble reading?
[01:18:53.260 --> 01:18:57.500]  The site these days with the the light text on the dark background
[01:18:58.460 --> 01:19:03.420]  no, I still find that the color schema during fireball is from my eyes at least is is
[01:19:04.300 --> 01:19:10.860]  More readable than the opposite. Yeah, that's because it's not super high contrast exactly not yeah
[01:19:10.860 --> 01:19:15.580]  Yeah, that's I think that's the thing. I mean the icon factor used to be like black black
[01:19:15.580 --> 01:19:20.700]  with white and
[01:19:21.580 --> 01:19:23.580]  you know orange hyperlinks and
[01:19:24.060 --> 01:19:26.060]  it was when we
[01:19:26.460 --> 01:19:32.860]  Retired that site. It was like oh, thank god because you know, the contrast was killing me. It's like I I
[01:19:33.580 --> 01:19:38.700]  Was in my 40s and it's like my eyesight started to deteriorate and it's like oh, what do we do here?
[01:19:40.300 --> 01:19:43.500]  You know, I see I in fact I see a lot of design that
[01:19:43.500 --> 01:19:49.020]  by designers who are in their 20s or early 30s and have great eyesight and
[01:19:50.540 --> 01:19:56.380]  Make decisions based upon that and don't realize that you know a large portion of their audience is
[01:19:58.140 --> 01:20:00.140]  Not got their good eyesight
[01:20:01.260 --> 01:20:07.820]  The uh curse of it is that I still I love my my taste in graphic design runs towards uh,
[01:20:07.820 --> 01:20:13.980]  Very small print and on not even really online online. It's always been frustrating for me because I couldn't make it small enough
[01:20:13.980 --> 01:20:19.500]  Like I that's one of the things I missed from print design is I love putting truly tiny type into designs
[01:20:20.140 --> 01:20:25.180]  Inappropriate like little in jokes or you know footnotes and stuff like that. Um,
[01:20:25.900 --> 01:20:32.460]  But you know at this point, you know at a very young age. I've I've got the presbyopia where it it's really really hard for me to read
[01:20:32.460 --> 01:20:38.780]  It's really really hard for me to read it. Well, you've also got the display preference too that I've made, right?
[01:20:38.780 --> 01:20:42.300]  How many people actually scroll down to the bottom and see display preferences there?
[01:20:43.100 --> 01:20:48.140]  Uh, very few so anybody who doesn't know if you do think that the type on during fireball is too small if you go to
[01:20:48.540 --> 01:20:50.220]  during fireball.net
[01:20:50.220 --> 01:20:54.220]  Prefs, you don't don't even hunt for the link, but it's at the bottom of the page
[01:20:54.220 --> 01:20:59.340]  It says display preferences and actually I think there's it's down to one preference there used to be more
[01:20:59.340 --> 01:21:03.340]  Yeah, it's like font size save
[01:21:03.420 --> 01:21:07.260]  Can I tell you a story I I there used to be a thing in here for
[01:21:08.300 --> 01:21:10.300]  Uh, this is totally off
[01:21:10.460 --> 01:21:14.860]  Off topic, but it's interesting to me and maybe people who I haven't wanted to write about it
[01:21:14.860 --> 01:21:17.740]  But if I talk about it, maybe I can get this fixed. I don't know
[01:21:18.460 --> 01:21:20.460]  uh
[01:21:20.540 --> 01:21:23.660]  There used to be a preference in here where you could set your amazon country
[01:21:23.660 --> 01:21:30.220]  And I had a script so that whenever I linked to an amazon product it would based on that preference setting
[01:21:30.540 --> 01:21:33.420]  Put a link in with my amazon
[01:21:34.220 --> 01:21:36.940]  Affiliate code for that country. I think there were only three
[01:21:36.940 --> 01:21:39.100]  I think the only I didn't bother going all the way around the world
[01:21:39.100 --> 01:21:42.300]  but I took like the top three countries for daring fireball readers, which are
[01:21:43.660 --> 01:21:45.660]  The us canada and the uk
[01:21:46.460 --> 01:21:48.780]  Uh, very few people ever did it for the uk
[01:21:48.780 --> 01:21:54.540]  but I at one point early on as when daring fireball went when I went full-time with it the amazon revenue was
[01:21:55.500 --> 01:22:00.700]  It was it was like a multi. It's good. It was good money. Yeah, it's it's right
[01:22:00.700 --> 01:22:05.100]  It was never ever anywhere close to something I depended on but it was you know
[01:22:05.100 --> 01:22:10.060]  a little bit it was a little bit here a little bit there a little bit there and you know, it contributed to
[01:22:10.540 --> 01:22:14.700]  It's not it's not paying your rent, but it'll pay for a couple of good dinners every month
[01:22:14.700 --> 01:22:22.460]  Yeah, right. And the the importance of that revenue as a percentage of daring fireballs over revenue slipped every year and I also
[01:22:23.340 --> 01:22:25.820]  started feeling in recent years
[01:22:27.180 --> 01:22:34.940]  Very recent years that it was maybe not a great idea for me to put amazon links in there because amazon has become more
[01:22:34.940 --> 01:22:36.940]  Of a company that I write about
[01:22:37.740 --> 01:22:41.740]  Editorially, like I don't do conflict of interest kind of thing. Yeah
[01:22:41.740 --> 01:22:47.180]  Right, just you know, not in a big way, you know, but in a little way, you know
[01:22:47.180 --> 01:22:51.900]  Like maybe it's just a little better if if I don't and I I also thought
[01:22:52.860 --> 01:22:57.980]  This way when I link I so for years now, i've just linked to amazon without my code
[01:22:58.860 --> 01:23:01.100]  Usually every once in a while. I think yeah what the hell put it in
[01:23:01.580 --> 01:23:06.940]  But whenever I put it in I always feel like I should say and sometimes I have said that's a promotional, you know
[01:23:06.940 --> 01:23:09.980]  Put in parentheses. That's a promotional link and i'll get a few promotion links
[01:23:09.980 --> 01:23:14.860]  That's a promotional link and i'll get a few percent of whatever it is that you buy if you click it
[01:23:15.420 --> 01:23:16.780]  um
[01:23:16.780 --> 01:23:20.860]  But I haven't I I just i've just gotten away from it and my amazon affiliate revenue
[01:23:21.660 --> 01:23:23.020]  used to be maybe
[01:23:23.020 --> 01:23:26.620]  you know like a thousand dollars a month and sometimes maybe around christmas like
[01:23:27.260 --> 01:23:28.460]  It would be like, you know
[01:23:28.460 --> 01:23:33.580]  like I I think I think the most it ever was is maybe like three or four thousand dollars in a month for december because
[01:23:33.660 --> 01:23:37.180]  I would put like a hey, here's a couple of top selling holiday items
[01:23:37.180 --> 01:23:42.380]  And if you click any of these links, you'll you'll this is maybe like 10 years ago eight nine ten years ago
[01:23:42.780 --> 01:23:45.740]  Uh, anyway long story short about two months ago
[01:23:46.300 --> 01:23:54.540]  I got a note from amazon an email that said that I violated their clause by telling people to click on a link
[01:23:55.260 --> 01:23:56.300]  oh
[01:23:56.300 --> 01:23:57.420]  and
[01:23:57.420 --> 01:24:03.340]  And they've terminated my account. It was and I searched there were no other I never got a warning
[01:24:03.340 --> 01:24:07.340]  I didn't ignore. I I mean because this is very common for me. I have so many unread emails
[01:24:08.060 --> 01:24:14.140]  It was one shot and done. I'm out of the amazon affiliate program. Yeah, they've done
[01:24:14.300 --> 01:24:17.660]  They want to avoid click baiting, right? It's like well, it's uh, but
[01:24:18.460 --> 01:24:23.740]  But when did I thought well when the hell did I ever do that? And I found one article that was back in like
[01:24:24.460 --> 01:24:26.460]  2004
[01:24:26.460 --> 01:24:32.860]  Maybe when I first started using amazon affiliates and then what I did there was technically against and I guess against
[01:24:32.860 --> 01:24:38.400]  Against what they're saying I did but it was a 2004 article and not one. That's like an evergreen
[01:24:39.340 --> 01:24:47.100]  Uh, very popular article that that people keep looking linking on and i'm sure that somehow they ran some automated tool that uncovered that article
[01:24:47.740 --> 01:24:54.460]  But it was 12 years old or somebody didn't like something you said and they went looking for something to
[01:24:55.100 --> 01:25:01.100]  Maybe but I don't think amazon doesn't strike me. You never know. Yeah, you never know but it's
[01:25:01.100 --> 01:25:06.220]  It's it's good, but they could have also you don't rely on it, right? It's also it's great
[01:25:06.220 --> 01:25:09.360]  You know that you don't you know, you've got your sponsors
[01:25:10.620 --> 01:25:13.580]  And that pays for your writing and that's awesome, right?
[01:25:13.660 --> 01:25:15.420]  You're in a awesome position
[01:25:15.420 --> 01:25:18.060]  They could have looked and seen that and I would say for the last year or so
[01:25:18.060 --> 01:25:22.780]  I've had maybe like a hundred to two hundred dollars a month in revenue from amazon affiliate
[01:25:22.780 --> 01:25:25.580]  so it's cutting off a very small portion of it, but
[01:25:26.140 --> 01:25:28.140]  I thought that the what the
[01:25:28.140 --> 01:25:30.940]  They didn't cut off everything. They only cut off a portion
[01:25:31.820 --> 01:25:34.140]  no, they cut off every they did my my
[01:25:35.180 --> 01:25:41.740]  You know, basically it's tagged no longer works. Okay. Okay, that makes sense. That's it. It's completely out. Yes
[01:25:41.900 --> 01:25:43.900]  it's the equivalent of
[01:25:43.900 --> 01:25:49.900]  One, you know like having like the apple equivalent of you know, like what they did to the dash developer, you know, you're out
[01:25:50.540 --> 01:25:55.820]  Yeah, you're done with no warning and and and they even I think the email even said there's no you know
[01:25:55.820 --> 01:25:58.300]  There is no there is no recourse, you know
[01:25:59.100 --> 01:26:02.140]  there's no work, you know, there was nothing like if you would like to uh,
[01:26:03.100 --> 01:26:10.460]  You know, uh, no appeal no nothing. Yeah, right you're out and then it ended with like have a nice day. I swear to god
[01:26:12.540 --> 01:26:14.220]  Hope you have sponsors
[01:26:14.220 --> 01:26:15.020]  Thank you, right
[01:26:15.020 --> 01:26:19.820]  So if there's anybody at amazon who's listening to the show who thinks that's kind of fishy, you know
[01:26:19.900 --> 01:26:24.780]  Write to me at daring fireball and I would love to have a communication about not so much that I even care
[01:26:24.780 --> 01:26:26.540]  I want to put it back on but
[01:26:26.540 --> 01:26:31.180]  i'd love to know more about what happened with this because it's to me very curious and
[01:26:31.740 --> 01:26:32.540]  You know
[01:26:32.540 --> 01:26:37.900]  It seems like these things get publicized a lot when apple does it to people and i've never seen anybody complain about this with
[01:26:37.900 --> 01:26:43.580]  Amazon before but there are other sites that are completely and utterly dependent upon their amazon affiliate revenue
[01:26:43.580 --> 01:26:47.660]  I mean, it's pretty much the secret to like the wire cutter and and their business model. Yep
[01:26:48.140 --> 01:26:53.280]  Yep, kotki is another case where you know, you yeah, that's a the gift recommendations
[01:26:53.280 --> 01:26:56.240]  and as you know, every one of those is going to come up with the
[01:26:56.960 --> 01:27:02.880]  The awesome his old oscillate domains, you know, it's like you see that and it's like okay good Jason making some money there
[01:27:03.040 --> 01:27:05.760]  Awesome. Um, I don't know. I thought that was kind of odd
[01:27:06.480 --> 01:27:11.680]  Did you see this thing, uh moving on you see this story about the uber self-driving car that ran like san francisco
[01:27:11.680 --> 01:27:13.680]  Yeah, that's pretty funny
[01:27:13.840 --> 01:27:17.840]  I will put a link in the show notes one thing that I thought was wow, that's scary
[01:27:18.560 --> 01:27:21.280]  To the video was shot by like a cabs dashboard cam
[01:27:21.280 --> 01:27:27.200]  Uh, and it really did show a a volvo an uber self-driving volvo with the whole big
[01:27:27.360 --> 01:27:31.520]  It's very obvious because it had the the self-driving rig dingus on top. Yeah
[01:27:32.480 --> 01:27:35.120]  Yeah, yeah, it's a real big dingus on top and it just
[01:27:36.000 --> 01:27:40.880]  Sails right through a red light like three seconds after it went red and it's pretty close to a pedestrian too, right?
[01:27:40.960 --> 01:27:46.240]  You can see the person that's like, you know, okay, it's two or three feet away, but you know, hey
[01:27:46.240 --> 01:27:52.560]  You know, we we've all been crossing the street in a city and have a close call and think well
[01:27:52.720 --> 01:27:55.520]  Yeah, the other that could have been me the other thing that could have been ended badly
[01:27:56.560 --> 01:28:01.520]  Right. And the other thing that struck me in terms of that could have been me is that's right at the part of san francisco
[01:28:01.600 --> 01:28:06.720]  Where we always go it's like right by the w exactly right in front of the museum. I think it was
[01:28:07.600 --> 01:28:11.380]  Right right right in front of the moma which is right around the corner from moscone
[01:28:11.380 --> 01:28:18.020]  And is there for like I mean for those of us who just yeah, we could have been drinking for the last six hours, right?
[01:28:22.180 --> 01:28:28.740]  It's part of that whole south of market union square area where people who go for moscone related events
[01:28:28.820 --> 01:28:34.020]  You know, you just tend to become familiar with it was right there like it's i'm not familiar with most of san francisco
[01:28:34.020 --> 01:28:38.020]  But it's the part of san francisco i'm intimately familiar with. Yeah, although, you know, holy crap
[01:28:38.020 --> 01:28:41.540]  Although if you're drinking at the w or the st
[01:28:41.540 --> 01:28:46.500]  Regis or one of those places you're probably not having that much to drink because the drinks are so expensive. But yeah
[01:28:50.980 --> 01:28:55.460]  Here's the thing that struck me now i'll put a link into the show notes with this bloomberg story, but uh,
[01:28:55.620 --> 01:28:58.580]  uber pr uber spokesman matt wing
[01:28:59.380 --> 01:29:04.980]  Said in a statement now hats off to them for at least putting their spokesman's name in the statement unlike apple who almost never
[01:29:04.980 --> 01:29:10.820]  Puts the spokesperson's name and just attributes to an apple spokesperson. But anyway, this is the statement
[01:29:11.940 --> 01:29:14.020]  This incident was due to human error
[01:29:14.100 --> 01:29:18.180]  This is why we believe so much in making the road safer by building self-driving ubers
[01:29:18.340 --> 01:29:25.640]  This vehicle was not part of the pilot and was not carrying customers. The driver involved has been suspended while we continued to investigate
[01:29:26.580 --> 01:29:30.180]  And you think oh, so it wasn't, you know, like the driver ran the red light
[01:29:30.180 --> 01:29:36.500]  But I think no, I think this is the worst type of public relations statement possible
[01:29:36.740 --> 01:29:42.500]  Where I think this was very carefully calibrated word by word where you read it and you think oh
[01:29:42.820 --> 01:29:46.260]  So it was a human error. It was a human driver who ran the red light
[01:29:47.460 --> 01:29:52.260]  Whereas if you think about it if if it was the self-driving car that ran the red light
[01:29:53.220 --> 01:29:55.220]  Why the hell would the yeah, yeah
[01:29:55.220 --> 01:29:59.700]  This is what I think happened. I think this car was in self-driving mode
[01:29:59.700 --> 01:30:04.500]  I think they were lucky and there was I think they're not lying. I think there was no passenger
[01:30:05.380 --> 01:30:11.300]  At the moment because otherwise that would be just a blatant lie because it said quote was not carrying customers. So I think it was empty
[01:30:12.340 --> 01:30:16.740]  But I think the self-driving car went right through and when they say it was human error
[01:30:16.740 --> 01:30:23.300]  What they mean is that the the employee behind the wheel did wasn't paying attention because it was in self-driving mode and didn't manually
[01:30:23.300 --> 01:30:27.140]  Apply the brake when it was clear that the car was going to sail through the red light, right?
[01:30:28.020 --> 01:30:33.460]  That's what I think happened. I think it was a self-driving error. The self-driving car went right through the red light
[01:30:33.460 --> 01:30:38.820]  There was a pedestrian right in front of it who luckily, you know seemed to hear the car coming and you know
[01:30:39.700 --> 01:30:45.860]  Waited, uh, and they're saying it's human error because the human behind the wheel didn't manually apply the brake
[01:30:46.740 --> 01:30:51.460]  Yep, which would be I think would be an excruciatingly hard job. I really do
[01:30:51.460 --> 01:30:56.660]  If let's say you had to spend six hours in a self-driving car, that was 99 percent accurate
[01:30:57.540 --> 01:31:03.780]  Yeah, and to hit the absolutely it's like, you know those those those videos that show the uh,
[01:31:03.780 --> 01:31:05.780]  the teslas in their self-drive mode
[01:31:06.340 --> 01:31:07.300]  I
[01:31:07.300 --> 01:31:13.380]  Get so anxious with those and I can't take my hand or my eyes off of the the driver's hands
[01:31:13.380 --> 01:31:18.340]  Either that are clearly not touching the steering wheel. It's like, oh my god, what's gonna happen next?
[01:31:18.340 --> 01:31:20.740]  Oh my god, what's gonna happen next?
[01:31:20.740 --> 01:31:26.580]  Right, like it would be it's easy to drive a car for six hours and not run a red light or hit anybody because you're driving
[01:31:26.740 --> 01:31:28.740]  But to not be driving
[01:31:28.740 --> 01:31:30.740]  And have everything go fine
[01:31:31.460 --> 01:31:35.300]  Maybe for like five days, maybe you've done it five days in a row and nothing wrong has happened
[01:31:35.540 --> 01:31:37.940]  But to still be at a moment's notice to hit the brakes
[01:31:38.260 --> 01:31:43.700]  Yeah, I think it requires a level of concentration that I know I personally do not have now. I also know
[01:31:43.700 --> 01:31:50.260]  And you're probably you're probably also monitoring other things about the system right looking at you know dials and switches
[01:31:50.420 --> 01:31:52.420]  And you know, it's like, okay
[01:31:52.500 --> 01:31:56.580]  You could put me behind the wheel of a self-driving car for an hour
[01:31:57.380 --> 01:32:02.260]  And I would be I would be completely at paying attention because I would be it would be like holy shit
[01:32:02.260 --> 01:32:05.940]  This car is driving itself. I'm terrified i'm ready to go, right?
[01:32:06.020 --> 01:32:10.980]  I'd have my hands, you know, my fingers twitching ready to take the wheel my hand my foot on the brake
[01:32:10.980 --> 01:32:16.580]  You know ready to go because for like the first hour or so i'm going to be blown away and amazed and kind of scared
[01:32:16.820 --> 01:32:20.740]  After like, you know, 20 hours 30 hours, it becomes normal, right?
[01:32:21.460 --> 01:32:24.820]  it is very hard to be paying that level of attention to something that
[01:32:26.340 --> 01:32:29.940]  99.9 percent of the time you don't need to be paying attention to yeah
[01:32:31.460 --> 01:32:33.460]  it's interesting to me that that
[01:32:34.500 --> 01:32:37.460]  When you connect this piece of news with some piece of news
[01:32:38.260 --> 01:32:39.460]  the
[01:32:39.460 --> 01:32:42.020]  from what was it last week week before about
[01:32:42.820 --> 01:32:48.100]  The the actual cost of an uber trip is like 40 or 60 percent more than they actually charge you
[01:32:49.220 --> 01:32:51.220]  yeah, um
[01:32:51.300 --> 01:32:53.300]  If you connect those dots it's like
[01:32:54.660 --> 01:32:57.140]  Uber, you know anybody who runs a business knows that
[01:32:57.860 --> 01:33:03.780]  The cost of your employees is by far your biggest cost. Yeah, it's just that's where all the money goes
[01:33:04.980 --> 01:33:06.340]  so
[01:33:06.340 --> 01:33:11.860]  You know them saying this is why we believe so much in making the road safer by building self-driving ubers
[01:33:12.980 --> 01:33:18.600]  That's kind of bullshit, right? They believe in building self-driving ubers because it's going to make their business profitable
[01:33:19.220 --> 01:33:21.220]  right you can you can you can
[01:33:21.220 --> 01:33:22.100]  that
[01:33:22.100 --> 01:33:24.340]  Oh, it costs 40 or 60 percent
[01:33:24.980 --> 01:33:29.140]  Too much. Well, you know, you don't have to pay a driver sitting behind the wheel
[01:33:29.860 --> 01:33:30.900]  and
[01:33:30.900 --> 01:33:32.900]  all of a sudden the whole economic
[01:33:33.040 --> 01:33:35.040]  situation changes and
[01:33:35.040 --> 01:33:37.200]  You're making shit loads of money because
[01:33:38.080 --> 01:33:42.640]  You know, you have a one-time cost for that computer that drives the car
[01:33:43.280 --> 01:33:47.040]  You know, you you're you're you're calling your front cost of the computer and the car
[01:33:48.080 --> 01:33:54.080]  I think there is a hey, let's save lives and switch to self-driving cars. That is true
[01:33:54.240 --> 01:33:57.760]  There are way there are millions of people who are killed every year by automobile accidents
[01:33:57.760 --> 01:34:02.560]  and I truly and honestly believe that we will look back on that as and and and our
[01:34:02.560 --> 01:34:06.340]  Societies and my personal acceptance of it. I own a car I drive
[01:34:06.820 --> 01:34:07.940]  uh
[01:34:07.940 --> 01:34:13.460]  As barbarous. Yeah, like no, it's hopefully sooner rather than later. Hopefully it'll happen really soon
[01:34:13.940 --> 01:34:19.220]  And then maybe 10 years from now, maybe 15 maybe 20 at the most but I think we'll look back on it
[01:34:19.780 --> 01:34:22.420]  and and and I think it'll I think people who
[01:34:23.540 --> 01:34:28.820]  Who continue to insist on driving their own cars will start to be looked at as people who you know smoke around babies
[01:34:28.820 --> 01:34:34.580]  I really do because I do think that the I think the technology it's clear it's not here yet
[01:34:34.580 --> 01:34:39.400]  But it's clearly going to be here where a system where all the cars are automated
[01:34:40.180 --> 01:34:47.480]  Will and they network together. Yeah, they network together and and the safety improvements will be dramatic absolutely dramatic
[01:34:47.940 --> 01:34:50.260]  But I I think you're exactly right that uber's
[01:34:50.900 --> 01:34:52.900]  interest in this
[01:34:53.140 --> 01:34:53.860]  Yeah
[01:34:53.860 --> 01:34:59.460]  Very much primarily about the wages. They have to pay to a driver in every car and a bigger issue is our society is not
[01:35:00.580 --> 01:35:02.260]  prepared for this change
[01:35:02.260 --> 01:35:10.100]  Right when you think about okay, all of our transportation infrastructure is going to become automated. I mean compare that to our entire
[01:35:10.800 --> 01:35:17.300]  Manufacturing infrastructure becoming automated, you know robots are well in in production lines are putting people out of out of work
[01:35:17.780 --> 01:35:20.200]  Those people that are out of work become disenfranchised
[01:35:20.980 --> 01:35:22.980]  Those people that are disenfranchised
[01:35:22.980 --> 01:35:25.460]  do weird shit at the time when it
[01:35:26.260 --> 01:35:29.540]  Time to vote it ties back in ties back in with trumpism
[01:35:29.540 --> 01:35:34.660]  Where trump's story is that a bunch of good jobs all went to china and that we could bring those bad
[01:35:34.820 --> 01:35:38.420]  Bad jobs back to china and it's true that obviously a lot of stuff is made in china
[01:35:38.900 --> 01:35:43.380]  Or other countries in asia, but I there's a whole bunch of stuff if you read I mean, that's true
[01:35:43.380 --> 01:35:47.960]  It's but it's a more complicated story than that and that I've I've I think it's I think it's arguable
[01:35:47.960 --> 01:35:53.400]  And at least some people have made the argue based on facts that more manufacturing jobs in the u.s
[01:35:53.400 --> 01:35:57.320]  Have been lost to automation than to um, yep. Yep
[01:35:57.800 --> 01:36:02.440]  Now the fact that it's like a double whammy right and vocational training, you know
[01:36:03.000 --> 01:36:06.840]  Teaching people how to work in that new environment is just not there
[01:36:07.480 --> 01:36:11.480]  Right, that's what i'm saying. So, you know society isn't ready for it, you know, is it and you know
[01:36:11.480 --> 01:36:15.800]  All these truck drivers that you know that they haul all our shit cross country
[01:36:15.800 --> 01:36:22.440]  Uh, what are they gonna do? There's an awful lot of an awful lot of people. Let's face it mostly men, but you know
[01:36:23.400 --> 01:36:30.680]  Certainly a lot more women than there used to be who are truck drivers, but truck driving is is a large a very very common profession
[01:36:32.200 --> 01:36:36.920]  And it is I think going to be one of the first that goes away in the world of autonomous vehicles
[01:36:37.880 --> 01:36:39.880]  Yep
[01:36:39.960 --> 01:36:43.400]  Uh, and and it'll be it'll be better for all of us, right?
[01:36:43.400 --> 01:36:48.680]  It's like, you know, you think of it it when these vehicles are networked together, right? They know
[01:36:49.560 --> 01:36:52.440]  A lot more about each other than we do, right?
[01:36:52.440 --> 01:36:57.720]  You don't know what the intentions of the person driving in front of you is if that's a computer in front of you
[01:36:58.280 --> 01:37:05.160]  You can share your gps coordinates where your destination is where you've been. Oh so much gas you've got, you know
[01:37:05.160 --> 01:37:11.240]  There's all sorts of data that can be exchanged between these between these devices. It's like, you know, it's
[01:37:11.240 --> 01:37:17.800]  You know, it's a huge computers are way more interesting than a single laptop sitting on your desktop
[01:37:18.680 --> 01:37:24.520]  Right a huge source of car accidents and I think often non-fatal ones thankfully, you know once but but you know
[01:37:24.520 --> 01:37:29.720]  For all the fate of obviously the fatalities are the worst thing worst. I mean just you know, I don't have to yeah
[01:37:30.120 --> 01:37:36.040]  Emphasize why but the the minor ones the fender benders on a freeway that maybe nobody's hurt
[01:37:36.040 --> 01:37:40.680]  At all, but can you know cause you to be an hour and a half late for work?
[01:37:41.640 --> 01:37:45.480]  And you know simply a matter of paying attention it ruins your day and I think they're those
[01:37:45.720 --> 01:37:50.920]  They're the ones that are be the easiest. They're the ones that will be the easiest to avoid when every car involved is is
[01:37:51.880 --> 01:37:57.720]  Is autonomous? Yeah. Well, you've seen those those videos of you know, the wave propagation right one person taps on there
[01:37:57.880 --> 01:38:02.120]  Yeah on there on there their brakes somebody sees the red lights they tap on theirs
[01:38:02.120 --> 01:38:06.600]  So on and so on and you know that wave propagates to the point where the wave stops
[01:38:07.560 --> 01:38:12.680]  Right and you know, it's all happened to all of us. It's like, you know, why am I stopped on the freeway, right?
[01:38:12.680 --> 01:38:18.040]  Oh, there's got to be some accident up ahead of us, you know five minutes later, you know
[01:38:18.040 --> 01:38:20.040]  You're looking for this accident and it's not there
[01:38:20.840 --> 01:38:28.680]  Right. So, you know eliminate that and everybody's life gets a little easier except for the people that get paid to drive
[01:38:29.800 --> 01:38:31.000]  Yeah
[01:38:31.000 --> 01:38:32.200]  Yeah
[01:38:32.200 --> 01:38:35.080]  So there's a sci-fi everybody knows the sci-fi future
[01:38:35.160 --> 01:38:38.840]  The sci-fi future is very few people have to work and we have robots, you know
[01:38:38.920 --> 01:38:45.320]  It's a life of leisure for everybody and you know robot, you know, it's the uh, the people who live on the ship in wally
[01:38:45.880 --> 01:38:48.360]  right, just you know lounge about the the
[01:38:49.000 --> 01:38:51.000]  You know the pool deck all day long
[01:38:51.640 --> 01:38:55.320]  And robots bring you your food and you don't nobody has to work. Uh
[01:38:56.040 --> 01:38:58.040]  kill me
[01:38:58.040 --> 01:39:02.680]  Right, but there's there is a very painful period between here and there
[01:39:03.640 --> 01:39:09.640]  Because here it's expected that to be a successful person. You're gainfully and fully employed at a you know
[01:39:10.040 --> 01:39:12.040]  At a as high a wage as possible
[01:39:12.680 --> 01:39:14.680]  So, I don't know
[01:39:14.840 --> 01:39:16.200]  problems coming
[01:39:16.200 --> 01:39:17.240]  uh
[01:39:17.240 --> 01:39:22.360]  Let me take one last break here and and then afterwards we have a great thing to talk about your book
[01:39:22.920 --> 01:39:26.680]  But let me tell you right now about our third and final sponsor
[01:39:26.680 --> 01:39:32.040]  Our good friends at back blaze back blaze offers unlimited native backup for your mac and pc
[01:39:32.360 --> 01:39:37.960]  No credit card required to sign up. No risk 15-day free trial. Just go to back blaze dot com slash
[01:39:38.520 --> 01:39:42.120]  Daring fireball not the talk show not talk show daring fireball
[01:39:42.200 --> 01:39:46.600]  They just use that same code whether they're on the site or whether they're here on the the podcast
[01:39:48.360 --> 01:39:50.840]  You install it it's a great native
[01:39:50.840 --> 01:39:58.360]  System pref panel runs on your mac. It's written by former apple engineers. Uh, it doesn't mess up your system or gum it up
[01:39:58.360 --> 01:40:00.440]  Or anyway, it's not like some kind of gross thing, you know
[01:40:00.440 --> 01:40:08.120]  Like running something that runs in the background and does something it's it gives you the heebie-jeebies backblaze runs and it backs up everything
[01:40:08.440 --> 01:40:13.240]  Everything you want backed up if you have an external hard drive and it's like a big like four terabyte external hard drive
[01:40:13.240 --> 01:40:15.240]  You think well, I gotta pay extra for that. No
[01:40:15.640 --> 01:40:19.320]  It'll back it up. The only hits the only thing where it's like well that sounds too good to do
[01:40:19.320 --> 01:40:24.920]  The only hitch is that the more data you have the more external drives the longer it takes for that initial backup to get everything
[01:40:24.920 --> 01:40:29.480]  Up there. They can't beat bandwidth. Whatever your upstream is from your computer to the cloud
[01:40:29.800 --> 01:40:31.800]  That's how much can get backed up at a time
[01:40:32.360 --> 01:40:36.700]  So it might take a while for that initial backup, but then after that everything gets backed up incrementally
[01:40:37.960 --> 01:40:42.680]  They have iphone apps android apps a website where you can access your backup
[01:40:42.680 --> 01:40:46.760]  So if you're out and about and you're on your iphone and you need like one file
[01:40:46.760 --> 01:40:52.600]  Just to send somebody you can use the back blaze app log in get that file email it off or send it by text message
[01:40:52.600 --> 01:40:53.720]  Or whatever
[01:40:53.720 --> 01:40:55.720]  Catastrophe strikes something happens
