[00:00.000 --> 00:03.000]  You know, I can't believe I missed the holiday party again.
[01:59:30.000 --> 01:59:38.000]  And they're like, you know, for 3D and VR and stuff like that, this hardware is kind of not good enough.
[01:59:38.000 --> 01:59:46.000]  And for gaming, it's certainly not good enough. But Apple has made that decision for years now of like, we don't care if it's not good enough for gaming.
[01:59:46.000 --> 01:59:52.000]  We don't optimize for gaming. So I guess what I'm saying is, it could be that Apple's miscalculated here.
[01:59:52.000 --> 02:00:01.000]  But it could also be that what we're hearing is the people who are basically being told by Apple, we're not going to make a computer that will satisfy you.
[02:00:01.000 --> 02:00:07.000]  And Apple's not wrong to make that decision necessarily. And they're definitely not wrong to be angry about it.
[02:00:07.000 --> 02:00:15.000]  But it's not a sign that this was a misfire, that some people are going to buy a PC because Apple can't satisfy them.
[02:00:15.000 --> 02:00:26.000]  I think that it's also the case that Apple designs to eliminate, makes choices for their customers because they truly believe that they know better.
[02:00:26.000 --> 02:00:36.000]  And they want to keep customers from making a mistake. By which I mean, let's say you go into the Apple store and you've got the money to spend.
[02:00:36.000 --> 02:00:47.000]  And you want to buy the best MacBook Pro that you can get or the best MacBook, let's say, in case they had a different name like the MacBook Plus or whatever.
[02:00:47.000 --> 02:00:52.000]  Obviously, there are some truly expert users, game developers, like you said, people who really do know exactly.
[02:00:52.000 --> 02:00:57.000]  Yes, I don't care if I only get five hours of battery life instead of 10. I want the machine that has this power.
[02:00:57.000 --> 02:01:07.000]  I think Apple knows that there's other people who would come in and say, well, if this machine is $2,500 and this other machine is $2,500 and thicker and heavier,
[02:01:07.000 --> 02:01:14.000]  but look at the specs. It's got more gigahertz. It's got more RAM. That's clearly the better machine. I'll buy the one that's better.
[02:01:14.000 --> 02:01:24.000]  Or maybe it's more expensive, right? I don't know. But whatever, if it can be mistaken as being better in their mind, but it isn't for them.
[02:01:24.000 --> 02:01:28.000]  It's extra gigahertz they don't need. It's extra graphics that they don't need.
[02:01:28.000 --> 02:01:34.000]  It's battery life that they would appreciate if they had it, that it would be a mistake for them to walk out of that store.
[02:01:34.000 --> 02:01:43.000]  I think Apple, obviously, these MacBook Pros are not the best hypothetical MacBook Pros from November 2016 for every single person.
[02:01:43.000 --> 02:01:54.000]  But I think what Apple is, I think it's restating what you said, what Apple has tried to do is make the best machines for the most people.
[02:01:54.000 --> 02:02:00.000]  And that keeps some of those people from buying the wrong, going the wrong way.
[02:02:00.000 --> 02:02:10.000]  Yeah. And it's not to come back to like when the customer, like myths we have about companies succeeding or failing based on keeping their customers happy.
[02:02:10.000 --> 02:02:18.000]  The truth is that it's not a you choose to make everybody happy or you choose to make some people unhappy.
[02:02:18.000 --> 02:02:25.000]  The truth is the choices you make are going to make somebody unhappy in most cases and you get to choose who you make unhappy.
[02:02:25.000 --> 02:02:31.000]  And Apple makes their choices and now we'll have to live with them and we'll see quite what happens.
[02:02:31.000 --> 02:02:44.000]  But if Apple views the decisions about battery and about weight and about size and says that 90 percent of our users care about that stuff
[02:02:44.000 --> 02:02:50.000]  and one percent of our users care about this other thing, then I can see why they make that decision.
[02:02:50.000 --> 02:02:57.000]  And it doesn't make it any more bitter if you're somebody who's kind of on the outside looking in saying,
[02:02:57.000 --> 02:03:02.000]  I'd really like more than 16 gigs of RAM in my laptop, please, or a better GPU.
[02:03:02.000 --> 02:03:05.000]  But it's an open question.
[02:03:05.000 --> 02:03:09.000]  Like Pro, like you said, it means nice.
[02:03:09.000 --> 02:03:12.000]  That's probably true.
[02:03:12.000 --> 02:03:24.000]  And the Mac Pro, it's the same question of like, does Apple, Apple as a company right now is making decisions about what their audience is for these various products?
[02:03:24.000 --> 02:03:25.000]  Who are their customers?
[02:03:25.000 --> 02:03:32.000]  And it may be that the Apple of five years ago would be like, oh, man, we got to give a high end, super high end developers and content creators
[02:03:32.000 --> 02:03:36.000]  and people who used to use Linux and now use a Mac because they get the command line.
[02:03:36.000 --> 02:03:38.000]  We got to get those people because we got to use them in the Mac.
[02:03:38.000 --> 02:03:42.000]  You know, maybe the Apple of today is like, we're not interested in those people.
[02:03:42.000 --> 02:03:45.000]  We want a mass market of people.
[02:03:45.000 --> 02:03:48.000]  The MacBook Pro is nice, but it's not going to be for everyone.
[02:03:48.000 --> 02:03:51.000]  And that's their decision to make.
[02:03:51.000 --> 02:03:54.000]  And if they want to turn their back on certain markets, it might be a good business decision.
[02:03:54.000 --> 02:03:56.000]  And if I was in those markets, I would be pissed off.
[02:03:56.000 --> 02:03:58.000]  I think all these things are true.
[02:03:58.000 --> 02:04:05.000]  I don't think if people in a certain market switch to Windows or Linux, it means the MacBook Pro was a bad decision necessarily.
[02:04:05.000 --> 02:04:10.000]  Because, you know, Apple, Apple will not be surprised if that happens, right?
[02:04:10.000 --> 02:04:12.000]  It's not like these came out and Apple was like, what?
[02:04:12.000 --> 02:04:14.000]  They only have 16 gigs of RAM.
[02:04:14.000 --> 02:04:15.000]  We're shocked, right?
[02:04:15.000 --> 02:04:16.000]  They made that decision.
[02:04:16.000 --> 02:04:19.000]  They knew what the ramifications were going to be.
[02:04:19.000 --> 02:04:33.000]  And, you know, it's interesting if that's the case that a bunch of people maybe that they've kind of wooed over to the Mac over the last 15 years with OS X are now not in their target anymore.
[02:04:33.000 --> 02:04:37.000]  I will say, I just think, though, that, you know, again, things could change.
[02:04:37.000 --> 02:04:39.000]  You know, the past does not always predict the future.
[02:04:39.000 --> 02:04:48.000]  But if you look at the last 10 years of MacBook sales, you know, it has gone down a little bit in the last year, but I think that's mostly been people waiting, you know.
[02:04:48.000 --> 02:05:01.000]  But it's Apple's priorities, prioritizing thinness to an almost obsessive degree, prioritizing battery life to an almost obsessive degree.
[02:05:01.000 --> 02:05:07.000]  You know, and it really I come back to this many, many times that the order of your priorities matters tremendously.
[02:05:07.000 --> 02:05:16.000]  Even if you have like two, you know, the customer and the Apple have like the same top four priorities, you know, but they're in slightly different order.
[02:05:16.000 --> 02:05:19.000]  It makes a tremendous difference in the resulting product.
[02:05:19.000 --> 02:05:26.000]  And Apple's list order of priorities has shown to be very successful.
[02:05:26.000 --> 02:05:34.000]  Yeah, and that's the thing is Apple could be making a bad decision here.
[02:05:34.000 --> 02:05:38.000]  It's entirely possible that they're making a bad decision here, and we'll find out what the market says about it.
[02:05:38.000 --> 02:05:44.000]  But they have their priorities, and a lot of it is something that is just sort of like quintessentially Apple.
[02:05:44.000 --> 02:05:54.000]  And, you know, when we say they prioritize the battery, I mean, I think the right thing to say there is really like they prioritize the weight and the thinness.
[02:05:54.000 --> 02:06:03.000]  And the battery comes third where the battery has to hit some kind of a metric, but really no more than that.
[02:06:03.000 --> 02:06:15.000]  Every inch, every minute, every hour of battery life above what they think is optimal is added weight and thickness that you don't get.
[02:06:15.000 --> 02:06:20.000]  You get enough battery to hit, like with the iPad, it's whatever, 10 hours, and that's it.
[02:06:20.000 --> 02:06:21.000]  You don't get any more battery.
[02:06:21.000 --> 02:06:32.000]  And with the MacBook, it's a little more complicated, you know, because it's battery life and power saving in the operating system and all of those things, but, you know, that's their priority.
[02:06:32.000 --> 02:06:41.000]  So they're going to put thinness and lightness and battery life and power in maybe that sequence where somebody else would put power first.
[02:06:41.000 --> 02:06:53.000]  I'm generalizing, but to my gut feeling, in the early years of that inflection point where the most Macs sold were laptops and notebooks, I should say.
[02:06:53.000 --> 02:06:57.000]  Apple calls them notebooks instead of laptops, but notebooks instead of desktops, right?
[02:06:57.000 --> 02:07:08.000]  There was that, you know, and it used to be because notebook computers were so phenomenally expensive that it was really a luxury item just to have like the lowest end power.
[02:07:08.000 --> 02:07:22.000]  And at the inflection point where they became the most popular Macs, I felt for years it was very consistent where Apple would say you could get six hours of battery life.
[02:07:22.000 --> 02:07:28.000]  And in the real world, it always got, you seem to get about three and a half or four hours, like, but Apple would say six.
[02:07:28.000 --> 02:07:36.000]  And it was always, you know, it seemed to me like it was for me flying coast to coast, you know, five, six hour flights.
[02:07:36.000 --> 02:07:40.000]  It never seemed to be enough to go on a full charge coast to coast.
[02:07:40.000 --> 02:07:42.000]  It was right, you know, in real use.
[02:07:42.000 --> 02:07:52.000]  And that's before they had Wi-Fi. And then there was, you know, at some point when they hit, you know, I think the Intel transition definitely had something to do with it.
[02:07:52.000 --> 02:07:55.000]  All of a sudden, the battery life did start creeping up.
[02:07:55.000 --> 02:08:03.000]  And it seemed like that was a higher priority for Apple on an annual basis where it really was suddenly getting six hours of battery life.
[02:08:03.000 --> 02:08:07.000]  And you really could get seven hours, eight hours.
[02:08:07.000 --> 02:08:14.000]  And it seems like once they hit 10, they were like, we're done, you know, and now, you know, that will hold that point steady.
[02:08:14.000 --> 02:08:21.000]  And, you know, and I know that the 10 isn't necessarily 10 for all tasks, but 10 under their, you know, testing conditions.
[02:08:21.000 --> 02:08:24.000]  Yeah, they're light, light use 10 hours, right?
[02:08:24.000 --> 02:08:32.000]  Because if you if you really are doing editing audio or video or something like that, it will it will bleed that thing dry way faster than that.
[02:08:32.000 --> 02:08:34.000]  And that's that's just how it is.
[02:08:34.000 --> 02:08:36.000]  That's that's not what they're shooting for.
[02:08:36.000 --> 02:08:39.000]  All right. Let me take a break here and thank our third and final sponsor long another long.
[02:08:39.000 --> 02:08:43.000]  This is like a greatest hits of daring of talk show sponsors.
[02:08:43.000 --> 02:08:50.000]  Backblaze Backblaze is unlimited native backup for Mac and PC.
[02:08:50.000 --> 02:08:55.000]  Here's what you do. You go to backblaze dot com slash during Fireball.
[02:08:55.000 --> 02:08:59.000]  You download Backblaze to your Mac, install it on your Mac.
[02:08:59.000 --> 02:09:04.000]  It's a simple little it goes in your system preferences. It's just a system preferences thing.
[02:09:04.000 --> 02:09:08.000]  And then it just starts you sign up again, no credit card.
[02:09:08.000 --> 02:09:13.000]  And then it just starts backing up everything on your Mac to their their secure cloud based servers.
[02:09:13.000 --> 02:09:17.000]  Everything. Do you have an external drive that's maybe like three terabytes or something like that?
[02:09:17.000 --> 02:09:21.000]  It'll back it up to have two external drives. It'll back them both up.
[02:09:21.000 --> 02:09:27.000]  It might take a while, depending on how much you have, but you don't pay more for more space.
[02:09:27.000 --> 02:09:32.000]  It's just five bucks a month for unlimited, unthrottled offsite backup per Mac.
[02:09:32.000 --> 02:09:37.000]  Five bucks a month. That's it. I've been using them for years.
[02:09:37.000 --> 02:09:43.000]  I've recommended them for years. They have so many features that it's everything you might want them to do.
[02:09:43.000 --> 02:09:48.000]  They can do. Let's say you need a restoration of everything you've got.
[02:09:48.000 --> 02:09:53.000]  Well, if you want to, though, they can restore by mail. You can purchase a hard drive with all your day overnight,
[02:09:53.000 --> 02:10:01.000]  all your data on it, and they'll overnight it to you on FedEx, because let's face it, downloading three terabytes of stuff or however much stuff could take forever.
[02:10:01.000 --> 02:10:08.000]  Maybe, you know, in some kind of emergency situation where you need it all, you can get it overnighted.
[02:10:08.000 --> 02:10:17.000]  You can use like their iOS app and log in and just get one file and email it to somebody.
[02:10:17.000 --> 02:10:24.000]  You can just access all the files on your Mac backed up through backplace.
[02:10:24.000 --> 02:10:31.000]  So anything from one file to getting everything on your Mac overnighted to you on a hard drive, they can do.
[02:10:31.000 --> 02:10:36.000]  They have over 200 petabytes of data that has been stored by backplace.
[02:10:36.000 --> 02:10:41.000]  Over 10 billion files have been restored to their customers.
[02:10:41.000 --> 02:10:53.000]  It is a great addition to local backups, like having an external drive running time machine or I use super duper to clone my startup drive every day or two.
[02:10:53.000 --> 02:10:55.000]  A great utility.
[02:10:55.000 --> 02:11:03.000]  Having an offsite backup that runs automatically, just silently and visibly in the background, just software that never gets in the way.
[02:11:03.000 --> 02:11:07.000]  It's not like all of a sudden when backplace starts backing up your stuff, you know, the fans spin up.
[02:11:07.000 --> 02:11:10.000]  You don't even notice. I never notice. It just happens.
[02:11:10.000 --> 02:11:21.000]  I can't say what a relief it is to know that if somebody came in and robbed my house or if the house burned down or something like that, that I don't lose my data.
[02:11:21.000 --> 02:11:32.000]  For years and years and years, that's how I lived, and it was always a nagging fear in the back of my head that, hey, if something really bad happened, I could lose everything, and that would be kind of heartbreaking.
[02:11:32.000 --> 02:11:36.000]  What a relief it is. It's a great service. I use it myself.
[02:11:36.000 --> 02:11:43.000]  Go to backblaze.com slash daring fireball so they know where you came from.
[02:11:43.000 --> 02:11:46.000]  Really, it's a great deal.
[02:11:46.000 --> 02:11:55.000]  Last thing on my agenda, we've been going long, is just speaking of books from Apple.
[02:11:55.000 --> 02:11:57.000]  Yes, the lowest-priced MacBook.
[02:11:57.000 --> 02:12:10.000]  The lowest-priced MacBook from Apple is a coffee table book that they announced yesterday, I think it was yesterday, called Designed by Apple in California.
[02:12:10.000 --> 02:12:30.000]  It comes in two sizes, small and large. They cost $200 and $300, respectively, and it's almost entirely photographs of 20 years of Apple products.
[02:12:30.000 --> 02:12:39.000]  I don't know. I have mixed feelings about it. I'm not as outraged as some people seem to be. I don't think it's as much of a boondoggle as some people think it should be.
[02:12:39.000 --> 02:12:45.000]  I do think, though, that the optics of it are a little self-indulgent.
[02:12:45.000 --> 02:12:48.000]  Mm-hmm. No doubt. I mean, it's self-published, right?
[02:12:48.000 --> 02:12:55.000]  You made the point on Daring Fireball. Expensive art books are a thing, right?
[02:12:55.000 --> 02:13:01.000]  People who are used to thinking books cost $10 or $20 do not know about expensive art books.
[02:13:01.000 --> 02:13:09.000]  You mentioned you bought some very expensive, you know, art books, Stanley Kubrick, lots of books like that.
[02:13:09.000 --> 02:13:15.000]  There's a book called Iconic about Apple industrial design that's $100, but they've got a $250 special edition.
[02:13:15.000 --> 02:13:23.000]  So, I mean, it's sort of a thing, but you're right, it's a little surprising. They published it themselves, they didn't work with a partner.
[02:13:23.000 --> 02:13:28.000]  I still feel like this is the ultimate Rorschach test for people's view of where Apple is today.
[02:13:28.000 --> 02:13:33.000]  Like, I'm not quite sure commenting on this tells us anything about actually,
[02:13:33.000 --> 02:13:37.000]  especially since they claim that they've been working on this for eight years and they decided to build an archive
[02:13:37.000 --> 02:13:45.000]  and had to buy some of their products on eBay in order to get them back because they literally didn't have them in the office.
[02:13:45.000 --> 02:13:53.000]  So, I'm not sure this says a lot about like where Apple is today versus a progression of their design group for the last eight years.
[02:13:53.000 --> 02:14:02.000]  But I think it is a vessel into which everybody can pour all of their fears about where Apple is going and use this as an example if they want to.
[02:14:02.000 --> 02:14:09.000]  I had a part from my write-up on it that I wrote and then I thought about and I deleted it.
[02:14:09.000 --> 02:14:15.000]  It's the sort of thing that I just, because I can explain it on the podcast why I deleted it,
[02:14:15.000 --> 02:14:21.000]  I feel like I can say it on a podcast with no reservations, but I felt extremely uncomfortable publishing it, which was something to the effect of,
[02:14:21.000 --> 02:14:25.000]  I don't have the exact words in front of me, I guess because I deleted them.
[02:14:25.000 --> 02:14:31.000]  I'll come out and say it. I don't think this would have happened if Steve Jobs were still in charge of Apple.
[02:14:31.000 --> 02:14:43.000]  But I don't know Steve Jobs at all and Johnny Ive was by all accounts his closest colleague and one of his dearest friends.
[02:14:43.000 --> 02:14:55.000]  And so I feel like a fool saying that because I didn't know the guy and Johnny Ive knew him as well probably better than anybody who worked with him.
[02:14:55.000 --> 02:15:03.000]  And so for all I know, Ive and Jobs kicked around the idea while Jobs was still alive and I'm an idiot.
[02:15:03.000 --> 02:15:08.000]  But it feels to me like something they wouldn't have done with Steve Jobs.
[02:15:08.000 --> 02:15:13.000]  That Apple has made a book that Steve Jobs never would have published dedicated to Steve Jobs.
[02:15:13.000 --> 02:15:22.000]  Yeah, I mean one of the problems with the had geography of somebody like Steve Jobs where we turn him into this figure,
[02:15:22.000 --> 02:15:31.000]  this amazing kind of icon is that he was a person and his life was a continuum, right?
[02:15:31.000 --> 02:15:47.000]  And so I think I saw somebody make the comment that I thought was really smart that said it's undoubtedly true that Steve Jobs of 1997 through 2002, whatever, 2005 would not approve of this, right?
[02:15:47.000 --> 02:15:57.000]  I feel like there was a pathological almost dislike of the past when Apple was trying to get on its feet again.
[02:15:57.000 --> 02:16:01.000]  And I think some of that might have been innate in Steve Jobs.
[02:16:01.000 --> 02:16:13.000]  I think some of that was also a management technique that he felt like Apple was so navel-gazing and so focused on congratulating itself on its great achievements of the past that it had completely lost its way.
[02:16:13.000 --> 02:16:15.000]  And when he came back, he wanted to right the ship.
[02:16:15.000 --> 02:16:34.000]  So I think it's entirely possible that in the last five years that Steve Jobs was at Apple that his feelings were different and that in talking to Jonny Ive about the idea that they didn't even have an archive and that that was a mistake and they didn't even have some of the products they designed.
[02:16:34.000 --> 02:16:59.000]  And that when they set up, I mean, you could make the same argument for something like Apple University. Like, is that too inward-facing or is the argument there that you want to be able to document and teach your company's successes and thought processes so that the culture can pervade all of your employees and that other parts of the company can learn from what these parts of the company had to experience themselves instead of having to learn it again?
[02:16:59.000 --> 02:17:07.000]  I mean, you could make the argument that that's all of a whole and that that's as much what this is about as anything else.
[02:17:07.000 --> 02:17:25.000]  Or you could just look at it and say this is self-congratulatory nonsense and it's a project where Jonny Ive got to hire a famous, fabulous photographer to take beauty shots of all the things that he made so that he has got a souvenir when he leaves Apple.
[02:17:25.000 --> 02:17:38.000]  Also, you made the point on during follow that I thought was really good. Like in another time, this would either be like an Apple employee only thing or I was thinking or they'd print a thousand copies and make them available only at the infinite loop company store.
[02:17:38.000 --> 02:17:42.000]  And today's Apple is like, yeah, we might as well sell them everywhere.
[02:17:42.000 --> 02:17:57.000]  It didn't occur to me. I actually cheated a little bit when I put that hypothetical out there. I actually heard about this from somebody a while back, not super recently, which is why I didn't think of it early in the morning yesterday and it only occurred to me at night.
[02:17:57.000 --> 02:18:12.000]  I heard something about this project a while ago from someone at Apple and what I heard then was that it was being made for Apple employees, that my hypothetical was at one point maybe the plan.
[02:18:12.000 --> 02:18:31.000]  And I think in that world where Apple made this exact book and made it or maybe since it's Apple sold it to Apple employees in that world, I think these books would be going for over a thousand dollars, maybe fifteen hundred dollars on eBay.
[02:18:31.000 --> 02:18:48.000]  Yep. And I think I would strongly Adam ink for ink, paper for paper, the exact same book. I think that if Apple made them exclusive to Apple employees, they would be selling for maybe two thousand dollars on eBay until the market calmed down.
[02:18:48.000 --> 02:19:02.000]  Well sure. I think that's the argument for why you sell it to anyone is why create a scarcity that means that somebody else makes an eight hundred dollar profit on this thing that you made?
[02:19:02.000 --> 02:19:12.000]  That's like selling a World Series ticket for two hundred and fifty dollars face value knowing that it will immediately be resold on eBay for a thousand dollars. It's like why would you let somebody else take that money?
[02:19:12.000 --> 02:19:21.000]  With printing books, they can not print as many as they want, but they can probably because of the price, print as many as it needs to meet demand.
[02:19:21.000 --> 02:19:37.000]  And in a way that like with Hamilton tickets, they can't make the theater bigger. And even if they could make it bigger, the seats wouldn't be good. You can't have Hamilton in an NBA sized arena. It's not the same experience.
[02:19:37.000 --> 02:19:48.000]  Right. And those actors can only do seven shows a week. That's all they can do. Or eight shows a week, however much it is. That's all they can do. Two matinees, six night performances and they've got to sleep.
[02:19:48.000 --> 02:20:03.000]  The scale is limited very quickly. And so the fact that the tickets on the secondhand market are selling at exorbitant prices, well that's the way supply and demand works when supply has a hard upper limit.
[02:20:03.000 --> 02:20:15.000]  Right. So the alternative is if you're Hamilton, the alternative is you either build in a no resellers. You can return it to the theater for your money back, but you don't get to resell it.
[02:20:15.000 --> 02:20:23.000]  Or you raise the price. Or you just accept that somebody else is going to make twice as much as you make on your product.
[02:20:23.000 --> 02:20:36.000]  And you know, Apple's so big and there's so many people who are interested in it that it totally makes sense for them to say, why would we make this and not let anybody who wants one get one? Why would we do that?
[02:20:36.000 --> 02:20:46.000]  So the more I think about it, the more okay I am with it. I still think the optics are bad because there's a lot of people who complain, but I think it's better than anything else they could have done, including not make the book.
[02:20:46.000 --> 02:20:52.000]  Like, I mean, I'm going to buy one. Are you?
[02:20:52.000 --> 02:20:53.000]  I don't know.
[02:20:53.000 --> 02:21:10.000]  I don't know. I might get the small one, but I want one. But I'm a sucker for coffee table books. I am. I have a weak spot for them. I own Iconic. I have all those Tashian ones about Kubrick that were absolutely gut-wrenchingly expensive.
[02:21:10.000 --> 02:21:11.000]  Yeah.
[02:21:11.000 --> 02:21:12.000]  I'm a sucker for them.
[02:21:12.000 --> 02:21:32.000]  It's a thing. Yeah. And I think when you put it in that context of the big, oversized, expensive art book, it's not nearly as ridiculous unless you want to use it as an example of sort of a cultural change or a systemic failure at Apple, which gets us back to the Inglot test.
[02:21:32.000 --> 02:21:54.000]  You can absolutely use it as a vehicle for that if you want to, but I'm kind of with you. I'm okay with it. I think it's definitely not what Steve Jobs of 2004 would do, but he's gone and Johnny is there, and it might have been the Steve Jobs of 2009.
[02:21:54.000 --> 02:22:03.000]  The eight-year thing is an interesting thing. That came in Johnny Ive's interview with Wallpaper, and I put it in the show notes already.
[02:22:03.000 --> 02:22:15.000]  The eight-year quote, though, is ambiguous because people are taking it as evidence that Jobs approved of the book, but it's not. What he said started eight years ago was their collection of all old Apple equipment.
[02:22:15.000 --> 02:22:25.000]  They wanted to look at some of the old candy-colored IMAX, and they didn't have them all.
[02:22:25.000 --> 02:22:38.000]  But still, that goes to a point where Jobs was still around, and they were reversing his policy, which was don't think about the past. Can you imagine that Apple didn't have a Bondi Blue IMAX in their possession?
[02:22:38.000 --> 02:22:50.000]  But for that era, sure. It is proof that Jobs changed because when Jobs first came back to Apple in 1996, I guess it was 1997, one of the first things he did is he found that they had a whole collection of all this old archive.
[02:22:50.000 --> 02:22:56.000]  He's just like, let's get rid of it. And they didn't throw it in a dumpster. They gave it to a museum.
[02:22:56.000 --> 02:22:59.000]  That's my favorite Jobs quote ever.
[02:22:59.000 --> 02:23:12.000]  It was, I said, get it away, and we sent that shit to Stanford. I just love the whole thing. I love the swearing. I love the get it away. It's got cooties.
[02:23:12.000 --> 02:23:23.000]  It was repellent to him that this company that was going into the dumps had this whole thing that was like a monument to its greatness.
[02:23:23.000 --> 02:23:30.000]  And so that was his reflexive, you know, get it away. And they sent it to Stanford, and that was it.
[02:23:30.000 --> 02:23:39.000]  Which brings me to, and to me this is the Rorschach test, is a sentiment I've seen several people supported on Twitter.
[02:23:39.000 --> 02:23:56.000]  Best put by genius, like jailbreak sort of developer Stephen Troughton Smith. His take on Twitter was that it's only the last 20 years says a lot.
[02:23:56.000 --> 02:24:02.000]  This is Ive's portfolio, not Apple's. My impression is that his career is drawing to a close.
[02:24:02.000 --> 02:24:14.000]  And a lot of people, this isn't just because of the book. I've seen people say that ever since the promotion to chief design officer and naming Alan Dye and I forget the other guy's name.
[02:24:14.000 --> 02:24:23.000]  As the hardware and software design chief under Ive. Is Johnny Ive checking out and slowly fading away?
[02:24:23.000 --> 02:24:39.000]  Or is he, you know, I can see it two different ways. I honestly can see it. And I don't know. This is something that is sometimes knowledgeable about internal workings at Apple as I am.
[02:24:39.000 --> 02:24:52.000]  I don't know anybody who has insight to it. And I think part of it is because Johnny Ive operates in such an isolated way within the company that he doesn't really interact directly with a large number of people and never did.
[02:24:52.000 --> 02:24:54.000]  He's in a secure enclave.
[02:24:54.000 --> 02:25:04.000]  One thing I've heard, I have heard that he has lately been checked out of, not checked out, I guess, but not as directly involved with product design.
[02:25:04.000 --> 02:25:16.000]  And that he has been largely focused on architecture. Meaning mostly the, obviously the Spaceship Campus and the new stores.
[02:25:16.000 --> 02:25:28.000]  The new store design. Right. And maybe the other top level executive who's been working the most with Ive is Angela Arens.
[02:25:28.000 --> 02:25:38.000]  Right. I also wonder about the car, right? You know, for a while there, the talk was that they were going to make a car and they recalibrated that to making bits of a car.
[02:25:38.000 --> 02:25:52.000]  And I have to wonder if that was a little bit of a hit for Johnny Ive because he is a car guy. We know that. And perhaps one of the reasons they went down the path of making their own car is that Johnny Ive was excited about doing car design.
[02:25:52.000 --> 02:26:02.000]  And it sounds like they've made the decision to back away from that too. I think the idea that Ive has conquered all mountains.
[02:26:02.000 --> 02:26:14.000]  There are no more lands for him to conquer. And that he, you know, is easing his way out of Apple is, it certainly seems like a legitimate scenario.
[02:26:14.000 --> 02:26:20.000]  I don't, like you, I don't really have any evidence. I've heard people say that people inside Apple have that impression too.
[02:26:20.000 --> 02:26:26.000]  But it's not necessarily that they've got more information than we do about this too. But it certainly feels that way.
[02:26:26.000 --> 02:26:38.000]  Like he's either eased into a very different role or he's just sort of fading away. Absolutely, this book does feel like the Johnny Ive era dissertation kind of thing.
[02:26:38.000 --> 02:26:45.000]  Like, here it is. Here's the work that I did. And then you step away from that.
[02:26:45.000 --> 02:26:57.000]  The other side of it, though, could be that he is the most influential person in the company. And that not...
[02:26:57.000 --> 02:27:00.000]  He decreed that there would be a book. And so there's a book.
[02:27:00.000 --> 02:27:11.000]  Exactly. Like in a way that Steve Jobs could decree a lot of things. You know, we're going to open Star Space Time, you know, the night before FaceTime came out.
[02:27:11.000 --> 02:27:19.000]  That Johnny Ive can say, we're going to make a book. And that means they're going to make a book whether other people object. Oh, here's my number one example.
[02:27:19.000 --> 02:27:26.000]  Can't believe it took me 30 seconds to think of it. Clearly, this is what happened. I don't know this. Nobody has ever told me this. Who knows?
[02:27:26.000 --> 02:27:34.000]  But I would bet my bottom dollar on it. Johnny Ive said, I want to make a $20,000 gold Apple Watch.
[02:27:34.000 --> 02:27:43.000]  Oh, yeah, yeah, yeah. And I do know for a fact that there were some high-level executives within Apple who thought that was nutty.
[02:27:43.000 --> 02:27:54.000]  I never heard for a fact that it was Johnny Ive himself who wanted it. But I know what I think. And I think it's Johnny Ive said, I've always wanted to make a watch.
[02:27:54.000 --> 02:27:59.000]  One of the great materials that watches are made out of is gold. So I want to make a gold Apple Watch.
[02:27:59.000 --> 02:28:08.000]  It's the least Apple-like product that has ever been made. Or at least, I shouldn't say Apple-like, but at least like any other Apple product that's ever been made.
[02:28:08.000 --> 02:28:11.000]  Right. It breaks your Coca-Cola analogy.
[02:28:11.000 --> 02:28:33.000]  Exactly. And it is indulgent. I don't know. But it makes me think, I don't know that he, I think that maybe what's happened, possibly. I'm not saying that this is any, you know. Johnny Ive might be there for the next 15, 20 years, but that he has assumed a jobs-like role of gets to do whatever he wants and has final say over all products.
[02:28:33.000 --> 02:28:53.000]  But that his personality is such, and it's so different than Steve Jobs's, that he's almost a Howard Hughes-like figure. You know, a recluse. Other than appearing as a narrator in the product videos.
[02:28:53.000 --> 02:29:06.000]  I don't get, well, I don't get, you know, I don't know whether that's true or whether it really is just that he has stage fright and so he wants to be on video, but he does seem to have fallen into this role as their credibility, right?
[02:29:06.000 --> 02:29:17.000]  I mean, he's there. Those Johnny Ive videos went from, we want Johnny to explain things, but he's terrible on stage or he doesn't want to be on stage. Something like that, right?
[02:29:17.000 --> 02:29:28.000]  And so we're going to make these videos and he's going to narrate them. But at some point that seems to, especially since Steve has been gone, that seems to have become instead like Johnny brings the credibility.
[02:29:28.000 --> 02:29:39.000]  Let us explain to you why what Apple does is making all, we're making all the right decisions and all the steps we had to go through and all the incredible processes that we now use in order to make this product, right?
[02:29:39.000 --> 02:29:59.000]  I feel like that's now his role is as this, in some ways, almost like an icon or a totem of like the Apple everybody believes is there where they have their, you know, where they do their amazing design and they make all these incredible decisions to bring the future out of his white room into reality.
[02:29:59.000 --> 02:30:05.000]  And he may not, I mean, he may only be spiritual leadership at this point. I don't know.
[02:30:05.000 --> 02:30:19.000]  I firmly believe I really do like that when it comes to, uh, an aesthetic decision like, Hey, should we ship jet black in addition to regular black on these iPhone sevens?
[02:30:19.000 --> 02:30:26.000]  You know, should we do, we can do, you know, here's what we, here's two blacks we can do. The jet black one is more expensive and time consuming.
[02:30:26.000 --> 02:30:38.000]  And if we sell it at the same price as the same memory, you know, storage and the same thing, we are going to take a hit on margins, but look at it. It's fricking beautiful. Yes or no. Do we do this?
[02:30:38.000 --> 02:30:47.000]  I think the final decision on stuff like that is Johnny Ives and not Tim Cook's and I'm not saying that Tim Cook is, is powerless in that way.
