[00:00.000 --> 00:03.180]  There's a lot going on. Yeah, it's good time to be us
[01:47:11.860 --> 01:47:15.320]  Catalina that people are complaining about is that they've tightened up some of the
[01:47:16.280 --> 01:47:18.280]  um
[01:47:18.280 --> 01:47:22.680]  You know, it's it's that fine line between is it a security feature or a privacy feature?
[01:47:22.760 --> 01:47:26.120]  It's a little bit of column a a little bit of column b, but you you know
[01:47:26.200 --> 01:47:34.120]  They've they've made the desktop a magic location that apps have to have special permission, you know, like such and such app is trying to read
[01:47:36.440 --> 01:47:38.440]  Read files from your desktop
[01:47:38.600 --> 01:47:43.240]  the first time you launch an app that was already open when you upgraded and then and and had
[01:47:43.940 --> 01:47:47.880]  Documents from the desktop the downloads file and the documents folder open at the time
[01:47:47.880 --> 01:47:49.240]  Yeah, and it tries to reload them
[01:47:49.240 --> 01:47:54.760]  God help you because it starts asking permission for every directory for every every file that you had open at the time
[01:47:55.960 --> 01:47:57.960]  So there's you know
[01:47:58.120 --> 01:48:02.680]  It takes some getting used to I I really I have a rant in me about it
[01:48:02.760 --> 01:48:04.840]  Like I kind of see why apple's doing this
[01:48:05.480 --> 01:48:09.800]  But it really doesn't play well in the context of that classic get a mac
[01:48:10.360 --> 01:48:15.320]  ad yeah, where where the john hodgman pc got upgraded to vista and was
[01:48:15.320 --> 01:48:19.880]  How do you do you authorize this? Yes or no? Do you authorize that? Yes or no, you know?
[01:48:20.440 --> 01:48:25.160]  Every it'll only ask you once but for every app that'll only ask you if you want to download once but for every website
[01:48:25.400 --> 01:48:26.360]  Yeah
[01:48:26.360 --> 01:48:28.520]  It's it's a lot. Uh
[01:48:30.360 --> 01:48:32.760]  And it brings in it
[01:48:33.800 --> 01:48:41.320]  I get it. I get why they're doing this. I think some of these things are in response to actual malware attack vectors
[01:48:41.320 --> 01:48:43.960]  That apple is aware of
[01:48:44.920 --> 01:48:48.920]  My son ran into one I I think I talked about this on the show a year or two ago
[01:48:49.000 --> 01:48:54.200]  But my son ran into one about two years ago, maybe 18 months ago, but it was really interesting
[01:48:54.920 --> 01:49:00.680]  Where he somehow stumbled on a site or he clicked on something. It wasn't like super dubious
[01:49:00.680 --> 01:49:04.680]  Wasn't like he was trying to download, you know crack games or something like that
[01:49:04.680 --> 01:49:11.480]  You know crack games or something like that. Yeah, I forget, you know, he could reproduce it and and there was a url where he
[01:49:11.880 --> 01:49:15.580]  It was like a fake amazon result and he I guess he kind of clicked on it accidentally
[01:49:16.280 --> 01:49:18.280]  but what it did is it went to
[01:49:19.800 --> 01:49:23.640]  It went to one of these sites claiming that your
[01:49:25.320 --> 01:49:26.280]  Uh
[01:49:26.280 --> 01:49:27.800]  mac had
[01:49:27.800 --> 01:49:32.280]  That the site had detected that your mac had malware and that's why it was running slow
[01:49:32.280 --> 01:49:35.960]  And that you needed to call this number and i'm sure if you did call it
[01:49:36.120 --> 01:49:38.280]  You know that they would do talk you into it
[01:49:38.280 --> 01:49:38.520]  You know
[01:49:38.520 --> 01:49:44.760]  there's everybody knows people who've had family members fall victim to this or you call them up and they talk you into installing like a
[01:49:45.800 --> 01:49:47.800]  Backdoor on your mac. Yeah
[01:49:48.680 --> 01:49:50.520]  Just terrible stuff terribly shifty stuff
[01:49:50.520 --> 01:49:56.360]  But the the do the the devious part of this website my son stumbled upon was what they were doing
[01:49:57.240 --> 01:49:58.600]  was
[01:49:58.600 --> 01:50:00.600]  sending your browser
[01:50:00.600 --> 01:50:02.600]  downloads of
[01:50:04.380 --> 01:50:10.700]  They were like empty text files or maybe they were like text files that contained four characters like just just literally just like
[01:50:12.860 --> 01:50:17.580]  Two or three characters and and but they were sending them as fast as as they could
[01:50:18.140 --> 01:50:22.860]  And safari even just a year or two ago was willing to say, okay, you're going to send me all these downloads
[01:50:22.860 --> 01:50:25.020]  I'll download them as fast as as fast as I can
[01:50:25.020 --> 01:50:30.060]  And and just by downloading as many of these files as it could as fast as it could
[01:50:30.620 --> 01:50:37.340]  It made safari really slow. It really was it slowed down it exactly as the website promised it didn't
[01:50:37.820 --> 01:50:42.140]  Install anything it wasn't a your you know, there was no malware running on your machine
[01:50:42.460 --> 01:50:48.320]  But it slowed your browser down so fast that if you couldn't if you didn't know like the trick to force quit safari
[01:50:48.320 --> 01:50:55.040]  To force quit safari, um, it was tough to get out of like it was so slow
[01:50:55.040 --> 01:50:58.640]  It slowed safari down so far so fast that you couldn't really close the window
[01:50:59.280 --> 01:51:01.680]  So you could you know, totally see how people would fall for it
[01:51:01.920 --> 01:51:07.840]  And i'm sure that there's a hundred other tricks that are similarly a bunch of google ad hijacks that would just send you to
[01:51:08.320 --> 01:51:10.320]  A fake website. Yeah
[01:51:10.320 --> 01:51:14.720]  So there's all sorts of stuff i'm sure you know that are out there and but I
[01:51:14.720 --> 01:51:21.680]  I some of this stuff though. It's like tightening up safari I get because I really do feel like you know, you're out
[01:51:22.160 --> 01:51:24.160]  You don't know what you're getting there
[01:51:24.560 --> 01:51:29.780]  I feel like having apps that beg for permission to to read files off your desktop
[01:51:30.480 --> 01:51:36.720]  I feel like that's over the line. I feel like i'm not quite sure what and again, maybe i'm wrong and there there's apps that are
[01:51:37.680 --> 01:51:42.800]  taking advantage of this and just guessing that you have juicy personal stuff on your desktop and
[01:51:42.800 --> 01:51:44.880]  you know slurping all the data from it, but
[01:51:45.440 --> 01:51:48.880]  It just seems contrary to the way that the mac is they try to mitigate it
[01:51:48.880 --> 01:51:52.720]  Like if you double click or if you drag it's an explicit user action
[01:51:52.720 --> 01:51:58.240]  So that overrides the check but it's just like when you do that reinstall and you already have stuff open
[01:51:58.400 --> 01:52:02.000]  You don't have the opportunity to drag anything. So it's like the worst case scenario
[01:52:02.800 --> 01:52:05.920]  And it's just it it's just so telling
[01:52:05.920 --> 01:52:13.440]  You know, it's so much cleaner on even though ios and ipad os are more still more limiting overall in terms of being able to
[01:52:13.440 --> 01:52:17.200]  use an app that can just see the real file system and I know that you know, there's
[01:52:17.840 --> 01:52:23.600]  The files app has beefed this up and there's integration with with dropbox. But if you're treating data as files
[01:52:25.040 --> 01:52:29.440]  As opposed to just being a a library app, right?
[01:52:29.440 --> 01:52:34.400]  Like when you use photos and you use the apple notes app you don't treat the individual
[01:52:34.400 --> 01:52:40.640]  Photos as files. You don't treat notes as files. They're just items in a in a library
[01:52:40.640 --> 01:52:42.640]  Which is the sort of modern way to have
[01:52:43.280 --> 01:52:49.280]  Multiple bits of data in an app and and in a lot of cases it's it's great. It's just conceptually simpler. It's neater. You're
[01:52:50.240 --> 01:52:51.200]  You're
[01:52:51.200 --> 01:52:54.480]  Successfully encapsulating the file system from the user
[01:52:55.120 --> 01:53:02.080]  It you're not missing anything by not having these in you know, your individual hundreds of notes as individual files in a file system
[01:53:02.080 --> 01:53:07.600]  But if you really do want to deal with documents in the traditional document mindset
[01:53:09.680 --> 01:53:13.280]  Ios's way is still limiting right and the mac is just natural
[01:53:13.280 --> 01:53:15.920]  It's just the way you know that when you boot up into a mac
[01:53:15.920 --> 01:53:21.200]  It still is the case where the default application that's running is the finder which is the file system app
[01:53:23.520 --> 01:53:29.840]  I feel like nannying all these decisions with are you sure you want to let this app read from the desktop is
[01:53:29.840 --> 01:53:31.840]  Just it's just a pain in the ass
[01:53:32.400 --> 01:53:34.400]  And I really kind of wish
[01:53:34.800 --> 01:53:40.320]  there were if it's even if there is a good idea for this I really wish that there was a
[01:53:41.600 --> 01:53:46.000]  Developer mode for lack of a better word and I feel like the calling it developer mode
[01:53:46.560 --> 01:53:51.840]  Would would properly scare scare the people off who shouldn't be turning it on
[01:53:52.320 --> 01:53:55.440]  You know as opposed to calling it advanced user mode or something
[01:53:55.440 --> 01:54:02.960]  Just call it developer mode and it would turn off almost all of that stuff and just say I trust that i'm not
[01:54:03.360 --> 01:54:06.480]  Getting tricked into installing malware on my on my mac
[01:54:06.480 --> 01:54:12.080]  Let me run the mac the way I was running it five six years ago where I can write scripts and
[01:54:12.720 --> 01:54:18.400]  Not have to have not have to tell the system that terminal app has full disk
[01:54:19.040 --> 01:54:24.080]  Access and stuff like that. Just call it a little bit of that like they call it advanced user mode
[01:54:24.080 --> 01:54:27.040]  A little bit of that like they got rid of the option to run any app now
[01:54:27.120 --> 01:54:30.480]  There's only app store and certified apps. That's right and uh
[01:54:31.440 --> 01:54:34.400]  But you can go into terminal and type in a command then it restores the button for
[01:54:35.120 --> 01:54:41.360]  Running the app, but that's just one at a time. There's no like konami code to unlock all of it, right? I I just feel like
[01:54:42.240 --> 01:54:44.240]  The way that this has been added
[01:54:44.800 --> 01:54:46.080]  over time
[01:54:46.080 --> 01:54:48.080]  to a design
[01:54:48.320 --> 01:54:49.040]  That is you know
[01:54:49.040 --> 01:54:56.080]  That is the way mac os 10 was originally conceived from the next era through the the you know, the transition period in 2000
[01:54:56.960 --> 01:54:57.760]  uh
[01:54:57.760 --> 01:54:59.760]  circa 2000 let's say
[01:55:00.560 --> 01:55:04.320]  It's resulted in this system where you have to do these things 100 times, you know
[01:55:04.560 --> 01:55:09.840]  Maybe that's an exaggeration, but you have to drag each app and drag, you know into full disk access
[01:55:09.920 --> 01:55:13.040]  And you have to authorize this and authorize that whereas I really feel like
[01:55:13.600 --> 01:55:18.480]  There should be a way to and you have to jump all over the system to get these different things, right?
[01:55:18.480 --> 01:55:20.480]  And god bless them like apple gets no exemption
[01:55:20.560 --> 01:55:25.520]  I launched quicktime for the first time and drew to a screen record. I had to launch settings go in check a box
[01:55:25.920 --> 01:55:29.760]  And then quick time and then reload and then it says like if you want it to apply
[01:55:29.760 --> 01:55:33.120]  You've got to quit and restart the app, which is like very skype or something
[01:55:33.280 --> 01:55:36.480]  I really feel like there should be a they should take into account
[01:55:36.800 --> 01:55:39.200]  A way that if you really want to turn that stuff off
[01:55:39.360 --> 01:55:45.200]  It's it's either all one check box like an idea I had is you know how like right now you can
[01:55:45.840 --> 01:55:47.840]  in users and groups you can have
[01:55:47.840 --> 01:55:51.780]  Administrator accounts and then you can have standard users and a standard user
[01:55:52.340 --> 01:55:56.260]  Is limited in all sorts of ways where they can't delete apps. They have to have an admin password
[01:55:56.260 --> 01:56:02.340]  Well, why not make in addition to an administrator account? Why not make a developer account and you can just have an entire account?
[01:56:02.900 --> 01:56:04.820]  That's you know has all all the
[01:56:05.700 --> 01:56:11.860]  All the powers of an administrator plus the powers of a developer, which is mostly I trust the software on my mac. Yes
[01:56:12.740 --> 01:56:15.140]  Yeah, i'm a grown-ass adult and I want to make these decisions
[01:56:15.140 --> 01:56:18.900]  I mean, well i'm an or you know, i'm an expert, you know, like, you know
[01:56:18.980 --> 01:56:23.700]  I'm an expert and I I trust myself to control the software that's running on my mac
[01:56:24.500 --> 01:56:25.940]  And it's a lot of little things too
[01:56:25.940 --> 01:56:27.540]  Like I didn't notice this when I wrote my review
[01:56:27.540 --> 01:56:32.020]  But I was using music and I right clicked and I said show me and find it it worked fine
[01:56:32.260 --> 01:56:35.480]  And then I went to podcasts and I wanted to get the actual file for the podcast
[01:56:35.700 --> 01:56:38.900]  And I right clicked and that option doesn't exist because it's a catalyst app
[01:56:38.900 --> 01:56:43.060]  It doesn't it's not aware of i'm sure they could put it in but they didn't and so it's one less
[01:56:43.060 --> 01:56:46.340]  It's one less feature that I use occasionally that's available to me
[01:56:46.900 --> 01:56:49.800]  Well, that brings me to my next section, which is the catalyst griping
[01:56:53.220 --> 01:56:59.140]  Which could be an entire episode of the show and maybe will be in the coming weeks, but at the moment, you know
[01:56:59.220 --> 01:57:05.060]  Let's keep it short. Uh, well shortish short by the standards of a segment on this podcast
[01:57:05.940 --> 01:57:07.780]  um
[01:57:07.780 --> 01:57:09.780]  the catalyst apps
[01:57:10.100 --> 01:57:11.780]  I mean there's
[01:57:11.780 --> 01:57:13.780]  Two groups of them. I mean there's apple's own
[01:57:14.420 --> 01:57:16.340]  and then there's uh
[01:57:16.340 --> 01:57:18.340]  Third-party ones that are now in the app store
[01:57:22.020 --> 01:57:23.220]  The
[01:57:23.220 --> 01:57:24.660]  apple ones
[01:57:24.660 --> 01:57:25.620]  are
[01:57:25.620 --> 01:57:28.820]  Home, well, there's the the ones that we had from last year home
[01:57:29.380 --> 01:57:33.460]  News and stocks which I consider one app because they're really sort of the same
[01:57:34.180 --> 01:57:35.940]  stocks is just a
[01:57:35.940 --> 01:57:39.780]  Version of news that has business related news. Yeah
[01:57:39.780 --> 01:57:42.520]  but voice memos and podcasts
[01:57:43.220 --> 01:57:49.300]  Or I guess podcast was was is new this year. So the four from last year home news stocks voice memos
[01:57:50.420 --> 01:57:54.340]  Uh, all of these are weird and unmack like in their own ways
[01:57:54.980 --> 01:57:55.860]  uh
[01:57:55.860 --> 01:58:00.820]  and people including some people from apple last year said well that's early give them time and then
[01:58:01.460 --> 01:58:06.040]  This year they didn't really look much improved at all and craig fedorigi
[01:58:06.040 --> 01:58:10.440]  I forget who he was. Was it who talking to vitici? I mean, but
[01:58:11.240 --> 01:58:17.560]  After wwdc said well, you know, these are design decisions. They're not I asked him about it on stage at my live podcast
[01:58:17.640 --> 01:58:24.200]  Talk show too. Yeah, and he said, you know, they're not technical limitations. They're design limitations, which is sort of a euphemistic way of there's
[01:58:25.400 --> 01:58:27.800]  There's untalented people designing these apps
[01:58:28.760 --> 01:58:34.440]  Honestly, or they were experimenting but then later on he said, you know, but you know, it's early in the beta
[01:58:34.440 --> 01:58:39.560]  They'll improve by the end. Well, they didn't improve at all. I don't if they changed anything other than to fix bugs
[01:58:39.640 --> 01:58:43.880]  I didn't I can't notice it. I mean the home app still looks like an ios app
[01:58:44.600 --> 01:58:49.400]  A lot. I mean it even has the weird ios like controls for the date picker
[01:58:49.880 --> 01:58:51.080]  There were no design changes
[01:58:51.080 --> 01:58:54.040]  They optimized a few things in terms of the mechanics of the apps
[01:58:54.040 --> 01:58:58.600]  But the designs didn't change and and that using ios controls in a mac app
[01:58:59.220 --> 01:59:02.280]  Especially one from apple. It's it's mind-blowing to me
[01:59:02.280 --> 01:59:05.320]  I mean part of what made the iphone so
[01:59:06.360 --> 01:59:07.640]  great
[01:59:07.640 --> 01:59:13.560]  Right from the get-go was that they said at like a technical level, you know, they're we're building this, you know
[01:59:13.560 --> 01:59:16.840]  It's like a stripped down version of os 10 and and we've you know
[01:59:17.400 --> 01:59:20.120]  Taken our cocoa frameworks and made a new version for ios
[01:59:20.920 --> 01:59:22.920]  There was no leakage
[01:59:23.400 --> 01:59:29.000]  At all of anything that would that would look like a mac control
[01:59:29.000 --> 01:59:32.520]  On io iphone every single control that they had
[01:59:33.320 --> 01:59:38.600]  Was I mean like push buttons are the one example of a thing that works pretty much the same on a touch screen as on
[01:59:38.600 --> 01:59:40.040]  a mouse
[01:59:40.040 --> 01:59:41.000]  screen
[01:59:41.000 --> 01:59:45.960]  But things like date pickers or pop-up menus all had
[01:59:46.360 --> 01:59:51.960]  Very very ios style controls and even on the web even in mobile safari. They went out of their way
[01:59:52.520 --> 01:59:56.440]  To create every take every single standard html user interface control
[01:59:56.440 --> 01:59:59.320]  Like pop-up menus and do them in an ios way
[01:59:59.880 --> 02:00:01.980]  And even today in 2019
[02:00:02.600 --> 02:00:08.760]  Where one of the flagship features if not the flagship featured in my opinion of ipad os 13
[02:00:09.400 --> 02:00:18.360]  Is desktop desktop class browsing right where it reliably asserts itself as safari for mac as opposed to safari for iphone
[02:00:18.840 --> 02:00:24.680]  So that you get the mac what you'd see on a mac or any other desktop class browser in the ipad
[02:00:24.680 --> 02:00:31.660]  Even though that's true, and I think it they've it's just absolutely my very favorite thing about ipad
[02:00:32.280 --> 02:00:38.920]  Os 13 the hardest thing that that would that would drive me crazy if I had to go back to ios 12 on an ipad
[02:00:39.640 --> 02:00:46.200]  Even so they're not desktop style controls, right? It renders the page that way but you still get
[02:00:46.840 --> 02:00:53.480]  Touch optimized versions of these controls. They're not little tiny things that you need a pencil to touch
[02:00:53.480 --> 02:00:58.840]  A pencil to pick they have big fat finger size things that you can tap on
[02:01:00.360 --> 02:01:06.840]  Everything is touch optimized so to take something that's not mouse optimized at all and just stick it on the mac
[02:01:07.400 --> 02:01:11.160]  Almost literally unchanged. It's mind-boggling. It's just as offensive to me
[02:01:11.880 --> 02:01:17.960]  As as a ui connoisseur as it would have been if you had every once in a while had a tiny little
[02:01:18.920 --> 02:01:21.080]  menu bar show up in an iphone app
[02:01:21.080 --> 02:01:25.960]  The original windows on tablets, right? Yeah, it just it's mind-boggling to me
[02:01:26.600 --> 02:01:28.120]  Yeah
[02:01:28.120 --> 02:01:34.760]  So the two new apps this year for catalina are find my and podcasts. Those are both catalina apps as well
[02:01:35.320 --> 02:01:43.480]  Podcasts is the is that standout. It looks the most like it's non-catalyst siblings tv and
[02:01:44.120 --> 02:01:46.120]  music
[02:01:46.120 --> 02:01:54.360]  Um, there's obviously a lot of confusion out there between what's catalyst and what's not catalyst. I mean, I know a lot of people think
[02:01:55.000 --> 02:01:57.000]  That the app store app
[02:01:57.080 --> 02:02:01.080]  Is catalyst because it is very ios e yeah
[02:02:01.080 --> 02:02:05.480]  There's an awful lot of things in the app store app that to me are ui mistakes
[02:02:06.360 --> 02:02:12.200]  But that they come across as ios isms. I mean the one that I I just think it's I just think it's a bad decision
[02:02:12.200 --> 02:02:18.280]  Is when you look at an app and you click like in your updates and and you can click more to read the release notes
[02:02:18.360 --> 02:02:20.760]  It opens up in a very ios style panel
[02:02:21.400 --> 02:02:27.400]  That has no close button or done button. It just it just is like a rectangle on your screen
[02:02:27.400 --> 02:02:31.160]  And the only way to close it is to click away which yeah, it's it's baffling
[02:02:31.480 --> 02:02:37.080]  It's a very that's just bizarre from a mac user's experience perspective of how
[02:02:37.960 --> 02:02:41.480]  A window or a sheet or anything like that would would be dismissed
[02:02:41.480 --> 02:02:46.280]  Like it's just strange. But anyway, it's not a catalyst app app store app. However, you know
[02:02:48.040 --> 02:02:52.120]  Ultimately the user shouldn't have to know that's a key point, right?
[02:02:52.760 --> 02:02:58.600]  And so like 32-bit versus 64-bit typical user never had any idea never should have had any idea
[02:02:59.560 --> 02:03:03.240]  Swift when swift became a way to make real mac apps
[02:03:03.560 --> 02:03:10.280]  There was no way to like double click an app and tell oh this app was written in swift and this one was written in objective c
[02:03:10.280 --> 02:03:13.960]  Like the programming language is not something that a user should ever have to worry about
[02:03:14.760 --> 02:03:20.520]  There were some tiny some things that you know you as an even as a non-developer
[02:03:20.520 --> 02:03:23.880]  You could kind of get a hint like you can always in the mac poke around
[02:03:24.760 --> 02:03:29.720]  In the you know, click on the control click or right click whatever you want to call it on the dot app bundle
[02:03:30.760 --> 02:03:35.960]  Show the package contests and poke around in there and look at the frameworks and until recently
[02:03:35.960 --> 02:03:42.440]  An app that used swift whether it was written entirely in swift or partially in swift had to include the swift frameworks within the app bundle
[02:03:42.440 --> 02:03:44.440]  Because they weren't part of the system
[02:03:45.000 --> 02:03:47.000]  for technical reasons
[02:03:47.000 --> 02:03:54.200]  That would that are irrelevant so you could poke around as a user and just poking around the app bundles tell if it used swift or not
[02:03:55.800 --> 02:03:58.120]  But as a typical user there was no sign of it
[02:03:58.200 --> 02:04:04.120]  Yeah, and that's how catalyst should be catalyst should not be something that users have to think like hey
[02:04:04.120 --> 02:04:09.960]  I know that this app is on the ipad and it's on my mac. Is this catalyst or is it just
[02:04:10.600 --> 02:04:16.200]  Appkit app and a ui kit app for the ipad you shouldn't have to know only developers should have to know
[02:04:16.360 --> 02:04:22.280]  But the truth is you look at these catalyst apps and they they do stick out there's telltale signs that these are catalyst apps
[02:04:23.000 --> 02:04:24.040]  Yeah
[02:04:24.040 --> 02:04:28.280]  And it's also it's hilarious that if an app kit app does something bad people assume was catalyst
[02:04:28.280 --> 02:04:34.600]  Yeah, that's very true. It's very telling so the podcast app so people are confused people think of music
[02:04:35.000 --> 02:04:37.560]  Tv and podcasts are all catalyst apps. They're not
[02:04:38.440 --> 02:04:41.660]  the music and tv apps are effectively
[02:04:42.280 --> 02:04:49.160]  Two forks of the old itunes app and you know, I love I just love I almost feel like it's a troll from apple
[02:04:49.480 --> 02:04:52.680]  That the preferences window is still a modal dialogue box
[02:04:52.680 --> 02:04:57.160]  They rewrote so much of those apps to make them look new and to separate stuff
[02:04:57.720 --> 02:05:01.800]  And yet they still have a modal dialogue box, which is just wonderful amazing to me
[02:05:01.800 --> 02:05:08.440]  It's all of these apps even like podcasts and music and tv is if you if you open up any list view or grid view
[02:05:08.520 --> 02:05:13.080]  And you click into anything you get this whole row that all it has is a back button in it a little yeah
[02:05:13.800 --> 02:05:16.120]  circle and that back that you go back and it just
[02:05:16.520 --> 02:05:19.640]  Blanks you back into the grid like an iPhone or a tablet or whatever
[02:05:19.640 --> 02:05:23.000]  You go back and it just blanks you back into the grid like on iOS
[02:05:23.320 --> 02:05:28.360]  The title becomes the title of the master view becomes the title of the detail view and it slides you back and forth
[02:05:28.360 --> 02:05:32.520]  So you're spatially aware here is just oh we're gonna throw an entire row up there stick a little button in
[02:05:32.760 --> 02:05:37.160]  And then cross fade you in and out. Yeah, and it's across all the apps and it's baffling to me, too
[02:05:37.320 --> 02:05:40.840]  And it's yeah, it just doesn't read well as immacula
[02:05:41.320 --> 02:05:45.160]  but then there's other things in the podcast app that are just telltale signs that just
[02:05:45.560 --> 02:05:48.520]  It just would never imagine a mac app let alone a mac app from
[02:05:48.520 --> 02:05:51.720]  Apple that doesn't support this so like you go into
[02:05:52.360 --> 02:05:59.080]  The episodes of a show and it lists them and you click on one you can use shift and an arrow key to extend the selection
[02:05:59.160 --> 02:06:01.160]  And select multiple episodes
[02:06:01.480 --> 02:06:04.200]  Right now there's a thing you think oh that's cool because you know
[02:06:04.440 --> 02:06:09.080]  That's the thing you expect to be able to do in a mac app with a list view is select multiple items by shift
[02:06:09.080 --> 02:06:16.680]  Arrowing or command clicking on just continuous ones so you can select numbers one and three but not two
[02:06:16.680 --> 02:06:22.120]  But guess what if you hit command a which you would expect to select all the episodes nothing happens like
[02:06:23.080 --> 02:06:25.080]  Yeah, command a just isn't hooked up
[02:06:25.800 --> 02:06:27.000]  which
[02:06:27.000 --> 02:06:29.000]  is like
[02:06:29.160 --> 02:06:30.680]  It I guess it's an oversight
[02:06:30.680 --> 02:06:31.240]  You know
[02:06:31.240 --> 02:06:37.160]  I bet they fix it because the podcast app really really goes out of its way to be as mac like as it possibly can
[02:06:37.560 --> 02:06:40.280]  but you the reason it sticks out is that
[02:06:40.280 --> 02:06:46.280]  Support for command a as select all in a list view isn't something that's part of the beauty of cocoa
[02:06:46.600 --> 02:06:49.320]  And the app kit frameworks. Is that the reason that
[02:06:50.120 --> 02:06:56.920]  Brand new apps never had oh we forgot about hooking up command a is that they didn't have to remember it because it just came for
[02:06:56.920 --> 02:07:04.200]  Free with appkit right like that's why you can't remember even a brand new app that didn't have support for select all
[02:07:04.920 --> 02:07:07.320]  Because it came for free and you didn't have to do that
[02:07:07.320 --> 02:07:15.320]  Because it came for free and you didn't have to keep this checklist of 50 60 100 standard little things that we have to hook up
[02:07:15.320 --> 02:07:22.040]  Manually because they don't come across for free because command a for select all isn't a thing on ui kit on ios
[02:07:23.320 --> 02:07:28.280]  I also mentioned that you can't right click and go to see the file in finder because there's no there's no directory all my
[02:07:28.440 --> 02:07:34.840]  Directories that had podcasts in are empty now and they're all some slash library slash podcast slash cache file, right?
[02:07:34.840 --> 02:07:37.800]  it's and that's just I
[02:07:39.320 --> 02:07:46.280]  Realize, you know, maybe that's the future we're heading towards but it to me. It's a future that would be best provided by a
[02:07:47.280 --> 02:07:49.240]  either an iPad
[02:07:49.240 --> 02:07:55.000]  OS device or another iOS device that is iOS on a laptop form factor not
[02:07:55.520 --> 02:07:57.080]  Mac OS like
[02:07:57.080 --> 02:08:00.320]  What Mac OS is to me is inextricably tied to being?
[02:08:00.320 --> 02:08:05.920]  If if you want like I think it's great that it has evolved in a way for casual users
[02:08:05.920 --> 02:08:08.980]  They don't really have to interact with files in the file system often
[02:08:09.120 --> 02:08:14.600]  but if you want to you should be able to and in an app like that where you know, the back end is a
[02:08:15.560 --> 02:08:19.000]  file like an image in photos or
[02:08:20.200 --> 02:08:21.680]  at a
[02:08:21.680 --> 02:08:28.420]  podcast episode and a podcast player you expect to be able to get to it in the finder somehow by and and the way that
[02:08:28.420 --> 02:08:33.080]  I you know, the most obvious thing to try that I would try is what you just tried is right-clicking on it
[02:08:33.080 --> 02:08:38.800]  and then you expect a reveal and finder menu item and you expect it to open a finder window and there it is and
[02:08:39.240 --> 02:08:45.100]  It doesn't work. Not so much. All right, and I get it like, you know when they move to Swift, you know
[02:08:45.100 --> 02:08:49.200]  Swift is gonna be a multi-year transition APFS is gonna be a multi-year transition
[02:08:49.480 --> 02:08:53.360]  Catalyst is gonna be a multi-year transition and next year's will be better than this year's
[02:08:53.440 --> 02:08:57.300]  It's just these feels so much more palpable because they're the apps that you're dealing with now
[02:08:57.300 --> 02:08:59.880]  I think most casual users never see APFS
[02:08:59.880 --> 02:09:04.640]  They never see Swift but boy do they see like home home dot app in front of them?
[02:09:04.640 --> 02:09:08.280]  So it you you were watching the sausage getting made and I don't think we're used to that
[02:09:08.840 --> 02:09:14.100]  Yeah, and you know, I don't know I played with the Twitter app a little bit and it's not horrible
[02:09:14.100 --> 02:09:18.580]  And I guess I'm I guess I would have to agree that it is better to have
[02:09:19.500 --> 02:09:26.440]  This Twitter app with a bunch of deficiencies that I would consider just standard in a Mac app then no Twitter app at all
[02:09:26.440 --> 02:09:28.440]  but
[02:09:28.560 --> 02:09:32.040]  It is particularly galling to me with Twitter
[02:09:32.920 --> 02:09:34.520]  because
[02:09:34.520 --> 02:09:37.080]  I'm I'm opened and and
[02:09:38.640 --> 02:09:43.420]  Sensitive to the idea that like for a one or two person developer shop
[02:09:44.160 --> 02:09:46.160]  Yes that
[02:09:46.360 --> 02:09:51.840]  Maintaining fewer apps and less small a smaller code base is a huge advantage and that maybe it is
[02:09:51.840 --> 02:09:58.640]  The difference between being able to offer a Mac app and not and only having an iOS and iPad app
[02:10:00.080 --> 02:10:05.480]  Twitter doesn't have that excuse Twitter is a billion-dollar company with like 3,000 employees. Like what the hell are they doing?
[02:10:06.960 --> 02:10:12.440]  And in in addition to the fact that they can't beg poor, right?
[02:10:12.440 --> 02:10:16.900]  They can't say we can't afford to have a Mac development team. They're there
[02:10:16.900 --> 02:10:23.820]  They've when they acquired Tweedy and Lauren bricker back in the day. They acquired a one
[02:10:24.420 --> 02:10:32.220]  Person now again, Lauren bricker is a friend and a fine fellow and an ingenious UI designer and an incredibly
[02:10:33.060 --> 02:10:40.340]  Talented developer and is exceptional in all those regards including just being a good person. It really is an exceptional person. I
[02:10:41.020 --> 02:10:45.420]  Realize that that's you can't expect everybody to be a Lauren bricker
[02:10:45.420 --> 02:10:48.500]  but it was a one-person company that had a
[02:10:49.380 --> 02:10:50.880]  great I
[02:10:50.880 --> 02:10:54.260]  iPhone app a great real Mac app and
[02:10:54.900 --> 02:10:59.340]  Not just a great iPad app, but still to this date arguably the most innovative
[02:10:59.900 --> 02:11:07.560]  user interface in an iPad app that anybody's ever created that was pushing the boundaries that even Apple had defined for the experience of a
[02:11:08.940 --> 02:11:12.340]  Multi-level app and how you would navigate
[02:11:12.340 --> 02:11:18.140]  The depth of the hierarchy you were at and how you would indicate the depth of the hierarchy
[02:11:18.140 --> 02:11:20.940]  You're at all from one person and now yeah
[02:11:20.940 --> 02:11:24.280]  We're told that Twitter can't couldn't afford to keep up a Mac app
[02:11:24.280 --> 02:11:26.660]  And so this is great now
[02:11:26.660 --> 02:11:31.180]  They'll have a Mac app because they can use their iOS app and you we get this garbage
[02:11:31.740 --> 02:11:37.820]  And it's funny because you mentioned Ben said out Sandusky before how it his old job was doing the entire Twitter for Mac app
