[00:00.000 --> 00:04.640]  So where to start I say we let's just talk about Renee Ritchie. Let's talk year in review. Yes
[01:48:45.040 --> 01:48:48.480]  Login information to your to your registry account at the other registrar
[01:48:48.800 --> 01:48:52.980]  They will just move your domains over from your old registrar
[01:48:53.680 --> 01:48:55.680]  to your new one at hover
[01:48:56.080 --> 01:49:00.000]  And take care of all the stuff that needs to be changed the dns and all that stuff
[01:49:00.880 --> 01:49:05.360]  This is all their their valet transfer people do they're experts in moving domains
[01:49:05.680 --> 01:49:10.480]  You like me probably are not an expert in moving domains and when you do it
[01:49:10.480 --> 01:49:13.120]  You make a mistake with dns you can ruin your day
[01:49:13.120 --> 01:49:17.040]  You can ruin your day. You could knock your website offline for the day before
[01:49:17.760 --> 01:49:20.720]  When you fix it propagates to everywhere that got the bad stuff
[01:49:22.560 --> 01:49:26.960]  Just amazing no wait, no hold no transfer technical support
[01:49:28.480 --> 01:49:32.560]  You just call them up you call them up on the phone and they answer the phone like a person answers the phone
[01:49:33.760 --> 01:49:36.400]  Amazing. So where do you go to find out more?
[01:49:36.960 --> 01:49:38.560]  Go to hover.com
[01:49:38.560 --> 01:49:43.040]  And use this promo code the promo code for my show this week is scotch
[01:49:43.600 --> 01:49:49.840]  Like the beverage scotch use scotch as your hover as your uh promo code at hover
[01:49:50.480 --> 01:49:56.240]  And you'll get 10 off your first purchase by going to hover.com and typing in that promo code
[01:49:56.720 --> 01:50:00.180]  Can't recommend them highly enough great thing. You got time to burn over the holidays
[01:50:00.640 --> 01:50:03.540]  And you got your your domains tied up at some shitty registry
[01:50:03.540 --> 01:50:08.820]  Go to hover sign up use that code scotch and move your domains over it
[01:50:08.820 --> 01:50:14.260]  You'll save money and then you'll you'll email me and you'll say I can't believe I didn't move my stuff over to hover before
[01:50:14.740 --> 01:50:16.260]  So my thanks to hover
[01:50:16.260 --> 01:50:19.460]  Drink any good scotch lately renee, uh only when i'm out with you and guy
[01:50:20.820 --> 01:50:24.260]  That's the time when I get the bourbon in the scotch. I don't think i've had any scotch lately
[01:50:25.940 --> 01:50:30.020]  Or if I do I don't remember it's the lack of christmas apple events. Yeah
[01:50:30.020 --> 01:50:32.020]  Yeah, um
[01:50:32.180 --> 01:50:35.540]  So that's it though, I think what else is up for 2014 in review
[01:50:35.780 --> 01:50:38.900]  I think there's sort of two things that we could touch on just quickly. One is the
[01:50:39.780 --> 01:50:46.660]  Tim cook beyond just running at apple, but the the moves he's made towards the inclusivity and towards equal opportunity. Oh the liberties
[01:50:47.860 --> 01:50:51.540]  I can't believe I didn't think of that. I think that's it's absolutely been a big year for that
[01:50:52.340 --> 01:50:56.260]  Yeah that his essay. I think was just absolutely pitch perfect. Um,
[01:50:56.260 --> 01:51:00.580]  Just uh his own version of you know thoughts on and but it was so much more personal
[01:51:01.860 --> 01:51:07.460]  Yeah, I think even if he hadn't written that and come out himself as gay this year
[01:51:07.780 --> 01:51:09.940]  I I think it would still be worth talking about
[01:51:10.580 --> 01:51:16.500]  The like you said inclusivity and etc that that he's led and that apple has pushed this year
[01:51:18.020 --> 01:51:20.420]  It's terrific and it reminds me of the story that I heard
[01:51:20.820 --> 01:51:24.900]  You know with scott forestall where he really wanted to make apple a more inclusive company
[01:51:24.900 --> 01:51:27.460]  And he believed that you in order to hire more
[01:51:28.100 --> 01:51:31.140]  With more diversity you had to have more diversity in the hiring process
[01:51:31.140 --> 01:51:33.940]  So when he would get they had terrific female engineers
[01:51:33.940 --> 01:51:37.540]  I mean vicki murley famously but terrific female engineers on the safari team, for example
[01:51:37.860 --> 01:51:42.260]  And they would they would not only send them on their resumes, but they would send them out to you know
[01:51:42.260 --> 01:51:47.380]  on the job hunts to the to the colleges because they knew that they would come back with a different perspective and
[01:51:47.780 --> 01:51:50.420]  We we haven't seen tremendous spread of that effect
[01:51:50.420 --> 01:51:55.940]  We haven't seen a huge swing in the amount of women or minorities and in jobs in silicon valley
[01:51:55.940 --> 01:52:01.300]  But we have seen improvements and I think with apple's report as disappointing as the results might be to many people
[01:52:01.860 --> 01:52:06.180]  The exposure that it gets and the willingness for people to want to make it better. I think we're huge this year
[01:52:07.060 --> 01:52:11.700]  Yeah, and I think it's again another one of those things where I think you can really just take
[01:52:12.260 --> 01:52:16.180]  Tim cook at his word. Yeah, and it's no euphemism
[01:52:16.260 --> 01:52:19.460]  It's not just you know, trying to say what people want to hear
[01:52:19.460 --> 01:52:23.380]  What people want to hear I think he means it where a he thinks it's just right
[01:52:23.540 --> 01:52:29.620]  It's just the right thing to do but be that that that fierce competitor in him. You can tell when he says it that
[01:52:30.500 --> 01:52:33.780]  It's there's there's obviously so much untapped talent
[01:52:34.720 --> 01:52:36.420]  outside
[01:52:36.420 --> 01:52:42.580]  The white male engineer, you know, yeah whites and asians, you know that everybody else women
[01:52:43.140 --> 01:52:44.580]  people of color
[01:52:44.580 --> 01:52:47.140]  uh men and women, uh, it's
[01:52:47.140 --> 01:52:51.860]  The talent is out there and apple is starved for talent and they want it
[01:52:52.500 --> 01:52:55.460]  you know, so there's in addition to the the the
[01:52:56.180 --> 01:52:58.580]  Justice angle, you know that it's the way it should be
[01:52:59.300 --> 01:53:04.100]  that that people don't feel welcome in the industry, but it there's also just a purely
[01:53:04.980 --> 01:53:06.980]  competitive aspect to it
[01:53:07.060 --> 01:53:12.020]  It's it was that beautiful moment too with tim cook when they were at the shareholders meeting and the guy stood up and he said
[01:53:12.020 --> 01:53:16.360]  Why are you wasting basically said why are you wasting my money on environmentalism and accessibility?
[01:53:16.360 --> 01:53:21.560]  Accessibility and tim cook said, you know that this stuff matters and if you don't think it matters just get the hell out of the stock
[01:53:22.040 --> 01:53:24.040]  Right. It was the guy brought up roi
[01:53:24.440 --> 01:53:31.240]  Investment and you know and it was fascinating, you know that that cook got as angry as he did and said
[01:53:31.560 --> 01:53:34.440]  Everything we do isn't about the bloody our roi
[01:53:34.440 --> 01:53:39.560]  Yeah, and it's funny that he said bloody because he's you know, clearly he's not british, but he's the cool one
[01:53:39.640 --> 01:53:42.200]  Right, like we'd expect that from steve jobs. Steve jobs was bombastic
[01:53:42.200 --> 01:53:47.800]  But tim cook always looked like he would just sit there with laser beams in his eyes and that for him is hugely emotional
[01:53:48.920 --> 01:53:54.040]  Right. It wouldn't be surprising if tim cook. I mean if steve jobs had gotten angry at a shareholder
[01:53:54.040 --> 01:53:59.880]  Yeah, whereas tim cook is the guy you'd think no matter what any crackpot shareholder would say he's not going to get angry
[01:54:00.040 --> 01:54:05.880]  But he did that clearly angered him and again like when uh, I think it was the financial times that named him their
[01:54:05.880 --> 01:54:11.640]  CEO of the year there was somebody there was a couple yes so far but the one that I linked to I remember that they led
[01:54:11.640 --> 01:54:18.200]  Their their here's why with that anecdote and I think in hindsight it was the most telling anecdote of the year
[01:54:18.600 --> 01:54:20.120]  You know in terms of tim cook
[01:54:20.120 --> 01:54:25.560]  Uh being unscripted. Yes, you know, I think in terms of what was scripted and what was planned
[01:54:26.120 --> 01:54:27.720]  his um
[01:54:27.720 --> 01:54:33.320]  You know his coming out essay in business week was probably it but that moment at the shareholders meeting I think was the most telling
[01:54:33.560 --> 01:54:35.560]  impromptu moment
[01:54:35.560 --> 01:54:40.360]  Yeah, and you know, it really made me think it's strange to say but it made me think a lot more of tim cook because you
[01:54:40.360 --> 01:54:46.760]  Know it is hard to tell he is so controlled in public and so on message and so on point and he's such he's so gifted
[01:54:47.080 --> 01:54:52.840]  As a thinker and someone who's controls logistics and all these things to see his emotional response sort of added
[01:54:53.400 --> 01:54:56.040]  A whole new dimension to him as not just a ceo but a person
[01:54:57.160 --> 01:54:59.160]  yeah, I think absolutely and
[01:55:00.360 --> 01:55:02.360]  You know and I think that's it
[01:55:02.360 --> 01:55:06.600]  It it's also a to me a sign of the long-term thinking
[01:55:07.400 --> 01:55:14.760]  That the apple, you know under jobs, you know constantly, you know consistently since since the in the post next
[01:55:15.460 --> 01:55:22.760]  Reunification era, you know that they've been a long-term company that's looking at building a company that's going to be here for 50 or 100 years
[01:55:23.480 --> 01:55:27.080]  Uh, you know that's going to outlive everybody who's at the company today
[01:55:27.080 --> 01:55:32.680]  You know and there's I really do think that that's what they're looking at that they're trying to build an institution that's going to still be
[01:55:32.680 --> 01:55:38.840]  Here when tim cook and phil shiller and angela arntz are all long retired and you know
[01:55:40.120 --> 01:55:47.400]  Frankly in the grave. Yeah, and how do you do that? Well, you don't do it by sweating the roi on every single thing you do
[01:55:48.600 --> 01:55:49.560]  Yeah
[01:55:49.560 --> 01:55:54.360]  And it's you know, the other thing too it that and I think it's probably what burned him up is
[01:55:54.360 --> 01:56:00.280]  It's not like apple, you know has dipped into low profit margins and that they're still spending money
[01:56:00.840 --> 01:56:02.840]  I think it was in particular with the uh,
[01:56:03.640 --> 01:56:05.640]  The the clean energy for the data centers
[01:56:07.160 --> 01:56:13.880]  And spending money on thing, you know worrying about things like their environmental impact on global warming or climate change
[01:56:13.880 --> 01:56:15.880]  Whatever you want to call it
[01:56:15.880 --> 01:56:20.600]  Carbon footprint. Yeah, it definitely struck a chord with him. It was a good chord to have been struck
[01:56:20.600 --> 01:56:23.800]  Uh, and you know the whole, you know, social
[01:56:25.080 --> 01:56:31.800]  Equality angle is has clearly I don't think steve jobs was against it, but it's you know
[01:56:32.680 --> 01:56:37.640]  Apple is clearly as a company is clearly more outspoken about it now than they were under him
[01:56:37.640 --> 01:56:43.560]  Well job seemed to believe that all that stuff was deeply personal charity charitable donations and support for causes was something that he believed
[01:56:43.560 --> 01:56:48.600]  That apple paying that people could let people spend their own money on but it wasn't at a corporate level where tim cook
[01:56:48.600 --> 01:56:54.040]  You know, he he took apple on the gay pride parade. He's put apple behind equal employment legislation
[01:56:54.040 --> 01:56:59.880]  He's really believed that the power and and wealth of apple can be used for more than just generating more power and wealth
[01:57:00.600 --> 01:57:01.800]  Yeah
[01:57:01.800 --> 01:57:02.840]  Yeah
[01:57:02.840 --> 01:57:06.920]  Absolutely. All right. And what was your second thing? My second thing was I was going to talk about the app store stuff
[01:57:06.920 --> 01:57:08.920]  But I feel like it's a bit of a downer at the end now
[01:57:09.480 --> 01:57:11.480]  Yeah, maybe we did them in the wrong order
[01:57:12.440 --> 01:57:15.480]  Well, we should still do it. Well, we'll let whiskers fix it. Okay
[01:57:15.480 --> 01:57:17.480]  Right with the
[01:57:18.920 --> 01:57:23.000]  Well the today view widgets right this that people you know
[01:57:23.960 --> 01:57:28.120]  in short it was like apple introduced these today view widgets and
[01:57:28.680 --> 01:57:33.800]  At wwdc and then you know, I think they might have even literally said we can't wait to see what you guys do with them
[01:57:33.800 --> 01:57:35.080]  yeah, and
[01:57:35.080 --> 01:57:40.040]  Then they saw what people were doing with them and rejected a whole bunch of the most
[01:57:40.040 --> 01:57:45.240]  Clever versions of them. Um, who I was it
[01:57:46.520 --> 01:57:50.860]  Was it I think it was james thompson's pcalc. Yeah, that was simultaneously
[01:57:51.480 --> 01:57:53.480]  being promoted
[01:57:53.800 --> 01:57:55.800]  In the app store with a banner
[01:57:56.520 --> 01:58:01.080]  For great new uses of today view widgets because it was he added a calculator
[01:58:01.080 --> 01:58:03.960]  so you without even opening the app right in the today view if you
[01:58:03.960 --> 01:58:07.480]  If you put the pcalc widget in you could just do your calculation right there
[01:58:08.440 --> 01:58:11.560]  It was being promoted as a great new widget at the same time
[01:58:12.280 --> 01:58:17.960]  That like the review team had contacted him and said you know what that's outside the bounds of what we intended to be enabled
[01:58:18.040 --> 01:58:20.200]  So you're going to have to submit a new build that takes that out
[01:58:20.760 --> 01:58:25.720]  I mean it sounds from the outside. It looks absolutely insane and I think it's worth explaining not to excuse it
[01:58:25.720 --> 01:58:29.160]  But sort of to explain it so extensibility is one of the things that we've been talking about
[01:58:29.160 --> 01:58:34.760]  So extensibility is this huge new feature and everyone is trying to ship iOS 8 and developers are trying to get their apps approved
[01:58:34.760 --> 01:58:37.800]  And app review is it's the worst time of the year to work in app review
[01:58:38.040 --> 01:58:41.640]  And they bring in as many people as they can and they try to get as many apps as possible
[01:58:41.880 --> 01:58:45.560]  Onto the store and as soon as an app is approved and this is all under phil shiller's org
[01:58:45.720 --> 01:58:51.320]  That is that moves to eddie q's org where they have app editorial and they need to program the entire app store
[01:58:51.560 --> 01:58:54.600]  Promotion for all that stuff and all they see is approved. They have no idea what they're doing
[01:58:54.600 --> 01:58:59.880]  What might be going on behind the scenes its flag is approved. It's fine for editorial and then when things sort of slow down again
[01:58:59.880 --> 01:59:04.760]  People who are higher up in app store review who have a lot of ideas about what they believe, you know
[01:59:04.760 --> 01:59:10.040]  They sincerely believe that certain things about experience and whether a button will confuse an average user or whether
[01:59:10.280 --> 01:59:14.840]  Someone is spending time in notification center and they're not supposed to it's supposed to be a quick conduit
[01:59:15.320 --> 01:59:20.040]  And they care a lot about these things and they'll flag it and then it'll get removed and it won't work
[01:59:20.040 --> 01:59:25.320]  Any sense and developers will appeal and it'll go to a higher level and it might end up on the executive review committee's desk
[01:59:25.320 --> 01:59:28.040]  And they might say it's fine, you know, stop worrying about it
[01:59:28.600 --> 01:59:33.880]  And but it I think extensibility was so new that it created a disconnect between what was technically possible
[01:59:34.120 --> 01:59:41.160]  And what people who had been in app review, you know, at a slightly higher level for many years thought should be the experience on the system
[01:59:42.120 --> 01:59:48.040]  Yeah, I I think that's a very good way to put it and I think that's a very good way to put it and I think that's a very good way to put it
[01:59:48.040 --> 01:59:51.240]  I think that's a very good way to put it and I think maybe the transmit
[01:59:52.200 --> 01:59:53.720]  um
[01:59:53.720 --> 01:59:58.440]  It was transmit right? Yeah. Yeah that had the sharing to uh
[01:59:59.640 --> 02:00:06.360]  Storage services like box.net and dropbox and ik cloud drive
[02:00:07.320 --> 02:00:08.360]  um
[02:00:08.360 --> 02:00:09.880]  you know that
[02:00:09.880 --> 02:00:15.900]  Completely within the the they didn't they didn't use any non-private or non-public apis
[02:00:15.900 --> 02:00:20.220]  all public apis the sharing sheet itself the the
[02:00:20.860 --> 02:00:24.060]  What's it called move to whatever you want to call it send to send to?
[02:00:24.780 --> 02:00:26.380]  um
[02:00:26.380 --> 02:00:29.180]  They don't have any control over it's part of that whole
[02:00:29.980 --> 02:00:31.980]  um
[02:00:32.460 --> 02:00:38.220]  Inner application communication that that enables so many of these continuity features and sharing features one sheet
[02:00:38.300 --> 02:00:42.700]  They can't line item veto certain services, right? Because the system is drawing it which is
[02:00:42.700 --> 02:00:48.140]  Why apple is opening up seemingly opening up and letting you do these things that you couldn't do before?
[02:00:49.980 --> 02:00:56.540]  And then they were told you can't you can't do this for icloud drive you can't send anything you you can't send anything
[02:00:56.540 --> 02:00:59.500]  That wasn't created in your your own app to icloud drive
[02:01:00.460 --> 02:01:05.100]  Which meant like you said because you don't have line item veto on the services that are listed
[02:01:05.340 --> 02:01:11.980]  That you had to take out the whole thing and now the app couldn't send to anybody including dropbox or box or anybody who?
[02:01:11.980 --> 02:01:13.820]  Apple doesn't care about
[02:01:13.820 --> 02:01:20.860]  Whereas it almost seemed like it was exactly why they added the send to in the first place so that you could do things like that
[02:01:21.420 --> 02:01:25.180]  It's again when you look at it from certain perspective and i'm not supporting this perspective
[02:01:25.180 --> 02:01:26.540]  But I know it's almost thing like you know
[02:01:26.540 --> 02:01:31.660]  I understand is that they didn't they don't want the line item veto because they think that there can be disputes within companies that
[02:01:31.660 --> 02:01:37.420]  Would cause one company to sort of remove a competitor or remove a service and that's not to the benefit of the user
[02:01:37.420 --> 02:01:41.980]  But the original model on mac it's the same like there was apple made a calculator widget for os 10
[02:01:41.980 --> 02:01:47.340]  They didn't make one for ios for a variety of reasons, but they thought it wasn't the right experience. So they deliberately didn't make one
[02:01:48.220 --> 02:01:52.380]  Then you know james thompson who's a phenomenal developer did make one for icloud drive on the mac
[02:01:52.380 --> 02:01:53.740]  You could put any arbitrary file there
[02:01:53.740 --> 02:01:58.060]  But on ios it was sort of understood that you could only put files that you created or edited
[02:01:58.380 --> 02:02:03.660]  Because that meant the user knew that they were in your app and was working on them and they would understand it was in that space
[02:02:03.660 --> 02:02:08.060]  But then something like transit comes along which is the you know, quote-unquote steve jobs unforeseen thing
[02:02:08.380 --> 02:02:12.300]  And it's taken to the level where they can say this isn't what we intended it for it to do
[02:02:12.540 --> 02:02:17.500]  But it's not taken to the level of thinking. Well, is it a good thing anyway, like should we let it in anyway?
[02:02:17.820 --> 02:02:22.460]  So it gets rejected then it gets appealed then it gets overturned and it makes apple look horrible in the press
[02:02:22.460 --> 02:02:27.020]  It stresses out the developers and it affects the features that customers believe that they've paid for
[02:02:27.580 --> 02:02:30.140]  And you don't have paid for and it's just not a good outcome for anybody
[02:02:30.140 --> 02:02:35.660]  Yeah, but I do. Yeah, and if you like you said though, I think if you want to try to understand why it's that it's so
[02:02:35.660 --> 02:02:38.140]  New. Yeah, and there's so many moving pieces
[02:02:38.860 --> 02:02:40.860]  and
[02:02:40.860 --> 02:02:44.060]  You know the thing that made if you understood everything that was going on the thing that made
[02:02:44.700 --> 02:02:49.740]  Transmits and again transmit wasn't yanked from the app store. They got a you know, mostly friendly
[02:02:50.440 --> 02:02:54.940]  Notification that that they were told you need to submit a new build that takes this out
[02:02:55.420 --> 02:02:58.780]  You know and they couldn't wait forever. I'm sure they could do that
[02:02:58.780 --> 02:03:03.580]  They couldn't wait forever. I'm sure that at some point apple would you know, it's like two weeks usually I think yeah
[02:03:03.820 --> 02:03:05.260]  And you know, it's more or less, you know
[02:03:05.260 --> 02:03:09.900]  Take out those lines of code that do this test your new build and submit it and we'll do this
[02:03:10.620 --> 02:03:12.140]  um
[02:03:12.140 --> 02:03:14.780]  I don't think it's any surprise that it was the ios version
[02:03:15.500 --> 02:03:18.300]  That caused the problem now if you understood what was going on
[02:03:18.380 --> 02:03:23.820]  It didn't make any sense though because nothing you could do from the ios version no file that you could put
[02:03:24.380 --> 02:03:27.420]  Move from transmit to your iCloud drive
[02:03:27.420 --> 02:03:33.980]  You couldn't do the exact same thing on Yosemite. Yeah, you could do the exact same thing. So there was nothing that they were
[02:03:34.460 --> 02:03:35.900]  that that
[02:03:35.900 --> 02:03:40.060]  Whoever it was who thought they needed to not be able to do this from their ios app
[02:03:41.340 --> 02:03:47.740]  Was seemingly unaware that whatever it was that you would do whether it was a porno file or a illegally downloaded movie
[02:03:47.900 --> 02:03:52.220]  Or whatever it is that they were worried about was it copyright whatever or just stealing files?
[02:03:52.300 --> 02:03:56.460]  You know, you load an app and it starts taking your files and putting it on someone's server somewhere. Yes
[02:03:56.460 --> 02:04:01.260]  Um, it was all stuff that you could do right in the finder in Yosemite
[02:04:01.260 --> 02:04:06.300]  You can put whatever file you want your iCloud drive, you know in the same way that the finder doesn't keep you from moving
[02:04:06.300 --> 02:04:09.660]  You know a file from any folder anywhere to any other folder
[02:04:11.180 --> 02:04:16.620]  But I think it's understandable because that you know it the review teams and correct me if i'm wrong
[02:04:16.620 --> 02:04:22.140]  I think you might know more about their internal makeup, but the ios it's not like a review team. There's ios reviewers and mac
[02:04:22.140 --> 02:04:28.860]  Yes, and the ios reviewers are coming from a year's long history of you know
[02:04:28.860 --> 02:04:30.860]  What's restricted on ios?
[02:04:31.420 --> 02:04:35.020]  And moving files that weren't created in app
[02:04:35.500 --> 02:04:42.380]  Whatever your app is to anywhere else has always been forbidden and so it's you know, I could see how it even got high up
[02:04:43.260 --> 02:04:48.380]  Not to the highest levels but pretty high up and they thought no this has to be against the rules
[02:04:48.380 --> 02:04:52.460]  This isn't something that ios does I wrote a piece about this and one of the things I just wanted to
[02:04:52.860 --> 02:04:55.660]  And to help people understand is that when you say like apple rejected it
[02:04:56.220 --> 02:04:59.820]  Apple has these same discussions. Like if you listen to atp or you listen to the talk show
[02:04:59.820 --> 02:05:03.820]  That's the discussion that's happening inside apple as well and there's people advocating very strongly
[02:05:04.140 --> 02:05:09.260]  That these things should be allowed and there's people advocating saying this button here is going to confuse somebody they'll press it
[02:05:09.260 --> 02:05:13.420]  They'll suddenly be an app. They won't know where they are and they're not modeling it for me or you or you know
[02:05:13.420 --> 02:05:17.020]  Marco or john or somebody they're marketing it for our parents
[02:05:17.020 --> 02:05:24.700]  And you know our non-sophisticated tech-using relatives and they there are some people who are deeply deeply concerned that they have a very sensible
[02:05:25.180 --> 02:05:31.260]  Understandable experience now you could argue that widgets and extensibility in general is is a pretty nerdy feature and anyone using it
[02:05:31.500 --> 02:05:35.340]  Probably knows what they're doing and I think that's the argument that's winning out now
[02:05:35.340 --> 02:05:40.620]  But it really is these sorts of discussions and people want more rules sometimes on the app store
[02:05:40.620 --> 02:05:45.660]  But apple believes that the more my understanding is that apple believes that the more rules will actually chill out
[02:05:45.660 --> 02:05:51.980]  The more rules will actually chill innovation and they'd much rather see james thompson as annoying as it is make a calculator widget
[02:05:51.980 --> 02:05:58.140]  Have it rejected then have it approved then him to see a rule and just never make it or have to lobby for a change in the rule that might take years
[02:05:58.140 --> 02:06:02.780]  Because right now is ugly and as frustrating as the process was we have pcalc we have transmit
[02:06:03.020 --> 02:06:08.300]  We have all these things now officially on the store and we have these things officially clarified and it's only been like two months
[02:06:09.180 --> 02:06:10.140]  It's a good point
[02:06:10.140 --> 02:06:12.540]  Yeah, I would like to see and I wrote a thing about this
[02:06:12.540 --> 02:06:15.820]  But I would I think it would be great for everybody if there was a public facing
[02:06:16.460 --> 02:06:21.180]  Vice president of app store there is you know, there are really good directors of app stores. There's really good people in both
[02:06:21.900 --> 02:06:23.180]  Schiller and
[02:06:23.180 --> 02:06:27.100]  cues org but they're split over all these different organizations and much like
[02:06:27.740 --> 02:06:34.540]  Software development accelerated under federigi and stores are accelerating under angela erin's I think if there was somebody whose only job
[02:06:34.620 --> 02:06:41.100]  It was to make a fantastic experience on the app store whether it's making review better whether it's adding sloppy search
[02:06:41.100 --> 02:06:43.100]  You know finally to the app store
[02:06:43.260 --> 02:06:47.580]  But just someone who all you had to do is wake up every day and make developers and customers super happy
[02:06:47.900 --> 02:06:49.900]  I think that would improve the situation for everybody
[02:06:50.860 --> 02:06:51.900]  uh
[02:06:51.900 --> 02:06:56.460]  What's the word there's a word like uh newspapers sometimes have them
[02:06:57.160 --> 02:07:04.300]  Ombudsman's ombudsman. That's yeah. I was thinking the new york times doesn't call them an ombudsman. They call the uh, the public editor
[02:07:04.300 --> 02:07:11.820]  Yeah, only and and I my understanding of why is that for decades they rejected having an ombudsman and then when they finally added
[02:07:11.900 --> 02:07:14.940]  An ombudsman they didn't want to say, okay now we have an ombudsman
[02:07:14.940 --> 02:07:17.580]  They just call their ombudsman the public editor
[02:07:17.980 --> 02:07:19.980]  but the idea of the ombudsman is
[02:07:20.540 --> 02:07:25.820]  That at a newspaper, for example, the ombudsman doesn't is independent and doesn't report to the
[02:07:26.460 --> 02:07:28.460]  You know editor in chief of the newspaper
[02:07:28.460 --> 02:07:34.540]  and so a reader who has a problem with let's say the and it's some sort of bias in the coverage of anything can go to
[02:07:34.540 --> 02:07:40.460]  The ombudsman and the ombudsman can conduct like an independent review. I would love to see apple have
[02:07:42.700 --> 02:07:44.700]  An app store ombudsman, yeah
[02:07:45.500 --> 02:07:50.700]  You know and and you know, I guess I think the way to do it would be to to you know, write a blog
[02:07:52.140 --> 02:07:56.140]  And have a blog not not, you know, so it's not like anybody could
[02:07:56.140 --> 02:08:03.100]  Create an ombudsman issue the ombudsman would still get to choose what they wrote about but that they could look at something
[02:08:03.180 --> 02:08:05.180]  Like pcalc or transmit
[02:08:05.420 --> 02:08:10.620]  And you know not just like when I write about it or you write about it
[02:08:11.180 --> 02:08:16.380]  And kind of make a stink and hope somebody at apple reads our sites and does something about it
[02:08:16.380 --> 02:08:23.180]  But before going public with it the ombudsman could go inside and go to somebody and do the research
[02:08:23.180 --> 02:08:29.820]  And maybe get it clarified without the stink. Yeah, sort of de-escalate it before it hits the media and the executives
[02:08:31.020 --> 02:08:38.620]  Yeah, but then the ombudsman as somebody inside apple could then write a post that maybe explains what apple is thinking
[02:08:39.420 --> 02:08:45.900]  And again without making new rules and creating an ever more complicated set of uh guidelines for the app store
[02:08:46.460 --> 02:08:49.260]  At least sort of explain in plain english
[02:08:49.260 --> 02:08:54.060]  Here's the sort of things that are okay in a today view widget and here's the sort of things that aren't
[02:08:54.860 --> 02:09:00.300]  It's and I think that's a really good idea because uh, I mean we're friends with a lot of people who make productivity and creativity
[02:09:00.300 --> 02:09:06.140]  Apps and that's where this is a problem the people making clash of clans and candy crush and all the people who are making the billions
[02:09:06.140 --> 02:09:11.260]  Of dollars on the app store. There's no uncertainty for them. There's no problem with app review for them. They're all fine
[02:09:11.260 --> 02:09:18.380]  Right that never i'm sure it never occurred to the developer to make a version of crossy road that runs as a today view
[02:09:18.380 --> 02:09:21.340]  Widget, yeah, and yeah, and I mean those those are the easy problems
[02:09:21.340 --> 02:09:25.660]  It's the ones that are that are more black and the ones that are more shades of gray that have these problems
[02:09:25.980 --> 02:09:31.100]  And the other argument that it's killing innovation. I mean i've had android devices for four or five years. They have a much easier
[02:09:32.140 --> 02:09:40.300]  Review process than apple does and i've not seen the groundbreaking, you know platform making sort of future apps arrive on android any faster
[02:09:40.300 --> 02:09:44.460]  Because of that than ios and it's easy to say maybe android sucks and that's why it doesn't happen
[02:09:44.460 --> 02:09:48.460]  But it's also possible that apple does add background tasks and they do add
[02:09:48.460 --> 02:09:51.500]  You know extensibility and they they do add the features that they need to add
[02:09:51.500 --> 02:09:56.540]  To give developers sort of the tools that they need to make these sorts of apps and it's possible that things like
[02:09:56.540 --> 02:10:02.540]  Workflow and uber get made regardless of what app review does because you know those things as cool as they are
[02:10:02.540 --> 02:10:06.060]  They don't they don't come across anywhere near the lines that apple draws
[02:10:07.500 --> 02:10:13.100]  Well on the other hand though, I do think to take a devil's advocate position you do we do have
[02:10:13.100 --> 02:10:16.700]  Far more a far richer variety of of
[02:10:17.660 --> 02:10:19.660]  outside the bounds of the
[02:10:20.540 --> 02:10:25.420]  Stock factory os productivity software on mac than we do ios. Yes
[02:10:25.980 --> 02:10:30.140]  the difference is that ios is starting with this foundation of
[02:10:31.500 --> 02:10:38.380]  We apple are promising you that nothing you install from the app store is going to do something like run away in the background
[02:10:38.380 --> 02:10:45.100]  Or, you know be hard to uninstall if you don't like it, you know that you you know
[02:10:45.100 --> 02:10:51.740]  Whereas the the risks you take on the mac of allowing anything and everything that you can download outside the app store
[02:10:52.300 --> 02:10:59.100]  Is that you have utilities that can be hard to uninstall I tried to install uninstall blackberry connect and it was a nightmare
[02:10:59.820 --> 02:11:04.940]  It's you know, it's always and I think it's less of a problem than it used to be but it's always been a problem and that
[02:11:04.940 --> 02:11:08.460]  You might add uncertainty and if you feel like, you know
[02:11:08.460 --> 02:11:13.180]  like a non-technical user like we know that if the fan's running on your computer and you don't think it should be you can
[02:11:13.180 --> 02:11:19.180]  Go to activity monitor or up there to the battery menu and it'll tell you you know in recent versions who's you know
[02:11:19.180 --> 02:11:21.180]  Which app is using excessive power?
[02:11:23.100 --> 02:11:26.780]  You know, but it's it could it can be confusing to a typical user
[02:11:26.780 --> 02:11:31.820]  They don't know to do those things and what if it's some app that they've never heard of because it's you know
[02:11:31.820 --> 02:11:37.420]  The helper app for another app. It's a faceless background app. That doesn't doesn't even show up in their doc
[02:11:38.300 --> 02:11:42.060]  Well, then what do they do? You know ios has this promise of
[02:11:42.700 --> 02:11:48.540]  We're you're never going to have to worry about those things and you know part of that promise it only happens if if
[02:11:48.860 --> 02:11:50.860]  Everything goes through an app store review process
[02:11:51.420 --> 02:11:56.540]  Which is why to install the keyboard you go to download an app and even though that app does absolutely nothing once you've downloaded
[02:11:56.540 --> 02:11:58.700]  It and if you delete it the keyboard goes away
[02:11:58.700 --> 02:12:01.900]  It's still the same mechanism to deliver all the new features that they're adding
