[00:00.000 --> 00:01.720]  Mg
[01:32:20.720 --> 01:32:25.720]  But this is, I mean, this is ancient Apple history. This is like stuff that worked in like 1991.
[01:32:25.720 --> 01:32:43.720]  That's really funny, though, because that's like, you know, talking about this, this virtual LED strip that is like the original version of that, right, like software that would ship an actual physical printout that you would overlay, you know, around the keys to change their functions, to know what their function would be.
[01:32:43.720 --> 01:32:58.720]  Yeah, so I, you know, I think this idea sounds to me like, you know, hey, this sounds like a really good idea, because then instead of having these hard-coded things that, you know, you could make that whole area flexible, you know.
[01:32:58.720 --> 01:33:07.720]  Yeah, and yeah, then software updates, when they keep updating Mac OS and adding new things, they don't have to ship a new keyboard all of a sudden.
[01:33:07.720 --> 01:33:08.720]  Yeah.
[01:33:08.720 --> 01:33:11.720]  Mac OS flows off the tongue.
[01:33:11.720 --> 01:33:16.720]  I really like it. This is my favorite. I'm really excited about them renaming it Mac OS. I like it.
[01:33:16.720 --> 01:33:22.720]  But are they still going to do, they're still committed to the California thing? Is that the latest, you know?
[01:33:22.720 --> 01:33:23.720]  I don't know. I have no idea.
[01:33:23.720 --> 01:33:29.720]  Will it be Mac OS, you know, Hollywood or whatever?
[01:33:29.720 --> 01:33:36.720]  I think so. I think that they're committed to the California thing, because they've only done it for two years, right? Or did they do three?
[01:33:36.720 --> 01:33:38.720]  Oh, no, three, because there was Mavericks.
[01:33:38.720 --> 01:33:43.720]  Yeah, that's right. Mavericks was first.
[01:33:43.720 --> 01:33:52.720]  Yeah, I think they're committed to the California thing, and I think that, you know, but it's just going to be Mac OS, you know, Hollywood.
[01:33:52.720 --> 01:34:01.720]  Yeah, well, I'll be glad to be done with the 10 elements of it, because it was, you know, we're at 10.11.5 now.
[01:34:01.720 --> 01:34:14.720]  It always bothered me all along. I've never been a fan of the name Mac OS 10, and I was less of a fan when they officially changed it to OS 10 without the Mac.
[01:34:14.720 --> 01:34:23.720]  Really, never a fan of that name. Just because, well, number one, I don't like Roman numerals. I just wrote about this. I hate Roman numerals. I just hate them.
[01:34:23.720 --> 01:34:50.720]  They're absolutely terrible. There's arguments to be made that, I mean, I'm not being facetious here. I've seen arguments that their stupid numeral system made the Romans so bad at math that it led to the decline of the Roman Empire, because they fell to people who used a logical decimal, you know, system of indicating numerals that made math easier.
[01:34:50.720 --> 01:35:01.720]  I hate it. I just don't like Roman numerals. I hate the way that it's, you know, this doesn't seem to be as big a problem anymore, but I hate it in the early years, the people who said Mac OS X.
[01:35:01.720 --> 01:35:04.720]  Oh, it still happens all the time, but yeah.
[01:35:04.720 --> 01:35:16.720]  It's not their problem. It's Apple's problem, because it looks like Mac OS X, because guess what? Normal people today don't speak in Roman numerals. If you show them an X, they say that's an X. They don't say, oh, I bet that's a 10.
[01:35:16.720 --> 01:35:34.720]  And then as time went on, it was as though, I mean, it's 2016, so 15 years of updates to the operating system. In their numbering system, it's like they've all been minor little feature upgrades for 15 years.
[01:35:34.720 --> 01:35:46.720]  Right. I think I read the, I don't know if you talked about this. I read this somewhere. So, you know, when they did Super Bowl 50 this past year, they did Super Bowl 50 rather than Super Bowl L or whatever.
[01:35:46.720 --> 01:35:52.720]  But next year, they're going back to the Roman numerals. So it's like L-I, I think, or something like that.
[01:35:52.720 --> 01:36:00.720]  I know. They are. It makes me want to scream, because I was so happy. I was like, you know what? I was so happy, because I thought that's brilliant.
[01:36:00.720 --> 01:36:15.720]  50 is the nicest, roundest number they're going to get to until 100. And now, this is the way they get out of the mess they've created for themselves with these Roman numerals.
[01:36:15.720 --> 01:36:24.720]  You know what else screws me up with the Roman numerals? The Star Wars. I'm so confused over what the hell number the movies are. I really am.
[01:36:24.720 --> 01:36:33.720]  Once they got to the prequels, like four, five, and six, I understood that there's, you know, three. But now I'm like, what the hell is this episode? Eight? How, what? How are we up to eight already?
[01:36:33.720 --> 01:36:41.720]  And then it's like, just, I really, I don't like the Roman numerals in Star Wars, but there's no, they can't get out of it. They've already, they're already into it.
[01:36:41.720 --> 01:36:47.720]  The NFL could get out of it with the Super Bowl. They did get out of it with 50. And now they're going back.
[01:36:47.720 --> 01:36:56.720]  And now they're going back. Super Bowl LI. Super Bowl LI. That's great.
[01:36:56.720 --> 01:37:07.720]  I used to like, I did not like it, but I used to be amused by like, like old time Hollywood movies used to often put like the copyright in Roman numerals.
[01:37:07.720 --> 01:37:14.720]  Oh, don't they still do that? I'm pretty sure some movies still do. So at the very end, I'm one of those people who stays through the credits.
[01:37:14.720 --> 01:37:21.720]  The annoying person who sits through the entire credits, even though I'm not reading everything, I just sort of like it as a time to think about what I just watched or whatever.
[01:37:21.720 --> 01:37:26.720]  And so I always stay through the end. And especially now with all the Marvel stuff where you have to stay through the end.
[01:37:26.720 --> 01:37:37.720]  But at the end, when they do the last credit thing, it's like the, whatever it is, I don't know if it's MPAA or whoever gets the last sort of screen.
[01:37:37.720 --> 01:37:47.720]  And they do the number of what actual movie it is, like how many movies have actually been. And it's still in Roman numerals, I'm pretty sure.
[01:37:47.720 --> 01:37:56.720]  Because I know that because they just passed some milestone. I should look it up, but I don't even know what I would Google for.
[01:37:56.720 --> 01:38:05.720]  But they just passed some major milestone. And so it's now like shorter because, you know, it's passed like 5,000 or whatever than 50,000 or something like that.
[01:38:05.720 --> 01:38:11.720]  Maybe it used to be, though, and maybe it's not now. Maybe I'm remembering it slightly wrong. I know that they used to do it.
[01:38:11.720 --> 01:38:18.720]  Like what you're suggesting is like, yeah, the year and everything would be Roman numeral, right?
[01:38:18.720 --> 01:38:27.720]  And now I think this movie credit system at the very end, it may have switched back over to actual numbers because it just got too unwieldy.
[01:38:27.720 --> 01:38:29.720]  But I'm not 100% sure. I don't remember.
[01:38:29.720 --> 01:38:37.720]  I'll look it up. We'll look it up after the show. Here's one answer. I don't know if this is definitive. I Googled one.
[01:38:37.720 --> 01:38:42.720]  This is all I have time for to do live in the show. But there's a BBC article that says,
[01:38:42.720 --> 01:38:50.720]  perhaps one of the most notable areas where people are likely to come across Roman numerals is in TV and film credits where the convention is not to spell out what year something was made.
[01:38:50.720 --> 01:38:57.720]  The practice is believed to have started in an attempt to disguise the age of films or television programs.
[01:38:57.720 --> 01:39:03.720]  In other words, it's the opposite of claiming an undeserved antiquity. They're not trying to look old.
[01:39:03.720 --> 01:39:07.720]  They are trying to look like they're still young.
[01:39:07.720 --> 01:39:16.720]  Because nobody can tell. Here's an example. Here's 1998 in Roman numerals. M C M X C V I I I.
[01:39:16.720 --> 01:39:22.720]  Crazy. Yes. Yeah, I see that. I think I see the same thing now that's on Stack Exchange talking about.
[01:39:22.720 --> 01:39:28.720]  Yeah. Copyright. Time Warner Studios. M C. Yeah, right. That's exactly right. I've already got it in the show notes. I'll put it there.
[01:39:28.720 --> 01:39:33.720]  Folks, you can listen. Just check out the show notes there. That's what it is then. I think I was conflating the two things.
[01:39:33.720 --> 01:39:40.720]  That is where they use the Roman numerals. The movie number is, I think, just a number. Yeah. Yeah. Okay.
[01:39:40.720 --> 01:39:47.720]  There we go. But that's where they are. What the hell are we talking about? How do we get from the keyboard with an OLED strip to Roman numerals?
[01:39:47.720 --> 01:39:55.720]  Because Mac OS. Oh, Mac OS X. Right. They're going to get rid of the X. Yeah. There we go.
[01:39:55.720 --> 01:40:06.720]  I wonder. Although I wonder. I don't think you would have to have the new keyboard to use Siri on the Mac.
[01:40:06.720 --> 01:40:12.720]  But maybe they would do the animation for Siri. The horizontal thing. Because it's such a horizontal animation.
[01:40:12.720 --> 01:40:20.720]  Maybe the OLED strip will turn into the waveform. Yeah. That'd be pretty.
[01:40:20.720 --> 01:40:27.720]  The other thing with Germin's report, though, is that, and it's a little disappointing because I was kind of hoping maybe new MacBook Pros would come out at WWDC.
[01:40:27.720 --> 01:40:36.720]  But his report put it later this year. Like a fall thing. Right. And there was some little nugget.
[01:40:36.720 --> 01:40:46.720]  And I think that was based on, what's the one, who is it? Is it KJI or whatever? They have a pretty good track record of being right about those things.
[01:40:46.720 --> 01:40:58.720]  I think it was riffing off of that. But also talking about the fact that there's some potential for a 13-inch MacBook, not a Pro.
[01:40:58.720 --> 01:41:06.720]  So there would be the two Pro models. And then we already have now the 12-inch Retina MacBook. And now there might be a 13-inch?
[01:41:06.720 --> 01:41:11.720]  It said that in there, which I was confused by. Why would they do a 12 and a 13-inch?
[01:41:11.720 --> 01:41:20.720]  Yeah. That seems wrong to me. It seems to me like the whole reason they made the 12-inch in the first place was to split the difference between 13 and 11.
[01:41:20.720 --> 01:41:29.720]  Right. And so, yeah, I don't know. Maybe it's something got lost in translation there.
[01:41:29.720 --> 01:41:37.720]  Yeah. Or they're going to switch to 13? I don't know. It doesn't make sense to have 12 and 13. They don't seem different enough to justify both of them existing.
[01:41:37.720 --> 01:41:46.720]  I mean, you could see where they would make a bigger one in order to put a second port. Everyone complains, of course, about the one USB-C port.
[01:41:46.720 --> 01:41:51.720]  But then would they do 14 or 15?
[01:41:51.720 --> 01:42:03.720]  I just think that they have to be different enough that just at a glance on the table in the Apple Store, you can say, oh, that one's big, this one's small.
[01:42:03.720 --> 01:42:16.720]  If you're going to have three, it has to be rare, medium, and well done. You can't have a medium rare in there. It's too hard to tell apart.
[01:42:16.720 --> 01:42:33.720]  And that report also mentioned that they're likely keeping the MacBook Air around, and it will just be sort of the cheaper, the rare version in your analogy, the cheaper low-end version of what you get for a Mac.
[01:42:33.720 --> 01:42:35.720]  So presumably still no Retina screen, I guess.
[01:42:35.720 --> 01:42:46.720]  Yeah, I think that the writing is on the wall. I get it all the time, and I know there's so many people, and I'm going to make you angry if you're one of these people listening.
[01:42:46.720 --> 01:42:51.720]  I'm telling you right now, stop holding your breath for a Retina MacBook Air, and it's just not going to happen.
[01:42:51.720 --> 01:42:59.720]  And I know I get emails all the time. This is what a lot of people want. They want exactly what the MacBook Air is right now with a Retina screen.
[01:42:59.720 --> 01:43:15.720]  And when they're asking for that, is it specifically that they want the certain type of power adapter and the older school USB ports?
[01:43:15.720 --> 01:43:24.720]  Because the new MacBook is very similar to what a MacBook Air is, except for the ports, right?
[01:43:24.720 --> 01:43:31.720]  And the power, this performance, because it's slower. It's still slower than a MacBook Air.
[01:43:31.720 --> 01:43:38.720]  And a refreshed MacBook Air, if it were to come, but it's not, I don't think, would be faster still.
[01:43:38.720 --> 01:43:42.720]  But the MacBook Air you can go by today is faster than the MacBook.
[01:43:42.720 --> 01:43:54.720]  And so if you push your machine a little bit, if you're like me, 50 browser tabs, or if you're using Xcode or something like that, photo editing, you want it.
[01:43:54.720 --> 01:44:00.720]  But no, I think it's very clear looking at the products that Apple's come out with recently, what they're doing.
[01:44:00.720 --> 01:44:06.720]  The MacBook, the new one, the MacBook One, will get faster over time.
[01:44:06.720 --> 01:44:19.720]  Right. And it will eventually, like in two years, that won't be an issue. So is it worth it for Apple to spend money to make a Retina MacBook Air when these things are just going to collide in two years?
[01:44:19.720 --> 01:44:23.720]  And on the other end, the MacBook Pros are getting thinner.
[01:44:23.720 --> 01:44:35.720]  Like that's another part of this rumor with the OLED screen is that the MacBook, even though they got so much thinner a couple years ago when they went to the, you can't get a spinning hard drive anymore, everything's SSD.
[01:44:35.720 --> 01:44:40.720]  But it's going to get thinner still because that's what Apple does. They take products and make them thinner.
[01:44:40.720 --> 01:44:51.720]  So the MacBook Pros, at the more expensive side, and if performance is important to you, are going to get ever more air-like in their form factor and the MacBook is going to get faster.
[01:44:51.720 --> 01:44:57.720]  And Apple's bet is that your need for ports is going to decrease over time.
[01:44:57.720 --> 01:44:58.720]  Right.
[01:44:58.720 --> 01:45:05.720]  And so the MacBook Air, even though if they were to come out with a Retina MacBook Air today, it would sell, might sell very well.
[01:45:05.720 --> 01:45:11.720]  It's a dead end, I think, in Apple's mind in terms of differentiation of the product line.
[01:45:11.720 --> 01:45:18.720]  That it's not, it would be too, it's too conflated with the other products or too easily mixed up.
[01:45:18.720 --> 01:45:19.720]  Right.
[01:45:19.720 --> 01:45:25.720]  And so right now, the only reason the MacBook Airs exist is to hit the $899 and $999 price points.
[01:45:25.720 --> 01:45:33.720]  Right. And I assume that's a lot of what they're selling to like schools, right? That's their, is that also their school sort of selling?
[01:45:33.720 --> 01:45:42.720]  Oh, I think so. I would be, I would be, anybody, I would be surprised if schools were buying anything other than the MacBook Airs.
[01:45:42.720 --> 01:45:50.720]  Because A, they don't have money, and B, they just don't, you know, schools, you know, they're just not going to value something like Retina.
[01:45:50.720 --> 01:45:51.720]  Right.
[01:45:51.720 --> 01:46:00.720]  You know, too bad kids, even though kids have the sharpest eyes and they're the most likely to be able to see the fuzzy pixels.
[01:46:00.720 --> 01:46:04.720]  Well, just, just wait. Give them time. Two years, kids. Two years.
[01:46:04.720 --> 01:46:08.720]  So I don't know. I wonder if we're going to see any hardware at WWDC now.
[01:46:08.720 --> 01:46:17.720]  But on the other hand, we haven't had new Mac hardware in forever, except for the updated MacBook One, which was, you know, just a speed bump.
[01:46:17.720 --> 01:46:26.720]  Yeah. I mean, the only hardware, if those reports are true, and maybe it won't even be released then, would be the thing we were just talking about, that music Siri hub thing.
[01:46:26.720 --> 01:46:35.720]  But yeah, they usually don't do, they haven't done Mac hardware in a while, right? Because they announce the new OS and then they wait to ship.
[01:46:35.720 --> 01:46:41.720]  Well, they did the updated 5K iMac last year with the new high gamut screen.
[01:46:41.720 --> 01:46:43.720]  Oh, that's right. Okay.
[01:46:43.720 --> 01:46:44.720]  Yeah.
[01:46:44.720 --> 01:46:53.720]  By the way, when are they going to launch a display, external display with Retina? Like, why have they not done that yet?
[01:46:53.720 --> 01:46:59.720]  That's a fantastic question. I think that this is something that I, because I have the 5K iMac.
[01:46:59.720 --> 01:47:00.720]  Yeah.
[01:47:00.720 --> 01:47:07.720]  I have the old, the first one though, not the high gamut one. So, you know, play a little sad violin song for me.
[01:47:07.720 --> 01:47:08.720]  Yes.
[01:47:08.720 --> 01:47:15.720]  I know that the ATP guys have gone on about this in detail and I, because I don't have a Mac Pro, I don't care enough to figure it out.
[01:47:15.720 --> 01:47:18.720]  But there's some kind of thing where Thunderbolt.
[01:47:18.720 --> 01:47:21.720]  Oh, right. The throughput is not.
[01:47:21.720 --> 01:47:30.720]  Is not there sufficient. And the only way that Apple made it work internally in the 5K iMac was by creating their own thing.
[01:47:30.720 --> 01:47:42.720]  So I think that's the problem. But maybe this WWDC is where the trashcan Darth Vader Mac Pro came out.
[01:47:42.720 --> 01:47:45.720]  It is incredibly long overdue for an update.
[01:47:45.720 --> 01:47:53.720]  And so I know it's not like a bestseller, but at the WWDC developer crowd, it actually is.
[01:47:53.720 --> 01:47:59.720]  So maybe that would be a nice, I haven't seen any rumors about it, but just in terms of being overdue.
[01:47:59.720 --> 01:48:02.720]  Boy, that would be a nice announcement that would play extremely.
[01:48:02.720 --> 01:48:07.720]  I think it would play extremely well in a room if they said we've updated the Mac Pro.
[01:48:07.720 --> 01:48:14.720]  It is blows away the old Mac Pro in performance and you can hook up this 5K, beautiful 5K display to it.
[01:48:14.720 --> 01:48:17.720]  Finally, an actual finally.
[01:48:17.720 --> 01:48:22.720]  And yeah, I mean, given Apple's dominance in both design and film and everything.
[01:48:22.720 --> 01:48:30.720]  You know, it's crazy that all these people can't use a screen that ties into all the rest of the Apple products that they're using for that.
[01:48:30.720 --> 01:48:39.720]  Right. And again, I'm spoiled, but I mean, I've gone all, I guess I'm trying to think what my last non-retina device was.
[01:48:39.720 --> 01:48:45.720]  It was, I guess it was when I upgraded to this 5K iMac, what, like a year and a half ago.
[01:48:45.720 --> 01:48:53.720]  But now everything is retina. My son still has a non-retina iPad that, so I think it's like the only non-retina device in the house.
[01:48:53.720 --> 01:48:56.720]  Really, like an animal.
[01:48:56.720 --> 01:49:00.720]  And when I see the screen, I'm like, oh my God, I can't believe you're living that way.
[01:49:00.720 --> 01:49:02.720]  Those pixels were pretty big.
[01:49:02.720 --> 01:49:09.720]  I still have, I'm actually sitting in front of right now, the last iMac before it went retina.
[01:49:09.720 --> 01:49:12.720]  It's still nice, but yeah, you can definitely see the pixels.
[01:49:12.720 --> 01:49:14.720]  Yeah, it sticks out like a sore thumb.
[01:49:14.720 --> 01:49:24.720]  And it just seems crazy, like you said, it's just crazy that the customers who are willing to spend $10,000 on a Mac Pro have no option.
[01:49:24.720 --> 01:49:26.720]  They have to buy the Dell, whatever.
[01:49:26.720 --> 01:49:28.720]  4K, whatever. Yeah.
[01:49:28.720 --> 01:49:29.720]  Right.
[01:49:29.720 --> 01:49:34.720]  All right, let me take one last break here and thank our third and final sponsor.
[01:49:34.720 --> 01:49:37.720]  This is a great company. Love these guys. Casper.
[01:49:37.720 --> 01:49:46.720]  These are the guys who make mattresses. You don't have to go pick what type of foam or springs or whatever the hell you want.
[01:49:46.720 --> 01:49:49.720]  Casper figured this out. They've got the perfect mattress.
[01:49:49.720 --> 01:49:56.720]  It's like a blend of memory foam and springy latex.
[01:49:56.720 --> 01:50:00.720]  And it's just right. It's just the right sink, just the right bounce.
[01:50:00.720 --> 01:50:09.720]  And it's a breathable design. So it sleeps cool to help you regulate your temperature through the night so you don't get the night sweats because your mattress is too hot.
[01:50:09.720 --> 01:50:16.720]  They sell direct. This is like the cornerstone of the podcast advertising world.
[01:50:16.720 --> 01:50:24.720]  These companies that sell direct and this is they make mattresses right here in the US and then they sell them to you directly.
[01:50:24.720 --> 01:50:34.720]  And that is how they can get away with making totally premium quality mattresses that they sell at prices that just blow away the competition.
[01:50:34.720 --> 01:50:45.720]  Go to a mattress store. Go to your. Well, you don't want to go to a mattress store, but if you did, you'd go in there and you'd find that the good mattresses usually cost started around fifteen hundred bucks at a small size.
[01:50:45.720 --> 01:50:55.720]  Casper mattresses are just five hundred bucks for twin, six hundred for twin XL, 750 for full, 850 for queen and just nine hundred and fifty bucks for a king size mattress.
[01:50:55.720 --> 01:51:04.720]  It's you go into a mattress store and try to buy a top quality mattress for nine hundred fifty bucks and you're going to walk out empty handed.
[01:51:04.720 --> 01:51:14.720]  It's easy. And even if you don't completely trust it and you're like, I know that mattress stores are gross, but I still like the idea of sitting on it a little bit before I try it, trying before I buy.
[01:51:14.720 --> 01:51:22.720]  It seems weird to spend nine hundred bucks on a mattress that I've never even tried. Hundred day free trial.
[01:51:22.720 --> 01:51:30.720]  You just buy it. You get a hundred days. And if you don't like it at any point, a hundred days, you just you just let them know.
[01:51:30.720 --> 01:51:38.720]  Go to the Casper website and they'll come pick it up at your house and give you a full refund. They'll come pick it up. You don't have to like drag it down the steps.
[01:51:38.720 --> 01:51:46.720]  They'll do the whole thing. That's how sure they are that you're going to like the mattress. Hundred days to try it before you are on the hook for it.
[01:51:46.720 --> 01:51:54.720]  So get yours today. Hundred days. Go to Casper dot com. C A S P E R. Casper dot com slash the talk show.
[01:51:54.720 --> 01:52:01.720]  And when you do that, use that code, the talk show, you save 50 bucks, 50 bucks off their already amazing prices.
[01:52:01.720 --> 01:52:10.720]  So my thanks to Casper for continuing to sponsor the talk show. Great company.
[01:52:10.720 --> 01:52:18.720]  So we want to talk about the Peter Thiel thing. Sure. It's it's literally what all of Twitter is right now.
[01:52:18.720 --> 01:52:28.720]  So I'm sure. So anybody who's listening is almost certainly heard. And if you read Daring Fireball, I've been obsessed with it for days.
[01:52:28.720 --> 01:52:40.720]  I'll summarize it thus. There's an ongoing lawsuit where Hulk Hogan sued Gawker because a couple of years ago, Gawker obtained a sex tape.
[01:52:40.720 --> 01:52:52.720]  The back story on that is all crazy, too. Someone named Buddy the Love Sponge. Not making it up. That is not made up.
[01:52:52.720 --> 01:53:00.720]  Somehow convinced Hulk Hogan to to to have sex with the guy's wife.
[01:53:00.720 --> 01:53:05.720]  And he's like totally into it. And the guy surreptitiously taped the encounter.
[01:53:05.720 --> 01:53:14.720]  And then anyway, Gawker ran it. And a few years later, Hulk Hogan sued and won an enormous judgment.
[01:53:14.720 --> 01:53:25.720]  One hundred and forty million dollars in the state of Florida against Gawker, which is apparently would and not not surprising, it would bankrupt the company.
[01:53:25.720 --> 01:53:33.720]  There's an expectation among experts that that on appeal that Gawker is going to get that greatly reduced, maybe even overturned.
[01:53:33.720 --> 01:53:39.720]  That Gawker's chances are very good that it was tried in a place that was very amenable to Hulk Hogan.
[01:53:39.720 --> 01:53:44.720]  But you never know. And it's never good news to lose the first one. So, you know, Gawker's interrupts.
[01:53:44.720 --> 01:53:58.720]  And it turns out this week it came out that like one day it started with speculation that Nick Denton, the founder and owner of Gawker, publicly came out speculating that Hogan's lawsuit was funded by somebody.
[01:53:58.720 --> 01:54:05.720]  And he thought maybe like some billionaire in Silicon Valley. I don't know if Denton actually had Teal in mind at the time.
[01:54:05.720 --> 01:54:23.720]  I suspect he might have because how many billionaires... The speculation, again, amongst people with no inside information, but that it was very likely, if this was the case, and there was a big if, like it seemed outrageous that that would actually be the situation,
[01:54:23.720 --> 01:54:32.720]  that it would likely be Peter Teal being the most likely candidate to be the one. Right. Because there's a known grudge between the two.
[01:54:32.720 --> 01:54:48.720]  Because in 2007 Gawker's Valleywag property ran a story saying that, yes, Peter Teal is gay, which, you know, was interpreted by many as outing.
[01:54:48.720 --> 01:55:02.720]  I think there's a very good case that that's what it was. But Valleywag and Gawker have always stood behind this argument that it was an open secret. Everybody knew it just wasn't ever printed anywhere.
[01:55:02.720 --> 01:55:19.720]  I don't want to get into the politics of it, but the fact that we don't talk about it is sort of bigotry against gays because it's positioning homosexuality as something that you would want to hide.
[01:55:19.720 --> 01:55:32.720]  Which, personally, I am amenable to. But anyway, that's just to get it out of the way, though, that, you know, it's well known, I think it's even on the record, that Peter Teal was not happy with that story.
[01:55:32.720 --> 01:55:43.720]  I think he likened Valleywag to Al Qaeda. Yes, literally. And that really was his comparison. It's not like hyperbole, like you're exaggerating. That was what he said.
[01:55:43.720 --> 01:55:59.720]  And that he's been known to have taken issue with numerous, even stories not with him, but with other people who he knows, that he knows other people who, you know, Gawker websites have run stories about that he found, you know, objectionable.
[01:55:59.720 --> 01:56:13.720]  So it turns out that it's, and now Peter Teal has gone on a record with the New York Times and admitted, yes, I bankrolled Hulk Hogan's lawsuit to the tune of $10 million.
[01:56:13.720 --> 01:56:28.720]  And it's just crazy. It's like, this really is just like, like something from, you put on a TV show, right, or a movie, you know, that it's like a crazy Game of Thrones plot twist.
[01:56:28.720 --> 01:56:38.720]  It's something that's like so outlandish that it seemed like, because I guess there were rumors about this going around during the trial itself, right, that someone was out there bankrolling this.
[01:56:38.720 --> 01:56:48.720]  And, but everyone dismissed it, you know, reading about this in hindsight, everyone seemed to dismiss it because it was so outlandish. And then Denton says his thing, and it still seems outlandish.
[01:56:48.720 --> 01:57:01.720]  But there's like this, but if it were to be anyone, and then like Forbes somehow was able to find people who would speak, you know, off the record or on background, I guess, on it.
[01:57:01.720 --> 01:57:11.720]  And then next thing we know, we have Teal talking to Andrew Ross Sorkin of New York Times directly about it, within like a two-day span or whatever.
[01:57:11.720 --> 01:57:27.720]  Right. And the move during the trial that raised people's eyebrows and started the speculation was that the Hogan legal team dropped a charge that, if they had won, would have been covered by Gawker's insurance.
[01:57:27.720 --> 01:57:33.720]  Gawker's insurance would, this, whatever, it doesn't really matter which one it was, you know, what the legal term was, but there was one of the charges.
[01:57:33.720 --> 01:57:47.720]  And it seemed really curious to people that they would do that, because the insurance company is way more likely to be able to pay the full amount of a large judgment than Gawker is.
[01:57:47.720 --> 01:57:49.720]  Right, which suggests it's not about the money.
[01:57:49.720 --> 01:58:03.720]  Right, that it wasn't, it was a move that totally seemed counter to maximizing the money that Hogan would win, and instead seemed specifically about trying to put Gawker out of business.
[01:58:03.720 --> 01:58:26.720]  Yeah. And so the most, the most compelling, compelling is a weird word to use, but the most interesting thing about this whole thing to me is like, the amount of time that has passed from when the situation happened that you talked about with the story on Valleywag, you know, outing or
[01:58:26.720 --> 01:58:34.720]  revealing that he's gay, whatever you want to call it. Revealing that, yeah, right, Peter Thiel is gay to the masses, let's say.
[01:58:34.720 --> 01:58:41.720]  And now, it's like, you know, that's, I don't know exactly how long it's been, but it's like eight years, nine years, or something like that?
[01:58:41.720 --> 01:58:59.720]  Yeah, I think it was nine years, I think it was a 2007 story. And I think, I could be wrong by a year, but the story I've heard is that at some point in 2006, supposedly, Thiel had warned Valleywag, do not write about my personal life, or I'll, you know, or you make an enemy of me.
[01:58:59.720 --> 01:59:11.720]  You know, I don't think he threatened them, but he privately had said, don't do this, or, you know, I'll do what I can. And in 2007, I think is when the story ran, but it's been roughly 10 years.
[01:59:11.720 --> 01:59:21.720]  And obviously, most threats made in those veins end up being hollow or, you know, sort of like, just things get forgotten over time and everyone moves on.
[01:59:21.720 --> 01:59:23.720]  Time heals all wounds.
[01:59:23.720 --> 01:59:52.720]  Right, but not here. And like the fact that this has been going on behind the scenes, all these years later is just incredible. I mean, I, again, it's like a weird thing to say, it's like impressive in a weird way that someone is so determined to write what they view as this wrong, that they've held on to it this long, and like, just figured out an avenue to actually be able to execute it.
[01:59:52.720 --> 02:00:07.720]  I will link to it in the show notes. I've already linked to it on Daring Fireball, but Felix Salmon, writing at Fusion, had a great analysis of just the depths of the evil geniusness of Thiel's revenge.
[02:00:07.720 --> 02:00:22.720]  You know, just going through step by step and just, A, how long he waited, and B, that the way that libel laws work, and typically, you know, Thiel's not the first super-rich person to sue a publication over negative publicity.
[02:00:22.720 --> 02:00:26.720]  I mean, Donald Trump has done it many times. I mean, all sorts of people do it.
[02:00:26.720 --> 02:00:40.720]  But the way it typically works, and the way everybody common sense thinks it works, is if I'm a rich guy, and I don't like what your publication wrote about me, I sue you about what you wrote about me.
[02:00:40.720 --> 02:00:46.720]  And the problem with that is that you'd have to prove that it was false, or that it was slander, or whatever.
[02:00:46.720 --> 02:00:48.720]  It's very, very hard.
[02:00:48.720 --> 02:01:01.720]  And as Salmon has pointed out, so newspapers, you know, like the New York Times, or any major publication, you know, when they write about a rich person in a way that, hey, this is going to be controversial, they're not going to like this,
[02:01:01.720 --> 02:01:11.720]  they have a legal team that vets every sentence in the story before it goes out, specifically of, can we defend this in court, can we defend, you know, every single thing, can we defend this in court.
[02:01:11.720 --> 02:01:22.720]  And so it's not just going through an editorial process, it goes through a legal process before it goes out. And therefore it makes it very hard for them, the rich person who wants to sue a publication out of existence, to win.
[02:01:22.720 --> 02:01:38.720]  So Thiel's strategy was not to sue Gawker over what they wrote about him, but was rather to put together a legal team to just go through everything Gawker has done for 10 years and look for something that they did that is legally questionable.
[02:01:38.720 --> 02:01:42.720]  And they struck gold with the Hogan sex tape.
[02:01:42.720 --> 02:01:56.720]  Right. And there's, you know, I think it's actually, even while we've been on this call recording the show, I think there have already been sort of other things leaking out because the rumor, of course, is also that they've been looking for other avenues to execute
[02:01:56.720 --> 02:02:04.720]  a lawsuit over the years, and maybe they have even, but no one realized it at the time, and I think some of that stuff is starting to come out now.
[02:02:04.720 --> 02:02:11.720]  It's just breaking so fast. It's so crazy. And I will, you know, there's so many buts, and this story is so widespread.
[02:02:11.720 --> 02:02:18.720]  But it's like, and I don't, you know, what I've written about on Daring Fireball, it's hard to cover all of these avenues.
[02:02:18.720 --> 02:02:27.720]  But I'll even say right up front that I don't know, a couple of people said, well, what do you think, you know, shouldn't this be about whether Hogan had a good case or not?
[02:02:27.720 --> 02:02:39.720]  Doesn't he have a, you know, wasn't he actually, you know, what they did a violation of his privacy? I'm very, very, I certainly would never run a sex tape taken surreptitiously by someone else or publish it or spread it.
[02:02:39.720 --> 02:02:51.720]  I mean, I think it's, honestly, I think it's a despicable move. Just personally, I just as a human being, I mean, and so I'm not, I'm not even opposed to Hogan having won the suit.
[02:02:51.720 --> 02:03:00.720]  I don't think Gawker ever should have run it. Gawker's media have done, published numerous things over the years that I object to for multiple grounds.
[02:03:00.720 --> 02:03:08.720]  Notably, of course, the iPhone prototype was Gizmodo under Gawker.
