[00:00.000 --> 00:04.440]  It's been too long since you've been on the show Joanna. It really has been way too long
[01:17:35.620 --> 01:17:42.580]  you know, the, the case, which started at zero, it went from being at zero, but the phone could still
[01:17:42.580 --> 01:17:47.300]  see that it was zero to being like, it was like a, like, like it wasn't a battery case at all.
[01:17:47.300 --> 01:17:51.780]  Like it was just a case. Like it didn't even the, you know, when you'd go to the battery thing
[01:17:51.780 --> 01:17:57.460]  in control center, that tells you, Hey, here's your phone's charge. Here's your case's charge.
[01:17:57.460 --> 01:18:00.820]  The case didn't even, it wasn't even listed. It didn't even give it a zero.
[01:18:02.500 --> 01:18:06.100]  Yeah. Cause I got an email from Apple just explaining some of the
[01:18:06.100 --> 01:18:11.780]  info about it. And they were saying that, you know, depending on how you charge your phone,
[01:18:11.780 --> 01:18:16.820]  it depends the order of charging the phone or the case matters on the type of charger you have. So
[01:18:16.820 --> 01:18:23.780]  like a five watt charger is going to charge the phone first, a 10 or 12 watt charger is going to
[01:18:23.780 --> 01:18:31.300]  charge the iPhone and the case simultaneously. And higher up it goes more like, I don't know,
[01:18:31.300 --> 01:18:36.500]  case 30 watts, I don't know, 40, 10, 18 watts. It will do, you know, fast charge the iPhone then
[01:18:36.500 --> 01:18:44.180]  fast charge the case. I think obviously they've made this, this battery pack more smarter,
[01:18:44.180 --> 01:18:48.020]  quote unquote, than the last one in terms of how fast it can charge.
[01:18:48.660 --> 01:18:53.380]  Yeah. And I think that's why they're not talking about mega amp hours, because it's not really,
[01:18:54.260 --> 01:19:00.820]  that's not a good metric. It's really, it's a lot more complicated than that. And the smartness,
[01:19:00.820 --> 01:19:05.300]  you know, is definitely there. It's definitely pretty clever. Anyway,
[01:19:05.300 --> 01:19:11.940]  I mean, I just wrote back because this is anyone who knows my, my biggest fight against Apple now
[01:19:11.940 --> 01:19:18.740]  knows that it it pains me that they still sign up to sell the five watt charger in or when you buy
[01:19:18.740 --> 01:19:24.500]  an iPhone, the five watt charger charger is what's included. I bring this up in every review and
[01:19:24.500 --> 01:19:32.260]  every meeting with Apple. So well, the more reason they should sell it with a 10 watt or 12 watt
[01:19:32.260 --> 01:19:37.940]  charger. All right. Let me push back on that, though. I I wrote that around point two and said
[01:19:37.940 --> 01:19:42.740]  I even described it as shameful, I thought with the iPhone 10. But the pushback I got from people
[01:19:42.740 --> 01:19:47.700]  was that some people charge overnight. Well, they're not they don't care about how fast it is.
[01:19:47.700 --> 01:19:53.780]  They care about how small it is. And that Apple can make it that small. Well, that a little bit
[01:19:53.780 --> 01:20:00.260]  bigger, right? That would be the ideal would be something faster than five watt, maybe even if
[01:20:00.260 --> 01:20:04.660]  it was like seven and a half watt or something, you know, but could they get a 10 watt charger
[01:20:04.660 --> 01:20:10.260]  into a size like that? I don't know. But yeah, the size of the five watt charger is a big deal.
[01:20:10.260 --> 01:20:17.140]  And there really are a lot of people who prefer it. And I know you say this, to some people who
[01:20:17.140 --> 01:20:21.140]  really think it's, you know, just are concerned about speed. And they're like, that can't possibly
[01:20:21.140 --> 01:20:25.700]  be true, who would prefer it, but they really there's just, they don't they don't know. They
[01:20:25.700 --> 01:20:30.740]  don't care about the speed. It's so where are they putting what, like, where are they putting
[01:20:30.740 --> 01:20:35.780]  it that there's no space for a little bit bigger charger? Well, I think it's like some people have
[01:20:35.780 --> 01:20:40.820]  said pocket. Some people have said, women with small purses like to keep one in their purse.
[01:20:42.420 --> 01:20:47.380]  And that's sometimes you can be like in a coffee shop or something like that. And because somebody
[01:20:47.380 --> 01:20:52.500]  already has something in the one socket, you there's not room. Okay, I see that point. I see
[01:20:52.500 --> 01:20:57.220]  that point the ones that cover like right, you know, the longer chargers that cover the other
[01:20:57.220 --> 01:21:02.580]  other socket. Right. I see that. I see that point. The thing I you know, I'm just telling you that
[01:21:02.580 --> 01:21:07.380]  it's not me. I you know, I don't really like that charger. I don't like the way that the prongs are
[01:21:07.380 --> 01:21:12.180]  always sticking out on it. I like the ones even if they're bigger. I like the way to have the prongs.
[01:21:12.820 --> 01:21:16.580]  I don't know why. But I don't like that the prongs are always sticking out on it.
[01:21:16.580 --> 01:21:19.940]  But I'm just telling you that there are people and I you know, let's face it, though, it's also
[01:21:19.940 --> 01:21:24.500]  gotta be it's cheaper for Apple to include the five. Well, that's why I get so angry about it.
[01:21:24.500 --> 01:21:28.980]  Right. But I do think because then they want to upsell you to the 12 watt charger. Most people
[01:21:29.860 --> 01:21:35.060]  who have an iPad have a 12 watt charger. So it's not like you can't just find one lying around.
[01:21:35.060 --> 01:21:40.260]  But if you want to upgrade to that, you're paying like 2020 bucks. I mean, obviously,
[01:21:40.260 --> 01:21:44.900]  you can just buy like a better anchor one on on Amazon, which is what I've been suggesting for
[01:21:44.900 --> 01:21:52.340]  like five years now. But no, I think that the next iPhone, I'm actually not sure about the USB C
[01:21:52.340 --> 01:22:03.300]  rumors. I don't know why I say no way and I'm not speaking. I say no way on the USB C port on the
[01:22:03.300 --> 01:22:12.020]  iPhone itself. Right. But I could see them moving to a higher watt charger. Yeah, with a USB C in.
[01:22:12.020 --> 01:22:21.540]  Yeah. Because it at this point, all of their new Mac books and the iPad Pro can charge a phone,
[01:22:21.540 --> 01:22:27.060]  but they can only charge it with USB C out. Right. So I think what the next iPhone will come with is
[01:22:27.060 --> 01:22:33.220]  a, hopefully, right, it'll still be a lightning charger, but it'll be USB C on the other end.
[01:22:33.220 --> 01:22:37.700]  And with some kind of USB C brick, which hopefully would not be five watts.
[01:22:40.820 --> 01:22:45.620]  Yeah, so this would be the year. But, you know, hopefully, because I think it's ridiculous that
[01:22:45.620 --> 01:22:50.020]  you can't charge a brand, you can go into an Apple store and buy a brand new MacBook
[01:22:50.020 --> 01:22:55.140]  and a brand new iPad Pro and a brand new iPhone. Right. And so you Wow, aren't you a great Apple
[01:22:55.140 --> 01:22:59.700]  customer, you're spending 1000s of dollars on these three products. And then you take them
[01:22:59.700 --> 01:23:08.100]  home and you can't charge the phone from either of those $2,000 plus devices without buying an
[01:23:08.820 --> 01:23:15.060]  very expensive, you know, $30 cable from Apple or using a dongle. And if you use the dongle,
[01:23:15.060 --> 01:23:22.100]  you're losing the power delivery. Yeah. And I mean, one day we may get out air power.
[01:23:22.100 --> 01:23:25.700]  So we can charge some of these things simultaneously, though, that'll be slower.
[01:23:25.700 --> 01:23:31.620]  I mean, that's gonna be wireless speeds. But yeah, it's just ridiculous that if you buy a brand new
[01:23:31.620 --> 01:23:38.740]  MacBook and a brand new iPhone, you can't charge the phone from the MacBook without spending $30
[01:23:38.740 --> 01:23:45.780]  on a cable that you charge the MacBook, you mean you know, you can't plug the phone into the
[01:23:45.780 --> 01:23:50.980]  MacBook without an extra cable that doesn't that isn't included. I mean, you know, Google does the
[01:23:50.980 --> 01:23:56.660]  right thing with the pixel and they ship you know, it takes USB C in but it has it they ship it with
[01:23:56.660 --> 01:24:02.820]  a little dongle so you can charge it from any USB C like it's in the box so you can charge it from
[01:24:02.820 --> 01:24:10.180]  a US USB C to USB C or you can charge it from USB A to USB C right there in the box and you know,
[01:24:10.180 --> 01:24:15.700]  for a $750 phone it doesn't seem like a lot to ask for put the dongle in the box.
[01:24:16.740 --> 01:24:20.020]  No, no, but don't I'm not thinking it through and it's like if you have
[01:24:21.060 --> 01:24:25.380]  the USB C, you know, whatever the other side of the cord
[01:24:25.380 --> 01:24:32.820]  that's, it's gonna, I mean, it'll be a slow it'll be a hard adjustment for some people. But,
[01:24:32.820 --> 01:24:36.500]  you know, most of the ecosystems moving to USB C in any way.
[01:24:38.020 --> 01:24:43.140]  I don't believe that Apple will switch the iPhone itself to USB C. And I know that somebody piped
[01:24:43.140 --> 01:24:47.380]  up with a rumor this week that they did and there's a report this week. Yeah, but I don't
[01:24:47.380 --> 01:24:53.140]  buy it. And it wasn't. It didn't seem like a report came from anywhere sensible. I think
[01:24:53.140 --> 01:24:58.100]  that it's one of those cases where yes, the iPad Pro did move to USB C. But I think it's
[01:24:58.100 --> 01:25:03.620]  one of those cases where if you listen to what Apple said about why the iPad Pro has USB C,
[01:25:03.620 --> 01:25:08.580]  they are telling you the honest truth. There's no spin on it. And and their explanation for it
[01:25:09.140 --> 01:25:15.540]  was that it's the iPad Pro is more is meant for professional use. It's meant to do more of the
[01:25:15.540 --> 01:25:20.180]  things that you can do with a laptop and that involves plugging peripherals in and therefore
[01:25:20.180 --> 01:25:25.860]  it has USB C. It is, you know, I read that those things don't apply to an iPhone, you're not going
[01:25:25.860 --> 01:25:30.260]  to plug in, you know, audio equipment to an iPhone. I know some people do stuff like that with an
[01:25:30.260 --> 01:25:35.460]  iPhone, but it's not, you know, it's not common. I really don't think so. And I think that there's
[01:25:35.460 --> 01:25:39.540]  just no way they're going to give up the proprietary advantages of having complete control
[01:25:39.540 --> 01:25:46.180]  over lightning. They love having control. And it's been I mean, I guess it's been a while
[01:25:46.180 --> 01:25:50.820]  now. It's been since iPhone five. Yeah. And the other thing, too, don't forget,
[01:25:51.460 --> 01:25:57.700]  nerds like us, people who listen to the show, we understand the, you know, the differences and we
[01:25:57.700 --> 01:26:04.580]  can see this panacea of it theoretically would be great if everything you owned all charged by
[01:26:04.580 --> 01:26:09.620]  USB C and you could have this one cable that you could plug into an iPad and a MacBook and a phone
[01:26:09.620 --> 01:26:14.980]  and you'd have all this cables you could get rid of. But out there in the normal world, every time
[01:26:14.980 --> 01:26:19.700]  when when Apple switched from the old adapter to the lightning, the people thought it was a
[01:26:19.700 --> 01:26:24.340]  money grab. They were like, they just want me to now they want my money for, you know, all these
[01:26:24.340 --> 01:26:29.140]  new chargers and stuff like that. And if they switched it to USB C, again, they'd think it's
[01:26:29.140 --> 01:26:34.020]  a money grab, even though they would be switching to an industry standard. Right. And also, like,
[01:26:34.020 --> 01:26:39.860]  it was a bigger like, it was a much bigger deal when they did away with the 30 port was 30 pin.
[01:26:39.860 --> 01:26:47.860]  Because it's a 30 30 pin connector. Because because at that point, there were so many
[01:26:48.420 --> 01:26:52.660]  accessories that were plugging in that way. But now it's like feels like everything's
[01:26:53.700 --> 01:26:59.220]  I don't know, what was the last time you plugged your your iPhone into like a speaker dock?
[01:26:59.220 --> 01:27:05.140]  Yeah, I don't know. Even in hotels, I don't I don't know. I don't use that. I don't use those.
[01:27:05.140 --> 01:27:10.500]  I don't trust them, to be honest. Yeah, I just feel like you don't plug in as much like it would
[01:27:10.500 --> 01:27:14.820]  be an ecosystem shift, but not as big as it was back then. But I still don't think they'll do it.
[01:27:14.820 --> 01:27:18.500]  I still don't think they'll do it. Yeah. All right. Let me take a break and tell you about
[01:27:18.500 --> 01:27:25.460]  Dashlane. Dashlane is a password and personal information manager. Let's just start store things
[01:27:25.460 --> 01:27:30.740]  like your passwords, your logins, your credit cards, your passport numbers, anything you need
[01:27:30.740 --> 01:27:36.980]  to store securely, you can store it in Dashlane. And they have apps for every platform you might
[01:27:36.980 --> 01:27:44.740]  use iOS, including both iPhone and iPad support Mac, a nice native Mac app, Windows, Android,
[01:27:45.300 --> 01:27:51.540]  all the major platforms. So especially if you are a cross platform person, maybe at work,
[01:27:51.540 --> 01:27:56.900]  use Windows, maybe at home, use Mac, you have iPhone, but you have to use Windows.
[01:27:56.900 --> 01:28:03.460]  Dashlane is for you. They include a browser extension that enables autofill so you can
[01:28:03.460 --> 01:28:07.620]  access all of your login information, your credit card numbers, right where you need it,
[01:28:07.620 --> 01:28:13.380]  when you need it right in the form in the webpage, bring it up, sign up for a new account somewhere,
[01:28:13.380 --> 01:28:17.540]  need to generate a new password. Dashlane will do it for you, give you a secure password,
[01:28:18.660 --> 01:28:25.300]  fill it in and store it in Dashlane for subsequent use. How often are you ready to buy something,
[01:28:25.300 --> 01:28:28.500]  but you don't have your credit card handy? Dashlane means you never need to have your
[01:28:28.500 --> 01:28:33.540]  credit card handy. It'll autofill because it's saved. You think it's crazy? Let's address this
[01:28:33.540 --> 01:28:36.660]  elephant in the room. You think it's crazy to store all your information and passwords
[01:28:36.660 --> 01:28:41.380]  in one place? You're worried about the security? Here's what Dashlane does. They use a master
[01:28:41.380 --> 01:28:47.220]  password to encrypt all your data. Only you know your master password as it's never sent or stored
[01:28:47.220 --> 01:28:52.500]  on Dashlane servers. That means even if Dashlane were to get hacked, your information is completely
[01:28:52.500 --> 01:28:58.740]  safe because everything that's stored on their servers is securely encrypted and you'd need your
[01:28:58.740 --> 01:29:07.300]  master password to decrypt it. Only you have it and don't forget it. Dashlane Premium is a service
[01:29:07.300 --> 01:29:12.500]  they offer with additional features, lets you store unlimited passwords and gives you access
[01:29:12.500 --> 01:29:19.700]  to their VPN so you can secure, browse the web securely on all your devices over their VPN.
[01:29:19.700 --> 01:29:26.180]  Dashlane is trusted by over 10 million users in 150 countries. It's been endorsed by the Wall
[01:29:26.180 --> 01:29:30.580]  Street Journal, New York Times, Washington Post, Forbes, and more. It's been featured
[01:29:30.580 --> 01:29:37.380]  as the app of the week in the Apple App Store and Google Play Store. Download Dashlane now.
[01:29:37.380 --> 01:29:41.220]  That's how you get started. Download their app. Give it a try. You can use it for free.
[01:29:41.220 --> 01:29:48.260]  It's a free app, but they have a premium service which works across all devices and includes the
[01:29:48.260 --> 01:29:53.860]  VPN and unlimited password storage and it's just five bucks a month. Use this code. Go to
[01:29:53.860 --> 01:30:00.020]  dashlane.com slash daring fireball and you'll get that 30 day free trial of Dashlane Premium
[01:30:00.820 --> 01:30:07.460]  and there's a custom discount code to save 10% off Dashlane Premium. When you sign up to pay
[01:30:08.100 --> 01:30:13.220]  that code is daring fireball all one word and it's only valid for the first 200 people who use it.
[01:30:13.220 --> 01:30:19.540]  So, if you're interested, pause the podcast, act now. My thanks to Dashlane. Go to dashlane.com
[01:30:19.540 --> 01:30:24.660]  slash daring fireball and remember that code daring fireball when you check out. Enter it on
[01:30:24.660 --> 01:30:30.740]  the checkout form and you will save 10% off the already easily affordable Dashlane Premium service.
[01:30:31.380 --> 01:30:37.460]  My thanks to Dashlane. All right, we got to talk MacBooks before. Okay, yes. So you've got the new
[01:30:37.460 --> 01:30:42.900]  MacBook Air. You bought it. Yes. I had the company buy it for me, but yes. Well, Jonas has one too.
[01:30:42.900 --> 01:30:48.820]  That's he needed a new laptop. And it was a he was a good sport about it. But he had, you know,
[01:30:48.820 --> 01:30:54.100]  he needs it at school. He's, you know, his school that kids bring a laptop. He had to use his old
[01:30:54.100 --> 01:31:02.020]  MacBook that had a broken keyboard. So he was literally using an extra magic keyboard connected
[01:31:02.020 --> 01:31:08.100]  by Bluetooth to his MacBook for like the first two months. Because I knew that the MacBook Airs were
[01:31:08.100 --> 01:31:13.380]  coming. And yeah, I wanted to see it before we decided what to buy. And I was glad that we did
[01:31:13.380 --> 01:31:19.700]  because he is such a good dad. He loves it. You know, it's, you know, it's absolutely, you know,
[01:31:19.700 --> 01:31:23.620]  no doubt in his mind, he wanted the MacBook Air, which is great, because it was also less money
[01:31:23.620 --> 01:31:32.340]  than a MacBook Pro. Yeah. All right, why'd you buy it? I mean, this is what I wanted. I wanted
[01:31:32.340 --> 01:31:39.140]  it for a long time. This was they made the laptop I've wanted for many, many years. And I think I
[01:31:39.140 --> 01:31:43.060]  tweeted a couple of weeks ago, like it is everything I said in that initial review, I love
[01:31:43.060 --> 01:31:49.060]  it. The one thing like, yeah, I'm the I'm living the dongle life right now. I've got a couple of
[01:31:49.060 --> 01:31:54.900]  things hanging out of it as I podcast here. The battery life has been great. The you know,
[01:31:54.900 --> 01:32:00.900]  everything the form factor of it, you know, it's like, I was carrying around a 13 inch old MacBook
[01:32:00.900 --> 01:32:05.860]  Pro with all of the ports on it. So it was like, I don't even know how many pounds that thing was.
[01:32:05.860 --> 01:32:10.100]  So I it just it's been great for me. I still you know, I still don't love this keyboard. I just
[01:32:10.100 --> 01:32:14.740]  don't love this keyboard. But otherwise, like, it's been great. The keyboard is the one thing
[01:32:14.740 --> 01:32:22.900]  that keeps me from switching to one I'm still on a 2014 13 inch MacBook Pro. And for for reasons,
[01:32:24.180 --> 01:32:29.860]  you know, basically visual reasons that I, my eyes are at a weird place. And I,
[01:32:29.860 --> 01:32:36.820]  I see much better looking at a laptop from laptop distance than my iMac. So I used my MacBook Pro
[01:32:36.820 --> 01:32:42.820]  the last year or so. Mostly, you know, I don't use my iMac anywhere near as much as I would if
[01:32:42.820 --> 01:32:48.900]  I didn't have the visual thing. And because I'm using it so much, I want the keyboard. And so
[01:32:48.900 --> 01:32:53.060]  because of the keyboard, I'm sticking with the 2014 MacBook Pro. And also, frankly, my MacBook
[01:32:53.060 --> 01:32:57.380]  Pro doesn't feel slow at all. Like I don't, you know, it's in it is retina, and it's not
[01:32:57.380 --> 01:33:01.220]  much heavier than a MacBook Air. But the keyboard keeps me on it.
[01:33:02.100 --> 01:33:06.980]  I mean, I've adjusted. And it's like, people are like, you know, thought that was an unfair thing
[01:33:06.980 --> 01:33:10.500]  of me to say, I think I said, like, the keyboard is still terrible. You know, maybe that's too
[01:33:10.500 --> 01:33:18.020]  harsh. It's just not as good as what it used to be. But I just, sometimes I feel like I don't
[01:33:18.020 --> 01:33:20.180]  write as good. That might seem stupid.
[01:33:20.180 --> 01:33:25.460]  I do too. I'm picky about keyboards, you, you know, and you've always been picky about track
[01:33:25.460 --> 01:33:31.060]  pads. And you, you know, and one of the reasons I've always been a genuine, I'm not just buttering
[01:33:31.060 --> 01:33:36.500]  you up, because you're on the show. But a huge, huge fan of your work is that you really have,
[01:33:36.500 --> 01:33:44.260]  to me, a very open mind about Mac and Windows, like you get both and that you, you know, like,
[01:33:44.260 --> 01:33:48.820]  I can't review a Windows laptop, because it doesn't matter how good the hardware is. I think
[01:33:48.820 --> 01:33:55.540]  Windows is disgusting as an operating system. And it's, I really do like Jonas got a gaming PC for
[01:33:55.540 --> 01:33:59.460]  Christmas, and I'm helping him set it up. I haven't used Windows in forever. It's disgusting.
[01:33:59.460 --> 01:34:04.260]  It's worse than ever, in my opinion. I can't I can't get past it. So I couldn't I can't judge
[01:34:04.260 --> 01:34:09.380]  the trackpad or the keyboard or the performance of Windows 10 is not you think Windows 10 is
[01:34:09.380 --> 01:34:13.620]  disgusting. I think it's disgusting. I think it's hard. Really? Yeah. Because it's like, it's like
[01:34:13.620 --> 01:34:17.620]  Windows 10. It's like you go into like the settings and there's like the new window 10
[01:34:17.620 --> 01:34:22.740]  settings. But then there's an advanced button and you hit it. And it opens up the windows. It opens
[01:34:22.740 --> 01:34:26.740]  up the windows seven settings. And then the windows seven settings has a button that opens
[01:34:26.740 --> 01:34:32.100]  up the old XP style thing. Like they're all Yeah, it's a mess. It's just Yeah, it's still a mess.
[01:34:32.100 --> 01:34:38.500]  But I see how it's better in some ways. But you open up the start menu and it looks like all of
[01:34:38.500 --> 01:34:42.980]  a sudden I'm in Las Vegas. It's like what the hell is going on? There's five columns and all these
[01:34:42.980 --> 01:34:49.140]  and all these colors and I can't stand it. So I can't Yeah, I can't review one objective. Well,
[01:34:49.140 --> 01:34:55.060]  look, I don't I don't I'm not a laptop reviewer anymore. I would be very rusty if I mean I did
[01:34:55.060 --> 01:34:59.220]  for for this for the MacBook Air review. I did do a big call in of what I thought were going to be
[01:34:59.220 --> 01:35:05.460]  the best Windows laptops and I reviewed an HP and a and a surf the surface laptop next to it because
[01:35:05.460 --> 01:35:12.020]  I wanted to, to pretty much compare what Apple had said was a big leap ahead in certain places
[01:35:12.020 --> 01:35:18.260]  to what what the what the windows side has been doing actually for the last two or three years.
[01:35:18.260 --> 01:35:23.780]  So you know, in terms of battery life in terms of keyboard in terms of screen. Look, I found the
[01:35:25.140 --> 01:35:29.540]  and that's actually one of the so I found everything to you know, pretty be pretty status
[01:35:29.540 --> 01:35:36.900]  quo for on both sides. I thought the the battery life on this this HP specter I tested was off the
[01:35:36.900 --> 01:35:41.860]  charts better but the the screen resolution was a little bit lower and the screen wasn't as nice.
[01:35:41.860 --> 01:35:45.860]  It's a little bit thicker too. But the biggest pain point for me was that these other really
[01:35:45.860 --> 01:35:54.660]  super thin, like very stylish. Windows laptops have real keyboards, real keys that press down.
[01:35:54.660 --> 01:36:00.500]  So it's like they can do it. Yeah. I know. Like they could do it. But like they they really,
[01:36:01.140 --> 01:36:07.220]  they love this. They love this butterfly mechanism. Yeah. And I've typed on like a Microsoft surface,
[01:36:07.220 --> 01:36:12.020]  you know, just to type on it. It's a better keyboard. I would prefer their keyboard over apples
[01:36:12.020 --> 01:36:17.140]  in a heartbeat surface laptop keyboard is this is basically the same keyboard and I love it. Yeah.
[01:36:18.340 --> 01:36:24.500]  And even the Google thing. Yeah, the Google pixel the new pixel book. Yeah. Or the pixel book has
[01:36:24.500 --> 01:36:30.740]  a nice keyboard but the new pixel slate. Yeah. With the round keys with the round keys is fun.
[01:36:30.740 --> 01:36:35.060]  I don't know I haven't I haven't used it for extended period but I think the round keys is
[01:36:35.060 --> 01:36:41.380]  a gimmick but any but but the feel of the keys is better and it's a super thin it's a you know,
[01:36:41.380 --> 01:36:46.500]  it's a tablet cover. It's super thin. So clearly Apple could do it. So I'm really fingers crossed
[01:36:46.500 --> 01:36:53.140]  hoping that they somehow go back to admit defeat and go back to not go back to the old keyboard
[01:36:53.140 --> 01:37:00.420]  but go back to a keyboard that has a better feel. And I used I used a MacBook Pro a 15 inch MacBook
[01:37:00.420 --> 01:37:05.780]  Pro for six weeks over the summer while reviewing it six weeks and it was the only Mac I used period
[01:37:05.780 --> 01:37:10.260]  in the whole period in the whole time. So I did get used to it. It's not like yeah, you get used
[01:37:10.260 --> 01:37:14.820]  to it. And that's like people saying like, Oh, you said it was terrible. I've been fine with it.
[01:37:14.820 --> 01:37:19.620]  I'm like, Yeah, okay, you get used to it. And it's fine. But when I go back to the old one,
[01:37:19.620 --> 01:37:25.780]  just feels like home. Yeah, just feels so right. And usually in the you know, when you when when
[01:37:25.780 --> 01:37:31.220]  Apple makes a big change like that, when you go back to the old thing, it feels gross or weird or
[01:37:31.220 --> 01:37:35.700]  Oh my god, I can't believe it should always feel bad to go back to the old one. Whereas the keyboard
[01:37:35.700 --> 01:37:42.180]  feels good back to the home button on the iPhone eight or something. Yeah, it's like, yeah, that's
[01:37:42.180 --> 01:37:47.540]  like, yeah, felt like it feels longer. And like, I'm like, I have to move. And yeah, it just feels
[01:37:47.540 --> 01:37:52.180]  ridiculous. I honestly, I've been hearing from people about because of this 10. R piece that I
[01:37:52.180 --> 01:37:55.700]  wrote about how there didn't go to the 10. R. And they bought the iPhone seven or eight because of
[01:37:55.700 --> 01:38:01.220]  the home button because x, y and z reasons. And I just think that's, I mean, I don't write back all
[01:38:01.220 --> 01:38:06.020]  these people. But I think it's short sighted. That's why companies most companies don't change
[01:38:06.020 --> 01:38:09.460]  when they have a hit product, right? They because they don't want to hear from the people who,
[01:38:09.460 --> 01:38:15.060]  you know, the anti early adopters and want what they're familiar with, you know, and don't really
[01:38:15.060 --> 01:38:21.620]  have an open mind about trying the new thing. I wrote about this, I speculate that I think that
[01:38:21.620 --> 01:38:26.100]  maybe that might be one of the reasons the 10. R is a little bit less popular than Apple anticipated
[01:38:26.100 --> 01:38:31.620]  is that people who maybe were like thinking, maybe I'll get a new iPhone this year, and they don't
[01:38:31.620 --> 01:38:35.780]  want to get one because none of them have the home button or the headphone jack, and they're,
[01:38:35.780 --> 01:38:40.340]  they're not I, I have heard from those readers, because I think they read the Wall Street Journal,
[01:38:40.340 --> 01:38:45.700]  and they definitely read the Wall Street Journal. And there's there's something to that. Yeah. I
[01:38:45.700 --> 01:38:51.620]  mean, there's also the the entry level price point of the iPhone seven. They're like, I don't have to
[01:38:51.620 --> 01:38:56.900]  deal with this whole new thing. And it's cheaper. Okay, I'm fine. On the flip side, I'll tell you
[01:38:56.900 --> 01:39:03.380]  this, and I'll bet you'll agree. I love the new MacBook trackpads. I love it. I think that the
[01:39:03.380 --> 01:39:10.180]  fake haptic click that they give you is the it's the most uncanny thing I've experienced. Like,
[01:39:10.820 --> 01:39:15.540]  it's hard to believe that it's not a real click. It really is. And then when I went back to my
[01:39:15.540 --> 01:39:20.820]  this 2014 has the actual what did they call it the seesaw click board, you know, trackpad that
[01:39:20.820 --> 01:39:25.860]  actually moves, you know, and has like less clickiness at the top because it's a lever.
[01:39:26.820 --> 01:39:33.620]  It does feel gross. It's absolutely a huge step back. The current trackpads are just amazing.
[01:39:34.820 --> 01:39:40.420]  Yeah, I mean, I just, I had also gone from that 13 inch, which we had a smaller surface area. And
[01:39:40.420 --> 01:39:46.180]  I'm just like, this is, I love this. I love this laptop. Yeah. Like for me for like, this past
[01:39:46.180 --> 01:39:52.820]  year, like Apple gave me like, you know, you could look at can look at what what's been going on with
[01:39:52.820 --> 01:39:57.220]  their stock price and everything that's, you know, been around it, but they made some really great
[01:39:57.220 --> 01:40:02.420]  updates this past year. Yeah, I think that the people hemming and hawing over the tech specs
[01:40:02.420 --> 01:40:07.700]  of the MacBook Air are missing the point. It's, you know, it's a I mean, around the
[01:40:07.700 --> 01:40:13.540]  town and that you can benchmark it and you for you know, $100 more you can get the MacBook Pro
[01:40:14.260 --> 01:40:20.420]  that doesn't have the touch bar and it's you know, faster and it's only slightly heavier and
[01:40:20.420 --> 01:40:28.660]  the same thickness in the back, etc, etc. I think that the MacBook Airs appeal though is large,
[01:40:28.660 --> 01:40:32.100]  I feel like that teardrop shape is part of the appeal and it doesn't matter how
[01:40:32.100 --> 01:40:39.540]  if it's actually not by volume that much less volume than the one that doesn't teardrop I it's
[01:40:39.540 --> 01:40:42.660]  just a nicer shape because when you take it out, you never orient it wrong.
[01:40:43.380 --> 01:40:48.020]  Yeah, I mean, the form like I just prefer the smaller size of this air. For me, the biggest
[01:40:48.020 --> 01:40:53.140]  question is like, why is that MacBook still around? And I get the arguments about it sort of
[01:40:53.140 --> 01:41:00.740]  like, you know, smaller stat, more stylish, like sleeker looking, maybe I don't actually feel that
[01:41:00.740 --> 01:41:07.220]  way. But on the pro, I think there's a lot of reasons to go up. But I don't like the size is
[01:41:07.220 --> 01:41:12.740]  not does not bother me. Yeah. And I don't think it's I mean, that is where I do see the gap
[01:41:12.740 --> 01:41:18.900]  between the two like I would far rather have this air for both battery life and for the size of it.
[01:41:18.900 --> 01:41:26.260]  Yeah. And the combination of no touch bar, but does have the touch ID is really is sort of one
[01:41:26.260 --> 01:41:32.420]  of those. Hey, this is what everybody was asking for. Yeah. And when I mean, I, I'd say I was
[01:41:32.420 --> 01:41:36.660]  thinking about this, when I have my Apple Watch on, I really do prefer the unlock with the Apple
[01:41:36.660 --> 01:41:42.260]  Watch. Right? Like it just is faster. But yeah, it's handy to have that there. Yeah, the touch
[01:41:42.260 --> 01:41:48.660]  bars of what's real. I don't know. I've just always see that thing on people's like their
[01:41:48.660 --> 01:41:54.500]  laptops and meetings and just like, Have you ever touched that? It looks cool. I know. Yeah. But I
[01:41:54.500 --> 01:41:58.340]  have to say that's something I didn't. I don't hate it. And I don't hate it like some people do.
[01:41:58.900 --> 01:42:03.540]  But like I said, using it for six weeks nonstop. I didn't hate it. And there's some things I like
[01:42:03.540 --> 01:42:09.380]  about it. I like dragging the sliders around for the brightness and volume. But when I went back
[01:42:09.380 --> 01:42:15.060]  to not having it, I didn't miss it. I did not miss the touch bar. Or Yeah, I didn't miss it at all.
[01:42:15.060 --> 01:42:20.340]  I don't hate it, but I didn't miss it. And I feel like this laptop. I don't there's there's very
[01:42:20.340 --> 01:42:25.540]  little about it that I would change. And there's very, I mean, the keyboards, one of them, and they
[01:42:25.540 --> 01:42:30.180]  probably won't change that. And the ports are one of them. But I've lived I've learned to live with
[01:42:30.180 --> 01:42:34.820]  that far more than I thought I would. And isn't the most baffling one the mag safe?
[01:42:36.180 --> 01:42:41.220]  Yeah, I miss mag safe. I really do. It feels like such a step backwards. And I don't know what the
