[00:00.000 --> 00:02.000]  He says he joined.
[02:21:17.780 --> 02:21:18.780]  Like it's a TV show.
[02:21:18.780 --> 02:21:19.780]  Ultimately, it's a show.
[02:21:19.780 --> 02:21:20.780]  Exactly.
[02:21:20.780 --> 02:21:21.780]  Right.
[02:21:21.780 --> 02:21:22.780]  It's a TV show.
[02:21:22.780 --> 02:21:23.780]  But I...
[02:21:23.780 --> 02:21:24.780]  It works for me.
[02:21:24.780 --> 02:21:32.500]  I think it gave us the Luke that we wanted to see back in, let's say, when was, Jedi
[02:21:32.500 --> 02:21:33.500]  83?
[02:21:33.500 --> 02:21:34.500]  Well...
[02:21:34.500 --> 02:21:37.900]  85 when we were like, how powerful is Luke Skywalker?
[02:21:37.900 --> 02:21:38.900]  Yeah.
[02:21:38.900 --> 02:21:40.900]  Not that powerful.
[02:21:40.900 --> 02:21:44.180]  You assume he continues to grow after the movie because he barely gets out of the Death
[02:21:44.180 --> 02:21:46.060]  Star 2 by the skin of his teeth, right?
[02:21:46.060 --> 02:21:47.060]  Right.
[02:21:47.060 --> 02:21:48.060]  Yeah.
[02:21:48.060 --> 02:21:49.060]  Yeah.
[02:21:49.060 --> 02:21:50.820]  Which is why I liked him in The Last Jedi when he was like, yeah, I'm done with this.
[02:21:50.820 --> 02:21:51.820]  This sucks.
[02:21:51.820 --> 02:21:54.780]  But we can, yeah, different discussion.
[02:21:54.780 --> 02:22:00.620]  Well, but I also enjoy though that they spent more time and him beating the dark troopers
[02:22:00.620 --> 02:22:07.320]  was sort of handled quickly and then they let it be more of a moment of, whoa, whoa,
[02:22:07.320 --> 02:22:08.320]  but wait a second.
[02:22:08.320 --> 02:22:09.320]  And now what?
[02:22:09.320 --> 02:22:13.260]  He's just going away with Grogu and that's it?
[02:22:13.260 --> 02:22:14.260]  Grogu's gone?
[02:22:14.260 --> 02:22:19.540]  Because you know Luke is not going to be in the show every week, right?
[02:22:19.540 --> 02:22:23.300]  It's like baby Grogu is gone and we love baby Yoda.
[02:22:23.300 --> 02:22:24.780]  The whole world loves baby Yoda.
[02:22:24.780 --> 02:22:25.780]  Yeah.
[02:22:25.780 --> 02:22:26.780]  Well, that's part of it.
[02:22:26.780 --> 02:22:28.980]  I feel like with season three of The Mandalorian, which is actually going to be a little bit
[02:22:28.980 --> 02:22:32.180]  of a gap, the whole show doesn't have to be a baby Yoda.
[02:22:32.180 --> 02:22:36.740]  I feel like that situation has been resolved up until the point where the Jedi temple burns
[02:22:36.740 --> 02:22:38.900]  down and Luke totally blows it and training everybody.
[02:22:38.900 --> 02:22:39.900]  But that's a different trilogy.
[02:22:39.900 --> 02:22:42.400]  If it's like 10 years out, that's like a long way out.
[02:22:42.400 --> 02:22:45.740]  But anyway, Grogu, it's not like he's going to be flying back to visit Grogu every time.
[02:22:45.740 --> 02:22:46.860]  He doesn't need to.
[02:22:46.860 --> 02:22:47.860]  Right.
[02:22:47.860 --> 02:22:48.980]  But it feels sad.
[02:22:48.980 --> 02:22:50.740]  I was sad watching it.
[02:22:50.740 --> 02:22:54.020]  I believe that The Mandalorian is sad to say goodbye.
[02:22:54.020 --> 02:22:57.940]  I believe Grogu was sad.
[02:22:57.940 --> 02:23:05.580]  And it all felt true and earned and it is like this is a total Star Wars success.
[02:23:05.580 --> 02:23:11.100]  And I always come back to the word camaraderie as what I loved about the original trilogy.
[02:23:11.100 --> 02:23:16.140]  What I love most about Empire Strikes Back is that it really established the sort of
[02:23:16.140 --> 02:23:19.980]  camaraderie between our heroes.
[02:23:19.980 --> 02:23:24.780]  And you know, there's a legitimate camaraderie between The Mandalorian and Grogu and which
[02:23:24.780 --> 02:23:32.180]  is amazing because The Mandalorian is a guy in a helmet who barely talks and Grogu doesn't
[02:23:32.180 --> 02:23:35.700]  talk and is a puppet.
[02:23:35.700 --> 02:23:36.700]  Right.
[02:23:36.700 --> 02:23:37.700]  Right?
[02:23:37.700 --> 02:23:43.660]  Empire Strikes Back, Han Solo rides out into the cold to his death to save Luke Skywalker
[02:23:43.660 --> 02:23:49.060]  who I don't remember the last thing he said to him, but it was it was like, basically,
[02:23:49.060 --> 02:23:50.580]  I'm out of here, kid.
[02:23:50.580 --> 02:23:53.620]  Like, I'm going to take my money and I'm leaving.
[02:23:53.620 --> 02:23:55.620]  That's the last thing we saw him say.
[02:23:55.620 --> 02:24:01.860]  Yeah, one of the smart things Empire did was have a bunch of stuff happening off camera,
[02:24:01.860 --> 02:24:05.660]  which they reference to say, look, we've become a tight knit unit.
[02:24:05.660 --> 02:24:08.580]  The Bounty Hunter, Orton Mandel, like all of that.
[02:24:08.580 --> 02:24:11.600]  At the end of A New Hope, we were friends, we all hugged in the hangar, we all got medals
[02:24:11.600 --> 02:24:13.100]  except for Chewie.
[02:24:13.100 --> 02:24:15.400]  But then even since then, we've been on adventures together.
[02:24:15.400 --> 02:24:16.560]  So we are now tight.
[02:24:16.560 --> 02:24:20.900]  So it doesn't, you know, like the, what do you call it, the bounty hunter we met on Orton
[02:24:20.900 --> 02:24:21.900]  Mandel or whatever.
[02:24:21.900 --> 02:24:25.980]  Like, there are adventures that happen between A New Hope and Empire, which lets you start
[02:24:25.980 --> 02:24:29.380]  Empire with, I'm going out there in the cold to save my friend.
[02:24:29.380 --> 02:24:30.380]  Right.
[02:24:30.380 --> 02:24:31.380]  Exactly.
[02:24:31.380 --> 02:24:34.780]  And I'm not quite sure this show has done that yet.
[02:24:34.780 --> 02:24:37.020]  But it's, but it's harder with Grogu.
[02:24:37.020 --> 02:24:38.020]  He's a little kid.
[02:24:38.020 --> 02:24:39.020]  He's a baby.
[02:24:39.020 --> 02:24:40.020]  He's a baby Yoda.
[02:24:40.020 --> 02:24:41.020]  He's cute and everything.
[02:24:41.020 --> 02:24:44.300]  And the Mandalorian felt for him because he himself was a foundling, you know, it's all
[02:24:44.300 --> 02:24:46.460]  little connects together with the whole thing.
[02:24:46.460 --> 02:24:50.380]  But he also recognizes I don't, you know, this whole force, he doesn't even know what
[02:24:50.380 --> 02:24:51.720]  the heck the force is.
[02:24:51.720 --> 02:24:53.860]  He's just trying to do right by this kid.
[02:24:53.860 --> 02:24:58.340]  He realizes that me raising this kid is probably not the best, especially since he's got this
[02:24:58.340 --> 02:25:00.900]  gift, which I can't help him develop in any way whatsoever.
[02:25:00.900 --> 02:25:04.900]  So he calls the Jedi, and Luke shows up, which seems like a best case scenario, but obviously
[02:25:04.900 --> 02:25:06.900]  he hasn't seen Seven, Eight, and Nine.
[02:25:06.900 --> 02:25:07.900]  Right.
[02:25:07.900 --> 02:25:09.380]  That's where I'm going.
[02:25:09.380 --> 02:25:12.140]  Baby Yoda does not seem to have a bright future.
[02:25:12.140 --> 02:25:13.140]  Right?
[02:25:13.140 --> 02:25:17.540]  I mean, maybe he dies in the Jedi Temple, or maybe, like his species, he's pretty wily
[02:25:17.540 --> 02:25:20.940]  and he gets the hell out of there and he's just hanging out on a small planet somewhere.
[02:25:20.940 --> 02:25:30.820]  I suspect that we discover that Luke finds him untrainable because he's too attached
[02:25:30.820 --> 02:25:31.820]  to...
[02:25:31.820 --> 02:25:33.540]  Oh, the attachment thing.
[02:25:33.540 --> 02:25:34.940]  Don't get me started on that.
[02:25:34.940 --> 02:25:35.940]  Yeah, I know.
[02:25:35.940 --> 02:25:36.940]  I know.
[02:25:36.940 --> 02:25:39.460]  Here's the problem with Grogu.
[02:25:39.460 --> 02:25:45.760]  I don't think there's ever going to be the budget available to do a Yoda TV series, because
[02:25:45.760 --> 02:25:49.900]  you can't make a character like Yoda emote and be amazing like they did in Empire, but
[02:25:49.900 --> 02:25:52.860]  to do it on a TV budget, I don't think you can do that.
[02:25:52.860 --> 02:25:53.860]  So I think Grogu...
[02:25:53.860 --> 02:25:56.100]  I also don't think a character like that can hold a show.
[02:25:56.100 --> 02:25:57.100]  I don't.
[02:25:57.100 --> 02:25:58.100]  Even Baby Yoda.
[02:25:58.100 --> 02:26:01.820]  They can, depending on how you do it.
[02:26:01.820 --> 02:26:07.700]  I think they're the accents on a story that our main protagonist is going through.
[02:26:07.700 --> 02:26:10.220]  I think that that's the way those characters are going through.
[02:26:10.220 --> 02:26:13.820]  I mean, you think about something like the Dark Crystal, or even like the Hobbit movies,
[02:26:13.820 --> 02:26:21.480]  you can have a diminutive, somewhat alien-looking character carry a franchise, but Baby Yoda
[02:26:21.480 --> 02:26:22.480]  probably...
[02:26:22.480 --> 02:26:24.100]  You really did win with the Dark Crystal.
[02:26:24.100 --> 02:26:27.060]  But I mean, even then, like, did you watch the Netflix show?
[02:26:27.060 --> 02:26:28.060]  Did you watch the Netflix show?
[02:26:28.060 --> 02:26:29.060]  Because it...
[02:26:29.060 --> 02:26:30.060]  Yeah.
[02:26:30.060 --> 02:26:31.060]  They didn't...
[02:26:31.060 --> 02:26:32.060]  All right.
[02:26:32.060 --> 02:26:33.060]  It didn't land as well.
[02:26:33.060 --> 02:26:34.060]  We got to wrap it up.
[02:26:34.060 --> 02:26:35.060]  I have two more questions.
[02:26:35.060 --> 02:26:38.660]  Number one, specific to the special effects, what do we think about the special effects
[02:26:38.660 --> 02:26:40.260]  to make young Luke?
[02:26:40.260 --> 02:26:41.860]  I thought it was great.
[02:26:41.860 --> 02:26:44.420]  I was like, this is really pretty good.
[02:26:44.420 --> 02:26:47.460]  And you're renowned for your keen vision, so...
[02:26:47.460 --> 02:26:53.820]  I'm back to 2020 in one eye, so...
[02:26:53.820 --> 02:26:54.820]  You're right.
[02:26:54.820 --> 02:26:57.500]  You probably actually have better vision than I do with my stupid glasses.
[02:26:57.500 --> 02:26:58.500]  You'd be surprised.
[02:26:58.500 --> 02:27:04.820]  But I really, you know, it was a perfect no, but it was good, and it was clearly of the
[02:27:04.820 --> 02:27:10.060]  same technique that they used to make young Leia in Rogue One, which I actually was...
[02:27:10.060 --> 02:27:11.380]  I was okay with.
[02:27:11.380 --> 02:27:13.380]  I thought that was fine.
[02:27:13.380 --> 02:27:16.620]  I mean, like, I think I said when we were discussing this in one of the slacks that
[02:27:16.620 --> 02:27:19.140]  we're in, like, the way they would do this when we were kids is they would get a young
[02:27:19.140 --> 02:27:20.900]  actor that looked sort of like Luke.
[02:27:20.900 --> 02:27:21.900]  Right.
[02:27:21.900 --> 02:27:26.260]  And we would know it's not Luke, and we would be like, yeah, that's what you do on TV, right?
[02:27:26.260 --> 02:27:29.100]  These days, the thing that you do is what they did, which was computers.
[02:27:29.100 --> 02:27:31.220]  And then you look at it, and does it look convincing?
[02:27:31.220 --> 02:27:33.140]  No, but it's like, it's fine.
[02:27:33.140 --> 02:27:35.620]  Like, look, you're just trying to tell a story.
[02:27:35.620 --> 02:27:39.420]  It's like, the way I put it for a lot of this stuff is like when you watch, like, a play
[02:27:39.420 --> 02:27:43.340]  at a kid's school and someone comes up with a big cardboard boat or something, it doesn't
[02:27:43.340 --> 02:27:44.760]  look like a real boat.
[02:27:44.760 --> 02:27:47.340]  But for the purposes of the story, you're like, I'm not going to spend the whole time
[02:27:47.340 --> 02:27:49.740]  hanging up in, like, that cardboard boat doesn't look real.
[02:27:49.740 --> 02:27:51.340]  Like, just enjoy the performance, right?
[02:27:51.340 --> 02:27:56.620]  So all they need to do is say, this is Luke, and amazingly, with technology, we can make
[02:27:56.620 --> 02:27:59.860]  them look actually pretty close to the real Luke and do this amazingly with the voice,
[02:27:59.860 --> 02:28:03.500]  which I still don't know how they do, and just accept it as part of the story.
[02:28:03.500 --> 02:28:04.500]  And I did.
[02:28:04.500 --> 02:28:05.500]  And it was fine.
[02:28:05.500 --> 02:28:06.740]  Now, again, can you build a series?
[02:28:06.740 --> 02:28:09.020]  Can you build a young Luke franchise for that CGI Luke?
[02:28:09.020 --> 02:28:11.900]  No, you absolutely cannot, because the tech is not ready, and it's super expensive and
[02:28:11.900 --> 02:28:13.020]  hard to do.
[02:28:13.020 --> 02:28:16.500]  But for the purposes of storytelling, I'm fine with it.
[02:28:16.500 --> 02:28:18.220]  Just the same thing I was with The Rogue One and everything.
[02:28:18.220 --> 02:28:19.260]  It's just, they're just not there.
[02:28:19.260 --> 02:28:22.620]  The thing is, you're never going to get there if you don't keep trying to do it.
[02:28:22.620 --> 02:28:24.700]  So I always applaud the effort.
[02:28:24.700 --> 02:28:31.860]  The voice was so good that it was, like, completely, completely, for me, 100% believable.
[02:28:31.860 --> 02:28:35.580]  But then you immediately go to, this is terrifying, because 10 years from now, they're going to
[02:28:35.580 --> 02:28:38.140]  be able to make anybody sound like anybody.
[02:28:38.140 --> 02:28:39.220]  I mean, you could already do that.
[02:28:39.220 --> 02:28:41.420]  You ever use Descripts to do that with your own voice?
[02:28:41.420 --> 02:28:44.540]  Yeah, Descripts is an awesome app, by the way.
[02:28:44.540 --> 02:28:46.300]  That's like the janky version of it.
[02:28:46.300 --> 02:28:48.420]  Honestly, I don't know how they did it.
[02:28:48.420 --> 02:28:51.220]  I was hoping the gallery thing would tell me, because that's all I wanted to know.
[02:28:51.220 --> 02:28:54.900]  I know how they did the CGI face, because we all know how they did it in, you know,
[02:28:54.900 --> 02:28:56.380]  in Rogue One and everything.
[02:28:56.380 --> 02:28:57.380]  But how do you do the voice?
[02:28:57.380 --> 02:28:58.380]  Because you have choices.
[02:28:58.380 --> 02:29:02.900]  You can have Mimic do the voice, you can have Mark Hamill do the voice and then modify it,
[02:29:02.900 --> 02:29:07.980]  or you can manufacture the voice out of sound samples, which is what Descript does, only,
[02:29:07.980 --> 02:29:09.340]  you know, in a jankier way.
[02:29:09.340 --> 02:29:11.260]  But I don't know which one of those three things they did.
[02:29:11.260 --> 02:29:17.660]  Well, just from comments that Hamill has made on Twitter, I believe he was involved in the
[02:29:17.660 --> 02:29:18.660]  production.
[02:29:18.660 --> 02:29:23.860]  Somehow, I'm going to have to guess it was voice and maybe mocap.
[02:29:23.860 --> 02:29:24.860]  I don't know.
[02:29:24.860 --> 02:29:27.500]  They're going to mocap that old guy for the young Luke thing.
[02:29:27.500 --> 02:29:28.500]  Who knows?
[02:29:28.500 --> 02:29:29.500]  Well, no, no.
[02:29:29.500 --> 02:29:34.540]  Not for the fighting stuff, but for like the I'm hanging out with R2 and like the speech,
[02:29:34.540 --> 02:29:35.540]  the monologue.
[02:29:35.540 --> 02:29:40.060]  Even the voice wasn't 100% convincing, because when I listen to it, I'm like, that's super
[02:29:40.060 --> 02:29:43.180]  close, but not quite.
[02:29:43.180 --> 02:29:44.180]  I don't know.
[02:29:44.180 --> 02:29:45.180]  I loved it.
[02:29:45.180 --> 02:29:46.180]  I thought it was a great twist.
[02:29:46.180 --> 02:29:48.140]  It deserved well-earned.
[02:29:48.140 --> 02:29:49.140]  I did.
[02:29:49.140 --> 02:29:50.780]  My last topic is…
[02:29:50.780 --> 02:29:51.780]  Wait, wait.
[02:29:51.780 --> 02:29:52.780]  Just one second.
[02:29:52.780 --> 02:29:58.420]  I agree 100% with Syracuse that, yes, we should keep doing this.
[02:29:58.420 --> 02:30:04.900]  I think that in the future, we're going to see, like in comic books and everything else,
[02:30:04.900 --> 02:30:08.220]  representations are going to change over time.
[02:30:08.220 --> 02:30:11.340]  And yet the characters are going to remain the same.
[02:30:11.340 --> 02:30:15.580]  We have the technology, more or less, to do that now, and I think we're going to see it
[02:30:15.580 --> 02:30:16.580]  more often.
[02:30:16.580 --> 02:30:21.700]  And I think subsequent generations are just going to come to see like, well, that Superman
[02:30:21.700 --> 02:30:28.900]  looked like he should have had a mustache or just looked a little bit off, or Leia looked
[02:30:28.900 --> 02:30:29.900]  a little…
[02:30:29.900 --> 02:30:35.060]  And in the case of Leia and Vogue 1, I know there were some last minute changes to that
[02:30:35.060 --> 02:30:39.020]  or I've been told there were some last minute changes to that scene that changed the lighting
[02:30:39.020 --> 02:30:41.540]  on it that made it stand out a little bit more.
[02:30:41.540 --> 02:30:47.740]  There are difficulties doing this, but if you've seen Ant-Man, it works pretty great.
[02:30:47.740 --> 02:30:54.460]  Like there's a bunch of stuff that has done this technology, or Captain Marvel, they de-aged
[02:30:54.460 --> 02:30:57.860]  Sam Jackson.
[02:30:57.860 --> 02:31:00.780]  Using this technology is just going to make it more and more effective.
[02:31:00.780 --> 02:31:08.940]  And I think it's a viable and interesting way forward in terms of keeping these essentially
[02:31:08.940 --> 02:31:15.260]  mythological characters alive and in representation of the people that first embodied them.
[02:31:15.260 --> 02:31:18.380]  Do I think that's necessarily healthy as a culture?
[02:31:18.380 --> 02:31:19.380]  No.
[02:31:19.380 --> 02:31:24.700]  Especially since we are accustomed to and totally accept the other thing, which we saw
[02:31:24.700 --> 02:31:26.220]  our whole life and even did it in solo.
[02:31:26.220 --> 02:31:28.220]  You just get a different actor.
[02:31:28.220 --> 02:31:29.220]  We accept it.
[02:31:29.220 --> 02:31:30.220]  Like, we're not freaking out.
[02:31:30.220 --> 02:31:31.420]  Like, that's not young Harrison Ford.
[02:31:31.420 --> 02:31:32.420]  We're fine.
[02:31:32.420 --> 02:31:33.420]  People can handle it.
[02:31:33.420 --> 02:31:34.420]  It happens all the time.
[02:31:34.420 --> 02:31:36.980]  It does not detract from the storytelling in any way.
[02:31:36.980 --> 02:31:38.580]  And it is way cheaper.
[02:31:38.580 --> 02:31:40.220]  I agree.
[02:31:40.220 --> 02:31:44.100]  And yet I admire the reach of trying to do it.
[02:31:44.100 --> 02:31:45.460]  Because I'm still waiting.
[02:31:45.460 --> 02:31:47.980]  I paid to see Final Fantasy Spirits within.
[02:31:47.980 --> 02:31:52.660]  I am all in on full CG photo-real people.
[02:31:52.660 --> 02:31:53.660]  Absolutely.
[02:31:53.660 --> 02:31:54.660]  100%.
[02:31:54.660 --> 02:31:55.660]  Do it.
[02:31:55.660 --> 02:31:56.660]  Let's get there.
[02:31:56.660 --> 02:31:57.660]  Did you enjoy that movie?
[02:31:57.660 --> 02:31:58.660]  Because I did not.
[02:31:58.660 --> 02:31:59.660]  No, I did not.
[02:31:59.660 --> 02:32:00.660]  It's not going to go.
[02:32:00.660 --> 02:32:01.660]  But I'm happy I paid to see it.
[02:32:01.660 --> 02:32:06.940]  But I wanted to give them my money and say, yes, keep trying to do that because I think
[02:32:06.940 --> 02:32:11.220]  that's a super cool thing that you can do.
[02:32:11.220 --> 02:32:16.180]  What did you guys think of The Irishman and the aging effects in The Irishman?
[02:32:16.180 --> 02:32:19.020]  I mean, that's no.
[02:32:19.020 --> 02:32:23.180]  I like, again, I think it's a good thing to be able to do well.
[02:32:23.180 --> 02:32:28.780]  Because for certain stories, it's super important to be able to do it well, because if that's
[02:32:28.780 --> 02:32:29.780]  the thing you want to do.
[02:32:29.780 --> 02:32:32.700]  But for The Irishman, it just felt like getting the band back together.
[02:32:32.700 --> 02:32:35.940]  But the band is all 70 and you wish they weren't.
[02:32:35.940 --> 02:32:38.100]  Yeah, I feel the same way.
[02:32:38.100 --> 02:32:44.500]  I think any trick done as a trick is worth pulling off.
[02:32:44.500 --> 02:32:51.120]  I think Jimi Hendrix lighting his guitar on fire with lighter fluid and then playing with
[02:32:51.120 --> 02:32:52.120]  his teeth.
[02:32:52.120 --> 02:32:53.120]  That's cool.
[02:32:53.120 --> 02:32:59.220]  Maybe don't do a whole concert like that is kind of my feeling on that.
[02:32:59.220 --> 02:33:03.660]  Do it where it's appropriate and where it's going to get a wow and a bang factor.
[02:33:03.660 --> 02:33:07.460]  I think Rogue One tried to do that well, and I think certainly the Mandalorian season two
[02:33:07.460 --> 02:33:11.660]  at the finale tried to do that well.
[02:33:11.660 --> 02:33:13.760]  Don't hang your hat on that.
[02:33:13.760 --> 02:33:19.040]  It's a trick, appreciate it like a trick, and deploy it accordingly.
[02:33:19.040 --> 02:33:22.060]  It wasn't good enough to be a full-length movie.
[02:33:22.060 --> 02:33:24.620]  The effect wasn't good enough to build a whole movie on.
[02:33:24.620 --> 02:33:26.980]  Again, you're not going to do it unless you keep trying.
[02:33:26.980 --> 02:33:30.260]  And I think the story of The Irishman was good, and certainly the talents involved were
[02:33:30.260 --> 02:33:31.260]  good.
[02:33:31.260 --> 02:33:36.340]  But you really need a young man's energy to play a young man, and you can de-age De Niro
[02:33:36.340 --> 02:33:39.420]  all you want, but he's not that young man anymore.
[02:33:39.420 --> 02:33:44.540]  And the particular scene where it stood out, everybody's talked about it, is the curb stomping
[02:33:44.540 --> 02:33:45.540]  scene.
[02:33:45.540 --> 02:33:48.740]  It's a seven-year-old body, right?
[02:33:48.740 --> 02:33:49.740]  Right.
[02:33:49.740 --> 02:33:50.740]  And it's like that's...
[02:33:50.740 --> 02:33:51.740]  That's budget.
[02:33:51.740 --> 02:33:55.500]  You can de-age the body too, but now it gets even more expensive and troublesome.
[02:33:55.500 --> 02:33:58.260]  And it's like, well, then why do we even have the real actor in there at that point?
[02:33:58.260 --> 02:33:59.420]  It's like, yes, exactly.
[02:33:59.420 --> 02:34:00.420]  Just get someone.
[02:34:00.420 --> 02:34:03.540]  De Niro played a young Marlon Brando, and it was fine.
[02:34:03.540 --> 02:34:04.540]  Like it worked great.
[02:34:04.540 --> 02:34:06.060]  We're okay with it.
[02:34:06.060 --> 02:34:07.060]  Yeah, especially...
[02:34:07.060 --> 02:34:13.020]  Yeah, now that you make me think about it too much, one of his first starts was playing
[02:34:13.020 --> 02:34:14.020]  a de-aged superstar.
[02:34:14.020 --> 02:34:18.860]  And it only would look that much alike at all, but we don't care, because they're both
[02:34:18.860 --> 02:34:19.860]  good actors.
[02:34:19.860 --> 02:34:24.180]  They're both incredible actors, and they're both handsome people, but holy cow, they do
[02:34:24.180 --> 02:34:26.740]  not look like the same person even a little bit.
[02:34:26.740 --> 02:34:29.940]  It was way cheaper to just get a young guy who looks like a young guy.
[02:34:29.940 --> 02:34:30.940]  Right.
[02:34:30.940 --> 02:34:37.020]  Well, and the other funny thing about that too is, okay, we never saw young Marlon Brando
[02:34:37.020 --> 02:34:42.180]  as Vito Corleone, but everybody knows what young Marlon Brando looked like, because he
[02:34:42.180 --> 02:34:43.980]  was already...
[02:34:43.980 --> 02:34:44.980]  From a very young age.
[02:34:44.980 --> 02:34:45.980]  Yeah.
[02:34:45.980 --> 02:34:53.400]  He was built like a brick shithouse, and did not look anything like what we actually got
[02:34:53.400 --> 02:34:55.400]  to see on screen.
[02:34:55.400 --> 02:35:00.540]  But De Niro got to play the young Vito Corleone, which is not the young Marlon Brando.
[02:35:00.540 --> 02:35:01.540]  Right.
[02:35:01.540 --> 02:35:04.660]  They're both playing the same character, and just because one comes first and one comes
[02:35:04.660 --> 02:35:05.660]  second.
[02:35:05.660 --> 02:35:06.660]  Yeah.
[02:35:06.660 --> 02:35:08.220]  I totally bought him as young Vito.
[02:35:08.220 --> 02:35:09.940]  I don't care if he looks like Marlon Brando.
[02:35:09.940 --> 02:35:10.940]  Oh, totally.
[02:35:10.940 --> 02:35:11.940]  100%.
[02:35:11.940 --> 02:35:23.260]  And I think maybe we're falling into the trap of going for visual similarity, rather than
[02:35:23.260 --> 02:35:24.260]  sort of like...
[02:35:24.260 --> 02:35:29.100]  It's a cool thing you can do if you can do it, and if you can do it convincingly, and
[02:35:29.100 --> 02:35:34.500]  I think it will be a great tool to have in the tool chest, but right now, that tool falls
[02:35:34.500 --> 02:35:35.860]  short of alternate techniques.
[02:35:35.860 --> 02:35:39.580]  So use it sparingly to just advance it.
[02:35:39.580 --> 02:35:40.580]  Yeah.
[02:35:40.580 --> 02:35:41.580]  I mean, just think of it this way.
[02:35:41.580 --> 02:35:42.580]  Think of fake backgrounds.
[02:35:42.580 --> 02:35:45.820]  Think of a show like The Crown or whatever.
[02:35:45.820 --> 02:35:48.420]  You could make a show like The Crown in the 70s, and it would be fine.
[02:35:48.420 --> 02:35:52.120]  Today, we have tools in our tool belt that are so good, they're just a routine part of
[02:35:52.120 --> 02:35:56.220]  doing stuff, which is like, I'll put in Fucking Ham Palace behind there, and nobody will ever
[02:35:56.220 --> 02:35:57.220]  know.
[02:35:57.220 --> 02:35:59.180]  And it works so perfectly that it's a non-issue.
[02:35:59.180 --> 02:36:03.220]  When we get to that point, if we ever get to that point with de-aging, by all means,
[02:36:03.220 --> 02:36:04.300]  use it whenever the hell you want.
[02:36:04.300 --> 02:36:08.300]  Right now, it's not at that level, so you have to really pick and choose, because people
[02:36:08.300 --> 02:36:13.420]  are going to notice, and it is going to stand out, and you have to balance that.
[02:36:13.420 --> 02:36:16.420]  We want to keep practicing this and getting better at it so that we can get to the point
[02:36:16.420 --> 02:36:18.580]  where it's not noticeable, but right now it is.
[02:36:18.580 --> 02:36:22.940]  So let's factor that into our creative decisions and not build a three-hour movie around it.
[02:36:22.940 --> 02:36:23.940]  Can I tell you-
[02:36:23.940 --> 02:36:34.940]  So one thing, Sir Q, that I was most interested to talk to you about tonight was, you had
[02:36:34.940 --> 02:36:43.220]  a definite perspective on the arc of Luke's character, and I feel, and not to put words
[02:36:43.220 --> 02:36:50.620]  in your mouth, but I feel like you felt a little bit betrayed by The Last Jedi and his
[02:36:50.620 --> 02:36:53.660]  arc in that film.
[02:36:53.660 --> 02:36:59.500]  How does the final episode of Mandalorian season two sort of fit into that for you?
[02:36:59.500 --> 02:37:02.260]  You're going to throw that one out there when Jon's trying to close on the show?
[02:37:02.260 --> 02:37:03.260]  What is your final point, Jon?
[02:37:03.260 --> 02:37:07.260]  I'll let you get to that, and then we'll see if we have time for me to address it, guys.
[02:37:07.260 --> 02:37:09.900]  That's the most essential thing that we have to talk about.
[02:37:09.900 --> 02:37:11.500]  It's not my fault you guys are being-
[02:37:11.500 --> 02:37:14.740]  I just want to give Jon a chance, he had one final point he wanted to make.
[02:37:14.740 --> 02:37:19.860]  I just wanted to say, I wanted to just, it's a complete aside, I just want to say my favorite
[02:37:19.860 --> 02:37:26.100]  special effect of the entire two-season run of The Mandalorian was the IG, I think he's
[02:37:26.100 --> 02:37:27.100]  IG-11 droid.
[02:37:27.100 --> 02:37:28.100]  IG-11, yeah.
[02:37:28.100 --> 02:37:33.380]  And I think what made it work so perfectly, well, number one, it was just great effects
[02:37:33.380 --> 02:37:37.820]  work, but number one, or number two, it's the fact that the original IG-88 character
[02:37:37.820 --> 02:37:43.300]  was made with 1981 technology, where they built, like, well, what can we make that looks
[02:37:43.300 --> 02:37:47.500]  like a credible assassin droid, and it would look like this.
[02:37:47.500 --> 02:37:56.140]  And the mechanics of the droid that they created to make a real world slightly, I mean, IG-88
[02:37:56.140 --> 02:37:59.980]  barely moves in Return of the, or Empire Strikes Back.
[02:37:59.980 --> 02:38:02.860]  I think his head swivels, and he's got those, like-
[02:38:02.860 --> 02:38:11.620]  But it becomes this thing that is completely able to be made completely realistically in
[02:38:11.620 --> 02:38:18.220]  today's CGI, and it's just, it's like, oh, that guy moves like a herky-jerky robot.
[02:38:18.220 --> 02:38:20.940]  That's because he is a herky-jerky robot, right?
[02:38:20.940 --> 02:38:22.860]  It was, I loved that.
[02:38:22.860 --> 02:38:24.380]  I thought it was so great.
[02:38:24.380 --> 02:38:33.420]  I loved it, and just today, or maybe yesterday, Boston Dynamics put out a little video of
[02:38:33.420 --> 02:38:40.060]  the robots dancing, and I'm like, I'm sure 11 is going to be so much fun.
[02:38:40.060 --> 02:38:42.620]  Before we close, we could close on the Luke question.
[02:38:42.620 --> 02:38:46.660]  My other topic before we close on that would be, what do we think of bringing Boba Fett
[02:38:46.660 --> 02:38:47.660]  back?
[02:38:47.660 --> 02:38:49.660]  Ooh, good one.
[02:38:49.660 --> 02:38:52.020]  That was also my last.
[02:38:52.020 --> 02:38:53.020]  That's my last thing.
[02:38:53.020 --> 02:38:56.980]  There's a little bit of a De Niro effect in there that Boba's put on some weight.
[02:38:56.980 --> 02:38:58.860]  The armor doesn't fit like it used to.
[02:38:58.860 --> 02:38:59.860]  I dig it.
[02:38:59.860 --> 02:39:00.860]  I kind of dig it.
