[00:00.000 --> 00:09.000]  I haven't washed my hands. I haven't washed my hands in 20 years.
[01:43:09.000 --> 01:43:23.000]  So I thought about it through that lens, which I thought was interesting. What if that's actually really, really helpful for people that aren't used to the muscle memory of precisely going from one end of the screen to another and stopping on a dime?
[01:43:23.000 --> 01:43:35.000]  Because they know exactly what the velocity of the cursor is going to be and how to precisely do that and what that feels like to their finger.
[01:43:35.000 --> 01:43:47.000]  Like if I close my eyes right now, I can probably move my cursor from one end of the screen to the other end of the screen and stop pretty closely to where I want to be every time when my eyes closed.
[01:43:47.000 --> 01:44:03.000]  Simply because I've had decades of experience manipulating things with a touchpad. But I find it interesting that you could have had a lot of people where if they get an iPad and they get a keyboard with a touchpad on it, it might be their first one. It's interesting.
[01:44:03.000 --> 01:44:19.000]  I think one of the things people don't... The Mac interface doesn't have a lot of hover effects. One that pops to mind is that the red, yellow, green buttons have hover effects.
[01:44:19.000 --> 01:44:36.000]  So when you put the mouse pointer over the red, yellow, green buttons in a window, they've always lit up in some way in the Mac OS X era. They used to be more exuberant where they'd actually light up. Now you just get the little X minus and full screen things.
[01:44:36.000 --> 01:44:55.000]  But it's just a little hint that, hey, you're on the red button. It lights up. But most things don't. And I think it would be annoying if they did. When your mouse is over the file menu in the menu bar, nothing happens to the file menu. You have to click and then it looks like it's selected and you go down.
[01:44:55.000 --> 01:45:08.000]  Now when you pull down on a menu, you do get a hover effect as you go over the menus to tell you which one. If you select new, then you're going to get it. So there are some, but there's not a lot.
[01:45:08.000 --> 01:45:28.000]  And I don't know, you have to really think of it. You have to be a little bit of a UI nerd to really think about the fact that with the arrow pointer, it's a 20 point high or 16 point high. I forget how big the standard arrow thing is. 32 pixels on a retina screen.
[01:45:28.000 --> 01:45:44.000]  But it's really one magic pixel at the very tip of the arrow. That one magic pixel at the top of the arrow is the magic pixel where whatever that pixel is over when you click is what gets clicked.
[01:45:44.000 --> 01:46:09.000]  The way that the iPad cursor, it's like the inverse of the Mac where most things have a hover effect and the ones that don't, I almost feel like, oh man, I hope Apple has a list of these. I've noticed that in the alerts, if you get an OK cancel alert, the buttons don't really light up. I want them to. I want those to light up too.
[01:46:09.000 --> 01:46:22.000]  And apps, I've noticed apps with custom UI elements, of course, they're going to have to implement it themselves. If they've used the out of the box ones that Apple provides, it gets built in. But anybody with a custom one has to design their own.
[01:46:22.000 --> 01:46:42.000]  But you can put the arrow pointer over a button, but if it's a little bit too high and just the point of the arrow is above the button, even though the overall surface area of the mouse pointer is mostly over the button, when you click, you don't get the button. You're clicking above the button.
[01:46:42.000 --> 01:47:00.000]  Whereas with the iPad, there's no ambiguity whatsoever. You can't miss it and you don't have to think about the implementation detail of, oh, it's really the point of the arrow is the only thing that really matters and the rest of it is just there so you can see it better.
[01:47:00.000 --> 01:47:15.000]  Whereas on the iPad implementation, you can't miss it. You don't even have to think about it. You're hovering over this button in the toolbar and you have this whole big hover effect. Boom, you know you're there and if you tap right there, you're going to get it.
[01:47:15.000 --> 01:47:35.000]  Yeah, and there's a very straight line there to draw between that behavior and that philosophy, which I think is dead on. It's really good to observe that. And the fact that the interface has so many invisible affordances to help you actually touch the thing you think you're touching.
[01:47:35.000 --> 01:47:48.000]  Because most people don't understand, when they touch a screen, the tip of their finger, which may be on the button, is not what contacts the screen first. It's the pad. And it's basically where the whirl of your fingerprint centers.
[01:47:48.000 --> 01:48:09.000]  And so when you're touching a screen, iOS says, oh, okay, yeah, you mean 40 pixels north of here, right? And you can test this actually. It's a fun little thing. If you've ever tried to turn your phone over and enter your passcode upside down, you understand how much of a bitch it is?
[01:48:09.000 --> 01:48:28.000]  Because they know what orientation, you know, that that screen doesn't invert. Like on a screen that inverts, you're fine. It doesn't matter. They don't care. It's software. But if you get a screen that does not invert, that is not designed to be used in any orientation, like the passcode screen, and then you try to interact with it.
[01:48:28.000 --> 01:48:47.000]  Let's say somebody's like, oh, your phone locked. Could you unlock it for me? Like my wife does this, and she's looking through pictures, and she's like, oh, I locked the phone. And instead of doing face ID, if I'm on stand-in, let's say on the other side of a counter, and I reach over the top of the phone to try to enter my passcode, I have to explicitly move my finger further south, right?
[01:48:47.000 --> 01:49:04.000]  Because it's moving it, or further, whatever. You know what I mean? Like towards it. Because it undershoot it. Because it's adjusting for what it knows a normal human would do, which is touching a point, and that point is too far down, you know, from where they actually want to touch.
[01:49:04.000 --> 01:49:31.000]  And there's dozens of these little affordances in the keyboard, and for icons, and for scrollable lists, and all of this stuff, right? They have a lot of experience, and frankly, it was one of the big, big secret weapons from the very beginning that made iOS feel so much easier and better to use with touch than Android or other platforms, because they may have been doing some of this, but nobody thought of it as aggressively as Apple did.
[01:49:31.000 --> 01:49:37.000]  You know, it's like, what's the shape of a finger? How does it interact? What's the heuristics involved?
[01:49:37.000 --> 01:49:45.000]  They're not measuring where you're actually touching. They're measuring where you think you're touching, which is slightly different.
[01:49:45.000 --> 01:50:14.000]  You know, like, okay, I know what you're doing, but what did you actually want to do here, right? And that, I think, is embodied in the way that this cursor acts on iPad. So I think the team did a really good job of taking that same understanding that there is a general, like, nebulous nature to the way that this interface is set up, because it was built to honor a finger, you know, is built to,
[01:50:14.000 --> 01:50:30.000]  to work on a primarily touch device. So what does a cursor look like here? How does it act here? And how should that be different than the way it acts on a Mac? And I thought, I think that this is one of those scenarios where it may not get acknowledged explicitly by a lot of people.
[01:50:30.000 --> 01:50:44.000]  They may just think, oh, hey, cool cursor, right? Oh, that's fun. And that's interesting, which it is. It's all of those things. But it is also a decision. Like, that's a decision they had to make to break the paradigm of the way a cursor acted on a computer.
[01:50:44.000 --> 01:50:58.000]  Because the cursor on a surface, just to give an example, I don't want to be beating up on anybody, but the cursor on a surface acts exactly the same way as they did on Windows. And once again, not a bad or good thing. It's neutral, but it is a choice.
[01:50:58.000 --> 01:51:10.000]  Like the team decided, hey, we want to keep this universal. We want people that use Windows to feel comfortable here. So we want the cursor to look and feel and kind of act the same. Great, that's fine. That's a choice, right?
[01:51:10.000 --> 01:51:23.000]  So this whole thing with the cursor on the iPad, it wasn't just like, oh, we think this will look cool, or be interesting. It was a decision. And then of course, hundreds and hundreds of other decisions down the road from that, we get what we got, right?
[01:51:23.000 --> 01:51:45.000]  So anyhow, it's a very interesting thing. And it's very rare that Apple introduces a new input mode. And though this is attached to a touchpad, I do believe it should be classified as separate from the interface that we would traditionally associate with a trackpad on, say, a Mac.
[01:51:45.000 --> 01:51:51.000]  You know, I do believe it's a new thing, a separate thing. It's very interesting.
[01:51:51.000 --> 01:52:04.000]  Yeah, but yet some of the things still work the same. Like, it made me smile the first time I thought, well, if I hold down the Command key when I tap on a link, will it open in a new tab automatically? Yes, yes, it does.
[01:52:04.000 --> 01:52:28.000]  And so that's the sort of thing that when I'm on the iPad, and I've got a keyboard and a trackpad in front of it, I feel like all of a sudden, I am so much more efficient in a way that wasn't like if I go to just to name one site that I go on a daily basis talking points memo, a political site run by Josh Marshall now and a whole staff of news people, one of my favorite sites.
[01:52:28.000 --> 01:52:39.000]  And I love their editor's blog, but their editor's blog, even though the posts are relatively short, the main listing, there's always a read more. Like, if you want to read everything, you have to read more.
[01:52:39.000 --> 01:52:53.000]  So the way I read talking points memo is I'll load it up in a tab, and when I find one, I want to read more. I'll open in a new tab, keep scrolling. Oh, I want to open that one in a new tab, and I'll end up with like maybe three or four tabs with the full posts.
[01:52:53.000 --> 01:53:08.000]  That's a real pain on the iPad, and it's one of those things that's kind of gotten a little worse on the phone without 3D touch because you have to kind of wait for the contextual menu.
[01:53:08.000 --> 01:53:28.000]  You click and hold, tap and hold with your finger on the link, wait for the thing to open up, open in background. It's this tap, wait, then tap the other thing, and then it goes. Whereas now with the iPad, it's exactly as efficient as the Mac where I just command tab, command click, command click, command click.
[01:53:28.000 --> 01:53:41.000]  Now I've got three tabs, click, click, click, read them, done. It just feels so efficient, and it's so familiar. But I agree, it definitely in other ways feels like this new thing.
[01:53:41.000 --> 01:54:06.000]  Yeah, I mean, I don't think that every new thing has to be completely alien, right? I mean, being able to trace the DNA is important for consistency, is important to honor some expectations about the way things should work because, yes, while I get excited about this new computing generation and how they're interacting with machines, this is a fact of light that there's plenty of us that have used a computer before, and we're going to be using this, right?
[01:54:06.000 --> 01:54:20.000]  So you have to honor that, as I said, that muscle memory, that intellectual memory about the way things are supposed to work enough so that it doesn't feel completely alien. It feels fresh and new and exciting, but not frustrating.
[01:54:20.000 --> 01:54:44.000]  And maybe in terms of not feeling alien and frustrating, a good comparison is Apple TV with tvOS, which is the first iOS variant to ship with trackpad support, right? Because the magic remote, what do they call the Apple TV remote? There's a name for it.
[01:54:44.000 --> 01:54:48.000]  Crap? I don't know.
[01:54:48.000 --> 01:54:51.000]  Sorry, Apple TV remote team.
[01:54:51.000 --> 01:55:03.000]  It has, you know, a trackpad at the top. I don't know, you know, whatever you want to call it. It's a trackpad that you slide your finger over. But on the tvOS, there is no cursor at all.
[01:55:03.000 --> 01:55:27.000]  You're just moving the selection around, and it pops off the screen. And I can't help but suspect, and I kind of actually maybe secretly know that the cursor idea that we now see in the iPad was originally one of the concepts for Apple TV, that there'd be something similar.
[01:55:27.000 --> 01:55:37.000]  As you move your thumb around on the remote, you'd see a cursor that when it was over, an icon would make it pop. Very much like the home screen now.
[01:55:37.000 --> 01:55:58.000]  And that, you know, somehow the actual let's show the cursor when it's in the dead zone between tappable items, you know, lost the argument for tvOS, but it obviously came back for iPad OS. And boy, I think that would really improve tvOS.
[01:55:58.000 --> 01:56:14.000]  Again, five days into it, I'm convinced that Apple TV would be better if the, even if you use the same crappy remote, it would be better if there was a cursor just like the one on iPad OS that would move around.
[01:56:14.000 --> 01:56:31.000]  Right. The one on Apple TV, not to go into a rabbit hole, but the one on Apple TV reminds me of when your computer enters a fail state and your cursor disappears, and you can still move it around, you know?
[01:56:31.000 --> 01:56:46.000]  And you can say, oh, that's where it is right now. It's hovering over that folder. You know, okay, if I move south of there three inches and then over two inches, double click, I got it, I got it, right? And it's like open settings and, you know, turn off a mouse, turn it back on or something, whatever.
[01:56:46.000 --> 01:56:58.000]  You know, whatever you're trying to do, just restart your computer. Like, oh, is it in the corner? You know? And I think that that's the way it's always felt to me. It feels unpredictable because you can't track it, right? It's like, where is it?
[01:56:58.000 --> 01:57:12.000]  You know, who knows? It's anybody's guess. And I think that that's obviously, you know, it's sort of solved by the fact that, yes, it's going to become contextually aware. One thing I really like about the cursor on the iPad is when you do touch an icon, of course, it snaps to that icon.
[01:57:12.000 --> 01:57:29.000]  So you can move it around a little bit. And because the icon shifts, you know, sort of does that isometric shifting or parallax shifting, isometric. Because it does that, it has a little sheen to it, right? It's got that little shine.
[01:57:29.000 --> 01:57:41.000]  And it's almost like your cursor is rattling around inside there, like moving inside that box of that icon. And it knows that you probably want to stay in there unless you really move out, right? And then, of course, exits that icon and moves on.
[01:57:41.000 --> 01:57:56.000]  But it's the same thing from the Apple TV. You know, people drew parallels pretty quickly because obviously you could see it, right? Because that Apple TV thing does the same. If you move your thumb around a little bit, it does that shift, which is cool. I like that aspect of it. I think that's really neat.
[01:57:56.000 --> 01:58:10.000]  But being able to see that that is inhabited, and then when it exits there, losing the context of it right away is not a great experience. Whereas on the iPad, you keep the context, okay, where am I headed now?
[01:58:10.000 --> 01:58:34.000]  Yeah, and it would make it so much easier. And Apple's own apps are structured in a way that's a more rectilinear grid that I think is meant for the remote. Whereas third-party apps, including Netflix, you know, Netflix's app is supposed to look like Netflix and even HBO Go and Hulu in particular is sort of weird.
[01:58:34.000 --> 01:58:48.000]  Where you don't know what's going to happen if you just go up, right? Because you're not really going up to a thing that is directly above the currently selected thing. You're kind of like, it's like up and over. And you're like, I think if I just go up, it'll change to that.
[01:58:48.000 --> 01:59:09.000]  Whereas if you had a little cursor on screen like the iPad, there'd be no ambiguity about it at all. You know? I don't know. This is such a nicer solution. And maybe, you know, tvOS, maybe it's good that it went too far without having a pointer at all and only a selected state that you moved around.
[01:59:09.000 --> 01:59:23.000]  But I feel like, boy, this feels just right. This is the middle bowl and the Goldilocks, you know, bowls of porridge. Man, this one is just right. And I would really like to see that get to tvOS.
[01:59:23.000 --> 01:59:49.000]  I don't have a lot to say about the actual iPad Pro hardware. I honestly even less than the MacBook Air. It really is. I almost wish I'd used this in my review. And again, this is not a complaint because I like the idea that they would do a mid-cycle update like this, a spec bump in between major updates rather than let it go two and a half or three years or something between updates at all.
[01:59:49.000 --> 01:59:59.000]  So I'm glad they did it, but it's not a major new update. It's sort of like a Rev B of the 2018 iPad Pros.
[01:59:59.000 --> 02:00:25.000]  Yeah, I think that's a fair way to position it. Yeah, you know, it's hardly faster, no faster at all CPU wise. The graphics card, you and I were talking about this while we were writing our reviews where they're like, it's 80 percent faster than the A10 powered iPad Pro from, you know, a couple of years ago. And then it just says it's also faster than the 2018 iPad Pros. They don't tell you how much. It's just faster.
[02:00:25.000 --> 02:00:42.000]  Yeah, exactly. You know, it's faster for sure, for sure. Trust us. I mean, you know, it obviously is. We ran the benchmarks in the comparative benchmarks show us that it has made forward progress, but certainly you understand why they didn't crow about it or make a big deal because it's just a little bit faster.
[02:00:42.000 --> 02:01:04.000]  Yeah, right. But you also understand why they shipped it without going to the A13 or waiting for the A14 because it didn't need to be faster. The 2018 iPad Pros were almost ridiculously fast, like hard to believe how fast they were. And they're still plenty fast enough. And so really all this has better camera system. I'm going to write about it.
[02:01:04.000 --> 02:01:33.760]  It does remind me. It does remind me of, you know, when they introduce a new like Bugatti, right? They're like, Oh, hey, the Veyron, right? Fastest production car in the universe. And you're like, Oh, okay, cool. That's awesome. Oh, yeah, it gets like 220 mile an hour top speed. You know, that's really cool. A, I'm never gonna buy one anyway, but that's really awesome and whatever. And then they introduced the next like the Chiron, the fastest, most powerful, you know, zero to 60 in six point or 3.2 seconds, which is
[02:01:33.760 --> 02:02:03.520]  point one seconds faster than the Bugatti Veyron. You're like, Okay, sure. You know, it already will peel like you could burn a pair of tires out in in one run up to 200 miles an hour. Like you have to replace your tires after that run. But now it's slightly faster. You're like, Well, okay, I was already replacing tires every time I took off, right? And I think that that's kind of what the iPad Pro is already. I've never once gone, man, I wish this was more powerful. And so
[02:02:03.520 --> 02:02:30.880]  at this point, it doesn't really need to be until they do something first party where they're like, Hey, we need the horsepower, which apparently does not exist yet. So the the LiDAR sensor is obviously new is the first device Apple has made with a LiDAR sensor. It is a huge difference for AR. Really, your your review captures it perfectly. You know more about AR than anybody I know. But it really that that whole startup and wave your device around while the device sort of
[02:02:30.880 --> 02:03:00.800]  figures out what shape room or where what the heck is going on around you, all gone. You just start the AR experience, the LiDAR sensor kicks in. And it's like, Okay, there's a table in front of me. You know, really, really, really great. But how much are we using AR right now? It just all still feels like prep for a future when when they're yeah, when AR is it's like future proofing these these devices, as opposed to AR.
[02:03:00.880 --> 02:03:30.000]  Really changing your day to day life. And I don't mean to put that down. I think AR kit is amazing. I think that it is fascinating to watch. It's one of those things that is improving at a very noticeable clip year after year, right? Like, you know, what one WWDC after another AR kit is like, Whoa, that is that's a big difference from the year before that it's a big team with
[02:03:30.880 --> 02:04:00.800]  good leadership with Mike Mike Rockwell. And they're doing really interesting stuff. But you cannot help but feel that really, really, really just feel in your gut that this isn't really about doing AR on these devices. This is about laying the groundwork. So that when an AR first device ships some kind of goggles or Pfizer or something, there's this huge grounds, you know, just huge existing developer base of Oh, I know how to do that. I've been using
[02:04:00.800 --> 02:04:30.280]  AR kit. I've been using these API's for years. You kind of can't help but feel that. Right, the actual cameras are better. I can't believe I didn't think to do this for my review. But the great, great third party camera app halide has a feature where they give you a technical camera readout. And I didn't think to do it till after I wrote my review. But looking at the specs, you can think Oh, maybe this is exactly like the iPhone 11.
[02:04:30.280 --> 02:04:59.920]  Non pro camera system because it has two cameras, a wide and an ultra wide. But if you look at the actual technical readout, it they're completely different paths. They this is completely different camera hardware. Even the focal lengths are slightly different. You know, the on the iPhone 11, the regular lens is 26 millimeters on the iPhone or the iPad Pro, it's 28 millimeters, which is very slight, but it is different. Different maximum ISOs, etc, etc.
[02:04:59.920 --> 02:05:21.920]  So it's not identical camera. And I think that kind that's one of the factors that plays into why it doesn't do portrait mode. Because it wasn't just copy and paste the code from the iPhone 11 and did, you know, put it in the iPad Pro. And now it has the same rear facing portrait mode because it's different camera lenses. And because instead of the A 13, it's got the A 12 z.
[02:05:21.920 --> 02:05:51.900]  I, I think you and I both know that it was simply they just ran out of time to get it done for 13.4. It may or may not, maybe an iOS or iPad OS 14. Maybe these actual iPads shipping right now will gain portrait mode, maybe they never will get it. But it was just, you know, it in theory, they could have it, but they don't. And I kind of see why it's different.
[02:05:51.920 --> 02:05:55.820]  I mean, I don't know why priority wise, that that wasn't the top priority for getting it out right now.
[02:05:55.820 --> 02:06:25.700]  Yeah, I mean, the iPhone's always gonna be a top priority. So if they didn't ship it, it is most likely because they're working on the next iPhone or they, you know, working on the last iPhone and this, this shipping sort of mid cycle was not a top priority to get portrait mode working with a new completely new sensor. You know, if the iPhone 12 knee, whatever, you know, has a LIDAR sensor in it, you can bet your bones that they will be the portrait mode will still ship on that, you know,
[02:06:26.300 --> 02:06:30.980]  but they're, they're not, I don't believe that it was top priority to get it on this iPad for this release.
[02:06:30.980 --> 02:06:58.180]  So basically, when we got to review these iPad pros, and the thing that we really wanted to review, we don't get to review, which is the Magic Keyboard. And I'm not surprised that we didn't get it. And, you know, you never know with Apple, and like I wrote my review, there is one notable exception I can think of, which was the original AirPods, which didn't ship, you know, they announced them in September when they did the iPhones. And they didn't ship until December.
[02:06:58.180 --> 02:07:23.180]  And if you remember those original AirPods, it was like really dicey to get them for Christmas, even if you were like constantly reloading to be like one of the first order it was that it was really down to the wire. They gave us reviewers, we reviewers, quote unquote, prototype AirPods to review in in late September, and we, you know, keep them until December when the other one shipped.
[02:07:23.180 --> 02:07:52.180]  And in my personal experience, they were physically and in actual use, identical to the ones that actually shipped, but they were deemed prototypes. And they, they really wanted them back the very day that the non prototype one shipped. And I duly sent them back. Other than AirPods, I can't remember Apple supplying me as a reviewer with anything more than about 10 days in advance of it shipping and usually about a week, you know, like,
[02:07:52.180 --> 02:08:13.180]  you know, our reviews for the new iPad Pro dropped yesterday. People started getting their their iPad Pros that they pre ordered right away yesterday. You know, that's, that's typically how it works. So I would not expect I have no idea. I did ask I was like, Am I going to get that we're going to get the magic keyboard? And they were like, No, not yet.
[02:08:13.180 --> 02:08:37.180]  I didn't even bother asking when, but I would expect that, you know, whenever they do decide, okay, we can ship this starting on we can start taking pre orders on May 21. And we'll ship it on May 28, or something like that, that those who get review units will get them like, you know, May 21, the day they start taking orders or something like that, maybe a week before it actually ships.
[02:08:37.180 --> 02:08:44.180]  I think that's safe. I can't wait for that thing. I, I just want to play with the hinge so bad.
[02:08:44.180 --> 02:09:07.180]  I am intrigued. I am definitely intrigued by just every dimension of that, like, you know, hinge tension, stability, you know, adjustment options. There is the the feel of the keyboard itself. Yeah, all of it.
[02:09:07.180 --> 02:09:23.180]  There and their video, their videos make it seem like you can disconnect it from the magnets with one hand, you know that you don't need to hold it down. Now, maybe that I don't know, you know, that'll be interesting to see. And if it does take two hands on, you know, that's not a deal breaker.
[02:09:23.180 --> 02:09:36.180]  I can't wait for I don't have anything to say, though, because I haven't used it. And so anybody listening to this knows every every bit as much about the magic keyboard as I do, and you do, there's there's not much else there.
[02:09:36.180 --> 02:10:00.180]  So what it what would be an interesting thing because obviously people are getting these new iPads now if they order one, you know, there seem to be shipping. They haven't sold out as far as I've seen. I am interested to see a teardown, as normally happens somebody like iFixit or another person out there will do a teardown of these iPads or new new hardware all the time.
[02:10:00.180 --> 02:10:10.180]  And if iFixit does a teardown, I'm interested to see if the magnet placement has changed between the iPad, the 2018 iPad and the 2020 iPad Pros.
[02:10:10.180 --> 02:10:34.180]  You know, that obviously they introduced the new kind of magnet array in the back, these antipodal magnets that you kind of apply oppositional force to keep things to align and keep things attached to the iPad, including the pencil, which has an interesting kind of set of dipole magnets in it to make sure it snaps exactly to perfect alignment so that it can charge when you throw it to the top of the iPad.
[02:10:34.180 --> 02:10:40.180]  And then, of course, the magic keyboard, the current one that we're using, the smart keyboard, I think they call it.
[02:10:41.180 --> 02:10:44.180]  And I call it the dumb keyboard.
[02:10:45.180 --> 02:11:00.180]  Right. The dumb keyboard. Although, you know, I don't know, I have I actually have a it's certainly not my favorite type of experience of all time, but I've gained a fondness for its durability and reliability over the past couple of years because I've spilled all kinds of crap on it.
[02:11:00.180 --> 02:11:18.180]  Like, you know, planes and cocktails and whatever else. And it's held up pretty well. But that said, like that back alignment happens automatically because of those magnets that are buried behind the back plane of that of the iPad in it. And it holds very nicely. Like I've never had a disconnect when I don't want it to.
[02:11:18.180 --> 02:11:31.180]  And there are actually magnets in the in the keyboard itself to help keep it into the grooves. You know, when you put it at the different angles, there's all kinds of magnets all over and keep it close.
[02:11:32.180 --> 02:11:44.180]  Yeah, exactly. And I think it would be really interesting to see what would happen or what will happen or if anything with the placement of magnets to support the magic keyboard.
[02:11:44.180 --> 02:12:02.180]  I'm curious if they had to swizzle them where they still work with the existing smart keyboard, but the magic keyboard requires additional magnets, say on the right side of a vertical or top half of a horizontal iPad in order to support it better.
[02:12:02.180 --> 02:12:14.180]  I don't know. It's curious. You know, it'd be interesting one or whether they basically said, hey, this is the array of magnets we have to use rather than change those. Let's make sure the magic keyboard can accomplish what it needs to accomplish utilizing those existing magnets.
[02:12:14.180 --> 02:12:33.180]  I enjoyed your review tremendously. I'll link to it, I promise, in the show notes. But one of the things you mentioned is that since November 2018, you've, for traveling, and you've traveled a lot in the last year and a half, your iPad is your portable computer.
[02:12:33.180 --> 02:12:48.180]  And I think it's a great story. I don't want to rehash it here. But there's the thing you mentioned is you can just take it out. It's on. You don't have to wait for all sorts of like alerts and messages and stuff to catch up.
[02:12:48.180 --> 02:13:02.180]  You just take it out, turn it on. You're on the Internet. You can do a thing, close it back up, put it away. My example, I mentioned this to you. I love having an iPad for like when you board an airplane and you're in your seat and I'm usually on my phone.
[02:13:02.180 --> 02:13:13.180]  And I'll notice something like my example was like somebody, you know, maybe I'll have posted something just before I boarded to Daring Fireball. And I get on my plane and somebody tweets me that I have a mistake or a typo.
[02:13:13.180 --> 02:13:26.180]  I can quick take out an iPad, get on cellular networking, fix the typo, close it, all in the time that it would have taken to get a Mac out and get it tethered to the phone.
[02:13:26.180 --> 02:13:33.180]  And by the time I would have even had a network connection, my iPad's already back in my backpack underneath the seat in front of me.
[02:13:33.180 --> 02:13:46.180]  And for travel, like part of traveling with a portable computer is like that sort of not a sustained work session, but the sort of dipping in and out. And man, that burst of activity.
[02:13:46.180 --> 02:13:52.180]  Yeah, here's my question for you. Maybe you answered it and I missed it. I forgot it. But what size iPad are you traveling with?
[02:13:52.180 --> 02:14:01.180]  So I'm traveling with the 12.9 and I have actually never even used the 11. So I've never even touched one.
[02:14:01.180 --> 02:14:13.180]  It is something I want to rectify. I actually want to buy one or borrow one to play with in the new year because I do feel that I need to understand whether or not that works for me and why it does or why it doesn't.
[02:14:13.180 --> 02:14:25.180]  The 12.9 I've had a wonderful experience with because I can essentially have two, I don't know what you'd call it, like they're not full size pages, but they feel full size pages side by side.
[02:14:25.180 --> 02:14:34.180]  And that view of let's say my two different back channels, like we have two different back channel communication tools.
[02:14:34.180 --> 02:14:44.180]  And so those two, I basically the way I arrange my spaces on my iPad, which I should probably write up some stuff on this, I got a few requests, like how do you work on the iPad? Like what is your process?
[02:14:44.180 --> 02:14:50.180]  And one of the ways that I arrange my spaces, my workspaces is that I put public and private spaces separately.
[02:14:50.180 --> 02:15:07.180]  So for instance, our iMessage and Slack or combo and Slack or our back channel tools, those will be paired together. And then public spaces, like let's say Twitter and email, you know, email is not quite public, but it straddles the line, right?
[02:15:07.180 --> 02:15:14.180]  Those will be separate. So it's like, hey, if you're in this space, the things that you're saying are private, ostensibly.
[02:15:14.180 --> 02:15:26.180]  And in this space, the things that you're saying are public. And for me, that helps me to divide my work life out, you know, as I'm flowing so that I know, hey, if I'm saying things here, they're being broadcast.
[02:15:26.180 --> 02:15:36.180]  And if I'm saying things here, they're being narrowcast. And if I'm saying things here, they're being said only to me, like a notepad and a word processor, for instance, right?
[02:15:36.180 --> 02:15:46.180]  And that's the way I kind of flow through those things. So my question really is for myself, do those same workspaces work on an 11?
[02:15:46.180 --> 02:15:55.180]  Are they viable? Or is it more of a slide over situation where I need one workspace up and the other workspace over the edge, you know, that kind of thing.
[02:15:55.180 --> 02:15:59.180]  So that's what I need to kind of suss out, whether the 11 works for that or not.
[02:15:59.180 --> 02:16:14.180]  Yeah, and it's a choice we don't really have on the Mac side of things, especially, you know, the closest we had was the, and I've gotten a bunch of emails from people who, like me, were fans of the old 11 inch MacBook Air back in the day.
[02:16:14.180 --> 02:16:22.180]  Now that the 12 inch just plain no adjective MacBook is gone, the 13 inch MacBook Air is the smallest MacBook Apple makes right now.
[02:16:22.180 --> 02:16:31.180]  And seemingly for the, you know, near term future. I'm never going to say never. You never want to bet against Apple making things smaller and lighter.
[02:16:31.180 --> 02:16:42.180]  But with, you know, the 12.9 inch, I mean, look, it's 12.9. I mean, they could call it 13. It's actually closer to 13 inches than the MacBook Air, which is 13.3, right?
[02:16:42.180 --> 02:16:52.180]  The MacBook Air is three tenths of an inch bigger than 13. The iPad is one tenth of an inch away from being 13.
[02:16:52.180 --> 02:17:10.180]  You know, it's marketing that they're calling it 12.9 instead of 13. But, you know, pound for pound, size for size, the 12.9 inch iPad Pro with a portable keyboard of some sort is very, very, very physically comparable to a MacBook Air.
[02:17:10.180 --> 02:17:31.180]  You know, roughly the same weight, roughly the same size. The 11 inch iPad Pro, or if you just want to carry around, you know, the iPad Air or the regular iPad, you know, which has a new interesting new keyboard from Logitech with a trackpad, you know, underneath that Apple worked with them in conjunction with.
[02:17:31.180 --> 02:17:41.180]  Those devices give you a portable option for a laptop ish thing that is way lighter and smaller than anything else.
[02:17:41.180 --> 02:17:50.180]  You know, and again, you know, like you delineated very well, there's certainly downsides to having the smaller screen in terms of what you can show side by side and stuff like that.
[02:17:50.180 --> 02:18:06.180]  But it's all other aspects of Mac versus iPad OS software wise with the apps and the interface and stuff like that, just in terms of the thing you carry around, it is an option that you just don't get on the Mac side of things.
[02:18:06.180 --> 02:18:20.180]  Yes, correct. Yeah. And I mean, it makes me miss the Mac, the 12 inch MacBook. But, you know, I do, which was one of my favorite computers ever. You know, I just I love that thing, despite the keyboard.
[02:18:20.180 --> 02:18:25.180]  But it's a shame. It's a shame it didn't live long enough to get the scissors, the scissor key.
[02:18:25.180 --> 02:18:37.180]  Yeah, and I think you and I were in this have got the same information from the same people. But the gist behind that Macbook existing was like, I don't know, we just wanted to try it.
[02:18:37.180 --> 02:18:45.180]  Yeah, like we just we just wanted to see if it would work. And it did. And that was cool. But it wasn't really one we felt like we needed to keep doing in perpetuity.
[02:18:45.180 --> 02:18:57.180]  And that in the future, they may make similar gambles with the Mac. I think the near term future of the Mac is pretty sketched out. You know, we're going to get a replacement for the 13 inch with the new keyboard. We know that's coming.
[02:18:57.180 --> 02:19:07.180]  Obviously, the 16 was just introduced, the air has been refreshed. We know what the near term future of the Mac lineup looks like. But I do hope that they continue to experiment.
[02:19:07.180 --> 02:19:23.180]  You know that they do continue to do things like, hey, let's do a 12 inch MacBook with, you know, specs that are good enough, but that it's super light for those people that want that. And you know that there are obviously historical lines to draw between that and other 12 inch, you know, models that they released in the past.
[02:19:23.180 --> 02:19:45.180]  But that was back when screens only only came into. So, you know, I think there's there's room for experimentation there. But the 11 inch to me, the 11 inch iPad Pro, I've been so impressed with the 12.9 that it's incredibly intriguing to me if my workflows are if I'm able to pull off my workflows on that.
