[00:00.000 --> 00:03.000]  Where do we even start, Ben?
[01:59:28.000 --> 01:59:31.000]  The problem is the market is just so huge.
[01:59:31.000 --> 01:59:36.000]  Like you need and we've talked with Apple think like you need to not think about things in relative terms.
[01:59:36.000 --> 01:59:39.000]  Apple has X percent of the market. You need to look at absolute numbers.
[01:59:39.000 --> 01:59:42.000]  Apple has hundreds of millions of customers, right?
[01:59:42.000 --> 01:59:54.000]  It doesn't matter if they have 10 percent of the market or 15 percent of the market, if 10 percent of the market is hundreds of millions of people, because hundreds of millions of people is plenty to support developers and keep them on board, all that sort of stuff.
[01:59:54.000 --> 02:00:02.000]  And this is the fundamental thing people like Henry Blodgett get wrong consistently about about their thesis about why the iPhone is doomed.
[02:00:02.000 --> 02:00:12.000]  I think this is the case with this is my thing about consoles is that as long as they're dedicated, there's so many people, even in a percentage basis is small.
[02:00:12.000 --> 02:00:14.000]  There's so many people that play these games.
[02:00:14.000 --> 02:00:19.000]  It will remain a space where you can build a nice business and have a nice business.
[02:00:19.000 --> 02:00:21.000]  The problem is you're just not going to grow.
[02:00:21.000 --> 02:00:34.000]  And and I think I repeat myself a bit now, but I think I'm super excited about the Apple TV in particular, mainly because it's it could go in so many directions.
[02:00:34.000 --> 02:00:37.000]  I'll keep you focused till we till we land the ship.
[02:00:37.000 --> 02:00:40.000]  Let me do one last sponsor and it will wrap up the show.
[02:00:40.000 --> 02:00:42.000]  But it's our good friends at Igloo.
[02:00:42.000 --> 02:00:43.000]  Now, you guys know Igloo.
[02:00:43.000 --> 02:00:47.000]  They're the intranet that you will actually like.
[02:00:47.000 --> 02:01:00.000]  You can share news, organize files, coordinate calendars, manage projects, anything you'd want to do with a team, with a company you can do on the Igloo platform.
[02:01:00.000 --> 02:01:08.000]  Their latest upgrade, they call it Viking, revolves around documents and how you interact with them, gather feedback and make changes.
[02:01:08.000 --> 02:01:14.000]  They've even added the ability to track who has read critical information to keep everyone on the same page.
[02:01:14.000 --> 02:01:19.000]  So if you're in a type of organization where sometimes there's a document that everybody,
[02:01:19.000 --> 02:01:27.000]  somebody absolutely needs to see and sign off on and get approval, you can do that and get proof of it, like more or less like a red receipt for an iMessage or an email.
[02:01:27.000 --> 02:01:30.000]  You can get that for a document now in Igloo.
[02:01:30.000 --> 02:01:34.000]  Very important for some some some organizations.
[02:01:34.000 --> 02:01:42.000]  If you've been holding off on Igloo for that now, they've got it just like red receipts for email, really, but less annoying because they have a good interface for it.
[02:01:42.000 --> 02:01:53.000]  If your company has a legacy Internet that looks like it was built in the 90s and it probably was built in the 90s, you should give Igloo a try.
[02:01:53.000 --> 02:01:58.000]  They've got all this, all sorts of other cool stuff like Twitter, like micro blogs.
[02:01:58.000 --> 02:02:02.000]  Imagine having a private Twitter like service just for your team.
[02:02:02.000 --> 02:02:08.000]  Totally private. Their stuff, their service, everything works on any kind of device.
[02:02:08.000 --> 02:02:15.000]  It's all web based so you can use it on big desktop machine, works great on phones, tablets, anything like that.
[02:02:15.000 --> 02:02:21.000]  And really customizable, free to use for up to 10 people.
[02:02:21.000 --> 02:02:27.000]  So you can try it out, find out everything you want to know about it before you start paying for more than 10 people to use it.
[02:02:27.000 --> 02:02:34.000]  And you can sign up at here's the website Igloo Software dot com slash TTS.
[02:02:34.000 --> 02:02:40.000]  The initials for the show, the talk show Igloo Software dot com slash TTS.
[02:02:40.000 --> 02:02:47.000]  Sign up there, you get the free trial, use that URL with slash TTS and they'll know you came from the show.
[02:02:47.000 --> 02:02:56.000]  Really great, give it a try. It's worth going to the website if you've never done it just to check out the sandwich videos that they have to promote the site.
[02:02:56.000 --> 02:03:00.000]  They're really funny from our good friend Adam Lisa Gore's company.
[02:03:00.000 --> 02:03:06.000]  So go there just to watch the sandwich videos if you haven't done it but sign up if you have any kind of need for an internet for your team.
[02:03:06.000 --> 02:03:12.000]  Really great stuff and I thank Igloo for their continued support of Daring Fireball.
[02:03:12.000 --> 02:03:15.000]  What else do you want to talk about, Ben?
[02:03:15.000 --> 02:03:17.000]  You want to talk about basketball?
[02:03:17.000 --> 02:03:19.000]  Or should we talk about, maybe we should...
[02:03:19.000 --> 02:03:21.000]  Hey, Wisconsin, man. Final four.
[02:03:21.000 --> 02:03:24.000]  I'm rooting for him. That's my team in the final four.
[02:03:24.000 --> 02:03:27.000]  But that's not, we better not get into that. We've got real stuff to talk about.
[02:03:27.000 --> 02:03:30.000]  What about, do you want to do Meerkat and Periscope?
[02:03:30.000 --> 02:03:37.000]  Sure. I told my members that I was going to be writing about it like three weeks ago and I still haven't written.
[02:03:37.000 --> 02:03:43.000]  I wrote a couple of pieces about, basically I said that Meerkat is almost certainly doomed.
[02:03:43.000 --> 02:03:49.000]  Would you call this the coincidental rise of the two, another one of those things like you mentioned before.
[02:03:49.000 --> 02:04:01.000]  Just in the history of science, going all the way back to Newton and Leibniz with calculus being developed pretty much simultaneously, separately by the two geniuses.
[02:04:01.000 --> 02:04:06.000]  Is this another one of those things where Meerkat and Periscope more or less arrived at the same time?
[02:04:06.000 --> 02:04:11.000]  It's just like everything was in the right, everything got to the right place at the right time?
[02:04:11.000 --> 02:04:19.000]  No, absolutely. The idea of live streaming is in a new one and there are services that are out there that have had some success.
[02:04:19.000 --> 02:04:22.000]  Like YouNow I think is a lot bigger than people realize.
[02:04:22.000 --> 02:04:29.000]  But having the connectivity everywhere, having LTE everywhere, it gets really dodgy on 3G.
[02:04:29.000 --> 02:04:37.000]  So you need LTE, you need the quality cameras, you need the app store, you need the Twitter graph.
[02:04:37.000 --> 02:04:51.000]  You also need data packages with sufficient gigabytes per month that people feel comfortable consuming and sharing streaming video content like this.
[02:04:51.000 --> 02:05:03.000]  It's part of your LTE but LTE in itself isn't enough if it's not affordable enough that people feel like they can just sit there and watch people making these videos.
[02:05:03.000 --> 02:05:15.000]  Right, exactly. I think it's a great example of the time was right for this product to emerge and it just so happened to emerge within two weeks of each other.
[02:05:15.000 --> 02:05:21.000]  I described it as a science fiction scenario and there was some pushback from people like that.
[02:05:21.000 --> 02:05:26.000]  They're like, oh come on, live streaming isn't new. It's not new so what is science fiction about this?
[02:05:26.000 --> 02:05:35.000]  To me the part that science fiction is the universality, the way that anybody can do it.
[02:05:35.000 --> 02:05:41.000]  It's all free. You don't have to pay for anything other than what you've already paid for which is your iPhone and your data plan.
[02:05:41.000 --> 02:05:56.000]  To me it's the size. It's this 4.5 inch device that is doing this. The sort of equipment that was needed to do just video much less.
[02:05:56.000 --> 02:06:05.000]  You could live stream 20 years ago. You needed a big ass camera. You needed a microwave connection. You needed a van with a massive satellite dish on top of it.
[02:06:05.000 --> 02:06:10.000]  You're doing exactly that with a piece of glass in your hand.
[02:06:10.000 --> 02:06:22.000]  I think the thing that is the most science fictiony in terms of if you went back 20 years and described periscoping to somebody 20 years ago or let alone longer.
[02:06:22.000 --> 02:06:38.000]  But the most amazing aspect of it to me is that the device for producing and the device for consuming and the app, it's the same app and device for being a producer as a consumer.
[02:06:38.000 --> 02:06:46.000]  You use your iPhone with Periscope or Meerkat to create a stream or to consume it.
[02:06:46.000 --> 02:06:52.000]  That to me is the magic. It's so easy to overlook because it seems so obvious once you see it in action.
[02:06:52.000 --> 02:07:02.000]  But that's revolutionary. Your TV set is not a TV studio. It is anything but. It's just unrelated.
[02:07:02.000 --> 02:07:10.000]  Right. Because this gives much more of the sense of it being like a portal. Right. It's like you're in one side and out the other.
[02:07:10.000 --> 02:07:17.000]  Whereas previous last year it's unidirectional. Like it's coming from the studio to your TV.
[02:07:17.000 --> 02:07:26.000]  There wasn't the sense. Even if a Meerkat or scope is one way, the container is such that it's a bidirectional relationship.
[02:07:26.000 --> 02:07:43.000]  It is crazy to me. I think it's so exciting and funny that it's the same device for somebody, you know, like somebody with 10,000 followers, you know, 10, 20, 30,000 followers who gets hundreds and hundreds, maybe a thousand people watching their streams.
[02:07:43.000 --> 02:07:50.000]  They're using an iPhone with Periscope to send that. And all the people watching it are using an iPhone with Periscope to watch it.
[02:07:50.000 --> 02:07:58.000]  It's exact same device and the exact same app. Yeah. I mean, it's like I haven't like I'm with you.
[02:07:58.000 --> 02:08:05.000]  I mean, the first. So I really I was at the Apple the watch event.
[02:08:05.000 --> 02:08:13.000]  The second one that you missed. And I. Yeah. And I started and that's when I really started using it was I was using it in line, saying outside, like before the event started.
[02:08:13.000 --> 02:08:21.000]  I saw you. I saw you on the stream. I saw you standing up. You had a seat. I think you're in the third row. And I saw you standing up on your phone.
[02:08:21.000 --> 02:08:26.000]  And I texted you. I was like, you're on the stream and you're on your phone and you're like a Meerkat.
[02:08:26.000 --> 02:08:36.000]  Yeah. It was like it was mind blowing. Like you look up there and you see you had like three hundred and fifty people, you know, like watching you like there are three hundred people like all over the world.
[02:08:36.000 --> 02:08:45.000]  I mean, you are you write a website, right? It's already amazing. You can look at your analytics and you see like someone logging on from like Brazil or Russia or wherever it may be.
[02:08:45.000 --> 02:09:00.000]  And like that's already mind blowing enough. But the immediacy of knowing like someone is sitting somewhere six thousand miles away from me and they are seeing exactly what I'm seeing because I am holding up this device.
[02:09:00.000 --> 02:09:08.000]  Like it's it's an incredible it's an incredible experience. The truth is, though, I'm with you. I think Meerkat is fucked.
[02:09:08.000 --> 02:09:15.000]  And I think it was obvious. I think it was obvious even before Periscope came out just from and I'm not an expert on social media.
[02:09:15.000 --> 02:09:20.000]  I you know, I mean, I'm a nerd and I follow this stuff, but I thought it and I but Meerkat caught my attention.
[02:09:20.000 --> 02:09:28.000]  I was like, oh, this is something. And I see this. But then Twitter immediately got word out that they had purchased because here to before Meerkat came out.
[02:09:28.000 --> 02:09:35.000]  The fact that Twitter had bought Periscope was not public knowledge. Right. They bought Periscope.
[02:09:35.000 --> 02:09:42.000]  And I don't know if it's on the record or if it's just rumored, but for one hundred million dollars, which if it's true, I think was rivals.
[02:09:42.000 --> 02:09:51.000]  I think it's going to end up rivaling Facebook's purchase of Instagram for one billion dollars as one of the great acquisitions of this decade.
[02:09:51.000 --> 02:10:04.000]  I really do. I think I think if they got Periscope for one hundred million, that's going to go down as a great acquisition and exhibit A in the case that Dick Costello is actually a pretty good CEO.
[02:10:04.000 --> 02:10:21.000]  I think I agree. The reason the reason why Meerkat is screwed is because what is so like what what the thing about Twitter is Twitter is so many things to so many different people in so many different scenarios.
[02:10:21.000 --> 02:10:26.000]  Right. Like that's what makes it so great. That's what makes it so hard to use for a new user in particular.
[02:10:26.000 --> 02:10:35.000]  But for sure, one of the core values of Twitter is real time. Right. When something happens, you go to Twitter, you can search, you can get the reaction.
[02:10:35.000 --> 02:10:40.000]  We talked about it just a second ago with watching a game and how annoying it is when Twitter is like five seconds ahead.
[02:10:40.000 --> 02:10:45.000]  That's how real time it is like. Twitter is faster than my stream of the game. And it's frustrating.
[02:10:45.000 --> 02:11:04.000]  And so both Meerkat and Twitter are and the reason why Meerkat was a threat to Twitter and why it's a good thing they had acquired Periscope was that it was unbundling one of the core features of Twitter, because real time in text is one thing.
[02:11:04.000 --> 02:11:10.000]  But real time in video is is another thing entirely in a dramatically more powerful way.
[02:11:10.000 --> 02:11:18.000]  So you have someone tweeting about like a fire going on or the plane crash, like I was tweeting when the plane crash happened in Taiwan a few weeks ago.
[02:11:18.000 --> 02:11:22.000]  Or the gas explosion in New York last week.
[02:11:22.000 --> 02:11:31.000]  Right. Yeah, no, exactly. Which happened to be like the day Periscope came out. So, so, so helpful.
[02:11:31.000 --> 02:11:37.000]  That that is like that has to be Twitter because Twitter has Twitter has to has to own that.
[02:11:37.000 --> 02:11:44.000]  Yeah. And that's why Meerkat is screwed because because they're they're so fundamentally tied to what Twitter is like.
[02:11:44.000 --> 02:11:57.000]  Twitter already owns the real time space, which means all the people that you want to find or follow in real time are already on Twitter, which means you have to have access to the Twitter graph to to and and they now don't.
[02:11:57.000 --> 02:12:13.000]  So for anybody and I know Periscope and there's it just seems like the writing's already on. We don't even need to now analyze it because Meerkat has really dropped precipitously in the App Store rankings and Periscope is at the top and Apple is promoting it heavily.
[02:12:13.000 --> 02:12:28.000]  And I think you can't beat the first party integration with Twitter, right? No matter even if Meerkat had been allowed to keep the the access to the social graph that they had and that Twitter pulled a couple weeks ago.
[02:12:28.000 --> 02:12:37.000]  Even if they kept that that wouldn't help them because it's not being a third party thing built on top of Twitter is never going to be as integrated as a first party thing within Twitter.
[02:12:37.000 --> 02:12:44.000]  Second of all, the technology is clearly better on Periscope side. Just technologically it is much closer to live.
[02:12:44.000 --> 02:12:50.000]  And for anybody out there who hasn't used either of these apps, the basic gist, you should get Periscope.
[02:12:50.000 --> 02:12:55.000]  In my opinion, I think you could probably skip Meerkat at this point, but get Periscope, get your username.
[02:12:55.000 --> 02:13:01.000]  I think it's really interesting. I'm about to. I've still got notifications on. I'm probably going to turn that off soon because it's starting to.
[02:13:01.000 --> 02:13:07.000]  They just announced they did a post yesterday saying that, oops, sorry, we overdo it, which in this annoys me.
[02:13:07.000 --> 02:13:14.000]  Like you could tell from Meerkat the way notifications needed to be and they still shipped it wrong.
[02:13:14.000 --> 02:13:18.000]  That worries me. But like, yeah, because the problem is notifications are essential, though.
[02:13:18.000 --> 02:13:23.000]  Yes, like that's how you like following it on Twitter. You're always late.
[02:13:23.000 --> 02:13:26.000]  You have to get the notification and that's how you catch the live stream.
[02:13:26.000 --> 02:13:32.000]  Yeah, obviously Periscope has has it keeps the streams around for a period of time.
[02:13:32.000 --> 02:13:37.000]  But if you want to be the live, you want to turn it off at the same time, the way it's implemented now, it's overwhelming.
[02:13:37.000 --> 02:13:42.000]  I'm going to I'm going to start periscoping me talking to you right now. It'll be very metal.
[02:13:42.000 --> 02:13:47.000]  That'd be great. That would be great.
[02:13:47.000 --> 02:13:52.000]  I've thought about people keep asking me, am I going to start Periscoping while I broadcast the show?
[02:13:52.000 --> 02:13:56.000]  I don't think so, because I don't see how I could get the audio from both sides through.
[02:13:56.000 --> 02:14:03.000]  And also, I don't know. I don't know that I want to be on camera, but I maybe do it briefly.
[02:14:03.000 --> 02:14:08.000]  I'm talking about problems. I'm like wearing like whatever I was.
[02:14:08.000 --> 02:14:12.000]  I was actually temporarily like number four or number five on the Meerkat leaderboard.
[02:14:12.000 --> 02:14:14.000]  I saw that.
[02:14:14.000 --> 02:14:23.000]  But but then I saw while talking about Periscope on the talk show with Gruber.
[02:14:23.000 --> 02:14:27.000]  So meta. And I'm going to post it to Twitter.
[02:14:27.000 --> 02:14:29.000]  If you haven't used it, starting the broadcast.
[02:14:29.000 --> 02:14:39.000]  The gist of it is, is that you you know, you get a one way, the producers video is there and you hear them, you see them, you see either see them or you see what they're seeing if they have the camera pointed around the other way.
[02:14:39.000 --> 02:14:47.000]  Here it goes. Twenty twenty twenty six people, twenty eight people, twenty nine people, thirty two people and they can come by people and then you can see their comments.
[02:14:47.000 --> 02:14:50.000]  Now they can't you know, it's obviously not audio because that would be a mess.
[02:14:50.000 --> 02:15:01.000]  Oh man. The hearts are flowing in. People are people are pleased with our people are pleased with our stream.
[02:15:01.000 --> 02:15:05.000]  That's but the latency on Meerkat was at least 30 seconds on the comments.
[02:15:05.000 --> 02:15:16.000]  In my experience, I'm not as somebody broadcasting, but watching. And it really made for a slightly awkward experience where if the person who was on if it was like a Q&A type thing like, hey, ask me anything about what you you know.
[02:15:16.000 --> 02:15:22.000]  Yeah, I did. I did that. It's yeah, I didn't realize that the lag was so bad. And they're like, oh, no, that's the question.
[02:15:22.000 --> 02:15:26.000]  Right. Walk off. Then like I go on Twitter and there was like five gazillion questions there.
[02:15:26.000 --> 02:15:36.000]  So right. And it's way behind. Whereas Periscope, it seems like it's really minimal. It's seconds behind. And you see a question. And if it's a good question, you see the person who's hosting the video.
[02:15:36.000 --> 02:15:45.000]  We'll test it. We'll test it right now. Can someone type in the comments, type John.
[02:15:45.000 --> 02:15:50.000]  Someone's asking how's. Oh, yeah, everyone. OK, stop, stop. That's enough.
[02:15:50.000 --> 02:15:58.000]  John, John, John, John, John, John, John. People want to know how your eye is. It's, you know, as steady as she goes. I mean, it's not.
[02:15:58.000 --> 02:16:03.000]  This is very awkward when people listen to the podcast is going to be it's going to be totally out of place. Yeah.
[02:16:03.000 --> 02:16:13.000]  I know some people do want to know, you know, it's, you know, according to the doctors, it's as good as could be hoped at this point.
[02:16:13.000 --> 02:16:18.000]  My vision is not good out of the eye, but it's, you know, better than being blind.
[02:16:18.000 --> 02:16:27.000]  Long story short, but it's not I'm not expected. There's no expectation that that my vision will be that it's as good as it will be.
[02:16:27.000 --> 02:16:32.000]  Yet it's, you know, should take months before it settles in.
[02:16:32.000 --> 02:16:39.000]  And I still have the gas. I still have the gas bubble in there. So it's still relatively impossible to judge.
[02:16:39.000 --> 02:16:50.000]  Are you going to be able to go to WDC? Oh, yeah, definitely. Well, I can't say definitely, but it's supposed to be six to 10 weeks for the gas bubble to fully dissolve.
[02:16:50.000 --> 02:16:58.000]  And it was February 24. So four weeks was March 24. So now it's five weeks.
[02:16:58.000 --> 02:17:05.000]  So it should be sometime within the month of April. I don't think I can't book travel. There's no way I would book a flight in April.
[02:17:05.000 --> 02:17:11.000]  I think by May I should be good. And by the end of May, for sure, because that's way past 10 weeks and it's definitely shrinking.
[02:17:11.000 --> 02:17:21.000]  So that's, you know. But I have to I need to go there and they need to look in my eye and verify that the gas bubble is completely gone before I can get on an airplane.
[02:17:21.000 --> 02:17:24.000]  I can't do that. That's a wise that's a wise course of action.
[02:17:24.000 --> 02:17:31.000]  Yeah, although I think that if it was there but truly tiny, like the last day or two, I could do it because, you know, the whole thing is that you go on.
[02:17:31.000 --> 02:17:36.000]  If you if I went on an airplane and the air pressure changed, the gas bubble would greatly increase in size.
[02:17:36.000 --> 02:17:39.000]  But if it was tiny, even if it greatly increased in size, it would make a difference.
[02:17:39.000 --> 02:17:46.000]  The issue is if it's of any reasonable size, it would increase big enough that it would, you know, be.
[02:17:46.000 --> 02:17:54.000]  Did I say this on the show? I read a book about I read like an actual I found like through Google an actual textbook for retinal surgeons.
[02:17:54.000 --> 02:18:00.000]  It was, you know, like a medical textbook that Google had indexed. So I read about this procedure that I had.
[02:18:00.000 --> 02:18:10.000]  And it goes into great detail about this restriction that things you need to do after this is you need to emphasize to your patient that you cannot get on an airplane until you have permission until it's gone.
[02:18:10.000 --> 02:18:15.000]  And it goes into all this detail about how it would be excruciatingly painful if you if you did this.
[02:18:15.000 --> 02:18:18.000]  And it's all this stuff about how much pain you would be in.
[02:18:18.000 --> 02:18:23.000]  And then just one sentence at the end is that it would also likely render them blind permanently.
[02:18:23.000 --> 02:18:27.000]  And I'm like, the pain would be bad. It would be terrible to be in pain for a flight.
[02:18:27.000 --> 02:18:33.000]  But it's it's the permanent blindness that to me is a better selling point on, hey, take this serious.
[02:18:33.000 --> 02:18:38.000]  Right. Exactly. I mean, I I fortunately haven't had it.
[02:18:38.000 --> 02:18:48.000]  I although I was warned last time I saw the doctor, like they told me all the symptoms of a retinal tear because they're because I'm apparently at risk.
[02:18:48.000 --> 02:18:53.000]  So now you have a super paranoid. But I once took a flight where I didn't even know before I got on the flight.
[02:18:53.000 --> 02:19:00.000]  Apparently I had something in my sinuses. Oh, and it was excruciating.
[02:19:00.000 --> 02:19:06.000]  Like I was like I at one point I like the flight attendants, what finally let me lay on the floor in the back of the plane.
[02:19:06.000 --> 02:19:12.000]  Like I was I was it was unbelievable. And then the plane descended. I was totally fine.
[02:19:12.000 --> 02:19:18.000]  Yeah. Oh, man. So I can imagine that being in my eye. It sounds pretty crappy.
[02:19:18.000 --> 02:19:26.000]  So the interesting thing about about Periscope and Meerkat is we are totally side streamed by filming.
[02:19:26.000 --> 02:19:32.000]  Sorry about that. This is a good example to not to not live stream your show.
[02:19:32.000 --> 02:19:41.000]  But I think it really highlights what is what is valuable about Twitter, the company.
[02:19:41.000 --> 02:19:49.000]  And what's interesting is I'm not sure that the most valuable part of Twitter is like the Twitter app, like the actual looking comments and stuff like that.
[02:19:49.000 --> 02:19:59.000]  What's valuable about Twitter, what makes Twitter unique and what makes Twitter potentially super valuable when it comes to advertising is it's the Twitter graph.
[02:19:59.000 --> 02:20:05.000]  And because the Twitter graph is what I'm interested in. Right. Facebook. It's who I know. Google.
[02:20:05.000 --> 02:20:11.000]  It's what I'm searching for. Pinterest is interesting. It's kind of what I aspire to. But Twitter like it. It's what I'm interested in.
[02:20:11.000 --> 02:20:18.000]  The people that I follow, the things I search for, the folks interact with. You can really if you want to if an advertiser wants to understand Ben Thompson,
[02:20:18.000 --> 02:20:25.000]  like he just needs to understand my Twitter account and he will know me better than any other service will know me.
[02:20:25.000 --> 02:20:35.000]  And what's interesting about that is the key then for Twitter is is getting people to have a Twitter account and to kind of build up that profile.
[02:20:35.000 --> 02:20:41.000]  And and they got in. What's funny is like they belatedly have the pieces.
[02:20:41.000 --> 02:20:46.000]  And and so the Twitter app is interesting in a way that helps understand me.
[02:20:46.000 --> 02:20:49.000]  I'm not sure it's the best place to monetize. It monetizes pretty well.
[02:20:49.000 --> 02:20:59.000]  But I think that's where they acquired what's going to be they acquired a company that lets them put put ads in other apps and stuff like that.
[02:20:59.000 --> 02:21:12.000]  Crap. It's escaping me. But I think that that's it's really compelling to imagine a Twitter ad network that is fueled by by knowing what I'm interested in.
[02:21:12.000 --> 02:21:20.000]  And then the ideally you would have lots of apps that the key to Twitter is not Twitter, the app, but it's Twitter, the log in.
[02:21:20.000 --> 02:21:26.000]  And so imagine a world where you had lots of apps that use the Twitter credential, use the Twitter login.
[02:21:26.000 --> 02:21:30.000]  So you could have both Meerkat and Periscope and they would not be a part of Twitter. They'd fight it out.
[02:21:30.000 --> 02:21:41.000]  They would both log in with Twitter and they would necessarily like Twitter, because if that's the graph that matters for a live app and then Twitter can monetize through their ad network.
[02:21:41.000 --> 02:21:55.000]  Like it's this alternative vision for Twitter that they kind of went away from back in the day when they shut off all the third party clients and they decided, no, we're going to own our platform and we're going to be an ad displaying platform.
[02:21:55.000 --> 02:22:09.000]  It's like it's like a what if like Twitter back in 2012 when they walked out all the Twitter clients, they made the decision that we are going to monetize by showing ads on the Twitter app.
[02:22:09.000 --> 02:22:17.000]  And I think in retrospect, that might have been or it was probably a suboptimal decision, because what was valuable was not the app.
[02:22:17.000 --> 02:22:25.000]  It was the identity. And in some respects, Twitter, the app is like a minimum viable product of what you can do with someone's identity.
[02:22:25.000 --> 02:22:33.000]  But if you know what someone's interested in, like you can build stuff like Periscope, you can build stuff like Meerkat, you can build stuff like the Twitter app.
[02:22:33.000 --> 02:22:39.000]  You can build all kinds of interesting stuff. And it's it's too bad that didn't happen.
[02:22:39.000 --> 02:22:42.000]  And like Twitter now kind of had to buy Periscope.
[02:22:42.000 --> 02:22:44.000]  Yeah, I started a Periscope here.
[02:22:44.000 --> 02:22:46.000]  I just saw it on Twitter. Yeah.
[02:22:46.000 --> 02:22:52.000]  Yeah. And everybody wants and wanted me to talk, but I couldn't because Ben was going on.
[02:22:52.000 --> 02:22:57.000]  That's why that is why I wasn't talking. How many people are we up to here?
[02:22:57.000 --> 02:23:03.000]  Three hundred ninety four. I don't know about these hearts. I think the hearts thing is I don't know. People seem to love it.
[02:23:03.000 --> 02:23:06.000]  But I think it's I don't know. I think it's weird. And I don't understand how the hell you.
[02:23:06.000 --> 02:23:10.000]  How do you know when you're sending hearts? It's like you hold your finger down and you just touch the screen.
[02:23:10.000 --> 02:23:14.000]  You touch the screen. How do you know which ones are yours, though? You don't.
[02:23:14.000 --> 02:23:18.000]  Yes. And what's the I don't understand the point of it. I don't understand it.
[02:23:18.000 --> 02:23:22.000]  You don't feel you don't feel loved and appreciated.
[02:23:22.000 --> 02:23:33.000]  No, I don't. I don't know. I feel like I feel like seeing four hundred ninety five people on makes me feel appreciated or something.
[02:23:33.000 --> 02:23:37.000]  But I don't know the hearts I don't get. Yeah. And that's the other thing.
[02:23:37.000 --> 02:23:44.000]  That's the other thing that's interesting is is the is people are saying that everybody gets a color.
[02:23:44.000 --> 02:23:49.000]  But I've got five hundred sixty three people here. There are not five hundred sixty three colors.
[02:23:49.000 --> 02:23:56.000]  And how do I know who's who? I don't know. Well, the other thing the one.
[02:23:56.000 --> 02:24:01.000]  Oh, somebody got brown hearts and they're very upset about it. I think that's like the reservoir dogs.
[02:24:01.000 --> 02:24:09.000]  It's like the reservoir dogs thing with Quentin Tarantino didn't want to be Mr. Brown. That's like Mr. Shit.
[02:24:09.000 --> 02:24:14.000]  There is an aspect of Paris is the mission to see how it plays out, because right now it certainly benefits.
[02:24:14.000 --> 02:24:20.000]  I mean, you and I, you have what, you know, hundreds of two hundred thousand followers, three thousand followers.
[02:24:20.000 --> 02:24:26.000]  I have twenty thousand or something like that. And so we immediately have like an audience when we launch Periscope.
[02:24:26.000 --> 02:24:30.000]  I ended up getting like three hundred fifty when when I was just doing it.
[02:24:30.000 --> 02:24:37.000]  What will be interesting and you can see what the disaster thing or celebrities using it for sure.
[02:24:37.000 --> 02:24:43.000]  What's interesting about that is I think the most interesting part is is getting the people to log on to watch that.
[02:24:43.000 --> 02:24:53.000]  I'm very interested to see what use this ends up having for kind of normal people, like people who have fifty followers or one hundred followers.
[02:24:53.000 --> 02:25:01.000]  Like what ends up being compelling for them, if anything, or maybe it's just going to be there just to be observers and watchers for the most part.
[02:25:01.000 --> 02:25:09.000]  So this is so meta. So the people who are watching on Periscope don't hear your side.
[02:25:09.000 --> 02:25:19.000]  And you're the whole point that Ben just made that only I can hear here in my headphones is that it's going to be interesting to see what the what the use case for this really is.
[02:25:19.000 --> 02:25:27.000]  Is that fair? That's a fair summary. And I do this for normal people with a lot of followers, even though there's what there's a thirteen hundred people watching right now.
[02:25:27.000 --> 02:25:35.000]  I do think that the answer to that is not going to be watching one side of a podcast.
[02:25:35.000 --> 02:25:42.000]  I think if I could somehow patch through your audio, this would be interesting.
[02:25:42.000 --> 02:25:50.000]  You know, because some people do like listening along to live episodes of shows, but yeah, one side is definitely not enough.
[02:25:50.000 --> 02:25:57.000]  So hello to everybody out there. But I'm going to I'm going to end this because I don't think this is very compelling.
[02:25:57.000 --> 02:26:03.000]  All right. I'll swipe down to stop. All right. Audios, everybody. Thank you. Maybe I'll do more of these later.
[02:26:03.000 --> 02:26:08.000]  But what's what's unfortunate is it was probably it's rough to watch these on your one side.
[02:26:08.000 --> 02:26:13.000]  It's going to be really rough to listen to because we're going to just be stumbling all over the place.
[02:26:13.000 --> 02:26:20.000]  I probably have to delete this. It's probably because it probably has.
[02:26:20.000 --> 02:26:26.000]  Wait, I didn't. There's some kind of thing where the location is on by default.
[02:26:26.000 --> 02:26:29.000]  Yeah, I think I probably.
[02:26:29.000 --> 02:26:36.000]  I don't know. I think I have my disabled. I don't know if I did or not. How do I know? I have no idea.
[02:26:36.000 --> 02:26:42.000]  Let me see. Let me look at my periscope. See if your streams there. Did you.
[02:26:42.000 --> 02:26:47.000]  Well, maybe not, though, because it seems like no, it seems like location sharing was off.
[02:26:47.000 --> 02:26:52.000]  I just I think it was off. I heard something. Maybe that was Meerkat. I don't know.
[02:26:52.000 --> 02:26:57.000]  Or maybe they changed it in an update to the app. But I didn't do anything.
[02:26:57.000 --> 02:27:02.000]  I forgot. I forgot to even check. But now that I try to do a new broadcast, the location indicator defaults to off.
[02:27:02.000 --> 02:27:10.000]  So I think it's actually pretty good. I wouldn't mind if there was a setting that let you do it and it was.
[02:27:10.000 --> 02:27:14.000]  Just broad, like it just told you what city I was in.
[02:27:14.000 --> 02:27:18.000]  Yeah, that was another update that they're going to do is they're making making the location less exact.
[02:27:18.000 --> 02:27:22.000]  Yeah, maybe. I don't know. But anyway, I don't know. Do you see my thing? I don't see where it even went.
[02:27:22.000 --> 02:27:30.000]  How do I access my videos? Well, anyway, this doesn't make for a good show, but.
