[00:00.000 --> 00:02.000]  Uh, here we are. We're recording on
[01:50:20.280 --> 01:50:24.920]  Lots and lots of readers have signed up for this and have written to say just how much they love igloo
[01:50:24.920 --> 01:50:26.920]  So that my thanks to igloo
[01:50:26.920 --> 01:50:32.520]  All right, what else we got before we sign off for the for the episode new keyboard
[01:50:32.760 --> 01:50:38.520]  But I don't know much about that. What do you what have you heard? I don't know anything about it. Nothing. Nada
[01:50:39.240 --> 01:50:43.960]  Probably not a big change. Yeah, hopefully just a fixed shift key. That's their fixed shift key. Yeah
[01:50:45.080 --> 01:50:47.080]  yeah, it's it's funny but
[01:50:47.480 --> 01:50:51.480]  Like the the dns guy or discovery d guy. It's not funny for them
[01:50:51.480 --> 01:50:58.440]  But they did fix it a little bit I find that the whatever they did that when they made it go white
[01:50:58.440 --> 01:51:01.240]  I guess they fixed it and they broke it. They fixed it again
[01:51:02.360 --> 01:51:05.320]  Yeah, I still don't know why they don't just make it blue. Yeah
[01:51:05.960 --> 01:51:07.480]  Like the blue to me
[01:51:07.480 --> 01:51:13.080]  Like I just don't get that because the to me when when the arrow went blue when shift was engaged
[01:51:13.640 --> 01:51:15.480]  It was so unambiguous
[01:51:15.480 --> 01:51:18.040]  That it nobody I never even had to think about it
[01:51:18.040 --> 01:51:22.680]  It's like I never even in the early years of ios it never even occurred to me that there was something to think about
[01:51:22.680 --> 01:51:27.160]  There right exactly like and to me that's the hallmark of all good design is all good design
[01:51:27.640 --> 01:51:30.540]  It took tons of good thinking and tons of work and prototypes
[01:51:30.760 --> 01:51:38.040]  To result in a thing that when you use it looks like it wasn't designed at all. Yeah, whereas the ios 7 shift key
[01:51:39.560 --> 01:51:42.200]  Screamed I was designed by somebody
[01:51:43.640 --> 01:51:45.640]  Exactly
[01:51:45.640 --> 01:51:51.480]  Who thought they were very clever. Um, no, I haven't heard anything about new keyboard. I haven't heard that much
[01:51:51.560 --> 01:51:54.200]  Honestly, I I don't really I don't really know much
[01:51:54.920 --> 01:51:58.760]  I know everything I know comes from you mark. Well, i'm happy to hear that. I hope i'm all right
[01:52:01.080 --> 01:52:03.800]  I think you're pretty good. We should talk though before we go. Let's talk
[01:52:04.200 --> 01:52:06.300]  To wrap the show unless you have something else for wwdc
[01:52:07.640 --> 01:52:12.280]  Um, I mean we didn't really talk about the apple music stuff, but that's uh pretty straightforward, I guess
[01:52:12.280 --> 01:52:15.400]  yeah, and that stuff leaks like a sieve because the
[01:52:15.960 --> 01:52:22.680]  The media companies in general are blabbermouths like the tv companies, but the music companies are the worst the music companies
[01:52:23.320 --> 01:52:25.320]  It's like you can practically
[01:52:25.640 --> 01:52:28.920]  It's like eddie q isn't even out the door and they're calling
[01:52:29.320 --> 01:52:34.120]  People in the media to talk about the meeting that they just had. Yeah. Yeah, or he's at a warrior's game
[01:52:34.120 --> 01:52:36.120]  And they're sitting right next to him
[01:52:36.120 --> 01:52:42.040]  I still I still I cannot wait to see if he's at the game sunday night. Yeah
[01:52:46.120 --> 01:52:52.520]  If you don't have anything else though, I would just you know, just briefly let's go back a couple months and talk about the the
[01:52:53.800 --> 01:52:57.960]  Big feature profile you wrote I guess it was last year on apple pr. Okay
[01:52:59.240 --> 01:53:00.920]  um
[01:53:00.920 --> 01:53:02.920]  Which was I thought
[01:53:02.920 --> 01:53:08.520]  You know and there was I have to admit when you wrote it there, you know behind the scenes, you know that in my world
[01:53:09.080 --> 01:53:14.040]  There it definitely raised a lot of discussion and the consensus my it was that you were
[01:53:14.920 --> 01:53:16.920]  half right
[01:53:17.160 --> 01:53:24.520]  And and a lot of it in ways that nobody had ever written about before which is mainly because apple pr doesn't want you
[01:53:24.600 --> 01:53:29.000]  writing about the way apple pr works and there is a little bit of
[01:53:29.960 --> 01:53:31.960]  You got to play ball and you don't
[01:53:31.960 --> 01:53:33.480]  You know
[01:53:33.480 --> 01:53:39.720]  Almost every interaction that I have with apple pr is off the record not for attribution. Whatever you want to call it, right?
[01:53:40.920 --> 01:53:45.340]  And so therefore writing about those machinations would there be therefore be a violation?
[01:53:45.960 --> 01:53:50.440]  Of what i've agreed to and therefore I don't write about it, right? I'm not hiding it
[01:53:50.600 --> 01:53:52.760]  It's you know, it is what it is and if you know
[01:53:53.000 --> 01:53:55.320]  And if I felt otherwise then I wouldn't agree to it in the first place
[01:53:55.960 --> 01:53:59.720]  And a lot of the stuff that you wrote about in in your piece
[01:53:59.720 --> 01:54:04.200]  Was accurate in that way then there was a quarter of it. I would say that was
[01:54:04.920 --> 01:54:09.320]  I I don't know. I don't know. I don't even know what to say about it because I just don't know could be right
[01:54:09.320 --> 01:54:14.120]  Could be wrong and then there was another quarter of it. I would say where I think you were wrong. Okay?
[01:54:16.120 --> 01:54:23.240]  So which quarter of it I don't remember specifically well about it or I think that your take on how they do
[01:54:24.920 --> 01:54:28.280]  Review units was wrong. Okay
[01:54:28.280 --> 01:54:32.360]  And obviously this is a little bit self-serving and so, you know
[01:54:32.840 --> 01:54:37.320]  Anybody both you and anybody listening feel free to take it
[01:54:37.400 --> 01:54:42.680]  you know with your eyes rolled or with a big grain of salt because obviously it's it I don't want to come across as
[01:54:42.760 --> 01:54:48.440]  Defensive but you can obviously see how it might be but not to put words in your mouth but or in your piece
[01:54:48.440 --> 01:54:52.840]  But the gist of it was that your take was that they cede review units to
[01:54:53.640 --> 01:54:55.640]  known friendly outlets
[01:54:55.640 --> 01:54:57.640]  That's fair to say yeah, right
[01:54:57.720 --> 01:54:58.680]  I don't think that's true
[01:54:58.680 --> 01:55:04.920]  And in fact, I think I can think of some counter examples where they cede them to people who they I think know are actually sort
[01:55:04.920 --> 01:55:10.920]  Of not friendly and I would file for example the verge under that and I wouldn't say the verge is hostile
[01:55:11.080 --> 01:55:16.680]  And I know that the verge is under has the most bizarre readership possible where half of their readers
[01:55:17.080 --> 01:55:22.920]  Think that they are in the bag for apple and the other half think that they are in the bag for apple
[01:55:22.920 --> 01:55:28.680]  And the other half think that they're the worst anti-apple agitators on the entire internet
[01:55:29.080 --> 01:55:30.680]  Right, and it's very bizarre to me
[01:55:30.920 --> 01:55:32.920]  But I would say that the verge for example
[01:55:33.080 --> 01:55:38.040]  I and I think to placate the half that thinks that they're in the bag for apple that the verge
[01:55:39.080 --> 01:55:45.560]  Consistently bends over backwards to great apple on a curve that doesn't apply to other devices and that if they
[01:55:46.040 --> 01:55:50.840]  It's been it's my and the fact though that they still have top tier access to
[01:55:50.840 --> 01:55:53.240]  Access to apple review units
[01:55:54.120 --> 01:55:56.120]  Is proof to me that they don't really
[01:55:56.680 --> 01:56:00.840]  Seed out friendly reviewers. Well, I mean my response to that now
[01:56:00.920 --> 01:56:06.200]  I don't want to say that I remember my discussions with whoever I talked to for these profiles
[01:56:07.000 --> 01:56:09.880]  However long ago this was six seven eight nine months ago
[01:56:10.440 --> 01:56:12.440]  But if I remember correctly
[01:56:12.440 --> 01:56:16.520]  Apple stopped giving the verge review units. They did there was the one um
[01:56:16.520 --> 01:56:22.360]  That is true. And it was so I don't think that counterexample is completely valid just to be it's it's a good point
[01:56:22.440 --> 01:56:25.560]  That's an excellent point. I forget when it was i'm
[01:56:26.440 --> 01:56:27.560]  90
[01:56:27.560 --> 01:56:28.680]  Sure
[01:56:28.680 --> 01:56:33.960]  Topolsky was still there and if I believe I think it was two years ago. You should have asked them last week
[01:56:34.760 --> 01:56:36.760]  Yeah, I should have I forgot about it. I
[01:56:37.320 --> 01:56:38.920]  Think it was two
[01:56:38.920 --> 01:56:42.680]  Two years ago that they didn't get early access to the phone
[01:56:42.680 --> 01:56:46.840]  Right, and then they but they did get day before access
[01:56:47.480 --> 01:56:50.200]  And so see there's different tiers, right?
[01:56:50.200 --> 01:56:54.200]  There's the right after the keynote or a couple weeks in advance
[01:56:54.200 --> 01:56:57.960]  Which I believe that you've been traditionally a part of the last few years, right?
[01:56:57.960 --> 01:57:02.200]  Then there's the day before day of or a couple days before
[01:57:02.920 --> 01:57:07.480]  And then there's the review units given after the products available
[01:57:07.960 --> 01:57:11.160]  That's correct. I think that there are three tiers one is and
[01:57:11.160 --> 01:57:13.160]  And to my knowledge, there's nobody
[01:57:13.800 --> 01:57:17.480]  Nobody on the nobody is on a pre
[01:57:18.440 --> 01:57:20.680]  keynote tier even mosberg
[01:57:21.640 --> 01:57:25.160]  Who I would think would if anybody would be it would be mosberg and I think right
[01:57:26.200 --> 01:57:28.680]  post new york times is
[01:57:29.320 --> 01:57:32.200]  I think you know, he still gets he's still on tier one, but I
[01:57:32.920 --> 01:57:36.760]  I think everybody would agree that since he's gone to yahoo. He's lost a bit of relevancy
[01:57:36.760 --> 01:57:43.640]  Yeah, I don't want to speak negatively about it right and it's it's all catty and inside baseball but it's right, you know
[01:57:44.360 --> 01:57:47.640]  Just being trying to be as honest as I can I think mosberg is the only one
[01:57:48.200 --> 01:57:53.880]  it's not like it used to be right it used to be that mosberg pogue ed begg and
[01:57:54.680 --> 01:58:00.920]  Steven lee v while he was still at newsweek that they're the four who got the iphone and nobody else got the iphone before the iphone
[01:58:00.920 --> 01:58:01.960]  came out
[01:58:01.960 --> 01:58:08.440]  And nobody else got the iphone before the iphone came out. Um, that there were only four reviewers who mattered
[01:58:08.600 --> 01:58:14.680]  And the world has changed greatly since then and apple pr's perspective on this stuff has changed greatly since then
[01:58:14.680 --> 01:58:18.440]  But as of right now, I think you're correct that there's three tiers post keynote
[01:58:19.560 --> 01:58:20.680]  uh
[01:58:20.680 --> 01:58:27.320]  day or two before which I think is largely the reason it's like a day or two is that
[01:58:28.440 --> 01:58:30.440]  to my knowledge
[01:58:30.440 --> 01:58:31.480]  uh
[01:58:31.480 --> 01:58:36.040]  And again, I could be I could be wrong about certain people but i'd i've never heard of an exception
[01:58:36.600 --> 01:58:42.200]  Nobody ever gets a review unit of serious hardware something that that is worth being in a keynote
[01:58:42.200 --> 01:58:44.920]  There are minor things that they might ship to to reviewers
[01:58:46.120 --> 01:58:48.120]  But if it's a flagship new product
[01:58:48.120 --> 01:58:51.880]  The only way you can get a review unit is to have a product briefing with apple
[01:58:52.360 --> 01:58:55.640]  sure, where they give you know, they give it to you by hand and
[01:58:56.600 --> 01:59:00.360]  Tell you in a per, you know, one to one or one to two, you know, whatever meeting
[01:59:00.360 --> 01:59:02.040]  um
[01:59:02.040 --> 01:59:08.680]  You know what they think about it and what their main points are about it and therefore with an expanded. Um,
[01:59:09.560 --> 01:59:12.840]  Like I get the impression and I don't know when everybody got apple watches
[01:59:12.840 --> 01:59:18.040]  but I got the impression that like the second tier for the apple watch was spread over two or three days because I think
[01:59:18.040 --> 01:59:20.040]  They gave them to so many people
[01:59:20.200 --> 01:59:22.200]  that there was no way that they could do it all like
[01:59:23.080 --> 01:59:25.080]  two days before the watch came out like
[01:59:25.080 --> 01:59:31.640]  April 22nd, some of the people got april 23rd because there just aren't that isn't that way to meet that many people with a briefing
[01:59:31.880 --> 01:59:33.880]  When did you get yours a week before?
[01:59:34.680 --> 01:59:39.160]  Yeah, like a week and a half before okay. Is that early a week and a half?
[01:59:41.000 --> 01:59:45.400]  It's normal for most products a lot of the time you could there's no
[01:59:46.200 --> 01:59:48.840]  The I don't even have to be secret I get with a watch
[01:59:48.920 --> 01:59:52.520]  I don't think i'm I think of the nda I signed I can't say exactly when I got it
[01:59:52.520 --> 01:59:58.600]  But it was roughly a week and a half. Um with most products. There's a keynote, right? So for example
[01:59:59.320 --> 02:00:01.320]  When the phones come out
[02:00:01.560 --> 02:00:10.280]  Uh, there's a keynote you get your review unit after the keynote in a product briefing and then the the embargo is always like
[02:00:11.000 --> 02:00:15.400]  Wednesday, I always I actually miss that. I I don't know but the products you don't follow those
[02:00:15.960 --> 02:00:19.400]  You you wait till I try to I try my best mark I do
[02:00:19.400 --> 02:00:24.840]  uh, the embargo is usually like wednesday like like 48 hours before
[02:00:25.640 --> 02:00:29.000]  They go on sale on friday or the pre-ordered one start shipping
[02:00:29.560 --> 02:00:34.840]  Um, so like a monday keynote or a tuesday keynote with a wednesday embargo the next day
[02:00:34.920 --> 02:00:37.720]  You know, usually it's usually they're like eight or nine day periods
[02:00:38.200 --> 02:00:42.360]  Yeah, and I think that some I don't i'd have to look at a calendar, but I think that the watch
[02:00:42.920 --> 02:00:44.920]  review units were
[02:00:45.160 --> 02:00:47.160]  eight or nine days
[02:00:47.160 --> 02:00:51.480]  Which felt way too sure it felt to me like I had to watch for two days. It was
[02:00:52.440 --> 02:00:56.520]  Like I have my watch here. It took time to get used to it to want to wear it to want to use it
[02:00:56.680 --> 02:00:57.480]  You know, yeah
[02:00:57.480 --> 02:01:03.320]  So now i've said before and i'll say it again hardest hardest review i've ever written and I think it stands up and i'm pretty
[02:01:03.560 --> 02:01:08.280]  Proud of what I wrote but it's the the pieces I wrote later in the month. I think are way more
[02:01:08.920 --> 02:01:13.240]  Like relevant and like years from now when I look back at what I thought of the original apple watch
[02:01:13.480 --> 02:01:15.800]  It's the the further pieces I wrote
[02:01:15.800 --> 02:01:20.360]  Weeks later, I think are more more telling I think apple did it themselves a disservice
[02:01:21.400 --> 02:01:27.560]  Waiting until that short before the launch to give it to their viewers, but maybe that has to do with the software not being ready
[02:01:28.280 --> 02:01:32.760]  Yeah, I really am not sure about that and I wonder how much they went back and forth on that
[02:01:32.840 --> 02:01:37.160]  And I think that they knew I I in fact just talk talking to people at apple
[02:01:38.520 --> 02:01:43.560]  I know that they knew that it takes time to really get that, you know
[02:01:43.560 --> 02:01:45.400]  that you know
[02:01:45.400 --> 02:01:51.400]  To acclimate it to your life like it really doesn't kick in until you stop thinking about it
[02:01:51.640 --> 02:01:54.360]  Honestly, and I know that sounds stupid, but it's no I know
[02:01:55.080 --> 02:02:01.880]  Everybody I know who has one agrees that it's when you stop thinking about it that it really starts hitting you and you're like
[02:02:02.280 --> 02:02:05.480]  You know what? I am walking a lot more, you know and stuff like that
[02:02:06.040 --> 02:02:11.240]  anyway, though I in my experience and who knows it the but the the
[02:02:11.240 --> 02:02:14.680]  I I don't think that they seed out
[02:02:16.360 --> 02:02:20.200]  Known to be friendly reviewers. I think that they look for and again
[02:02:20.200 --> 02:02:26.200]  This is going to sound self-serving for me. But I think they look in general for reviewers who are a
[02:02:28.680 --> 02:02:32.280]  Have a big following and that they're going to write, you know to get into tier one
[02:02:32.280 --> 02:02:38.600]  You have to have a certain amount of influence and so i'm weird because I don't have a large audience
[02:02:38.600 --> 02:02:42.200]  But I think that they consider the daring fireball audience to be influential
[02:02:44.040 --> 02:02:51.240]  Again, this sounds terribly self-serving and i'm blushing as I say it but I don't like talking about myself like this
[02:02:51.560 --> 02:02:53.560]  But I don't think they look for a positive review
[02:02:53.560 --> 02:02:59.320]  I think they look generally for people who are going to get it who are getting what it is that they're going after
[02:03:00.520 --> 02:03:06.760]  And I I never get notes after I write my reviews never not a word from them about anything
[02:03:06.760 --> 02:03:10.360]  not a word from them about anything I am in my
[02:03:12.360 --> 02:03:18.360]  Honestly, I really think that they just want reviewers to be fair that's the to me the main thing that they're after
[02:03:18.920 --> 02:03:22.760]  And the thing that makes this all so hard to judge
[02:03:23.400 --> 02:03:25.880]  Is that for the last?
[02:03:27.060 --> 02:03:30.120]  Decade but at least in the time that i've been doing it
[02:03:30.120 --> 02:03:36.680]  It's been an unbelievable string of very good products and i've done this occasionally
[02:03:36.680 --> 02:03:41.000]  I've looked back at old reviews of things like my what I wrote about, you know
[02:03:44.280 --> 02:03:51.000]  Like the verizon iphone or iphone 4s and stuff like that and that did what I write hold up or was I
[02:03:51.240 --> 02:03:56.120]  Excited because it was new and i've so far i've not found one where I felt like I missed the mark
[02:03:56.120 --> 02:04:00.280]  I missed the mark and even looking at people who've been doing it longer than I have like in
[02:04:00.580 --> 02:04:04.360]  rereading like say david pogue's original review of the iphone
[02:04:04.920 --> 02:04:10.520]  In 2007 and stuff like that. I don't think that these reviews were positive just for the sake of being positive
[02:04:10.520 --> 02:04:14.300]  I think almost all of them were spot on and in fact some of them especially
[02:04:15.160 --> 02:04:22.120]  uh, like the mosberg ones, I think sometimes bend over backwards to emphasize things that just weren't that big a deal like
[02:04:22.120 --> 02:04:28.440]  You know devoting time in a 2007 review of the iphone to talk about how it doesn't have a hardware keyboard like a blackberry
[02:04:29.160 --> 02:04:34.440]  Which actually looked bad. It was like wow. Here's the cons, you know, a blackberry has a hardware keyboard and you can type faster on it
[02:04:35.560 --> 02:04:41.240]  And what about the map stuff a lot of people miss the the maps problems in their iphone 5 reviews
[02:04:41.880 --> 02:04:44.680]  Um, I don't remember yours in particular. I don't remember that either
[02:04:45.320 --> 02:04:47.320]  Siri as well siri
[02:04:47.320 --> 02:04:54.440]  Was not a great product at launch, but people seem to have missed some of the uh, lack of functionality or accuracy there
[02:04:55.160 --> 02:04:57.480]  The iphone 4 antenna. I mean, I know that's
[02:04:58.120 --> 02:05:01.640]  That's a subject that we can spend another two hours on but yeah
[02:05:02.280 --> 02:05:06.300]  I miss that siri is a good example. I remember with maps in particular
[02:05:06.840 --> 02:05:11.800]  I think I remember thinking I missed the boat on that because I don't think I said anything one way or the other but
[02:05:11.800 --> 02:05:16.840]  Part of it was that in the course of my testing I didn't go anywhere and I was at home with the map
[02:05:16.840 --> 02:05:22.280]  I was at home in philadelphia and their maps in philadelphia as far as I did test them were pretty good
[02:05:22.840 --> 02:05:30.520]  And it really seemed like the bigger problems with the initial 1.0 maps weren't so much in major metropolitan areas
[02:05:30.520 --> 02:05:35.720]  But just about everywhere else. That's fair. Yeah, and the you know driving turn by turn directions
[02:05:35.960 --> 02:05:41.880]  You know, I don't drive most days. So if you know, but again that doesn't necessarily i'm not saying that that means i'm above blame
[02:05:41.960 --> 02:05:43.960]  I mean, it's it's it was a
[02:05:43.960 --> 02:05:48.840]  I would rather my goal is always to be right and I want my reviews to I want to
[02:05:49.240 --> 02:05:53.640]  My reviews like when people look back at them in 10 years to be like, well, he really nailed it
[02:05:53.800 --> 02:05:55.800]  and I think it's hard to say for the
[02:05:57.320 --> 02:06:01.240]  So, what was that iowa 6? Yes iphone 5. Yep
[02:06:02.760 --> 02:06:07.880]  It's hard to say that a review of iphone the iowa 6 and iphone 5 that if it didn't mention
[02:06:07.880 --> 02:06:13.400]  Maps and the problems that it had that it's accurate in the long term, but I don't think people avoided it trying to curry favor
[02:06:13.400 --> 02:06:16.760]  With apple pr I I don't I I can't say that for everybody
[02:06:17.320 --> 02:06:21.880]  But I really don't I I've never felt pressure like that at all from from apple
[02:06:22.600 --> 02:06:24.120]  right
[02:06:24.120 --> 02:06:27.320]  I really don't think so. But the the tell is going to be
[02:06:28.120 --> 02:06:32.200]  When the day comes that apple releases a product that is not that good
[02:06:32.200 --> 02:06:36.760]  that's well the iphone 5 and the maps thing is a pretty good indicator there, but
[02:06:37.640 --> 02:06:41.080]  Yeah, but the iphone 5 itself was actually a pretty it was a great device
[02:06:41.640 --> 02:06:47.960]  Yeah, but I mean maps was part of that siri siri was the iphone 4s's main feature really
[02:06:48.840 --> 02:06:50.680]  You know
[02:06:50.680 --> 02:06:52.680]  We'll see. We'll see
[02:06:53.240 --> 02:06:57.640]  Uh, I don't know I just think that I I just you know again, I think it was an
[02:06:57.640 --> 02:07:01.560]  I just you know again, I think it was an an interesting piece and I will
[02:07:02.100 --> 02:07:04.120]  Absolutely positively put this one in the show notes
[02:07:04.120 --> 02:07:06.920]  I'm making a note to myself right now because anybody who hasn't read it
[02:07:07.000 --> 02:07:14.440]  You certainly can go back and nobody has ever written anything like this before or since because I kind of get the sense that you've got
[02:07:14.680 --> 02:07:17.640]  A fuck it. I don't care what they think attitude towards them
[02:07:17.960 --> 02:07:23.160]  Like I don't think that you were trying to antagonize anybody with this article. I no not at all. This was about
[02:07:23.880 --> 02:07:25.880]  More so so I never had
[02:07:25.880 --> 02:07:33.720]  Access like I mean you admit to having off the record conversations with them. I I mean i've never had all sorts of access
[02:07:34.200 --> 02:07:37.260]  This started as sort of a research project to understand
[02:07:38.520 --> 02:07:45.400]  How they operate and why they operate this way in order so I could better understand my work my future work what i've done in the past
[02:07:46.120 --> 02:07:49.560]  But in terms of that attitude, it doesn't really stem from an attitude
[02:07:49.640 --> 02:07:55.080]  It stems from not having anything to lose. I have no relationship to lose. I feel that my work
[02:07:55.080 --> 02:07:57.240]  Is so much better off
[02:07:58.120 --> 02:08:02.620]  Being independent me doing how what I want how I get to spread information
[02:08:03.240 --> 02:08:05.240]  Not having to fear that apples
[02:08:05.320 --> 02:08:11.080]  Maybe not going to give me a review unit or talk to me if I say something or position something or break something
[02:08:11.640 --> 02:08:15.080]  You know the day that I you know work with a company on a story
[02:08:15.640 --> 02:08:19.720]  and get it out there from their angles the day that I don't want to do this anymore because
[02:08:19.720 --> 02:08:26.040]  I'm, very happy with the way that I do my work and how I do it my way. It's not a screw-it type of thing
[02:08:26.040 --> 02:08:31.500]  Let's publish this. It's more of a that's just my mindset how I how I like working independently
[02:08:32.520 --> 02:08:34.600]  Yeah, I my perspective on it is
[02:08:35.320 --> 02:08:42.040]  So weird because I never really expected that I would be in this position because when I started during fireball it was you know
[02:08:42.440 --> 02:08:44.600]  2002 and it was you know before
[02:08:45.480 --> 02:08:46.840]  before
[02:08:46.840 --> 02:08:52.200]  The apple, you know stuff was even that big of a deal right like ipods came out at little
[02:08:52.840 --> 02:08:55.160]  miniature events in town hall and stuff like that
[02:08:55.800 --> 02:08:57.080]  um
[02:08:57.080 --> 02:09:01.960]  And then the iphone came out and it was so big and such a huge deal, but they were you know
[02:09:02.200 --> 02:09:05.560]  Reviewing it's only like I said only went to four people, right? Um
[02:09:06.680 --> 02:09:10.520]  And i'd built this whole thing up and turned it into you know
[02:09:10.600 --> 02:09:14.840]  Something that I could call a career and it was successful all without any of that
[02:09:14.840 --> 02:09:19.080]  right and in all the ways that it was successful before I had any kind of
[02:09:19.720 --> 02:09:21.480]  You know
[02:09:21.480 --> 02:09:23.480]  It access to apple pr
[02:09:24.040 --> 02:09:28.680]  Uh, it's still the same way. So like if I stopped getting i've said this, you know, uh, you know
[02:09:28.920 --> 02:09:31.080]  Like jim dowell and I have talked about it
[02:09:31.080 --> 02:09:37.320]  Like I never have any assumption that i'm getting any future and I know this sounds like i'm now it sounds like i'm being
[02:09:38.120 --> 02:09:39.480]  uh
[02:09:39.480 --> 02:09:47.000]  Falsely humble, but honestly, like I I don't I if I had to bet I guess i'll get the iphone 6s come
[02:09:47.480 --> 02:09:52.600]  September but if I don't if like the call doesn't come and then you know, and and I there's no
[02:09:53.160 --> 02:09:55.160]  Brief, there's no briefing after the keynote
[02:09:55.640 --> 02:09:59.000]  I'll be like, well, I don't know. I must have I don't know. I don't know what happened there
[02:09:59.000 --> 02:10:04.200]  But must have had mark on my podcast too many times. Yeah, I don't maybe maybe it's because I had you on my podcast
[02:10:04.280 --> 02:10:06.280]  I don't know but it's it's not gonna hurt
[02:10:06.280 --> 02:10:10.840]  It's not gonna hurt my revenue at all. Like I don't have any kind of ad
[02:10:11.000 --> 02:10:14.040]  You know, I do get a lot of hits on the reviews when they come out
[02:10:14.360 --> 02:10:17.880]  Sure, the deck ads don't go by page, you know page count
[02:10:18.040 --> 02:10:22.920]  It's you know every and it by by design like I don't want to have uh
[02:10:24.040 --> 02:10:29.480]  Articles like that. I don't have articles where I get I make more money if they get read more right it just for one thing
[02:10:30.040 --> 02:10:33.080]  Uh, so if it dries up it dries up, you know, or if you know
[02:10:33.080 --> 02:10:36.440]  if if somebody leaves somebody who's like a big fan of me and apple pr
[02:10:36.680 --> 02:10:41.080]  Is the reason i'm getting these things and then they quit and take a job somewhere else and I stopped getting them
[02:10:41.160 --> 02:10:43.160]  So be it clearly wasn't katie cotton
[02:10:43.480 --> 02:10:47.720]  uh, i'm just kidding, I guess not I I wrote about when she left I
[02:10:48.760 --> 02:10:52.360]  I was blown away that she even knew who I was but she was always very nice to me
[02:10:52.600 --> 02:10:57.000]  I have no idea what what she was like in private though. I you know, I clearly though strategically
[02:10:57.000 --> 02:11:01.880]  She had a different vision for apple pr and that that's the other reason I wanted to bring it up that you wrote about this
[02:11:01.880 --> 02:11:05.000]  I kind of feel like your piece serves as as
[02:11:05.960 --> 02:11:10.440]  Well definitive is the wrong word because I do think that there are gaps and I don't see how you could have filled them in
[02:11:10.440 --> 02:11:13.160]  This is the thing. I don't mean this is like hey, you could have done a better job
[02:11:13.560 --> 02:11:15.720]  I almost feel like it's remarkable how much
[02:11:16.520 --> 02:11:18.520]  You got colored in
[02:11:20.520 --> 02:11:23.880]  But I kind of feel like it was a kind of amazing timing
[02:11:24.600 --> 02:11:27.400]  Coming at the end of the katie cotton era, you know
[02:11:27.400 --> 02:11:33.480]  Because clearly strategically apple pr has has taken a strategic turn since then right and in this story
[02:11:33.480 --> 02:11:38.040]  I know I talked about like who would replace katie cotton and I said it would be steve dowling
[02:11:38.520 --> 02:11:42.680]  And all indications are pointing to him instead of carris who was still at apple at the time
[02:11:43.400 --> 02:11:45.400]  And you know, I got a lot of you know
[02:11:45.400 --> 02:11:49.960]  Criticism privately saying how could you say that there's no way that's true and all that but you know
[02:11:50.760 --> 02:11:55.560]  Look at the pr bios page now. So oh my my impression and I again I
[02:11:55.560 --> 02:11:57.080]  again, I
[02:11:57.080 --> 02:12:02.780]  It's funny because I have like an official relationship with apple pr that you don't have but like my unofficial
[02:12:03.880 --> 02:12:05.880]  You know back channel
[02:12:06.680 --> 02:12:11.480]  Input into the way apple pr works is way cloudier than yours for sure
[02:12:11.720 --> 02:12:13.880]  Like there were names that you had that i'd never heard of
[02:12:14.520 --> 02:12:19.880]  Uh and stuff that you know asking around, you know, people are like, yeah. Yeah, that's that's pretty accurate that i'd never heard of
[02:12:19.880 --> 02:12:25.080]  um, but my sense from the outside was that it was
[02:12:26.120 --> 02:12:32.600]  I i'm almost surprised they didn't name dowling sooner and in my guess I could be wrong I could be
[02:12:33.080 --> 02:12:37.080]  So totally wrong here that it's it there's people at apple who you know
[02:12:37.080 --> 02:12:39.080]  We're just laughing if they're listening to this
[02:12:39.240 --> 02:12:45.480]  But my sense was that the delay in naming dowling was simply out of respect to katie that her departure was not
[02:12:45.480 --> 02:12:49.400]  Uh, it was amicable. It was we're gonna you know, I think she had been there a long time
[02:12:49.400 --> 02:12:53.480]  I think she was ready for a break and I think tim cook was looking for a new direction
[02:12:53.720 --> 02:12:57.800]  But it wasn't like bad blood. It wasn't like she was pushed out the door like forestall
[02:12:59.080 --> 02:13:05.480]  And therefore out of respect they didn't name a successor right away. I you know, I honestly disagree with that. Okay, I could be wrong
[02:13:05.480 --> 02:13:11.960]  No, no, I don't think that it was as bad blood as the forestall situation because you know, they talked
[02:13:11.960 --> 02:13:16.600]  Massive crap about him after the right after his departure. You didn't see any of that with cotton
[02:13:16.760 --> 02:13:22.200]  But I don't think it was amicable in any sense of the word. All right amicable, but you're right. All right
[02:13:22.200 --> 02:13:26.440]  I I yeah, I think we're in an agreement here, right? I think we could be in the middle
[02:13:26.680 --> 02:13:30.600]  But yeah, I think the reason they didn't even dowling how about respectful?
[02:13:31.240 --> 02:13:35.560]  Sure, it was respectable. That's very fair to say. Yeah, she still got like
[02:13:36.280 --> 02:13:40.200]  I don't know if severance is the right word, but like advisor status or something
[02:13:40.200 --> 02:13:46.360]  Right stock options, but I think that they wanted to find a like a cool
[02:13:47.160 --> 02:13:53.160]  Big name replacement for katy cotton like they can make a splash with take the company a new friendlier direction
[02:13:53.640 --> 02:13:59.880]  There were those rumors of jay carney the white house guy, but they didn't find anyone better. So I think they waited
[02:14:00.680 --> 02:14:04.600]  Six months nine months and they didn't find anyone that they would think would be better
[02:14:04.600 --> 02:14:07.080]  So they named dowling and they're gonna go through him
[02:14:07.080 --> 02:14:11.720]  My only thing about that and I thought about that but and again, I don't know but the only
