[00:00.000 --> 00:03.480]  Is this the show are we on the show is this the show could be
[02:24:31.080 --> 02:24:33.080]  But B&H is a fantastic
[02:24:34.860 --> 02:24:35.980]  Store
[02:24:35.980 --> 02:24:43.340]  They have amazing prices amazing amazing service and this crazy like pneumatic tube system for sending the things down to
[02:24:43.500 --> 02:24:48.260]  I don't even know how to explain it in the confines of a nice short podcast like this
[02:24:48.260 --> 02:24:52.020]  Yeah, I've never been there in person, but I've heard that it's cool. It's pretty amazing
[02:24:52.220 --> 02:24:57.180]  It's like when you were a kid, do you ever go like the the drive-up teller at the bank and they have them?
[02:24:57.180 --> 02:24:58.300]  Yeah, yeah
[02:24:58.300 --> 02:25:02.860]  When I was a kid, like I was so fascinated like the my imagination went nuts
[02:25:02.860 --> 02:25:08.460]  like there must have been a chocolate factory back there where Willy Wonka and the Oompa Loompas were sending money through tubes and
[02:25:09.100 --> 02:25:12.860]  Sometimes candy would come through and they noticed there's a kid in the car and that's it
[02:25:12.860 --> 02:25:17.040]  It's kind of like being in the chocolate factory watching the tubes go over your head
[02:25:17.260 --> 02:25:18.940]  That's what it's like being a B&H man
[02:25:18.940 --> 02:25:23.980]  If you want like an obscure lens for like a Canon or Nikon or something like that man B&H has everything
[02:25:25.460 --> 02:25:30.260]  But anyway you bet you're doing you're doing this how many episode do you up to now five six six?
[02:25:30.260 --> 02:25:33.740]  I think and they're about four or five six minutes long and
[02:25:34.860 --> 02:25:36.860]  it's
[02:25:37.100 --> 02:25:39.100]  So it's sort of the opposite of
[02:25:40.140 --> 02:25:43.180]  like this show which is two hours of I
[02:25:44.340 --> 02:25:45.460]  Don't want to say a rambling
[02:25:45.460 --> 02:25:51.900]  I want to I don't you know, but it's the complaint about podcasts like the talk show that it's unstructured and goes on
[02:25:51.900 --> 02:25:56.420]  It's five minutes of very tightly scripted and then edited
[02:25:56.420 --> 02:25:58.420]  Monologue
[02:25:59.300 --> 02:26:05.860]  Yeah, and a couple weeks ago. I did an episode about podcasting about what I thought the problem with podcasting is and
[02:26:06.860 --> 02:26:11.980]  It it's almost uncomfortable to say it here on this show because you know it's this show
[02:26:12.180 --> 02:26:17.540]  but it sort of seems like there's the talk show and then there's a bunch of shows that kind of
[02:26:17.900 --> 02:26:19.900]  followed the template of the talk show and
[02:26:20.860 --> 02:26:22.820]  Even even on things that I've done
[02:26:22.820 --> 02:26:26.940]  I've tried to never do a podcast about like, you know work stuff
[02:26:26.940 --> 02:26:31.500]  I've never done a podcast about design like even unprofessional was very specifically not talking about work
[02:26:31.500 --> 02:26:38.780]  No, that was the whole premise of unprofessional was that it was here's somebody whose work we admire and right whatever field and we are
[02:26:39.380 --> 02:26:44.020]  Ground rules for the episode is that we are not going to talk about that work. Yeah, that's the one rule
[02:26:44.020 --> 02:26:49.380]  We can talk about anything but work and sometimes it would be crazy stuff like talking to somebody about like, you know
[02:26:49.380 --> 02:26:54.500]  Elephant genitalia because that was just where the conversation wound up with molts
[02:26:54.500 --> 02:26:57.200]  We had molts on we went up talking about what it would be like to eat people
[02:26:57.580 --> 02:26:58.420]  You know
[02:26:58.420 --> 02:27:02.580]  You never know where it's gonna the conversation is gonna take you and that's kind of what it's like to be at a bar and talk
[02:27:02.580 --> 02:27:05.240]  To people I'm surprised the elephant genitalia didn't come up with molts
[02:27:07.220 --> 02:27:09.220]  Because frankly whenever I see
[02:27:15.020 --> 02:27:18.220]  It's like if molts molts is so intimately familiar with elephant
[02:27:18.220 --> 02:27:23.160]  you know the old thing where there's like three blind guys feeling an elephant and they all say different things and one guy's like
[02:27:23.780 --> 02:27:25.940]  You know, it's a tree trunk. It's
[02:27:26.740 --> 02:27:31.920]  Yeah, molts if he was the blind guy would be right underneath the middle and he'd be like it's an elephant and it's a man
[02:27:32.620 --> 02:27:34.620]  the male I
[02:27:35.140 --> 02:27:37.140]  Know this elephant
[02:27:38.580 --> 02:27:44.720]  I'd recognize that anywhere these grapefruit sizes. Well, they're probably bigger than grapefruit size actually
[02:27:44.720 --> 02:27:49.540]  I have honestly I have no idea. I'm so clearly not familiar with elephant genitalia
[02:27:49.540 --> 02:27:54.060]  I think that I think the topic was about how they they were or were not prehensile
[02:27:55.300 --> 02:27:57.620]  Elephant penis. No, not to be
[02:27:58.580 --> 02:28:02.980]  Why would they be pretty they're huge probably but why would they be prehensile, but I don't know
[02:28:02.980 --> 02:28:09.540]  Well, it was because like kangaroos kangaroos. They are prehensile. Anyway, yeah getting way off topic here. I did
[02:28:10.140 --> 02:28:14.700]  Yeah, and I only know this because I was at a zoo in Australia and there are some kangaroos going at it
[02:28:14.700 --> 02:28:15.780]  That's and yeah
[02:28:15.780 --> 02:28:20.460]  It was like it was like the the male kangaroo on top of the female kangaroo and it was like it was kind of feeling
[02:28:20.460 --> 02:28:25.180]  Around down there trying to find where to go and it was a it was a very illuminating and disturbing moment
[02:28:25.180 --> 02:28:30.700]  That should be just as well known as the pouches thing. Yeah. Well, I don't think they like telling that to kids in school
[02:28:32.300 --> 02:28:39.100]  One time we had Amy's Amy has a much younger brother and he was still a kid. He's in college now, but he was I
[02:28:39.900 --> 02:28:41.380]  Don't he was only like 10 or 11
[02:28:41.380 --> 02:28:46.780]  We took him to the Philadelphia Zoo and we were at the turtle exhibit and these turtles they have signs
[02:28:46.780 --> 02:28:50.620]  I mean these turtles are like something like the male is like 85 years old. I mean, he's ancient
[02:28:51.340 --> 02:28:58.700]  Super bold and wouldn't you know it the guy the guy went right up behind the female and and just went right at her
[02:28:59.380 --> 02:29:02.420]  and I forget if it was the male or the female or if it was
[02:29:02.740 --> 02:29:09.460]  If it was impossible to tell because neither of their mouths were really moving but one of them was really really getting into it audibly
[02:29:09.460 --> 02:29:10.780]  I
[02:29:10.780 --> 02:29:17.700]  Mean, it's broad daylight open and I would say 10 or 15 feet away from the railing and there's these big
[02:29:18.260 --> 02:29:22.000]  three four foot grand turtles and they
[02:29:22.940 --> 02:29:24.940]  screwing right there and open and
[02:29:26.020 --> 02:29:30.420]  All these kids there's so many kids and all the kids are saying
[02:29:31.780 --> 02:29:33.460]  What are they doing?
[02:29:33.460 --> 02:29:35.780]  What is he hurting her?
[02:29:35.780 --> 02:29:42.740]  And I mean the question kids are really like, you know, like something was clearly going on and it was noisy genuine concern
[02:29:43.260 --> 02:29:49.660]  Right and for the most part those turtles don't even move and this the male this old male turtle is really going
[02:29:49.900 --> 02:29:55.300]  And it was I it was one of the best it was like the reason zoos exist because it's like what do you watch?
[02:29:55.300 --> 02:30:03.460]  Do you watch the 85 year old turtle have at it or do you turn around and watch all the parents try to decide?
[02:30:03.460 --> 02:30:09.680]  What do I do? Like some of the parents were clearly of the let's just pretend this is nothing
[02:30:10.860 --> 02:30:12.860]  You know, let's just you know
[02:30:12.860 --> 02:30:16.860]  let's get real Catholic about this and just go into denial that this is going on and
[02:30:17.420 --> 02:30:22.100]  Other parents were more of the sort of liberal open-minded
[02:30:22.100 --> 02:30:26.780]  I don't want to act as though this is anything to be embarrassed about I'm going you know
[02:30:26.780 --> 02:30:28.860]  How do I explain this to my kid in a sort of?
[02:30:28.860 --> 02:30:35.900]  Mature professional and and there's no way you could there's no possible way that you could talk to like a ten-year-old kid in a serious
[02:30:35.900 --> 02:30:41.260]  Way about turtles who are having having sex it becomes a meta zoo where you're watching people watch animals
[02:30:41.300 --> 02:30:44.340]  All right, that would be a good Bond movie title turtles having sex
[02:30:45.500 --> 02:30:47.020]  I'd watch it
[02:30:47.020 --> 02:30:50.500]  No, but yet but your pod that's one of the things that
[02:30:51.020 --> 02:30:55.780]  I've had it in my notes for the next time you were on the show to talk about the podcast you called it podcast
[02:30:55.940 --> 02:30:57.860]  intervention
[02:30:57.860 --> 02:31:03.900]  yeah, it just seems like we've got a lot of really smart people and a lot of very talented people, but
[02:31:04.620 --> 02:31:10.460]  We've kind of fallen into and when I say we I mean like you know the Apple tech community
[02:31:10.460 --> 02:31:14.800]  No, I mean not like the world at large or even the tech community at large, but like in within our bubble
[02:31:14.980 --> 02:31:16.980]  It's like a lot of people kind of doing
[02:31:17.600 --> 02:31:22.060]  Variations on the same theme and it's not that I think people shouldn't do podcasts in fact
[02:31:22.060 --> 02:31:24.560]  I think people should do more podcasts. I think everybody should have a podcast
[02:31:24.560 --> 02:31:31.180]  I think it's a great way to communicate ideas and broadcast them. I just wish that we would maybe try some other stuff, too
[02:31:31.180 --> 02:31:36.820]  And maybe try some variation in the way we approach podcasting. You're you know, we work together. You're not gonna you know
[02:31:37.580 --> 02:31:41.940]  We work together on this show you edit the show for those who don't know Dave edits the show Dave
[02:31:42.740 --> 02:31:48.620]  Even handles the sponsorship sales now for this show the talk show. I mean you're as close as there is to
[02:31:49.260 --> 02:31:54.440]  Well, you are you you should you should be correct you do enough work on this show that you should get a credit except
[02:31:54.440 --> 02:31:56.900]  We don't have credits if the show had any kind of visuals
[02:31:57.080 --> 02:32:03.120]  There would be an edited and some kind of maybe even produced by Dave whiskers credit on the talk show
[02:32:04.160 --> 02:32:07.460]  So it's no surprise that you're going to say good things about it
[02:32:07.460 --> 02:32:14.100]  But when I saw that episode of better elevation, I even though you I don't even remember if you mentioned my show
[02:32:14.100 --> 02:32:18.500]  I think you said good things about this show in ATP something about the fact that we you know
[02:32:18.500 --> 02:32:24.900]  that this show in ATP work because the authors have strong voices that we already knew and now we get to hear them in another
[02:32:24.900 --> 02:32:27.300]  Context something it's it's it's the already new part
[02:32:27.300 --> 02:32:31.740]  It's that you would you listen to the talk show not because you heard there's this thing called the talk show
[02:32:31.740 --> 02:32:37.220]  It's a great podcast. You're probably listening to the talk show because you read daring fireball. Yeah, I don't who knows I know
[02:32:37.220 --> 02:32:40.940]  That's a good question. I just assume that for as popular as this show has gotten
[02:32:40.940 --> 02:32:48.260]  I just assume that it's it's a subset of the people who read daring fireball that there are very I maybe there are some though
[02:32:48.260 --> 02:32:52.120]  I'd love to hear from you. But if there are people who don't like daring fireball, but do like the show
[02:32:52.740 --> 02:32:57.780]  But I I do kind of feel like it's sort of like I it's funny to start tying some of these strings together
[02:32:57.780 --> 02:33:02.380]  But I think it's in the way that Fleming only works if you're already a bond fan
[02:33:03.140 --> 02:33:07.020]  Mmm, then the talk show only works if you're already a daring fireball fan
[02:33:07.060 --> 02:33:11.980]  Well, yeah, you you've referred to the talk show as the it's like the director's commentary track writing fireball
[02:33:11.980 --> 02:33:19.900]  But what I saw your your better elevation it even though you were complimentary towards the show. I took it as you know, I
[02:33:21.940 --> 02:33:23.460]  Took it as as
[02:33:23.460 --> 02:33:25.640]  Motivation that why don't I up the game?
[02:33:25.640 --> 02:33:30.940]  I do feel like I'm incredibly lazy with the format of this show that there's more I could do we could do anything
[02:33:30.940 --> 02:33:31.580]  You know
[02:33:31.580 --> 02:33:37.840]  But I think that's a healthy response and really like oh I kind of pissed some people off and some people thought that I was
[02:33:37.840 --> 02:33:39.840]  Attacking one person or another
[02:33:39.840 --> 02:33:42.960]  I don't want to get in the lake all of that
[02:33:42.960 --> 02:33:47.560]  but the when I when I had mentioned on the in the video that we have
[02:33:48.120 --> 02:33:53.900]  Multiple podcast networks that are run by a white dude who is on more than one of those shows
[02:33:54.400 --> 02:33:59.920]  Chloe if not every show on that network than almost every show on the network and it's really easy to
[02:34:00.200 --> 02:34:04.120]  Assume that I'm talking about any one of these people when really I'm the fact that there are more than one
[02:34:04.120 --> 02:34:07.560]  There's more than one person that I could be talking about is kind of what I'm talking about, right?
[02:34:07.560 --> 02:34:12.280]  it's not like it's not like it has anything particular to do with Leo Laporte or Dan Benjamin or
[02:34:13.760 --> 02:34:16.320]  Even who like Moises or somebody like that, you know
[02:34:16.320 --> 02:34:16.480]  Yeah
[02:34:16.480 --> 02:34:22.040]  or or Mike Hurley or Vinnie Richie or but there's so many to choose from and that's kind of what I'm talking about where
[02:34:22.440 --> 02:34:27.200]  We might have a hundred podcasts, but it seems like it's maybe the same 20 people doing all 100 of them
[02:34:27.200 --> 02:34:30.240]  Right and and that again that's not even necessarily a bad thing
[02:34:30.240 --> 02:34:32.960]  It's that the problem isn't with any one of those people or any one of those shows
[02:34:32.960 --> 02:34:38.320]  It's that you can you can say that vague phrase, you know white dude, you know from the tech world
[02:34:38.320 --> 02:34:41.020]  Who's on a bunch of shows and it can apply to so many of them?
[02:34:41.160 --> 02:34:41.640]  Yeah
[02:34:41.640 --> 02:34:46.720]  and any one of those shows any one of those people their quality shows quality people do most of them are friends of mine people
[02:34:46.720 --> 02:34:49.700]  That I would I would speak very highly of them and their shows and their approach to their work
[02:34:49.800 --> 02:34:54.320]  Mike Hurley I talked to a lot even before like I sent him the script for the show and we talked a lot about
[02:34:54.320 --> 02:34:58.840]  Like the state of podcasting and what what could be done to push things forward and he's got a lot of great ideas
[02:34:58.840 --> 02:35:02.840]  And I really do think that he's a voice for for positive change there
[02:35:02.840 --> 02:35:08.080]  but like at a macro level when you zoom out and you you start to see a lot of like
[02:35:08.400 --> 02:35:10.800]  It's like it's like the speaking tying threads together
[02:35:10.880 --> 02:35:16.560]  It's like you zoom out in attack of the clones and you see just a sea of blue and green lightsabers
[02:35:16.560 --> 02:35:19.600]  That wouldn't look great. You start to see the problem with only two colors
[02:35:19.600 --> 02:35:25.360]  You have to add some more colors in there and I'm worried that as our sphere of influence grows
[02:35:26.200 --> 02:35:29.560]  We're not really adding anything else to it. Like we're kind of working with those same ingredients
[02:35:29.560 --> 02:35:35.200]  yeah, and I worry that we and by we I really mean me since I have a
[02:35:35.920 --> 02:35:43.320]  popular show and I already have an audience that I'm not doing anywhere near enough to exercise any sort of muscles to play with the
[02:35:43.960 --> 02:35:45.200]  form
[02:35:45.200 --> 02:35:51.400]  It's you know hit record and we've got plenty of stuff to talk about and I think that it's you know
[02:35:51.400 --> 02:35:53.400]  and based on feedback from people and the fact that
[02:35:53.800 --> 02:35:57.880]  You know the the download numbers for this show are going up
[02:35:57.880 --> 02:36:03.040]  They're they're growing up faster than traffic at daring fireball like a daring fireball is sort of peaked
[02:36:03.480 --> 02:36:07.920]  Readership wise at least in terms of things you can measure but the show is gaining popularity
[02:36:07.920 --> 02:36:14.320]  and I think it's because I've gotten so many interesting people on who have interesting things to say, but the forum is
[02:36:15.120 --> 02:36:20.440]  Incredibly lazy. It's get somebody interesting on the other end and hit record for two hours and
[02:36:21.120 --> 02:36:26.040]  Then, you know pass it over to Dave to get the levels fixed and the mistakes cut out
[02:36:26.040 --> 02:36:30.920]  Whereas we could do anything, you know, you know, we could do something like cereal or whatever
[02:36:31.400 --> 02:36:34.520]  Yeah, people were I kept seeing when that when that thing came out
[02:36:34.520 --> 02:36:40.760]  There's one all this discussion now about podcasts over the last couple of weeks and I keep hearing the same phrase repeated which is
[02:36:42.000 --> 02:36:43.600]  podcasts are
[02:36:43.600 --> 02:36:45.600]  Are the new blogs?
[02:36:46.040 --> 02:36:48.880]  Which I disagree with because with a blog post presumably
[02:36:49.160 --> 02:36:54.200]  You would come up with an idea and you'd think through it and you would edit it and you would refine it and you'd go through
[02:36:54.200 --> 02:36:58.880]  A few drafts whereas on a podcast you you at least from what I you know on the landscape
[02:36:58.880 --> 02:37:01.040]  It's more like sitting down and you hit record and having a conversation
[02:37:01.560 --> 02:37:06.520]  So it's not that podcasts are the new blogs. It's more like podcasts or the new I am logs
[02:37:07.240 --> 02:37:09.740]  Like this is it's a conversation. There's nothing wrong with that
[02:37:09.960 --> 02:37:13.760]  My my only argument is I think we could also be doing other things to push it forward
[02:37:14.600 --> 02:37:16.600]  Yeah, I totally agree with that. I
[02:37:17.320 --> 02:37:19.320]  like for example, I
[02:37:19.320 --> 02:37:24.920]  And I know not that nobody has ever done it but like for something like WWDC, you know
[02:37:25.260 --> 02:37:29.480]  Instead of just doing one big show or like I've done last couple years like the live show
[02:37:29.480 --> 02:37:36.120]  Which I could still do but why not in the course of the week do you know a couple of 15-minute episodes just with?
[02:37:36.800 --> 02:37:41.560]  You know new stuff like if I don't have time on day one to do a real episode of the show
[02:37:41.560 --> 02:37:46.640]  Why can't I have something that hits the feed and goes to podcast things with just like a 10-minute overview?
[02:37:46.640 --> 02:37:51.420]  Yeah, and like like build around segments rather than my conversation, right?
[02:37:51.420 --> 02:37:54.980]  And it would be you know in loose terms because the analogy doesn't hold for long
[02:37:54.980 --> 02:37:58.780]  But it would be like the way that I'm doing fireball. It's not just big long articles
[02:37:58.780 --> 02:38:02.860]  It's in fact, most of it is you know, real short things just links to other things
[02:38:02.860 --> 02:38:07.220]  Why couldn't the feed for the talk show have a bunch of little things in it? Yeah. Yeah
[02:38:07.740 --> 02:38:12.520]  And so it was I don't know Jason Snell was on unprofessional months ago
[02:38:12.520 --> 02:38:17.020]  and we had this like sort of meta discussion about podcasting and what it all means and
[02:38:17.540 --> 02:38:20.200]  I was thinking about video and how
[02:38:21.500 --> 02:38:27.060]  You'll you'll have you know a decent podcast that that gets a fair bit of traffic
[02:38:27.060 --> 02:38:29.060]  You'll get you know 10,000 people listening to an episode
[02:38:29.540 --> 02:38:34.780]  But you put out a YouTube video and that could hit tens or hundreds of thousands of views
[02:38:34.780 --> 02:38:38.820]  It could hit millions of views. There's people out there with with YouTube channels that have
[02:38:38.820 --> 02:38:46.580]  20 to 30 million subscribers to say nothing of the views they get just subscribers people who are actively subscribed to that channel and
[02:38:46.860 --> 02:38:51.060]  It just seems like there's this huge audience for for this kind of content that
[02:38:51.460 --> 02:38:57.540]  Maybe we're we're just not we're not tapped into for whatever reason and I started thinking about that and I decided that whatever I do
[02:38:57.540 --> 02:38:59.660]  Next I want to I want to try something new
[02:38:59.660 --> 02:39:04.660]  I want to I want to push a boundary that I don't feel like we've been pushing and something that I
[02:39:04.980 --> 02:39:06.740]  Definitely feel I haven't pushed
[02:39:06.740 --> 02:39:10.900]  yeah, and for sure the way to do video I think is not the
[02:39:11.980 --> 02:39:16.180]  Let's just record a podcast and we'll also let the camera on our computer
[02:39:17.540 --> 02:39:19.540]  Stream us while we record a podcast
[02:39:20.620 --> 02:39:23.620]  You know what? I mean? Like yeah, Howard Stern did that
[02:39:24.300 --> 02:39:31.300]  His e-show was just them filming while they were recording the radio show. Yeah, and that was a little bit higher production value
[02:39:31.300 --> 02:39:32.700]  I'm you know
[02:39:32.700 --> 02:39:34.700]  like I'm thinking like like
[02:39:34.700 --> 02:39:38.900]  And I know some people like it some people actually like it but like the way that
[02:39:39.660 --> 02:39:43.540]  With Leo's shows the guests are all you know, there's also, you know
[02:39:43.540 --> 02:39:44.600]  They're they're recording audio
[02:39:44.600 --> 02:39:45.980]  but they also have video and
[02:39:45.980 --> 02:39:51.340]  Some of the people are in the studio and it works a little bit more because it looks a little bit more like a regular
[02:39:51.340 --> 02:39:54.580]  TV thing but like like whenever I've been on, you know
[02:39:55.260 --> 02:39:59.740]  Mac break weekly or something like that. It's just a stupid view of me here in my home office
[02:39:59.740 --> 02:40:02.580]  you know staring at the computer with headphones on and
[02:40:02.580 --> 02:40:07.540]  And to me that's it's not really adding anything to me. It's almost distracting
[02:40:07.540 --> 02:40:11.660]  I feel like I would never enjoy listening to it watching it to show like that
[02:40:11.660 --> 02:40:16.340]  Like I don't want to see the guys record ATP that would I would gain nothing from that
[02:40:17.240 --> 02:40:22.940]  Whereas I do think though that in theory there is something that like the ATP guys could do that would be video
[02:40:23.340 --> 02:40:25.340]  But it's a different thing, right?
[02:40:25.340 --> 02:40:31.500]  Right, and that's where I get excited about the idea of video as a medium and it's so funny to talk about this as
[02:40:31.500 --> 02:40:33.500]  If it's like some new frontier that we've just discovered
[02:40:34.180 --> 02:40:35.500]  whereas
[02:40:35.500 --> 02:40:37.500]  Your son who's 10?
[02:40:37.940 --> 02:40:43.340]  Already knows everything about YouTube and that's just like the world he lives in and like you're not somebody until you have a YouTube channel
[02:40:43.460 --> 02:40:45.380]  Well, and it's funny because it's something you know
[02:40:45.380 --> 02:40:48.500]  It gets to the the weird notion that you have to have a name for a thing
[02:40:49.180 --> 02:40:54.500]  And that that the name for a thing can affect the way people feel and see and approach it, you know in that
[02:40:54.500 --> 02:41:02.620]  It was possible to do what is exactly known as blogging before the word blog or web blog or whatever you want to call it
[02:41:02.900 --> 02:41:09.060]  Hit but that it was only after we had a name for it that we all kind of agreed that you'd make posts and they
[02:41:09.060 --> 02:41:11.340]  Would you know top-down chronological order?
[02:41:13.820 --> 02:41:21.500]  That it made the whole thing take off and yeah people were doing what we now call podcasts before the word podcasts existed
[02:41:21.500 --> 02:41:26.900]  I mean they were doing it before there was even an iPod which is where the pod and podcast come from
[02:41:28.780 --> 02:41:32.060]  And I remember the first show I ever did was Sean King's
[02:41:33.380 --> 02:41:39.700]  Your Mac life and it was I was after during fireball started so it was like 2002
[02:41:41.220 --> 02:41:43.420]  But the tech I mean it was only 12 years ago
[02:41:43.420 --> 02:41:46.620]  But the tech was so old that there was no like way to do it over the Internet
[02:41:46.620 --> 02:41:52.620]  I actually had to use like a telephone and call in and we talked for like two hours. Yeah, I think we need
[02:41:53.140 --> 02:41:56.740]  There needs to be a template for this kind of thing. Yeah in the in the way that
[02:41:58.120 --> 02:41:59.540]  link blogs
[02:41:59.540 --> 02:42:05.380]  Sort of became a thing after kot key and during fireball like we had a template we kind of knew how that worked
[02:42:05.380 --> 02:42:08.300]  And so it's like oh well that that seems like a thing. I understand it
[02:42:08.300 --> 02:42:13.060]  I can I can do that not to the same level of quality, but I can make a thing to that pattern and
[02:42:13.060 --> 02:42:16.420]  It's not that there's anything wrong with following the pattern
[02:42:16.420 --> 02:42:21.140]  It's that after a while if no new patterns start to emerge then maybe we've got a problem
[02:42:21.860 --> 02:42:23.260]  Yeah, I think part of it
[02:42:23.260 --> 02:42:27.860]  You know if you want to have something that what did you call for like a tumblr for podcasts more or less?
[02:42:28.020 --> 02:42:28.540]  Yeah
[02:42:28.540 --> 02:42:33.780]  There's there's no like drop in easy system like it seems like in the same way that
[02:42:34.020 --> 02:42:38.460]  Anybody could sit down in front of tumblr or Squarespace and and just make a website
[02:42:38.460 --> 02:42:44.380]  there's no way to do that for podcasts and it seems like there should be it seems like there should be really great software for
[02:42:44.380 --> 02:42:46.380]  making podcasts because
[02:42:46.380 --> 02:42:50.620]  Everybody who writes software has a podcast now you think that this like they would just happen
[02:42:50.620 --> 02:42:51.060]  Yeah
[02:42:51.060 --> 02:42:57.940]  I almost feel like the board podcast has become known as just two people or or a panel of people just turning on record and
[02:42:57.940 --> 02:42:59.100]  talking and
[02:42:59.100 --> 02:43:04.220]  That the name at the word itself is sort of limited the idea of what it what it can be
[02:43:04.220 --> 02:43:10.660]  Or as if we just called them shows it would be a little bit more open-ended and might be might entice people more to do
[02:43:10.660 --> 02:43:16.300]  Editing and I think also the word podcast has this like vibe of nerdy tech thing
[02:43:17.420 --> 02:43:19.060]  Maybe I don't know about that
[02:43:19.060 --> 02:43:26.420]  I think it definitely has a sort of amateur ring to it just like blonde did and it will will and will continue to wear
[02:43:26.420 --> 02:43:33.300]  Off as more and more podcasts get better production wise and more and more people with you know, like NPR
[02:43:33.300 --> 02:43:39.100]  You know, I like the millions of people who listen to serial which is a podcast
[02:43:39.460 --> 02:43:39.940]  Yeah
[02:43:39.940 --> 02:43:45.340]  But and it's it's a great example of what you could be doing with the medium and what's funny to me is audio as a medium
[02:43:45.340 --> 02:43:47.940]  Is older than movies that's older than TV. Yeah
[02:43:48.500 --> 02:43:50.380]  that that
[02:43:50.380 --> 02:43:52.700]  That we're not looking at that as the template
[02:43:53.220 --> 02:43:58.820]  Is it's interesting to me like well you get like incomparable. They're doing radio plays and that kind of thing
[02:43:58.820 --> 02:44:05.140]  You get Mike I forget the name of the show Mike Hurley and Casey Liss talking about, you know real-life stuff
[02:44:05.620 --> 02:44:10.740]  these these are shows that are kind of if if the format isn't pushing a boundary then at least the subject matter is and
[02:44:11.140 --> 02:44:17.100]  That's like I I'd love to see more of that. But also I'd like to see people trying things that aren't just
[02:44:18.020 --> 02:44:22.380]  Audio, like there are other things we could be doing and we have in the same way that
[02:44:22.380 --> 02:44:29.420]  We we it's it's so easy to sit down from a computer and put something on the internet that you typed out or that you recorded
[02:44:29.420 --> 02:44:37.460]  An audio it's it's in fact even easier as bad as as weird as it is that the tools don't exist to make podcasting easier
[02:44:37.460 --> 02:44:42.100]  It's even weirder that we're not doing more video when those tools do exist for video. I
[02:44:42.820 --> 02:44:49.060]  Feel like it's an editing problem too though because I feel like the that the tools to make these like we're in they'll come eventually
[02:44:49.060 --> 02:44:53.580]  they'll probably come sooner rather than later, but I feel like it's more than just about hitting record and
[02:44:54.700 --> 02:45:02.260]  Then hitting stop and then somehow being able to quickly post what happened in between hitting record and stop like
[02:45:02.820 --> 02:45:06.300]  I'm not saying it right. It's I know you're not level quality anything
[02:45:06.300 --> 02:45:12.180]  But the tools for editing and posting video from your phone way better than podcasting from your phone
[02:45:12.180 --> 02:45:16.300]  Yeah, I think it's funny that we've got these super high def cameras and there's always this big push every year
[02:45:16.300 --> 02:45:21.420]  When the new iPhone comes out we talk about the camera, but there's been no major advancements to the microphone technology
[02:45:21.420 --> 02:45:26.100]  Hmm, that's a good point. Right like nobody would recommend or nobody would recommend
[02:45:26.420 --> 02:45:32.460]  Recording a podcast using the built-in mic on an iPhone. Whereas you could record it pretty you can record pretty damn good video with
[02:45:32.460 --> 02:45:38.220]  Yeah, but the audio notoriously is terrible. Yeah, I found you I go and I spend all this this damn money on a
[02:45:38.860 --> 02:45:45.780]  Canon 5d mark 3 and I find that when I'm recording a podcast using the built-in mic on an iPhone
[02:45:45.780 --> 02:45:51.240]  When when I'm on vacation or if I'm traveling I just shoot from my iPhone because those videos are stellar
[02:45:51.460 --> 02:45:58.260]  Yeah, especially with a little bit of post-processing to the video. You can really get pretty fairly, you know
[02:45:58.260 --> 02:46:01.100]  Again, the word professional is a little loaded and has other meanings
[02:46:01.100 --> 02:46:08.720]  Yeah, pretty close to what you know, what better you can get better than what used to be considered professional video pretty quickly, right?
[02:46:08.940 --> 02:46:10.940]  yeah, definitely and
[02:46:10.980 --> 02:46:12.140]  professionally
[02:46:12.140 --> 02:46:18.620]  Loaded but okay. So the video I shoot from my phone, I probably wouldn't put into the next James Bond movie
[02:46:18.620 --> 02:46:20.620]  But it works great on my youtube channel
[02:46:20.940 --> 02:46:24.740]  Right and the shots look fantastic and I don't mean it looks great in an amateur
[02:46:25.140 --> 02:46:27.740]  This is something I threw together in a weekend kind of way
[02:46:27.740 --> 02:46:33.760]  I mean it's like, you know on that size screen and that size and that kind of format that kind of content it works
[02:46:34.460 --> 02:46:36.860]  Brilliantly. Yeah, this is high def video
[02:46:36.860 --> 02:46:44.420]  There's definitely something intimate about video too that is different and I tell you honestly, I I sometimes have trouble watching
[02:46:45.180 --> 02:46:50.900]  Your better elevation videos because I know you I do and in your soul
[02:46:50.900 --> 02:46:55.360]  I it I it's in a way that I have a lot of trouble listening to my own
[02:46:55.540 --> 02:46:58.380]  Voice and show like if it was up to if it was up to me
[02:46:58.380 --> 02:47:01.880]  I couldn't edit this show because I just can't bring myself to listen to it
[02:47:01.880 --> 02:47:04.120]  I can listen to parts of it and you know
[02:47:04.120 --> 02:47:07.920]  I've done it enough for enough years that it doesn't it's not like an instant ick factor
[02:47:08.420 --> 02:47:09.820]  but it's
[02:47:09.820 --> 02:47:14.820]  It's really hard and I remember seeing like on letterman like I think Johnny Depp is one of these actors who?
[02:47:15.140 --> 02:47:20.600]  Professes that he never watches his own movie. Yeah, and I used to I used to think that was bullshit
[02:47:20.600 --> 02:47:25.000]  I used to think come on you're just you're being falsely modest, but I actually think it's true now
[02:47:25.000 --> 02:47:30.100]  I think depending on your mindset. You just can't bear to watch yourself. Yeah, you can't enjoy it
[02:47:30.100 --> 02:47:32.100]  You can't see it the way other people do
