[00:00.000 --> 00:03.920]  My favorite story of the last few weeks was from your colleagues at the Wall Street Journal
[01:17:19.980 --> 01:17:26.580]  I said a couple of months ago and piece I wrote, you know Twitter really isn't a social network. It's a it's a media site
[01:17:26.740 --> 01:17:29.740]  Yeah, and they don't they don't know it themselves
[01:17:29.740 --> 01:17:34.300]  They don't know it now, but they're starting to get into it a little bit more
[01:17:34.300 --> 01:17:38.580]  I think also the focus on periscope who there's been a lot of updates to periscope, which is
[01:17:39.540 --> 01:17:44.620]  it's a sad things now everyone's not using Facebook live and it's gotten tons of buzz this summer and
[01:17:45.540 --> 01:17:49.900]  You know, this was an opportunity Twitter really could have been a head out on that and they weren't
[01:17:50.140 --> 01:17:55.020]  Yeah, and it seemed like just in the last two weeks as a political junkie watching that the two conventions
[01:17:55.020 --> 01:17:58.900]  It seemed like whenever they were talking about people streaming stuff from their phones
[01:17:58.900 --> 01:18:00.620]  it was always it was just
[01:18:00.620 --> 01:18:06.460]  Facebook live was what it was almost like, you know and like in Chelsea Clinton's speech last night when she was talking about her grandkids
[01:18:06.460 --> 01:18:11.900]  Talking to Hillary Clinton. She just said FaceTime, you know, like FaceTime is the thing right when you talk
[01:18:11.900 --> 01:18:18.140]  That's just what people say and for this like broadcasting. I'm here and I'm gonna broadcast to people on social network
[01:18:18.140 --> 01:18:22.900]  It's Facebook live definitely and I like periscope and I hope periscope, you know continues to thrive
[01:18:22.900 --> 01:18:26.940]  But it seems like Facebook live just swooped in and ate their lunch, right, right
[01:18:26.940 --> 01:18:31.380]  I mean because people are there and also periscope really not till like a couple of months ago
[01:18:31.380 --> 01:18:34.420]  It was really sort of integrated in the Twitter experience, right?
[01:18:34.420 --> 01:18:39.700]  I mean, it's sort of like was like we own this thing and you can get your Twitter followers integrated here
[01:18:39.700 --> 01:18:44.940]  But like, you know watching one of those through the Twitter apps and stuff was not a was not a thing
[01:18:44.940 --> 01:18:47.340]  And now they've worked on that integration more
[01:18:49.340 --> 01:18:54.680]  Yeah, that was that was my last thing Joanna Stern, thank you so much for your time
[01:18:54.680 --> 01:18:59.160]  I want to ask you one question. I've been thinking about the the Apple watch a lot lately because I finally I
[01:18:59.720 --> 01:19:03.880]  I'm gonna I took mine off for a couple of months. I just did not find it
[01:19:04.400 --> 01:19:05.920]  useful
[01:19:05.920 --> 01:19:07.920]  for for things that
[01:19:08.600 --> 01:19:13.240]  mostly I use the Apple watch to tell the time and when I was working out and it's sort of like I
[01:19:13.360 --> 01:19:18.060]  Just got tired of working out with it on it would just it lost its its relevance to me
[01:19:19.400 --> 01:19:21.200]  What do you think?
[01:19:21.200 --> 01:19:25.080]  You think there's gonna be a new one in the fall? You know what? That's an excellent. I
[01:19:25.720 --> 01:19:30.320]  It's like everybody's saying iPhone iPhone iPhone. What's it? You know, it's gonna look like the old iPhones gonna have a new camera
[01:19:30.320 --> 01:19:34.640]  It's gonna be thinner. It's gonna be lighter. It's gonna be way faster, you know, blah blah blah
[01:19:35.840 --> 01:19:37.840]  Yeah, no headphone all this, you know
[01:19:38.640 --> 01:19:43.840]  Pages and pages and nobody's talking about Apple watch. I think that they're definitely gonna do a new Apple watch in September
[01:19:43.840 --> 01:19:49.500]  I don't know. I really only information about this at all, right and we've heard no leaks which is interesting
[01:19:49.500 --> 01:19:54.200]  But I only think that because of watch OS 3 and so as I'm wearing this watch again, you know
[01:19:54.200 --> 01:19:56.120]  I kind of keep thinking in the back of my head
[01:19:56.120 --> 01:19:58.160]  I have I don't have OS 3 on here
[01:19:58.160 --> 01:20:01.800]  But I keep thinking this thing's gonna be so much better with when I have watch OS 3 on here
[01:20:01.800 --> 01:20:06.560]  And then I sort of keep thinking well what what would the hardware improvements be that would make that even better?
[01:20:07.440 --> 01:20:13.640]  And I happen to think they all a lot of them are fitness related because that was the real focus at WWDC
[01:20:13.640 --> 01:20:15.600]  Yeah, I think fitness related
[01:20:15.600 --> 01:20:21.080]  I think that they've realized, you know with once it's out in a real world that the fitness stuff is off the charts popular
[01:20:21.080 --> 01:20:23.440]  So and it seems like there could be design
[01:20:23.680 --> 01:20:29.640]  Considerations to emphasize that more and I think now that they've rethought the way that the two buttons work the crown, right?
[01:20:29.640 --> 01:20:32.840]  But that's right. That's right. They've rethought the way they work in the OS
[01:20:32.840 --> 01:20:37.500]  I think for the better even on the old watch the existing watch that we know but if they're
[01:20:37.760 --> 01:20:41.080]  Rethought them like that in the software. Why not? I don't know what they would do
[01:20:41.080 --> 01:20:47.200]  I don't know but it's something to make them even more apt to the new purpose in the OS totally
[01:20:47.480 --> 01:20:51.260]  Totally and I think that and I think the thing could be thinner. Yeah for sure
[01:20:51.600 --> 01:20:57.240]  Yeah, so battery life possibly a little bit better, but you know, I find it crazy that there's no speculation about it
[01:20:57.240 --> 01:21:00.920]  I don't know if it's something to do with the fact that like somehow in this supply chain
[01:21:00.920 --> 01:21:02.560]  They've got a new you know
[01:21:02.560 --> 01:21:08.040]  They're doing it in a way that actually can hold the secret in a way that the iPhone supply chain obviously can't
[01:21:08.040 --> 01:21:11.520]  And and because of that if it doesn't leak through the supply chain
[01:21:11.520 --> 01:21:17.080]  It just doesn't percolate out to our speculation, but it seems crazy to me that there's not more speculation right now
[01:21:17.640 --> 01:21:24.640]  At the beginning of August end of July about a device that I think we're gonna hear about in like six weeks, right?
[01:21:24.640 --> 01:21:31.800]  Maybe it doesn't ship then. No, I just like they did it, but but this year they would have to ship before Christmas, right?
[01:21:33.240 --> 01:21:36.820]  Yeah, November. Yeah, they could ship as late as like early November
[01:21:36.820 --> 01:21:42.600]  I think but that I that's all and I I would expect that I would expect that the iPhone ships in September
[01:21:42.600 --> 01:21:46.800]  But that if they do announce a new watch, it'll be like October thing. Yeah, I agree
[01:21:47.240 --> 01:21:52.440]  Yeah, I I'm you know, I feel like that's one of the big, you know, hopefully we'll be surprised when we
[01:21:53.320 --> 01:21:56.140]  Go out there in September to hear about this stuff, but I'm with you
[01:21:56.140 --> 01:21:59.960]  I think that they're gonna do it and the fact that there's no rumors about it. I think it's just sort of
[01:22:00.960 --> 01:22:04.560]  I don't know what it is. I I guess I mean maybe I'm wrong
[01:22:04.560 --> 01:22:07.400]  Maybe there is you know, they're just heading to Christmas selling the same watch
[01:22:07.400 --> 01:22:12.240]  They've been selling for two years, but it seems crazy to me that it costs like a hundred dollars, right?
[01:22:13.120 --> 01:22:17.160]  200 bucks last year right like the the one who offered a target. I
[01:22:18.200 --> 01:22:21.160]  Mean and that's the one I see that's I see that one a lot
[01:22:21.160 --> 01:22:29.480]  I see women wearing the rose gold one that was offered on cheaper at Target and Walmart than most most of them, huh? I
[01:22:29.480 --> 01:22:34.480]  See a lot of women wearing them. I see more and more. I see an awful lot of them
[01:22:34.600 --> 01:22:41.560]  Yeah, I mean that's you know, New York workout scene. There's Apple watches and there's fitbits. There's fitbits, but
[01:22:42.360 --> 01:22:48.920]  That's like one of the things I'm also really excited about which is the competition stuff. That's you know, you can compare others
[01:22:48.920 --> 01:22:51.000]  I'm excited about that and watch OS 3
[01:22:51.080 --> 01:22:58.120]  Yeah, so I definitely think that that is I think it's just overwhelmed by that speculation about the new iPhone whatever they're gonna call it
[01:22:58.120 --> 01:23:05.560]  right, I definitely think it's coming and I think it'll be really really interesting because I feel like the iPhone is at a point where
[01:23:05.560 --> 01:23:11.520]  It's almost 10 years old and there it's not surprising to me that the new iPhone is supposedly so similar to
[01:23:12.280 --> 01:23:16.600]  the success because they've had so many times to iterate it that they're they've sort of
[01:23:17.320 --> 01:23:21.120]  Achieved the the platonic ideal of the form factor at least in their mind
[01:23:21.400 --> 01:23:27.320]  Whereas the watch they've only done one and it's like think back to like the early years of the iPhone and how?
[01:23:27.320 --> 01:23:33.880]  Quickly they you know went from the original to those plastic 3gs to the 4s or the foreign 4s
[01:23:33.880 --> 01:23:34.360]  You know
[01:23:34.360 --> 01:23:39.280]  They made significant improvements and changes to the form factor in just a few years and I feel like they could do the same
[01:23:39.280 --> 01:23:41.280]  With the watch, right, right
[01:23:41.960 --> 01:23:43.920]  And last but not least if we're going to talk about that
[01:23:43.920 --> 01:23:49.080]  I do believe because I know people will ask I believe that if they do have a new watch that it will remain strap
[01:23:49.280 --> 01:23:51.280]  compatible with the existing watch straps
[01:23:51.280 --> 01:23:56.680]  Yeah, I think that makes sense. That's why that's why I put this new watch on I actually found this band
[01:23:58.160 --> 01:24:04.360]  It's like the it was the new felt band. What is it? What do they call these? Oh, I forget what that's called
[01:24:04.360 --> 01:24:06.120]  And I really like it
[01:24:06.120 --> 01:24:11.520]  Like, you know, it kind of like and I you know the whole band thing. It's really it's so smart
[01:24:11.520 --> 01:24:18.000]  I mean really the nylon one. Yeah, like yeah, it's not felt it's like braided not fabric. Yeah. Yeah. Yeah
[01:24:18.000 --> 01:24:24.320]  I mean, it feels like a new watch to me. Yeah, that's my favorite too, especially for wearing it to like exercise
[01:24:24.800 --> 01:24:30.640]  You don't like to wear it when you exercise or you do. No, I do and I like but I I have the one with the the
[01:24:30.640 --> 01:24:32.640]  metal
[01:24:33.560 --> 01:24:39.280]  Link band, you know, which is more like a serious dress band and it just it just feels really weird to me to go out
[01:24:39.280 --> 01:24:41.280]  Yeah, I can't work out with that. Yeah, right
[01:24:41.280 --> 01:24:44.080]  It just feels too heavy and it just feels weird when you sweat on it
[01:24:44.080 --> 01:24:48.920]  And whereas this nylon fabric feels like it's almost like an athletic material. Yeah
[01:24:48.960 --> 01:24:53.880]  Yeah, my problem with it is that it like unlike the sport band. It's like can't get it that tight around my wrist
[01:24:54.480 --> 01:24:58.300]  So the heart rate monitor doesn't work as well if it's not snug like really snug
[01:24:59.560 --> 01:25:01.560]  But yeah, it looks really nice
[01:25:02.800 --> 01:25:07.040]  That's it for me Joanna Stern of the Wall Street Journal I thank you for your time
[01:25:07.040 --> 01:25:12.480]  I want to thank our three sponsors fracture where you go get your pictures taken go to fracture me.com slash podcast
[01:25:12.480 --> 01:25:20.000]  back boys the best online backup solution for your Mac go to back blaze comm slash tearing fireball and
[01:25:20.000 --> 01:25:43.000]  Last but not least igloo igloo software comm slash TTS the best intranet. Thank you. Joanna
