[00:00.000 --> 00:04.000]  Glenn Fleischman, it is so good to have you back on the show.
[02:15:55.000 --> 02:15:57.000]  because I want to sell my iPhone 6S.
[02:15:57.000 --> 02:15:59.000]  I have a 7 Plus,
[02:15:59.000 --> 02:16:00.000]  and I was reluctant to switch to it,
[02:16:00.000 --> 02:16:01.000]  but I'm like, yeah, it's probably time,
[02:16:01.000 --> 02:16:03.000]  but then I'm like, well, I'm gonna get a new phone
[02:16:03.000 --> 02:16:05.000]  because of the computational photography stuff
[02:16:05.000 --> 02:16:06.000]  that I'm interested in.
[02:16:06.000 --> 02:16:08.000]  I will almost certainly get a new phone
[02:16:08.000 --> 02:16:09.000]  when they come out,
[02:16:09.000 --> 02:16:10.000]  so I'll have two phones to sell,
[02:16:10.000 --> 02:16:12.000]  and nobody wants a 6S right now,
[02:16:12.000 --> 02:16:13.000]  even though it's in good shape
[02:16:13.000 --> 02:16:15.000]  because why buy it at, you know,
[02:16:15.000 --> 02:16:18.000]  400-something dollars a used version of this
[02:16:18.000 --> 02:16:20.000]  when the price is gonna drop
[02:16:20.000 --> 02:16:22.000]  after the 7S ships,
[02:16:22.000 --> 02:16:23.000]  and people will then, you know,
[02:16:23.000 --> 02:16:24.000]  be able to get it for 100 bucks.
[02:16:24.000 --> 02:16:26.000]  So I think people who are looking at a used phone
[02:16:26.000 --> 02:16:27.000]  are actually savvy about waiting
[02:16:27.000 --> 02:16:29.000]  because have not been able to find a,
[02:16:29.000 --> 02:16:31.000]  usually can sell any iPhone very quickly
[02:16:31.000 --> 02:16:32.000]  if it's in good shape,
[02:16:32.000 --> 02:16:33.000]  and this time, not.
[02:16:33.000 --> 02:16:34.000]  Yeah, I don't know, though.
[02:16:34.000 --> 02:16:36.000]  Anecdotally, a lot of people in my family,
[02:16:36.000 --> 02:16:37.000]  like, over the summer have been asking me,
[02:16:37.000 --> 02:16:39.000]  like, hey, I'm thinking about getting a new iPhone.
[02:16:39.000 --> 02:16:40.000]  Which one should I get?
[02:16:40.000 --> 02:16:41.000]  And I'm like, just wait.
[02:16:41.000 --> 02:16:42.000]  And they're like, oh, and they're like, why?
[02:16:42.000 --> 02:16:43.000]  And I was like, well, the new ones
[02:16:43.000 --> 02:16:44.000]  will come out in September,
[02:16:44.000 --> 02:16:45.000]  and they're like, really?
[02:16:45.000 --> 02:16:46.000]  And I'm like...
[02:16:46.000 --> 02:16:48.000]  Well, although a lot of the features don't appeal,
[02:16:48.000 --> 02:16:50.000]  I mean, some people don't see the incremental features
[02:16:50.000 --> 02:16:51.000]  as more than like Chrome.
[02:16:51.000 --> 02:16:52.000]  No, and that's why they...
[02:16:52.000 --> 02:16:53.000]  If you don't study it, you're like,
[02:16:53.000 --> 02:16:54.000]  well, it's a new collar, right?
[02:16:54.000 --> 02:16:55.000]  It's like, no, it's not a new collar.
[02:16:55.000 --> 02:16:56.000]  It's actually a whole better device.
[02:16:56.000 --> 02:16:58.000]  And so even though there is a spike,
[02:16:58.000 --> 02:16:59.000]  they still sell, I don't know,
[02:16:59.000 --> 02:17:00.000]  40 million of them every quarter.
[02:17:00.000 --> 02:17:02.000]  They'll sell 40 million, you know,
[02:17:02.000 --> 02:17:05.000]  or 10, 15 million of them this month, you know,
[02:17:05.000 --> 02:17:06.000]  in the month of August,
[02:17:06.000 --> 02:17:08.000]  in five weeks before the new ones come out.
[02:17:08.000 --> 02:17:11.000]  Because there's, most people don't care about that,
[02:17:11.000 --> 02:17:13.000]  you know, in the same way that, like,
[02:17:13.000 --> 02:17:16.000]  most people, including me, frankly,
[02:17:16.000 --> 02:17:20.000]  like, I bought a 2006 car in December of 2006.
[02:17:20.000 --> 02:17:23.000]  You know, the 2007s were already out
[02:17:23.000 --> 02:17:25.000]  because I didn't give a shit, you know?
[02:17:25.000 --> 02:17:26.000]  I don't know what the difference was
[02:17:26.000 --> 02:17:29.000]  between the 2006, 2007, but I knew...
[02:17:29.000 --> 02:17:30.000]  I didn't give enough of a shit
[02:17:30.000 --> 02:17:33.000]  compared to the thousands of dollars that cost less, so...
[02:17:33.000 --> 02:17:34.000]  Exactly, exactly.
[02:17:34.000 --> 02:17:36.000]  And I think that there's an awful lot of people
[02:17:36.000 --> 02:17:37.000]  who feel that way about their iPhone.
[02:17:37.000 --> 02:17:38.000]  They just don't care.
[02:17:38.000 --> 02:17:41.000]  They accept, they know, I'm sure they believe that
[02:17:41.000 --> 02:17:43.000]  for people who are truly tuned in like we are
[02:17:43.000 --> 02:17:45.000]  that we know, oh, my God, there's, you know,
[02:17:45.000 --> 02:17:47.000]  it's gonna, the camera's gonna change from, you know,
[02:17:47.000 --> 02:17:50.000]  F1.8 to F1.6 or whatever.
[02:17:52.000 --> 02:17:53.000]  They don't give a shit.
[02:17:53.000 --> 02:17:54.000]  They don't even know what the hell that means, you know?
[02:17:54.000 --> 02:17:55.000]  You tell them.
[02:17:55.000 --> 02:17:56.000]  What's the Merlin Mann line?
[02:17:56.000 --> 02:17:58.000]  Isn't it something like, it has more mega-florps.
[02:17:58.000 --> 02:17:59.000]  Yeah, mega-florps, exactly.
[02:17:59.000 --> 02:18:00.000]  That's what people think.
[02:18:00.000 --> 02:18:01.000]  Mega-florps.
[02:18:01.000 --> 02:18:02.000]  The thing that, I'll tell you,
[02:18:02.000 --> 02:18:04.000]  the one statistic that floored me,
[02:18:04.000 --> 02:18:06.000]  I still think about on a regular basis,
[02:18:06.000 --> 02:18:08.000]  is when Jason Snell backed out the
[02:18:08.000 --> 02:18:10.000]  how many simultaneous production lines there has to be.
[02:18:10.000 --> 02:18:11.000]  It was Jason, right?
[02:18:11.000 --> 02:18:12.000]  I think it was.
[02:18:12.000 --> 02:18:13.000]  How many simultaneous production lines
[02:18:13.000 --> 02:18:14.000]  there has to be?
[02:18:14.000 --> 02:18:15.000]  No.
[02:18:15.000 --> 02:18:16.000]  Was it him?
[02:18:16.000 --> 02:18:17.000]  Oh, well.
[02:18:17.000 --> 02:18:18.000]  And maybe Jason quoted it.
[02:18:18.000 --> 02:18:19.000]  I confused the two of them, I guess.
[02:18:19.000 --> 02:18:20.000]  One of those guys.
[02:18:20.000 --> 02:18:23.000]  But that how many simultaneous production lines
[02:18:23.000 --> 02:18:25.000]  have to be going to achieve the number
[02:18:25.000 --> 02:18:27.000]  because of the end-to-end time it makes
[02:18:27.000 --> 02:18:28.000]  to assemble an iPhone.
[02:18:28.000 --> 02:18:30.000]  So, it was some thousands, right,
[02:18:30.000 --> 02:18:32.000]  that are being made simultaneously.
[02:18:32.000 --> 02:18:34.000]  And I thought that floored me more than,
[02:18:34.000 --> 02:18:35.000]  like, 40 million is a number.
[02:18:35.000 --> 02:18:36.000]  But when you're like, no,
[02:18:36.000 --> 02:18:38.000]  there are a thousand phones or more
[02:18:38.000 --> 02:18:43.000]  at the same time going down parallel production lines
[02:18:43.000 --> 02:18:45.000]  all over Foxconn plant, you're like,
[02:18:45.000 --> 02:18:47.000]  that is astonishing.
[02:18:47.000 --> 02:18:48.000]  But that came out, you talked about,
[02:18:48.000 --> 02:18:49.000]  I don't want to get too deep,
[02:18:49.000 --> 02:18:50.000]  and I know we're near the end of the show,
[02:18:50.000 --> 02:18:52.000]  but you talked about that issue of the scaling
[02:18:52.000 --> 02:18:54.000]  is like any part you make,
[02:18:54.000 --> 02:18:56.000]  you can't come out with a certain kind of innovation anymore
[02:18:56.000 --> 02:18:59.000]  because it has to scale to hundreds of millions of times,
[02:18:59.000 --> 02:19:00.000]  has to work instantly.
[02:19:00.000 --> 02:19:03.000]  The availability has to be so extraordinary.
[02:19:03.000 --> 02:19:05.000]  It's going to be a problem they have for years now.
[02:19:05.000 --> 02:19:07.000]  I'm sure of it.
[02:19:07.000 --> 02:19:08.000]  It's, you know.
[02:19:08.000 --> 02:19:11.000]  Well, I think they're, I mean, we'll see how it goes,
[02:19:11.000 --> 02:19:15.000]  but I think they're, with this D22 phone,
[02:19:15.000 --> 02:19:17.000]  I think that they're trying to get their,
[02:19:17.000 --> 02:19:19.000]  wiggle their way out of it.
[02:19:19.000 --> 02:19:20.000]  Yeah, yeah.
[02:19:20.000 --> 02:19:22.000]  Yeah, I mean, again, it's like I said.
[02:19:22.000 --> 02:19:24.000]  They're only going to sell 50 million of them
[02:19:24.000 --> 02:19:25.000]  instead of 200 million or something, right?
[02:19:25.000 --> 02:19:26.000]  I don't know.
[02:19:26.000 --> 02:19:27.000]  I don't know.
[02:19:27.000 --> 02:19:28.000]  Let's see.
[02:19:28.000 --> 02:19:30.000]  Also, the other thing was that that year ago
[02:19:30.000 --> 02:19:33.000]  report that had the D22 code name
[02:19:33.000 --> 02:19:36.000]  also said that internally it was nicknamed Ferrari,
[02:19:36.000 --> 02:19:39.000]  which I thought was, you know.
[02:19:39.000 --> 02:19:41.000]  And so since they had the D22,
[02:19:41.000 --> 02:19:42.000]  it certainly adds a lot of credibility
[02:19:42.000 --> 02:19:44.000]  that the Ferrari was a real nickname for it,
[02:19:44.000 --> 02:19:46.000]  and like I wrote on there, Fireball Ferrari
[02:19:46.000 --> 02:19:48.000]  does sound like a nickname for a product
[02:19:48.000 --> 02:19:53.000]  that might be a little bit more expensive.
[02:19:53.000 --> 02:19:56.000]  I really don't think it's going to be Ferrari expensive,
[02:19:56.000 --> 02:20:00.000]  you know, but I'm pretty sure I'm right
[02:20:00.000 --> 02:20:02.000]  that this is going to have a surprisingly high,
[02:20:02.000 --> 02:20:05.000]  surprising to many people high price.
[02:20:05.000 --> 02:20:08.000]  Well, we shall see.
[02:20:08.000 --> 02:20:11.000]  Last but not least, the other thing I had on my list here
[02:20:11.000 --> 02:20:15.000]  was this Facebook post from Vic Gundotra.
[02:20:15.000 --> 02:20:16.000]  Oh, my God.
[02:20:16.000 --> 02:20:17.000]  Oh, my God.
[02:20:17.000 --> 02:20:18.000]  So you may or may not remember.
[02:20:18.000 --> 02:20:19.000]  It's like this catnip for you.
[02:20:19.000 --> 02:20:20.000]  Right.
[02:20:20.000 --> 02:20:21.000]  I still haven't linked to it from during Fireball
[02:20:21.000 --> 02:20:23.000]  because I haven't had time because I,
[02:20:23.000 --> 02:20:27.000]  it's almost like, did this really happen?
[02:20:27.000 --> 02:20:29.000]  So Vic Gundotra used to work at Google,
[02:20:29.000 --> 02:20:32.000]  and he was the, you know, he was in charge of Android,
[02:20:32.000 --> 02:20:34.000]  or not really in charge of it, but he was,
[02:20:34.000 --> 02:20:37.000]  like he was the ringleader of their keynote in 2010
[02:20:37.000 --> 02:20:43.000]  when they most harshly went after iPhone and Apple directly
[02:20:43.000 --> 02:20:48.000]  with, you know, just like, you know, if it wasn't for us,
[02:20:48.000 --> 02:20:50.000]  meaning Google and Android, we'd live in a world
[02:20:50.000 --> 02:20:53.000]  where one man, one company controls the future,
[02:20:53.000 --> 02:20:55.000]  you know, this sort of dystopian, you know,
[02:20:55.000 --> 02:20:57.000]  Steve Jobs controls everything
[02:20:57.000 --> 02:20:59.000]  and has all sorts of quotes over the years.
[02:20:59.000 --> 02:21:01.000]  I'll put some links in the show notes,
[02:21:01.000 --> 02:21:04.000]  but more or less tearing into Apple for being closed
[02:21:04.000 --> 02:21:07.000]  and closed as bad and open as good.
[02:21:07.000 --> 02:21:12.000]  He had a post on Facebook where singing to high praises
[02:21:12.000 --> 02:21:16.000]  the portrait mode on his iPhone 7 Plus,
[02:21:16.000 --> 02:21:21.000]  and the money line is bottom line.
[02:21:21.000 --> 02:21:23.000]  This is a quote from Vic Gundotra,
[02:21:23.000 --> 02:21:24.000]  who's doing something else now.
[02:21:24.000 --> 02:21:25.000]  He's left Google a couple years ago.
[02:21:25.000 --> 02:21:27.000]  If you truly care about great photography,
[02:21:27.000 --> 02:21:28.000]  you own an iPhone.
[02:21:28.000 --> 02:21:30.000]  If you don't mind being a few years behind,
[02:21:30.000 --> 02:21:31.000]  buy an iPhone.
[02:21:31.000 --> 02:21:32.000]  Oh, my God.
[02:21:32.000 --> 02:21:33.000]  It's so rude.
[02:21:33.000 --> 02:21:35.000]  It's true, but it's also.
[02:21:35.000 --> 02:21:37.000]  The funny part to me was reading the comments,
[02:21:37.000 --> 02:21:38.000]  and he's obvious.
[02:21:38.000 --> 02:21:40.000]  I don't know how Facebook works exactly
[02:21:40.000 --> 02:21:41.000]  because I've never had a Facebook account,
[02:21:41.000 --> 02:21:43.000]  but this post is available.
[02:21:43.000 --> 02:21:45.000]  It's world readable, so I could read it,
[02:21:45.000 --> 02:21:46.000]  and I could see these comments,
[02:21:46.000 --> 02:21:48.000]  but there were an awful lot of people who follow him
[02:21:48.000 --> 02:21:51.000]  or whatever you do to people on Facebook who, you know,
[02:21:51.000 --> 02:21:54.000]  are in a circle, whatever the hell they have,
[02:21:54.000 --> 02:21:56.000]  who are obviously Android fans,
[02:21:56.000 --> 02:21:58.000]  and they were...
[02:21:58.000 --> 02:22:00.000]  You did not take this very well at all,
[02:22:00.000 --> 02:22:02.000]  but they're also deeply in denial.
[02:22:02.000 --> 02:22:04.000]  Like, there was somebody who obviously fancies himself
[02:22:04.000 --> 02:22:06.000]  as a technical person, you know,
[02:22:06.000 --> 02:22:09.000]  but somebody was trying to say that the Samsung S8
[02:22:09.000 --> 02:22:12.000]  has the same feature, and it's better implemented.
[02:22:12.000 --> 02:22:13.000]  The Samsung...
[02:22:13.000 --> 02:22:15.000]  I mean, whatever you want to say about the Samsung Galaxy S8
[02:22:15.000 --> 02:22:18.000]  as a camera compared to the regular iPhone 7,
[02:22:18.000 --> 02:22:19.000]  maybe it's as good.
[02:22:19.000 --> 02:22:20.000]  I know that...
[02:22:20.000 --> 02:22:21.000]  I'm sure it has a very good camera.
[02:22:21.000 --> 02:22:23.000]  I own a Google Pixel upstairs.
[02:22:23.000 --> 02:22:25.000]  The Google Pixel has an excellent camera.
[02:22:25.000 --> 02:22:27.000]  I don't...
[02:22:27.000 --> 02:22:29.000]  I honestly don't know if it's better or worse
[02:22:29.000 --> 02:22:30.000]  than my iPhone 7.
[02:22:30.000 --> 02:22:31.000]  I'm familiar with the iPhone 7,
[02:22:31.000 --> 02:22:33.000]  but I can see that they're technically
[02:22:33.000 --> 02:22:37.000]  on par with each other, you know.
[02:22:37.000 --> 02:22:40.000]  Somebody cited the Pixel thing in that stupid DxOMark
[02:22:40.000 --> 02:22:43.000]  that ranked the Pixel as having the highest-rated sensor
[02:22:43.000 --> 02:22:44.000]  in their history.
[02:22:44.000 --> 02:22:46.000]  That DxOMark thing is bullshit.
[02:22:46.000 --> 02:22:48.000]  It's total bullshit.
[02:22:48.000 --> 02:22:50.000]  The people pay to be in it.
[02:22:50.000 --> 02:22:52.000]  The reason that they rated the Pixel
[02:22:52.000 --> 02:22:53.000]  before it even came out
[02:22:53.000 --> 02:22:55.000]  was because Google paid them to do it.
[02:22:55.000 --> 02:22:57.000]  It's a bullshit metric,
[02:22:57.000 --> 02:22:59.000]  and even if you believe the metric,
[02:22:59.000 --> 02:23:01.000]  it's only rating the sensor of the camera.
[02:23:01.000 --> 02:23:02.000]  It's not even telling you
[02:23:02.000 --> 02:23:03.000]  whether it takes good pictures or not.
[02:23:03.000 --> 02:23:05.000]  It's saying it has the best sensor,
[02:23:05.000 --> 02:23:06.000]  but it's obviously...
[02:23:06.000 --> 02:23:08.000]  It worked to Google's advantage
[02:23:08.000 --> 02:23:09.000]  where people who want to believe it
[02:23:09.000 --> 02:23:12.000]  took it as meaning that some independent firm
[02:23:12.000 --> 02:23:14.000]  has certified that the Google Pixel
[02:23:14.000 --> 02:23:16.000]  has the best camera on any phone.
[02:23:16.000 --> 02:23:17.000]  It doesn't.
[02:23:17.000 --> 02:23:19.000]  The iPhone 7 Plus has the best camera on any phone,
[02:23:19.000 --> 02:23:21.000]  and I say this as somebody whose daily phone,
[02:23:21.000 --> 02:23:24.000]  the phone I own, is an iPhone 7, not the 7 Plus,
[02:23:24.000 --> 02:23:25.000]  because I like the size better.
[02:23:25.000 --> 02:23:26.000]  I love the 7 Plus so much.
[02:23:26.000 --> 02:23:27.000]  But it hurts my heart.
[02:23:27.000 --> 02:23:29.000]  The 7 Plus is so much better as a camera.
[02:23:29.000 --> 02:23:30.000]  It's ridiculous.
[02:23:30.000 --> 02:23:32.000]  It's absolutely ridiculous,
[02:23:32.000 --> 02:23:34.000]  and portrait mode is amazing,
[02:23:34.000 --> 02:23:36.000]  and it has gotten so much better
[02:23:36.000 --> 02:23:38.000]  since it came out last year.
[02:23:38.000 --> 02:23:39.000]  The edge detection is so much better.
[02:23:39.000 --> 02:23:41.000]  But the Galaxy S8 camera,
[02:23:41.000 --> 02:23:42.000]  they do have a...
[02:23:42.000 --> 02:23:44.000]  They call it like fake bokeh mode or something,
[02:23:44.000 --> 02:23:46.000]  and it has something that tries to do it,
[02:23:46.000 --> 02:23:48.000]  but it's still just a one-lens camera,
[02:23:48.000 --> 02:23:50.000]  and it's doing it all with edge detection,
[02:23:50.000 --> 02:23:51.000]  and it's all software,
[02:23:51.000 --> 02:23:53.000]  whereas there's no optical aspect to it
[02:23:53.000 --> 02:23:55.000]  like there is with the iPhone.
[02:23:55.000 --> 02:23:57.000]  Yeah, his point he makes is,
[02:23:57.000 --> 02:23:59.000]  I mean, I think he...
[02:23:59.000 --> 02:24:02.000]  I actually think that he isn't betraying
[02:24:02.000 --> 02:24:03.000]  what he said in the past.
[02:24:03.000 --> 02:24:05.000]  I think he did not like...
[02:24:05.000 --> 02:24:06.000]  It's clear the evolution of Android
[02:24:06.000 --> 02:24:08.000]  was not the direction he thought it would go,
[02:24:08.000 --> 02:24:10.000]  and his statement in the Facebook post
[02:24:10.000 --> 02:24:11.000]  in reply to people are like,
[02:24:11.000 --> 02:24:14.000]  well, you know, when you don't control the hardware,
[02:24:14.000 --> 02:24:17.000]  and you've got to make compromises in all the software,
[02:24:17.000 --> 02:24:18.000]  you can't do great things like this.
[02:24:18.000 --> 02:24:20.000]  Google was way ahead, and they really were.
[02:24:20.000 --> 02:24:21.000]  Google was way ahead.
[02:24:21.000 --> 02:24:23.000]  Project Tango is really interesting
[02:24:23.000 --> 02:24:24.000]  where it has a depth camera,
[02:24:24.000 --> 02:24:26.000]  in addition to a regular camera,
[02:24:26.000 --> 02:24:29.000]  and I wouldn't be surprised if Apple adds
[02:24:29.000 --> 02:24:34.000]  actually a literally separate depth-finding lens or thing.
[02:24:34.000 --> 02:24:35.000]  It's kind of...
[02:24:35.000 --> 02:24:37.000]  Well, it's not a lens, like a laser bouncing thing,
[02:24:37.000 --> 02:24:39.000]  but anyway, it makes a lot of sense to do that
[02:24:39.000 --> 02:24:41.000]  for if you're trying to do AR
[02:24:41.000 --> 02:24:44.000]  and other kinds of depth-based things.
[02:24:44.000 --> 02:24:46.000]  Two lenses is good, and this is even better.
[02:24:46.000 --> 02:24:48.000]  So anyway, Google has been more advanced
[02:24:48.000 --> 02:24:50.000]  in computational photography.
[02:24:50.000 --> 02:24:51.000]  They acquired...
[02:24:51.000 --> 02:24:53.000]  Sorry, they hired away the father of computation
[02:24:53.000 --> 02:24:56.000]  from Stanford, you know, went to work there.
[02:24:56.000 --> 02:24:57.000]  I tried to interview him for an article.
[02:24:57.000 --> 02:24:58.000]  He said, yeah, let me talk to PR,
[02:24:58.000 --> 02:24:59.000]  and there's dead silence.
[02:24:59.000 --> 02:25:01.000]  After that, wasn't able to get him into a piece
[02:25:01.000 --> 02:25:03.000]  they did for Fast Company last year
[02:25:03.000 --> 02:25:06.000]  about the future of computational photography,
[02:25:06.000 --> 02:25:09.000]  and without being able to enforce
[02:25:09.000 --> 02:25:11.000]  and push stuff down low enough,
[02:25:11.000 --> 02:25:13.000]  they can't do the stuff Apple can,
[02:25:13.000 --> 02:25:15.000]  and he admits it, and I think that's obviously...
[02:25:15.000 --> 02:25:17.000]  I don't know why he left the team
[02:25:17.000 --> 02:25:18.000]  or what happened there,
[02:25:18.000 --> 02:25:20.000]  but it's clearly a point of frustration for him,
[02:25:20.000 --> 02:25:22.000]  and he's not wrong about the iPhone 7 Plus.
[02:25:22.000 --> 02:25:23.000]  I own one.
[02:25:23.000 --> 02:25:25.000]  I bought it specifically for photography,
[02:25:25.000 --> 02:25:27.000]  and I carry it like...
[02:25:27.000 --> 02:25:29.000]  I have a nice mirrorless camera I really like,
[02:25:29.000 --> 02:25:32.000]  and I pick up the iPhone 7 Plus all the time.
[02:25:32.000 --> 02:25:34.000]  Now, when we had double rainbows the other day,
[02:25:34.000 --> 02:25:37.000]  we had a crazy 180-degree double rainbow weird weather thing.
[02:25:37.000 --> 02:25:39.000]  I grabbed my nice camera and a zoom lens
[02:25:39.000 --> 02:25:41.000]  and went out and shot all kinds of shots,
[02:25:41.000 --> 02:25:43.000]  and when I was doing some other photography
[02:25:43.000 --> 02:25:45.000]  in a nature area near here,
[02:25:45.000 --> 02:25:47.000]  I brought my nicer camera with the lens,
[02:25:47.000 --> 02:25:52.000]  but the iPhone 7 Plus is the most fantastic cell phone camera you can get.
[02:25:52.000 --> 02:25:54.000]  I have the...
[02:25:54.000 --> 02:25:56.000]  I think I mentioned this with Rene in a recent episode,
[02:25:56.000 --> 02:25:58.000]  but I still have the red...
[02:25:58.000 --> 02:26:01.000]  When the red iPhones came out mid-year or mid-cycle,
[02:26:01.000 --> 02:26:05.000]  Apple gave me a review unit, very nice to them.
[02:26:05.000 --> 02:26:06.000]  I mean, I don't know what to do.
[02:26:06.000 --> 02:26:09.000]  I mean, it's exactly the phone I reviewed six months earlier,
[02:26:09.000 --> 02:26:12.000]  except now it's red, you know, but that's nice.
[02:26:12.000 --> 02:26:13.000]  So I still have it.
[02:26:13.000 --> 02:26:16.000]  That's the phone I've been using,
[02:26:16.000 --> 02:26:18.000]  using the iOS betas on all summer.
[02:26:18.000 --> 02:26:20.000]  And because I'm running the betas on it,
[02:26:20.000 --> 02:26:21.000]  I took it...
[02:26:21.000 --> 02:26:24.000]  We had a family wedding down in South Carolina,
[02:26:24.000 --> 02:26:26.000]  and we were there for a week.
[02:26:26.000 --> 02:26:28.000]  We had a family that rented a beach house,
[02:26:28.000 --> 02:26:29.000]  and it was very nice,
[02:26:29.000 --> 02:26:32.000]  and we went right near Charleston,
[02:26:32.000 --> 02:26:34.000]  which I'd never been to Charleston before.
[02:26:34.000 --> 02:26:35.000]  Beautiful city. Oh, my God.
[02:26:35.000 --> 02:26:38.000]  If you ever have a chance to go to Charleston, South Carolina,
[02:26:38.000 --> 02:26:40.000]  it's truly, truly beautiful.
[02:26:40.000 --> 02:26:42.000]  And it's really interesting to me as a Philadelphian
[02:26:42.000 --> 02:26:46.000]  to see a city with roots from the exact same era,
[02:26:46.000 --> 02:26:48.000]  pre-colonial, you know, colonial times,
[02:26:48.000 --> 02:26:49.000]  and to see certain things that are the same
[02:26:49.000 --> 02:26:52.000]  and certain things that are so different
[02:26:52.000 --> 02:26:54.000]  between Philadelphia and Charleston.
[02:26:54.000 --> 02:26:59.000]  But anyway, took my Fuji X100S,
[02:26:59.000 --> 02:27:02.000]  which is, if you're not a camera nerd, it's not an SLR.
[02:27:02.000 --> 02:27:04.000]  It doesn't even have detachable lenses.
[02:27:04.000 --> 02:27:08.000]  It has one lens, a 35-millimeter equivalent lens,
[02:27:08.000 --> 02:27:11.000]  but a really, really nice mirrorless camera.
[02:27:11.000 --> 02:27:12.000]  I really love it.
[02:27:12.000 --> 02:27:13.000]  It's a couple years out of date.
[02:27:13.000 --> 02:27:16.000]  I think there's two successors already.
[02:27:16.000 --> 02:27:17.000]  But it really is a great camera.
[02:27:17.000 --> 02:27:21.000]  It takes great video and really nice stills.
[02:27:21.000 --> 02:27:22.000]  And I took my regular iPhone,
[02:27:22.000 --> 02:27:24.000]  and I also took the iPhone 7 Plus
[02:27:24.000 --> 02:27:28.000]  just because I was testing iOS betas at the time.
[02:27:28.000 --> 02:27:31.000]  So I took a portrait of Jonas in Charleston.
[02:27:31.000 --> 02:27:33.000]  It was just real nice light.
[02:27:33.000 --> 02:27:38.000]  I took a portrait of my son using the iPhone 7 Plus
[02:27:38.000 --> 02:27:41.000]  and then took one with the X100S
[02:27:41.000 --> 02:27:43.000]  from the exact same spot.
[02:27:43.000 --> 02:27:45.000]  And I do have to say,
[02:27:45.000 --> 02:27:48.000]  the X100S shot definitely looks better.
[02:27:48.000 --> 02:27:49.000]  I could see it.
[02:27:49.000 --> 02:27:50.000]  It is.
[02:27:50.000 --> 02:27:52.000]  There's no shame in that.
[02:27:52.000 --> 02:27:57.000]  It's a dedicated camera that cost me like $1,100.
[02:27:57.000 --> 02:28:01.000]  But boy, oh boy, does the portrait mode get close.
[02:28:01.000 --> 02:28:03.000]  And boy, oh boy, does the portrait mode take a picture
[02:28:03.000 --> 02:28:06.000]  that looks so much better than anything you can get
[02:28:06.000 --> 02:28:07.000]  with the regular iPhone 7.
[02:28:07.000 --> 02:28:11.000]  And holy cow, after WWDC,
[02:28:11.000 --> 02:28:13.000]  when I went through the presentations
[02:28:13.000 --> 02:28:15.000]  and looked at what they were demoing
[02:28:15.000 --> 02:28:16.000]  or showing in presentations
[02:28:16.000 --> 02:28:19.000]  and then read stuff about developers who were testing that,
[02:28:19.000 --> 02:28:22.000]  that is going to be so amazing with the depth API added.
[02:28:22.000 --> 02:28:23.000]  They're showing, I mean,
[02:28:23.000 --> 02:28:26.000]  I think it's seven different distinct layers of depth
[02:28:26.000 --> 02:28:27.000]  that, if I'm remembering right,
[02:28:27.000 --> 02:28:28.000]  at least in the current version.
[02:28:28.000 --> 02:28:30.000]  And just the idea of you'll be able to have
[02:28:30.000 --> 02:28:32.000]  black and white background, color foreground,
[02:28:32.000 --> 02:28:35.000]  drop people into things, automatically do silhouetting,
[02:28:35.000 --> 02:28:37.000]  which is useful for all kinds of purposes.
[02:28:37.000 --> 02:28:41.000]  The AR integration relies on depth mapping.
[02:28:41.000 --> 02:28:42.000]  That's a whole other thing.
[02:28:42.000 --> 02:28:45.000]  But I think the two camera phone,
[02:28:45.000 --> 02:28:47.000]  I mean, I'm curious if the premium phone
[02:28:47.000 --> 02:28:48.000]  is going to have two cameras,
[02:28:48.000 --> 02:28:50.000]  because it would be weird if it didn't, right?
[02:28:50.000 --> 02:28:51.000]  But it won't.
[02:28:51.000 --> 02:28:52.000]  I think it does.
[02:28:52.000 --> 02:28:53.000]  I think the premium phone will certainly will.
[02:28:53.000 --> 02:28:54.000]  It does?
[02:28:54.000 --> 02:28:55.000]  My big question has to,
[02:28:55.000 --> 02:28:57.000]  I don't think the rumor mill has answered it,
[02:28:57.000 --> 02:28:59.000]  is are all of the new ones going to have dual cameras?
[02:28:59.000 --> 02:29:00.000]  Like will the-
[02:29:00.000 --> 02:29:01.000]  All the phones?
[02:29:01.000 --> 02:29:02.000]  Right.
[02:29:02.000 --> 02:29:03.000]  I don't know.
[02:29:03.000 --> 02:29:04.000]  They should.
[02:29:04.000 --> 02:29:06.000]  It's not very expensive to add a second camera at this point.
[02:29:06.000 --> 02:29:07.000]  I mean, they're building the camera system already.
[02:29:07.000 --> 02:29:08.000]  It's more about space.
[02:29:08.000 --> 02:29:11.000]  Yeah, and so far in the plus era,
[02:29:11.000 --> 02:29:13.000]  meaning starting with the iPhone 6,
[02:29:13.000 --> 02:29:17.000]  the plus model has had a better camera
[02:29:17.000 --> 02:29:18.000]  than the non-plus model.
[02:29:18.000 --> 02:29:22.000]  But every single year, the next year,
[02:29:22.000 --> 02:29:26.000]  the regular model gets whatever the one had before,
[02:29:26.000 --> 02:29:30.000]  where the first one was optical image stabilization.
[02:29:30.000 --> 02:29:32.000]  And I think the iPhone 6S-
[02:29:32.000 --> 02:29:33.000]  Oh, yeah, yeah.
[02:29:33.000 --> 02:29:34.000]  The iPhone 6S got it.
[02:29:34.000 --> 02:29:35.000]  That's right.
